"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","phylum","continentOcean","occurrenceRemarks","minimumElevationInMeters","maximumElevationInMeters","order","imagecode","infraspecificEpithet","typeStatus","class"
"14","2019-09-27 18:04:50-03","UFES","VIES","38269","S","Plantae","Fabaceae","Inga","thibaudiana","Inga thibaudiana thibaudiana","DC.","Mayer, M.","1110","2014","11","24","Brasil","Espírito Santo","João Neiva",NA,"-40.3856010437012","-19.7574996948242",NA,NA,"VIES038269","16286","auto","Moura, R.","2016","02","01",NA,NA,NA,NA,NA,NA,"VIES038269","thibaudiana",NA,NA
"15","2019-06-27 10:24:16-03","UFES","VIES","38240","S","Plantae","Blechnaceae","Neoblechnum","brasiliense","Neoblechnum brasiliense","(Desv.) Gasper & V.A.O. Dittrich","Mayer, M.","1172","2014","11","24","Brasil","Espírito Santo","João Neiva",NA,"-40.3856010437012","-19.7574996948242",NA,NA,"VIES038240","16286","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VIES038240",NA,NA,NA
"16","2019-09-27 18:05:28-03","UFES","VIES","38171","S","Plantae","Moraceae","Artocarpus","heterophyllus","Artocarpus heterophyllus","Lam.","Mayer, M.","1140","2014","11","24","Brasil","Espírito Santo","João Neiva",NA,"-40.3856010437012","-19.7574996948242",NA,NA,"VIES038171","16286","auto","Moura, R.","2015","11","24",NA,NA,NA,NA,NA,NA,"VIES038171",NA,NA,NA
"17","2019-09-27 18:04:20-03","UFES","VIES","38241","S","Plantae","Cyatheaceae","Alsophila","setosa","Alsophila setosa","Kaulf.","Mayer, M.","1111","2014","11","24","Brasil","Espírito Santo","João Neiva",NA,"-40.3856010437012","-19.7574996948242",NA,NA,"VIES038241","16286","auto","Condack, J.","2015","01","27",NA,NA,NA,NA,NA,NA,"VIES038241",NA,NA,NA
"18","2019-06-27 10:26:28-03","UFES","VIES","24905","S","Plantae","Primulaceae","Myrsine",NA,"Myrsine",NA,"Folli, D.A.","6860","2012","05","18","Brasil","Espírito Santo","João Neiva","João Neiva. Estrada Torres.","-40.3856010437012","-19.7574996948242",NA,NA,"VIES024905","16286","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VIES024905",NA,NA,NA
"19","2019-12-06 15:23:50-03","MBM","MBM","157711","S","Plantae","Turneraceae","Turnera","lucida","Turnera lucida","Urban","Hatschbach, G.; Cervi, A.C.; Silva, J.M.; Cervi, A.C.; Silva, J.M.","58009",NA,NA,NA,"Brazil","Espírito Santo","João Neiva","Rod. BR-101, 5km S de João Neiva","-40.3856010437012","-19.7574996948242",NA,NA,"MBM157711","16286","auto","Arbo, M.M.",NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,"MBM157711",NA,NA,NA
"20","2019-12-06 14:53:46-03","MBM","MBM","167738","S","Plantae","Gesneriaceae","Sinningia","brasiliensis","Sinningia brasiliensis","(Regel & Schmidt) Wiehler & Chautems","Hatschbach, G.; Cervi, A.C.; Silva, J.M.; Cervi, A.C.; Silva, J.M.","58011",NA,NA,NA,"Brazil","Espírito Santo","João Neiva","Rod. BR-101, 5km S de João Neiva","-40.3856010437012","-19.7574996948242",NA,NA,"MBM167738","16286","auto","Chautems, A.",NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,"MBM167738",NA,NA,NA
"21","2019-12-06 14:42:33-03","MBM","MBM","156112","S","Plantae","Dioscoreaceae","Dioscorea","ovata","Dioscorea ovata","Vell.","Hatschbach, G.; Cervi, A.C.; Silva, J.M.; Cervi, A.C.; Silva, J.M.","58010","1992","10","13","Brazil","Espírito Santo","João Neiva","Rod. BR-101, 5km S da cidade","-40.3856010437012","-19.7574996948242",NA,NA,"MBM156112","16286","auto","Pedralli, G.",NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,"MBM156112",NA,NA,NA
"22","2019-12-06 14:34:08-03","MBM","MBM","153529","S","Plantae","Asteraceae","Sphagneticola","trilobata","Sphagneticola trilobata","(L.) Pruski","Hatschbach, G.; Cervi, A.C.; Silva, J.M.; Cervi, A.C.; Silva, J.M.","58015","1992","10","13","Brazil","Espírito Santo","João Neiva","Rod. BR-101, 5km S de João Neiva","-40.3856010437012","-19.7574996948242",NA,NA,"MBM153529","16286","auto","Pruski, J.",NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,"MBM153529",NA,NA,NA
"23","2019-12-06 15:03:27-03","MBM","MBM","157723","S","Plantae","Malvaceae","Pavonia","malacophylla","Pavonia malacophylla","(Link & Otto) Garcke","Hatschbach, G.; Cervi, A.C.; Silva, J.M.; Cervi, A.C.; Silva, J.M.","58598",NA,NA,NA,"Brazil","Espírito Santo","João Neiva","Rod. BR-101, 5km S de João Neiva","-40.3856010437012","-19.7574996948242",NA,NA,"MBM157723","16286","auto","Krapovickas, A.",NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,"MBM157723",NA,NA,NA
