"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","coordinatePrecision","geoFlag","occurrenceRemarks","infraspecificEpithet","continentOcean","class","order","relatedCatalogItem"
"95","2019-11-05 16:43:23-03","UFOP","OUPR","572","PreservedSpecimen","Plantae","Araliaceae","Dendropanax","cuneatus","Dendropanax cuneatus","(DC.) Decne. & Planch.","Dutra, V.F.","2001","09","28","Badini, J.","s.n.","1972","06","14","Brasil","Minas Gerais","Guaraciaba","Usina da Brecha","-43.0074996948242","-20.57080078125",NA,NA,NA,NA,NA,"16300","auto","Mata.",NA,NA,NA,NA,NA
"96","2019-11-05 16:44:49-03","UFOP","OUPR","18466","PreservedSpecimen","Plantae","Asteraceae","Eupatorium","oxylepis","Eupatorium oxylepis","Sch.Bip. ex Baker","Badini, J.","1972","04","12","Badini, J.","s.n.",NA,NA,NA,"Brasil","Minas Gerais","Guaraciaba","Usina da Brecha","-43.0074996948242","-20.57080078125",NA,NA,NA,NA,NA,"16300","auto","Brejo. Arbusto. Flores violáceas",NA,NA,NA,NA,NA
"97","2019-11-05 16:44:49-03","UFOP","OUPR","18460","PreservedSpecimen","Plantae","Asteraceae","Eupatorium","oxylepis","Eupatorium oxylepis","Sch.Bip. ex Baker","Lisboa, M.A.",NA,NA,NA,"Badini, J.","s.n.","1972","04","12","Brasil","Minas Gerais","Guaraciaba","Usina da Brecha","-43.0074996948242","-20.57080078125",NA,NA,NA,NA,NA,"16300","auto",NA,NA,NA,NA,NA,NA
"98","2019-11-05 16:44:50-03","UFOP","OUPR","18533","PreservedSpecimen","Plantae","Asteraceae","Hatschbachiella","tweedieana","Hatschbachiella tweedieana","(Hook. & Arn.) R.M.King & H.Rob.","Fernandes, A.C.","2014","03",NA,"Badini, J.","s.n.","1973","09",NA,"Brasil","Minas Gerais","Guaraciaba",NA,"-43.0074996948242","-20.57080078125",NA,NA,NA,NA,NA,"16300","auto","Brejo. Subarbusto. Flores brancas",NA,NA,NA,NA,NA
"99","2019-11-05 16:42:33-03","UFOP","OUPR","171","PreservedSpecimen","Plantae","Amaranthaceae","Hebanthe","grandiflora","Hebanthe grandiflora","(Hook.) Borsch & Pedersen",NA,NA,NA,NA,"Badini, J.","s.n.","1974","09","16","Brasil","Minas Gerais","Guaraciaba","Usina da Brecha","-43.0074996948242","-20.57080078125",NA,NA,NA,NA,NA,"16300","auto","Mata.",NA,NA,NA,NA,NA
"100","2019-11-05 16:46:27-03","UFOP","OUPR","2424","PreservedSpecimen","Plantae","Boraginaceae","Heliotropium","transalpinum","Heliotropium transalpinum","Vell.",NA,NA,NA,NA,"Badini, J.","s.n.","1971","10","21","Brasil","Minas Gerais","Guaraciaba","Usina da Brecha","-43.0074996948242","-20.57080078125",NA,NA,NA,NA,NA,"16300","auto","Erva, flores azuladas. Beira de rio.",NA,NA,NA,NA,NA
"101","2019-11-05 16:46:27-03","UFOP","OUPR","2425","PreservedSpecimen","Plantae","Boraginaceae","Heliotropium","transalpinum","Heliotropium transalpinum","Vell.",NA,NA,NA,NA,"Lisboa, M.A.","s.n.",NA,NA,NA,"Brasil","Minas Gerais","Guaraciaba","Usina da Brecha","-43.0074996948242","-20.57080078125",NA,NA,NA,NA,NA,"16300","auto",NA,NA,NA,NA,NA,NA
"102","2019-11-05 16:43:23-03","UFOP","OUPR","19369","PreservedSpecimen","Plantae","Araliaceae","Hydrocotyle","leucocephala","Hydrocotyle leucocephala","Cham. & Schltdl.","Badini, J.","1971","05",NA,"Ferreira, M.F.","s.n.","1971","05","10","Brasil","Minas Gerais","Guaraciaba",NA,"-43.0074996948242","-20.57080078125",NA,NA,NA,NA,NA,"16300","auto","Terreno umido. Erva. Flores pálidas",NA,NA,NA,NA,NA
"103","2019-11-05 16:46:16-03","UFOP","OUPR","1099","PreservedSpecimen","Plantae","Bignoniaceae","Jacaranda","macrantha","Jacaranda macrantha","Cham.","Zurlo, M.A.","1980","11","18","Badini, J.","s.n.","1974","04",NA,"Brasil","Minas Gerais","Guaraciaba","Brecha","-43.0074996948242","-20.57080078125",NA,NA,NA,NA,NA,"16300","auto","Árvore, flores roxas. Campo.",NA,NA,NA,NA,NA
"104","2019-11-06 09:55:52-03","UFOP","OUPR","13649","PreservedSpecimen","Plantae","Juncaceae","Juncus","microcephalus","Juncus microcephalus","Kunth.","Conabio","2009",NA,NA,"Badini, J.","s.n.","1973","08","28","Brasil","Minas Gerais","Guaraciaba",NA,"-43.0074996948242","-20.57080078125",NA,NA,NA,NA,NA,"16300","auto","Brejo. Erva. Flores esverdeadas",NA,NA,NA,NA,NA
