"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","geoFlag","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","phylum","imagecode","infraspecificEpithet","verbatimLongitude","verbatimLatitude","class","order","typeStatus","individualCount","relatedCatalogItem","sex"
"108","2017-09-14 11:45:14-03","MBML","MBML-HERBARIO","13980",NA,"Plantae","Euphorbiaceae","Brasiliocroton","mamoninha","Brasiliocroton mamoninha",NA,"Bárbara de Sá Haiad/08-12-2005",NA,NA,NA,"L. Kollmann; et al","3371","2000","11","23",NA,"Brasil","Espírito Santo","Barra de São Francisco","Córrego das Palmas","-40.890833","-18.755",NA,"MBML013980",NA,NA,NA,"Árvore 18m. Fuste 5m, DAP 26cm, flores verdes.",NA,"MBML013980",NA,"40W53'27","18S45'18",NA,NA,NA,NA,NA,NA
"109","2017-09-14 11:45:14-03","MBML","MBML-HERBARIO","14105",NA,"Plantae","Euphorbiaceae","Brasiliocroton","mamoninha","Brasiliocroton mamoninha",NA,"Bárbara de Sá Haiad/08-12-2005",NA,NA,NA,"L. Kollmann; et al","3519","2000","12","13",NA,"Brasil","Espírito Santo","Barra de São Francisco","Córrego da Esperança","-40.890833","-18.755",NA,"MBML014105",NA,NA,NA,"Arvoreto 6m. Flores brancas.",NA,"MBML014105",NA,"40W53'27","18S45'18",NA,NA,NA,NA,NA,NA
"110","2017-09-14 11:43:49-03","MBML","MBML-HERBARIO","14022",NA,"Plantae","Cactaceae","Brasiliopuntia","brasiliensis","Brasiliopuntia brasiliensis",NA,"L. Kollmann/21-11-2000",NA,NA,NA,"L. Kollmann; et al","3277","2000","11","21",NA,"Brasil","Espírito Santo","Barra de São Francisco","Parque Municipal Sombra da Tarde","-40.890833","-18.755",NA,"MBML014022",NA,NA,NA,"Arvoreto 4,50m. Flores amarelas.",NA,"MBML014022",NA,"40W53'27","18S45'18",NA,NA,NA,NA,NA,NA
"111","2017-09-14 11:48:23-03","MBML","MBML-HERBARIO","13973",NA,"Plantae","Moraceae","Brosimum","gaudichaudii","Brosimum gaudichaudii",NA,"M.D.M.Vianna Filho/XII-2005",NA,NA,NA,"L. Kollmann; et al","3345","2000","11","22",NA,"Brasil","Espírito Santo","Barra de São Francisco","Parque Municipal Sombra da Tarde","-40.890833","-18.755",NA,"MBML013973",NA,NA,NA,"Arvoreto 8m. Fuste 5m, DAP 8cm. Flores verdes, folhas verdes claras.",NA,NA,NA,"40W53'27","18S45'18",NA,NA,NA,NA,NA,NA
"112","2017-09-14 11:51:51-03","MBML","MBML-HERBARIO","14107",NA,"Plantae","Solanaceae","Brunfelsia","hydrangeiformis","Brunfelsia hydrangeiformis",NA,"L.D.'A.F.Carv/J.Steh./M.F.Agra",NA,NA,NA,"L. Kollmann; et al","3507","2000","12","12",NA,"Brasil","Espírito Santo","Barra de São Francisco","Parque Municipal Sombra da Tarde","-40.890833","-18.755",NA,"MBML014107",NA,NA,NA,"Arbusto 3m. Flores brancas. Frutos verdes.",NA,NA,NA,"40W53'27","18S45'18",NA,NA,NA,NA,NA,NA
"113","2017-09-14 11:51:51-03","MBML","MBML-HERBARIO","14308",NA,"Plantae","Solanaceae","Brunfelsia","uniflora","Brunfelsia uniflora",NA,"L.L. Giacomin/fev.2011",NA,NA,NA,"L. Kollmann; et al","3469","2000","12","11",NA,"Brasil","Espírito Santo","Barra de São Francisco","Parque Municipal Sombra da Tarde","-40.890833","-18.755",NA,"MBML014308",NA,NA,NA,"Arbusto 1m. Flores lilás.",NA,NA,NA,"40W53'27","18S45'18",NA,NA,NA,NA,NA,NA
"114","2020-03-04 16:41:35-03","MBML","MBML-HERBARIO","14815",NA,"Plantae","Malpighiaceae","Bunchosia","macilenta","Bunchosia macilenta",NA,"A. M. Amorim/2019",NA,NA,NA,"L. Kollmann; et al","3529","2000","12","13",NA,"Brasil","Espírito Santo","Barra de São Francisco","Córrego da Esperança","-40.890833","-18.755",NA,"MBML014815",NA,NA,NA,"Trepadeira na sombra. Botões amarronzados.",NA,"MBML014815",NA,"40W53'27","18S45'18",NA,NA,NA,NA,NA,NA
"115","2017-09-14 11:47:18-03","MBML","MBML-HERBARIO","14798",NA,"Plantae","Malpighiaceae","Byrsonima","alvimii","Byrsonima alvimii",NA,"M. Sobral, 2013",NA,NA,NA,"L. Kollmann; et al","3476","2000","12","12",NA,"Brasil","Espírito Santo","Barra de São Francisco","Cabeceira Córrego do Engenho","-40.890833","-18.755",NA,"MBML014798",NA,NA,NA,"Arvoreto 8m. DAP 20cm. Fuste 6m. Botões brancos.",NA,"MBML014798",NA,"40W53'27","18S45'18",NA,NA,NA,NA,NA,NA
"116","2017-09-14 11:47:31-03","MBML","MBML-HERBARIO","13945",NA,"Plantae","Marantaceae","Calathea",NA,"Calathea",NA,NA,NA,NA,NA,"L. Kollmann; et al","3338","2000","11","21",NA,"Brasil","Espírito Santo","Barra de São Francisco","Parque Municipal Sombra da Tarde","-40.890833","-18.755",NA,"MBML013945",NA,NA,NA,"Planta 30cm na luz forte. Flores brancas amareladas.",NA,NA,NA,"40W53'27","18S45'18",NA,NA,NA,NA,NA,NA
"117","2017-09-14 11:47:31-03","MBML","MBML-HERBARIO","14034",NA,"Plantae","Marantaceae","Calathea",NA,"Calathea",NA,NA,NA,NA,NA,"L. Kollmann; et al","3412","2000","11","23",NA,"Brasil","Espírito Santo","Barra de São Francisco","Córrego das Palmas","-40.890833","-18.755",NA,"MBML014034",NA,NA,NA,"Planta 1m na sombra. Flores amarelas.",NA,NA,NA,"40W53'27","18S45'18",NA,NA,NA,NA,NA,NA
"118","2017-09-14 11:51:51-03","MBML","MBML-HERBARIO","14285",NA,"Plantae","Solanaceae","Capsicum","baccatum","Capsicum baccatum",NA,"J. R. Stehmann/30-10-2007",NA,NA,NA,"L. Kollmann; et al","3497","2000","12","12",NA,"Brasil","Espírito Santo","Barra de São Francisco","Parque Municipal Sombra da Tarde","-40.890833","-18.755",NA,"MBML014285",NA,NA,NA,"Arbusto 1m. Flores brancas. Frutos roxos.",NA,NA,NA,"40W53'27","18S45'18",NA,NA,NA,NA,NA,NA
"119","2019-05-15 08:12:48-03","MBML","MBML-HERBARIO","14806",NA,"Plantae","Malpighiaceae","Carolus","chlorocarpus","Carolus chlorocarpus",NA,"P.H.D. Barros/Maio-2019",NA,NA,NA,"L. Kollmann; et al","3526","2000","12","13",NA,"Brasil","Espírito Santo","Barra de São Francisco","Córrego da Esperança","-40.890833","-18.755",NA,"MBML014806",NA,NA,NA,"Trepadeira no sol. Flores amarelas.",NA,"MBML014806",NA,"40W53'27","18S45'18",NA,NA,NA,NA,NA,NA
"120","2018-03-14 14:29:45-03","MBML","MBML-HERBARIO","14102",NA,"Plantae","Flacourtiaceae","Carpotroche","brasiliensis","Carpotroche brasiliensis",NA,"R. Marquete/23-10-2002",NA,NA,NA,"L. Kollmann; et al","3487","2000","12","12",NA,"Brasil","Espírito Santo","Barra de São Francisco","Cabeceira Córrego do Engenho","-40.890833","-18.755",NA,"MBML014102",NA,NA,NA,"Árvore 6m. Botões verdes.",NA,"MBML014102",NA,"40W53'27","18S45'18",NA,NA,NA,NA,NA,NA
"121","2018-03-14 14:29:45-03","MBML","MBML-HERBARIO","14317",NA,"Plantae","Flacourtiaceae","Carpotroche","brasiliensis","Carpotroche brasiliensis",NA,"R. Marquete/23-10-2002",NA,NA,NA,"L. Kollmann; et al","3517","2000","12","13",NA,"Brasil","Espírito Santo","Barra de São Francisco","Córrego da Esperança","-40.890833","-18.755",NA,"MBML014317",NA,NA,NA,"Arvoreto 5m no sol. Flores brancas.",NA,"MBML014317",NA,"40W53'27","18S45'18",NA,NA,NA,NA,NA,NA
"122","2017-09-14 11:45:24-03","MBML","MBML-HERBARIO","14162",NA,"Plantae","Flacourtiaceae","Casearia",NA,"Casearia",NA,NA,NA,NA,NA,"L. Kollmann; et al","3464","2000","12","11",NA,"Brasil","Espírito Santo","Barra de São Francisco","Parque Municipal Sombra da Tarde","-40.890833","-18.755",NA,"MBML014162",NA,NA,NA,"Arbusto 50cm. Fruto amarelo.",NA,"MBML014162",NA,"40W53'27","18S45'18",NA,NA,NA,NA,NA,NA
"123","2019-05-09 14:19:46-03","MBML","MBML-HERBARIO","14168",NA,"Plantae","Leguminosae Caesalpinoideae","Cassia","alata","Cassia alata",NA,NA,NA,NA,NA,"L. Kollmann; et al","3513","2000","12","12",NA,"Brasil","Espírito Santo","Barra de São Francisco","Parque Municipal Sombra da Tarde","-40.890833","-18.755",NA,"MBML014168",NA,NA,NA,"Arbusto 2m. Flores amareladas. Frutos verdes.",NA,"MBML014168",NA,"40W53'27","18S45'18",NA,NA,NA,NA,NA,NA
"124","2017-09-14 11:48:23-03","MBML","MBML-HERBARIO","14323",NA,"Plantae","Moraceae","Cecropia","pachystachya","Cecropia pachystachya",NA,"V. Demuner/07-05-2003",NA,NA,NA,"L. Kollmann; et al","3307","2000","11","21",NA,"Brasil","Espírito Santo","Barra de São Francisco","Parque Municipal Sombra da Tarde","-40.890833","-18.755",NA,"MBML014323",NA,NA,NA,"Arvoreto 4,50m. Frutos marrons, folhas verdes.",NA,NA,NA,"40W53'27","18S45'18",NA,NA,NA,NA,NA,NA
"125","2017-09-14 11:43:58-03","MBML","MBML-HERBARIO","14101",NA,"Plantae","Celastraceae",NA,NA,NA,NA,NA,NA,NA,NA,"L. Kollmann; et al","3481","2000","12","12",NA,"Brasil","Espírito Santo","Barra de São Francisco","Cabeceira Córrego do Engenho","-40.890833","-18.755",NA,"MBML014101",NA,NA,NA,"Arvoreto 5m. Frutos vermelhos.",NA,"MBML014101",NA,"40W53'27","18S45'18",NA,NA,NA,NA,NA,NA
"126","2017-09-14 11:27:52-03","MBML","MBML-HERBARIO","3562",NA,"Plantae","Ulmaceae","Celtis",NA,"Celtis",NA,NA,NA,NA,NA,"R. M. Pizziolo","179","1984","07","10",NA,"Brasil","Espírito Santo","Barra de São Francisco","Boa Sorte","-40.890833","-18.755",NA,"MBML003562",NA,NA,NA,"Trepadeira, frutos amarelos quando maduros, solo escuro.",NA,NA,NA,"40W53'27","18S45'18",NA,NA,NA,NA,NA,NA
"127","2019-05-09 14:19:50-03","MBML","MBML-HERBARIO","14037",NA,"Plantae","Leguminosae Faboideae","Centrosema",NA,"Centrosema",NA,NA,NA,NA,NA,"L. Kollmann; et al","3300","2000","11","21",NA,"Brasil","Espírito Santo","Barra de São Francisco","Parque Municipal Sombra da Tarde","-40.890833","-18.755",NA,"MBML014037",NA,NA,NA,"Trepadeira na sombra. Frutos verdes.",NA,"MBML014037",NA,"40W53'27","18S45'18",NA,NA,NA,NA,NA,NA
"128","2019-05-09 14:19:50-03","MBML","MBML-HERBARIO","14040",NA,"Plantae","Leguminosae Faboideae","Centrosema",NA,"Centrosema",NA,NA,NA,NA,NA,"L. Kollmann; et al","3298","2000","11","21",NA,"Brasil","Espírito Santo","Barra de São Francisco","Parque Municipal Sombra da Tarde","-40.890833","-18.755",NA,"MBML014040",NA,NA,NA,"Trepadeira no sol. Flores lilás.",NA,"MBML014040",NA,"40W53'27","18S45'18",NA,NA,NA,NA,NA,NA
"129","2018-03-14 14:29:34-03","MBML","MBML-HERBARIO","16641",NA,"Plantae","Cactaceae","Cereus","fernambucensis","Cereus fernambucensis",NA,NA,NA,NA,NA,"N. P. Taylor; et al","782","1990","12","16",NA,"Brasil","Espírito Santo","Barra de São Francisco","Estrada p/ São Domingos","-40.890833","-18.755",NA,"MBML016641",NA,NA,NA,"Ramos jovens glaucos. Flores velhas, fruto álcool, foto.",NA,"MBML016641",NA,"40W53'27","18S45'18",NA,NA,NA,NA,NA,NA
"130","2018-03-14 14:29:34-03","MBML","MBML-HERBARIO","16642",NA,"Plantae","Cactaceae","Cereus","fernambucensis","Cereus fernambucensis",NA,NA,NA,NA,NA,"N. P. Taylor; et al","781","1990","12","16",NA,"Brasil","Espírito Santo","Barra de São Francisco","Estrada p/ Águia Branca","-40.890833","-18.755",NA,"MBML016642",NA,NA,NA,"Arbusto com ramos até 2m alt., eretos ou decumbentes, epiderme verde-clara, não mucilaginoso-glaucescente, tecidos enegrecendo rapidamente quando cortados. Frutos imaturos verdes. Foto, material em culti.",NA,"MBML016642",NA,"40W53'27","18S45'18",NA,NA,NA,NA,NA,NA
"131","2017-09-14 11:41:16-03","MBML","MBML-HERBARIO","13918",NA,"Plantae","Acanthaceae","Chamaeranthemum",NA,"Chamaeranthemum",NA,NA,NA,NA,NA,"L. Kollmann; et al","3340","2000","11","21",NA,"Brasil","Espírito Santo","Barra de São Francisco","Parque Municipal Sombra da Tarde","-40.890833","-18.755",NA,"MBML013918",NA,NA,NA,"Terrestre. Meia sombra. Flores rosas claras.",NA,"MBML013918",NA,"40W53'27","18S45'18",NA,NA,NA,NA,NA,NA
"132","2017-09-14 11:51:30-03","MBML","MBML-HERBARIO","13972",NA,"Plantae","Sapotaceae","Chrysophyllum","gonocarpum","Chrysophyllum gonocarpum",NA,"B.G. Sossai/16-08-2016",NA,NA,NA,"L. Kollmann; et al","3354","2000","11","22",NA,"Brasil","Espírito Santo","Barra de São Francisco","Parque Municipal Sombra da Tarde","-40.890833","-18.755",NA,"MBML013972",NA,NA,NA,"Arbusto 3m. Frutos verdes. Sombra.",NA,NA,NA,"40W53'27","18S45'18",NA,NA,NA,NA,NA,NA
"133","2017-09-14 11:51:30-03","MBML","MBML-HERBARIO","14098",NA,"Plantae","Sapotaceae","Chrysophyllum","gonocarpum","Chrysophyllum gonocarpum",NA,"A. Alves Araújo/26-08-2016",NA,NA,NA,"L. Kollmann; et al","3355","2000","11","22",NA,"Brasil","Espírito Santo","Barra de São Francisco","Parque Municipal Sombra da Tarde","-40.890833","-18.755",NA,"MBML014098",NA,NA,NA,"Arvoreto 6m. Fuste 3m, DAP 9cm. Frutos verdes.",NA,NA,NA,"40W53'27","18S45'18",NA,NA,NA,NA,NA,NA
"134","2017-09-14 11:19:15-03","MBML","MBML-HERBARIO","2258",NA,"Plantae","Compositae","Cichorium","intybus","Cichorium intybus",NA,"G. Heiden/07-04-2016",NA,NA,NA,"R. M. Pizziolo","200","1984","07","13",NA,"Brasil","Espírito Santo","Barra de São Francisco","Boa Sorte","-40.890833","-18.755",NA,"MBML002258",NA,NA,NA,"Arbusto de 7m, flores brancas, perfumadas, frutos jovens.",NA,"MBML002258",NA,"40W53'27","18S45'18",NA,NA,NA,NA,NA,NA
"135","2017-09-14 11:52:16-03","MBML","MBML-HERBARIO","14474",NA,"Plantae","Vitaceae","Cissus","erosa","Cissus erosa",NA,"J. A. Lombardi/II-2003",NA,NA,NA,"L. Kollmann; et al","3287","2000","11","21",NA,"Brasil","Espírito Santo","Barra de São Francisco","Parque Municipal Sombra da Tarde","-40.890833","-18.755",NA,"MBML014474",NA,NA,NA,"Trepadeira na meia sombra. Botões vermelhos.",NA,NA,NA,"40W53'27","18S45'18",NA,NA,NA,NA,NA,NA
"136","2017-09-14 11:52:03-03","MBML","MBML-HERBARIO","14409",NA,"Plantae","Theophrastaceae","Clavija",NA,"Clavija",NA,NA,NA,NA,NA,"L. Kollmann; et al","3386","2000","11","23",NA,"Brasil","Espírito Santo","Barra de São Francisco","Córrego das Palmas","-40.890833","-18.755",NA,"MBML014409",NA,NA,NA,"Planta ereta 1m na sombra. Frutos amarelos.",NA,NA,NA,"40W53'27","18S45'18",NA,NA,NA,NA,NA,NA
"137","2019-05-09 14:19:50-03","MBML","MBML-HERBARIO","14462",NA,"Plantae","Leguminosae Faboideae","Cleobulia","multiflora","Cleobulia multiflora",NA,"C. Snak/2015",NA,NA,NA,"L. Kollmann; et al","3312","2000","11","21",NA,"Brasil","Espírito Santo","Barra de São Francisco","Parque Municipal Sombra da Tarde","-40.890833","-18.755",NA,"MBML014462",NA,NA,NA,"Flores vermelhas. Trepadeira no sol. Fruto marrons.",NA,"MBML014462",NA,"40W53'27","18S45'18",NA,NA,NA,NA,NA,NA
"138","2019-05-09 14:19:50-03","MBML","MBML-HERBARIO","2774",NA,"Plantae","Leguminosae Faboideae","Cleobulia","multiflora","Cleobulia multiflora",NA,"in dupl.: Haroldo C. Lima/1991",NA,NA,NA,"R. M. Pizziolo","170","1984","07","09",NA,"Brasil","Espírito Santo","Barra de São Francisco","Santo Augustinho","-40.890833","-18.755",NA,"MBML002774",NA,NA,NA,"Trepadeira com flores rosas.",NA,"MBML002774",NA,"40W53'27","18S45'18",NA,NA,NA,NA,NA,NA
"139","2020-02-19 14:09:50-03","MBML","MBML-HERBARIO","13924",NA,"Plantae","Melastomataceae","Clidemia","hirta","Clidemia hirta",NA,"R. Goldenberg/03-05-2005",NA,NA,NA,"L. Kollmann; et al","3319","2000","11","21",NA,"Brasil","Espírito Santo","Barra de São Francisco","Parque Municipal Sombra da Tarde","-40.890833","-18.755",NA,"MBML013924",NA,NA,NA,"Arbusto 1m na sombra. Botões verdes.",NA,"MBML013924",NA,"40W53'27","18S45'18",NA,NA,NA,NA,NA,NA
"140","2020-02-19 14:09:50-03","MBML","MBML-HERBARIO","14181",NA,"Plantae","Melastomataceae","Clidemia","hirta","Clidemia hirta",NA,"R. Goldenberg/03-05-2005",NA,NA,NA,"L. Kollmann; et al","3500","2000","12","12",NA,"Brasil","Espírito Santo","Barra de São Francisco","Parque Municipal Sombra da Tarde","-40.890833","-18.755",NA,"MBML014181",NA,NA,NA,"Arbusto 1m. Flores brancas.",NA,"MBML014181",NA,"40W53'27","18S45'18",NA,NA,NA,NA,NA,NA
"141","2017-10-26 08:55:47-02","MBML","MBML-HERBARIO","16638",NA,"Plantae","Cactaceae","Coleocephalocereus","fluminensis","Coleocephalocereus fluminensis",NA,NA,NA,NA,NA,"N. P. Taylor; et al","780","1990","12","16",NA,"Brasil","Espírito Santo","Barra de São Francisco","Estrada p/ Águia Branca","-40.890833","-18.755",NA,"MBML016638",NA,NA,NA,"Ramos até 1,8m alt., ramificados na base, muito mucilaginosos, epiderme verde-clara. Frutos magenta, com poro basal. Foto, material em cul.",NA,"MBML016638",NA,"40W53'27","18S45'18",NA,NA,NA,NA,NA,NA
"142","2017-09-14 11:51:16-03","MBML","MBML-HERBARIO","14118",NA,"Plantae","Rutaceae","Conchocarpus","macrocarpus","Conchocarpus macrocarpus",NA,"J.R.Pirani/Jan.2002",NA,NA,NA,"L. Kollmann; et al","3521","2000","12","13",NA,"Brasil","Espírito Santo","Barra de São Francisco","Córrego da Esperança","-40.890833","-18.755",NA,"MBML014118",NA,NA,NA,"Arbusto 4m. Flores rosa choques.",NA,NA,NA,"40W53'27","18S45'18",NA,NA,NA,NA,NA,NA
"143","2017-09-14 11:51:16-03","MBML","MBML-HERBARIO","14021",NA,"Plantae","Rutaceae","Conchocarpus","macrophyllus","Conchocarpus macrophyllus",NA,"J.R.Pirani/Jan.2002",NA,NA,NA,"L. Kollmann; et al","3377","2000","11","23",NA,"Brasil","Espírito Santo","Barra de São Francisco","Córrego das Palmas","-40.890833","-18.755",NA,"MBML014021",NA,NA,NA,"Planta arbustiva de 2m. Flores brancas rosadas.",NA,NA,NA,"40W53'27","18S45'18",NA,NA,NA,NA,NA,NA
"144","2018-07-20 09:37:29-03","MBML","MBML-HERBARIO","14341",NA,"Plantae","Convolvulaceae",NA,NA,NA,NA,NA,NA,NA,NA,"L. Kollmann; et al","3311","2000","11","21",NA,"Brasil","Espírito Santo","Barra de São Francisco","Parque Municipal Sombra da Tarde","-40.890833","-18.755",NA,"MBML014341",NA,NA,NA,"Flores lilás. Trepadeira no sol.",NA,"MBML014341",NA,"40W53'27","18S45'18",NA,NA,NA,NA,NA,NA
"145","2017-09-14 11:43:04-03","MBML","MBML-HERBARIO","13947",NA,"Plantae","Boraginaceae","Cordia",NA,"Cordia",NA,NA,NA,NA,NA,"L. Kollmann; et al","3361","2000","11","22",NA,"Brasil","Espírito Santo","Barra de São Francisco","Parque Municipal Sombra da Tarde","-40.890833","-18.755",NA,"MBML013947",NA,NA,NA,"Árvore 11m. Fuste 5m. DAP 24cm. Flores brancas.",NA,"MBML013947",NA,"40W53'27","18S45'18",NA,NA,NA,NA,NA,NA
"146","2017-09-14 11:43:05-03","MBML","MBML-HERBARIO","14043",NA,"Plantae","Boraginaceae","Cordia","curassavica","Cordia curassavica",NA,"M. N. S. Stapf/X-2005",NA,NA,NA,"L. Kollmann; et al","3294","2000","11","21",NA,"Brasil","Espírito Santo","Barra de São Francisco","Parque Municipal Sombra da Tarde","-40.890833","-18.755",NA,"MBML014043",NA,NA,NA,"Arbusto 1m no sol. Flores brancas.",NA,"MBML014043",NA,"40W53'27","18S45'18",NA,NA,NA,NA,NA,NA
"147","2017-09-14 11:43:05-03","MBML","MBML-HERBARIO","14307",NA,"Plantae","Boraginaceae","Cordia","ecalyculata","Cordia ecalyculata",NA,"in dupl.: M. N. S. Stapf/VI-2007",NA,NA,NA,"L. Kollmann; et al","3489","2000","12","12",NA,"Brasil","Espírito Santo","Barra de São Francisco","Cabeceira Córrego do Engenho","-40.890833","-18.755",NA,"MBML014307",NA,NA,NA,"Arvoreto 4m. Flores brancas. Frutos verdes.",NA,"MBML014307",NA,"40W53'27","18S45'18",NA,NA,NA,NA,NA,NA
"148","2017-09-14 11:43:05-03","MBML","MBML-HERBARIO","14539",NA,"Plantae","Boraginaceae","Cordia","taguahyensis","Cordia taguahyensis",NA,"M. N. S. Stapf/Julho-2005",NA,NA,NA,"L. Kollmann; et al","3329","2000","11","21",NA,"Brasil","Espírito Santo","Barra de São Francisco","Parque Municipal Sombra da Tarde","-40.890833","-18.755",NA,"MBML014539",NA,NA,NA,"Arbusto 1,50m na sombra. Flores brancas.",NA,"MBML014539",NA,"40W53'27","18S45'18",NA,NA,NA,NA,NA,NA
"149","2017-09-14 11:43:05-03","MBML","MBML-HERBARIO","14538",NA,"Plantae","Boraginaceae","Cordia","toqueve","Cordia toqueve",NA,"in dupl.: M. N. S. Stapf/IV-2007",NA,NA,NA,"L. Kollmann; et al","3362","2000","11","22",NA,"Brasil","Espírito Santo","Barra de São Francisco","Parque Municipal Sombra da Tarde","-40.890833","-18.755",NA,"MBML014538",NA,NA,NA,"Árvore 15m. Fuste 2m. DAP 36cm. Frutos verdes.",NA,"MBML014538",NA,"40W53'27","18S45'18",NA,NA,NA,NA,NA,NA
"150","2017-09-14 11:43:05-03","MBML","MBML-HERBARIO","14408",NA,"Plantae","Boraginaceae","Cordia","trichoclada","Cordia trichoclada",NA,"M. N. S. Stapf/Julho-2005",NA,NA,NA,"L. Kollmann; et al","3289","2000","11","21",NA,"Brasil","Espírito Santo","Barra de São Francisco","Parque Municipal Sombra da Tarde","-40.890833","-18.755",NA,"MBML014408",NA,NA,NA,"Arvoreto 3m. Fuste 2m, DAP 12cm. Frutos verdes, pêlos marrons.",NA,"MBML014408",NA,"40W53'27","18S45'18",NA,NA,NA,NA,NA,NA
"151","2017-09-14 11:45:14-03","MBML","MBML-HERBARIO","39340",NA,"Plantae","Euphorbiaceae","Croton",NA,"Croton",NA,NA,NA,NA,NA,"L. Kollmann; & E. Leme","11829","2009","09","10",NA,"Brasil","Espírito Santo","Barra de São Francisco","estrada Ecopóranga/Barra de São Francisco","-40.816944","-18.539167",NA,"MBML039340",NA,NA,NA,"Arbusto 1 m ao sol.",NA,"MBML039340",NA,"40W49'1","18S32'21",NA,NA,NA,NA,NA,NA
"152","2017-09-14 11:45:14-03","MBML","MBML-HERBARIO","14106",NA,"Plantae","Euphorbiaceae","Croton","fuscescens","Croton fuscescens",NA,"M.B.R. Caruzo/29-09-2016",NA,NA,NA,"L. Kollmann; et al","3498","2000","12","12",NA,"Brasil","Espírito Santo","Barra de São Francisco","Parque Municipal Sombra da Tarde","-40.890833","-18.755",NA,"MBML014106",NA,NA,NA,"Arbusto ascendente. Flores brancas.",NA,"MBML014106",NA,"40W53'27","18S45'18",NA,NA,NA,NA,NA,NA
"153","2019-11-19 08:14:38-03","MBML","MBML-HERBARIO","15111",NA,"Plantae","Bromeliaceae","Cryptanthus","cf. giganteus","Cryptanthus cf. giganteus",NA,"D. Cavalcanti/14-10-2019",NA,NA,NA,"L. Kollmann; et al","3420","2000","11","23",NA,"Brasil","Espírito Santo","Barra de São Francisco","Córrego das Palmas","-40.890833","-18.755",NA,"MBML015111",NA,NA,NA,"Terrestre, na semi sombra. Cultivo.",NA,"MBML015111_1 MBML015111_2",NA,"40W53'27","18S45'18",NA,NA,NA,NA,NA,NA
"154","2017-09-14 11:47:32-03","MBML","MBML-HERBARIO","14331",NA,"Plantae","Marantaceae","Ctenanthe","marantifolia","Ctenanthe marantifolia",NA,"João M. Braga/07/XII/2005",NA,NA,NA,"L. Kollmann; et al","3398","2000","11","23",NA,"Brasil","Espírito Santo","Barra de São Francisco","Córrego das Palmas","-40.890833","-18.755",NA,"MBML014331",NA,NA,NA,"Planta 1,50m na sombra, flores branca, centro amarelo.",NA,"MBML014331",NA,"40W53'27","18S45'18",NA,NA,NA,NA,NA,NA
"155","2017-09-14 11:44:55-03","MBML","MBML-HERBARIO","14472",NA,"Plantae","Dryopteridaceae","Ctenitis","falciculata","Ctenitis falciculata",NA,"A. Salino/24-02-2003",NA,NA,NA,"L. Kollmann; et al","3409","2000","11","23",NA,"Brasil","Espírito Santo","Barra de São Francisco","Córrego das Palmas","-40.890833","-18.755",NA,"MBML014472",NA,NA,NA,"Planta 40cm na sombra.",NA,NA,NA,"40W53'27","18S45'18",NA,NA,NA,NA,NA,NA
"156","2018-01-16 07:34:38-02","MBML","MBML-HERBARIO","13917",NA,"Plantae","Lythraceae","Cuphea","carthagenensis","Cuphea carthagenensis",NA,"A. P. Fontana/13-VIII-2007",NA,NA,NA,"L. Kollmann; et al","3309","2000","11","21",NA,"Brasil","Espírito Santo","Barra de São Francisco","Parque Municipal Sombra da Tarde","-40.890833","-18.755",NA,"MBML013917",NA,NA,NA,"Planta 30cm no sol. Flores lilás.",NA,"MBML013917",NA,"40W53'27","18S45'18",NA,NA,NA,NA,NA,NA
"157","2017-09-14 11:44:37-03","MBML","MBML-HERBARIO","14287",NA,"Plantae","Cyperaceae","Cyperus",NA,"Cyperus",NA,NA,NA,NA,NA,"L. Kollmann; et al","3501","2000","12","12",NA,"Brasil","Espírito Santo","Barra de São Francisco","Parque Municipal Sombra da Tarde","-40.890833","-18.755",NA,"MBML014287",NA,NA,NA,"Erva 40cm na sombra. Espigas verdes.",NA,"MBML014287",NA,"40W53'27","18S45'18",NA,NA,NA,NA,NA,NA
"158","2017-09-14 11:44:37-03","MBML","MBML-HERBARIO","14314",NA,"Plantae","Cyperaceae","Cyperus",NA,"Cyperus",NA,NA,NA,NA,NA,"L. Kollmann; et al","3536","2000","12","13",NA,"Brasil","Espírito Santo","Barra de São Francisco","Córrego da Poaia","-40.890833","-18.755",NA,"MBML014314",NA,NA,NA,"Rupícola no sol. Erva 40cm. Espigas marrons.",NA,"MBML014314",NA,"40W53'27","18S45'18",NA,NA,NA,NA,NA,NA
"159","2017-09-14 11:44:37-03","MBML","MBML-HERBARIO","14319",NA,"Plantae","Cyperaceae","Cyperus",NA,"Cyperus",NA,NA,NA,NA,NA,"L. Kollmann; et al","3493","2000","12","12",NA,"Brasil","Espírito Santo","Barra de São Francisco","Cabeceira Córrego do Engenho","-40.890833","-18.755",NA,"MBML014319",NA,NA,NA,"Erva 20cm no sol. Espigas verdes.",NA,"MBML014319",NA,"40W53'27","18S45'18",NA,NA,NA,NA,NA,NA
