"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","geoFlag","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","phylum","imagecode","infraspecificEpithet","verbatimLongitude","verbatimLatitude","class","order","typeStatus","individualCount","relatedCatalogItem","sex"
"13","2020-03-10 08:29:10-03","UFV","VIC","46475","PreservedSpecimen","Plantae","Mimosoideae","Acacia",NA,"Acacia",NA,NA,NA,NA,NA,"Pizziolo, R.M.","175","1984","07","10",NA,"Brasil","Espírito Santo","Barra de São Francisco","Boa Sorte","-40.8908004760742","-18.7549991607666","36480","VIC046475","auto",NA,NA,"Trepadeira com frutos jovens; Trepadeira com frutos jovens",NA,"VIC046475",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-03-05 19:42:09-03","UFJF","CESJ","69781","PreservedSpecimen","Plantae","Verbenaceae","Lantana","tiliifolia","Lantana tiliifolia","Cham.","P.H. Cardoso","2020","02",NA,"L. Kollmann; E. Bausen; A.E.Andrade","3367","2000","11","22","América do Sul","Brasil","Espírito Santo","Barra de São Francisco","Parque Municipal Sombra da Tarde, Terreno de Sr. René","-40.8908004760742","-18.7549991607666","36480","CESJ069781","auto","230","230","Arbusto 1m. Sol. Flores laranjas","Angiosperma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-02-14 09:19:34-03","UNICAMP","UEC","145739","S","Plantae","Apocynaceae","Rauvolfia",NA,"Rauvolfia",NA,"Kollmann, L",NA,NA,NA,"Kollmann, L; Bausen, E; Clóves","3323","2000","11","21",NA,"Brazil","Espírito Santo","Barra de São Francisco","Brasil, ES, Município de Barra de São Francisco, Parque Municipal Sombra da Tarde.","-40.8908004760742","-18.7549991607666","36480","UEC181293","auto","230","230","Arbusto, 2,50 m.Frutos verdes.","Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-08-20 10:02:31-03","UNICAMP","UEC","171527","S","Plantae","Anacardiaceae","Tapirira",NA,"Tapirira","Aubl.","Tamashiro, JY","2013",NA,NA,"Kollmann, L; Bausen, E; Andrade, AE","3482","2000","12","12",NA,"Brazil","Espírito Santo","Barra de São Francisco","Cabeceira Córrego do Engenho. Terreno de Alfredo Bassi.","-40.8908004760742","-18.7549991607666","36480","UEC041365","auto","235","235","Árvore 20m. DAP 45cm. Fuste 10m. Flores brancas.","Magnoliopsida","UEC041365",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2019-08-20 10:02:01-03","UNICAMP","UEC","94234","S","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kollmann, L; Bausen, E","3400","2000","11","23",NA,"Brazil","Espírito Santo","Barra de São Francisco","Córrego das Palmas, terreno de Roberto Strey.","-40.8908004760742","-18.7549991607666","36480","UEC170748","auto",NA,NA,"Trepadeira no sol. Flores vermelhas. Látex.","Magnoliopsida","UEC170748",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-08-20 10:16:50-03","UNICAMP","UEC","132648","S","Plantae","Lauraceae","Rhodostemonodaphne","macrocalyx","Rhodostemonodaphne macrocalyx","(Meisn.) Rohwer ex Madriñán","Barbosa, TDM","2008","12","05","Kollmann, L; Bausen, E","3404","2000","11","23",NA,"Brazil","Espírito Santo","Barra de São Francisco","Córrego das Palmas, terreno de Roberto Strey.","-40.8908004760742","-18.7549991607666","36480","UEC014005","auto",NA,NA,"Arvoreto 10 m. Dap 15 cm. Frutos verdes, receptáculo vermelho, flores brancas.","Magnoliopsida","UEC014005",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2019-08-20 10:16:33-03","UNICAMP","UEC","132431","S","Plantae","Lauraceae","Ocotea","complicata","Ocotea complicata","(Meisn.) Mez","Assis, LCS","2008","10",NA,"Kollmann, L; Bausen, E","3388","2000","11","23",NA,"Brazil","Espírito Santo","Barra de São Francisco","Córrego das Palmas, terreno de Roberto Strey.","-40.8908004760742","-18.7549991607666","36480","UEC061092","auto",NA,NA,"Arvoreto 11 m. Fuste 4 m, DAP 13 cm. Frutos verdes.","Magnoliopsida","UEC061092",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-08-20 10:03:30-03","UNICAMP","UEC","152234","S","Plantae","Apocynaceae","Mandevilla","grazielae","Mandevilla grazielae","M.F.Sales, Kinoshita & A.O.Simões","Scudeler, AL","2018","10","18","Kollmann, L; Bausen, E","3543","2000","12","13",NA,"Brazil","Espírito Santo","Barra de São Francisco","Córrego de Poaia, fazenda Santa Cruz.","-40.8908004760742","-18.7549991607666","36480","UEC065671","auto",NA,NA,"Rupícola no sol. Arbusto 1m. Flores roxas.","Magnoliopsida","UEC065671",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-08-20 10:02:14-03","UNICAMP","UEC","132322","S","Plantae","Acanthaceae","Thunbergia",NA,"Thunbergia","Retz.",NA,NA,NA,NA,"Kollmann, L; Bausen, E; Clóves","3321","2000","11","21",NA,"Brazil","Espírito Santo","Barra de São Francisco","Parque Municipal Sombra da Tarde","-40.8908004760742","-18.7549991607666","36480","UEC054204","auto","230","230","Trepadeira no sol. Flores laranjas com fundo preto.","Magnoliopsida","UEC054204",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-08-20 10:03:52-03","UNICAMP","UEC","152214","S","Plantae","Apocynaceae","Prestonia","didyma","Prestonia didyma","(Vell.) Woodson",NA,"2018",NA,NA,"Kollmann, L; Bausen, E; Andrade, AE","3502","2000","12","12",NA,"Brazil","Espírito Santo","Barra de São Francisco","Parque Municipal Sombra da Tarde","-40.8908004760742","-18.7549991607666","36480","UEC038491","auto","230","230","Trepadeira no sol. Flores amarronzadas como o centro da corola branca.","Magnoliopsida","UEC038491",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-08-20 10:03:51-03","UNICAMP","UEC","152213","S","Plantae","Apocynaceae","Prestonia",NA,"Prestonia",NA,NA,NA,NA,NA,"Kollmann, L; Bausen, E; Andrade, AE","3457","2000","12","11",NA,"Brazil","Espírito Santo","Barra de São Francisco","Parque Municipal Sombra da Tarde.","-40.8908004760742","-18.7549991607666","36480","UEC078415","auto","250","250","Trepadeira no sol. Flores amarelas com o centro branco.","Magnoliopsida","UEC078415",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2019-08-20 10:03:21-03","UNICAMP","UEC","152218","S","Plantae","Apocynaceae","Himatanthus",NA,"Himatanthus",NA,NA,NA,NA,NA,"Kollmann, L; Bausen, E; Clóves","3324","2000","11","21",NA,"Brazil","Espírito Santo","Barra de São Francisco","Parque Municipal Sombra da Tarde.","-40.8908004760742","-18.7549991607666","36480","UEC078420","auto","230","230","Arvoreto 4m. Flores brancas.","Magnoliopsida","UEC078420",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2019-08-20 10:03:17-03","UNICAMP","UEC","152209","S","Plantae","Apocynaceae","Geissospermum",NA,"Geissospermum","Allemão","Simões, AO","2012","07",NA,"Kollmann, L; Bausen, E; Andrade, AE","3364","2000","11","22",NA,"Brazil","Espírito Santo","Barra de São Francisco","Parque municipal Sombra da Tarde. Terreno de Sr. René.","-40.8908004760742","-18.7549991607666","36480","UEC056935","auto","230","230","Arvoreto 3m. Flores marrons. Pau Pereira","Magnoliopsida","UEC056935",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2019-11-19 14:04:48-03","UFRPE","PEUFR","53754","PreservedSpecimen","Plantae","Asteraceae",NA,NA,NA,NA,NA,NA,NA,NA,"L. Kollmann ; E. Bausen e A. E. Andrade","3368","2000","11","22",NA,"Brasil","Espírito Santo","Mun. De Barra de São Francisco","Parque Municipal Sombra da Tarde. Terreno de Sr René. Altitude 230m.",NA,NA,NA,"PEUFR053754",NA,NA,NA,"Arvoreto 5m. Flores brancas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2019-11-19 14:06:53-03","UFRPE","PEUFR","52796","PreservedSpecimen","Plantae","Euphorbiaceae","Dalechampia","triphylla","Dalechampia triphylla","Lam.","R. A. Pereira-Silva","2016","12","01","L. Kollmann; E. Bausen; Clóves","3292","2000","11","21",NA,"Brasil","Espírito Santo","Barra de São Francisco","Parque Municipal Sombra da Tarde (Terreno do Sr. René)","-40.8908004760742","-18.7549991607666","36480","PEUFR052796","auto","230","230","Trepadeira no sol; frutos verdes.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2019-12-06 19:29:39-03","UFES","VIES","23412","S","Plantae","Fabaceae","Anadenanthera","peregrina","Anadenanthera peregrina falcata","(Benth.) Altschul","Silva, L.A.","2015","05",NA,"Kollmann, L.; Leme, S.","11788","2009","09","10",NA,"Brasil","Espírito Santo","Barra de São Francisco","estrada de Ecopóranga, Barra de São Francisco.","-40.816944","-18.539167",NA,"VIES023412",NA,NA,NA,NA,NA,"VIES023412","falcata","40º49'1''W","18º32'21''S",NA,NA,NA,NA,NA,NA
"29","2019-12-06 19:29:09-03","UFES","VIES","28138","S","Plantae","Acanthaceae","Aphelandra",NA,"Aphelandra",NA,NA,NA,NA,NA,"Assis, A.M.; Cribari, R.S.","4454","2018","04","09",NA,"Brasil","Espírito Santo","Barra de São Francisco","Cachoerinha de Itaúna.","-40.950556","-18.869167",NA,"VIES028138",NA,"370","370",NA,NA,"VIES028138",NA,"40º57'2''W","18º52'9''S",NA,NA,NA,NA,NA,NA
"30","2020-03-09 17:49:37-03","UFES","VIES","23026","S","Plantae","Asteraceae","Bidens","pilosa","Bidens pilosa","L.",NA,NA,NA,NA,"Dutra, J. V.","sn","2014","01","26",NA,"Brasil","Espírito Santo","Barra de São Francisco",NA,"-40.914167","-18.745278",NA,"VIES023026",NA,NA,NA,NA,NA,"VIES023026",NA,"40º54'51''W","18º44'43''S",NA,NA,NA,NA,NA,NA
"31","2019-12-06 19:29:31-03","UFES","VIES","28136","S","Plantae","Euphorbiaceae","Brasiliocroton","mamoninha","Brasiliocroton mamoninha","P.E.Berry & Cordeiro",NA,NA,NA,NA,"Assis, A.M.; Cribari, R.S.","4452","2018","04","09",NA,"Brasil","Espírito Santo","Barra de São Francisco","Cachoerinha de Itaúna.","-40.950556","-18.869167",NA,"VIES028136",NA,"370","370",NA,NA,"VIES028136",NA,"40º57'2''W","18º52'9''S",NA,NA,NA,NA,NA,NA
"32","2019-12-06 19:29:58-03","UFES","VIES","28144","S","Plantae","Moraceae","Clarisia",NA,"Clarisia",NA,NA,NA,NA,NA,"Assis, A.M.; Cribari, R.S.","4459","2018","04","09",NA,"Brasil","Espírito Santo","Barra de São Francisco","Cachoerinha de Itaúna.","-40.950556","-18.869167",NA,"VIES028144",NA,"370","370",NA,NA,"VIES028144",NA,"40º57'2''W","18º52'9''S",NA,NA,NA,NA,NA,NA
"33","2019-12-06 19:30:18-03","UFES","VIES","28137","S","Plantae","Rutaceae","Conchocarpus",NA,"Conchocarpus",NA,NA,NA,NA,NA,"Assis, A.M.; Cribari, R.S.","4453","2018","04","09",NA,"Brasil","Espírito Santo","Barra de São Francisco","Cachoerinha de Itaúna.","-40.950556","-18.869167",NA,"VIES028137",NA,"370","370",NA,NA,"VIES028137",NA,"40º57'2''W","18º52'9''S",NA,NA,NA,NA,NA,NA
"34","2020-03-09 17:49:41-03","UFES","VIES","28142","S","Plantae","Commelinaceae","Dichorisandra",NA,"Dichorisandra",NA,NA,NA,NA,NA,"Assis, A.M.; Cribari, R.S.","4457","2018","04","09",NA,"Brasil","Espírito Santo","Barra de São Francisco","Cachoerinha de Itaúna.","-40.950556","-18.869167",NA,"VIES028142",NA,"370","370",NA,NA,"VIES028142",NA,"40º57'2''W","18º52'9''S",NA,NA,NA,NA,NA,NA
"35","2019-12-06 19:30:18-03","UFES","VIES","28145","S","Plantae","Rutaceae","Erythrochiton","brasiliensis","Erythrochiton brasiliensis","Nees & Mart.",NA,NA,NA,NA,"Assis, A.M.; Cribari, R.S.","4460","2018","04","09",NA,"Brasil","Espírito Santo","Barra de São Francisco","Cachoerinha de Itaúna.","-40.950556","-18.869167",NA,"VIES028145",NA,"370","370",NA,NA,"VIES028145",NA,"40º57'2''W","18º52'9''S",NA,NA,NA,NA,NA,NA
"36","2019-12-06 19:29:52-03","UFES","VIES","28141","S","Plantae","Malvaceae","Pavonia",NA,"Pavonia",NA,NA,NA,NA,NA,"Assis, A.M.; Cribari, R.S.","4456","2018","04","09",NA,"Brasil","Espírito Santo","Barra de São Francisco","Cachoerinha de Itaúna.","-40.950556","-18.869167",NA,"VIES028141",NA,"370","370",NA,NA,"VIES028141",NA,"40º57'2''W","18º52'9''S",NA,NA,NA,NA,NA,NA
"37","2020-01-23 19:15:39-03","UFES","VIES","28140","S","Plantae","Piperaceae","Piper","boucheanum","Piper boucheanum","C.DC.","A. Melo","2020","01","20","Assis, A.M.; Cribari, R.S.","4455","2018","04","09",NA,"Brasil","Espírito Santo","Barra de São Francisco","Cachoerinha de Itaúna.","-40.950556","-18.869167",NA,"VIES028140",NA,"370","370",NA,NA,"VIES028140",NA,"40º57'2''W","18º52'9''S",NA,NA,NA,NA,NA,NA
"38","2019-12-06 19:30:15-03","UFES","VIES","28143","S","Plantae","Rubiaceae","Psychotria",NA,"Psychotria",NA,"F. Torres-Leite","2019","05",NA,"Assis, A.M.; Cribari, R.S.","4458","2018","04","09",NA,"Brasil","Espírito Santo","Barra de São Francisco","Cachoerinha de Itaúna.","-40.950556","-18.869167",NA,"VIES028143",NA,"370","370",NA,NA,"VIES028143",NA,"40º57'2''W","18º52'9''S",NA,NA,NA,NA,NA,NA
