"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","genus","scientificName","minimumElevationInMeters","maximumElevationInMeters","specificEpithet","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","infraspecificEpithet","imagecode","phylum","continentOcean","class","order","typeStatus"
"121","2019-10-16 14:13:11-03","UEL","FUEL","55401","PreservedSpecimen","Plantae","Chrysobalanaceae","Augusto-Silva, M","s.n.",NA,NA,NA,"Brasil","Minas Gerais","Virginópolis","Rio Corrente Grande, PCH Figueirinha","-42.7038993835449","-18.8227996826172",NA,NA,"Licania","Licania kunthiana",NA,NA,"kunthiana","Hook. f.","Brotto, ML","2016","11","16","19497","Arbórea com 16m de altura, bifurcada com 42 e 37 de CAP; frutos imaturos; Floresta Estacional Semidecidual Aluvial.","FUEL055401","auto",NA,NA,"Tracheophyta",NA,NA,"Malpighiales",NA
"122","2019-10-16 14:11:32-03","UEL","FUEL","19940","PreservedSpecimen","Plantae","Nyctaginaceae","Augusto-Silva, M","s.n.",NA,NA,NA,"Brasil","Minas Gerais","Virginópolis","Rio Corrente Grande, PCH Figueirinha","-42.7038993835449","-18.8227996826172",NA,NA,"Guapira","Guapira hirsuta",NA,NA,"hirsuta","(Choisy) Lundell",NA,NA,NA,NA,"19497","Árborea com 16m de altura e 81 cm de CAP; Floresta Estacional Semidecidual Aluvial",NA,"auto",NA,NA,"Tracheophyta",NA,NA,"Caryophyllales",NA
"123","2019-10-16 14:12:01-03","UEL","FUEL","55500","PreservedSpecimen","Plantae","Leguminosae","Augusto-Silva, M","s.n.",NA,NA,NA,"Brasil","Minas Gerais","Virginópolis","Rio Corrente Grande, PCH Figueirinha","-42.7038993835449","-18.8227996826172",NA,NA,"Copaifera","Copaifera luetzelburgii",NA,NA,"luetzelburgii","Harms","Brotto, ML","2016","11","16","19497","Arbórea com 15m de altura e 106cm de CAP; Floresta Estacional Semidecidual Aluvial.","FUEL055500","auto",NA,NA,"Tracheophyta",NA,NA,"Fabales",NA
"124","2019-02-07 09:49:45-02","MN","R-TIPOS","210681","S","Plantae","Podostemaceae","Philbrick, C.T.; Novelo, A.; Irgang, B.E. & de Senna Gastral Jr., C.V.","5672","2001","07","14","Brasil","Minas Gerais","Virginopolis","Rio Corrente Grande","-42.607222","-18.926944","42°36'26''W","18°55'37''S","Cipoia","Cipoia inserta","552","552","inserta","C. Philbrick, Novelo & Irgang",NA,NA,NA,NA,NA,NA,"R000210681",NA,NA,"R000210681_001",NA,NA,NA,NA,"Isoparatypus"
"125","2020-03-02 13:39:59-03","UFSC","FLOR","56206","PreservedSpecimen","Fungi","Clavulinaceae","Leal-Dutra, C.","CALD82","2013","12","20","Brasil","Minas Gerais","Virginópolis","Fazenda da Canga, Córrego São Felipe.","-42.693889","-18.783889","42º41'38''W","18º47'2''S","Clavulina","Clavulina",NA,NA,NA,NA,"Furtado, A.N.M.",NA,NA,NA,NA,NA,"FLOR0056206",NA,NA,NA,"Basidiomycota",NA,NA,"Cantharellales",NA
"126","2020-03-02 13:39:48-03","UFSC","FLOR","57293","PreservedSpecimen","Fungi","Hygrophoraceae","Leal-Dutra, C.","85","2013","12","20","Brasil","Minas Gerais","Virginópolis",NA,"-42.7038993835449","-18.8227996826172",NA,NA,"Hygrocybe","Hygrocybe",NA,NA,NA,NA,NA,NA,NA,NA,"19497",NA,"FLOR0057293","auto",NA,NA,"Basidiomycota",NA,NA,"Agaricales",NA
"127","2020-03-02 13:40:02-03","UFSC","FLOR","56207","PreservedSpecimen","Fungi","Gomphaceae","Leal-Dutra, C.","CALD81","2013","12","20","Brasil","Minas Gerais","Virginópolis","Fazenda da Canga, Córrego São Felipe.","-42.693889","-18.783889","42º41'38''W","18º47'2''S","Ramaria","Ramaria",NA,NA,NA,NA,"Furtado, A.N.M.",NA,NA,NA,NA,NA,"FLOR0056207",NA,NA,NA,"Basidiomycota",NA,NA,"Gomphales",NA
"128","2020-03-02 13:39:54-03","UFSC","FLOR","56382","PreservedSpecimen","Fungi","Pterulaceae","Leal-Dutra, C.A.","75","2013","12","20","Brasil","Minas Gerais","Virginópolis","Ribeirão do Canga, Fazenda do Canga.","-42.7038993835449","-18.8227996826172",NA,NA,"Pterula","Pterula",NA,NA,NA,NA,"Leal-Dutra, C.A.",NA,NA,NA,"19497",NA,"FLOR0056382","auto",NA,NA,"Basidiomycota",NA,NA,"Agaricales",NA
"129","2020-03-02 13:39:54-03","UFSC","FLOR","56385","PreservedSpecimen","Fungi","Pterulaceae","Leal-Dutra, C.A.","78","2013","12","20","Brasil","Minas Gerais","Virginópolis","Ribeirão do Canga, Fazenda do Canga.","-42.7038993835449","-18.8227996826172",NA,NA,"Pterula","Pterula",NA,NA,NA,NA,"Leal-Dutra, C.A.",NA,NA,NA,"19497",NA,"FLOR0056385","auto",NA,NA,"Basidiomycota",NA,NA,"Agaricales",NA
"130","2020-03-02 13:39:54-03","UFSC","FLOR","56386","PreservedSpecimen","Fungi","Pterulaceae","Leal-Dutra, C.A.","79","2013","12","20","Brasil","Minas Gerais","Virginópolis","Ribeirão do Canga, Fazenda do Canga.","-42.7038993835449","-18.8227996826172",NA,NA,"Pterula","Pterula",NA,NA,NA,NA,"Leal-Dutra, C.A.",NA,NA,NA,"19497",NA,"FLOR0056386","auto",NA,NA,"Basidiomycota",NA,NA,"Agaricales",NA
"131","2020-03-02 13:39:54-03","UFSC","FLOR","56383","PreservedSpecimen","Fungi","Pterulaceae","Leal-Dutra, C.A.","76","2013","12","20","Brasil","Minas Gerais","Virginópolis","Ribeirão do Canga, Fazenda do Canga.","-42.7038993835449","-18.8227996826172",NA,NA,"Pterula","Pterula",NA,NA,NA,NA,"Leal-Dutra, C.A.",NA,NA,NA,"19497",NA,"FLOR0056383","auto",NA,NA,"Basidiomycota",NA,NA,"Agaricales",NA
"132","2020-03-02 13:39:54-03","UFSC","FLOR","56380","PreservedSpecimen","Fungi","Pterulaceae","Leal-Dutra, C.A.","73","2013","12","20","Brasil","Minas Gerais","Virginópolis","Ribeirão do Canga, Fazenda do Canga.","-42.7038993835449","-18.8227996826172",NA,NA,"Pterula","Pterula",NA,NA,NA,NA,"Leal-Dutra, C.A.",NA,NA,NA,"19497",NA,"FLOR0056380","auto",NA,NA,"Basidiomycota",NA,NA,"Agaricales",NA
"133","2020-03-02 13:39:54-03","UFSC","FLOR","56379","PreservedSpecimen","Fungi","Pterulaceae","Leal-Dutra, C.A.","72","2013","12","20","Brasil","Minas Gerais","Virginópolis","Ribeirão do Canga, Fazenda do Canga.","-42.7038993835449","-18.8227996826172",NA,NA,"Pterula","Pterula",NA,NA,NA,NA,"Leal-Dutra, C.A.",NA,NA,NA,"19497",NA,"FLOR0056379","auto",NA,NA,"Basidiomycota",NA,NA,"Agaricales",NA
"134","2020-03-02 13:39:54-03","UFSC","FLOR","56381","PreservedSpecimen","Fungi","Pterulaceae","Leal-Dutra, C.A.","74","2013","12","20","Brasil","Minas Gerais","Virginópolis","Ribeirão do Canga, Fazenda do Canga.","-42.7038993835449","-18.8227996826172",NA,NA,"Pterula","Pterula juruensis",NA,NA,"juruensis","(Henn.) Corner","Leal-Dutra, C.A.",NA,NA,NA,"19497",NA,"FLOR0056381","auto",NA,NA,"Basidiomycota",NA,NA,"Agaricales",NA
"135","2020-03-02 13:39:54-03","UFSC","FLOR","56378","PreservedSpecimen","Fungi","Pterulaceae","Leal-Dutra, C.A.","71","2013","12","20","Brasil","Minas Gerais","Virginópolis","Ribeirão do Canga, Fazenda do Canga.","-42.7038993835449","-18.8227996826172",NA,NA,"Pterula","Pterula",NA,NA,NA,NA,"Leal-Dutra, C.A.",NA,NA,NA,"19497",NA,"FLOR0056378","auto",NA,NA,"Basidiomycota",NA,NA,"Agaricales",NA
"136","2020-03-02 13:39:54-03","UFSC","FLOR","56375","PreservedSpecimen","Fungi","Pterulaceae","Leal-Dutra, C.A.","69","2013","12","20","Brasil","Minas Gerais","Virginópolis","Ribeirão do Canga, Fazenda do Canga.","-42.7038993835449","-18.8227996826172",NA,NA,"Pterula","Pterula stipata",NA,NA,"stipata","Corner","Leal-Dutra, C.A.",NA,NA,NA,"19497",NA,"FLOR0056375","auto",NA,NA,"Basidiomycota",NA,NA,"Agaricales",NA
"137","2020-03-02 13:39:54-03","UFSC","FLOR","56376","PreservedSpecimen","Fungi","Pterulaceae","Leal-Dutra, C.A.","70A","2013","12","20","Brasil","Minas Gerais","Virginópolis","Ribeirão do Canga, Fazenda do Canga.","-42.7038993835449","-18.8227996826172",NA,NA,"Pterula","Pterula",NA,NA,NA,NA,"Leal-Dutra, C.A.",NA,NA,NA,"19497",NA,"FLOR0056376","auto",NA,NA,"Basidiomycota",NA,NA,"Agaricales",NA
"138","2020-03-02 13:39:54-03","UFSC","FLOR","56374","PreservedSpecimen","Fungi","Pterulaceae","Leal-Dutra, C.A.","68","2013","12","20","Brasil","Minas Gerais","Virginópolis","Ribeirão do Canga, Fazenda do Canga.","-42.7038993835449","-18.8227996826172",NA,NA,"Pterula","Pterula fluminensis",NA,NA,"fluminensis","Corner","Leal-Dutra, C.A.",NA,NA,NA,"19497",NA,"FLOR0056374","auto",NA,NA,"Basidiomycota",NA,NA,"Agaricales",NA
"139","2020-03-02 13:39:54-03","UFSC","FLOR","56384","PreservedSpecimen","Fungi","Pterulaceae","Leal-Dutra, C.A.","77","2013","12","20","Brasil","Minas Gerais","Virginópolis","Ribeirão do Canga, Fazenda do Canga.","-42.7038993835449","-18.8227996826172",NA,NA,"Pterula","Pterula epiphylloides",NA,NA,"epiphylloides","Corner","Leal-Dutra, C.A.",NA,NA,NA,"19497",NA,"FLOR0056384","auto",NA,NA,"Basidiomycota",NA,NA,"Agaricales",NA
"140","2020-03-02 13:39:54-03","UFSC","FLOR","56387","PreservedSpecimen","Fungi","Pterulaceae","Leal-Dutra, C.A.","83","2013","12","20","Brasil","Minas Gerais","Virginópolis","Ribeirão do Canga, Fazenda do Canga.","-42.7038993835449","-18.8227996826172",NA,NA,"Pterula","Pterula",NA,NA,NA,NA,"Leal-Dutra, C.A.",NA,NA,NA,"19497",NA,"FLOR0056387","auto",NA,NA,"Basidiomycota",NA,NA,"Agaricales",NA
"141","2020-03-06 14:31:11-03","UFRGS","ICN","132491","S","Plantae","Podostemaceae","Philbrick, CT; et al.","5672","2001","07","14","Brasil","MG","Virginópolis","along road from Açucena Rio Corrente Grande lat. 18°55'36 6 S long. 42°36'26 0 W","-42.607222","-18.926667","-42.607222","-18.926667","Cipoia","Cipoia inserta","552","552","inserta","C.T. Philbrick, Novelo & Irgang",NA,NA,NA,NA,NA,"Doação de Western Connecticut State University.","ICN00029364",NA,NA,NA,"Dicotyledon","América do Sul",NA,NA,"Paratypus"
