"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","locality","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","relatedCatalogItem"
"11","2020-03-04 11:49:48-03","UFRJ","RFA","26307","Preservedecimen","Plantae",NA,NA,"Myrtaceae","Campomanesia",NA,"Campomanesia",NA,NA,NA,"F.B.Pereira","21610","2000","12","19",NA,"Brasil","Minas Gerais","Abre Campo","42.500278","-20.225",NA,NA,"Arvore, 6m de altura, 9cm de DAP. folha verde, caule palha, raíz palha, flor branca e rara no local.","RFA41932",NA,NA,NA,"42º30'1''E","20º13'30''S",NA,NA,NA,NA,NA,NA
"12","2020-03-04 11:48:58-03","UFRJ","RFA","26306","Preservedecimen","Plantae",NA,NA,"Costaceae","Chamaecostus","cuspidatus","Chamaecostus cuspidatus","(Nees & Mart.) C.D.Specht & D.W.Stev.","T. André","2012","F. B. Pereira","21582","2000","12","19",NA,"Brasil","Minas Gerais","Abre Campo","-42.498056","-20.226667",NA,NA,"Herbácea, planta inteiramente verde, flor laranja, rara no local.","RFA37556",NA,NA,"1° Distrito, Fazenda Cachoeira.","42º29'53''W","20º13'36''S","05","09","504","504",NA,NA
"13","2020-03-04 11:48:58-03","UFRJ","RFA","26344","Preservedecimen","Plantae",NA,NA,"Connaraceae","Connarus","regnellii","Connarus regnellii","G.Schellenb.","L. F. G. da Silva & D. Medina","2001","F. B. Pereira",NA,"2000","12","22",NA,"Brasil","Minas Gerais","Abre Campo","-42.527778","-20.201389",NA,NA,"Árvore, 11m de altura, 16cm de DAP, folha verde, caule vinho, raiz rosa, fruto vermelho, rara no local.","RFA37543",NA,NA,"1° Distrito, Fazenda Cachoeira.","42º31'40''W","20º12'5''S","12","11","569","569",NA,NA
"14","2020-03-04 11:48:58-03","UFRJ","RFA","26305","Preservedecimen","Plantae",NA,NA,"Cyperaceae",NA,NA,NA,NA,NA,NA,"F. M. de B. Pereira","21551","2000","12","19",NA,"Brasil","Minas Gerais","Abre Campo","-42.501111","-20.227778",NA,NA,"Herbácea, planta inteiramente verde, flor marrom, abundante no local.","RFA37150",NA,NA,"1º Distrito; Fazenda Cachoeira.","42º30'4''W","20º13'40''S",NA,NA,"520","520",NA,NA
"15","2020-03-04 11:48:58-03","UFRJ","RFA","26319","Preservedecimen","Plantae",NA,NA,"Cyperaceae",NA,NA,NA,NA,NA,NA,"F. M. de B. Pereira",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Abre Campo","-42.520556","-20.209444",NA,NA,"subarbusto, folha verde, raiz preta, semente castanha, comum no local.","RFA37138",NA,NA,"1º Distrito; Fazenda Cachoeira","42º31'14''W","20º12'34''S",NA,NA,"542","542",NA,NA
"16","2020-03-04 11:49:48-03","UFRJ","RFA","26313","Preservedecimen","Plantae",NA,NA,"Myrtaceae","Eugenia",NA,"Eugenia",NA,NA,NA,"F.B. Pereira","21794","2000","12","19",NA,"Brasil","Minas Gerais","Abre Campo","-42.499444","-20.225278",NA,NA,"Arbusto 5 m de altura, 6 cm de DAP; folha verde, caule cinza, flor amarela, rara no local","RFA39116",NA,NA,"1º Distrito. Fazenda Cachoeira","42º29'58''W","20º13'31''S",NA,NA,"524","524",NA,NA
"17","2020-03-04 11:49:04-03","UFRJ","RFA","26327","Preservedecimen","Plantae",NA,NA,"Euphorbiaceae",NA,NA,NA,NA,NA,NA,"F. B. Pereira",NA,"2000","12","20",NA,"Brasil","Minas Gerais","Abre Campo","-42.501667","-20.224167",NA,NA,"Trepadeira, planta inteira verde, flor branca, rara no local.","RFA37852",NA,NA,"1° Distrito. Fazenda Cachoeira.","42º30'6''W","20º13'27''S",NA,NA,"568","568",NA,NA
"18","2020-03-04 11:49:04-03","UFRJ","RFA","26339","Preservedecimen","Plantae",NA,NA,"Euphorbiaceae",NA,NA,NA,NA,NA,NA,"F. B. Pereira",NA,"2000","12","21",NA,"Brasil","Minas Gerais","Abre Campo","-42.488056","-20.230556",NA,NA,"Arbusto, 2m de altura, 4cm de DAP, folha e caule verdes, raiz palha, flor branca, rara no local, capoeira/pasto sobre solo argiloso, luminosidade média.","RFA37934",NA,NA,"1° Distrito, Fazenda de Cachoeira.","42º29'17''W","20º13'50''S",NA,NA,"399","399",NA,NA
"19","2020-03-04 11:49:36-03","UFRJ","RFA","26345","Preservedecimen","Plantae",NA,NA,"Malvaceae","Helicteres","ovata","Helicteres ovata","Lam.","D.Medina, T.Teruaki & L.F.G.da Silva","2002","F. B. Pereira",NA,"2000","12","22",NA,"Brasil","Minas Gerais","Abre Campo","-42.527778","-20.200556",NA,NA,"Arbusto, 5m de altura, 11cm de DAP, folha verde, caule cinza, raiz marrom, fruto verde, rara no local","RFA29747",NA,NA,"1º distrito, Fazenda Cachoreira","42º31'40''W","20º12'2''S","04","29","560","560",NA,NA
"20","2020-03-04 11:47:51-03","UFRJ","RFA","26310","Preservedecimen",NA,NA,NA,"Indeterminada",NA,NA,NA,NA,NA,NA,"F. B. Pereira","21702","2000","12","19",NA,"Brasil","Minas Gerais","Abre Campo","-42.500278","-20.225",NA,NA,"Árvore, 9m de altura, 11cm de DAP, folha verde, caule cinza, raiz castanha, flor verde, comum no local","RFA30068",NA,NA,"1º distrito - Fazenda Cachoeira","42º30'1''W","20º13'30''S",NA,NA,"470","470",NA,NA
"21","2020-03-04 11:47:51-03","UFRJ","RFA","26318","Preservedecimen",NA,NA,NA,"Indeterminada",NA,NA,NA,NA,NA,NA,"F. B. Pereira",NA,"2000","12","20",NA,"Brasil","Minas Gerais","Abre Campo","-42.520556","-20.209444",NA,NA,"Árvore, 7m de altura, 9cm de DAP, folha verde, caule marrom, raiz amarela, fruto verde, rara no local","RFA30067",NA,NA,"1º distrito - Fazenda Cachoeira","42º31'14''W","20º12'34''S",NA,NA,"540","540",NA,NA
"22","2020-03-04 11:47:51-03","UFRJ","RFA","26331","Preservedecimen",NA,NA,NA,"Indeterminada",NA,NA,NA,NA,NA,NA,"F. B. Pereira",NA,"2000","12","21",NA,"Brasil","Minas Gerais","Abre Campo","-42.491944","-20.237778",NA,NA,"Arbusto, 1,5m de altura, folha e caule verdes, raiz amarela, fruto verde, rara no local","RFA30069",NA,NA,"1º distrito, Fazenda Cachoeira","42º29'31''W","20º14'16''S",NA,NA,"399","399",NA,NA
"23","2020-03-04 11:49:22-03","UFRJ","RFA","26311","Preservedecimen","Plantae",NA,NA,"Fabaceae","Inga","capitata","Inga capitata","Desv.","H. C. de Lima","2001","F. B. Pereira","21732","2000","12","19",NA,"Brasil","Minas Gerais","Abre Campo","-42.500278","-20.225",NA,NA,"Árvore, 8m de altura, 6cm de DAP, folha verde, caule verde, raiz palha, fruto verde, comum no local.","RFA39427",NA,NA,"1° Distrito-Fazenda Cachoeira.","42º30'1''W","20º13'30''S","05","30","471","471",NA,NA
"24","2020-03-04 11:48:58-03","UFRJ","RFA","26329","Preservedecimen","Plantae",NA,NA,"Convolvulaceae","Jacquemontia","holosericea","Jacquemontia holosericea","(Weinm.) O'Donell","R. Simão Bianchini","2010","F. B. Pereira",NA,"2000","12","21",NA,"Brasil","Minas Gerais","Abre Campo","-42.492778","-20.238056",NA,NA,"Trepadeira, planta inteira verde, flor roxa, comum no local","RFA37554",NA,NA,"1° Distrito - Fazenda Cachoeira","42º29'34''W","20º14'17''S",NA,NA,"469","469",NA,NA
