"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","locality","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","relatedCatalogItem"
"36","2020-03-04 11:50:19-03","UFRJ","RFA","26337","Preservedecimen","Plantae",NA,NA,"Ulmaceae",NA,NA,NA,NA,NA,NA,"F. M. de B. Pereira",NA,"2000","12","21",NA,"Brasil","Minas Gerais","Abre Campo","-42.490556","-20.236389",NA,NA,"Arbusto, 5 m de altura, 3 cm de DAP, folha verde, caule cinza, raiz marrom, fruto verde, comum no local","RFA50365",NA,NA,"1° Distrito - Fazenda Cachoeira","42º29'26''W","20º14'11''S",NA,NA,"404","404",NA,NA
"37","2019-11-04 10:49:02-03","UFRJ","RFA","26316","Preservedecimen","Plantae",NA,NA,"Rutaceae","Zanthoxylum","rhoifolium","Zanthoxylum rhoifolium","Lam.","J.M.A.Braga","2000","F.B.Pereira","12","2000","12","20",NA,"Brasil","Minas Gerais","Abre Campo","-42.521944","-20.210278",NA,NA,"Folha e caule verde, raiz marrom, fruto verde Habito: Árvore","RFA29356",NA,NA,"1º distrito - Fazenda Cachoeira","42º31'19''W","20º12'37''S","02","20",NA,NA,NA,NA
"38","2020-03-04 11:48:26-03","UFRJ","RFA","26342","Preservedecimen","Plantae",NA,NA,"Apocynaceae",NA,NA,NA,NA,NA,NA,"F. B. Pereira",NA,"2000","12","22",NA,"Brasil","Minas Gerais","Abre Campo","-42.4775009155273","-20.3010997772217","24138",NA,"Trepadeira,planta inteira verde,flor amarela e lilás.","RFA32497",NA,"auto","1º Distrito -Fazenda Cachoeira.",NA,NA,NA,NA,"392","392",NA,NA
"39","2019-09-24 10:57:03-03","EAO","IAN","120766","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Machaerium","brasiliense","Machaerium brasiliense","Vogel","Rudd, VE","1973","Heringer, EP","10288","1965","01","28","Southern America","Brasil","Minas Gerais","Abre Campo","-42.4775009155273","-20.3010997772217","24138",NA,"Arbusto","IAN120766",NA,"auto",NA,NA,NA,"03",NA,NA,NA,NA,NA
"40","2019-09-24 10:57:06-03","EAO","IAN","120765","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Machaerium","oblongifolium","Machaerium oblongifolium","Vogel","Rudd, VE","1973","Heringer, EP","10287","1965","01","28","Southern America","Brasil","Minas Gerais","Abre Campo","-42.4775009155273","-20.3010997772217","24138",NA,"Trepadeira","IAN120765",NA,"auto",NA,NA,NA,"04",NA,NA,NA,NA,NA
"41","2019-02-22 15:20:50-03","ESALQ","ESA","78951","S","Plantae","Magnoliophyta",NA,"Lauraceae","Nectandra",NA,"Nectandra",NA,NA,NA,"Salino, A. ; Moraes, P.O.","4582","1999","04","10",NA,"Brasil","Minas Gerais","Abre Campo","-42.4775009155273","-20.3010997772217","24138",NA,NA,"ESA078951","ESA078951","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2019-02-22 15:20:39-03","ESALQ","ESA","78930","S","Plantae","Magnoliophyta",NA,"Lauraceae",NA,NA,NA,NA,NA,NA,"Salino, A. ; Moraes, P.O.","4584","1999","04","10",NA,"Brasil","Minas Gerais","Abre Campo","-42.4775009155273","-20.3010997772217","24138",NA,NA,"ESA078930","ESA078930","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2020-03-10 08:29:46-03","UFV","VIC","16120","PreservedSpecimen","Plantae",NA,NA,"Orchidaceace","Pleurothallis","malacantha","Pleurothallis malacantha",NA,"Leoni, L.S.","1996","Paula, C.C.","1091","1996","01","12",NA,"Brasil","Minas Gerais","Abre-Campo",NA,NA,NA,NA,"Rupícula heliófila crescendo numa rocha em área desmatada. Flores creme.","VIC016120","VIC016120",NA,"Serra do Matipó",NA,NA,"07","03",NA,NA,NA,NA
"44","2020-03-10 08:30:49-03","UFV","VIC","024437","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Solanum","insidiosum","Solanum insidiosum","Mart.",NA,NA,"Salino, A.","4583","1999","04","10",NA,"Brasil","Minas Gerais","Abre Campo","-42.4775009155273","-20.3010997772217","24138",NA,"Arbusto de 2,5 m, folhas herbáceas, flores variando de creme a verdes, estames amarelos, frutos imaturos verdes.","VIC024437",NA,"auto","Área de Usina hidrelétrica de Granada",NA,NA,NA,NA,NA,NA,NA,NA
"45","2020-03-10 08:27:41-03","UFV","VIC","015671","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Dyckia","weddelliana","Dyckia weddelliana","Baker",NA,NA,"de Paula, C.C.","1079","1996","01","04",NA,"Brasil","Minas Gerais","Abre Campo","-42.4775009155273","-20.3010997772217","24138",NA,"Rupícola, inflorescência de frutos maduros, inflorescência de cerca de 1,5 m.","VIC015671","VIC015671","auto","PESB, Fazenda de brigadeiro para Matipó grande.",NA,NA,NA,NA,NA,NA,NA,NA
"46","2020-03-10 08:29:50-03","UFV","VIC","016094","PreservedSpecimen","Plantae",NA,NA,"Orquidaceae","Epidendrum","xanthinum","Epidendrum xanthinum","Lindl.",NA,NA,"Paula, C.C. de","1093","1996","01","12",NA,"Brasil","Minas Gerais","Abre Campo","-42.4775009155273","-20.3010997772217","24138",NA,"Rupícola, helófila, crescendo em rocha em área desmatada.","VIC016094","VIC016094","auto","PESB, Serra de Matipó, valedo córrego São José proximo a trilha que sobe para maior montanha.",NA,NA,NA,NA,NA,NA,NA,NA
"47","2020-03-10 08:29:48-03","UFV","VIC","016136","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Maxillaria",NA,"Maxillaria",NA,NA,NA,"de Paula, C.C.","992","1995","05",NA,NA,"Brasil","Minas Gerais","Abre Campo","-42.4775009155273","-20.3010997772217","24138",NA,"Rupícola, heliófila de flores marrons.","VIC016136","VIC016136","auto","PESB, Serra do matipó vertente do córrego São José cerca de 1300 m de altitude.",NA,NA,NA,NA,NA,NA,NA,NA
"48","2019-11-21 14:39:54-03","UFJF","CESJ","33303","PreservedSpecimen","Plantae","Angiosperma",NA,"Moraceae","Dorstenia","arifolia","Dorstenia arifolia","Lam.","C.C.Berg","2001","A. Salino; P.O.Morais","4592","1999","04","10","América do Sul","Brasil","Minas Gerais","Abre Campo","-42.4775009155273","-20.3010997772217","24138",NA,"Erva terrícola, folhas herbáceas, inflorescência cor de de vinho tinto","CESJ033303",NA,"auto","Distrito de Granada, área da UHE de Granada",NA,NA,"03",NA,NA,NA,NA,NA
"49","2019-08-20 10:03:51-03","UNICAMP","UEC","31906","S","Plantae","Magnoliopsida",NA,"Apocynaceae","Peschiera","solanifolia","Peschiera solanifolia solanifolia","(A.DC.) Miers","Kinoshita, LS","1992","Duarte, AP","8578","1964","11","26",NA,"Brazil","Minas Gerais","Abre Campo","-42.4775009155273","-20.3010997772217","24138",NA,"flor, fruto, Pequena árvore de formação secundária. Freqüentíssima.","UEC189664","UEC189664","auto",NA,NA,NA,"11",NA,NA,NA,"solanifolia",NA
"50","2019-11-06 09:55:16-03","UFOP","OUPR","6727","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Mabea","fistulifera","Mabea fistulifera","Mart.","Zurlo, M.A.","1978","Zurlo, M.A.","s.n.","1978","05","15",NA,"Brasil","Minas Gerais","Abre Campo","-42.4775009155273","-20.3010997772217","24138",NA,"Árvore. Mata em beira de estrada",NA,NA,"auto",NA,NA,NA,"05","23",NA,NA,NA,NA
"51","2019-11-05 16:46:15-03","UFOP","OUPR","8962","PreservedSpecimen","Plantae",NA,NA,"Balanophoraceae","Lophophytum",NA,"Lophophytum",NA,NA,NA,"Latini, A.B.","s.n.","1999","09","07",NA,"Brasil","Minas Gerais","Abre Campo","-42.4775009155273","-20.3010997772217","24138",NA,"Planta carnosa, parasita, inflorescência alongada cercada por brácteas escamiformes, flores unissexuais, floresce no período de julho a outubro. Em raiz de Inga, em floresta estacional.",NA,NA,"auto","Zona rural de Vargem Grande.",NA,NA,NA,NA,NA,NA,NA,NA
"52","2019-10-02 14:53:55-03","UFMG","BHCB","45290","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Dalbergia","nigra","Dalbergia nigra","(Vell.) Allemão ex Benth.",NA,NA,"Lemos Filho, JP","s.n.","2004","01","18","Southern America","Brasil","Minas Gerais","Abre Campo","-42.45","-20.333333",NA,NA,NA,NA,NA,NA,NA,"-42.45","-20.333333",NA,NA,NA,NA,NA,NA
"53","2019-10-02 15:04:19-03","UFMG","BHCB","47197","PreservedSpecimen","Plantae","Dicotyledon",NA,"Solanaceae","Solanum","insidiosum","Solanum insidiosum","Mart.",NA,NA,"Salino, A; Morais, PO","4583","1999","04","10","Southern America","Brasil","Minas Gerais","Abre Campo","-42.4775009155273","-20.3010997772217","24138",NA,"Arbusto, 2,5m. Folhas herbáceas. Flores variando de creme a verde, estames amarelos. Frutos imaturos verdes",NA,NA,"auto","Distrito de Granada, Área da Usina Hidrelétria de Granada",NA,NA,NA,NA,NA,NA,NA,NA
"54","2019-10-02 14:56:45-03","UFMG","BHCB","47202","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Clidemia","capitellata","Clidemia capitellata","(Bonpl.) D.Don",NA,"2018","Salino, A","4588","1999","04","10","Southern America","Brasil","Minas Gerais","Abre Campo","-42.4775009155273","-20.3010997772217","24138",NA,"Arbusto, 1m de altura, folhas herbáceas, flores brancas, frutos imaturos verdes","BHCB046314",NA,"auto","Distrito de Granada, Área da usina hidrelétrica de Granada",NA,NA,NA,NA,NA,NA,NA,NA
"55","2019-12-23 17:49:09-03","UFMG","BHCB","47195","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae",NA,NA,NA,"Lindl.",NA,NA,"Salino, A; Morais, PO","4581","1999","04","10","Southern America","Brasil","Minas Gerais","Abre Campo","-42.4775009155273","-20.3010997772217","24138",NA,"Árvore com 7m de altura, folhas cartáceas e flores creme.","BHCB005005",NA,"auto","Granada. UHE Cachoeira do Emboque.",NA,NA,NA,NA,NA,NA,NA,NA
"56","2018-12-03 11:16:47-02","CEPLAC","CEPEC","38521","S","Plantae",NA,NA,"Fabaceae","Dalbergia","nigra","Dalbergia nigra",NA,"A. M. de Carvalho",NA,"A. P. Duarte","8607","1964","09","26",NA,"Brasil","Minas Gerais","ABRE CAMPO","-42.4775009155273","-20.3010997772217","24138",NA,NA,NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,"30/09/1986"
"57","2018-12-03 11:16:47-02","CEPLAC","CEPEC","56547","S","Plantae",NA,NA,"Fabaceae","Dalbergia","nigra","Dalbergia nigra",NA,"A. M. de Carvalho",NA,"A. P. Duarte","8607","1964","11","26",NA,"Brasil","Minas Gerais","ABRE CAMPO","-42.4775009155273","-20.3010997772217","24138",NA,NA,NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,"30/12/1992"
"58","2019-11-07 11:19:28-03","UFMG","BHCB-SL","47210","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Adiantum","latifolium","Adiantum latifolium","Lam.","Prado, J","2006","Salino, A","4596","1999","04","11","América","Brasil","Minas Gerais","Abre Campo","-42.650772","-20.164339",NA,NA,"Terrestre",NA,NA,NA,"Granada. UHE Cachoeira do Emboque.","-42.650772","-20.164339","09",NA,"450","450",NA,NA
"59","2019-11-07 11:19:47-03","UFMG","BHCB-SL","47208","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Doryopteris","varians","Doryopteris varians","(Raddi) J.Sm.","Salino, A","2001","Salino, A","4594","1999","04","11","América","Brasil","Minas Gerais","Abre Campo","-42.650772","-20.164339",NA,NA,"Rupícola",NA,NA,NA,"Granada. UHE Cachoeira do Emboque.","-42.650772","-20.164339","09",NA,"450","450",NA,NA
"60","2019-11-07 11:19:50-03","UFMG","BHCB-SL","47203","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Hemionitis","tomentosa","Hemionitis tomentosa","(Lam.) Raddi","Salino, A","1999","Salino, A; Morais, PO","4589","1999","04","10","América","Brasil","Minas Gerais","Abre-Campo",NA,NA,NA,NA,"Terrícola interior de floresta semidecídua.",NA,NA,NA,"Distrito de Granada, área de Usina Hidrelétrica de",NA,NA,"04",NA,NA,NA,NA,NA
"61","2020-03-04 20:43:48-03","UFMG","BHCB-SL","47199","PreservedSpecimen","Plantae",NA,NA,"Thelypteridaceae","Meniscium","arborescens","Meniscium arborescens","Humb. ex Willd.","Fernandes, RS","2014","Salino, A; Morais, PO","4585","1999","04","10","América","Brasil","Minas Gerais","Abre-Campo",NA,NA,NA,NA,"terrícola, na borda de floresta, próximo ao rio",NA,NA,NA,"Distrito de Granada, área de Usina Hidrelétrica de",NA,NA,"04","11",NA,NA,NA,NA
"62","2019-12-19 16:20:33-03","UFMG","BHCB-SL","47207","PreservedSpecimen","Plantae",NA,NA,"Anemiaceae","Anemia","collina","Anemia collina","Raddi","Mickel, JT","2004","Salino, A; Morais, PO","4593","1999","04","11","América","Brasil","Minas Gerais","Abre Campo","-42.4775009155273","-20.3010997772217","24138",NA,"sobre rocha, interior de floresta ciliar","BHCB000505","BHCB000505","auto","Área da usina Hidrelétrica de Granada",NA,NA,"11",NA,NA,NA,NA,NA
"63","2016-09-19 16:19:47-03","UnB","UB","165485","S","Plantae","Dicotyledoneae",NA,"Sapindaceae","Diatenopteryx","grazielae","Diatenopteryx grazielae","Vaz & Andreata","Ferrucci, MS","1987","Heringer, EP","10286","1965","01","28","Southern America","Brasil","Minas Gerais","Abre Campo","-42.4775009155273","-20.3010997772217","24138",NA,"Árvore.",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","2018-03-09 14:28:42-03","UnB","UB",NA,"S","Plantae","Dicotyledoneae",NA,"Bignoniaceae","Anemopaegma","pabstii","Anemopaegma pabstii","A.H. Gentry","Silva-Castro, MM","2011","Heringer, EP","10289","1965","01","28","Southern America","Brasil","Minas Gerais","Abre Campo","-42.4775009155273","-20.3010997772217","24138",NA,"Trepadeira, flores amarelas",NA,NA,"auto",NA,NA,NA,"05","18",NA,NA,NA,NA
