"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","imagecode","order","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","class"
"67","2019-11-07 11:15:57-03","UFMG","BHCB-SL","133909","PreservedSpecimen","Plantae",NA,"Cyatheaceae","Cyathea","hirsuta","Cyathea hirsuta","C.Presl","Almeida, TE","2010","03","Almeida, TE; Souza, DT","2113","2009","09","25","América","Brasil","Minas Gerais","Gonzaga","Margens do rio Corrente Grande, Floresta Estacional Semidecidual","-42.545778","-18.946861",NA,"Arborescente em barranco na borda de mata. Caule com 1,5m; pecíolo com 92 cm e lâmina com 160 cm",NA,NA,NA,NA,"-42.545778","-18.946861","500","500","03",NA
"68","2019-11-07 11:17:08-03","UFMG","BHCB-SL","128817","PreservedSpecimen","Plantae",NA,"Gleicheniaceae","Dicranopteris","flexuosa","Dicranopteris flexuosa","(Schrad.) Underw.","Almeida, TE","2009","03","Almeida, TE; Souza, DT","1914","2009","03","27","América","Brasil","Minas Gerais","Gonzaga","Margens do rio Corrente Grande, Floresta Estadual Semidecidual","-42.545778","-18.946861",NA,"ERva terrestre em barranco, borda de floresta",NA,NA,NA,NA,"-42.545778","-18.946861","496","496","27",NA
"69","2019-11-07 11:19:36-03","UFMG","BHCB-SL","133910","PreservedSpecimen","Plantae",NA,"Pteridaceae","Doryopteris","collina","Doryopteris collina","(Raddi) J.Sm.","Almeida, TE","2009","09","Almeida, TE; Souza, DT","2114","2009","09","26","América","Brasil","Minas Gerais","Gonzaga","Margens do rio Corrente Grande, Mata Ciliar","-42.520556","-18.947444",NA,"Erva rupícola em paredão rochoso",NA,NA,NA,NA,"-42.520556","-18.947444","470","470","26",NA
"70","2019-11-07 11:19:36-03","UFMG","BHCB-SL","133914","PreservedSpecimen","Plantae",NA,"Pteridaceae","Doryopteris","collina","Doryopteris collina","(Raddi) J.Sm.","Almeida, TE","2009","09","Almeida, TE; Souza, DT","2118","2009","09","26","América","Brasil","Minas Gerais","Gonzaga","Margens do rio Corrente Grande, Mata Ciliar","-42.52975","-18.948139",NA,"Erva rupícola em barranco a beira de estrada",NA,NA,NA,NA,"-42.52975","-18.948139","470","470","26",NA
"71","2019-11-07 11:17:10-03","UFMG","BHCB-SL","133908","PreservedSpecimen","Plantae",NA,"Gleicheniaceae","Gleichenella","pectinata","Gleichenella pectinata","(Willd.) Ching","Almeida, TE","2009","09","Almeida, TE; Souza, DT","2112","2009","09","24","América","Brasil","Minas Gerais","Gonzaga","Margens do rio Corrente Grande, Floresta Estacional Semidecidual","-42.520556","-18.947444",NA,"Erva terrestre em barranco a beira de estrada",NA,NA,NA,NA,"-42.520556","-18.947444","470","470","24",NA
"72","2019-11-07 11:18:04-03","UFMG","BHCB-SL","128792","PreservedSpecimen","Plantae",NA,"Lygodiaceae","Lygodium","venustum","Lygodium venustum","Sw.","Almeida, TE","2009","03","Almeida, TE; Souza, DT","1889","2009","03","25","América","Brasil","Minas Gerais","Gonzaga","Margens do rio Corrente Grande, Floresta Estadual Semidecidual","-42.545778","-18.946861",NA,"Trepadeira em borda de mata",NA,NA,NA,NA,"-42.545778","-18.946861","496","496","24",NA
"73","2019-11-07 11:17:51-03","UFMG","BHCB-SL","128816","PreservedSpecimen","Plantae",NA,"Lycopodiaceae","Palhinhaea","cernua","Palhinhaea cernua","(L.) Franco & Vasc.","Almeida, TE","2009","03","Almeida, TE; Souza, DT","1913","2009",NA,NA,"América","Brasil","Minas Gerais","Gonzaga","Margens do rio Corrente Grande, Floresta Estadual Semidecidual","-42.545778","-18.946861",NA,"Erva terrestre em barranco, borda de floresta",NA,NA,NA,NA,"-42.545778","-18.946861","500","500","27",NA
"74","2019-11-07 11:18:55-03","UFMG","BHCB-SL","133906","PreservedSpecimen","Plantae",NA,"Polypodiaceae","Pleopeltis","astrolepis","Pleopeltis astrolepis","(Liebm.) E.Fourn.","Almeida, TE","2009","09","Almeida, TE; Souza, DT","2110","2009","09","24","América","Brasil","Minas Gerais","Gonzaga","Margens do rio Corrente Grande. Floresta Estacional Semidecidual","-42.520556","-18.9475",NA,"Erva epífita no interior de floresta",NA,NA,NA,NA,"-42.520556","-18.9475","470","470","24",NA
"75","2019-11-07 11:20:13-03","UFMG","BHCB-SL","133904","PreservedSpecimen","Plantae",NA,"Pteridaceae","Pteris","plumula","Pteris plumula","Desv.","Almeida, TE","2010","03","Almeida, TE; Souza, DT","2108","2009","09","24","América","Brasil","Minas Gerais","Gonzaga","Margens do rio Corrente Grande, Floresta Estacional Semidecidual","-42.520556","-18.947444",NA,"Terrestre a beira de córrego",NA,NA,NA,NA,"-42.520556","-18.947444","500","500","03",NA
"76","2019-11-07 11:20:16-03","UFMG","BHCB-SL","128791","PreservedSpecimen","Plantae",NA,"Pteridaceae","Pteris","splendens","Pteris splendens","Kaulf.","Almeida, TE","2009","03","Almeida, TE; Souza, DT","1888","2009","03","24","América","Brasil","Minas Gerais","Gonzaga","Margens do rio Corrente Grande, Floresta Estadual Semidecidual","-42.545778","-18.946861",NA,"Erva terrestre no interior de mata",NA,NA,NA,NA,"-42.545778","-18.946861","496","496","24",NA
"77","2019-11-07 11:20:39-03","UFMG","BHCB-SL","130598","PreservedSpecimen","Plantae",NA,"Selaginellaceae","Selaginella","muscosa","Selaginella muscosa","Spring","Almeida, TE","2009","07","Almeida, TE; Souza, DT","2019","2009",NA,NA,"América","Brasil","Minas Gerais","Gonzaga","Margens do rio Corrente Grande, Floresta Estacional Semidecidual","-42.545917","-18.94975",NA,"Terrestre em barranco a beira da estrada",NA,NA,NA,NA,"-42.545917","-18.94975","417","417","08",NA
"78","2019-11-07 11:20:50-03","UFMG","BHCB-SL","128799","PreservedSpecimen","Plantae",NA,"Selaginellaceae","Selaginella","sulcata","Selaginella sulcata","(Desv. ex Poir.) Spring","Heringer, G","2010","02","Almeida, TE; Souza, DT","1896","2009",NA,NA,"América","Brasil","Minas Gerais","Gonzaga","Margens do rio Corrente Grande, Floresta Estadual Semidecidual","-42.545778","-18.946861",NA,"Erva terrestre no interior de mata",NA,NA,NA,NA,"-42.545778","-18.946861","496","496",NA,NA
"79","2019-11-07 11:17:11-03","UFMG","BHCB-SL","130597","PreservedSpecimen","Plantae",NA,"Gleicheniaceae","Sticherus",NA,"Sticherus",NA,NA,NA,NA,"Almeida, TE; Souza, DT","2018","2009","07","08","América","Brasil","Minas Gerais","Gonzaga","Margens do rio Corrente Grande, Floresta Estacional Semidecidual","-42.545917","-18.94975",NA,"Terrestre em barranco a beira de estrada",NA,NA,NA,NA,"-42.545917","-18.94975","417","417",NA,NA
"80","2019-11-07 11:17:11-03","UFMG","BHCB-SL","133907","PreservedSpecimen","Plantae",NA,"Gleicheniaceae","Sticherus","lanuginosus","Sticherus lanuginosus","(Fée) Nakai","Almeida, TE","2009","09","Almeida, TE; Souza, DT","2111","2009","09","24","América","Brasil","Minas Gerais","Gonzaga","Margens do rio Corrente Grande, Floresta Estacional Semidecidual","-42.520556","-18.947444",NA,"Erva terrestre em barranco a beira de estrada",NA,NA,NA,NA,"-42.520556","-18.947444","470","470","24",NA
"81","2019-11-07 11:20:51-03","UFMG","BHCB-SL","133905","PreservedSpecimen","Plantae",NA,"Tectariaceae","Tectaria",NA,"Tectaria",NA,NA,NA,NA,"Almeida, TE; Souza, DT","2109","2009","09","24","América","Brasil","Minas Gerais","Gonzaga","Margens do rio Corrente Grande, Floresta Estacional Semidecidual","-42.520556","-18.947444",NA,"Erva terrestre no interior de floresta",NA,NA,NA,NA,"-42.520556","-18.947444","470","470",NA,NA
