"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","scientificNameAuthorship","yearIdentified","monthIdentified","dayIdentified","recordNumber","continentOcean","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","imagecode","infraspecificEpithet","class","order"
"65","2020-03-10 08:27:42-03","UFV","VIC","32746","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Pitcairnia","decidua","Pitcairnia decidua","Pereira, T.A.R.","Pereira, T.A.R.; et al.","2010","02","09","Brasil","Minas Gerais","Ervália","Pico do Cruzeiro do Careço, Cabeceira do rio Casca, setor sul do Parque Estadual da Serra do Brigadeiro","-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,"L. B. Smith","2010","02","10","s.n.",NA,"19783","planta rupícola/saxícola, escapo+inflorescência aproximadamente 50 cm. Flores vermelhas.","VIC032746","auto","VIC032746",NA,NA,NA
"66","2020-03-10 08:27:39-03","UFV","VIC","32733","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Billbergia",NA,"Billbergia",NA,"Pereira, T.A.R.; et al.","2010","02","09","Brasil","Minas Gerais","Ervália","Pico do Cruzeiro do Careço, Cabeceira do Rio Casca, setor Sul do Parque Estadual Serra do Brigadeiro.","-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,NA,NA,NA,NA,"s.n.",NA,"19783","Planta epífita/rupícola, inflorescência pêndula, escapo longo, fino, poucas flores, sépalas vermelhas e pétalas roxas.","VIC032733","auto","VIC032733",NA,NA,NA
"67","2020-03-10 08:27:38-03","UFV","VIC","032739","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Aechmea","organensis","Aechmea organensis",NA,"Pereira, T.A.; et al.","2010","02","09","Brasil","Minas Gerais","Ervália","Pico do Cruzeiro do Careço, Cabeceira do rio casca setor Sul do PESB.","-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,"Wawra",NA,NA,NA,"s.n.",NA,"19783","Planta epífita de escapo ereto, inflorescência com br#?##?#acteas vermelhas, flores com cálice avermelhado e corola lilás.","VIC032739","auto",NA,NA,NA,NA
"68","2020-03-10 08:27:44-03","UFV","VIC","32735","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Vriesea","guttata","Vriesea guttata","Coser, T.S.","Pereira, T A R; Pasini, S.D.; Guimarães, C.,.F.","2010","02","09","Brasil","Minas Gerais","Ervália","Pico do Cruzeiro do Careço, Cabeceira do Rio Casca, setor sul do PESB.","-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,"linden","2010","03","01","s.n.",NA,"19783","Planta epífita de pequeno porte, folhas com pintas vinicolores, inflorescência pêndula, flores dísticas.","VIC032735","auto","VIC032735",NA,NA,NA
"69","2020-03-10 08:29:49-03","UFV","VIC","038181","PreservedSpecimen","Plantae",NA,"Orchidaceae","Stelis","megantha","Stelis megantha",NA,"Guarconi, E.; et al.","1999","12","04","Brasil","Minas Gerais","Ervália","Serra das Aranhas","-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,"Rodr.",NA,NA,NA,"008",NA,"19783","Planta epífita encontrada em interior de mata a 3 m de altura, 2 m local com bastante musgo freguente.","VIC038181","auto",NA,NA,NA,NA
"70","2020-03-10 08:28:48-03","UFV","VIC","8432","PreservedSpecimen","Plantae",NA,"Loranthaceae","Struthanthus","salicifolius","Struthanthus salicifolius","Rizzini","Magalhães, M.","1945","06","17","Brasil","Minas Gerais","Ervália","Serra do Brigadeiro, Fazenda Pedro Dutra","-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,"Mart.","1949","11","08","4321",NA,"19783","Habitat: Orla de Mata&nf;Muito frequente&nf;Flor Verde&nf;Hemiparasita","VIC008432","auto",NA,NA,NA,NA
"71","2020-03-10 08:27:44-03","UFV","VIC","035405","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Tillandsia","stricta","Tillandsia stricta",NA,"Guarçoni, E.","2002","07","17","Brasil","Minas Gerais","Ervália","Serra do careço, 1122 m de altitude.","-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,"Sol. ex Sims",NA,NA,NA,"353",NA,"19783","Floresta Estadual semidecidua-epífita.","VIC035405","auto","VIC035405",NA,NA,NA
"72","2020-03-10 08:29:00-03","UFV","VIC","25041","PreservedSpecimen","Plantae",NA,"Melastomataceae","Clidemia",NA,"Clidemia",NA,"Carvalho A.F.;","2000","05","10","Brasil","Minas Gerais","Ervália","Trevo de ervália","-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,NA,NA,NA,NA,"689",NA,"19783","Arbusto de 1 m, flores brancas","VIC025041","auto","VIC025041",NA,NA,NA
"73","2020-03-10 08:27:39-03","UFV","VIC","25941","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Ananas","bracteatus","Ananas bracteatus","Paula, C.C. de","Paula, C.C. de","1998","02","05","Brasil","Minas Gerais","Ervália","Ventania","-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,"(Lindl.) Schult. & Schult.f.","2001","06","26","s.n.",NA,"19783","Terrestre, brácteas florais róseas","VIC025941","auto","VIC025941",NA,NA,NA
"74","2019-11-21 14:41:17-03","UFJF","CESJ","68783","PreservedSpecimen","Plantae","Angiosperma","Passifloraceae","Passiflora","mediterranea","Passiflora mediterranea","D.R. Gonzaga","D.R. Gonzaga; R.C.C. Reis; T.E.C. Meneguzzo; C.N. Fraga","2015","02","04","Brasil","Minas Gerais","Ervália","Parque Estadual da Serra do Brigadeiro, Pico da Pedra do Cruzeiro","-42.521389","-20.872778","-42.521389","-20.872778","1557","1557","Vell.","2015","02","04","447","América do Sul",NA,"Erva escandente, flores alvas e frutos verdes imaturos.","CESJ068783",NA,NA,NA,NA,NA
"75","2019-11-21 14:45:04-03","UFJF","CESJ","35934","PreservedSpecimen","Plantae","Angiosperma","Scrophulariaceae","Buddleja","stachyoides","Buddleja stachyoides","G.P. Coelho","D.A. Cunha","2002","01","25","Brasil","Minas Gerais","Ervália","Sítio Paineiras","-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,"Cham. & Schltdl.","2017","05","24","s.n.","América do Sul","19783","Flores amarelas, planta ruderal.","CESJ035934","auto",NA,NA,NA,NA
"76","2019-11-21 14:41:16-03","UFJF","CESJ","67257","PreservedSpecimen","Plantae","Angiosperma","Passifloraceae","Passiflora","capsularis","Passiflora capsularis","A.M. Moraes","A.M. Moraes; L.P. Gurgel","2015","02","26","Brasil","Minas Gerais","Ervália","Parque Estadual da Serra do Brigadeiro, Serra do Tabuleiro","-42.502583","-20.851694","-42.502583","-20.851694","1183","1183","L.","2015","02","26","348","América do Sul",NA,"Trepadeira pubérula, com flores brancas.","CESJ067257",NA,NA,NA,NA,NA
"77","2019-11-21 14:41:22-03","UFJF","CESJ","67260","PreservedSpecimen","Plantae","Angiosperma","Passifloraceae","Passiflora","sidifolia","Passiflora sidifolia","A.M. Moraes","A.M. Moraes; L.P. Gurgel","2015","02","26","Brasil","Minas Gerais","Ervália","Parque Estadual da Serra do Brigadeiro, Serra do Tabuleiro","-42.500972","-20.852194","-42.500972","-20.852194","1203","1203","M.Roem.","2015","04","26","349","América do Sul",NA,"Trepadeira, folhas trilobadas com lobos laterais pouco desenvolvidos. Glabra. Botao verde claro","CESJ067260",NA,NA,NA,NA,NA
"78","2019-11-21 14:41:22-03","UFJF","CESJ","67261","PreservedSpecimen","Plantae","Angiosperma","Passifloraceae","Passiflora","speciosa","Passiflora speciosa","A.M. Moraes","A.M. Moraes; L.P. Gurgel","2015","02","26","Brasil","Minas Gerais","Ervália","Parque Estadual da Serra do Brigadeiro, Serra do Tabuleiro","-42.502583","-20.851694","-42.502583","-20.851694","1183","1183","Gardner","2015","02","26","367","América do Sul",NA,"Liana, trilobada, pubescente com botoes roseas.","CESJ067261",NA,NA,NA,NA,NA
"79","2019-11-21 14:33:03-03","UFJF","CESJ","71586","PreservedSpecimen","Plantae","Angiosperma","Cactaceae","Rhipsalis","floccosa","Rhipsalis floccosa","D.R. Gonzaga","D.R. Gonzaga; R.C.C. Reis; T.E.C. Meneguzzo; C.N. Fraga","2015","02","04","Brasil","Minas Gerais","Ervália","Parque Estadual Serra do Brigadeiro, Trilha para a Pedra do Cruzeiro","-42.523333","-20.876389","-42.523333","-20.876389","1272","1272","Salm-Dyck ex Pfeiff.","2015","02","04","441","América do Sul",NA,"Epífita em tronco caído, frutos verdes imaturos a alvos leitosos truncados, maduros. Habitat: Floresta Ombrófila Densa Altomontana.","CESJ071586",NA,NA,NA,NA,NA
"80","2019-08-26 11:11:31-03","UNICAMP","UEC","44263","S","Plantae","Magnoliopsida","Clusiaceae","Clusia","organensis","Clusia organensis","Bittrich, V","Vieira, MF","1988","10","30","Brazil","Minas Gerais","Ervália","Fazenda das Oliveiras, propriedade de Marício Ferreira Fernandes. Serra do Gongo, a 7km do Careço (arraial).","-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,"Planch. & Triana","1997","04",NA,"625",NA,"19783","Árvore com látex ramificada de ca. de 5m de altura, folhas discolores, pétalas amarelo-grena, estames amarelos, estigma branco.","UEC143416","auto","UEC143416",NA,NA,NA
"81","2019-08-20 10:21:22-03","UNICAMP","UEC","51133","S","Plantae","Magnoliopsida","Myrtaceae","Myrcia",NA,"Myrcia",NA,"Vieira, MF","1988","10","30","Brazil","Minas Gerais","Ervália","Fazenda das Oliveiras, propriedade de Maurício Ferreira Fernandes, Serra do Congo, a 7km do careço (Arraial).","-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,NA,NA,NA,NA,"620",NA,"19783","Árvore de +/- de altura; flores branco-esverdeadas.","UEC108870","auto",NA,NA,NA,NA
"82","2020-02-10 17:56:12-03","UNICAMP","UEC","51141","S","Plantae","Magnoliopsida","Myrtaceae","Myrcia","tomentosa","Myrcia tomentosa","Barroso, GM","Vieira, MF","1988","10","30","Brazil","Minas Gerais","Ervália","Fazenda das Oliveiras, propriedade de Maurício Ferreira Fernandes, serra do Gongo, a 7km do Careço (arraial).","-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,"(Aubl.) A.DC.",NA,NA,NA,"10552",NA,"19783","Arvoreta de +/-2 m de altura; flores brancas, perfumadas, pecíolos vermelhos.","UEC020313","auto","UEC020313",NA,NA,NA
"83","2019-08-20 10:12:58-03","UNICAMP","UEC","156549","S","Plantae","Magnoliopsida","Fabaceae","Crotalaria","juncea","Crotalaria juncea","Flores, A","Paula, CC","1999","07","02","Brazil","Minas Gerais","Ervália","Margem da Rep. Cataguases/Leopoldina, A ca. de 200 m da barragem. No pasto de brechiaria.","-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,"L.","2003",NA,NA,"s/ns.n.",NA,"19783","Heliófila, plantas isoladas.","UEC054432","auto","UEC054432",NA,NA,NA
"84","2019-10-02 14:55:37-03","UFMG","BHCB","63376","PreservedSpecimen","Plantae","Dicotyledon","Loranthaceae","Psittacanthus","dichroos","Psittacanthus dichroos",NA,"Magalhães, GM","1945","06","17","Brasil","Minas Gerais","Ervália",NA,"-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,"(Mart.) Mart.",NA,NA,NA,"4320","Southern America","19783",NA,NA,"auto",NA,NA,NA,NA
"85","2019-10-02 15:08:21-03","UFMG","BHCB","80637","PreservedSpecimen","Plantae","Monocotyledon","Poaceae","Hildaea","ruprechtii","Hildaea ruprechtii",NA,"Magalhães, GM","1945","04","16","Brasil","Minas Gerais","Ervália","Fazenda Pedro Dutra.","-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,"(Döll) C.Silva & R.P.Oliveira","2019","01",NA,"5842","Southern America","19783","Erva, 1 metro; Mata","BHCB045321","auto",NA,NA,NA,NA
"86","2019-10-02 15:06:22-03","UFMG","BHCB","80564","PreservedSpecimen","Plantae","Monocotyledon","Cyperaceae","Bulbostylis",NA,"Bulbostylis",NA,"Magalhães, GM","1945","06","16","Brasil","Minas Gerais","Ervália","Fazenda Pedro Dutra., Alto da Serra.","-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,"Kunth",NA,NA,NA,"5792","Southern America","19783","Plantas do Brasil.; Herbáceo, 0,15m.; Lugar recentemente queimado.",NA,"auto",NA,NA,NA,NA
"87","2019-10-02 15:07:22-03","UFMG","BHCB","80709","PreservedSpecimen","Plantae","Monocotyledon","Orchidaceae","Cranichis","candida","Cranichis candida",NA,"Drummond, O; et al.","1945","06","18","Brasil","Minas Gerais","Ervália","Fazenda Pedro Dutra, base da Serra do Brigadeiro,","-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,"(Barb.Rodr.) Cogn.",NA,NA,NA,"4216","Southern America","19783","Sobre rochas à margem do córrego. Herbácea, flor alva.",NA,"auto",NA,NA,NA,NA
"88","2019-10-02 15:03:49-03","UFMG","BHCB","45270","PreservedSpecimen","Plantae","Dicotyledon","Solanaceae","Cestrum","subpulverulentum","Cestrum subpulverulentum",NA,"Drummond, O; Alvim, P; Magalhães, GM","1945","06","18","Brasil","Minas Gerais","Ervália","Serra do Brigadeiro. Fazenda Pedro Dutra.","-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,"Mart.",NA,NA,NA,"s.n.","Southern America","19783","Mata, margem de córrego. Arbusto 2 m, flor esverdeada",NA,"auto",NA,NA,NA,NA
"89","2019-10-02 14:55:39-03","UFMG","BHCB","66795","PreservedSpecimen","Plantae","Dicotyledon","Loranthaceae","Struthanthus","salicifolius","Struthanthus salicifolius",NA,"Magalhães, GM",NA,NA,NA,"Brasil","Minas Gerais","Ervália","Serra do Brigadeiro. Fazenda Pedro Dutra.","-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,"Mart.",NA,NA,NA,"4321","Southern America","19783",NA,NA,"auto",NA,NA,NA,NA
"90","2019-10-02 15:04:18-03","UFMG","BHCB","45276","PreservedSpecimen","Plantae","Dicotyledon","Solanaceae","Solanum","inodorum","Solanum inodorum",NA,"Drummond, O; Alvim, P; Magalhães, GM","1945","06","17","Brasil","Minas Gerais","Ervália","Serra do Brigadeiro. Fazenda Pedro Dutra, Base da Serra","-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,"Vell.","2013",NA,NA,"5674","Southern America","19783","Arbusto decumbente 3 m; Mata.","BHCB019311","auto",NA,NA,NA,NA
"91","2019-10-02 14:59:40-03","UFMG","BHCB","41929","PreservedSpecimen","Plantae","Dicotyledon","Moraceae","Ficus","citrifolia","Ficus citrifolia",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Ervália","Usina Hidrelétrica de Ervália.","-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,"Mill.",NA,NA,NA,"s.n.","Southern America","19783",NA,NA,"auto",NA,NA,NA,NA
"92","2019-10-02 15:03:10-03","UFMG","BHCB","41927","PreservedSpecimen","Plantae","Dicotyledon","Sapindaceae","Serjania",NA,"Serjania",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Ervália","Usina Hidrelétrica de Ervália.","-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,"Mill.",NA,NA,NA,"s.n.","Southern America","19783",NA,NA,"auto",NA,NA,NA,NA
"93","2019-10-02 14:52:29-03","UFMG","BHCB","41928","PreservedSpecimen","Plantae","Dicotyledon","Convolvulaceae","Merremia","macrocalyx","Merremia macrocalyx",NA,"Salino, A; Morais, PO","1998","05","16","Brasil","Minas Gerais","Ervália","Usina Hidrelétrica de Ervália.","-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,"(Ruiz & Pav.) O'Donell",NA,NA,NA,"s.n.","Southern America","19783",NA,NA,"auto",NA,NA,NA,NA
"94","2019-10-02 15:02:32-03","UFMG","BHCB","41926","PreservedSpecimen","Plantae","Dicotyledon","Rubiaceae","Palicourea","longipedunculata","Palicourea longipedunculata",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Ervália","Usina Hidrelétrica de Ervália.","-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,"Gardner",NA,NA,NA,"s.n.","Southern America","19783",NA,NA,"auto",NA,NA,NA,NA
"95","2020-01-27 18:59:43-03","UFMG","BHCB","41925","PreservedSpecimen","Plantae","Dicotyledon","Bignoniaceae","Jacaranda",NA,"Jacaranda",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Ervália","Usina Hidrelétrica de Ervália.","-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,"A.Juss.",NA,NA,NA,"s.n.","Southern America","19783",NA,NA,"auto",NA,NA,NA,NA
"96","2020-03-09 08:20:03-03","UFPR","UPCB","88367","PreservedSpecimen","Plantae",NA,"Melastomataceae","Leandra","amplexicaulis","Leandra amplexicaulis","Goldenberg, R.","Fraga, C.N. et al.","2015","02","04","Brasil","Minas Gerais","Ervália","Serra do Brigadeiro. Careço, subida para a Pedra do Cruzeiro. Floresta Ombráofila Densa Alto-Montana","-42.525","-20.876111","-42.525000","-20.876111","1232","1232","DC.","2016",NA,NA,"3594",NA,NA,"Arbusto ereto, ca. 2m. Folhas verdes discolores. Flores com sépalas e pétalas brancas, estames vinosos..","UPCB0029205",NA,"UPCB0029205",NA,NA,NA
"97","2020-03-09 08:20:39-03","UFPR","UPCB","53673","PreservedSpecimen","Plantae",NA,"Melastomataceae","Tibouchina",NA,"Tibouchina","Goldenberg, R.","Silva, A.F.","2006","04","21","Brasil","Minas Gerais","Ervália","Parque Estadual Serra do Brigadeira, trilha para o cruzeiro","-42.6571998596191","-20.8400001525879",NA,NA,"1510","1510",NA,"2006","01","01","2559",NA,"19783","Arvoreta 2,5m, pétalas roxas, estames liláses com base dos filetes branca. Em campo de altitude no escrube..",NA,"auto",NA,NA,NA,NA
"98","2020-03-09 08:20:45-03","UFPR","UPCB","53685","PreservedSpecimen","Plantae",NA,"Melastomataceae","Tibouchina","sebastianopolitana var. hirsuta","Tibouchina sebastianopolitana var. hirsuta","Meyer, F.S.","Silva, A.F.","2006","04","21","Brasil","Minas Gerais","Ervália","Parque Estadual Serra do Brigadeira, trilha de vegetação em regeneração na bifurcação","-42.6571998596191","-20.8400001525879",NA,NA,"1200","1200","Cogn.","2016",NA,NA,"2564",NA,"19783","Subarbusto ereta 0,8m, pétalas lilás-claras, anteras amarelas e filetes verdelongos..","UPCB0028475","auto","UPCB0028475",NA,NA,NA
"99","2020-03-09 08:20:20-03","UFPR","UPCB","53680","PreservedSpecimen","Plantae",NA,"Melastomataceae","Miconia","fasciculata","Miconia fasciculata","Goldenberg, R.","Silva, A.F.","2006","04","21","Brasil","Minas Gerais","Ervália","Parque Estadual Serra do Brigadeira, trilha para o cruzeiro","-42.6571998596191","-20.8400001525879",NA,NA,"1400","1400","Gardner","2006","01","01","2553",NA,"19783","Árvore 8m, folhas brilhantes na face superior, fruto imaturo de cor verde e negro quando maduro. Em floresta ombrófila..","UPCB0021145","auto","UPCB0021145",NA,NA,NA
"100","2020-03-09 08:20:16-03","UFPR","UPCB","53678","PreservedSpecimen","Plantae",NA,"Melastomataceae","Miconia","budlejoides","Miconia budlejoides","Goldenberg, R.","Silva, A.F.","2006","04","21","Brasil","Minas Gerais","Ervália","Parque Estadual Serra do Brigadeira, trilha para o cruzeiro","-42.6571998596191","-20.8400001525879",NA,NA,"1400","1400","Triana","2006","01","01","2554",NA,"19783","Árvore 15m, folhas ferruginosas na face inferior, frutos imaturos de cor verde e negros quando maduros. Em floresta ombrófila..","UPCB0016741","auto","UPCB0016741",NA,NA,NA
"101","2020-03-09 08:20:23-03","UFPR","UPCB","53681","PreservedSpecimen","Plantae",NA,"Melastomataceae","Miconia","latecrenata","Miconia latecrenata","Goldenberg, R.","Silva, A.F.","2006","04","21","Brasil","Minas Gerais","Ervália","Parque Estadual Serra do Brigadeira, trilha para o cruzeiro","-42.6571998596191","-20.8400001525879",NA,NA,"1400","1400","(DC.) Naudin","2006","01","01","2555",NA,"19783","Árvore 7m, flores de pétalas brancas, estames amarelos. Em floresta ombrófila..","UPCB0023189","auto","UPCB0023189",NA,NA,NA
"102","2020-03-09 08:20:41-03","UFPR","UPCB","53684","PreservedSpecimen","Plantae",NA,"Melastomataceae","Tibouchina","estrellensis","Tibouchina estrellensis","Meyer, F.S.","Silva, A.F.","2006","04","21","Brasil","Minas Gerais","Ervália","Parque Estadual Serra do Brigadeira, trilha para o cruzeiro","-42.6571998596191","-20.8400001525879",NA,NA,"1400","1400","(Raddi) Cogn.","2016","04",NA,"2557",NA,"19783","Árvore 8m, folhas ligeiramente discolores, flores de pétalas roxas, filetes liláse com a base branca. Em floresta ombrófila..",NA,"auto",NA,NA,NA,NA
"103","2020-03-09 08:20:41-03","UFPR","UPCB","53683","PreservedSpecimen","Plantae",NA,"Melastomataceae","Tibouchina","fissinervia","Tibouchina fissinervia","Goldenberg, R.","Silva, A.F.","2006","04","21","Brasil","Minas Gerais","Ervália","Parque Estadual Serra do Brigadeira, trilha para o cruzeiro","-42.6571998596191","-20.8400001525879",NA,NA,"1400","1400","(DC.) Cogn.","2006","01","01","2561",NA,"19783","Árvore 13m, pétalas roxas, receptáculo e cálice róseo-avermelhados, anteras vermelhas. Em floresta ombrófila..",NA,"auto",NA,NA,NA,NA
"104","2020-03-09 08:20:12-03","UFPR","UPCB","53676","PreservedSpecimen","Plantae",NA,"Melastomataceae","Miconia",NA,"Miconia","Goldenberg, R.","Silva, A.F.","2006","04","21","Brasil","Minas Gerais","Ervália","Parque Estadual Serra do Brigadeira, trilha para o cruzeiro","-42.6571998596191","-20.8400001525879",NA,NA,"1400","1400",NA,"2006","01","01","2560",NA,"19783","Árvore 7m, folhas brilhantes em ambas as faces, frutos jeveníssimos de cor verde. Floresta ombrófila..","UPCB0015133","auto","UPCB0015133",NA,NA,NA
"105","2020-03-09 08:20:12-03","UFPR","UPCB","53677","PreservedSpecimen","Plantae",NA,"Melastomataceae","Miconia",NA,"Miconia","Goldenberg, R.","Silva, A.F.","2006","04","21","Brasil","Minas Gerais","Ervália","Parque Estadual Serra do Brigadeira, trilha para o cruzeiro","-42.6571998596191","-20.8400001525879",NA,NA,"1400","1400",NA,"2006","01","01","2562",NA,"19783","Árvore 5m, folhas brilhantes na face superior, frutos imaturos verdes, hipanto avermelhado internamente. Floresta ombrófila..","UPCB0015006","auto","UPCB0015006",NA,NA,NA
"106","2020-03-09 08:20:41-03","UFPR","UPCB","53682","PreservedSpecimen","Plantae",NA,"Melastomataceae","Tibouchina","fissinervia","Tibouchina fissinervia","Goldenberg, R.","Silva, A.F.","2006","04","21","Brasil","Minas Gerais","Ervália","Parque Estadual Serra do Brigadeira, trilha para o cruzeiro","-42.6571998596191","-20.8400001525879",NA,NA,"1400","1400","(DC.) Cogn.","2006","01","01","2563",NA,"19783","Árvore 8m, pétala roxa, cálice avermelhado externamente e roxo interna, antera vermelha, filete roxo. Em floresta ombrófila..",NA,"auto",NA,NA,NA,NA
"107","2020-03-09 08:20:39-03","UFPR","UPCB","53674","PreservedSpecimen","Plantae",NA,"Melastomataceae","Tibouchina",NA,"Tibouchina","Goldenberg, R.","Silva, A.F.","2006","04","21","Brasil","Minas Gerais","Ervália","Parque Estadual Serra do Brigadeira, trilha para o cruzeiro","-42.6571998596191","-20.8400001525879",NA,NA,"1510","1510",NA,"2006","01","01","2558",NA,"19783","Arvoreta 2m, pétalas branca com unha rósea, folhas velhas vermelhas. Em campo de altitude no escrube..","UPCB0017667","auto","UPCB0017667",NA,NA,NA
"108","2020-03-09 08:20:39-03","UFPR","UPCB","53675","PreservedSpecimen","Plantae",NA,"Melastomataceae","Tibouchina",NA,"Tibouchina","Goldenberg, R.","Silva, A.F.","2006","04","21","Brasil","Minas Gerais","Ervália","Parque Estadual Serra do Brigadeira, trilha para o cruzeiro","-42.6571998596191","-20.8400001525879",NA,NA,"1510","1510",NA,"2006","01","01","2556",NA,"19783","Arbusto ereta 1,5m, pétalas brancas de unha rosada. Abaixo do campo de altitude no escrube..","UPCB0017666","auto","UPCB0017666",NA,NA,NA
"109","2020-03-09 08:20:20-03","UFPR","UPCB","53679","PreservedSpecimen","Plantae",NA,"Melastomataceae","Miconia","fasciculata","Miconia fasciculata","Goldenberg, R.","Silva, A.F.","2006","04","21","Brasil","Minas Gerais","Ervália","Parque Estadual Serra do Brigadeira, trilha para o cruzeiro","-42.6571998596191","-20.8400001525879",NA,NA,"1400","1400","Gardner","2006","01","01","2565",NA,"19783","Árvore 6m, folhas brilhantes na face superior, fruto imaturo de cor verde e negros quando maduros. Em floresta ombrófila..","UPCB0021015","auto","UPCB0021015",NA,NA,NA
"110","2020-01-09 11:37:24-03","UNIOESTE","UNOP","10504","S","Plantae",NA,"Araceae","Philodendron","cordatum","Philodendron cordatum","Nadruz, M.","Camelo, M.C.; Temponi, L.G.; Nadruz, M.; Ribeiro, R.; Temponi, L.G.; Nadruz, M.; Ribeiro, R.","2018","11","14","Brasil","Minas Gerais","Ervália","Parque Estadual Serra do Brigadeiro.","-42.482778","-20.783333","-42.482778","-20.783333","1310","1310","Kunth ex Schott","2018","11","14","40",NA,NA,"Caule castanho, lenhoso, pecíolo verde com pontuações vináceas, obtuso na abaxial, reto na adaxial, lâmina foliar verde, discolor, com margens mais claras que a lâmina foliar, ovada, base cordada, ápice acuminado, nervuras laterais prímarias visívei",NA,NA,NA,NA,NA,NA
"111","2016-04-04 17:00:34-03","UNIOESTE","UNOP","7726","S","Plantae",NA,"Rubiaceae","Faramea",NA,"Faramea",NA,"Vieira, M.F.","1988","10","30","Brasil","Minas Gerais","Ervália","Fazenda das Oliveiras, propiedades de Maurício Ferreira Fernandes, Serra do Gongo, a 7 km do careço (arraial).","-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,NA,NA,NA,NA,"627",NA,"19783","Arbusto de +- 1,80 m de altura, corola carnosa branca com o tubo externamente lilás, cálice vinoso-arroxeado.",NA,"auto",NA,NA,NA,NA
"112","2015-10-22 10:03:01-02","UNIOESTE","UNOP","7624","S","Plantae",NA,"Melastomataceae","Clidemia",NA,"Clidemia",NA,"Carvalho, A.F.","2000","05","10","Brasil","Minas Gerais","Ervália","Trevo de Ervália, Sentido Viçosa","-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,NA,NA,NA,NA,"689",NA,"19783","Arbusto ca. de 1 m. Flores brancas.",NA,"auto",NA,NA,NA,NA
"113","2017-09-14 11:43:23-03","MBML","MBML-HERBARIO","50899",NA,"Plantae",NA,"Bromeliaceae","Canistrum",NA,"Canistrum",NA,"C. N. de Fraga; D. R. Gonzaga, R. C. C. Reis, T. E. C. Meneguzzo","2015","02","04","Brasil","Minas Gerais","Ervália","Parque Estadual Serra do Brigadeiro. Careço, cume da Pedra do Cruzeiro. Mata Nebular sobre o inselberg","-42.521389","-20.872778","42W31'17","20S52'22","1557","1557",NA,NA,NA,NA,"3605",NA,NA,"Rupícola ciófila. Folhas verdes com bainhas brancas. Inflorescência com brácteas vinosas de ápíce verde. Flores com sépalas esbranquiçadas, pétalas brancas na base e roxas no ápice. Anteras brancas","MBML050899",NA,"MBML050899",NA,NA,NA
"114","2020-02-19 14:09:50-03","MBML","MBML-HERBARIO","50860",NA,"Plantae",NA,"Melastomataceae","Leandra",NA,"Leandra",NA,"C. N. de Fraga; D.R. Gonzaga, R.C.C. Reis & T.E.C. Meneguzzo","2015","02","04","Brasil","Minas Gerais","Ervália","Parque Estadual Serra do Brigadeiro. Careço, subida para a Pedra do Cruzeiro. Floresta Ombrófila Densa Alto-Montana","-42.525","-20.876111","42W31'30","20S52'34","1232","1232",NA,NA,NA,NA,"3594",NA,NA,"Arbusto ereto, ca 2m. Folhas verde discolores. Flores com sépalas e pétalas brancas, estames vinosos","MBML050860",NA,"MBML050860",NA,NA,NA
