"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","scientificNameAuthorship","yearIdentified","monthIdentified","dayIdentified","recordNumber","continentOcean","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","imagecode","infraspecificEpithet","class","order"
"31","2020-03-10 08:29:43-03","UFV","VIC","10552","PreservedSpecimen","Plantae",NA,"Myrtaceae","Myrcia","tomentosa","Myrcia tomentosa",NA,"Vieira, M.F.","1988","10","30","Brasil","Minas Gerais","Ervália","Fazenda das Oliveiras","-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,"(Aubl.) DC.",NA,NA,NA,"623",NA,"19783","Arvoreta de 2 m, flotres brancas perfumadas, peciolos vermelhos","VIC010552","auto","VIC010552",NA,NA,NA
"32","2020-03-10 08:30:36-03","UFV","VIC","010555","PreservedSpecimen","Plantae",NA,"Rubiaceae","Psychotria",NA,"Psychotria",NA,"Vieira, M.F.","1988","10","30","Brasil","Minas Gerais","Ervália","Fazenda das Oliveiras","-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,NA,NA,NA,NA,"626",NA,"19783","Arbusto de 1,8 m,brcáteas vermelho alaranjadas.","VIC010555","auto","VIC010555",NA,NA,NA
"33","2020-03-10 08:29:37-03","UFV","VIC","10551","PreservedSpecimen","Plantae",NA,"Myrsinaceae","Myrsine","coriacea","Myrsine coriacea",NA,"Vieira, M.F.","1988","10","30","Brasil","Minas Gerais","Ervália","Fazenda das Oliveiras","-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,NA,NA,NA,NA,"522s.n.",NA,"19783","Árvore de +/- 3,50m . de altura, frutos verde e quando maduro tornam-se pretos.","VIC010551","auto","VIC010551",NA,NA,NA
"34","2020-03-10 08:30:36-03","UFV","VIC","010540","PreservedSpecimen","Plantae",NA,"Rubiaceae","Psychotria",NA,"Psychotria",NA,"Vieira, M.F.","1988","10","09","Brasil","Minas Gerais","Ervália","Fazenda das Oliveiras","-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,NA,NA,NA,NA,"611",NA,"19783","Arbusto de 1,8 m, brácteas de cor salmão, frutos azuis quano maduros, local sombreado.","VIC010540","auto","VIC010540",NA,NA,NA
"35","2020-03-10 08:30:39-03","UFV","VIC","10556","PreservedSpecimen","Plantae",NA,"Rubiaceaeae","Faramea",NA,"Faramea",NA,"Vieira, M.F.",NA,NA,NA,"Brasil","Minas Gerais","Ervália","Fazenda das Oliveiras","-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,NA,NA,NA,NA,"s.n.",NA,"19783","Arbusto de cerca de 1,8 m de altura, corola carnosa branca com tubo extrenamnete lilás, cálice vinoso arroxeado.","VIC010556","auto",NA,NA,NA,NA
"36","2020-03-10 08:29:37-03","UFV","VIC","10553","PreservedSpecimen","Plantae",NA,"Myrsinaceae","Myrsine","umbellata","Myrsine umbellata",NA,"Vieira, M.F.","1988","10","03","Brasil","Minas Gerais","Ervália","Fazenda das Oliveiras","-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,NA,NA,NA,NA,"624",NA,"19783","Árvore de +/- 5m. de altura, frutos verde-avermelhados.","VIC010553","auto","VIC010553",NA,NA,NA
"37","2020-03-10 08:29:43-03","UFV","VIC","10549","PreservedSpecimen","Plantae",NA,"Myrtaceae","Myrcia","splendens","Myrcia splendens",NA,"Vieira, M.F.",NA,NA,NA,"Brasil","Minas Gerais","Ervália","Fazenda das Oliveiras","-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,"(Sw.) DC.",NA,NA,NA,"620",NA,"19783","Árvore de ca 4 m, flores brancas esverdeadas.","VIC010549","auto","VIC010549",NA,NA,NA
"38","2020-03-10 08:30:08-03","UFV","VIC","10539","PreservedSpecimen","Plantae",NA,"Piperaceae","Peperomia","trinervis","Peperomia trinervis",NA,"Vieira, M.F.","1988","10","09","Brasil","Minas Gerais","Ervália","Fazenda das Oliveiras","-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,"Ruiz & Pav.",NA,NA,NA,"610",NA,"19783","Erva sobre pedra,inflorescências verdes,local úmido e sombreado","VIC010539","auto","VIC010539",NA,NA,NA
"39","2020-03-10 08:30:08-03","UFV","VIC","10538","PreservedSpecimen","Plantae",NA,"Piperaceae","Peperomia","trinervis","Peperomia trinervis",NA,"Vieira, M.F.","1988","10","09","Brasil","Minas Gerais","Ervália","Fazenda das Oliveiras","-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,"Ruiz & Pav.",NA,NA,NA,"609",NA,"19783","Erva sobre pedras,inflorescências verdes,folhas de tonalidade verde escuro, e claro na face adaxial, local úmido e sombreado.","VIC010538","auto","VIC010538",NA,NA,NA
"40","2020-03-10 08:30:36-03","UFV","VIC","010550","PreservedSpecimen","Plantae",NA,"Rubiaceae","Posoqueria",NA,"Posoqueria",NA,"Vieira, M.F.","1988","10","30","Brasil","Minas Gerais","Ervália","Fazenda das Oliveiras-","-42.6571998596191","-20.8400001525879",NA,NA,NA,NA,NA,NA,NA,NA,"621",NA,"19783","Árvore de cercad e 3,5 m ,frutos amarelos","VIC010550","auto","VIC010550",NA,NA,NA
