"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","geoFlag","yearIdentified","monthIdentified","dayIdentified","locality","occurrenceRemarks","imagecode","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","phylum","continentOcean","typeStatus","order","individualCount","class","infraspecificEpithet","preparationType"
"118","2019-12-06 15:14:25-03","MBM","MBM","420686","S","Plantae","Poaceae","Dichanthelium","surrectum","Dichanthelium surrectum","(Chase ex Zuloaga & Morrone) Zuloaga","Mazziero, F.F.F.","Mazziero, F.F.F.; Bonin Junior, P.; Bonin Junior, P.","s.n.","2019","01","25","Brazil","Minas Gerais","Conselheiro Pena","-41.465556","-19.161389",NA,"MBM420686",NA,"2019","02","01",NA,NA,NA,"-41.465556","-19.161389","127","127",NA,"Southern America",NA,NA,NA,NA,NA,NA
"119","2019-12-06 15:14:25-03","MBM","MBM","420688","S","Plantae","Poaceae","Dichanthelium","surrectum","Dichanthelium surrectum","(Chase ex Zuloaga & Morrone) Zuloaga","Mazziero, F.F.F.","Mazziero, F.F.F.; Bonin Junior, P.; Bonin Junior, P.","4197","2019","01","25","Brazil","Minas Gerais","Conselheiro Pena","-41.465278","-19.161667",NA,"MBM420688",NA,"2019","02","01",NA,NA,NA,"-41.465278","-19.161667","130","130",NA,"Southern America",NA,NA,NA,NA,NA,NA
"120","2019-12-06 14:39:53-03","MBM","MBM","420792","S","Plantae","Commelinaceae","Dichorisandra",NA,"Dichorisandra",NA,NA,"Mazziero, F.F.F.; Bonin Junior, P.; Bonin Junior, P.","4207","2019","01","28","Brazil","Minas Gerais","Conselheiro Pena","-41.484444","-19.118611",NA,"MBM420792",NA,NA,NA,NA,NA,NA,NA,"-41.484444","-19.118611","134","134",NA,"Southern America",NA,NA,NA,NA,NA,NA
"121","2019-12-06 14:39:53-03","MBM","MBM","422221","S","Plantae","Commelinaceae","Dichorisandra",NA,"Dichorisandra",NA,NA,"Mazziero, F.F.F.; Bonin Junior, P.; Bonin Junior, P.","4191","2019","01","25","Brazil","Minas Gerais","Conselheiro Pena","-41.438333","-19.174444",NA,"MBM422221",NA,NA,NA,NA,NA,NA,NA,"-41.438333","-19.174444","199","199",NA,"Southern America",NA,NA,NA,NA,NA,NA
"122","2019-12-06 15:14:25-03","MBM","MBM","420623","S","Plantae","Poaceae","Digitaria",NA,"Digitaria",NA,NA,"Cafofo, E.; Felitto, G.; Felitto, G.","s.n.","2018","10","20","Brazil","Minas Gerais","Conselheiro Pena","-41.471667","-19.159722",NA,"MBM420623",NA,NA,NA,NA,"Lajão",NA,NA,"-41.471667","-19.159722","114","114",NA,"Southern America",NA,NA,NA,NA,NA,NA
"123","2019-12-06 15:14:25-03","MBM","MBM","420691","S","Plantae","Poaceae","Digitaria","ciliaris","Digitaria ciliaris","(Retz.) Koeler","Mazziero, F.F.F.","Mazziero, F.F.F.; Bonin Junior, P.; Bonin Junior, P.","4194","2019","01","25","Brazil","Minas Gerais","Conselheiro Pena","-41.465278","-19.161667",NA,"MBM420691",NA,"2019","02","01",NA,NA,NA,"-41.465278","-19.161667","129","129",NA,"Southern America",NA,NA,NA,NA,NA,NA
"124","2019-12-06 15:14:25-03","MBM","MBM","420721","S","Plantae","Poaceae","Digitaria","ciliaris","Digitaria ciliaris","(Retz.) Koeler","Mazziero, F.F.F.","Mazziero, F.F.F.; Bonin Junior, P.; Bonin Junior, P.","s.n.","2019","01","25","Brazil","Minas Gerais","Conselheiro Pena","-41.465278","-19.161667",NA,"MBM420721",NA,"2019","02","01",NA,NA,NA,"-41.465278","-19.161667","130","130",NA,"Southern America",NA,NA,NA,NA,NA,NA
"125","2019-12-06 15:06:47-03","MBM","MBM","421077","S","Plantae","Metteniusaceae","Emmotum","nitens","Emmotum nitens","(Benth.) Miers","Campos-Rocha, A.","Campos-Rocha, A.; Comin, M.; Comin, M.","2358","2019","03","03","Brazil","Minas Gerais","Conselheiro Pena","-41.390833","-19.234444",NA,"MBM421077",NA,"2019","04","24","Parque Estadual de Sete Salões",NA,NA,"-41.390833","-19.234444","487","487",NA,"Southern America",NA,NA,NA,NA,NA,NA
"126","2019-12-06 14:31:28-03","MBM","MBM","421076","S","Plantae","Asteraceae","Eremanthus",NA,"Eremanthus",NA,NA,"Campos-Rocha, A.; Comin, M.; Comin, M.","2356","2019","03","03","Brazil","Minas Gerais","Conselheiro Pena","-41.391389","-19.236111",NA,"MBM421076",NA,NA,NA,NA,"Parque Estadual de Sete Salões",NA,NA,"-41.391389","-19.236111","488","488",NA,"Southern America",NA,NA,NA,NA,NA,NA
"127","2019-12-06 14:55:53-03","MBM","MBM","421268","S","Plantae","Lamiaceae","Eriope","macrostachya","Eriope macrostachya","Mart. ex Benth.","Campos-Rocha, A.","Campos-Rocha, A.; Comin, M.; Comin, M.","2193","2019","03","04","Brazil","Minas Gerais","Conselheiro Pena","-41.386389","-19.236389",NA,"MBM421268",NA,"2019","03","23","Parque Estadual de Sete Salões",NA,NA,"-41.386389","-19.236389","367","367",NA,"Southern America",NA,NA,NA,NA,NA,NA
"128","2019-12-06 15:07:57-03","MBM","MBM","418661","S","Plantae","Myrtaceae","Eugenia",NA,"Eugenia",NA,NA,"Campos-Rocha, A.; Comin, M.; Comin, M.","2387","2019","03","07","Brazil","Minas Gerais","Conselheiro Pena","-41.387222","-19.24",NA,"MBM418661",NA,NA,NA,NA,"Parque Estadual de Sete Salões",NA,NA,"-41.387222","-19.24","488","488",NA,"Southern America",NA,NA,NA,NA,NA,NA
"129","2019-12-06 15:07:57-03","MBM","MBM","421079","S","Plantae","Myrtaceae","Eugenia",NA,"Eugenia",NA,NA,"Campos-Rocha, A.; Comin, M.; Comin, M.","2360","2019","03","03","Brazil","Minas Gerais","Conselheiro Pena","-41.390556","-19.239444",NA,"MBM421079",NA,NA,NA,NA,"Parque Estadual de Sete Salões",NA,NA,"-41.390556","-19.239444","486","486",NA,"Southern America",NA,NA,NA,NA,NA,NA
"130","2019-12-06 15:07:57-03","MBM","MBM","421082","S","Plantae","Myrtaceae","Eugenia",NA,"Eugenia",NA,NA,"Campos-Rocha, A.; Comin, M.; Comin, M.","2370","2019","03","04","Brazil","Minas Gerais","Conselheiro Pena","-41.386389","-19.236389",NA,"MBM421082",NA,NA,NA,NA,"Parque Estadual de Sete Salões",NA,NA,"-41.386389","-19.236389","365","365",NA,"Southern America",NA,NA,NA,NA,NA,NA
"131","2019-12-06 15:07:57-03","MBM","MBM","421085","S","Plantae","Myrtaceae","Eugenia",NA,"Eugenia",NA,NA,"Campos-Rocha, A.; Comin, M.; Comin, M.","2373","2019","03","06","Brazil","Minas Gerais","Conselheiro Pena","-41.390556","-19.239444",NA,"MBM421085",NA,NA,NA,NA,"Parque Estadual de Sete Salões",NA,NA,"-41.390556","-19.239444","382","382",NA,"Southern America",NA,NA,NA,NA,NA,NA
"132","2019-12-06 15:07:57-03","MBM","MBM","421120","S","Plantae","Myrtaceae","Eugenia",NA,"Eugenia",NA,NA,"Campos-Rocha, A.; Comin, M.; Comin, M.","2350","2019","03","03","Brazil","Minas Gerais","Conselheiro Pena","-41.390833","-19.234722",NA,"MBM421120",NA,NA,NA,NA,"Parque Estadual de Sete Salões",NA,NA,"-41.390833","-19.234722","438","438",NA,"Southern America",NA,NA,NA,NA,NA,NA
"133","2019-12-06 15:03:59-03","MBM","MBM","420798","S","Plantae","Marantaceae","Goeppertia","truncata","Goeppertia truncata","(Link ex A. Dietr.) Borchs. & S. Suárez","Mazziero, F.F.F.","Mazziero, F.F.F.; Bonin Junior, P.; Bonin Junior, P.","4190","2019","01","25","Brazil","Minas Gerais","Conselheiro Pena","-41.438611","-19.174167",NA,"MBM420798",NA,"2019","02","01",NA,NA,NA,"-41.438611","-19.174167","183","183",NA,"Southern America",NA,NA,NA,NA,NA,NA
"134","2019-12-06 15:17:21-03","MBM","MBM","420997","S","Plantae","Pteridaceae","Hemionitis","tomentosa","Hemionitis tomentosa","(Lam.) Raddi","Mazziero, F.F.F.","Mazziero, F.F.F.; Bonin Junior, P.; Bonin Junior, P.","4187","2019","01","25","Brazil","Minas Gerais","Conselheiro Pena","-41.438611","-19.174167",NA,"MBM420997",NA,"2019","02","01",NA,NA,NA,"-41.438611","-19.174167","183","183",NA,"Southern America",NA,NA,NA,NA,NA,NA
"135","2019-12-06 15:14:40-03","MBM","MBM","420717","S","Plantae","Poaceae","Hymenachne","donacifolia","Hymenachne donacifolia","(Raddi) Chase","Mazziero, F.F.F.","Mazziero, F.F.F.; Bonin Junior, P.; Bonin Junior, P.","4179","2019","01","25","Brazil","Minas Gerais","Conselheiro Pena","-41.438333","-19.174444",NA,"MBM420717",NA,"2019","02","01",NA,NA,NA,"-41.438333","-19.174444","191","191",NA,"Southern America",NA,NA,NA,NA,NA,NA
"136","2019-10-02 14:49:43-03","UFMG","BHCB","198074","PreservedSpecimen","Plantae","Asteraceae","Chresta","filicifolia","Chresta filicifolia","Siniscalchi & Loeuille",NA,"Siniscalchi, CM; Loeuille, BFP; Oliveira, CT","512","2014","08","05","Brasil","Minas Gerais","Conselheiro Pena","-41.2229","-19.1503",NA,"BHCB198074",NA,"2016","01",NA,"Parque Estadual de Sete Salões., Trilhas para o Córrego da Onça.","Erva perene até 1 metro de altura, folhas verde-acinzentadas, discolores. Brácteas involucrais verdes com as margens vináceas, flores lilases, com o ápice do tubo e base das pétalas alvos.; Afloramentos rochosos quartzíticos em área d","BHCB198074","-41.2229","-19.1503","513","513","Dicotyledon","Southern America","Isotypus",NA,NA,NA,NA,NA
"137","2019-10-02 14:49:43-03","UFMG","BHCB","98567","PreservedSpecimen","Plantae","Asteraceae","Chresta","filicifolia","Chresta filicifolia","Siniscalchi & Loeuille",NA,"Salino, A; Almeida, TE; Heringer, G","10883","2006","05","07","Brasil","Minas Gerais","Conselheiro Pena","-41.393639","-19.252611",NA,"BHCB010640",NA,"2016","01",NA,"Parque Estadual de Sete Salões, Nas margens do Córrego da Onça.","Prensado em álcool.; Erva rupícula. Flores lilases.&nf;; Em afloramentos rochosos. Área com Floresta Estacional Semidecidual e com palmeira (Attalea sp.) e Cactus.",NA,"-41.393639","-19.252611","430","430","Dicotyledon","Southern America","Paratypus",NA,NA,NA,NA,NA
"138","2019-10-02 14:52:36-03","UFMG","BHCB","117561","PreservedSpecimen","Plantae","Dilleniaceae","Davilla",NA,"Davilla","Vand.",NA,"Siniscalchi, CM; Loeuille, BFP; Oliveira, CT","509","2014","08","05","Brasil","Minas Gerais","Conselheiro Pena","-41.377222","-19.249722",NA,"BHCB039506",NA,NA,NA,NA,NA,"Liana, folhas verde escuras brilhantes, sépalas amarelas.",NA,"-41.377222","-19.249722","532","532","Dicotyledon","Southern America",NA,NA,NA,NA,NA,NA
"139","2019-10-02 14:52:39-03","UFMG","BHCB","110777","PreservedSpecimen","Plantae","Droseraceae","Drosera","magnifica","Drosera magnifica","Rivadavia & Gonella",NA,"Gonella, PM; Rivadavia, F","645","2013","12","28","Brasil","Minas Gerais","Conselheiro Pena","-41.579206","-19.320544",NA,"BHCB048912",NA,"2014",NA,NA,"Pico do Padre Ângelo, Na face sul do cume do pico.","Ervas com caules prostrados ou se apoiando na vegetação, até 30-40 cm de altura, estípulas dourado-translúcidas, folhas verdes com tentáculos vermelhos, escapos verdes, se tornando avermelhados no ápice, sépalas avermelhadas, corola r","BHCB048912","-41.579206","-19.320544","1500","1500","Dicotyledon","Southern America","Isotypus",NA,NA,NA,NA,NA
"140","2019-10-02 15:04:11-03","UFMG","BHCB","98585","PreservedSpecimen","Plantae","Solanaceae","Solanum","cordifolium","Solanum cordifolium","Dunal",NA,"Salino, A; Almeida, TE; Heringer, G","10901","2006","05","07","Brasil","Minas Gerais","Conselheiro Pena","-41.393639","-19.252611",NA,"BHCB042907",NA,"2006",NA,NA,"Parque Estadual de Sete Salões, Nas margens do córrego da Onça, além de afloramentos rochosos no entorno.","Prensado em álcool; Erva com flores arroxeadas,; Borda de mata. Área com Floresta Estacional Semidecidual e com palmeira (Attalea sp.) e Cactus.","BHCB042907","-41.393639","-19.252611","430","430","Dicotyledon","Southern America",NA,NA,NA,NA,NA,NA
"141","2019-10-02 14:50:53-03","UFMG","BHCB","199228","PreservedSpecimen","Plantae","Asteraceae","Stenophalium","chionaeum","Stenophalium chionaeum","(DC.) Anderb.",NA,"Loeuille, BFP; Siniscalchi, CM; Oliveira, CT","887","2014","08","03","Brasil","Minas Gerais","Conselheiro Pena","-41.575753","-19.310472",NA,"BHCB199228",NA,"2014",NA,NA,"Pico do Padre Angelo","Erva até 20 cm. Brácteas involucrais alvas. Flores diminutas e esverdeadas.; Campo de altitude.",NA,"-41.575753","-19.310472","1167","1167","Dicotyledon","Southern America",NA,NA,NA,NA,NA,NA
"142","2019-10-02 14:51:45-03","UFMG","BHCB","20923","PreservedSpecimen","Plantae","Cactaceae","Coleocephalocereus","buxbaumianus","Coleocephalocereus buxbaumianus","Buining",NA,"Taylor, NP; Zappi, DC","771","1990","12","15","Brasil","Minas Gerais","Conselheiro Pena","-41.4721984863281","-19.1721992492676","46509",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledon","Southern America",NA,NA,NA,NA,NA,NA
"143","2019-10-02 14:51:48-03","UFMG","BHCB","20958","PreservedSpecimen","Plantae","Cactaceae","Pilosocereus","brasiliensis","Pilosocereus brasiliensis","(Britton & Rose) Backeb.",NA,"Taylor, NP; Zappi, DC","777","1990","12","15","Brasil","Minas Gerais","Conselheiro Pena","-41.4721984863281","-19.1721992492676","46509",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledon","Southern America",NA,NA,NA,NA,NA,NA
"144","2019-10-02 14:51:46-03","UFMG","BHCB","20922","PreservedSpecimen","Plantae","Cactaceae","Pereskia","aculeata","Pereskia aculeata","Mill.",NA,"Taylor, NP; Zappi, DC","772","1990","12","15","Brasil","Minas Gerais","Conselheiro Pena","-41.4721984863281","-19.1721992492676","46509",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledon","Southern America",NA,NA,NA,NA,NA,NA
"145","2019-10-02 14:51:45-03","UFMG","BHCB","20953","PreservedSpecimen","Plantae","Cactaceae","Coleocephalocereus","fluminensis","Coleocephalocereus fluminensis","(Miq.) Backeb.",NA,"Taylor, NP; Zappi, DC","775","1990","12","15","Brasil","Minas Gerais","Conselheiro Pena","-41.4721984863281","-19.1721992492676","46509",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledon","Southern America",NA,NA,NA,NA,NA,NA
"146","2019-10-02 14:51:45-03","UFMG","BHCB","20919","PreservedSpecimen","Plantae","Cactaceae","Coleocephalocereus","pluricostatus","Coleocephalocereus pluricostatus","Buining & Brederoo",NA,"Taylor, NP; Zappi, DC","776","1990","12","15","Brasil","Minas Gerais","Conselheiro Pena","-41.4721984863281","-19.1721992492676","46509",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledon","Southern America",NA,NA,NA,NA,NA,NA
"147","2019-10-02 14:51:45-03","UFMG","BHCB","20953","PreservedSpecimen","Plantae","Cactaceae","Coleocephalocereus","fluminensis","Coleocephalocereus fluminensis","(Miq.) Backeb.",NA,"Taylor, NP; Zappi, DC","775","1990","12","15","Brasil","Minas Gerais","Conselheiro Pena","-41.4721984863281","-19.1721992492676","46509",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledon","Southern America",NA,NA,NA,NA,NA,NA
"148","2019-10-02 14:51:45-03","UFMG","BHCB","20919","PreservedSpecimen","Plantae","Cactaceae","Coleocephalocereus","pluricostatus","Coleocephalocereus pluricostatus","Buining & Brederoo",NA,"Taylor, NP; Zappi, DC","776","1990","12","15","Brasil","Minas Gerais","Conselheiro Pena","-41.4721984863281","-19.1721992492676","46509",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledon","Southern America",NA,NA,NA,NA,NA,NA
"149","2019-10-02 14:51:48-03","UFMG","BHCB","20958","PreservedSpecimen","Plantae","Cactaceae","Pilosocereus","brasiliensis","Pilosocereus brasiliensis","(Britton & Rose) Backeb.",NA,"Taylor, NP; Zappi, DC","777","1990","12","15","Brasil","Minas Gerais","Conselheiro Pena","-41.4721984863281","-19.1721992492676","46509",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledon","Southern America",NA,NA,NA,NA,NA,NA
"150","2019-10-02 14:51:45-03","UFMG","BHCB","20923","PreservedSpecimen","Plantae","Cactaceae","Coleocephalocereus","buxbaumianus","Coleocephalocereus buxbaumianus","Buining",NA,"Taylor, NP; Zappi, DC","771","1990","12","15","Brasil","Minas Gerais","Conselheiro Pena","-41.4721984863281","-19.1721992492676","46509",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledon","Southern America",NA,NA,NA,NA,NA,NA
"151","2019-10-02 14:51:46-03","UFMG","BHCB","20921","PreservedSpecimen","Plantae","Cactaceae","Pereskia","grandifolia","Pereskia grandifolia","Haw.",NA,"Taylor, NP; Zappi, DC","773","1990","12","15","Brasil","Minas Gerais","Conselheiro Pena","-41.4721984863281","-19.1721992492676","46509",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledon","Southern America",NA,NA,NA,NA,NA,NA
"152","2019-10-02 14:51:48-03","UFMG","BHCB","20924","PreservedSpecimen","Plantae","Cactaceae","Pilosocereus","brasiliensis","Pilosocereus brasiliensis","(Britton & Rose) Backeb.",NA,"Taylor, NP; Zappi, DC","770","1990","12","15","Brasil","Minas Gerais","Conselheiro Pena","-41.4721984863281","-19.1721992492676","46509",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledon","Southern America",NA,NA,NA,NA,NA,NA
"153","2019-10-02 14:51:46-03","UFMG","BHCB","20922","PreservedSpecimen","Plantae","Cactaceae","Pereskia","aculeata","Pereskia aculeata","Mill.",NA,"Taylor, NP; Zappi, DC","772","1990","12","15","Brasil","Minas Gerais","Conselheiro Pena","-41.4721984863281","-19.1721992492676","46509",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledon","Southern America",NA,NA,NA,NA,NA,NA
"154","2019-10-02 14:51:48-03","UFMG","BHCB","20924","PreservedSpecimen","Plantae","Cactaceae","Pilosocereus","brasiliensis","Pilosocereus brasiliensis","(Britton & Rose) Backeb.",NA,"Taylor, NP; Zappi, DC","770","1990","12","15","Brasil","Minas Gerais","Conselheiro Pena","-41.4721984863281","-19.1721992492676","46509",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledon","Southern America",NA,NA,NA,NA,NA,NA
"155","2019-10-02 14:51:46-03","UFMG","BHCB","20921","PreservedSpecimen","Plantae","Cactaceae","Pereskia","grandifolia","Pereskia grandifolia","Haw.",NA,"Taylor, NP; Zappi, DC","773","1990","12","15","Brasil","Minas Gerais","Conselheiro Pena","-41.4721984863281","-19.1721992492676","46509",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledon","Southern America",NA,NA,NA,NA,NA,NA
"156","2019-10-02 14:51:48-03","UFMG","BHCB","20920","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","lindbergiana","Rhipsalis lindbergiana","K.Schum.",NA,"Taylor, NP; Zappi, DC","774","1990","12","15","Brasil","Minas Gerais","Conselheiro Pena","-41.4721984863281","-19.1721992492676","46509","BHCB024054","auto","2015","05","12","Estrada para Cuparaque, 26 km NE do Rio Doce, na estrada paa Cuparaque via Pena do Norte","Epífita, botões florais amarelados e frutos verdes; Floresta de galeria destruída",NA,NA,NA,"100","100","Dicotyledon","Southern America",NA,NA,NA,NA,NA,NA
"157","2020-03-09 08:20:13-03","UFPR","UPCB","93381","PreservedSpecimen","Plantae","Melastomataceae","Miconia",NA,"Miconia",NA,NA,"Kollmann, L. | Cipriano, R.","15513","2018","04","18","Brasil","Minas Gerais","Conselheiro Pena.","-41.557222","-19.338056",NA,"UPCB0040862",NA,NA,NA,NA,"Chapada do João Pinto.","Arvoreto 3m ao sol, frutos verdes. Campo rupestre.","UPCB0040862","-41.557222","-19.338056",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","2019-02-20 14:21:20-03","INPA","INPA","281973","S","Plantae","Rutaceae","Balfourodendron","riedelianum","Balfourodendron riedelianum","(Engl.) Engl.","Siqueira, GS","Siqueira, GS","953","2014","03","17","Brasil","Minas Gerais","Conselheiro Pena","-41.4721984863281","-19.1721992492676","46509","INPA0281973","auto","2014","03","17","Fazenda Melancia",NA,NA,NA,NA,NA,NA,"Dicotyledon Com-Clade","Southern America",NA,"Sapindales",NA,NA,NA,NA
"159","2018-06-13 14:43:39-03","MBML","MBML-HERBARIO","52984",NA,"Plantae","Acanthaceae",NA,NA,NA,NA,NA,"L. Kollmann; R. Cipriano","13498","2018","04","18","Brasil","Minas Gerais","Conselheiro Pena","-41.557222","-19.338056",NA,"MBML052984",NA,NA,NA,NA,"Chapada do João Pinto","Erva 40cm rupicola ao sol, flores vermelhas. Campo rupestre.","MBML052984","41W33'26","19S20'17",NA,NA,NA,NA,NA,NA,"2",NA,NA,NA
"160","2018-06-18 14:28:47-03","MBML","MBML-HERBARIO","52996",NA,"Plantae","Rubiaceae","Alseis","floribunda","Alseis floribunda",NA,"L. Kollmann/2018","L. Kollmann; R. Cipriano","13474","2018","04","17","Brasil","Minas Gerais","Conselheiro Pena","-41.442442","-19.169028",NA,"MBML052996",NA,NA,NA,NA,NA,"Arvoreto 4m ao sol. Frutos secos",NA,"41W26'32,79","19S10'8,5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","2019-05-15 08:12:48-03","MBML","MBML-HERBARIO","52957",NA,"Plantae","Malpighiaceae","Amorimia",NA,"Amorimia",NA,NA,"L. Kollmann; R. Cipriano","13477","2018","04","17","Brasil","Minas Gerais","Conselheiro Pena","-41.442442","-19.169028",NA,"MBML052957",NA,NA,NA,NA,NA,"Liana ao sol. Frutos secos.","MBML052957","41W26'32,79","19S10'8,5",NA,NA,NA,NA,NA,NA,"2",NA,NA,NA
"162","2018-06-13 14:43:39-03","MBML","MBML-HERBARIO","52958",NA,"Plantae","Anacardiaceae",NA,NA,NA,NA,NA,"L. Kollmann; R. Cipriano","13478","2018","04","17","Brasil","Minas Gerais","Conselheiro Pena","-41.442442","-19.169028",NA,"MBML052958",NA,NA,NA,NA,NA,"Árvore 7m, frutos velhos","MBML052958","41W26'32,79","19S10'8,5",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"163","2018-06-13 14:43:40-03","MBML","MBML-HERBARIO","52963",NA,"Plantae","Schizaeaceae","Anemia",NA,"Anemia",NA,NA,"L. Kollmann; R. Cipriano","13487","2018","04","17","Brasil","Minas Gerais","Conselheiro Pena","-41.442442","-19.169028",NA,"MBML052963",NA,NA,NA,NA,NA,"Erva rupicola ao sol.",NA,"41W26'32,79","19S10'8,5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","2018-06-13 14:43:39-03","MBML","MBML-HERBARIO","52974",NA,"Plantae","Araceae","Anthurium",NA,"Anthurium",NA,NA,"L. Kollmann; R. Cipriano","13516","2018","04","18","Brasil","Minas Gerais","Conselheiro Pena","-41.557222","-19.338056",NA,"MBML052974",NA,NA,NA,NA,"Chapada do João Pinto","Erva rupicola na meia sombra. Espata e espadice verdes. Campo rupestre.","MBML052974","41W33'26","19S20'17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","2018-06-13 14:43:39-03","MBML","MBML-HERBARIO","52969",NA,"Plantae","Asclepiadaceae",NA,NA,NA,NA,NA,"L. Kollmann; R. Cipriano","13510","2018","04","18","Brasil","Minas Gerais","Conselheiro Pena","-41.557222","-19.338056",NA,"MBML052969",NA,NA,NA,NA,"Chapada do João Pinto","Liana ao sol, flores brancas. Campo rupestre.","MBML052969","41W33'26","19S20'17",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"166","2018-06-13 14:43:40-03","MBML","MBML-HERBARIO","52941",NA,"Plantae","Rutaceae","Balfourodendron","riedelianum","Balfourodendron riedelianum",NA,"L. Kollmann/2018","L. Kollmann; R. Cipriano","13486","2018","04","17","Brasil","Minas Gerais","Conselheiro Pena","-41.442442","-19.169028",NA,"MBML052941",NA,NA,NA,NA,NA,"Arvoreto 7m, frutos verdes",NA,"41W26'32,79","19S10'8,5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","2019-05-15 08:12:48-03","MBML","MBML-HERBARIO","52999",NA,"Plantae","Malpighiaceae","Banisterioprsis",NA,"Banisterioprsis",NA,NA,"L. Kollmann; R. Cipriano","13529","2018","04","18","Brasil","Minas Gerais","Conselheiro Pena","-41.557222","-19.338056",NA,"MBML052999",NA,NA,NA,NA,"Chapada do João Pinto","Liana na beira de estrada, frutos avermelhados. Campo rupestre.","MBML052999","41W33'26","19S20'17",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"168","2019-05-15 08:12:48-03","MBML","MBML-HERBARIO","52952",NA,"Plantae","Malpighiaceae","Banisteriopsis",NA,"Banisteriopsis",NA,NA,"L. Kollmann; R. Cipriano","13522","2018","04","18","Brasil","Minas Gerais","Conselheiro Pena","-41.557222","-19.338056",NA,"MBML052952",NA,NA,NA,NA,"Chapada do João Pinto","Liana na beira da estrada, flores bancas. Campo rupestre.","MBML052952","41W33'26","19S20'17",NA,NA,NA,NA,NA,NA,"2",NA,NA,NA
"169","2018-06-18 14:28:47-03","MBML","MBML-HERBARIO","52992",NA,"Plantae","Begoniaceae","Begonia","convolvulacea","Begonia convolvulacea",NA,NA,"L. Kollmann; R. Cipriano","13520","2018","04","18","Brasil","Minas Gerais","Conselheiro Pena","-41.560931","-19.338333",NA,"MBML052992",NA,NA,NA,NA,"Depois da Chapada do João Pinto","Erva na sombra, esteril. Mata de encosta.","MBML052992","41W33'39,35","19S20'18",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"170","2019-02-20 09:48:09-03","MBML","MBML-HERBARIO","52943",NA,"Plantae","Convolvulaceae","Bonamia",NA,"Bonamia",NA,NA,"L. Kollmann; R. Cipriano","13484","2018","04","17","Brasil","Minas Gerais","Conselheiro Pena","-41.442442","-19.169028",NA,"MBML052943",NA,NA,NA,NA,NA,"Liana ao sol, frutos verdes","MBML052943","41W26'32,79","19S10'8,5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","2019-03-12 08:00:46-03","MBML","MBML-HERBARIO","52970",NA,"Plantae","Orchidaceae","Bulbophyllum","weddellii","Bulbophyllum weddellii",NA,"L. Kollmann/2018","L. Kollmann; R. Cipriano","13511","2018","04","18","Brasil","Minas Gerais","Conselheiro Pena","-41.557222","-19.338056",NA,"MBML052970",NA,NA,NA,NA,"Chapada do João Pinto","Erva rupicola ao sol. Flores amarelas, labelo bronco-vinaceo, apice branco com pintas vinaceas. Campo rupestre.",NA,"41W33'26","19S20'17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
