"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","geoFlag","yearIdentified","monthIdentified","dayIdentified","locality","occurrenceRemarks","imagecode","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","phylum","continentOcean","typeStatus","order","individualCount","class","infraspecificEpithet","preparationType"
"87","2019-12-06 15:17:06-03","MBM","MBM","420998","S","Plantae","Pteridaceae","Adiantum","deflectens","Adiantum deflectens","Mart.","Mazziero, F.F.F.","Mazziero, F.F.F.; Bonin Junior, P.; Bonin Junior, P.","4188","2019","01","25","Brazil","Minas Gerais","Conselheiro Pena","-41.438611","-19.174167",NA,"MBM420998",NA,"2019","02","01",NA,NA,NA,"-41.438611","-19.174167","183","183",NA,"Southern America",NA,NA,NA,NA,NA,NA
"88","2019-12-06 15:17:06-03","MBM","MBM","421000","S","Plantae","Pteridaceae","Adiantum","deflectens","Adiantum deflectens","Mart.","Mazziero, F.F.F.","Mazziero, F.F.F.; Bonin Junior, P.; Bonin Junior, P.","4199","2019","01","25","Brazil","Minas Gerais","Conselheiro Pena","-41.465556","-19.161667",NA,"MBM421000",NA,"2019","02","01",NA,NA,NA,"-41.465556","-19.161667","131","131",NA,"Southern America",NA,NA,NA,NA,NA,NA
"89","2019-12-06 15:17:11-03","MBM","MBM","421003","S","Plantae","Pteridaceae","Adiantum","tetragonum","Adiantum tetragonum","Schrad.","Mazziero, F.F.F.","Mazziero, F.F.F.; Bonin Junior, P.; Bonin Junior, P.","4206","2019","01","26","Brazil","Minas Gerais","Conselheiro Pena","-41.484444","-19.118889",NA,"MBM421003",NA,"2019","02","01",NA,NA,NA,"-41.484444","-19.118889","132","132",NA,"Southern America",NA,NA,NA,NA,NA,NA
"90","2019-12-06 14:45:59-03","MBM","MBM","420748","S","Plantae","Fabaceae","Aeschynomene","denticulata","Aeschynomene denticulata","Rudd","Felitto, G.","Felitto, G.; Cafofo, E.; Cafofo, E.","s.n.","2019","02","01","Brazil","Minas Gerais","Conselheiro Pena","-41.389167","-19.218611",NA,"MBM420748",NA,NA,NA,NA,"São Roque",NA,NA,"-41.389167","-19.218611","185","185",NA,"Southern America",NA,NA,NA,NA,NA,NA
"91","2019-12-06 14:46:05-03","MBM","MBM","420750","S","Plantae","Fabaceae","Alysicarpus","vaginalis","Alysicarpus vaginalis","(L.) DC.","Marinero, F.","Felitto, G.; Cafofo, E.; Cafofo, E.","s.n.","2019","02","01","Brazil","Minas Gerais","Conselheiro Pena","-41.361389","-19.227222",NA,"MBM420750",NA,"2019","04","23","São Roque",NA,NA,"-41.361389","-19.227222","185","185",NA,"Southern America",NA,NA,NA,NA,NA,NA
"92","2019-12-06 14:24:21-03","MBM","MBM","420738","S","Plantae","Amaranthaceae","Amaranthus","spinosus","Amaranthus spinosus","L.","Felitto, G.","Felitto, G.; Cafofo, E.; Cafofo, E.","s.n.","2019","02","01","Brazil","Minas Gerais","Conselheiro Pena","-41.389444","-19.217778",NA,"MBM420738",NA,NA,NA,NA,NA,NA,NA,"-41.389444","-19.217778","180","180",NA,"Southern America",NA,NA,NA,NA,NA,NA
"93","2019-12-06 14:39:48-03","MBM","MBM","420874","S","Plantae","Commelinaceae","Aneilema","brasiliense","Aneilema brasiliense","C.B. Clarke","Mazziero, F.F.F.","Mazziero, F.F.F.; Bonin Junior, P.; Bonin Junior, P.","4181","2019","01","25","Brazil","Minas Gerais","Conselheiro Pena","-41.438333","-19.174167",NA,"MBM420874",NA,"2019","02","01",NA,NA,NA,"-41.438333","-19.174167","184","184",NA,"Southern America",NA,NA,NA,NA,NA,NA
"94","2019-12-06 14:24:53-03","MBM","MBM","420995","S","Plantae","Anemiaceae","Anemia","hirsuta","Anemia hirsuta","(L.) Sw.","Mazziero, F.F.F.","Mazziero, F.F.F.; Bonin Junior, P.; Bonin Junior, P.","4185","2019","01","25","Brazil","Minas Gerais","Conselheiro Pena","-41.438889","-19.174167",NA,"MBM420995",NA,"2019","02","01",NA,NA,NA,"-41.438889","-19.174167","180","180",NA,"Southern America",NA,NA,NA,NA,NA,NA
"95","2019-12-06 15:14:03-03","MBM","MBM","421360","S","Plantae","Poaceae","Aristida",NA,"Aristida",NA,NA,"Campos-Rocha, A.; Comin, M.; Comin, M.","2384","2019","03","04","Brazil","Minas Gerais","Conselheiro Pena","-41.390556","-19.236111",NA,"MBM421360",NA,"2019","04","22","Parque Estadual de Sete Salões",NA,NA,"-41.390556","-19.236111","118","118",NA,"Southern America",NA,NA,NA,NA,NA,NA
"96","2019-12-06 14:44:18-03","MBM","MBM","420888","S","Plantae","Euphorbiaceae","Astraea","lobata","Astraea lobata","(L.) Klotzsch","Mazziero, F.F.F.","Mazziero, F.F.F.; Bonin Junior, P.; Bonin Junior, P.","s.n.","2019","01","26","Brazil","Minas Gerais","Conselheiro Pena","-41.478056","-19.136111",NA,"MBM420888",NA,"2019","02","01",NA,NA,NA,"-41.478056","-19.136111","120","120",NA,"Southern America",NA,NA,NA,NA,NA,NA
"97","2019-12-06 15:01:34-03","MBM","MBM","421116","S","Plantae","Malpighiaceae","Banisteriopsis","malifolia","Banisteriopsis malifolia","(Nees & Mart.) B. Gates","Campos-Rocha, A.","Campos-Rocha, A.; Comin, M.; Comin, M.","2354","2019","03","03","Brazil","Minas Gerais","Conselheiro Pena","-41.390833","-19.235",NA,"MBM421116",NA,"2019","04","22","Parque Estadual de Sete Salões",NA,NA,"-41.390833","-19.235","439","439",NA,"Southern America",NA,NA,NA,NA,NA,NA
"98","2019-12-06 14:30:28-03","MBM","MBM","420657","S","Plantae","Asteraceae","Blainvillea","acmella","Blainvillea acmella","(L.) Philipson","Mazziero, F.F.F.","Mazziero, F.F.F.; Bonin Junior, P.; Bonin Junior, P.","s.n.","2019","01","25","Brazil","Minas Gerais","Conselheiro Pena","-41.465278","-19.161667",NA,"MBM420657",NA,"2019","02","01",NA,NA,NA,"-41.465278","-19.161667","129","129",NA,"Southern America",NA,NA,NA,NA,NA,NA
"99","2019-12-06 14:30:38-03","MBM","MBM","420656","S","Plantae","Asteraceae","Calyptocarpus","brasiliensis","Calyptocarpus brasiliensis","(Nees & Mart.) B. Turner","Mazziero, F.F.F.","Mazziero, F.F.F.; Bonin Junior, P.; Bonin Junior, P.","s.n.","2019","01","25","Brazil","Minas Gerais","Conselheiro Pena","-41.438333","-19.174444",NA,"MBM420656",NA,"2019","02","01",NA,NA,NA,"-41.438333","-19.174444","191","191",NA,"Southern America",NA,NA,NA,NA,NA,NA
"100","2019-12-06 15:14:17-03","MBM","MBM","420756","S","Plantae","Poaceae","Cenchrus","ciliaris","Cenchrus ciliaris","L.","Marinero, F.","Felitto, G.; Cafofo, E.; Cafofo, E.","s.n.","2019","02","01","Brazil","Minas Gerais","Conselheiro Pena","-41.389444","-19.217778",NA,"MBM420756",NA,"2019","05","05","São Roque",NA,NA,"-41.389444","-19.217778","185","185",NA,"Southern America",NA,NA,NA,NA,NA,NA
"101","2019-12-06 15:14:17-03","MBM","MBM","418898","S","Plantae","Poaceae","Cenchrus","echinatus","Cenchrus echinatus","L.","Marinero, F.","Marinero, F.; Nardin, E.C.; Nardin, E.C.","1158","2019","02","12","Brazil","Minas Gerais","Conselheiro Pena","-41.516667","-19.107222",NA,"MBM418898",NA,"2019","03","27","Rio Doce",NA,NA,"-41.516667","-19.107222","122","122",NA,"Southern America",NA,NA,NA,NA,NA,NA
"102","2019-12-06 14:46:59-03","MBM","MBM","421362","S","Plantae","Fabaceae","Chamaecrista","debilis","Chamaecrista debilis","(Vogel) H.S. Irwin & Barneby","Campos-Rocha, A.","Campos-Rocha, A.; Comin, M.; Comin, M.","2381","2019","03","07","Brazil","Minas Gerais","Conselheiro Pena","-41.387222","-19.24",NA,"MBM421362",NA,"2019","04","22","Parque Estadual de Sete Salões",NA,NA,"-41.387222","-19.24","423","423",NA,"Southern America",NA,NA,NA,NA,NA,NA
"103","2019-12-06 14:47:03-03","MBM","MBM","421115","S","Plantae","Fabaceae","Chamaecrista","flexuosa","Chamaecrista flexuosa","(L.) Greene","Campos-Rocha, A.","Campos-Rocha, A.; Comin, M.; Comin, M.","2347","2019","03","02","Brazil","Minas Gerais","Conselheiro Pena","-41.388889","-19.234444",NA,"MBM421115",NA,"2019","04","22","Parque Estadual de Sete Salões",NA,NA,"-41.388889","-19.234444","423","423",NA,"Southern America",NA,NA,NA,NA,NA,NA
