"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","individualCount","class"
"13","2019-09-24 11:05:44-03","EAO","IAN","104755","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapindaceae","Paullinia","carpopodea",NA,"Paullinia carpopodea","Cambess.","Magalhães, MG","1956","Magalhães, MG","7447","1956","07","17","Southern America","Brasil","Minas Gerais","Guanhães","França, 12km S da cidade.&nf;Mata secundaria.","-42.9324989318848","-18.7749996185303",NA,NA,NA,"Trepador, alcança árvore de 15-20m.","IAN104755",NA,NA,NA,"43982","auto",NA,NA,NA,NA
"14","2019-09-24 11:01:59-03","EAO","IAN","104788","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Ochnaceae","Ouratea",NA,NA,"Ouratea",NA,NA,NA,"Magalhães, MG","9767","1956","08",NA,"Southern America","Brasil","Minas Gerais","Guanhães","Capoeira seca e mata secundária, 18km S da cidade de Guanhães.","-42.9324989318848","-18.7749996185303",NA,NA,NA,"Arbusto de 2m, até pequenas árvores de 6m de altura; flor amarela; frequênte em pequenos grupos esparsos.","IAN104788",NA,NA,NA,"43982","auto",NA,NA,NA,NA
"15","2019-12-17 14:05:28-03","EAO","IAN","104789","PreservedSpecimen","Plantae",NA,NA,"Indet.","Indet",NA,NA,"Indet",NA,"Acevedo-Rodríguez, P","2019","Magalhães, MG","9768","1956","08",NA,"Southern America","Brasil","Minas Gerais","Guanhães","Capoeira seca e mata secundaria 4 km L da cidade de Guanhães.","-42.9324989318848","-18.7749996185303",NA,NA,NA,"Arbusto 3m alto, mais ou menos frutos - freq.: +++ esparos e isolados.","IAN104789",NA,NA,NA,"43982","auto","10","29",NA,NA
"16","2019-09-24 10:58:55-03","EAO","IAN","104787","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Malvaceae","Pavonia","sepium",NA,"Pavonia sepium","A.St.-Hil.","Krapovickas, A","1981","Magalhães, MG","9766","1956","08",NA,"Southern America","Brasil","Minas Gerais","Guanhães","Clareira aberta na mata secundária (sujo florestal).","-42.9324989318848","-18.7749996185303",NA,NA,NA,"Subarbusto de 0,50-1m de altura em grupos esparsos.","IAN104787",NA,NA,NA,"43982","auto","01",NA,NA,NA
"17","2019-09-24 10:58:55-03","EAO","IAN","104750","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Malvaceae","Pavonia","sepium",NA,"Pavonia sepium","A.St.-Hil.","Krapovickas, A","1981","Magalhães, MG","7441","1956","07","12","Southern America","Brasil","Minas Gerais","Guanhães","Margem da mata secundária em declive. Local Pintos.","-42.9324989318848","-18.7749996185303",NA,NA,NA,"Subarbusto de 1m de altura, cespitoso, mais grupos.","IAN104750",NA,NA,NA,"43982","auto","01",NA,NA,NA
"18","2019-09-24 11:05:44-03","EAO","IAN","104760","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapindaceae","Matayba","elaeagnoides",NA,"Matayba elaeagnoides","Radlk.",NA,NA,"Magalhães, MG","7454","1956","07","13","Southern America","Brasil","Minas Gerais","Guanhães","Margem de mata secundaria. 3km L da cidade.","-42.9324989318848","-18.7749996185303",NA,NA,NA,"Arbusto cespitoso de 2-3m.","IAN104760",NA,NA,NA,"43982","auto",NA,NA,NA,NA
"19","2019-09-24 11:06:02-03","EAO","IAN","104751","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapotaceae","Chrysophyllum","gonocarpum",NA,"Chrysophyllum gonocarpum","(Mart. & Eichler) Engl.","Lima, LF","2016","Magalhães, MG","7442","1956","07","14","Southern America","Brasil","Minas Gerais","Guanhães","Restos de mata secundária. (Remanescente).","-42.9324989318848","-18.7749996185303",NA,NA,NA,"Árvore isolada de 10-15m de altura; frutos verdes.","IAN104751",NA,NA,NA,"43982","auto","07","21",NA,NA
"20","2019-09-24 10:56:19-03","EAO","IAN","104753","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Dialioideae","Apuleia","praecox",NA,"Apuleia praecox","Mart.","Magalhães, MG","1956","Magalhães, MG","7444","1956","07","17","Southern America","Brasil","Minas Gerais","Guanhães","França. O local França está a 12Km S da cidade de Guanhães.","-42.9324989318848","-18.7749996185303",NA,NA,NA,NA,"IAN104753",NA,NA,NA,"43982","auto",NA,NA,NA,NA
"21","2019-09-24 10:56:19-03","EAO","IAN","104823","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Dialioideae","Apuleia","praecox",NA,"Apuleia praecox","Mart.","Magalhães, MG",NA,"Magalhães, MG","s.n.","1956","01","26","Southern America","Brasil","Minas Gerais","Guanhães","Mata secundária, tipo mata costeira.","-42.9324989318848","-18.7749996185303",NA,NA,NA,NA,"IAN104823",NA,NA,NA,"43982","auto",NA,NA,NA,NA
"22","2019-09-24 11:03:55-03","EAO","IAN","105636","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rubiaceae","Bathysa",NA,NA,"Bathysa",NA,NA,NA,"Magalhães, MG","7448","1956","07","17","Southern America","Brasil","Minas Gerais","Guanhães","Mata secundaria nos declives, França 12km. S. da cidade.","-42.9324989318848","-18.7749996185303",NA,NA,NA,"Árvore de 8-12m. de altura, esparsa, flor, frutos.","IAN105636",NA,NA,NA,"43982","auto",NA,NA,NA,NA
