"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","individualCount","class"
"54","2019-10-02 15:00:36-03","UFMG","BHCB","135420","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Myrcia","splendens",NA,"Myrcia splendens","(Sw.) DC.",NA,NA,"Mendes, MS; Pena, FSR","s.n.","2006",NA,NA,"Southern America","Brasil","Minas Gerais","Dores de Guanhães","Reservatório da PCH Funil.","-42.888611","-19.073056","-42.888611","-19.073056",NA,"Floresta Estacional semidecidual",NA,NA,"595","595",NA,NA,NA,NA,NA,NA
"55","2019-10-02 15:03:17-03","UFMG","BHCB","135422","PreservedSpecimen","Plantae","Dicotyledon",NA,"Sapotaceae","Pouteria",NA,NA,"Pouteria",NA,NA,NA,"Mendes, MS; Pena, FSR","s.n.","2006",NA,NA,"Southern America","Brasil","Minas Gerais","Dores de Guanhães","Reservatório da PCH Funil.","-42.888611","-19.073056","-42.888611","-19.073056",NA,"Floresta Estacional semidecidual",NA,NA,"595","595",NA,NA,NA,NA,NA,NA
"56","2019-10-02 15:01:23-03","UFMG","BHCB","68429","PreservedSpecimen","Plantae","Dicotyledon",NA,"Phyllanthaceae","Richeria","grandis",NA,"Richeria grandis","Vahl",NA,NA,"Aquino, C; Nunes, LG","s.n.","2001","12","01","Southern America","Brasil","Minas Gerais","Dores de Guanhães","Dores de Guanhães. Sumidouro.",NA,"-19.05",NA,"-19.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","2019-10-02 14:52:41-03","UFMG","BHCB","135414","PreservedSpecimen","Plantae","Dicotyledon",NA,"Elaeocarpaceae","Sloanea","eichleri",NA,"Sloanea eichleri","K.Schum.",NA,NA,"Mendes, MS; Pena, FSR","s.n.","2006",NA,NA,"Southern America","Brasil","Minas Gerais","Dores de Guanhães","Reservatório da PCH Funil.","-42.888611","-19.073056","-42.888611","-19.073056",NA,"Floresta Estacional semidecidual",NA,NA,"595","595",NA,NA,NA,NA,NA,NA
"58","2019-10-02 14:52:41-03","UFMG","BHCB","68438","PreservedSpecimen","Plantae","Dicotyledon",NA,"Elaeocarpaceae","Sloanea","guianensis",NA,"Sloanea guianensis","(Aubl.) Benth.",NA,"2010","Aquino, C; Nunes, LG","s.n.","2001","12","01","Southern America","Brasil","Minas Gerais","Dores de Guanhães","Dores de Guanhães. Jacaré.",NA,"-19.05",NA,"-19.05",NA,NA,NA,NA,NA,NA,NA,NA,"01",NA,NA,NA
"59","2019-12-16 17:41:39-03","UFMG","BHCB","135413","PreservedSpecimen","Plantae","Dicotyledon",NA,"Apocynaceae","Tabernaemontana",NA,NA,"Tabernaemontana",NA,NA,NA,"Mendes, MS; Pena, FSR","s.n.","2006",NA,NA,"Southern America","Brasil","Minas Gerais","Dores de Guanhães","Reservatório da PCH Funil.","-42.888611","-19.073056","-42.888611","-19.073056",NA,"Floresta Estacional Semidecidual","BHCB053170",NA,"595","595",NA,NA,NA,NA,NA,NA
"60","2019-10-02 14:59:35-03","UFMG","BHCB","68427","PreservedSpecimen","Plantae","Dicotyledon",NA,"Meliaceae","Trichilia","ramalhoi",NA,"Trichilia ramalhoi","Rizzini",NA,NA,"Aquino, C; Nunes, LG","s.n.","2001","12","01","Southern America","Brasil","Minas Gerais","Dores de Guanhães","Dores de Guanhães. Senhora do Porto.",NA,"-19.05",NA,"-19.05",NA,NA,NA,NA,"2","2",NA,NA,NA,NA,NA,NA
"61","2019-10-02 15:02:56-03","UFMG","BHCB","135421","PreservedSpecimen","Plantae","Dicotyledon",NA,"Rutaceae","Zanthoxylum","monogynum",NA,"Zanthoxylum monogynum","A.St.-Hil.",NA,NA,"Mendes, MS; Pena, FSR","s.n.","2006",NA,NA,"Southern America","Brasil","Minas Gerais","Dores de Guanhães","Reservatório da PCH Funil.","-42.888611","-19.073056","-42.888611","-19.073056",NA,"Floresta Estacional semidecidual",NA,NA,"595","595",NA,NA,NA,NA,NA,NA
"62","2019-10-02 15:03:15-03","UFMG","BHCB","95292","PreservedSpecimen","Plantae","Dicotyledon",NA,"Sapotaceae","Chrysophyllum","marginatum",NA,"Chrysophyllum marginatum","(Hook. & Arn.) Radlk.",NA,"2012","Mota, NFO; Viana, PL; Almeida, TE","520","2005","08","15","Southern America","Brasil","Minas Gerais","Dores de Guanhães","Caraça. PCH Jacaré.","-42.92919921875","-19.0583000183105",NA,NA,NA,"Arvoreta em afloramento granítico, flores cremes; Arvoreta em afloramento granítico, flores cremes","BHCB004660",NA,"900","1200","20800","auto","07",NA,NA,NA
"63","2019-10-02 15:06:04-03","UFMG","BHCB","95291","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Dyckia",NA,NA,"Dyckia",NA,NA,NA,"Mota, NFO; Viana, PL; Almeida, TE","519","2005","08","15","Southern America","Brasil","Minas Gerais","Dores de Guanhães","Caraça. PCH Jacaré.","-42.92919921875","-19.0583000183105",NA,NA,NA,"Rupícola em afloramento granítico, flores laranjas",NA,NA,"1200","1200","20800","auto",NA,NA,NA,NA
"64","2019-10-02 15:05:59-03","UFMG","BHCB","95290","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae",NA,NA,NA,NA,NA,NA,NA,"Mota, NFO; Viana, PL; Almeida, TE","518","2005","08","15","Southern America","Brasil","Minas Gerais","Dores de Guanhães","PCH Brejaúba.","-42.92919921875","-19.0583000183105",NA,NA,NA,"Rupícola em afloramento granítico na mata ciliar, inflorescencia amarela",NA,NA,NA,NA,"20800","auto",NA,NA,NA,NA
"65","2019-10-02 15:06:31-03","UFMG","BHCB","95287","PreservedSpecimen","Plantae","Monocotyledon",NA,"Cyperaceae","Pleurostachys",NA,NA,"Pleurostachys",NA,NA,NA,"Mota, NFO; Viana, PL; Almeida, TE","515","2005","08","16","Southern America","Brasil","Minas Gerais","Dores de Guanhães","PCH Jacaré.","-42.92919921875","-19.0583000183105",NA,NA,NA,"Erva terrestre no interior de mata",NA,NA,NA,NA,"20800","auto",NA,NA,NA,NA
"66","2019-10-02 14:52:13-03","UFMG","BHCB","95289","PreservedSpecimen","Plantae","Dicotyledon",NA,"Clusiaceae","Clusia",NA,NA,"Clusia",NA,NA,NA,"Mota, NFO; Viana, PL; Almeida, TE","517","2005","08","13","Southern America","Brasil","Minas Gerais","Dores de Guanhães","PCH Jacaré.","-42.92919921875","-19.0583000183105",NA,NA,NA,"Árvore de 4 m. de altura no interior de mata, frutos imaturos verdes",NA,NA,NA,NA,"20800","auto",NA,NA,NA,NA
"67","2019-10-02 14:54:05-03","UFMG","BHCB","95286","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Inga","flagelliformis",NA,"Inga flagelliformis","(Vell.) Mart.",NA,NA,"Mota, NFO; Viana, PL; Almeida, TE","514","2005","08","15","Southern America","Brasil","Minas Gerais","Dores de Guanhães","PCH Jacaré.","-42.92919921875","-19.0583000183105",NA,NA,NA,"Árvore de 5 m. de altura, caule floria. Flores com cálice verde e corola creme; Árvore de 5 m de altura, caule floria. Flores com cálice verde e corola creme.","BHCB008862",NA,NA,NA,"20800","auto",NA,NA,NA,NA
"68","2019-10-02 14:48:25-03","UFMG","BHCB","95285","PreservedSpecimen","Plantae","Dicotyledon",NA,"Annonaceae","Guatteria",NA,NA,"Guatteria","Ruiz & Pav.",NA,NA,"Mota, NFO; Viana, PL; Almeida, TE","513","2005","08","15","Southern America","Brasil","Minas Gerais","Dores de Guanhães","PCH Jacaré.","-42.92919921875","-19.0583000183105",NA,NA,NA,"Arvoreta de 2-4 m. de altura no interior de mata",NA,NA,NA,NA,"20800","auto",NA,NA,NA,NA
"69","2019-10-02 14:51:01-03","UFMG","BHCB","95284","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Verbesina",NA,NA,"Verbesina","L.",NA,NA,"Mota, NFO; Viana, PL; Almeida, TE","512","2005","08","16","Southern America","Brasil","Minas Gerais","Dores de Guanhães","PCH Jacaré.","-42.92919921875","-19.0583000183105",NA,NA,NA,"Plantas do Brasil. Interior de mata. Arbustivo. Capítulos amarelos.",NA,NA,"800","800","20800","auto",NA,NA,NA,NA
"70","2019-10-02 14:52:02-03","UFMG","BHCB","22296","PreservedSpecimen","Plantae","Dicotyledon",NA,"Celastraceae","Maytenus","evonymoides",NA,"Maytenus evonymoides","Reissek",NA,NA,"Costa, LV; Atalla, NC","s.n.","1992","10","29","Southern America","Brasil","Minas Gerais","Guanhães",NA,"-42.9324989318848","-18.7749996185303",NA,NA,NA,NA,NA,NA,NA,NA,"43982","auto",NA,NA,NA,NA
"71","2019-10-02 15:06:02-03","UFMG","BHCB","58127","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Aechmea","racemosa",NA,"Aechmea racemosa","Mart.",NA,"1933","Barreto, HLM","2107","1933","08","28","Southern America","Brasil","Minas Gerais","Guanhães",NA,"-42.9324989318848","-18.7749996185303",NA,NA,NA,"Epifita, folhas de 2 metros, alta frequência","BHCB042776","BHCB042776",NA,NA,"43982","auto",NA,NA,NA,NA
"72","2019-10-02 14:54:11-03","UFMG","BHCB","22288","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Machaerium","brasiliense",NA,"Machaerium brasiliense","Vogel",NA,NA,"Costa, LV; Atalla, NC","s.n.","1992","10",NA,"Southern America","Brasil","Minas Gerais","Guanhães",NA,"-42.9324989318848","-18.7749996185303",NA,NA,NA,NA,NA,NA,NA,NA,"43982","auto",NA,NA,NA,NA
"73","2019-10-02 14:54:11-03","UFMG","BHCB","22288","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Machaerium","brasiliense",NA,"Machaerium brasiliense","Vogel",NA,NA,"Costa, LV; Atalla, NC","s.n.","1992","10",NA,"Southern America","Brasil","Minas Gerais","Guanhães",NA,"-42.9324989318848","-18.7749996185303",NA,NA,NA,NA,NA,NA,NA,NA,"43982","auto",NA,NA,NA,NA
"74","2019-10-02 14:54:17-03","UFMG","BHCB","22244","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Mimosa","aurivillus",NA,"Mimosa aurivillus","Mart.",NA,NA,"Costa, LV; Atalla, NC","s.n.","1992","10","26","Southern America","Brasil","Minas Gerais","Guanhães",NA,"-42.9324989318848","-18.7749996185303",NA,NA,NA,NA,NA,NA,NA,NA,"43982","auto",NA,NA,NA,NA
"75","2019-10-02 15:07:09-03","UFMG","BHCB","22269","PreservedSpecimen","Plantae","Monocotyledon",NA,"Marantaceae","Stromanthe",NA,NA,"Stromanthe","Gasper",NA,NA,"Costa, LV; Atalla, NC","s.n.","1992",NA,NA,"Southern America","Brasil","Minas Gerais","Guanhães",NA,"-42.9324989318848","-18.7749996185303",NA,NA,NA,NA,NA,NA,NA,NA,"43982","auto",NA,NA,NA,NA
"76","2019-10-02 15:07:09-03","UFMG","BHCB","22269","PreservedSpecimen","Plantae","Monocotyledon",NA,"Marantaceae","Stromanthe","sellowiana",NA,"Stromanthe sellowiana","K.Shum.",NA,"2003","Costa, LV; Atalla, NC","s.n.","1992","10",NA,"Southern America","Brasil","Minas Gerais","Guanhães",NA,"-42.9324989318848","-18.7749996185303",NA,NA,NA,"Herbáceo.; Subosque de eucalipto.","BHCB013568",NA,NA,NA,"43982","auto","01",NA,NA,NA
"77","2019-10-02 15:00:49-03","UFMG","BHCB","22298","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Psidium","rufum",NA,"Psidium rufum","Mart. ex DC.",NA,NA,"Costa, LV; Atalla, NC","s.n.","1992","10","31","Southern America","Brasil","Minas Gerais","Guanhães",NA,"-42.9324989318848","-18.7749996185303",NA,NA,NA,NA,NA,NA,NA,NA,"43982","auto",NA,NA,NA,NA
"78","2019-10-02 15:00:49-03","UFMG","BHCB","22298","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Psidium","rufum",NA,"Psidium rufum","Mart. ex DC.",NA,NA,"Costa, LV; Atalla, NC","s.n.","1992","10","31","Southern America","Brasil","Minas Gerais","Guanhães",NA,"-42.9324989318848","-18.7749996185303",NA,NA,NA,NA,NA,NA,NA,NA,"43982","auto",NA,NA,NA,NA
"79","2019-10-02 14:52:02-03","UFMG","BHCB","22296","PreservedSpecimen","Plantae","Dicotyledon",NA,"Celastraceae","Maytenus","evonymoides",NA,"Maytenus evonymoides","Reissek",NA,NA,"Costa, LV; Atalla, NC","s.n.","1992","10","29","Southern America","Brasil","Minas Gerais","Guanhães",NA,"-42.9324989318848","-18.7749996185303",NA,NA,NA,NA,NA,NA,NA,NA,"43982","auto",NA,NA,NA,NA
"80","2019-10-02 14:48:19-03","UFMG","BHCB","22268","PreservedSpecimen","Plantae","Dicotyledon",NA,"Anacardiaceae","Tapirira","guianensis",NA,"Tapirira guianensis","Aubl.",NA,NA,"Costa, LV; Atalla, NC","s.n.","1992","11","01","Southern America","Brasil","Minas Gerais","Guanhães",NA,"-42.9324989318848","-18.7749996185303",NA,NA,NA,NA,NA,NA,NA,NA,"43982","auto",NA,NA,NA,NA
"81","2020-03-16 20:32:32-03","UFMG","BHCB","22268","PreservedSpecimen","Plantae","Dicotyledon",NA,"Anacardiaceae","Tapirira","guianensis",NA,"Tapirira guianensis","Aubl.",NA,NA,"Costa, LV; Atalla, NC","s.n.","1992","11","01","Southern America","Brasil","Minas Gerais","Guanhães",NA,"-42.9324989318848","-18.7749996185303",NA,NA,NA,"Arbóreo.; Mata Ciliar inundável.","BHCB055860",NA,NA,NA,"43982","auto",NA,NA,NA,NA
"82","2019-10-02 14:56:45-03","UFMG","BHCB","22246","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Clidemia","urceolata",NA,"Clidemia urceolata","DC.",NA,NA,"Costa, LV; Atalla, NC","s.n.","1992","07","17","Southern America","Brasil","Minas Gerais","Guanhães",NA,"-42.9324989318848","-18.7749996185303",NA,NA,NA,NA,NA,NA,NA,NA,"43982","auto",NA,NA,NA,NA
"83","2019-10-02 14:56:45-03","UFMG","BHCB","22246","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Clidemia","urceolata",NA,"Clidemia urceolata","DC.",NA,NA,"Costa, LV; Atalla, NC","s.n.","1992","07","17","Southern America","Brasil","Minas Gerais","Guanhães",NA,"-42.9324989318848","-18.7749996185303",NA,NA,NA,NA,NA,NA,NA,NA,"43982","auto",NA,NA,NA,NA
"84","2020-01-09 18:29:13-03","UFMG","BHCB","22266","PreservedSpecimen","Plantae","Monocotyledon",NA,"Alismataceae","Echinodorus","macrophyllus",NA,"Echinodorus macrophyllus","Kunth",NA,NA,"Costa, LV; Atalla, NC","s.n.","1992","11","30","Southern America","Brasil","Minas Gerais","Guanhães",NA,"-42.9324989318848","-18.7749996185303",NA,NA,NA,"Uso medicinal: rins.; Herbáceo.; Aquático, borda de lagoa.","BHCB053749","BHCB053749",NA,NA,"43982","auto",NA,NA,NA,NA
"85","2019-10-02 15:05:47-03","UFMG","BHCB","22266","PreservedSpecimen","Plantae","Monocotyledon",NA,"Alismataceae","Echinodorus","macrophyllus",NA,"Echinodorus macrophyllus","Kunth",NA,NA,"Costa, LV; Atalla, NC","s.n.","1992","11","30","Southern America","Brasil","Minas Gerais","Guanhães",NA,"-42.9324989318848","-18.7749996185303",NA,NA,NA,NA,NA,NA,NA,NA,"43982","auto",NA,NA,NA,NA
"86","2019-10-02 15:05:38-03","UFMG","BHCB","22293","PreservedSpecimen","Plantae","Indeterminado",NA,"Indeterminada","Indeterminado",NA,NA,"Indeterminado",NA,NA,NA,"Costa, LV; Atalla, NC","s.n.","1992","11","01","Southern America","Brasil","Minas Gerais","Guanhães",NA,"-42.9324989318848","-18.7749996185303",NA,NA,NA,"Cenibra, Proj. Amância.; Arbóreo, 7m.; Mata Ciliar Inundável","BHCB047242",NA,NA,NA,"43982","auto",NA,NA,NA,NA
"87","2019-10-02 15:04:16-03","UFMG","BHCB","21102","PreservedSpecimen","Plantae","Dicotyledon",NA,"Solanaceae","Solanum","graveolens",NA,"Solanum graveolens","Bunbury",NA,"1997","Costa, LV; Atalla, NC","s.n.","1992","10",NA,"Southern America","Brasil","Minas Gerais","Guanhães",NA,"-42.9324989318848","-18.7749996185303",NA,NA,NA,"Arbusto; Floresta Tropical, área aberta","BHCB050334",NA,NA,NA,"43982","auto",NA,NA,NA,NA
"88","2019-10-02 14:53:36-03","UFMG","BHCB","22241","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Calliandra","parvifolia",NA,"Calliandra parvifolia","(Hook. & Arn.) Speg.",NA,NA,"Costa, LV; Atalla, NC","s.n.","1992","10","28","Southern America","Brasil","Minas Gerais","Guanhães",NA,"-42.9324989318848","-18.7749996185303",NA,NA,NA,NA,NA,NA,NA,NA,"43982","auto",NA,NA,NA,NA
"89","2019-10-02 14:53:36-03","UFMG","BHCB","22241","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Calliandra","parvifolia",NA,"Calliandra parvifolia","(Hook. & Arn.) Speg.",NA,NA,"Costa, LV; Atalla, NC","s.n.","1992","10","28","Southern America","Brasil","Minas Gerais","Guanhães",NA,"-42.9324989318848","-18.7749996185303",NA,NA,NA,NA,NA,NA,NA,NA,"43982","auto",NA,NA,NA,NA
"90","2019-10-02 14:53:17-03","UFMG","BHCB","22304","PreservedSpecimen","Plantae","Dicotyledon",NA,"Euphorbiaceae","Maprounea","guianensis",NA,"Maprounea guianensis","Aubl.",NA,NA,"Costa, LV; Atalla, NC","s.n.","1992","10","27","Southern America","Brasil","Minas Gerais","Guanhães",NA,"-42.9324989318848","-18.7749996185303",NA,NA,NA,NA,NA,NA,NA,NA,"43982","auto",NA,NA,NA,NA
"91","2019-10-02 14:53:17-03","UFMG","BHCB","22304","PreservedSpecimen","Plantae","Dicotyledon",NA,"Euphorbiaceae","Maprounea","guianensis",NA,"Maprounea guianensis","Aubl.",NA,NA,"Costa, LV; Atalla, NC","s.n.","1992","10","27","Southern America","Brasil","Minas Gerais","Guanhães",NA,"-42.9324989318848","-18.7749996185303",NA,NA,NA,NA,NA,NA,NA,NA,"43982","auto",NA,NA,NA,NA
"92","2019-10-02 14:59:35-03","UFMG","BHCB","22271","PreservedSpecimen","Plantae","Dicotyledon",NA,"Menispermaceae","Abuta","selloana",NA,"Abuta selloana","Eichler",NA,NA,"Costa, LV; Atalla, NC","s.n.","1992","10","27","Southern America","Brasil","Minas Gerais","Guanhães",NA,"-42.9324989318848","-18.7749996185303",NA,NA,NA,NA,NA,NA,NA,NA,"43982","auto",NA,NA,NA,NA
"93","2019-10-02 14:59:35-03","UFMG","BHCB","22271","PreservedSpecimen","Plantae","Dicotyledon",NA,"Menispermaceae","Abuta","selloana",NA,"Abuta selloana","Eichler",NA,NA,"Costa, LV; Atalla, NC","s.n.","1992","10","27","Southern America","Brasil","Minas Gerais","Guanhães",NA,"-42.9324989318848","-18.7749996185303",NA,NA,NA,NA,NA,NA,NA,NA,"43982","auto",NA,NA,NA,NA
"94","2019-10-02 14:53:06-03","UFMG","BHCB","22303","PreservedSpecimen","Plantae","Dicotyledon",NA,"Euphorbiaceae","Croton","floribundus",NA,"Croton floribundus","Spreng.",NA,NA,"Costa, LV; Atalla, NC","s.n.","1992","10","28","Southern America","Brasil","Minas Gerais","Guanhães",NA,"-42.9324989318848","-18.7749996185303",NA,NA,NA,NA,NA,NA,NA,NA,"43982","auto",NA,NA,NA,NA
"95","2019-10-02 14:53:06-03","UFMG","BHCB","22303","PreservedSpecimen","Plantae","Dicotyledon",NA,"Euphorbiaceae","Croton","floribundus",NA,"Croton floribundus","Spreng.",NA,NA,"Costa, LV; Atalla, NC","s.n.","1992","10","28","Southern America","Brasil","Minas Gerais","Guanhães",NA,"-42.9324989318848","-18.7749996185303",NA,NA,NA,NA,NA,NA,NA,NA,"43982","auto",NA,NA,NA,NA
"96","2019-10-02 15:04:27-03","UFMG","BHCB","22318","PreservedSpecimen","Plantae","Dicotyledon",NA,"Solanaceae","Solanum","pseudoquina",NA,"Solanum pseudoquina","A.St.-Hil.",NA,NA,"Costa, LV; Atalla, NC","s.n.",NA,NA,NA,"Southern America","Brasil","Minas Gerais","Guanhães",NA,"-42.9324989318848","-18.7749996185303",NA,NA,NA,NA,NA,NA,NA,NA,"43982","auto",NA,NA,NA,NA
"97","2019-10-02 15:04:27-03","UFMG","BHCB","22311","PreservedSpecimen","Plantae","Dicotyledon",NA,"Solanaceae","Solanum","pseudoquina",NA,"Solanum pseudoquina","A.St.-Hil.",NA,"2013","Costa, LV; Atalla, NC","s.n.","1992","10","26","Southern America","Brasil","Minas Gerais","Guanhães",NA,"-42.9324989318848","-18.7749996185303",NA,NA,NA,"Arbustivo 3,5 m; Floresta Secundária","BHCB018927",NA,NA,NA,"43982","auto",NA,NA,NA,NA
"98","2019-10-02 15:04:40-03","UFMG","BHCB","22289","PreservedSpecimen","Plantae","Dicotyledon",NA,"Styracaceae","Styrax",NA,NA,"Styrax","L.",NA,NA,"Costa, LV; Atalla, NC","s.n.","1992","10","26","Southern America","Brasil","Minas Gerais","Guanhães",NA,"-42.9324989318848","-18.7749996185303",NA,NA,NA,NA,NA,NA,NA,NA,"43982","auto",NA,NA,NA,NA
"99","2019-10-02 14:55:56-03","UFMG","BHCB","22245","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malpighiaceae","Byrsonima",NA,NA,"Byrsonima","Rich. ex Kunth",NA,NA,"Costa, LV; Atalla, NC","s.n.","1992","10","27","Southern America","Brasil","Minas Gerais","Guanhães",NA,"-42.9324989318848","-18.7749996185303",NA,NA,NA,NA,NA,NA,NA,NA,"43982","auto",NA,NA,NA,NA
"100","2019-10-02 14:55:56-03","UFMG","BHCB","22245","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malpighiaceae","Byrsonima",NA,NA,"Byrsonima","Rich. ex Kunth",NA,NA,"Costa, LV; Atalla, NC","s.n.","1992","10","27","Southern America","Brasil","Minas Gerais","Guanhães",NA,"-42.9324989318848","-18.7749996185303",NA,NA,NA,NA,NA,NA,NA,NA,"43982","auto",NA,NA,NA,NA
"101","2019-10-02 15:04:40-03","UFMG","BHCB","22289","PreservedSpecimen","Plantae","Dicotyledon",NA,"Styracaceae","Styrax",NA,NA,"Styrax","L.",NA,NA,"Costa, LV; Atalla, NC","s.n.","1992","10","26","Southern America","Brasil","Minas Gerais","Guanhães",NA,"-42.9324989318848","-18.7749996185303",NA,NA,NA,NA,NA,NA,NA,NA,"43982","auto",NA,NA,NA,NA
"102","2019-10-02 15:01:16-03","UFMG","BHCB","22293","PreservedSpecimen","Plantae","Dicotyledon",NA,"Peraceae","Pera",NA,NA,"Pera",NA,NA,NA,"Costa, LV; Atalla, NC","s.n.","1992","11","01","Southern America","Brasil","Minas Gerais","Guanhães",NA,"-42.9324989318848","-18.7749996185303",NA,NA,NA,NA,NA,NA,NA,NA,"43982","auto",NA,NA,NA,NA
"103","2019-10-02 15:00:26-03","UFMG","BHCB","22302","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Myrcia","eriopus",NA,"Myrcia eriopus","DC.",NA,"2004","Costa, LV; Atalla, NC","s.n.","1992","10","29","Southern America","Brasil","Minas Gerais","Guanhães",NA,"-42.9324989318848","-18.7749996185303",NA,NA,NA,"Subarbóreo 3m; Sub-bosque de eucalipto","BHCB012625","BHCB012625",NA,NA,"43982","auto","03","22",NA,NA
"104","2019-10-02 14:54:18-03","UFMG","BHCB","22244","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Mimosa","aurivillus","sardenscens","Mimosa aurivillus sardenscens","(Benth.) Barneby",NA,"1995","Costa, LV; Atalla, NC","s.n.","1992","10","26","Southern America","Brasil","Minas Gerais","Guanhães","CENIBRA","-42.9324989318848","-18.7749996185303",NA,NA,NA,"Sub arbóreo 2,5m.; Mata de altitude.","BHCB011888",NA,NA,NA,"43982","auto",NA,NA,NA,NA
"105","2019-10-02 15:07:56-03","UFMG","BHCB","22292","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Polystachya",NA,NA,"Polystachya",NA,NA,NA,"Costa, LV; Atalla, NC","s.n.","1992","11","01","Southern America","Brasil","Minas Gerais","Guanhães","Cenibra, Proj. Amância.","-42.9324989318848","-18.7749996185303",NA,NA,NA,"mata ciliar inundavel. Epífita.",NA,NA,NA,NA,"43982","auto",NA,NA,NA,NA
"106","2019-10-02 14:50:31-03","UFMG","BHCB","56201","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Mikania","hirsutissima",NA,"Mikania hirsutissima","DC.",NA,NA,"Barreto, HLM","4157","1933","08","28","Southern America","Brasil","Minas Gerais","Guanhães","Porto de Guanhães.","-42.9324989318848","-18.7749996185303",NA,NA,NA,"Mata. Muito frequente. Trepadeira. Flor alva.",NA,NA,NA,NA,"43982","auto",NA,NA,NA,NA
"107","2019-10-02 14:52:54-03","UFMG","BHCB","69067","PreservedSpecimen","Plantae","Dicotyledon",NA,"Erythroxylaceae","Erythroxylum","pulchrum",NA,"Erythroxylum pulchrum","A.St.-Hil.",NA,"2015","Drumond, OA","s.n.","1950","10","29","Southern America","Brasil","Minas Gerais","Guanhães","Salto Grande.","-42.9324989318848","-18.7749996185303",NA,NA,NA,"Árvore, flor creme; Mata rala","BHCB022844",NA,NA,NA,"43982","auto","03","17",NA,NA
"108","2019-12-13 08:11:24-03","ICAUFMG","MCCA","1310","S","Plantae",NA,NA,"Apocynaceae","Tabernaemontana","solanifolia",NA,"Tabernaemontana solanifolia","A.DC.","SILVA, A.F.","2011","BRANDÃO, M.","26217","1996","09","18",NA,"Brasil","Minas Gerais","Guanhães",NA,"-42.9324989318848","-18.7749996185303",NA,NA,NA,NA,"MCCA01366","MCCA01366",NA,NA,"43982","auto","01","18",NA,NA
"109","2019-12-13 08:11:34-03","ICAUFMG","MCCA","1432","S","Plantae",NA,NA,"Fabaceae","Bauhinia","forficata",NA,"Bauhinia forficata","Link","GONÇALVES, E.J.","2014","GONÇALVES, E.J.",NA,"2014","10","26",NA,"Brasil","Minas Gerais","Sapucaia de Guanhães",NA,NA,NA,NA,NA,NA,NA,"MCCA01421","MCCA01421",NA,NA,NA,NA,"10","26",NA,NA
"110","2019-12-13 08:11:48-03","ICAUFMG","MCCA","1427","S","Plantae",NA,NA,"Rosaceae","Prunus","avium",NA,"Prunus avium","(L.) L.","GONCALVES, E.J.","2014","GONCALVES, E.J.",NA,"2014","10","26",NA,"Brasil","Minas Gerais","Sapucaia de Guanhães","Fazenda Esperança",NA,NA,NA,NA,NA,NA,"MCCA01416","MCCA01416",NA,NA,NA,NA,"10","26",NA,NA
"111","2019-06-27 15:32:39-03","Cenargen","CEN","71206","S","Plantae",NA,NA,"Euphorbiaceae","Jatropha","curcas",NA,"Jatropha curcas","L.","E. J. Leite","2008","Edson Junqueira Leite","129","2008","04","23",NA,"Brasil","MG","GUANHAES","Fazenda Bamburral (dona Alaíde).","-42.801388","-18.927222","-42,801388","-18,927222","Unicata",NA,"CEN00071206","CEN00071206",NA,NA,NA,NA,"04",NA,"1",NA
