"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","order","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode"
"72","2020-03-10 08:27:03-03","UFV","VIC","40595","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Baccharis","dracunculifolia","Baccharis dracunculifolia","DC.",NA,NA,NA,NA,NA,"14","2001","12","13",NA,"Brasil","Minas Gerais","Paula Cândido","Sitio Bom Jardim","-42.9803009033203","-20.8742008209229","13722","Arbusto, 1 metro, flores furadas, odor cheiro de própolis.","auto",NA,NA,NA,NA,NA,"VIC040595","VIC040595"
"73","2020-03-10 08:27:00-03","UFV","VIC","40619","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Achyrocline","satureioides","Achyrocline satureioides","(Lam.) DC.",NA,NA,NA,NA,NA,"27","2002","01","10",NA,"Brasil","Minas Gerais","Paula Cândido","Sitio Bom Jardim","-42.9803009033203","-20.8742008209229","13722","Arbusto rasteiro, com flores amarelas, sem odor.","auto",NA,NA,NA,NA,NA,"VIC040619","VIC040619"
"74","2020-03-10 08:28:32-03","UFV","VIC","40630","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Ricinus","communis","Ricinus communis","L.",NA,NA,NA,NA,NA,"43","2002","02","14",NA,"Brasil","Minas Gerais","Paula Cândido","Sitio Bom Jardim","-42.9803009033203","-20.8742008209229","13722","Flores miúdas, amarelinhas com presença de abelhas.","auto",NA,NA,NA,NA,NA,"VIC040630","VIC040630"
"75","2020-03-10 08:28:55-03","UFV","VIC","40632","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Tetrapterys",NA,"Tetrapterys",NA,NA,NA,NA,NA,NA,"36","2002","02","14",NA,"Brasil","Minas Gerais","Paula Cândido","Sitio Bom Jardim","-42.9803009033203","-20.8742008209229","13722","Flores rosas e brancas no mesmo caule, sem odor , botões abertos e fechados, com presença de insetos, cipó.","auto",NA,NA,NA,NA,NA,"VIC040632",NA
"76","2020-03-10 08:28:55-03","UFV","VIC","40603","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Stigmaphyllon",NA,"Stigmaphyllon",NA,NA,NA,NA,NA,NA,"58","2002","03","28",NA,"Brasil","Minas Gerais","Paula Cândido","Sitio Bom Jardim","-42.9803009033203","-20.8742008209229","13722","Cipó de flores amarelas , sem cheiro.","auto",NA,NA,NA,NA,NA,"VIC040603",NA
"77","2020-03-10 08:28:42-03","UFV","VIC","040622","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Verbena","bonariensis","Verbena bonariensis","L.",NA,NA,NA,NA,NA,"13",NA,NA,NA,NA,"Brasil","Minas Gerais","Paula Cândido","Sítio Bom Jardim","-42.9803009033203","-20.8742008209229","13722","Arbusto de 40 a 50 cm de altura, flores lilás.","auto",NA,NA,NA,NA,NA,"VIC040622","VIC040622"
"78","2020-03-10 08:30:59-03","UFV","VIC","040628","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Stachytarpheta","cayennensis","Stachytarpheta cayennensis","(L.C.Rich) Vahl",NA,NA,NA,NA,NA,"6","2001","02","06",NA,"Brasil","Minas Gerais","Paula Cândido","Sitio Bom Jardim-Apiários da Mesmel","-42.9803009033203","-20.8742008209229","13722","Arbusto de estilete fino com flores nas pontas, flores azuis/lilás com presença de abelhas.","auto",NA,NA,NA,NA,NA,"VIC040628",NA
"79","2020-03-10 08:30:59-03","UFV","VIC","40623","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Lantana","camara","Lantana camara","L.",NA,NA,NA,NA,"Sem Coletor","s.n.","2001","12","13",NA,"Brasil","Minas Gerais","Paula Cândido","Sítio Bom Jardim, Apiários da Mesmel, 1,8km, estrada Paula Candido- Viçosa","-42.9803009033203","-20.8742008209229","13722","Árvore de porte pequeno com flores roxas, caule com espinhos, odor suave","auto",NA,NA,NA,NA,NA,"VIC040623",NA
"80","2020-03-10 08:30:59-03","UFV","VIC","40624","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Lantana","camara","Lantana camara","L.",NA,NA,NA,NA,"Sem Coletor","s.n.","2001","12","13",NA,"Brasil","Minas Gerais","Paula Cândido","Sítio Bom Jardim, Apiários da Mesmel, 1,8km, estrada Paula Candido- Viçosa","-42.9803009033203","-20.8742008209229","13722","Arbusto, flores vermelhas com odor parecido com hortelã, caule com espinhos","auto",NA,NA,NA,NA,NA,"VIC040624",NA
"81","2020-03-10 08:30:59-03","UFV","VIC","40625","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Lantana","trifolia","Lantana trifolia","L.",NA,NA,NA,NA,"Sem Coletor","s.n.","2001","12","06",NA,"Brasil","Minas Gerais","Paula Cândido","Sítio Bom Jardim, Apiários da Mesmel, 1,8km, estrada Paula Candido- Viçosa","-42.9803009033203","-20.8742008209229","13722",NA,"auto",NA,NA,NA,NA,NA,"VIC040625",NA
