"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","verbatimLongitude","verbatimLatitude","identifiedBy","yearIdentified","monthIdentified","dayIdentified","infraspecificEpithet","typeStatus","class","individualCount"
"1","2019-12-16 18:36:49-03","NYBG","NYBG","02422364","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","mollicomum","Piper mollicomum","Kunth","R. de Mello-Silva","1576","1999","02","14","South America","Brazil","Espírito Santo","Itarana","Estrada de terra para Jatiboca, 12 km da estrada Itarana-Santa Tereza","-40.875301361084","-19.8738994598389","23320","530","530","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2635469 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02422364","NY02422364","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-16 18:57:10-03","NYBG","NYBG","2422869","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae",NA,NA,NA,NA,"R. C. Forzza","7522","2013","04","19","South America","Brazil","Espírito Santo","Itarana","Alto Varzea Alegre, Pedra da Onça","-40.8128","-19.8958",NA,NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2674862 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02422869","NY02422869",NA,"-40.8128","-19.8958",NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-16 17:38:17-03","NYBG","NYBG","02281685","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Coccocypselum","condalia","Coccocypselum condalia","Pers.","R. de Mello-Silva","1580","1999","02","14","South America","Brazil","Espírito Santo","Itarana","Jatiboca, Alto da Jatiboca, Fazenda da família Seidler","-40.875301361084","-19.8738994598389","23320","800","800","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2523572 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02281685","NY02281685","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-04 14:17:01-03","UNESP-IBB","BOTU","27646","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Beadlea",NA,"Beadlea",NA,"Kollmann, L.","5693","2002","08","07",NA,"Brasil","Espírito Santo","Itarana","Jatiboca, Fazenda Stuhr","-40.875301361084","-19.8738994598389","23320",NA,NA,NA,NA,"BOTU027646",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-07-11 08:56:43-03","ESALQ","ESA","126339","S","Plantae","Magnoliophyta",NA,"Plantaginaceae","Achetaria","platychila","Achetaria platychila","(Radlk.) V.C. Souza","Oliveira, J.A.","326","2013",NA,NA,NA,"Brasil","Espírito Santo","Itarana",NA,"-40.875301361084","-19.8738994598389","23320",NA,NA,NA,NA,"ESA126339",NA,"auto",NA,NA,"Scatigna, A.V.","2015","09","15",NA,NA,NA,NA
"6","2020-02-13 14:07:50-03","MN","R","215829","S","Plantae",NA,NA,"Bromeliaceae","Nidularium","cariacicaense","Nidularium cariacicaense","(W.Weber) Leme","T.S. Coser; V.B. Sarnaglia-Junior, M.S. Wangler","479","2011","06","08",NA,"Brasil","Espirito Santo","Itarana",NA,"-40.875301361084","-19.8738994598389","23320",NA,NA,NA,NA,"R010006381",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-13 14:06:25-03","MN","R","111326","S","Plantae",NA,NA,"Anemiaceae","Anemia","tomentosa","Anemia tomentosa var.anthriscifolia","(Schrad.) Mickel","Brade, A.C. 18436; Barbosa, A. & Duarte, A.P.",NA,"1946","05","27",NA,"Brasil","Espírito Santo","Itarana",NA,"-40.875301361084","-19.8738994598389","23320",NA,NA,NA,"Ex Jardim Botânico do Rio de Janeiro nº 56918","R010045323","R010045323","auto",NA,NA,"Mickel, J.T.","2005",NA,NA,"var.anthriscifolia",NA,NA,NA
"8","2020-02-13 14:12:00-03","MN","R","205646","S","Plantae",NA,NA,"Moraceae","Dorstenia","milaneziana","Dorstenia milaneziana","Carauta, C. Valente & Sucre","Kollmann, L.; Bausen, E. & Vervloet, R.R.","5701","2002","08","07",NA,"Brasil","Espírito Santo","Itarana","Jatiboca","-40.875301361084","-19.8738994598389","23320",NA,NA,NA,NA,NA,NA,"auto",NA,NA,"Vianna-Filho, M.D.M.","2006","06",NA,NA,NA,NA,NA
"9","2015-07-02 14:01:22-03","JBP","HPL","2287","S","Plantae",NA,NA,"Cannaceae","Canna","glauca","Canna glauca","L.","E.R. Salviani & H. Lorenzi","1625","2000","10","11",NA,"Brasil","ES","Itarana","Estrada para Colatina-ES.","-40.8753","-19.8739","23320",NA,NA,NA,NA,NA,NA,"auto",NA,NA,"A. Campos-Rocha","2013","04","12",NA,NA,NA,NA
"10","2015-07-02 14:04:17-03","JBP","HPL","10116","S","Plantae",NA,NA,"Sapotaceae","Pouteria",NA,"Pouteria",NA,"J.A. Lombardi, H. Lorenzi, R. Tsuji & L. Lorenzoni","7100","2008","01","22",NA,"Brasil","ES","Itarana","Coletado na margem da estrada de terra (BR-484), sentido Afonso Cláudio/Itarana. S 19° 52'; W 40° 53' (150m.s.m.)","-40.8753","-19.8739","23320",NA,NA,NA,NA,NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2015-07-02 14:04:17-03","JBP","HPL","7219","S","Plantae",NA,NA,"Sapotaceae","Pouteria",NA,"Pouteria",NA,"E.R. Salviani & H. Lorenzi","1867","2000","12","20",NA,"Brasil","ES","Itarana","Coletado entre os municípios de Itarana e Colatina - em estrada de terra, a beira do caminho.","-40.8753","-19.8739","23320",NA,NA,NA,NA,NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2015-07-02 14:02:03-03","JBP","HPL","4394","S","Plantae",NA,NA,"Fabaceae-Faboideae","Swartzia","aff. acutifolia","Swartzia aff. acutifolia","Vog.","E.R. Salviani & H. Lorenzi","1626","2000","10","11",NA,"Brasil","ES","Itarana","Coletada no caminho para Colatina a beira da estrada de chão.","-40.8753","-19.8739","23320",NA,NA,NA,NA,NA,NA,"auto",NA,NA,"E.R. Salviani & H. Lorenzi","2000","10","11",NA,NA,NA,NA
"13","2015-07-02 14:41:56-03","JBP","HPL","524","S","Plantae",NA,NA,"Apocynaceae","Tabernaemontana","salzmannii","Tabernaemontana salzmannii","A. DC.","E.R. Salviani & H. Lorenzi","1631","2000","10","11",NA,"Brasil","ES","Itarana","Estrada Itarana-Colatina/ES.","-40.8753","-19.8739","23320",NA,NA,NA,NA,NA,NA,"auto",NA,NA,"L. Monguilhott","2005","10","10",NA,NA,NA,NA
"14","2015-07-02 14:01:15-03","JBP","HPL","4042","S","Plantae",NA,NA,"Boraginaceae","Cordia","brasiliensis","Cordia brasiliensis","(I.M.Johnst) Gottschling & J.S. Mill","J.A. Lombardi, H. Lorenzi, R. Tsuji et al.","7098","2008","01","22",NA,"Brasil","ES","Itarana","Coletado a margem de estrada de terra (BR-484), Afonso Cláudio/Itarana, ca. S 19° 52'; W 40° 53' (150m.s.m.)","-40.8753","-19.8739","23320",NA,NA,NA,NA,NA,NA,"auto",NA,NA,"V.C. Souza","2013","05","10",NA,NA,NA,NA
"15","2015-07-02 14:01:16-03","JBP","HPL","3849","S","Plantae",NA,NA,"Boraginaceae","Cordia","trichoclada","Cordia trichoclada",NA,"J.A. Lombardi, H. Lorenzi, R. Tsuji & L. Lorenzoni","7097","2008","01","22",NA,"Brasil","ES","Itarana","Coletado na margem da BR-484 Serra Pelada/Sossego, ca. S 19° 52'; W 40° 53' (150m.s.m.)","-40.8753","-19.8739","23320",NA,NA,NA,NA,NA,NA,"auto",NA,NA,"R. Tsuji","2008","04","24",NA,NA,NA,NA
"16","2015-07-02 14:04:12-03","JBP","HPL","7523","S","Plantae",NA,NA,"Sapindaceae","Cupania","platycarpa","Cupania platycarpa",NA,"E.R. Salviani","131","1998","07","21",NA,"Brasil","ES","Itarana","Coletado de Itarana para Afonso Cláudio - no Sítio do Alemão, 700m.","-40.8753","-19.8739","23320",NA,NA,NA,NA,NA,NA,"auto",NA,NA,"M.S. Ferrucci","2005","01","10",NA,NA,NA,NA
"17","2015-07-02 14:03:04-03","JBP","HPL","5228","S","Plantae",NA,NA,"Moraceae","Ficus","clusiifolia","Ficus clusiifolia","Summerhayes","E.R. Salviani & H. Lorenzi","1624","2000","10","11",NA,"Brasil","ES","Itarana","Coletada na estrada entre Itarana seguindo em direção a Colatina.","-40.8753","-19.8739","23320",NA,NA,NA,NA,NA,NA,"auto",NA,NA,"E.R. Salviani & H. Lorenzi","2000","10","11",NA,NA,NA,NA
"18","2015-07-02 14:02:32-03","JBP","HPL","11183","S","Plantae",NA,NA,"Lecythidaceae","Lecythis","lurida","Lecythis lurida",NA,"H. Lorenzi","6257","2007","05","22",NA,"Brasil","ES","Itarana","Coletada na estrada para Santa Tereza em área de pastagem de terreno declivoso.","-40.8753","-19.8739","23320",NA,NA,NA,NA,NA,NA,"auto",NA,NA,"H. Lorenzi","2007","05","22",NA,NA,NA,NA
"19","2015-07-02 14:02:41-03","JBP","HPL","4912","S","Plantae",NA,NA,"Malpighiaceae","Lophopterys","floribunda","Lophopterys floribunda","W.R. Anderson & Chas.C. Davis","E.R. Salviani & H. Lorenzi","1632","2000","10","11",NA,"Brasil","ES","Itarana","Coletada na fazenda Guandú nas proximidades de Itarana.","-40.8753","-19.8739","23320",NA,NA,NA,NA,NA,NA,"auto",NA,NA,"M.C.H. Mamede","2007","09","10",NA,NA,NA,NA
"20","2015-07-02 14:04:14-03","JBP","HPL","7756","S","Plantae",NA,NA,"Sapindaceae","Toulicia","laevigata","Toulicia laevigata",NA,"E.R. Salviani","130","1998","07","21",NA,"Brasil","ES","Itarana","Coletado no caminho de Itarana para Afonso Cláudio (Sítio do Alemão Naimec - 700 m.s.m.).","-40.8753","-19.8739","23320",NA,NA,NA,NA,NA,NA,"auto",NA,NA,"M.S. Ferrucci","2005","01","10",NA,NA,NA,NA
"21","2015-07-02 14:04:14-03","JBP","HPL","7754","S","Plantae",NA,NA,"Sapindaceae","Toulicia","subsquamulata","Toulicia subsquamulata",NA,"E.R. Salviani","1844","2000","11","22",NA,"Brasil","ES","Itarana","Coletado nas proximidades do município de Itarana.","-40.8753","-19.8739","23320",NA,NA,NA,NA,NA,NA,"auto",NA,NA,"M.S. Ferrucci","2005","01","10",NA,NA,NA,NA
"22","2015-07-02 14:04:14-03","JBP","HPL","7755","S","Plantae",NA,NA,"Sapindaceae","Toulicia","subsquamulata","Toulicia subsquamulata",NA,"E.R. Salviani","129","1998","07","21",NA,"Brasil","ES","Itarana","Coletado no caminho de Santa Tereza-Itarana.","-40.8753","-19.8739","23320",NA,NA,NA,NA,NA,NA,"auto",NA,NA,"M.S. Ferrucci","2005","01","10",NA,NA,NA,NA
"23","2015-07-02 14:00:18-03","JBP","HPL","1052","S","Plantae",NA,NA,"Annonaceae","Xylopia","frutescens","Xylopia frutescens","Aubl.","E.R. Salviani & H. Lorenzi","1628","2000","10","11",NA,"Brasil","ES","Itarana","Estrada que liga Itarana - Colatina-ES.","-40.8753","-19.8739","23320",NA,NA,NA,NA,NA,NA,"auto",NA,NA,"R.Tsuji","2004","08","07",NA,NA,NA,NA
"24","2020-03-10 08:29:31-03","UFV","VIC","37509","PreservedSpecimen","Plantae",NA,NA,"Mimosoideae","Senegalia","tenuifolia","Senegalia tenuifolia","(L.) Britton & Rose","Terra, V.; Batista, M.L.","643","2012","05","05",NA,"Brasil","Espírito Santo","Itarana",NA,"-40.875301361084","-19.8738994598389","23320",NA,NA,NA,"Liana. Beira do rio. Florsta estacional.","VIC037509","VIC037509","auto",NA,NA,"Terra, V.","2012","05","05",NA,NA,NA,NA
"25","2019-11-21 14:47:04-03","UFJF","CESJ","71526","PreservedSpecimen","Plantae","Angiosperma",NA,"Verbenaceae","Aloysia","virgata","Aloysia virgata","(Ruiz & Pavon) Adr. Juss.","P.H. Cardoso; A. Cabral; C. Nardy; M.C. Silva","39","2018","09","20","América do Sul","Brasil","Espirito Santo","Itarana","Pedra da Onça, Coordenada geográfica aproximada","-40.815556","-19.898611",NA,NA,NA,NA,"Arbusto 2,5 m alt., flores aromáticas, brácteas e cálice verde, corola branca, caduca. Coletada em beira de estrada, na subida do caminho da Pedra da Onça.","CESJ071526",NA,NA,"-40.815556","-19.898611","P.H. Cardoso","2018","10",NA,NA,NA,NA,NA
"26","2020-02-10 19:56:36-03","UFJF","CESJ","71528","PreservedSpecimen","Plantae","Angiosperma",NA,"Verbenaceae","Lantana","fucata","Lantana fucata","Lindl.","P.H. Cardoso; A. Cabral; C. Nardy; M.C. Silva","41","2018","09","20","América do Sul","Brasil","Espirito Santo","Itarana","Pedra da Onça, coordenadas geográficas aproximadas","-40.815556","-19.898611",NA,NA,NA,NA,"Subarbusto 50 cm alt., brácteas verdes, 2 basais maiores que as internas, corola lilás, fauce amarela, frutos maduros roxos. Encontrada em área antropizada próximo a uma capela no topo do inselbergue. Os espécimes apresentavam variações no tamanho das fo","CESJ071528",NA,NA,"-40.815556","-19.898611","P.H. Cardoso","2018","10",NA,NA,NA,NA,NA
"27","2020-02-12 18:56:21-03","UFJF","CESJ","71529","PreservedSpecimen","Plantae","Angiosperma",NA,"Verbenaceae","Lippia","diversifolia","Lippia diversifolia","P.H.Cardoso & Salimena","P.H. Cardoso; A. Cabral; C. Nardy; M.C. Silva","42","2018","09","20","América do Sul","Brasil","Espirito Santo","Itarana","Pedra da Onça, coordenadas geográficas aproximadas","-40.815556","-19.898611",NA,NA,NA,NA,"Subarbusto, 50 cm alt., bastante ramificado, ramo roxo em duas faces opostas, verde nas outras duas, fortemente aromático, folhas cartáceas, discolores, face adaxial verde escuro, face abaxial verde claro, pecíolo roxo na base, brácteas verdes, caducas,","CESJ071529",NA,NA,"-40.815556","-19.898611","P.H. Cardoso","2020","02",NA,NA,NA,NA,NA
"28","2020-03-05 19:42:09-03","UFJF","CESJ","71527","PreservedSpecimen","Plantae","Angiosperma",NA,"Verbenaceae","Lantana","tiliifolia","Lantana tiliifolia","Cham.","P.H. Cardoso; A. Cabral; C. Nardy; M.C. Silva","40","2018","09","20","América do Sul","Brasil","Espirito Santo","Itarana","Pedra da Onça, coordenadas geográficas aproximadas","-40.815556","-19.898611",NA,NA,NA,NA,"Subarbusto, 1,5 m alt., folhas pegajosas, brácteas verdes, corola lilás, fauce amarela, frutos imaturos verdes. Coletada em beira de estrada, na subida do caminho da Pedra da Onça.","CESJ071527",NA,NA,"-40.815556","-19.898611","P.H. Cardoso","2020","02",NA,NA,NA,NA,NA
"29","2020-02-12 18:56:21-03","UFJF","CESJ","66854","PreservedSpecimen","Plantae","Angiosperma",NA,"Verbenaceae","Lippia","diversifolia","Lippia diversifolia","P.H.Cardoso & Salimena","R.C. Forzza; J.A. Amaral; M.O.O. Pellegrini","7535","2013","04","19","América do Sul","Brasil","Espirito Santo","Itarana","Alto Várzea Alegre Alegre, Pedra da Onça","-40.812778","-19.895833",NA,"892","892",NA,"Inselbergue. Arbusto, ca. 2,5m alt., pouco frequente. Flores com cálice verde; corola alva a rosada, falce amarela.","CESJ066854",NA,NA,"-40.812778","-19.895833","P.H. Cardoso","2020","02",NA,NA,NA,NA,NA
"30","2019-11-21 14:48:52-03","UFJF","CESJ","69104","PreservedSpecimen","Plantae","Angiosperma",NA,"Verbenaceae","Stachytarpheta","tomentosa","Stachytarpheta tomentosa","P.H.Cardoso & Salimena","R.C. Forzza; J.A. Amaral; M.O.O. Pellegini","7530","2013","04","19","América do Sul","Brasil","Espirito Santo","Itarana","Alto Várzea Alegre, Pedra da Onça","-40.812778","-19.895833",NA,"892","892",NA,"Inselbergue. Arbusto, frequente, 1,7-2,5m alt. Flores com cálice verde; corola azul com falce alva.","CESJ069104",NA,NA,"-40.812778","-19.895833","P.H. Cardoso","2019","04",NA,NA,"Holotypus",NA,NA
"31","2020-03-06 15:29:05-03","UFES","SAMES","2346","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Megaskepasma","erythrochlamys","Megaskepasma erythrochlamys","Lindau","Elias, L.","4","2015","07","30",NA,"Brasil","Espírito Santo","Itarana","Casa da Romilda França Carolino, Rua José Colnago, Centro.","-40.875301361084","-19.8738994598389","23320",NA,NA,NA,"Arbusto grande, sublenhoso, muito ramificado, com folhas elípticas grandes e nervuras evidentes. Inflorescências grandes com muitas brácteas de cor avermelhadas e flores brancas.","SAMES02346",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-03-06 15:29:05-03","UFES","SAMES","19","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Aphelandra","schottiana","Aphelandra schottiana","(Nees) Profice","Rossini,J.; Rossini,L.C.","664","2007","07","26",NA,"Brasil","Espírito Santo","Itarana","Limoeiro do Caravaggio. Estrada para Várzea Alegre (Santa Tereza), propriedade da Sr. Elza Reisen.","-40.875301361084","-19.8738994598389","23320",NA,NA,NA,"Subarbusto de 1m. Cálice verde, corola vermelha. Ao lado da estrada.","SAMES00019",NA,"auto",NA,NA,"Indriunas,A.","2014","07","28",NA,NA,NA,NA
"33","2020-03-06 15:29:05-03","UFES","SAMES","2358","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Crossandra","infundibuliformes","Crossandra infundibuliformes","(L.) Nees","Elias, L.","21","2015","11","02",NA,"Brasil","Espírito Santo","Itarana","Rua Dom Luis Scortegagna, próximo à serralheria Franco.","-40.875301361084","-19.8738994598389","23320",NA,NA,NA,"Arbusto ereto, ramificado, muito florífero. Inflorescências terminais em espigas longas de cor alaranjada.","SAMES02358",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-02-10 17:51:38-03","UNICAMP","UEC","110219","S","Plantae","Magnoliopsida",NA,"Cactaceae","Cereus","fernambucensis","Cereus fernambucensis sericifer","(F.Ritter) N.P.Taylor & Zappi","Zappi, DC; Costa, CB; Aona, LYS; Belinello, R","416","1999","11","24",NA,"Brazil","Espírito Santo","Itarana","Estrada para Praça Oito.","-40.829444","-19.909722",NA,"340","340",NA,"Plantas com 3-4 costelas, frutos jovens.; Sobre rochas, beira da estrada.","UEC041434","UEC041434",NA,"-40.829444","-19.909722","Zappi, DC","1999",NA,NA,"sericifer",NA,NA,NA
"35","2020-02-10 17:56:48-03","UNICAMP","UEC","110215","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Chomelia",NA,"Chomelia",NA,"Zappi, DC; Costa, CB; Aona, LYS; Belinello, R","414","1999","11","24",NA,"Brazil","Espírito Santo","Itarana","Estrada Afonso Cláudio-Itarana.","-40.96","-19.9575",NA,"500","500",NA,"Arbusto, 1,6m de altura; corola alva.; Sobre barrancos com mata seca perturbada, beira da estrada.","UEC107181","UEC107181",NA,"-40.96","-19.9575",NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-02-10 17:55:42-03","UNICAMP","UEC","110213","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Eugenia",NA,"Eugenia","L.","Zappi, DC; Costa, CB; Aona, LYS; Bellinelo, R","415","1999","11","24",NA,"Brazil","Espírito Santo","Itarana","Estrada Afonso Cláudio-Itarana.","-40.96","-19.9575",NA,"500","500",NA,"Arbusto, botões florais esverdeados. DNA.; Sobre barrancos com mata seca perturbada, beira da estrada.","UEC008162","UEC008162",NA,"-40.96","-19.9575",NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-02-10 17:57:34-03","UNICAMP","UEC","110289","S","Plantae","Magnoliopsida",NA,"Sterculiaceae","Helicteres",NA,"Helicteres","L.","Zappi, DC; Belinello, R; Costa, CB; Aona, LYS","418","1999","11","24",NA,"Brazil","Espírito Santo","Itarana","Estrada para Praça Oito","-40.812222","-19.926111",NA,NA,NA,NA,"Arbusto até 1,5m alt. Pétalas vermelho-escuras.; Sobre rochas, beira de estrada, com Pilosocereus brasiliensis ssp. ruschianus.",NA,NA,NA,"-40.812222","-19.926111",NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-02-10 17:49:25-03","UNICAMP","UEC","110290","S","Plantae","Magnoliopsida",NA,"Apocynaceae","Himatanthus",NA,"Himatanthus",NA,"Zappi, DC; Belinello, R; Costa, CB; Aona, LYS","413","1999","11","24",NA,"Brazil","Espírito Santo","Itarana","Estrada Afonso Cláudio-Itarana, Sobre barranco com mata seca perturbada, beira da estrada.","-40.987778","-19.966389",NA,"570","570",NA,"Arvoreta 3 m, com látex abundante. Corola alva com centro amarelo.",NA,NA,NA,"-40.987778","-19.966389",NA,NA,NA,NA,NA,NA,NA,NA
"39","2020-02-10 17:51:38-03","UNICAMP","UEC","110220","S","Plantae","Magnoliopsida",NA,"Cactaceae","Pilosocereus","brasiliensis","Pilosocereus brasiliensis ruschianus","(Buining & Brederoo) Zappi","Zappi, DC; Costa, CB; Aona, LYS; Belinello, R","417","1999","11","24",NA,"Brazil","Espírito Santo","Itarana","Estrada para Praça Oito.","-40.812222","-19.926111",NA,"400","400",NA,"Plantas até 2m de altura, pouco ramificadas, ramos eretos ou decumbentes. Flores velhas e frutos verdes. Cult.; Sobre rochas, beira da estrada.","UEC041077","UEC041077",NA,"-40.812222","-19.926111","Zappi, DC","1999",NA,NA,"ruschianus",NA,NA,NA
"40","2020-01-28 15:53:29-03","UNICAMP","UEC","206268","S","Plantae","Magnoliopsida",NA,"Hypericaceae","Vismia","pentagyna","Vismia pentagyna","(Spreng.) Ewan","Sarnaglia Júnior, VB","41","2009","04","18",NA,"Brazil","Espírito Santo","Itarana","Brasil, Espírito Santo, Itarana, Limoeiro de Santo Antônio.Há 20 anos atrás era uma lavour de café e foi abandonada.Grande...","-40.875301361084","-19.8738994598389","23320",NA,NA,NA,"Árvore ca. de 3-4 metros de altura;com frutos pretos.Borda de trilha.; Mata Atlântica.Floresta Ombrófila Densa Montana.Área em regeneração.","UEC178584",NA,"auto",NA,NA,"Shimizu, GH; Martins, MV","2018","05",NA,NA,NA,NA,NA
"41","2020-03-09 19:12:45-03","UFPB","JPB","56370","PreservedSpecimen","Plantae","Angiosperma","Dicotyledon","Myrtaceae",NA,NA,NA,NA,"Oliveira, JA; Forzza, RC; Pellegrini, MOO; Sarnagila-Junior, VB","334","2013","04","19","Southern America","Brasil","Espírito Santo","Itarana","Fazenda Pedra da Onça, Alto Várzea Alegre. Floresta alterada na base da Pedra da Onça com muito matacões. Propri.Valdir Erler.","-40.805","-19.906944",NA,NA,NA,NA,"Arvoreta, ca. 2,5 m alt. Folhas discolores, cálice verde, corola e estames alvos.; Arvoreta, ca. 2,5 m alt. Folhas discolores, cálice verde, corola e estames alvos.","JPB0056370",NA,NA,"-40.805","-19.906944",NA,NA,NA,NA,NA,NA,NA,NA
"42","2019-12-06 19:29:09-03","UFES","VIES","23530","S","Plantae",NA,NA,"Anemiaceae","Anemia",NA,"Anemia",NA,"R.C. Forzza; J.A. Amaral & M.O.O. Pellegini","7536","2013","04","19",NA,"Brasil","Espírito Santo","Itarana","Alto Várzea Alegre, Pedra da Onça. Alto Várzea Alegre, Pedra da Onça. Inselbergue.","-40.812778","-19.895833",NA,"892","892",NA,NA,"VIES023530","VIES023530",NA,"40º48'46''W","19º53'45''S",NA,NA,NA,NA,NA,NA,NA,NA
"43","2019-12-06 19:29:09-03","UFES","VIES","23531","S","Plantae",NA,NA,"Anemiaceae","Anemia",NA,"Anemia",NA,"R.C. Forzza; J.A. Amaral & M.O.O. Pellegini","7534","2013","04","19",NA,"Brasil","Espírito Santo","Itarana","Alto Várzea Alegre, Pedra da Onça. Alto Várzea Alegre, Pedra da Onça. Inselbergue.","-40.812778","-19.895833",NA,"892","892",NA,NA,"VIES023531","VIES023531",NA,"40º48'46''W","19º53'45''S",NA,NA,NA,NA,NA,NA,NA,NA
"44","2020-01-20 11:05:16-03","UFES","VIES","46361","S","Plantae",NA,NA,"Apocynaceae",NA,NA,NA,NA,"Assis, A.M.; Turma Biologia de Vasculares ESFA","4859","2013","03","23",NA,"Brasil","Espírito Santo","Itarana","Pedra da Onça.","-40.815","-19.895278",NA,"900","900",NA,NA,"VIES046361",NA,NA,"40º48'54''W","19º53'43''S",NA,NA,NA,NA,NA,NA,NA,NA
"45","2020-01-20 11:05:21-03","UFES","VIES","46352","S","Plantae",NA,NA,"Asteraceae",NA,NA,NA,NA,"Assis, A.M.; Turma Biologia de Vasculares ESFA","4862","2013","03","23",NA,"Brasil","Espírito Santo","Itarana","Pedra da Onça.","-40.815","-19.895278",NA,"900","900",NA,NA,"VIES046352",NA,NA,"40º48'54''W","19º53'43''S",NA,NA,NA,NA,NA,NA,NA,NA
"46","2020-01-20 11:05:21-03","UFES","VIES","46355","S","Plantae",NA,NA,"Asteraceae",NA,NA,NA,NA,"Assis, A.M.; Turma Biologia de Vasculares ESFA","4865","2013","03","23",NA,"Brasil","Espírito Santo","Itarana","Pedra da Onça.","-40.815","-19.895278",NA,"900","900",NA,NA,"VIES046355",NA,NA,"40º48'54''W","19º53'43''S",NA,NA,NA,NA,NA,NA,NA,NA
"47","2020-01-20 11:05:39-03","UFES","VIES","46342","S","Plantae",NA,NA,"Melastomataceae","Cambessedesia","eichleri","Cambessedesia eichleri","Cogn.","Assis, A.M.; Turma Biologia de Vasculares ESFA","4882","2013","03","23",NA,"Brasil","Espírito Santo","Itarana","Pedra da Onça.","-40.815","-19.895278",NA,"900","900",NA,NA,"VIES046342",NA,NA,"40º48'54''W","19º53'43''S",NA,NA,NA,NA,NA,NA,NA,NA
"48","2020-01-20 11:05:25-03","UFES","VIES","46354","S","Plantae",NA,NA,"Convolvulaceae",NA,NA,NA,"Juss.","Assis, A.M.; Turma Biologia de Vasculares ESFA","4864","2013","03","23",NA,"Brasil","Espírito Santo","Itarana","Pedra da Onça.","-40.815","-19.895278",NA,"900","900",NA,NA,"VIES046354",NA,NA,"40º48'54''W","19º53'43''S",NA,NA,NA,NA,NA,NA,NA,NA
"49","2019-12-06 19:29:31-03","UFES","VIES","23534","S","Plantae",NA,NA,"Euphorbiaceae","Croton",NA,"Croton",NA,"R.C. Forzza; J.A. Amaral & M.O.O. Pellegini","7531","2013","04","19",NA,"Brasil","Espírito Santo","Itarana","Alto Várzea Alegre, Pedra da Onça. Alto Várzea Alegre, Pedra da Onça. Inselbergue.","-40.812778","-19.895833",NA,"892","892",NA,NA,"VIES023534","VIES023534",NA,"40º48'46''W","19º53'45''S",NA,NA,NA,NA,NA,NA,NA,NA
"50","2020-01-20 11:05:48-03","UFES","VIES","46345","S","Plantae",NA,NA,"Orchidaceae","Epidendrum",NA,"Epidendrum",NA,"Assis, A.M.; Turma Biologia de Vasculares ESFA","4868","2013","03","23",NA,"Brasil","Espírito Santo","Itarana","Pedra da Onça.","-40.815","-19.895278",NA,"900","900",NA,NA,"VIES046345",NA,NA,"40º48'54''W","19º53'43''S",NA,NA,NA,NA,NA,NA,NA,NA
"51","2020-01-20 11:05:30-03","UFES","VIES","46360","S","Plantae",NA,NA,"Euphorbiaceae",NA,NA,NA,NA,"Assis, A.M.; Turma Biologia de Vasculares ESFA","4858","2013","03","23",NA,"Brasil","Espírito Santo","Itarana","Pedra da Onça.","-40.815","-19.895278",NA,"900","900",NA,NA,"VIES046360",NA,NA,"40º48'54''W","19º53'43''S",NA,NA,NA,NA,NA,NA,NA,NA
