"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","individualCount","occurrenceRemarks","geoFlag","phylum","class","order","scientificNameAuthorship","yearIdentified","monthIdentified","recordNumber","dayIdentified","continentOcean","verbatimLatitude","preparationType","barcode","imagecode","infraspecificEpithet","typeStatus","previousCatalogNumber","relatedCatalogItem"
"1","2019-06-10 10:10:27-03","FZB-BH","CVJBFZB","4347","S","Plantae","Orchidaceae","Gomeza","ramosa","Gomeza ramosa","Flavio Gontijo","Flávio Gontijo;","2018","03","13","Brasil","Minas Gerais","Mariana","Mina Samarco Alegria Sul -","-43.4160995483398","-20.377799987793","654766","33524","7764915","7764915","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:29-03","FZB-BH","CVJBFZB","4344","S","Plantae","Velloziaceae","Vellozia","sp.","Vellozia sp.","Flavio Gontijo","Flávio Gontijo;","2018","03","13","Brasil","Minas Gerais","Mariana","Mina Samarco Alegria Sul -","-43.4160995483398","-20.377799987793","654766","33524","7764915","7764915","8","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:57-03","FZB-BH","CVJBFZB","2167","S","Plantae","Orchidaceae","Acianthera","prolifera","Acianthera prolifera",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Mariana","Mina Conta Historia","-43.4160995483398","-20.377799987793",NA,"33524",NA,NA,"1","254","auto","Magnoliophyta","Equisetopsida","Asparagales","(Herb. ex Lindl.) Pridgeon & M.W.Chase.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:26-03","FZB-BH","CVJBFZB","4341","S","Plantae","Orchidaceae","Acianthera","teres","Acianthera teres","Flavio Gontijo","André Araujo;","2018","12","01","Brasil","Minas Gerais","Mariana","Mina Samarco Alegria Sul -","-43.4160995483398","-20.377799987793","654770","33524","7764902","7764902","2","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:26-03","FZB-BH","CVJBFZB","4346","S","Plantae","Orchidaceae","Acianthera","teres","Acianthera teres","Flavio Gontijo","Flávio Gontijo;","2018","03","13","Brasil","Minas Gerais","Mariana","Mina Samarco Alegria Sul -","-43.4160995483398","-20.377799987793","654770","33524","7764902","7764902","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-06-10 10:10:40-03","FZB-BH","CVJBFZB","86","S","Plantae","Bromeliaceae","Aechmea","distichantha","Aechmea distichantha","Elton. C. M. Leme","Alvim Seidel;",NA,NA,NA,"Brasil","Minas Gerais","Mariana",NA,"-43.4160995483398","-20.377799987793",NA,"33524",NA,NA,"1","254","auto","Magnoliophyta",NA,"Poales","Lem.","2011","08","Seidel1040",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-06-10 10:11:04-03","FZB-BH","CVJBFZB","4381","S","Plantae","Anemiaceae","Anemia","sp.","Anemia sp.","Flavio Gontijo","Flávio Gontijo;","2018","03","13","Brasil","Minas Gerais","Mariana","Mina Samarco Alegria Sul -","-43.4160995483398","-20.377799987793","654766","33524","7764915","7764915","1","254","auto","Pterydophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-06-10 10:10:26-03","FZB-BH","CVJBFZB","4345","S","Plantae","Orchidaceae","Cattleya","caulescens","Cattleya caulescens","Flavio Gontijo","Flávio Gontijo;","2018","03","13","Brasil","Minas Gerais","Mariana","Mina Samarco Alegria Sul -","-43.4160995483398","-20.377799987793","654770","33524","7764902","7764902","3","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-06-10 10:10:26-03","FZB-BH","CVJBFZB","4340","S","Plantae","Orchidaceae","Cattleya","caulescens","Cattleya caulescens","Flavio Gontijo","André Araujo;","2018","12","01","Brasil","Minas Gerais","Mariana","Mina Samarco Alegria Sul -","-43.4160995483398","-20.377799987793","654770","33524","7764902","7764902","3","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-06-10 10:10:58-03","FZB-BH","CVJBFZB","2158","S","Plantae","Orchidaceae","Cattleya","cinnabarina","Cattleya cinnabarina",NA,"Paulo Eduardo C. Rocha;",NA,NA,NA,"Brasil","Minas Gerais","Mariana","Mina Conta Historia","-43.4160995483398","-20.377799987793",NA,"33524",NA,NA,"1","254","auto","Magnoliophyta","Equisetopsida","Asparagales","(Bateman ex Lindl.) Van den Berg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-06-10 10:10:26-03","FZB-BH","CVJBFZB","4337","S","Plantae","Bromeliaceae","Cryptanthus","schwackeanus","Cryptanthus schwackeanus","Flavio Gontijo","André Araujo;","2018","12","01","Brasil","Minas Gerais","Mariana","Mina Samarco Alegria Sul -","-43.4160995483398","-20.377799987793","654766","33524","7764927","7764927","1","254","auto",NA,NA,NA,"Mez.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-06-10 10:10:26-03","FZB-BH","CVJBFZB","4342","S","Plantae","Bromeliaceae","Cryptanthus","schwackeanus","Cryptanthus schwackeanus","Flavio Gontijo","Flávio Gontijo;","2018","03","13","Brasil","Minas Gerais","Mariana","Mina Samarco Alegria Sul -","-43.4160995483398","-20.377799987793","654766","33524","7764927","7764927","1","254","auto",NA,NA,NA,"Mez.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-06-10 10:10:26-03","FZB-BH","CVJBFZB","4343","S","Plantae","Bromeliaceae","Dyckia","sp.","Dyckia sp.","Flavio Gontijo","Flávio Gontijo;","2018","03","13","Brasil","Minas Gerais","Mariana","Mina Samarco Alegria Sul -","-43.4160995483398","-20.377799987793","654766","33524","7764927","7764927","2","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-06-10 10:10:26-03","FZB-BH","CVJBFZB","4338","S","Plantae","Bromeliaceae","Dyckia","sp.","Dyckia sp.","Flavio Gontijo","André Araujo;","2018","12","01","Brasil","Minas Gerais","Mariana","Mina Samarco Alegria Sul -","-43.4160995483398","-20.377799987793","654766","33524","7764927","7764927","2","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-06-10 10:11:04-03","FZB-BH","CVJBFZB","2298","S","Plantae","Dryopteridaceae","Elaphoglossum","lingua","Elaphoglossum lingua","Carlos A. Ferreira Jr.","Paulo Eduardo C. Rocha;",NA,NA,NA,"Brasil","Minas Gerais","Mariana","CVRD Timbopeba","-43.4160995483398","-20.377799987793",NA,"33524",NA,NA,"2","254","auto","Pterifophyta",NA,NA,"(C.Presl) Brack.","2010","11",NA,"04",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","2064","S","Plantae","Orchidaceae","Epidendrum","secundum","Epidendrum secundum","Rubens Custódio Mota","Telma Sueli Mesquita Grandi;",NA,NA,NA,"Brasil","Minas Gerais","Mariana",NA,"-43.4160995483398","-20.377799987793",NA,"33524",NA,NA,"1","254","auto","Magnoliophyta","Equisetopsida","Asparagales","Jacq.","2008","04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","2057","S","Plantae","Orchidaceae","Isochilus","linearis","Isochilus linearis","Telma Sueli Mesquita Grandi","Telma Sueli Mesquita Grandi;",NA,NA,NA,"Brasil","Minas Gerais","Mariana","Fazenda Inácio Correia","-43.4160995483398","-20.377799987793",NA,"33524",NA,NA,"1","254","auto","Magnoliophyta","Equisetopsida","Asparagales","(Jacq.) R.Br.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-06-10 10:10:26-03","FZB-BH","CVJBFZB","4348","S","Plantae","Gesneriaceae","Paliavana","sericiflora","Paliavana sericiflora","Flavio Gontijo","Flávio Gontijo;","2018","03","13","Brasil","Minas Gerais","Mariana","Mina Samarco Alegria Sul -","-43.4160995483398","-20.377799987793","654766","33524","7764915","7764915","3","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2019-06-10 10:10:56-03","FZB-BH","CVJBFZB","835","S","Plantae","Araceae","Philodendron","sp.","Philodendron sp.",NA,"Telma Sueli Mesquita Grandi;",NA,NA,NA,"Brasil","Minas Gerais","Mariana","f. Inácio Corréia","-43.4160995483398","-20.377799987793",NA,"33524",NA,NA,"1","254","auto","Magnoliophyta","Equisetopsida","Alismatales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-06-10 10:10:29-03","FZB-BH","CVJBFZB","4339","S","Plantae","Velloziaceae","Vellozia","sp.","Vellozia sp.","Flavio Gontijo","André Araujo;","2018","12","01","Brasil","Minas Gerais","Mariana","Mina Samarco Alegria Sul -","-43.4160995483398","-20.377799987793","654766","33524","7764915","7764915","8","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-12-16 18:14:14-03","NYBG","NYBG","00942600","PreservedSpecimen","Plantae","Malvaceae","Peltaea","parviflora","Peltaea parviflora","G. L. Esteves","G. L. Esteves","1993","03","12","Brazil","Minas Gerais","Mariana","Estrada para Antonio Pereira.","-43.4158","-20.3781","-43.4158",NA,NA,NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1050931 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta",NA,"Malvales",NA,NA,NA,"2457",NA,"South America","-20.3781","sheet","NY00942600","NY00942600",NA,NA,NA,NA
"22","2019-12-16 17:27:12-03","NYBG","NYBG","01057665","PreservedSpecimen","Plantae","Fabaceae","Periandra","mediterranea","Periandra mediterranea","L. T. Silveira","H. S. Irwin","1959","01","22","Brazil","Minas Gerais","Mariana","10 km. N.E. of Mariana on road to Camargos","-43.4158","-20.3781","-43.4158",NA,NA,NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1162486 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta",NA,"Fabales","(Vell.) Taub.","1991","10","2504",NA,"South America","-20.3781","sheet","NY01057665","NY01057665",NA,NA,NA,NA
"23","2019-12-16 17:29:45-03","NYBG","NYBG","00980829","PreservedSpecimen","Plantae","Fabaceae","Senna","reniformis","Senna reniformis","H. S. Irwin; R. C. Barneby","G. Eiten","1965","11","30","Brazil","Minas Gerais","Mariana","But along boundary with Mun. de Ouro Preto: 6 Km due SE of city of Ouro Preto, on top (Planalto) of the mountain Itacolomi. Southeast-facing rocky slope (on SW side of immense sandstone).","-43.45","-20.43","-43.45",NA,"1600","1600",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1095994 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta",NA,"Fabales","(G.Don) H.S.Irwin & Barneby","1979",NA,"7039",NA,"South America","-20.43","sheet","NY00980829","NY00980829",NA,NA,NA,NA
"24","2019-12-16 17:29:45-03","NYBG","NYBG","00980853","PreservedSpecimen","Plantae","Fabaceae","Senna","reniformis","Senna reniformis","H. S. Irwin; R. C. Barneby","G. Eiten","1965","11","30","Brazil","Minas Gerais","Mariana","But along boundary with Mun. de Ouro Preto: 6 Km due SE of city of Ouro Preto, on top (Planalto) of the mountain Itacolomi. Southeast-facing rocky slope (on SW side of immense sandstone).","-43.45","-20.43","-43.45",NA,"1600","1600",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1095996 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta",NA,"Fabales","(G.Don) H.S.Irwin & Barneby","1979",NA,"7039",NA,"South America","-20.43","sheet","NY00980853","NY00980853",NA,NA,NA,NA
"25","2019-12-16 17:30:17-03","NYBG","NYBG","00469854","PreservedSpecimen","Plantae","Fabaceae","Senna","silvestris","Senna silvestris silvestris",NA,"S. M. de Faria","1999","08","25","Brazil","Minas Gerais","Mariana","Estrada da Torre 21 - Alegria do Sul","-43.4158","-20.3781","-43.4158",NA,NA,NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=712140 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta",NA,"Fabales","(Vell.) H.S.Irwin & Barneby",NA,NA,"1741",NA,"South America","-20.3781","sheet","NY00469854","NY00469854","silvestris",NA,NA,NA
"26","2019-12-16 19:15:38-03","NYBG","NYBG","921427","PreservedSpecimen","Plantae","Polypodiaceae","Serpocaulon","catharinae","Serpocaulon catharinae","D. Sanín","G. Eiten","1965","11","30","Brazil","Minas Gerais","Mariana","But along boundary with Mun. de Ouro Preto: 6 Km due SE of city of Ouro Preto, on top (Planalto) of the mountain Itacolomi. Southeast-facing rocky slope (on SW side of immense sandstone).","-43.45","-20.43","-43.45",NA,"1600","1600",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=995448 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Pteridophyta",NA,"Polypodiales","(Langsd. & Fisch.) A.R.Sm.","2019",NA,"7055",NA,"South America","-20.43","sheet","NY00921427","NY00921427",NA,NA,NA,NA
"27","2019-12-16 19:04:41-03","NYBG","NYBG","00700517","PreservedSpecimen","Plantae","Solanaceae","Solanum","leptostachys","Solanum leptostachys","M. H. Nee","H. S. Irwin","1971","02","02","Brazil","Minas Gerais","Mariana","Ca. 3km N. of Mariana, road to Santa Barbara","-43.4158","-20.3781","-43.4158",NA,"1500","1500",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=836228 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta",NA,"Solanales","Dunal","1987",NA,"29629",NA,"South America","-20.3781","sheet","NY00700517","NY00700517",NA,NA,NA,NA
"28","2019-12-16 19:06:09-03","NYBG","NYBG","03468311","PreservedSpecimen","Plantae","Solanaceae","Solanum","psilophyllum","Solanum psilophyllum",NA,"L. L. Giacomin","2008","07","29","Brazil","Minas Gerais","Mariana","Mina de Fazendão; próxima a ferrovia","-43.41344","-20.14547","-43.41344",NA,"875","875",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3894511 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta",NA,"Solanales","Stehmann & Giacomin",NA,NA,"186",NA,"South America","-20.14547","sheet","NY03468311","NY03468311",NA,"isotype",NA,NA
"29","2019-12-16 16:36:18-03","NYBG","NYBG","02429256","PreservedSpecimen","Plantae","Phyllogoniaceae","Phyllogonium","fulgens","Phyllogonium fulgens","M. J. Cano","A. E. R. Soares","2012","05","10","Brazil","Minas Gerais","Mariana","subida a Pico da Cartuxa","-43.4160995483398","-20.377799987793",NA,"33524","1209","1209",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2647522 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","auto","Bryophyta",NA,NA,"(Hedw.) Brid.",NA,NA,"2124",NA,"South America",NA,"packeted","NY02429256",NA,NA,NA,NA,NA
"30","2019-12-16 17:13:00-03","NYBG","NYBG","451828","PreservedSpecimen","Plantae","Fabaceae","Aeschynomene","elegans","Aeschynomene elegans",NA,"H. S. Irwin","1959","01","22","Brazil","Minas Gerais","Mariana","10 km. N.E. of Mariana on road to Camargos","-43.4158","-20.3781","-43.4158",NA,NA,NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=577237 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta",NA,"Fabales","Schltdl. & Cham.",NA,NA,"2505",NA,"South America","-20.3781","sheet","NY00451828","NY00451828",NA,NA,NA,NA
"31","2019-12-16 17:13:17-03","NYBG","NYBG","00982508","PreservedSpecimen","Plantae","Fabaceae","Aeschynomene","warmingii","Aeschynomene warmingii","M. Brandão","H. S. Irwin","1959","01","21","Brazil","Minas Gerais","Mariana","10 km north of Mariana on road to Camargos","-43.4158","-20.3781","-43.4158",NA,NA,NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1104417 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta",NA,"Fabales","Micheli","1988","06","2505","10","South America","-20.3781","sheet","NY00982508",NA,NA,NA,NA,NA
"32","2019-12-16 17:16:09-03","NYBG","NYBG","00982325","PreservedSpecimen","Plantae","Fabaceae","Centrosema","coriaceum","Centrosema coriaceum","R. Williams","H. S. Irwin","1959","01","22","Brazil","Minas Gerais","Mariana","10 km NE of Mariana on road to Camargos","-43.4158","-20.3781","-43.4158",NA,NA,NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1103552 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta",NA,"Fabales","Benth.","1977","06","2503","03","South America","-20.3781","sheet","NY00982325","NY00982325",NA,NA,NA,NA
"33","2019-12-16 17:17:37-03","NYBG","NYBG","00960303","PreservedSpecimen","Plantae","Fabaceae","Chamaecrista","mucronata","Chamaecrista mucronata",NA,"H. S. Irwin","1959","01","22","Brazil","Minas Gerais","Mariana","10 km. N.E. of Mariana on road to Camargos","-43.4158","-20.3781","-43.4158",NA,NA,NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1034648 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta",NA,"Fabales","(Spreng.) H.S.Irwin & Barneby",NA,NA,"2502",NA,"South America","-20.3781","sheet","NY00960303","NY00960303",NA,NA,NA,NA
"34","2019-12-16 19:13:45-03","NYBG","NYBG","810663","PreservedSpecimen","Plantae","Dryopteridaceae","Elaphoglossum","decoratum","Elaphoglossum decoratum","F. B. Matos","L. B. Damazio","1901",NA,NA,"Brazil","Minas Gerais","Mariana","Serra do Frazão","-43.4819","-20.2711","-43.4819",NA,"1350","1350",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=806990 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Pteridophyta",NA,"Polypodiales","(Kunze) T.Moore","2014","07","s.n.","05","South America","-20.2711","sheet","NY00810663","NY00810663",NA,NA,NA,NA
"35","2019-12-16 19:13:46-03","NYBG","NYBG","01402653","PreservedSpecimen","Plantae","Dryopteridaceae","Elaphoglossum","glaziovii","Elaphoglossum glaziovii","F. B. Matos","R. de F. Novelino","1990","10","15","Brazil","Minas Gerais","Mariana","Serra do Frazão, estrada da CVRDoce, km 3, próximo à Guarita","-43.4819","-20.2711","-43.4819",NA,NA,NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2975353 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Pteridophyta",NA,"Polypodiales","(Fée) Brade","2013","03","798","23","South America","-20.2711","sheet","NY01402653","NY01402653",NA,NA,NA,NA
"36","2019-12-16 19:14:21-03","NYBG","NYBG","02597117","PreservedSpecimen","Plantae","Dryopteridaceae","Elaphoglossum","schomburgkii","Elaphoglossum schomburgkii",NA,"R. de F. Novelino","1989","09","19","Brazil","Minas Gerais","Mariana","Serra do Frazão Km-7.","-43.4160995483398","-20.377799987793",NA,"33524",NA,NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2870699 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","auto","Pteridophyta",NA,"Polypodiales","(Fée) T.Moore",NA,NA,"(749)24097",NA,"South America",NA,"sheet","NY02597117","NY02597117",NA,NA,NA,NA
"37","2019-12-16 17:03:03-03","NYBG","NYBG","00943144","PreservedSpecimen","Plantae","Ericaceae","Gaultheria","eriophylla","Gaultheria eriophylla eriophylla","J. L. Luteyn","A. E. Brina","2000","12","10","Brazil","Minas Gerais","Mariana","Área da Samarco.","-43.4158","-20.3781","-43.4158",NA,NA,NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1064509 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta",NA,"Ericales","(Pers.) Sleumer ex B.L.Burtt","2004",NA,"s.n.",NA,"South America","-20.3781","sheet","NY00943144","NY00943144","eriophylla",NA,NA,NA
"38","2019-12-16 18:56:36-03","NYBG","NYBG","687598","PreservedSpecimen","Plantae","Rutaceae","Hortia","brasiliana","Hortia brasiliana","M. Groppo, Jr.","M. Groppo, Jr.","2001","03","26","Brazil","Minas Gerais","Mariana","Estrada de terra para o distrito de Santa Rita Durão, ca. 3 km de Santa Rita Durão.","-43.4158","-20.3781","-43.4158",NA,NA,NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=878875 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta",NA,"Sapindales","Vand. ex DC.","2004",NA,"655",NA,"South America","-20.3781","sheet","NY00687598","NY00687598",NA,NA,NA,NA
"39","2019-12-16 17:48:39-03","NYBG","NYBG","00857651","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","rubiginosa","Hyptis rubiginosa","R. M. Harley","L. Riedel","1824","08",NA,"Brazil","Minas Gerais","Mariana","Marianna","-43.4158","-20.3781","-43.4158",NA,NA,NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=945089 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta",NA,"Lamiales","Benth.","1990","03","383","24","South America","-20.3781","sheet","NY00857651","NY00857651",NA,NA,NA,NA
"40","2019-12-16 17:51:06-03","NYBG","NYBG","00956191","PreservedSpecimen","Plantae","Verbenaceae","Lippia","hermannioides","Lippia hermannioides","F. Salimena-Pires","H. L. de M. Barreto","1933","12","30","Brazil","Minas Gerais","Mariana","Marianna. Estrada do Itacolomy.","-43.4158","-20.3781","-43.4158",NA,NA,NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1050543 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta",NA,"Lamiales","Cham.",NA,NA,"3214",NA,"South America","-20.3781","sheet","NY00956191","NY00956191",NA,NA,NA,NA
"41","2019-12-16 17:35:08-03","NYBG","NYBG","1183021","PreservedSpecimen","Plantae","Apocynaceae","Mandevilla","sellowii","Mandevilla sellowii","F. Markgraf","G. Eiten","1965","11","30","Brazil","Minas Gerais","Mariana","But along boundary with Mun. de Ouro Preto: 6 Km due SE of city of Ouro Preto, on top (Planalto) of the mountain Itacolomi. Southeast-facing rocky slope (on SW side of immense sandstone).","-43.45","-20.43","-43.45",NA,"1600","1600",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1417044 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta",NA,"Gentianales","(Müll.Arg.) Woodson","1976",NA,"7033",NA,"South America","-20.43","sheet","NY01183021","NY01183021",NA,NA,NA,NA
"42","2019-12-16 19:14:23-03","NYBG","NYBG","2240846","PreservedSpecimen","Plantae","Dryopteridaceae","Olfersia","cervina","Olfersia cervina",NA,"P. H. Labiak E.","1998","08","03","Brazil","Minas Gerais","Mariana","Serra do Frazão","-43.4160995483398","-20.377799987793",NA,"33524","1500","1500",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2669735 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","auto","Pteridophyta",NA,"Polypodiales",NA,NA,NA,"735",NA,"South America",NA,"sheet","NY02240846","NY02240846",NA,NA,NA,NA
"43","2019-12-16 18:45:26-03","NYBG","NYBG","381729","PreservedSpecimen","Plantae","Poaceae","Panicum","eitenii","Panicum eitenii",NA,"G. Eiten","1965","11","30","Brazil","Minas Gerais","Mariana","At border with Mun. de Ouro Prêto; top (planalto) of the mountain, Itacolomi,: 6 km. due SE of city of Ouro Prêto.","-43.4583","-20.43","-43.4583",NA,"1600","1700",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=393689 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta",NA,"Poales","Renvoize",NA,NA,"7036",NA,"South America","-20.43","sheet","NY00381729","NY00381729_01 NY00381729_02",NA,"isotype",NA,NA
"44","2019-12-16 16:31:54-03","NYBG","NYBG","02090939","PreservedSpecimen","Plantae","Calymperaceae","Syrrhopodon","prolifer","Syrrhopodon prolifer","M. J. Cano","A. Soares","2012","05","10","Brazil","Minas Gerais","Mariana","subida a Pico da Cartuxa","-43.4160995483398","-20.377799987793",NA,"33524","1209","1209",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2293611 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","auto","Bryophyta",NA,NA,"Schwägr.",NA,NA,"2119",NA,"South America",NA,"packeted","NY02090939",NA,NA,NA,NA,NA
"45","2019-03-20 11:47:27-03","MCN-PUC-MINAS","HPUC-MG","ANG3505","S","Plantae","Vochysiaceae","Vochysia","cf. dasyantha","Vochysia cf. dasyantha","F.S. Souza","Gontijo, F.D.","2011","10","14","Brasil","Minas Gerais","Mariana","Mina de Fábrica Nova","-43.433333","-20.198611","43°26'00''W",NA,NA,NA,NA,"Doação Bioma.",NA,NA,NA,NA,NA,"2012","09",NA,NA,NA,"20°11'55''S",NA,NA,NA,NA,NA,NA,NA
"46","2019-03-20 11:47:08-03","MCN-PUC-MINAS","HPUC-MG","ANG3501","S","Plantae","Cyperaceae",NA,NA,NA,NA,"Gontijo, F.D.","2012","06","28","Brasil","Minas Gerais","Mariana","Mina de Fábrica Nova, Cava Sul","-43.435833","-20.225","43°26'09''W",NA,NA,NA,NA,"Doação Bioma. Resgate da Informação Científica.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20°13'30''S",NA,NA,NA,NA,NA,NA,NA
"47","2019-03-20 11:47:15-03","MCN-PUC-MINAS","HPUC-MG","ANG3527","S","Plantae","Malpighiaceae",NA,NA,NA,NA,"Gontijo, F.D.","2012","01","19","Brasil","Minas Gerais","Mariana","Mina de Fábrica Nova, Cava Sul","-43.433333","-20.198611","43°26'00''W",NA,NA,NA,NA,"Doação Bioma. Resgate da Informação Científica.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20°11'55''S",NA,NA,NA,NA,NA,NA,NA
"48","2019-03-20 11:46:55-03","MCN-PUC-MINAS","HPUC-MG","ANG3466","S","Plantae",NA,NA,NA,NA,NA,"Gontijo, F.D.","2011","10","14","Brasil","Minas Gerais","Mariana","Mina de Fábrica Nova, Cava Sul","-43.433333","-20.198611","43°26'00''W",NA,NA,NA,NA,"Doação Bioma.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20°11'55''S",NA,NA,NA,NA,NA,NA,NA
