"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","individualCount","occurrenceRemarks","geoFlag","phylum","class","order","scientificNameAuthorship","yearIdentified","monthIdentified","recordNumber","dayIdentified","continentOcean","verbatimLatitude","preparationType","barcode","imagecode","infraspecificEpithet","typeStatus","previousCatalogNumber","relatedCatalogItem"
"2874","2019-11-05 16:46:20-03","UFOP","OUPR","1138","PreservedSpecimen","Plantae","Bignoniaceae","Pyrostegia","venusta","Pyrostegia venusta","Lisboa, M.A.","Lisboa, M.A.","1972","06","17","Brasil","Minas Gerais","Mariana","Morro do Fraga","-43.4160995483398","-20.377799987793",NA,"33524",NA,NA,NA,NA,"auto",NA,NA,NA,"(Ker Gawl.) Miers","1972","06","s.n.","19",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2875","2019-11-06 09:57:33-03","UFOP","OUPR",NA,"PreservedSpecimen","Plantae","Rutaceae","Hortia","brasiliana","Hortia brasiliana","Groppo, M.","Badini, J.","1974","03","14","Brasil","Minas Gerais","Mariana","Morro do Fraga","-43.4160995483398","-20.377799987793",NA,"33524",NA,NA,NA,"Árvore, flores purpúreas. Campo.","auto",NA,NA,NA,"Vand. ex DC.","2004",NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2876","2019-11-06 09:56:17-03","UFOP","OUPR","22956","PreservedSpecimen","Plantae","Malvaceae","Pavonia","viscosa","Pavonia viscosa","Esteves, G.L.","Lisboa, M.A.","1972","06","17","Brasil","Minas Gerais","Mariana","Morro do Fraga","-43.4160995483398","-20.377799987793",NA,"33524",NA,NA,NA,"Abundante na canga.","auto",NA,NA,NA,"A.St.-Hil.","1997","02","s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2877","2019-11-05 16:46:15-03","UFOP","OUPR","1014","PreservedSpecimen","Plantae","Begoniaceae","Begonia","rufa","Begonia rufa",NA,"Lisboa, M.A.","1972","06","17","Brasil","Minas Gerais","Mariana","Morro do Fraga","-43.4160995483398","-20.377799987793",NA,"33524",NA,NA,NA,NA,"auto",NA,NA,NA,"Thunb.",NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2878","2019-11-06 09:55:50-03","UFOP","OUPR","16427","PreservedSpecimen","Plantae","Hypericaceae","Vismia","japurensis","Vismia japurensis","Badini, J.","Badini, J.","1970","11","24","Brasil","Minas Gerais","Mariana","Morro do Fraga, Demerara, próximo da Fazenda da Alegria","-43.4160995483398","-20.377799987793",NA,"33524",NA,NA,NA,"Arbusto grande, flores amareladas. Capão de mata","auto",NA,NA,NA,"Reichardt","1970","11","s.n.","24",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2879","2019-11-06 09:55:33-03","UFOP","OUPR","6519","PreservedSpecimen","Plantae","Fabaceae","Inga","vulpina","Inga vulpina","Lima, H.C.","Roschel, M.B.; Craig, J.","1997","01","15","Brasil","Minas Gerais","Mariana","Nascente do Rio Piracicaba","-43.4160995483398","-20.377799987793",NA,"33524",NA,NA,NA,"Orla de mata. Arbusto com 3m. Frutos maduros de cor ferrugem","auto",NA,NA,NA,"Mart. ex Benth.","2009","05","s.n.","28",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2880","2019-11-06 09:55:33-03","UFOP","OUPR","6359","PreservedSpecimen","Plantae","Fabaceae","Inga","vulpina","Inga vulpina","Dutra, V.F.","Roschel, M.B.; Craig, J.","1997","12","18","Brasil","Minas Gerais","Mariana","Nascente do Rio Piracicaba","-43.4160995483398","-20.377799987793",NA,"33524",NA,NA,NA,"Orla de mata. Arbusto 3m. Frutos maduros de cor ferrugem","auto",NA,NA,NA,"Mart. ex Benth.","2004","08","s.n.","18",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2881","2019-11-06 09:55:33-03","UFOP","OUPR","6273","PreservedSpecimen","Plantae","Fabaceae","Inga","vulpina","Inga vulpina","Dutra, V.F.","Roschel, M.B.; Craig, J.","1996","10","01","Brasil","Minas Gerais","Mariana","Nascente do Rio Piracicaba","-43.4160995483398","-20.377799987793",NA,"33524",NA,NA,NA,"Mata. Arboreta. Flores róseas","auto",NA,NA,NA,"Mart. ex Benth.","2004","08","s.n.","18",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2882","2019-11-05 16:46:20-03","UFOP","OUPR","7267","PreservedSpecimen","Plantae","Bignoniaceae","Sparattosperma","leucanthum","Sparattosperma leucanthum","Araújo, R.S.","Silva, J.L.","1998","05",NA,"Brasil","Minas Gerais","Mariana","Padre Viegas","-43.4160995483398","-20.377799987793",NA,"33524",NA,NA,NA,"Árvore em frutificação. Mata.","auto",NA,NA,NA,"(Vell.) K.Schum.","2007","07","s.n.","26",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2883","2019-11-06 09:57:49-03","UFOP","OUPR","7223","PreservedSpecimen","Plantae","Ulmaceae","Trema",NA,"Trema","Silva, J.L.","Silva, J.L.","1997","06",NA,"Brasil","Minas Gerais","Mariana","Padre Viegas","-43.4160995483398","-20.377799987793",NA,"33524",NA,NA,NA,"Arvore. Beira de estrada","auto",NA,NA,NA,"Lour.","1997","08","s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
