"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","infraspecificEpithet","typeStatus","class","individualCount","relatedCatalogItem"
"324","2017-09-14 11:43:16-03","MBML","MBML-HERBARIO","47452",NA,"Plantae",NA,NA,"Bromeliaceae","Billbergia",NA,"Billbergia",NA,NA,NA,"A. M. Assis","2041","2009","09","04",NA,"Brasil","Espírito Santo","Ibiraçu","Picuã. Propriedade de João Sagrilo","-40.329028","-19.893917","40W19'44,5","19S53'38,1",NA,"Rupícola. Inflorescência com brácteas verdes e flores brancas. Afloramento rochoso em uma grota com mata preservada","MBML047452","MBML047452_1 MBML047452_2","260","260",NA,NA,NA,NA,NA,NA,NA,NA,NA
"325","2017-09-14 11:43:03-03","MBML","MBML-HERBARIO","5950",NA,"Plantae",NA,NA,"Blechnaceae","Blechnum","brasiliense","Blechnum brasiliense",NA,"Lana Sylvestre/1997",NA,"H. Q. Boudet Fernandes; et al","2989","1990","05","29",NA,"Brasil","Espírito Santo","Ibiraçu","Estação Ecológica, Morro da Vargem","-40.376944","-19.889444","40W22'37","19S53'22",NA,"Arbustiva ca. 2m, fronde 2m de comprimento, com escamas basais negras.","MBML005950","MBML005950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"326","2017-09-14 11:43:04-03","MBML","MBML-HERBARIO","5948",NA,"Plantae",NA,NA,"Blechnaceae","Blechnum","serrulatum","Blechnum serrulatum",NA,NA,NA,"H. Q. Boudet Fernandes; et al","2987","1990","05","29",NA,"Brasil","Espírito Santo","Ibiraçu","Estação Ecológica, Morro da Vargem","-40.376944","-19.889444","40W22'37","19S53'22",NA,"Erva ereta, esporângios castanhos. Rizoma subterrâneo, unicata.","MBML005948","MBML005948",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"327","2018-03-14 14:29:15-03","MBML","MBML-HERBARIO","24527",NA,"Plantae",NA,NA,"Asclepiadaceae","Blepharodon","nitidum","Blepharodon nitidum",NA,"M. Goes/08/XII-2005",NA,"L. Kollmann; et al","7752","2005","05","06",NA,"Brasil","Espírito Santo","Ibiraçu","Lombardia, divisa Sta. Teresa/Ibiraçu","-40.369444","-19.831944","40W22'10","19S49'55",NA,"Liana no sol. Flores verdes.","MBML024527","MBML024527",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"328","2017-09-14 11:42:19-03","MBML","MBML-HERBARIO","5896",NA,"Plantae",NA,NA,"Asclepiadaceae","Blepharodon","nitidum","Blepharodon nitidum",NA,"Fontella H./07-09-1990",NA,"H. Q. Boudet Fernandes; et al","2953","1990","05","28",NA,"Brasil","Espírito Santo","Ibiraçu","Estação Ecológica, Morro da Vargem","-40.376944","-19.889444","40W22'37","19S53'22",NA,"Trepadeira volúvel, latescente, flores verdes.","MBML005896","MBML005896",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"329","2017-09-14 11:50:51-03","MBML","MBML-HERBARIO","40238",NA,"Plantae",NA,NA,"Rubiaceae","Bradea",NA,"Bradea",NA,NA,NA,"A. P. Fontana; K.A. Brahim & S.L. Machado","2803","2007","02","07",NA,"Brasil","Espírito Santo","Ibiraçu","APA Goiapaba-açu. Piabas, prop. de Francisco Tófoli. Floresta Ombrófila Densa, mata de encosta.","-40.478889","-19.865833","40W28'44","19S51'57",NA,"Arbusto 1 a 2m. Flores lilás. Frutos roxos","MBML040238",NA,"689","689",NA,NA,NA,NA,NA,NA,NA,NA,NA
"330","2018-03-14 14:30:43-03","MBML","MBML-HERBARIO","25151",NA,"Plantae",NA,NA,"Rubiaceae","Bradea","brasiliensis","Bradea brasiliensis",NA,"D. Zappi/Out.2009",NA,"A. P. Fontana; et al","1422","2005","05","06",NA,"Brasil","Espírito Santo","Ibiraçu","Lombardia","-40.369444","-19.831944","40W22'10","19S49'55",NA,"Herbácea, 1m, flores roxas.","MBML025151",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"331","2018-03-14 14:30:43-03","MBML","MBML-HERBARIO","28169",NA,"Plantae",NA,NA,"Rubiaceae","Bradea","brasiliensis","Bradea brasiliensis",NA,"J.A. Oliveira/Jan.2014",NA,"L. Kollmann","7735","2005","05","06",NA,"Brasil","Espírito Santo","Ibiraçu","Lombardia, divisa Sta. Teresa/Ibiraçu","-40.369444","-19.831944","40W22'10","19S49'55",NA,"Arbsuto no sol. Flores lilás.","MBML028169",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"332","2018-03-14 14:30:34-03","MBML","MBML-HERBARIO","24582",NA,"Plantae",NA,NA,"Polygalaceae","Bredemeyera","hebeclada","Bredemeyera hebeclada",NA,"J.F.B. Pastore/Set.2010",NA,"L. Kollmann; et al","7742","2005","05","06",NA,"Brasil","Espírito Santo","Ibiraçu","Lombardia, divisa Sta. Teresa/Ibiraçu","-40.369444","-19.831944","40W22'10","19S49'55",NA,"Planta escandente no sol. Flores brancas.","MBML024582",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"333","2017-09-14 11:49:10-03","MBML","MBML-HERBARIO","13896",NA,"Plantae",NA,NA,"Orchidaceae","Bulbophyllum","arianeae","Bulbophyllum arianeae",NA,"C. N. Fraga/18-III-2003",NA,"C. N. de Fraga; et al","563","2000","01","18",NA,"Brasil","Espírito Santo","Ibiraçu","Mosteiro Zen Budista, Morro da Varge","-40.376944","-19.889444","40W22'37","19S53'22",NA,"Floresta Atlântica de Encosta, vegetação arbustiva rupestre. Epífita, pseudobulbos amarelados, inflorescência ereta, multiflora. Sépalas lilás com listras roxas, pétala roxa com pêlos na ponta, labelo giboso roxo.","MBML013896","MBML013896",NA,NA,NA,NA,NA,NA,NA,"HOLOTIPO",NA,NA,NA
"334","2017-09-14 11:49:10-03","MBML","MBML-HERBARIO","5956",NA,"Plantae",NA,NA,"Orchidaceae","Bulbophyllum","gomesii","Bulbophyllum gomesii",NA,NA,NA,"J. M. L. Gomes; et al","1145","1990","05","26",NA,"Brasil","Espírito Santo","Ibiraçu","Estação Ecológica, Morro da Vargem","-40.376944","-19.889444","40W22'37","19S53'22",NA,"Epífita sobre arbusto flores oilváceas com estrias transversais vinosas, labelo vinho.","MBML005956","MBML005956",NA,NA,NA,NA,NA,NA,NA,"HOLOTIPO",NA,NA,NA
"335","2017-09-14 11:50:22-03","MBML","MBML-HERBARIO","10976",NA,"Plantae",NA,NA,"Polygalaceae","Caamembeca","grandifolia","Caamembeca grandifolia",NA,"Pastore/IX-2016",NA,"G. Hatschbach; et al","46896","1983","10","16",NA,"Brasil","Espírito Santo","Ibiraçu","Rod. BR-101, 1 km S","-40.369444","-19.831944","40W22'10","19S49'55",NA,"Erva, 1m. Flor alvescente. Apice lilas. Interior da mata junto a rochas. Alt.: 150m.","MBML010976",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"336","2017-09-14 11:50:22-03","MBML","MBML-HERBARIO","47455",NA,"Plantae",NA,NA,"Polygalaceae","Caamembeca","grandifolia","Caamembeca grandifolia",NA,"Pastore/Set.2016",NA,"A. M. Assis","2037","2009","09","04",NA,"Brasil","Espírito Santo","Ibiraçu","Picuã. Propriedade de João Sagrilo","-40.329028","-19.893917","40W19'44,5","19S53'38,1",NA,"Subarbusto 0,5 m. Flores rosa. Frutos verdes. Interior Mata preservada","MBML047455",NA,"260","260",NA,NA,NA,NA,NA,NA,NA,NA,NA
"337","2017-09-14 11:47:32-03","MBML","MBML-HERBARIO","40239",NA,"Plantae",NA,NA,"Marantaceae","Calathea",NA,"Calathea",NA,NA,NA,"A. P. Fontana; K.A. Brahim & S.L. Machado","2799","2007","02","07",NA,"Brasil","Espírito Santo","Ibiraçu","APA Goiapaba-açu. Piabas, prop. de Francisco Tófoli. Floresta Ombrófila Densa, mata de encosta.","-40.478889","-19.865833","40W28'44","19S51'57",NA,"Terrestre na sombra. Inflorescência roxa, brácteas brancas. Flores com tépalas com base branca e ápice roxo","MBML040239",NA,"689","689",NA,NA,NA,NA,NA,NA,NA,NA,NA
"338","2020-02-19 14:09:50-03","MBML","MBML-HERBARIO","24230",NA,"Plantae",NA,NA,"Melastomataceae","Cambessedesia","eichleri","Cambessedesia eichleri",NA,"R. Goldenberg/2006",NA,"A. P. Fontana; et al","1418","2005","05","06",NA,"Brasil","Espírito Santo","Ibiraçu","Lombardia","-40.369444","-19.831944","40W22'10","19S49'55",NA,"Herbácea 30cm, flores laranjas com estames amarelos.","MBML024230","MBML024230",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"339","2017-09-14 11:45:31-03","MBML","MBML-HERBARIO","5893",NA,"Plantae",NA,NA,"Flacourtiaceae","Casearia","arborea","Casearia arborea",NA,"R. Marquete/12-IX-2006",NA,"H. Q. Boudet Fernandes; et al","2948","1990","05","27",NA,"Brasil","Espírito Santo","Ibiraçu","Estação Ecológica, Morro da Vargem","-40.376944","-19.889444","40W22'37","19S53'22",NA,"Arbusto 4m de altura, estéril.","MBML005893","MBML005893",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"340","2017-09-14 11:49:10-03","MBML","MBML-HERBARIO","5984",NA,"Plantae",NA,NA,"Orchidaceae","Cattleya","guttata","Cattleya guttata",NA,"C. Van der Berg/13-05-1996",NA,"H. Q. Boudet Fernandes; et al","2974","1990","05","28",NA,"Brasil","Espírito Santo","Ibiraçu","Estação Ecológica, Morro da Vargem","-40.376944","-19.889444","40W22'37","19S53'22",NA,"Terrestre, sépalas e pétalas verde-oliva-amareladas com máculas vinho. Labelo branco com lobo terminal rosado. Unicata.","MBML005984",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"341","2017-09-14 11:48:23-03","MBML","MBML-HERBARIO","5998",NA,"Plantae",NA,NA,"Moraceae","Cecropia","pachystachya","Cecropia pachystachya",NA,"S. Romaniuc Neto/Março.1996",NA,"H. Q. Boudet Fernandes; et al","2985","1990","05","29",NA,"Brasil","Espírito Santo","Ibiraçu","Estação Ecológica, Morro da Vargem","-40.376944","-19.889444","40W22'37","19S53'22",NA,"Arvoreta, 6m de altura, estípula terminal verde-claro-rosada, com escassa pilosidade alva, estípula da inflorescência verde clara, inflorescência masculina amarela.","MBML005998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"342","2017-09-14 11:52:05-03","MBML","MBML-HERBARIO","5957",NA,"Plantae",NA,NA,"Ulmaceae","Celtis","iguanaeus","Celtis iguanaeus",NA,"S. Romaniuc Neto/Março.1996",NA,"J. M. L. Gomes; et al","1146","1990","05","27",NA,"Brasil","Espírito Santo","Ibiraçu","Estação Ecológica, Morro da Vargem","-40.376944","-19.889444","40W22'37","19S53'22",NA,"Arbusto escandente, 6m de altura, estéril.","MBML005957",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"343","2017-09-14 11:50:34-03","MBML","MBML-HERBARIO","5976",NA,"Plantae",NA,NA,"Pteridaceae","Cheilanthes","eriophora","Cheilanthes eriophora",NA,"in dupl.: Lana Sylvestre/1997",NA,"H. Q. Boudet Fernandes; et al","2979","1990","05","28",NA,"Brasil","Espírito Santo","Ibiraçu","Estação Ecológica, Morro da Vargem","-40.376944","-19.889444","40W22'37","19S53'22",NA,"Vegetação rupestre, sub-arbustiva em moitas.","MBML005976","MBML005976",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
