"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","infraspecificEpithet","typeStatus","class","individualCount","relatedCatalogItem"
"1","2019-12-16 18:13:58-03","NYBG","NYBG","407259","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","malacophylla","Pavonia malacophylla","(Link & Otto) Garcke","A. Krapovickas","1998","G. G. Hatschbach","58598","1992","10","13","South America","Brazil","Espírito Santo","Ibiraçu","Rod. BR-101, 5km S de Joao Neiva","-40.3694","-19.8319","-40.3694","-19.8319","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=221277 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00407259","NY00407259",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-16 16:47:33-03","NYBG","NYBG","533758","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Prescottia","plantaginea","Prescottia plantaginea","Lindl.","C. A. Vargas",NA,"R. P. Belém","3829","1968","07","09","South America","Brazil","Espírito Santo","Ibiraçu","Margem da Rodovia Colatina-Vitoria. 45km leste de Colatina","-40.3694","-19.8319","-40.3694","-19.8319","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=279915 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00533758","NY00533758_01 NY00533758_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-16 18:37:43-03","NYBG","NYBG","376879","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Pseudananas","sagenarius","Pseudananas sagenarius",NA,"L. B. Smith","1970","R. P. Belém","3831","1968","07","09","South America","Brazil","Espírito Santo","Ibiraçu","Margem da Rodovia Colatina-Vitoria. 45 km leste de Colatina","-40.3694","-19.8319","-40.3694","-19.8319","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=33584 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00376879","NY00376879",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-16 17:42:06-03","NYBG","NYBG","501754","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","deflexa","Psychotria deflexa","DC.","J. H. Kirkbride Jr.","1984","G. G. Hatschbach","47703","1984","04","07","South America","Brazil","Espírito Santo","Ibiraçu","Rod. BR-101; 2 km S de Ibiraçu","-40.3694","-19.8319","-40.3694","-19.8319","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=663244 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00501754","NY00501754",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-16 18:58:32-03","NYBG","NYBG","821986","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Serjania","clematidifolia","Serjania clematidifolia","Cambess.","P. Acevedo-Rodríguez","2005","G. G. Hatschbach","46727","1983","08","05","South America","Brazil","Espírito Santo","Ibiraçu","Rod. Rio-Salvador","-40.3694","-19.8319","-40.3694","-19.8319","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=909047 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00821986","NY00821986",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-16 18:27:46-03","NYBG","NYBG","02736607","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","radula","Tibouchina radula","Markgr.",NA,NA,"A. P. Fontana","2802","2007","02","07","South America","Brazil","Espírito Santo","Ibiraçu","Piabas, propriedade de Francisco Tófoli. Floresta Ombrófila Densa, Mata de Encosta. APA Goiapaba-açu","-40.5883334","-19.8658333","-40.5883334","-19.8658333","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3244435 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02736607","NY02736607","689","689",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-16 17:45:31-03","NYBG","NYBG","402981","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Adenocalymma","salmoneum","Adenocalymma salmoneum","J.C.Gomes","A. H. Gentry",NA,"R. P. Belém","3815","1968","07","09","South America","Brazil","Espírito Santo","Ibiraçu","Margem da Rodovia Colatina-Vitória. 45 Km leste de Colatina. Zona calcárea.","-40.3694","-19.8319","-40.3694","-19.8319","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=696034 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00402981",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-12-16 18:37:07-03","NYBG","NYBG","376302","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","capixabae","Aechmea capixabae","L.B.Sm.","L. B. Smith","1970","R. P. Belém","3830","1968","07","09","South America","Brazil","Espírito Santo","Ibiraçu","Margem da Rodovia Colatina-Vitoria. 45 km leste de Colatina. Zona calcárea","-40.3694","-19.8319","-40.3694","-19.8319","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=282015 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00376302","NY00376302",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-12-16 18:37:07-03","NYBG","NYBG","376303","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","capixabae","Aechmea capixabae","L.B.Sm.","L. B. Smith","1970","R. P. Belém","3830","1968","07","09","South America","Brazil","Espírito Santo","Ibiraçu","Margem da Rodovia Colatina-Vitoria. 45 km leste de Colatina. Zona calcárea","-40.3694","-19.8319","-40.3694","-19.8319","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=282016 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00376303","NY00376303",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-12-16 16:40:33-03","NYBG","NYBG","495278","PreservedSpecimen","Plantae","Magnoliophyta","Alismatales","Araceae","Anthurium","solitarium","Anthurium solitarium","(Vell.) Schott","T. B. Croat","1988","R. P. Belém","3833","1968",NA,NA,"South America","Brazil","Espírito Santo","Ibiraçu","Margem da Rodovia Colatina-Vitoria. 45 km leste de Colatina","-40.3694","-19.8319","-40.3694","-19.8319","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=622114 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00495278","NY00495278",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-12-16 16:40:33-03","NYBG","NYBG","495279","PreservedSpecimen","Plantae","Magnoliophyta","Alismatales","Araceae","Anthurium","solitarium","Anthurium solitarium","(Vell.) Schott","T. B. Croat","1988","R. P. Belém","3833","1968",NA,NA,"South America","Brazil","Espírito Santo","Ibiraçu","Margem da Rodovia Colatina-Vitoria. 45 km leste de Colatina","-40.3694","-19.8319","-40.3694","-19.8319","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=622115 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00495279","NY00495279",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-12-16 16:46:10-03","NYBG","NYBG","414741","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Beadlea","congesta","Beadlea congesta","(Vell.) Garay",NA,NA,"R. P. Belém","3816","1968","07","09","South America","Brazil","Espírito Santo","Ibiraçu","Margem de Rodovia Colatina-Vitória. 45 km este de Colatina","-40.3694","-19.8319","-40.3694","-19.8319","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=373889 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00414741","NY00414741",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-12-16 17:32:37-03","NYBG","NYBG","634616","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Caamembeca","grandifolia","Caamembeca grandifolia","(A.St.-Hil. & Moq.) J.F.B.Pastore","J. R. Abbott","2016","G. G. Hatschbach","46896","1983","10","16","South America","Brazil","Espírito Santo","Ibiraçu","Rod BR 101, 1 km S de Ibiraçu","-40.3694","-19.8319","-40.3694","-19.8319","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=757072 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00634616","NY00634616","150","150",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-12-16 18:12:49-03","NYBG","NYBG","393858","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Callianthe","rufivela","Callianthe rufivela","Donnell & Hochr.","A. A. Donnell","2013","R. P. Belém","3818","1968","07","09","South America","Brazil","Espírito Santo","Ibiraçu","Margem da Rodovia. Colatina-Vitoria. 45km leste de Colatina","-40.3694","-19.8319","-40.3694","-19.8319","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=326546 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00393858","NY00393858_01 NY00393858_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-12-16 18:12:49-03","NYBG","NYBG","393907","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Callianthe","rufivela","Callianthe rufivela","Donnell & Hochr.","A. A. Donnell","2013","G. G. Hatschbach","58008","1992","10","13","South America","Brazil","Espírito Santo","Ibiraçu","Rod. BR-101, 5 km S de Joao Neiva","-40.3694","-19.8319","-40.3694","-19.8319","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=171321 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00393907","NY00393907",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-12-16 17:40:04-03","NYBG","NYBG","1039126","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Hindsia",NA,"Hindsia",NA,NA,NA,"A. P. Fontana","2803","2007","02","07","South America","Brazil","Espírito Santo","Ibiraçu","APA Goiapaba-açu. piabas, propriedade de Francisco Tófoli.","-40.47883","-19.8658","-40.47883","-19.8658","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1482008 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01039126","NY01039126","689","689",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2019-12-16 18:13:25-03","NYBG","NYBG","1015373","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Lopimia","malacophylla","Lopimia malacophylla",NA,"L. J. Dorr","1990","G. G. Hatschbach","49432","1985","06","16","South America","Brazil","Espírito Santo","Ibiraçu","Rod. BR-101.","-40.3694","-19.8319","-40.3694","-19.8319","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1104965 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01015373","NY01015373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-12-16 18:37:42-03","NYBG","NYBG","376855","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Orthophytum","foliosum","Orthophytum foliosum","L.B.Sm.","L. B. Smith","1970","R. P. Belém","3832","1968","07","09","South America","Brazil","Espírito Santo","Ibiraçu","Margem da Rodovia Colatina-Vitória. 45 km leste de Colatina","-40.3694","-19.8319","-40.3694","-19.8319","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=654761 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00376855","NY00376855",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2019-12-16 18:37:42-03","NYBG","NYBG","376856","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Orthophytum","foliosum","Orthophytum foliosum","L.B.Sm.","L. B. Smith","1970","R. P. Belém","3832","1968","07","09","South America","Brazil","Espírito Santo","Ibiraçu","Margem da Rodovia Colatina-Vitória. 45 km leste de Colatina","-40.3694","-19.8319","-40.3694","-19.8319","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=654762 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00376856","NY00376856",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-12-16 18:05:44-03","NYBG","NYBG","1183739","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Hypericaceae","Vismia","martiana","Vismia martiana","Reichardt","A. P. Fontana","2007","A. P. Fontana","2808","2007","02","07","South America","Brazil","Espírito Santo","Ibiraçu","APA Goiapaba-açu. piabas, propriedade de Francisco Tófoli.","-40.47883","-19.8658","-40.47883","-19.8658","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1452754 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01183739","NY01183739","689","689",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-02-04 14:16:40-03","UNESP-IBB","BOTU","33647","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Triumfetta",NA,"Triumfetta",NA,NA,NA,"Gomes, J.M.L.","1201","1990","06","01",NA,"Brasil","Espírito Santo","Ibiraçu",NA,"-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"BOTU033647",NA,NA,NA,"13709","auto",NA,NA,NA,NA,NA,NA,NA
"22","2020-02-04 14:16:40-03","UNESP-IBB","BOTU","33648","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Triumfetta",NA,"Triumfetta",NA,"Gonçalez, V.M.","2015","Gomes, J.M.L.","1148","1990","05","27",NA,"Brasil","Espírito Santo","Ibiraçu",NA,"-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"BOTU033648",NA,NA,NA,"13709","auto","01","19",NA,NA,NA,NA,NA
"23","2020-02-04 14:16:34-03","UNESP-IBB","BOTU","33618","PreservedSpecimen","Plantae",NA,NA,"Malvaceae",NA,NA,NA,NA,NA,NA,"Gomes, J.M.L.","1148","1990","05","27",NA,"Brasil","Espírito Santo","Ibiraçu","Estação Ecológica do Morro da Vargem","-40.383333","-19.883333","40°23'w","19°53's",NA,NA,"BOTU033618",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-02-04 14:16:05-03","UNESP-IBB","BOTU","32024","PreservedSpecimen","Plantae",NA,NA,"Erythroxylaceae","Erythroxylum","subrotundum","Erythroxylum subrotundum","A.St.-Hil.","Amaral Jr., A.","2000","Gomes, J.M.L.","1135","1990","05","26",NA,"Brasil","Espírito Santo","Ibiraçu","Estação Ecológica do Morro da Vargem.","-40.383333","-19.883333","40°23'w","19°53's",NA,NA,"BOTU032024",NA,"300","470",NA,NA,"10","09",NA,NA,NA,NA,NA
"25","2019-07-11 10:14:08-03","ESALQ","ESA","6024","S","Plantae","Magnoliophyta",NA,"Sapotaceae","Diploon",NA,"Diploon",NA,NA,NA,"Gomes, J.M.L. et al.","M/1172","1990","05",NA,NA,"Brasil","Espírito Santo","Ibiraçu",NA,"-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"ESA006024",NA,NA,NA,"13709","auto",NA,NA,NA,NA,NA,NA,NA
"26","2019-02-22 15:14:18-03","ESALQ","ESA","6004","S","Plantae","Magnoliophyta",NA,"Caricaceae","Jacaratia","spinosa","Jacaratia spinosa","(Aubl.) A.DC.","Rodrigues, R.R.",NA,"Gomes, J.M.L. et al.","1158",NA,NA,NA,NA,"Brasil","Espírito Santo","Ibiraçu",NA,"-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"ESA006004","ESA006004",NA,NA,"13709","auto",NA,NA,NA,NA,NA,NA,NA
"27","2019-07-11 08:54:25-03","ESALQ","ESA","6029","S","Plantae","Magnoliophyta",NA,"Melastomataceae","Miconia","cinnamomifolia","Miconia cinnamomifolia",NA,"Rodrigues, R.R.","1990","Fernandes, H.Q.B. et al.","2934","1990","05",NA,NA,"Brasil","Espírito Santo","Ibiraçu",NA,"-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"ESA006029",NA,NA,NA,"13709","auto","05","27",NA,NA,NA,NA,NA
"28","2019-02-22 15:13:31-03","ESALQ","ESA","6025","S","Plantae","Magnoliophyta",NA,"Bignoniaceae","Zeyheria","tuberculosa","Zeyheria tuberculosa","(Vell.) Bur.","Bierwagen, R.","1993","Gomes, J.M.L. et al.","1195","1990","05",NA,NA,"Brasil","Espírito Santo","Ibiraçu",NA,"-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"ESA006025","ESA006025",NA,NA,"13709","auto","03",NA,NA,NA,NA,NA,NA
"29","2019-07-11 08:51:41-03","ESALQ","ESA","6023","S","Plantae","Magnoliophyta",NA,"Erythroxylaceae","Erythroxylum","ambiguum","Erythroxylum ambiguum",NA,NA,NA,"Fernandes, H.Q.B. et al.","1135","1990","05",NA,NA,"Brasil","Espírito Santo","Ibiraçu",NA,"-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"ESA006023","ESA006023",NA,NA,"13709","auto",NA,NA,NA,NA,NA,NA,NA
"30","2019-07-11 08:55:19-03","ESALQ","ESA","6027","S","Plantae","Magnoliophyta",NA,"Myrtaceae","Marlierea",NA,"Marlierea",NA,NA,NA,"Fernandes, H.Q.B. et al.","2936","1990","05",NA,NA,"Brasil","Espírito Santo","Ibiraçu",NA,"-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"ESA006027",NA,NA,NA,"13709","auto",NA,NA,NA,NA,NA,NA,NA
"31","2019-07-11 08:55:11-03","ESALQ","ESA","6007","S","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","dodonaefolia","Eugenia dodonaefolia","Cambess.","Rodrigues, R.R.",NA,"Gomes, J.M.L. et al.","1174","1990","05",NA,NA,"Brasil","Espírito Santo","Ibiraçu",NA,"-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"ESA006007","ESA006007",NA,NA,"13709","auto",NA,NA,NA,NA,NA,NA,NA
"32","2019-07-11 08:56:11-03","ESALQ","ESA","6020","S","Plantae","Magnoliophyta",NA,"Orchidaceae","Maxillaria","robusta","Maxillaria robusta","Barb. Rodr.","Fernandes, H.Q.B.",NA,"Fernandes, H.Q.B. et al.","H/2973","1990","05","28",NA,"Brasil","Espírito Santo","Ibiraçu",NA,"-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"ESA006020",NA,NA,NA,"13709","auto",NA,NA,NA,NA,NA,NA,NA
"33","2019-02-22 15:24:17-03","ESALQ","ESA","6008","S","Plantae","Magnoliophyta",NA,"Moraceae","Ficus","goemelleira","Ficus goemelleira","Kunth & Buché ex Kunth. Vel.","Fernandes, H. Q. B.","1990","Gomes, J.M L.; Fernandes, H.Q.B.; Martins, A.L. et al.","M 1164","1990","05",NA,NA,"Brasil","Espírito Santo","Ibiraçu",NA,"-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"ESA006008","ESA006008",NA,NA,"13709","auto","05","29",NA,NA,NA,NA,NA
"34","2019-07-11 08:57:05-03","ESALQ","ESA","6011","S","Plantae","Magnoliophyta",NA,"Poaceae","Merostachys",NA,"Merostachys",NA,NA,NA,"Gomes, J.L.M. et al.","M 1189","1990","05","31",NA,"Brasil","Espírito Santo","Ibiraçu",NA,"-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"ESA006011","ESA006011",NA,NA,"13709","auto",NA,NA,NA,NA,NA,NA,NA
"35","2019-07-11 08:57:05-03","ESALQ","ESA","6010","S","Plantae","Magnoliophyta",NA,"Poaceae","Merostachys","ternata","Merostachys ternata","Nees","Gonçalves, A.P.S.",NA,"Gomes, J.M.L. et al.","M 1187","1990","05",NA,NA,"Brasil","Espírito Santo","Ibiraçu",NA,"-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"ESA006010","ESA006010",NA,NA,"13709","auto",NA,NA,NA,NA,NA,NA,NA
"36","2019-02-22 15:12:04-03","ESALQ","ESA","6006","S","Plantae","Magnoliophyta",NA,"Asteraceae","Gochnatia","polymorpha","Gochnatia polymorpha",NA,"Monge, M.","2011","Fernandes, H.Q.B. et al.","2993","1990","05",NA,NA,"Brasil","Espírito Santo","Ibiraçu",NA,"-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"ESA006006","ESA006006",NA,NA,"13709","auto","01",NA,NA,NA,NA,NA,NA
"37","2019-07-11 08:57:05-03","ESALQ","ESA","6012","S","Plantae","Magnoliophyta",NA,"Poaceae","Olyra",NA,"Olyra",NA,NA,NA,"Fernandes, H.Q.B. et al.","2931","1990","05",NA,NA,"Brasil","Espírito Santo","Ibiraçu",NA,"-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"ESA006012","ESA006012",NA,NA,"13709","auto",NA,NA,NA,NA,NA,NA,NA
"38","2019-07-11 08:57:46-03","ESALQ","ESA","6022","S","Plantae","Magnoliophyta",NA,"Rubiaceae","Palicourea","marcgravii","Palicourea marcgravii","A.St.-Hil.","Taylor, C.M.","1997","Fernandes, H.Q.B. et al.","2924","1990","05",NA,NA,"Brasil","Espírito Santo","Ibiraçu",NA,"-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"ESA006022","ESA006022",NA,NA,"13709","auto","01","01",NA,NA,NA,NA,NA
"39","2019-07-11 08:52:45-03","ESALQ","ESA","6019","S","Plantae","Magnoliophyta",NA,"Fabaceae","Senna","pendula","Senna pendula","(Willd.) H.S.Irwin & Barneby",NA,"1997","Fernandes, H.Q.B. et al.","2982",NA,NA,NA,NA,"Brasil","Espírito Santo","Ibiraçu",NA,"-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"ESA006019","ESA006019",NA,NA,"13709","auto","02","09",NA,NA,NA,NA,NA
"40","2019-07-11 08:56:17-03","ESALQ","ESA","6014","S","Plantae","Magnoliophyta",NA,"Orchidaceae","Sobralia",NA,"Sobralia",NA,NA,NA,"Fernandes, H.Q.B. et al.","H/2966","1990","05",NA,NA,"Brasil","Espírito Santo","Ibiraçu",NA,"-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"ESA006014",NA,NA,NA,"13709","auto",NA,NA,NA,NA,NA,NA,NA
"41","2019-07-11 08:51:59-03","ESALQ","ESA","6016","S","Plantae","Magnoliophyta",NA,"Fabaceae","Acacia","auriculiformis","Acacia auriculiformis",NA,"Gomes, J.L.M.","1990","Gomes, J.M.L. et al.","1262","1990","05",NA,NA,"Brasil","Espírito Santo","Ibiraçu",NA,"-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"ESA006016","ESA006016",NA,NA,"13709","auto","05","29",NA,NA,NA,NA,NA
"42","2019-07-11 08:51:59-03","ESALQ","ESA","6017","S","Plantae","Magnoliophyta",NA,"Fabaceae","Acacia","mangium","Acacia mangium","Willd.","Gomes, J.M.L.","1990","Gomes, J.M.L. et al.","1163","1990","05",NA,NA,"Brasil","Espírito Santo","Ibiraçu",NA,"-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"ESA006017","ESA006017",NA,NA,"13709","auto","05","29",NA,NA,NA,NA,NA
"43","2019-07-11 08:53:12-03","ESALQ","ESA","6003","S","Plantae","Magnoliophyta",NA,"Lamiaceae","Aegiphila","sellowiana","Aegiphila sellowiana",NA,NA,NA,"Fernandes, H.Q.B. et al.","2981","1990","05","29",NA,"Brasil","Espírito Santo","Ibiraçu",NA,"-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"ESA006003",NA,NA,NA,"13709","auto",NA,NA,NA,NA,NA,NA,NA
"44","2019-07-11 08:53:13-03","ESALQ","ESA","65831","S","Plantae","Magnoliophyta",NA,"Lauraceae","Aniba","firmula","Aniba firmula","(Nees & Mart.) Mez","Moraes, P.L.R.","2001","Fernandes, H.B.Q.","2950","1990","05","28",NA,"Brasil","Espírito Santo","Ibiraçu",NA,"-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"ESA065831",NA,NA,NA,"13709","auto","07","30",NA,NA,NA,NA,NA
"45","2019-07-11 08:49:45-03","ESALQ","ESA","6015","S","Plantae","Magnoliophyta",NA,"Asteraceae","Baccharis","dracunculifolia","Baccharis dracunculifolia","DC.","Rodrigues, R.R. et al.",NA,"Fernandes, H.Q.B. et al.","2994","1990","05",NA,NA,"Brasil","Espírito Santo","Ibiraçu",NA,"-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"ESA006015","ESA006015",NA,NA,"13709","auto",NA,NA,NA,NA,NA,NA,NA
"46","2019-07-11 10:05:59-03","ESALQ","ESA","6021","S","Plantae","Magnoliophyta",NA,"Begoniaceae","Begonia",NA,"Begonia",NA,NA,NA,"Fernandes, H.Q.B. et al.","2959","1990","05",NA,NA,"Brasil","Espírito Santo","Ibiraçu",NA,"-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"ESA006021",NA,NA,NA,"13709","auto",NA,NA,NA,NA,NA,NA,NA
"47","2019-02-22 15:14:14-03","ESALQ","ESA","6026","S","Plantae","Magnoliophyta",NA,"Cannabaceae","Celtis","iguanae","Celtis iguanae",NA,NA,NA,"Fernandes, H.Q.B. et al.","1146","1990","05",NA,NA,"Brasil","Espírito Santo","Ibiraçu",NA,"-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"ESA006026","ESA006026",NA,NA,"13709","auto",NA,NA,NA,NA,NA,NA,NA
"48","2019-07-11 08:57:01-03","ESALQ","ESA","6018","S","Plantae","Magnoliophyta",NA,"Poaceae","Hyparrhenia","rufa","Hyparrhenia rufa","(Nees) Stapf.","Longhi-Wagner, H.M.",NA,"Fernandes, H.Q.B. et al.","H 2985","1990","05",NA,NA,"Brasil","Espírito Santo","Ibiraçu",NA,"-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"ESA006018","ESA006018",NA,NA,"13709","auto",NA,NA,NA,NA,NA,NA,NA
"49","2019-02-22 15:10:56-03","ESALQ","ESA","9121","S","Plantae","Magnoliophyta",NA,"Arecaceae","Syagrus","pseudococos","Syagrus pseudococos","(Raddi) Glassman","Fernandes, H.A.B.",NA,"Fernandes, H.A.B. et al.","2991","1990","06","01",NA,"Brasil","Espírito Santo","Ibiraçu",NA,"-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"ESA009121","ESA009121_1 ESA009121_2",NA,NA,"13709","auto",NA,NA,NA,NA,NA,NA,NA
"50","2019-02-22 15:13:54-03","ESALQ","ESA","6013","S","Plantae","Magnoliophyta",NA,"Bromeliaceae","Vriesea",NA,"Vriesea",NA,NA,NA,"Gomes, J.M.L. et al.","1186","1990","05","31",NA,"Brasil","Espírito Santo","Ibiraçú",NA,"-40.369701385498","-19.8318996429443",NA,NA,NA,NA,"ESA006013","ESA006013",NA,NA,"13709","auto",NA,NA,NA,NA,NA,NA,NA
"51","2020-02-13 14:07:02-03","MN","R","205636","S","Plantae",NA,NA,"Apocynaceae","Oxypetalum","banksii","Oxypetalum banksii subsp.banksii","Schult.","Góes, M.B.","2007","Fontana, A.P. 1416; Kollmann, L. & Esgario, C.",NA,"2005","05","06",NA,"Brasil","Espírito Santo","Ibiraçú",NA,"-40.369701385498","-19.8318996429443",NA,NA,NA,NA,NA,NA,"922","922","13709","auto","04","04","subsp.banksii",NA,NA,NA,NA
