"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","class","individualCount","relatedCatalogItem"
"1","2019-12-16 18:10:17-03","NYBG","NYBG","1065442","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Phyllanthaceae","Phyllanthus","klotzschianus","Phyllanthus klotzschianus","Müll.Arg.","I. Cordeiro","J. R. Pirani","3949","1998","01","13","South America","Brazil","Minas Gerais","Itamarandiba","Santa Joana, estrada Coluna-Itamarandiba. Carrascal a W da rodovia","-42.865","-18.2308","-42.8650","-18.2308","1000","1000","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1228737 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01065442","NY01065442",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-16 18:58:50-03","NYBG","NYBG","1144790","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Serjania","purpurascens","Serjania purpurascens","Radlk.","M. S. Ferrucci","J. R. Pirani","3955","1998","01","13","South America","Brazil","Minas Gerais","Itamarandiba","Santa Joana, estrada Coluna-Itamarandiba. Carrascal a W da rodovia","-42.865","-18.2308","-42.8650","-18.2308","1000","1000","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1299196 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01144790","NY01144790","2007",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-16 17:25:46-03","NYBG","NYBG","00957834","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","pogocephala","Mimosa pogocephala","Benth.","J. Santos Silva","J. R. Pirani","3953","1998","01","13","South America","Brazil","Minas Gerais","Itamarandiba","Santa Joana, estrada Coluna-Itamarandiba. Carrascal a W da rodovia","-42.865","-18.2308","-42.8650","-18.2308","1000","1000","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1018153 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00957834","NY00957834","2011",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-16 18:06:18-03","NYBG","NYBG","00859028","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Banisteriopsis","campestris","Banisteriopsis campestris","(A.Juss.) Little","B. Gates","B. Gates","343","1976","03","06","South America","Brazil","Minas Gerais","Itamarandiba","ca 7 km NE of Itamarandiba on road from Capelinha to Itamarandiba.","-42.8589","-17.8572","-42.8589","-17.8572",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=957222 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00859028","NY00859028","1977",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-16 19:00:30-03","NYBG","NYBG","910937","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Brunfelsia","brasiliensis","Brunfelsia brasiliensis","(Spreng.) L.B.Sm. & Downs","M. H. Nee","R. M. Harley","CFCR6648","1984","12","01","South America","Brazil","Minas Gerais","Itamarandiba","7 km sudoeste de Itamarandiba, perto da estrada p/ Coluna. BR 120.","-42.8589","-17.8572","-42.8589","-17.8572","970","970","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=989578 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00910937","NY00910937","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-16 18:55:24-03","NYBG","NYBG","00841359","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Cabralea","canjerana","Cabralea canjerana polytricha","(A.Juss.) T.D.Penn.","J. R. Pirani","B. L. Stannard","CFCR6668","1984","12","01","South America","Brazil","Minas Gerais","Itamarandiba","7 km sudoeste de Itamarandiba, perto da estrada para Coluna. BR 120.970","-42.8589","-17.8572","-42.8589","-17.8572","970","970","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=925329 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00841359","NY00841359","1985","polytricha",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-16 17:15:49-03","NYBG","NYBG","3821","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Cassia","ixodes","Cassia ixodes","H.S.Irwin & Barneby",NA,"G. M. Magalhaes","18053","1960","07",NA,"South America","Brazil","Minas Gerais","Itamarandiba","Chapada de Itamarandiba","-42.8589","-17.8572","-42.8589","-17.8572",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=33184 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00003821","NY00003821 NY00003821_01",NA,NA,"holotype",NA,NA,NA,NA,NA,NA,NA
"8","2020-03-04 11:49:09-03","UFRJ","RFA","5811","Preservedecimen","Plantae",NA,NA,"Fabaceae","Cassia",NA,"Cassia",NA,NA,"M. Magalhães","18053","1960","07",NA,NA,"Brasil","Minas Gerais","Itamarandiba","Chapada de Itamarandiba","-42.8588981628418","-17.8572006225586",NA,NA,NA,NA,NA,"arbusto de 0.50 a 1.50m, flor amarela, frequente Habito: arbusto","RFA25943",NA,NA,NA,NA,"39586","auto",NA,NA,NA,NA,NA
"9","2019-09-24 10:51:22-03","EAO","IAN","13255","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Euphorbiaceae","Sapium","longipes","Sapium longipes","(Müll.Arg.) Huber",NA,"Barreto, M","10010","1937","12","24","Southern America","Brasil","Minas Gerais","Itamarandiba","Fazenda Itanguá; Penha de França.","-42.8588981628418","-17.8572006225586",NA,NA,NA,NA,NA,NA,"IAN013255",NA,NA,NA,NA,"39586","auto",NA,NA,NA,NA,NA
"10","2019-09-24 10:55:30-03","EAO","IAN","107938","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Caesalp.","Senna","cana","Senna cana","(Nees & Mart.) H.S. Irwin & Barneby","Nascimento, EAP","Magalhães, MG","18053","1960","07",NA,"Southern America","Brasil","Minas Gerais","Itamarandiba",NA,"-42.8588981628418","-17.8572006225586",NA,NA,NA,NA,NA,"Arbusto, 0,50-1,50m; flor amarela-frequente.","IAN107938",NA,"2011",NA,NA,"39586","auto","09","28",NA,NA,NA
"11","2019-09-24 10:51:22-03","EAO","IAN","13256","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Euphorbiaceae","Sapium","longipes","Sapium longipes","(Müll.Arg.) Huber",NA,"Barreto, M","10010","1937","12","24","Southern America","Brasil","Minas Gerais","Itamarandiba","Fazenda Itanguá; Penha de França.","-42.8588981628418","-17.8572006225586",NA,NA,NA,NA,NA,"Árvore 8,00m.","IAN013256",NA,NA,NA,NA,"39586","auto",NA,NA,NA,NA,NA
"12","2019-12-12 15:31:41-03","UFABC","HUFABC","001321","PreservedSpecimen","Plantae","Angiospermas",NA,"Fabaceae","Chamaecrista","ramosa","Chamaecrista ramosa erythocalyx","(Benth.) H.S.Irwin & Barneby",NA,"Cota, M M T; E. R. Kotovski; D. J. P. Gonçalves","313","2012","01","26",NA,"Brasil","Minas Gerais","Itamarandiba","Parque Estadual da Serra Negra, Fazenda do senhor José Gildilina","-42.882961","-18.597583","-42.882961","-18.597583","1381","1381",NA,"Doação do Herbário DIAM; Sub arbusto ca 0,20m. Pétalas amarelas, estandarte com mancha vermelha. Sépalas verdes. Frutos imaturos e maduros.","HUFABC001321",NA,NA,"erythocalyx",NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-07-11 08:55:11-03","ESALQ","ESA","85365","S","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","crassa","Eugenia crassa","Sobral","Bünger, M.O.","Pirani, J.R. et al.","3954","1998","01","13",NA,"Brasil","Minas Gerais","Itamarandiba",NA,"-42.8588981628418","-17.8572006225586",NA,NA,NA,NA,NA,NA,"ESA085365","ESA085365","2011",NA,NA,"39586","auto","12",NA,NA,NA,NA
"14","2019-07-11 08:49:50-03","ESALQ","ESA","76964","S","Plantae","Magnoliophyta",NA,"Asteraceae","Baccharis","reticularia","Baccharis reticularia","DC.","Robinson, H.","Fernandes, G.W.","BHCB 48913","1999","08","10",NA,"Brasil","Minas Gerais","Itamarandiba",NA,"-42.8588981628418","-17.8572006225586",NA,NA,NA,NA,NA,NA,"ESA076964","ESA076964",NA,NA,NA,"39586","auto",NA,NA,NA,NA,NA
"15","2019-07-11 08:53:40-03","ESALQ","ESA","88525","S","Plantae","Magnoliophyta",NA,"Malpighiaceae","Byrsonima","coccolobifolia","Byrsonima coccolobifolia","Kunth","Elias, S.I.","Stannard, B.","CFCR 6655","1984","12","01",NA,"Brasil","Minas Gerais","Itamarandiba",NA,"-42.8588981628418","-17.8572006225586",NA,NA,NA,NA,NA,NA,"ESA088525","ESA088525","2004",NA,NA,"39586","auto",NA,NA,NA,NA,NA
"16","2020-02-13 14:10:35-03","MN","R","32716","S","Plantae",NA,NA,"Fabaceae","Mimosa","dumetorum","Mimosa dumetorum","A. St.-Hil.","Mello Barreto, H.L.","Mello Barreto, H.L.","9963","1937","11","22",NA,"Brasil","Minas Gerais","Itamarandiba",NA,"-42.8588981628418","-17.8572006225586",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39586","auto",NA,NA,NA,NA,NA
"17","2020-02-13 14:10:46-03","MN","R","32695","S","Plantae",NA,NA,"Fabaceae","Plathymenia","reticulata","Plathymenia reticulata","Benth.","Mello Barreto, H.L.","Mello Barreto, H.L.","9971","1937","11","22",NA,"Brasil","Minas Gerais","Itamarandiba",NA,"-42.8588981628418","-17.8572006225586",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39586","auto",NA,NA,NA,NA,NA
"18","2020-02-13 14:07:13-03","MN","R","35266","S","Plantae",NA,NA,"Apocynaceae","Secondatia","floribunda","Secondatia floribunda","A. DC.","Markgraf, F.","Mello Barreto, H.L.","9979","1937","11","23",NA,"Brasil","Minas Gerais","Itamarandiba",NA,"-42.8588981628418","-17.8572006225586",NA,NA,NA,NA,NA,"Jardim Botânico de Belo Horizonte 25093","R010015499","R010015499",NA,NA,NA,"39586","auto",NA,NA,NA,NA,NA
"19","2020-03-10 08:29:20-03","UFV","VIC","36602","PreservedSpecimen","Plantae",NA,NA,"Mimosoideae","Inga","subnuda","Inga subnuda subnuda",NA,"Fernandes, J.M.","Fernandes, J.M.","1135","2009","11","05",NA,"Brasil","Minas Gerais","Itamarandiba","Parque Estadual da Serra Negra","-42.673361","-18.025194","-42.673361","-18.025194",NA,NA,NA,"Área de Florestal Estacional Semidecidual; Árvore de 6m de altura; Flores secas.","VIC036602",NA,"2009","subnuda",NA,NA,NA,"11","05",NA,NA,NA
"20","2020-03-10 08:29:22-03","UFV","VIC","19919","PreservedSpecimen","Plantae",NA,NA,"Mimosoideae","Mimosa",NA,"Mimosa",NA,NA,"Pirani, J.R.; et al.","3953","1998","01","13",NA,"Brasil","Minas Gerais","Itamarandiba","Santa Joana, Estrada Coluna/Itamarandiba. Carrascal a oeste da rodovia.","-42.865","-18.230833","-42.865","-18.230833",NA,NA,NA,"Arbusto, c.a. de 1,5 metros de altura, densamente ramoso, heliófilo. No carrasco. Frutos ocráceos.","VIC019919",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-03-10 08:27:47-03","UFV","VIC","39922","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","aurisetus","Pilosocereus aurisetus aurilanatus","(Ritter) Zappi",NA,"Santos, M.R.","128","2011","07","15",NA,"Brasil","Minas Gerais","Itamarandiba","campo rupestre.","-42.8588981628418","-17.8572006225586",NA,NA,NA,NA,NA,"colunar, sobre areia, cascalho ou rocha","VIC039922",NA,NA,"aurilanatus",NA,"39586","auto",NA,NA,NA,NA,NA
"22","2020-03-10 08:27:47-03","UFV","VIC","39927","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","aurisetus","Pilosocereus aurisetus aurilanatus","(Ritter) Zappi","Santos, M.R.","Santos, M.R.","119","2011","07","13",NA,"Brasil","Minas Gerais","Itamarandiba","Campo rupestre.","-42.8588981628418","-17.8572006225586",NA,NA,NA,NA,NA,"Sobre areia, casacalho ou rocha.","VIC039927","VIC039927","2011","aurilanatus",NA,"39586","auto","07","13",NA,NA,NA
"23","2020-03-10 08:27:47-03","UFV","VIC","39953","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Uebelmannia","gummifera","Uebelmannia gummifera","(Backeb. & Voll) Buining","Santos, M.R.","Santos, M.R.","122","2011","07","14",NA,"Brasil","Minas Gerais","Itamarandiba","Campo rupestre.","-42.8588981628418","-17.8572006225586",NA,NA,NA,NA,NA,"Cilindrico, alongado a globoso, sobre areia ou rocha.","VIC039953","VIC039953","2011",NA,NA,"39586","auto","07","14",NA,NA,NA
"24","2020-03-10 08:29:14-03","UFV","VIC","34863","PreservedSpecimen","Plantae",NA,NA,"Mimosoideae","Calliandra","asplenioides","Calliandra asplenioides","(Nees) Benth. ex Jackson","Fernandes, J.M.","Fernandes, J.M.","1132","2009","11","05",NA,"Brasil","Minas Gerais","Itamarandiba","Entorno do Parque Estadual da Serra Negra, Campo rupestre.","-42.8588981628418","-17.8572006225586",NA,NA,NA,NA,NA,"Subarbusto; flores com filetes avermelhados.","VIC034863","VIC034863","2009",NA,NA,"39586","auto","11","05",NA,NA,NA
"25","2020-03-10 08:29:14-03","UFV","VIC","34867","PreservedSpecimen","Plantae",NA,NA,"Mimosoideae","Calliandra","asplenioides","Calliandra asplenioides","(Nees) Benth. ex Jackson","Fernandes, J.M.","Fernandes, J.M.","1131","2009","11","01",NA,"Brasil","Minas Gerais","Itamarandiba","Entorno do Parque Nacional da Serra Negra, Campo rupestre.","-42.8588981628418","-17.8572006225586",NA,NA,NA,NA,NA,"Subarbusto; flores com filetes avermelhados.","VIC034867","VIC034867","2009",NA,NA,"39586","auto","11","01",NA,NA,NA
"26","2020-03-10 08:29:20-03","UFV","VIC","36603","PreservedSpecimen","Plantae",NA,NA,"Mimosoideae","Inga","subnuda","Inga subnuda subnuda",NA,"Fernandes, J.M.","Fernandes, J.M.","1123","2009","11","04",NA,"Brasil","Minas Gerais","Itamarandiba","Parque Estadual da Serra Negra","-42.8588981628418","-17.8572006225586",NA,NA,NA,NA,NA,"Árvore de 13m alt.; Frutos secos.","VIC036603",NA,"2009","subnuda",NA,"39586","auto","11","04",NA,NA,NA
"27","2020-03-10 08:29:32-03","UFV","VIC","36536","PreservedSpecimen","Plantae",NA,NA,"Mimosoideae","Zapoteca","filipes","Zapoteca filipes","(Benth.) H.M. Hern.","Fernandes, J.M.","Fernandes, J.M.","1129","2009","11","05",NA,"Brasil","Minas Gerais","Itamarandiba","Parque Estadual da Serra Negra","-42.8588981628418","-17.8572006225586",NA,NA,NA,NA,NA,"Subarbusto 90 cm alt., filetes com a base branca e região terminal avermelhada.","VIC036536",NA,"2009",NA,NA,"39586","auto","11","05",NA,NA,NA
"28","2020-03-10 08:29:17-03","UFV","VIC","34860","PreservedSpecimen","Plantae",NA,NA,"Mimosoideae","Inga","edulis","Inga edulis","(Vell.) Mart.","Fernandes, J.M.","Fernandes, J.M.","1136","2009","11","05",NA,"Brasil","Minas Gerais","Itamarandiba","Parque Estadual da Serra Negra, Floresta Estacional Semidecidual.","-42.8588981628418","-17.8572006225586",NA,NA,NA,NA,NA,"Árvore, c.a. de 8,0 metros de altura; frutos desenvolvidos.","VIC034860","VIC034860","2009",NA,NA,"39586","auto","11","05",NA,NA,NA
"29","2020-03-10 08:28:23-03","UFV","VIC","6029","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Comanthera",NA,"Comanthera",NA,"Watanabe, M.","Silva, J.B.","578","1972","04","11",NA,"Brasil","Minas Gerais","Itamarandiba","Serra Negra","-42.8588981628418","-17.8572006225586",NA,NA,NA,NA,NA,"Planta lenhosa, cespitosa, pedúnculos até 40 cm., caule subterraneo alaranjado, muito frequente. Alt. 1,300 m.","VIC006029","VIC006029","2010",NA,NA,"39586","auto","11","24",NA,NA,NA
"30","2019-11-21 14:48:06-03","UFJF","CESJ","52039","PreservedSpecimen","Plantae","Angiosperma",NA,"Verbenaceae","Lippia","rhodocnemis","Lippia rhodocnemis","Mart. & Schauer","F.R.G. Salimena","F.R.G. Salimena; et al.","2532","2007","10","27","América do Sul","Brasil","Minas Gerais","Itamarandiba","Parque Estadual da Serra Negra","-42.701306","-17.991667","-42.701306","-17.991667","1107","1107",NA,"Campo rupestre, solo arenoso. Arbusto, ca. 1,5m.alt., flores passadas. Grande população.","CESJ052039",NA,"2007",NA,NA,NA,NA,"10",NA,NA,NA,NA
"31","2019-11-21 14:48:34-03","UFJF","CESJ","53080","PreservedSpecimen","Plantae","Angiosperma",NA,"Verbenaceae","Stachytarpheta",NA,"Stachytarpheta",NA,NA,"P.L. Viana; A.M. Teles; J.A.N.Batista; R.C. Mota","2729","2007","03","22","América do Sul","Brasil","Minas Gerais","Itamarandiba","Parque Estadual da Serra Negra, 18º00'50,61S, 42º43'83,46W. Alt. 1400m","-42.8588981628418","-17.8572006225586",NA,NA,NA,NA,NA,"Arbusto em transição campo rupestre/mata nebular.","CESJ053080",NA,NA,NA,NA,"39586","auto",NA,NA,NA,NA,NA
"32","2019-11-21 14:48:03-03","UFJF","CESJ","53078","PreservedSpecimen","Plantae","Angiosperma",NA,"Verbenaceae","Lippia","martiana","Lippia martiana","Shauer",NA,"P.L. Viana; A.M. Teles; J.A.N.Batista; R.C. Mota","2738","2007","03","22","América do Sul","Brasil","Minas Gerais","Itamarandiba","Parque Estadual da Serra Negra, 18º00'50,61S, 42º43'83,46W. Alt. 1410m","-42.8588981628418","-17.8572006225586",NA,NA,NA,NA,NA,"Arbusto,ca. 1m.alt., em campo rupestre. Flores brancas.","CESJ053078",NA,NA,NA,NA,"39586","auto",NA,NA,NA,NA,NA
"33","2019-11-21 14:31:41-03","UFJF","CESJ","52244","PreservedSpecimen","Plantae","Angiosperma",NA,"Asteraceae","Chronopappus","bifrons","Chronopappus bifrons","(DC. ex Pers.) DC.","A.M. Teles","A.M. Teles; et al.","362","2007","03","22","América do Sul","Brasil","Minas Gerais","Itamarandiba","Parque Estadual da Serra Negra, próx. da Torre","-42.8588981628418","-17.8572006225586",NA,NA,NA,NA,NA,"Arbusto ereto, ca. 2 m. Capítulos com flores lilás. Capítulos vistiados por beija-flores. Campo rupestre.","CESJ052244","CESJ052244","2007",NA,NA,"39586","auto","03","22",NA,NA,NA
"34","2019-08-20 10:03:39-03","UNICAMP","UEC","181226","S","Plantae","Magnoliopsida",NA,"Apocynaceae","Mandevilla","tenuifolia","Mandevilla tenuifolia","(J.C.Mikan) Woodson",NA,"Kotovski, ER; Gonçalves, DJP; Belinello, R","70","2012","02","26",NA,"Brazil","Minas Gerais","Itamarandiba","Serra do Ambrósio. Campo rupestre com solo arenoso branco","-43.106111","-18.168611","-43.106111","-18.168611",NA,NA,NA,"Arbusto ca 30cm alt., flor com corola avermelhada e roxa na porção interna dos lobos.","UEC042107","UEC042107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2020-02-10 17:55:36-03","UNICAMP","UEC","165898","S","Plantae","Magnoliopsida",NA,"Myrtaceae",NA,NA,NA,NA,NA,"Gonçalves, DJP; Kotovski, ER; Cota, MMT; Pereira, V","435","2012","01","26",NA,"Brazil","Minas Gerais","Itamarandiba","Parque Estadual de Serra Negra., Fazenda Sr. José Gidilina, indo pelo espinhaço da serra.","-43.461542","-18.137153","-43.461542","-18.137153",NA,NA,NA,"Árvore ca. 2,5m, cálice castanho, corola creme, estames creme.; Cerrado rupestre, carrasco, solo c/ pedras brancas.","UEC024511","UEC024511",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-02-10 17:55:17-03","UNICAMP","UEC","165904","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Tibouchina",NA,"Tibouchina","Aubl.",NA,"Gonçalves, DJP; Kotovski, ER; Cota, MMT; Pereira, V","426","2012","01","26",NA,"Brazil","Minas Gerais","Itamarandiba","Parque Estadual da Serra Negra, Fazenda Sr. José Gidilina, indo pelo espinhaço da Serra.","-43.474892","-18.114761","-43.474892","-18.114761",NA,NA,NA,"Arbusto ca. 1m. flores c/ corola lilás, verticilos reprodutivos brancos, conectivo com glândulas.; Cerrado Rupestre, carrasco solo de pedregoso avermelhado.","UEC024504","UEC024504",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2019-08-20 10:03:39-03","UNICAMP","UEC","181260","S","Plantae","Magnoliopsida",NA,"Apocynaceae","Mandevilla","tenuifolia","Mandevilla tenuifolia","(J.C.Mikan) Woodson",NA,"Kotovski, ER; Gonçalves, DJP; Pereira, V; Cota, MMT","13","2012","01","26",NA,"Brazil","Minas Gerais","Itamarandiba","Fazenda Sr. José Gidelina, pela Cadeia do Espinhaço da Serra Negra. Campo Rupestre com afloramento rochoso","-43.4775","-18.106667","-43.4775","-18.106667",NA,NA,NA,"Subarbusto ca.20cm alt., sepalas cor vinho, pétalas vinho adaxialmente, com margem avermelhada e lilas na porção abaxial. Frutos verdes e roxos.","UEC042110","UEC042110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2019-08-20 10:02:56-03","UNICAMP","UEC","181197","S","Plantae","Magnoliopsida",NA,"Apocynaceae","Asclepias",NA,"Asclepias",NA,NA,"Kotovski, ER; Gonçalves, DJP; Belinello, R","71","2012","02","26",NA,"Brazil","Minas Gerais","Itamarandiba","Serra do Ambrósio. Campo rupestre com solo arenoso branco","-43.106111","-18.168611","-43.106111","-18.168611",NA,NA,NA,"Liana. Botões florais com cálice verde e lobos cremes.","UEC042129","UEC042129",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2020-02-10 17:49:36-03","UNICAMP","UEC","165869","S","Plantae","Magnoliopsida",NA,"Asteraceae",NA,NA,NA,NA,NA,"Gonçalves, DJP; Kotovski, ER; Cota, MMT; Pereira, V","423","2012","01","26",NA,"Brazil","Minas Gerais","Itamarandiba","Parque Estadual de Serra Negra, Fazenda Sr Jose Gidilina, indo pelo espinhaço da serra.","-43.477425","-18.106783","-43.477425","-18.106783",NA,NA,NA,"Brácteas involucrais paleáceas, corola lilás, estilete lilás, arroxeado.; Camp rupestre, carrasco, solo de pedregoso a avermelhado.","UEC024499","UEC024499",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-02-10 17:49:36-03","UNICAMP","UEC","165870","S","Plantae","Magnoliopsida",NA,"Asteraceae",NA,NA,NA,NA,NA,"Gonçalves, DJP; Kotovski, ER; Pereira, V; Cota, MMT","422","2012","01","26",NA,"Brazil","Minas Gerais","Itamarandiba","Parque Estadual de Serra Negra, Fazenda Sr. José gidilina, indo pelo espinhaço da serra.","-43.477425","-18.106783","-43.477425","-18.106783",NA,NA,NA,"Arbusto ca. 0,6m, brácteas involucrais paleáceas, corola lilás, estigma e estilete brancos.; Cerrado rupestre, carrasco, solo de pedregoso a avermelhado.","UEC024500","UEC024500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2020-02-10 17:48:50-03","UNICAMP","UEC","165855","S","Plantae","Liliopsida",NA,"Commelinaceae","Commelina","obliqua","Commelina obliqua","Vahl","Pellegrini, MOO","Gonçalves, DJP; Kotovski, ER; Cota, MMT; Pereira, V","425","2011","01","26",NA,"Brazil","Minas Gerais","Itamarandiba","Parque Estadual da Serra Negra, Fazenda Sr. José Gidilina, indo pelo espinhaço da serra.","-43.474892","-18.114761","-43.474892","-18.114761",NA,NA,NA,"Erva ca. 10-40cm, rasteira, tépalas superiores azuis e inferior branca, estames amarelos.; Cerrado rupestre, carrasco, solo de pedregoso avermelhado.","UEC024501","UEC024501","2013",NA,NA,NA,NA,"09","20",NA,NA,NA
"42","2020-02-10 17:50:14-03","UNICAMP","UEC","165874","S","Plantae","Magnoliopsida",NA,"Asteraceae","Erechtites",NA,"Erechtites",NA,NA,"Gonçalves, DJP; Kotovski, ER; Cota, MMT; Pereira, V","434","2012","01","26",NA,"Brazil","Minas Gerais","Itamarandiba","Parque Estadual de Serra Negra, Fazenda Sr. José Gidilina, indo pelo espinhaço da serra.","-43.470753","-18.131617","-43.470753","-18.131617","1293","1293",NA,"Arbusto ca. 1,7m, brácteas involucrais roxas, corola lilás.; Cerrado rupestre, carrasco, solo c/ pedras brancas.","UEC024509","UEC024509",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2020-02-10 17:50:21-03","UNICAMP","UEC","178854","S","Plantae","Magnoliopsida",NA,"Asteraceae","Eremanthus","erythropappus","Eremanthus erythropappus","(A.DC.) MacLeish",NA,"Teixeira, VD","4","2013","08","01",NA,"Brazil","Minas Gerais","Itamarandiba","Fazenda do Senhor Geraldo Artur.","-42.920833","-18.013889","-42.920833","-18.013889",NA,NA,NA,"Árvore, ca. 50 m, tronco com fendas, parte da raiz exposta.; Campo de altitude.","UEC124883","UEC124883",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2019-08-20 10:03:26-03","UNICAMP","UEC","181254","S","Plantae","Magnoliopsida",NA,"Apocynaceae","Mandevilla",NA,"Mandevilla","Lindl.",NA,"Kotovski, ER; Gonçalves, DJP; Pereira, V; Cota, MMT","14","2012","01","26",NA,"Brazil","Minas Gerais","Itamarandiba","Fazenda Sr. José Gidelina, pela Cadeia do Espinhaço da Serra Negra. Remanescente de Mata Atlântica","-43.4775","-18.106667","-43.4775","-18.106667",NA,NA,NA,"Liana. Cálice rosado, corola rosada e amarela na região dos tricomas da fauce. Fruto imaturo verde rosado e marrom quando aberto.","UEC042120","UEC042120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2019-08-20 10:03:47-03","UNICAMP","UEC","181249","S","Plantae","Magnoliopsida",NA,"Apocynaceae","Oxypetalum","appendiculatum","Oxypetalum appendiculatum","Mart.","Schwarz, EA","Kotovski, ER; Gonçalves, DJP; Pereira, V; Cota, MMT","12","2012","01","26",NA,"Brazil","Minas Gerais","Itamarandiba","Fazenda Sr. José Gidelina, pela Cadeia do Espinhaço da Serra Negra. Campo Rupestre com afloramento rochoso (Carrasco)","-43.4775","-18.106667","-43.4775","-18.106667",NA,NA,NA,"Liana. Flor com sepalas e petalas verdes.","UEC042123","UEC042123","2016",NA,NA,NA,NA,"06","24",NA,NA,NA
"46","2020-02-10 17:57:34-03","UNICAMP","UEC","166180","S","Plantae","Magnoliopsida",NA,"Styracaceae","Styrax",NA,"Styrax",NA,"Semir, J","Gonçalves, DJP; Kotovski, ER; Cota, MMT; Pereira, V","427","2012","01","26",NA,"Brazil","Minas Gerais","Itamarandiba","Parque Estadual de Serra Negra, Fazenda Sr. José Gidilina, indo pelo espinhaço da serra.","-43.474675","-18.116411","-43.474675","-18.116411",NA,NA,NA,"Arbusto ca. 1,5m, cálice marrom, corola branca, estames amarelados, odor adocicado.; Cerrado rupestre, carrasco, solo c/ pedras brancas.","UEC024503","UEC024503","2013",NA,NA,NA,NA,"07",NA,NA,NA,NA
