"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","scientificName","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","specificEpithet","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","phylum","continentOcean","verbatimLongitude","verbatimLatitude","order","minimumElevationInMeters","maximumElevationInMeters","preparationType","individualCount","typeStatus"
"20","2018-08-17 11:51:00-03","JBB","HEPH","30026","S","Plantae","Asteraceae",NA,NA,"Fonseca, ML; Oliveira, FCA; Silva Filho, AP; Oliveira, VC","5966","2009","06","29","Brasil","Minas Gerais","Tocantins","Bacia do Tocantins, Sub-bacia do rio Palma(T4, área5, ponto 1a)","-46.97","-12.871667",NA,"Comum; Subarbusto, ca. 0,80 m de altura, folha cartáceas, discolores, flor com capítulo lilás; Cerrado sensu stricto/ cerradão semidecíduo",NA,NA,NA,NA,NA,NA,"2009","06","29","Dicotyledon","Southern America","-46.97","-12.871667","Asterales","563","563",NA,NA,NA
"21","2019-05-24 14:14:53-03","JBB","HEPH","20034","S","Plantae","Myrtaceae","Eugenia","Eugenia involucrata","Salles, AEH","2722","2003","11","21","Brasil","Minas Gerais","Tocantins",NA,"-53.5349","-5.2048",NA,"Carrasco Sampaio. Plano; Abundante; Com frutos vermelhos; Arenoso",NA,NA,NA,"involucrata","DC.","Rosa, PO","2019","02",NA,"Dicotyledon","Southern America","-53.5349","-5.2048","Myrtales","124","124",NA,NA,NA
"22","2019-05-02 10:53:06-03","IBt","SP-BRYOPHYTA","182337","S","Plantae","Erpodiaceae","Erpodium","Erpodium glazioui","Yano, O.; Pirani, J.R.","7263","1983","05","26","BRASIL","Minas Gerais","Tocantins","praça do Rosario","-43.017778","-21.175",NA,"sobre tronco de Ficus","SP083404",NA,NA,"glazioui","Hampe",NA,NA,NA,NA,NA,"Southern America","-43.017778","-21.175",NA,"360","360",NA,NA,NA
"23","2019-05-02 10:53:06-03","IBt","SP-BRYOPHYTA","182337","S","Plantae","Erpodiaceae","Erpodium","Erpodium glazioui","Yano, O.; Pirani, J.R.","7263","1983","05","26","BRASIL","Minas Gerais","Tocantins","praça do Rosario","-43.017778","-21.175",NA,"sobre tronco de Ficus","SP083404",NA,NA,"glazioui","Hampe",NA,NA,NA,NA,NA,"Southern America","-43.017778","-21.175",NA,"360","360",NA,NA,NA
"24","2019-05-02 10:53:06-03","IBt","SP-BRYOPHYTA","182341","S","Plantae","Erpodiaceae","Erpodium","Erpodium glazioui","Yano, O.; Pirani, J.R.","7267","1983","05","26","BRASIL","Minas Gerais","Tocantins","praça do Rosario","-43.017778","-21.175",NA,"sobre tronco vivo de Ligustrum","SP083408",NA,NA,"glazioui","Hampe",NA,NA,NA,NA,NA,"Southern America","-43.017778","-21.175",NA,"360","360",NA,NA,NA
"25","2019-05-02 10:53:06-03","IBt","SP-BRYOPHYTA","182341","S","Plantae","Erpodiaceae","Erpodium","Erpodium glazioui","Yano, O.; Pirani, J.R.","7267","1983","05","26","BRASIL","Minas Gerais","Tocantins","praça do Rosario","-43.017778","-21.175",NA,"sobre tronco vivo de Ligustrum","SP083408",NA,NA,"glazioui","Hampe",NA,NA,NA,NA,NA,"Southern America","-43.017778","-21.175",NA,"360","360",NA,NA,NA
"26","2019-05-02 10:53:11-03","IBt","SP-BRYOPHYTA","182339","S","Plantae","Fabroniaceae","Fabronia","Fabronia sp.","Yano, O.; Pirani, J.R.","7265","1983","05","26","BRASIL","Minas Gerais","Tocantins","praça do Rosario","-43.017778","-21.175",NA,"sobre tronco de Ficus","SP083406",NA,NA,"sp.",NA,NA,NA,NA,NA,NA,"Southern America","-43.017778","-21.175",NA,"360","360",NA,NA,NA
"27","2019-05-02 10:53:11-03","IBt","SP-BRYOPHYTA","182339","S","Plantae","Fabroniaceae","Fabronia","Fabronia sp.","Yano, O.; Pirani, J.R.","7265","1983","05","26","BRASIL","Minas Gerais","Tocantins","praça do Rosario","-43.017778","-21.175",NA,"sobre tronco de Ficus","SP083406",NA,NA,"sp.",NA,NA,NA,NA,NA,NA,"Southern America","-43.017778","-21.175",NA,"360","360",NA,NA,NA
"28","2019-05-02 10:53:11-03","IBt","SP-BRYOPHYTA","182340","S","Plantae","Fabroniaceae","Fabronia","Fabronia sp.","Yano, O.; Pirani, J.R.","7266","1983","05","26","BRASIL","Minas Gerais","Tocantins","praça do Rosario","-43.017778","-21.175",NA,"sobre tronco vivo de Dileniaceae","SP083407",NA,NA,"sp.",NA,NA,NA,NA,NA,NA,"Southern America","-43.017778","-21.175",NA,"360","360",NA,NA,NA
"29","2019-05-02 10:53:11-03","IBt","SP-BRYOPHYTA","182340","S","Plantae","Fabroniaceae","Fabronia","Fabronia sp.","Yano, O.; Pirani, J.R.","7266","1983","05","26","BRASIL","Minas Gerais","Tocantins","praça do Rosario","-43.017778","-21.175",NA,"sobre tronco vivo de Dileniaceae","SP083407",NA,NA,"sp.",NA,NA,NA,NA,NA,NA,"Southern America","-43.017778","-21.175",NA,"360","360",NA,NA,NA
