"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","class","typeStatus","dayIdentified","infraspecificEpithet","individualCount","relatedCatalogItem"
"1","2019-12-16 16:39:42-03","NYBG","NYBG","1017051","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Phlegmariurus","badinianus","Phlegmariurus badinianus","(B.Øllg. & P.G.Windisch) B.Øllg.","W. L. Testo","2017","11","D. M. Vital","11812","1984","09","16","South America","Brazil","Espírito Santo","Iúna","Parque Nacional do Caparao, along trail from Terreirão to the summit of Pico da Bandeira.","-41.72","-20.42","-41.72","-20.42","2350","2890","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1197195 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01017051","NY01017051",NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-16 18:36:00-03","NYBG","NYBG","555920","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","bowiei","Piper bowiei","Yunck.","R. Callejas Posada","1983",NA,"G. G. Hatschbach","31351","1973","02","07","South America","Brazil","Espírito Santo","Iúna","Iúna","-41.529023","-20.344181","-41.529023","-20.344181","800","1000","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=575455 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00555920","NY00555920",NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-16 18:36:51-03","NYBG","NYBG","557221","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","richardiifolium","Piper richardiifolium","Kunth","R. Callejas Posada","1983",NA,"G. G. Hatschbach","31355","1973","02","07","South America","Brazil","Espírito Santo","Iúna","Iúna","-41.529023","-20.344181","-41.529023","-20.344181","800","1000","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=684915 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00557221","NY00557221",NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-16 16:37:24-03","NYBG","NYBG","02589135","PreservedSpecimen","Plantae","Bryophyta",NA,"Polytrichaceae","Pogonatum","pensilvanicum","Pogonatum pensilvanicum","(Hedw.) P.Beauv.","J. Hyvönen","1989",NA,"D. M. Vital","11747","1984","09","16","South America","Brazil","Espírito Santo","Iúna","Parque Nacional do Caparaó, along trail from Terreirão to the summit of Pico da Bandeira","-41.72","-20.42","-41.72","-20.42","2350","2890","packeted","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2863288 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02589135",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-16 19:16:31-03","NYBG","NYBG","671902","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Pteris","propinqua","Pteris propinqua","J.Agardh","A. Sehnem",NA,NA,"G. G. Hatschbach","31353","1973","02","07","South America","Brazil","Espírito Santo","Iúna","Iuna.","-41.529023","-20.344181","-41.529023","-20.344181","800","1000","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=810346 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00671902","NY00671902",NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-16 19:16:31-03","NYBG","NYBG","812714","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Pteris","splendens","Pteris splendens","Kaulf.","A. Sehnem",NA,NA,"G. G. Hatschbach","31352","1973","02","07","South America","Brazil","Espírito Santo","Iúna","Iuna.","-41.529023","-20.344181","-41.529023","-20.344181","800","1000","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=807459 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00812714","NY00812714",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-16 16:33:31-03","NYBG","NYBG","02317041","PreservedSpecimen","Plantae","Bryophyta",NA,"Grimmiaceae","Racomitrium","crispipilum","Racomitrium crispipilum","(Taylor) A.Jaeger","H. Bednarek-Ochyra; R. Ochyra","1998",NA,"D. M. Vital","11787","1984","09","16","South America","Brazil","Espirito Santo","Iúna","Parque Nacional do Caparaó, along trail from Terreirão to the summit of Pico da Bandeira.","-41.72","-20.42","-41.72","-20.42","2350","2890","packeted","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2523702 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02317041",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-12-16 16:33:31-03","NYBG","NYBG","02317042","PreservedSpecimen","Plantae","Bryophyta",NA,"Grimmiaceae","Racomitrium","crispipilum","Racomitrium crispipilum","(Taylor) A.Jaeger","H. Bednarek-Ochyra; R. Ochyra","1998",NA,"D. M. Vital","11766","1984","09","16","South America","Brazil","Espirito Santo","Iúna","Parque Nacional do Caparaó, along trail from Terreirão to the summit of Pico da Bandeira.","-41.72","-20.42","-41.72","-20.42","2350","2890","packeted","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2523711 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02317042",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-12-16 16:34:07-03","NYBG","NYBG","2121397","PreservedSpecimen","Plantae","Bryophyta",NA,"Hedwigiaceae","Rhacocarpus","purpurascens","Rhacocarpus purpurascens","(Brid.) Paris",NA,NA,NA,"D. M. Vital","11770","1984","09","16","South America","Brazil","Espírito Santo","Iúna","Parque Nacional do Caparaó, along trail from Terreirão to the summit of Pico da Bandeira.","-41.72","-20.42","-41.72","-20.42","2350","2890","packeted","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2280777 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02121397","NY02121397",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-12-16 19:03:01-03","NYBG","NYBG","1579485","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","cladotrichum","Solanum cladotrichum","Vand. ex Dunal","J. R. Stehmann","2006",NA,"G. G. Hatschbach","31342","1973","02","07","South America","Brazil","Espírito Santo","Iúna",NA,"-41.529023","-20.344181","-41.529023","-20.344181","800","1000","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1786009 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01579485","NY01579485",NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-12-16 19:03:02-03","NYBG","NYBG","669845","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","cladotrichum","Solanum cladotrichum","Vand. ex Dunal","M. H. Nee","1996",NA,"G. G. Hatschbach","59701","1993","11","07","South America","Brazil","Espírito Santo","Iúna","Rod. BR-262, próximo ao trevo para Laranja da Terra.","-41.5356","-20.3458","-41.5356","-20.3458",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=731533 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00669845","NY00669845",NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-12-16 16:39:07-03","NYBG","NYBG","02683574","PreservedSpecimen","Plantae","Bryophyta",NA,"Sphagnaceae","Sphagnum","exquisitum","Sphagnum exquisitum","H.A.Crum","D. P. da Costa","2016","04","D. M. Vital","11815","1984","09","16","South America","Brazil","Espírito Santo","Iúna","Parque Nacional do Caparão, along trail from Terreirão to the summit of Pico da Bandeira.","-41.72","-20.42","-41.72","-20.42","2350","2890","packeted","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2957370 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02683574",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-12-16 16:39:08-03","NYBG","NYBG","02683579","PreservedSpecimen","Plantae","Bryophyta",NA,"Sphagnaceae","Sphagnum","platyphylloides","Sphagnum platyphylloides","Warnst.","D. P. da Costa","2016","04","D. M. Vital","11819","1984","09","16","South America","Brazil","Espírito Santo","Iúna","Parque Nacional do Caparão, along trail from Terreirão to the summit of Pico da Bandeira.","-41.72","-20.42","-41.72","-20.42","2350","2890","packeted","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2957375 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02683579",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-12-16 16:39:08-03","NYBG","NYBG","02683575","PreservedSpecimen","Plantae","Bryophyta",NA,"Sphagnaceae","Sphagnum","pseudoramulinum","Sphagnum pseudoramulinum","H.A.Crum","D. P. da Costa","2016","04","D. M. Vital","11761","1984","09","16","South America","Brazil","Espírito Santo","Iúna","Parque Nacional do Caparão, along trail from Terreirão to the summit of Pico da Bandeira.","-41.72","-20.42","-41.72","-20.42","2350","2890","packeted","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2957371 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02683575",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-12-16 18:20:16-03","NYBG","NYBG","01874735","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","foveolata","Leandra foveolata","Cogn.","M. Reginato; F. A. Michelangeli","2015","08","L. J.-C. Kollmann","12729","2013","05","30","South America","Brazil","Espírito Santo","Iuna","Serra do Valentin, Morro das antenas.","-41.5358009338379","-20.3458003997803",NA,NA,NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2704275 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01874735","NY01874735","32198","auto",NA,NA,NA,NA,NA,NA
"16","2019-12-16 16:37:25-03","NYBG","NYBG","892222","PreservedSpecimen","Plantae","Bryophyta",NA,"Polytrichaceae","Polytrichum","commune","Polytrichum commune","Hedw.","G. L. Smith",NA,NA,"D. M. Vital","11768","1984","09","16","South America","Brazil","Espírito Santo","Iúna","Parque Nacional do Caparaó, along trail from Terreirao to the summit of Pico da Bandeira","-41.72","-20.42","-41.72","-20.42","2350","2890","packeted","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966234 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00892222",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2019-12-16 16:36:04-03","NYBG","NYBG","2120607","PreservedSpecimen","Plantae","Bryophyta",NA,"Orthotrichaceae","Zygodon",NA,"Zygodon",NA,NA,NA,NA,"D. M. Vital","11759","1984","09","16","South America","Brazil","Espírito Santo","Iúna","Parque Nacional do Caparáo, along trail from Terreirão to the summit of Pico da Bandeira.","-41.72","-20.42","-41.72","-20.42","2350","2890","packeted","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2277919 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02120607","NY02120607",NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-12-16 16:39:08-03","NYBG","NYBG","02683581","PreservedSpecimen","Plantae","Bryophyta",NA,"Sphagnaceae","Sphagnum","platyphylloides","Sphagnum platyphylloides","Warnst.","D. P. da Costa","2016","04","D. M. Vital","11771","1984","09","16","South America","Brazil","Espírito Santo","Iúna","Parque Nacional do Caparão, along trail from Terreirão to the summit of Pico da Bandeira.","-41.72","-20.42","-41.72","-20.42","2350","2890","packeted","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2957376 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02683581",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2019-12-16 16:33:52-03","NYBG","NYBG","2121177","PreservedSpecimen","Plantae","Bryophyta",NA,"Hedwigiaceae","Hedwigidium","integrifolium","Hedwigidium integrifolium","(P.Beauv.) Dixon",NA,NA,NA,"D. M. Vital","11765","1984","09","16","South America","Brazil","Espírito Santo","Iúna","Parque Nacional do Caparaó, along trail from Terreirão to the summit of Pico da Bandeira.","-41.72","-20.42","-41.72","-20.42","2350","2890","packeted","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2280325 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02121177","NY02121177",NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-12-16 16:36:18-03","NYBG","NYBG","2120922","PreservedSpecimen","Plantae","Bryophyta",NA,"Orthotrichaceae","Zygodon","reinwardtii","Zygodon reinwardtii","(Hornsch.) A.Braun",NA,NA,NA,"D. M. Vital","11808","1984","09","16","South America","Brazil","Espírito Santo","Iúna","Parque Nacional do Caparaó, along trail from Terreirão to the summit of Pico da Bandeira.","-41.72","-20.42","-41.72","-20.42","2350","2890","packeted","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2279681 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02120922","NY02120922",NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-12-16 16:31:03-03","NYBG","NYBG","2084030","PreservedSpecimen","Plantae","Bryophyta",NA,"Bartramiaceae","Breutelia","microdonta","Breutelia microdonta","(Mitt.) Broth.","D. G. Griffin","1991","05","D. M. Vital","11769","1984","09","16","South America","Brazil","Espírito Santo","Iúna","Parque Nacional do Caparaó, along trail from Terreirão to the summit of Pico da Bandeira.","-41.72","-20.42","-41.72","-20.42","2350","2890","packeted","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2255352 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02084030","NY02084030",NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-12-16 19:09:20-03","NYBG","NYBG","685199","PreservedSpecimen","Plantae","Magnoliophyta","Zingiberales","Marantaceae","Stromanthe","tonckat","Stromanthe tonckat","(Aubl.) Eichler","H. Kennedy","1984",NA,"G. G. Hatschbach","31336","1973","02","07","South America","Brazil","Espírito Santo","Iúna",NA,"-41.529023","-20.344181","-41.529023","-20.344181","800","1000","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=887463 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00685199","NY00685199",NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-12-16 16:30:32-03","NYBG","NYBG","1834533","PreservedSpecimen","Plantae","Bryophyta",NA,"Andreaeaceae","Andreaea","rupestris","Andreaea rupestris","Hedw.",NA,NA,NA,"D. M. Vital","11754","1984","09","16","South America","Brazil","Espírito Santo","Iúna","Parque Nacional do Caparáo, along trail from Terreirão to the summit of Pico da Bandeira.","-41.72","-20.42","-41.72","-20.42","2350","2890","packeted","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2099824 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01834533","NY01834533",NA,NA,NA,NA,NA,NA,NA,NA
"24","2019-12-16 17:44:24-03","NYBG","NYBG","484102","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Aphelandra","claussenii","Aphelandra claussenii","Wassh.","D. C. Wasshausen","1973",NA,"G. G. Hatschbach","31349","1973","02","07","South America","Brazil","Espírito Santo","Iúna","Iuna","-41.529023","-20.344181","-41.529023","-20.344181","1080","1080","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=455361 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00484102","NY00484102",NA,NA,NA,NA,NA,NA,NA,NA
"25","2019-12-16 19:00:15-03","NYBG","NYBG","1551627","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Aureliana",NA,"Aureliana",NA,NA,NA,NA,"G. G. Hatschbach","31344","1973","02","07","South America","Brazil","Espírito Santo","Iúna",NA,"-41.529023","-20.344181","-41.529023","-20.344181","800","1000","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1226814 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01551627","NY01551627",NA,NA,NA,NA,NA,NA,NA,NA
"26","2019-12-16 19:13:09-03","NYBG","NYBG","814145","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Blechnaceae","Blechnum","plumieri","Blechnum plumieri","(Desv.) Mett.","A. Sehnem","1973",NA,"G. G. Hatschbach","31356","1969","06","10","South America","Brazil","Espírito Santo","Iúna","Iuna","-41.529023","-20.344181","-41.529023","-20.344181","800","1000","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=810475 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00814145","NY00814145",NA,NA,NA,NA,NA,NA,NA,NA
"27","2019-12-16 16:38:32-03","NYBG","NYBG","01197294","PreservedSpecimen","Plantae","Bryophyta",NA,"Seligeriaceae","Blindia","magellanica","Blindia magellanica","Schimp. ex Müll.Hal.","W. R. Buck",NA,NA,"D. M. Vital","11756A","1984","09","16","South America","Brazil","Espírito Santo","Iúna","Parque Nacional do Caparaó, along trail from Terreirão to the summit of Pico da Bandeira","-41.72","-20.42","-41.72","-20.42","2350","2890","packeted","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1408861 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01197294",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2019-12-16 17:06:22-03","NYBG","NYBG","2423148","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Cariniana","estrellensis","Cariniana estrellensis","(Raddi) Kuntze",NA,NA,NA,"M. Ribeiro","967","2014","01","09","South America","Brazil","Espírito Santo","Iúna","Beraba. Área de mata ciliar degradada ao lado de uma ponte na rodovia.","-41.5775","-20.4261","-41.5775","-20.4261","755","755","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2685361 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02423148","NY02423148",NA,NA,NA,NA,NA,NA,NA,NA
"29","2019-12-16 16:32:59-03","NYBG","NYBG","01914155","PreservedSpecimen","Plantae","Bryophyta",NA,"Ditrichaceae","Chrysoblastella","chilensis","Chrysoblastella chilensis","(Mont.) Reimers","R. H. Zander","1988",NA,"D. M. Vital","11773","1984","09","16","South America","Brazil","Espírito Santo","Iúna","Parque Nacional do Caparaó, along trail from Terreirao to the summit of Pico da Bandeira","-41.72","-20.42","-41.72","-20.42","2350","2890","packeted","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2142764 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01914155","NY01914155",NA,NA,NA,NA,NA,NA,NA,NA
"30","2019-12-16 19:09:02-03","NYBG","NYBG","1015222","PreservedSpecimen","Plantae","Magnoliophyta","Zingiberales","Marantaceae","Ctenanthe","lubbersiana","Ctenanthe lubbersiana","(E.Morren) Petersen ex Eichler","H. Kennedy","1984",NA,"G. G. Hatschbach","31354","1973","02","07","South America","Brazil","Espírito Santo","Iúna","Iuna.","-41.529023","-20.344181","-41.529023","-20.344181","800","1000","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1101923 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01015222","NY01015222",NA,NA,NA,NA,NA,NA,NA,NA
"31","2019-12-16 16:32:11-03","NYBG","NYBG","02032558","PreservedSpecimen","Plantae","Bryophyta",NA,"Daltoniaceae","Daltonia","gracilis","Daltonia gracilis","Mitt.",NA,NA,NA,"D. M. Vital","11791","1984","09","16","South America","Brazil","Espirito Santo","Iúna","Parque Nacional do Caparaó, along trail from Terreirão to the summit of Pico da Bandeira.","-41.72","-20.42","-41.72","-20.42","2350","2890","packeted","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2263853 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02032558",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2019-12-16 19:14:40-03","NYBG","NYBG","679043","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Hypodematiaceae","Didymochlaena","truncatula","Didymochlaena truncatula","(Sw.) J.Sm.","A. Sehnem","1973",NA,"G. G. Hatschbach","31358","1972","02","07","South America","Brazil","Espírito Santo","Iuna","Iunas.","-41.529023","-20.344181","-41.529023","-20.344181","800","1000","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=813201 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00679043","NY00679043",NA,NA,NA,NA,NA,NA,NA,NA
"33","2019-12-16 19:14:40-03","NYBG","NYBG","679044","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Hypodematiaceae","Didymochlaena","truncatula","Didymochlaena truncatula","(Sw.) J.Sm.","A. Sehnem","1973",NA,"G. G. Hatschbach","31358","1972","02","07","South America","Brazil","Espírito Santo","Iuna","Iunas.","-41.529023","-20.344181","-41.529023","-20.344181","800","1000","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=813205 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00679044","NY00679044",NA,NA,NA,NA,NA,NA,NA,NA
"34","2019-12-16 19:14:40-03","NYBG","NYBG","679045","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Hypodematiaceae","Didymochlaena","truncatula","Didymochlaena truncatula","(Sw.) J.Sm.","A. Sehnem","1973",NA,"G. G. Hatschbach","31358","1972","02","07","South America","Brazil","Espírito Santo","Iuna","Iunas.","-41.529023","-20.344181","-41.529023","-20.344181","800","1000","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=813206 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00679045","NY00679045",NA,NA,NA,NA,NA,NA,NA,NA
"35","2019-12-16 16:33:14-03","NYBG","NYBG","1837279","PreservedSpecimen","Plantae","Bryophyta",NA,"Fissidentaceae","Fissidens","crispus","Fissidens crispus","Mont.","R. A. Pursell","1992","11","D. M. Vital","11758","1984","09","16","South America","Brazil","Espírito Santo","Iúna","Parque Nacional do Caparáo, along trail from Terreirão to the summit of Pico da Bandeira.","-41.72","-20.42","-41.72","-20.42","2350","2890","packeted","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2127890 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01837279","NY01837279",NA,NA,NA,NA,NA,NA,NA,NA
"36","2019-12-16 16:33:52-03","NYBG","NYBG","2121180","PreservedSpecimen","Plantae","Bryophyta",NA,"Hedwigiaceae","Hedwigidium","integrifolium","Hedwigidium integrifolium","(P.Beauv.) Dixon",NA,NA,NA,"D. M. Vital","11754B","1984","09","16","South America","Brazil","Espírito Santo","Iúna","Parque Nacional do Caparao, along trail from Terreirao to the summit of Pica da Bandeira.","-41.72","-20.42","-41.72","-20.42","2350","2890","packeted","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2280328 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02121180","NY02121180",NA,NA,NA,NA,NA,NA,NA,NA
"37","2019-12-16 16:25:54-03","NYBG","NYBG","01197350","PreservedSpecimen","Fungi","Ascomycota","Lecanorales","Parmeliaceae","Hypotrachyna","subpustulifera","Hypotrachyna subpustulifera",NA,NA,NA,NA,"D. M. Vital","11784","1984","09","16","South America","Brazil","Espírito Santo","Iúna","Parque Nacional do Caparaó, along trail from Terreirao to the summit of Pico da Bandeira","-41.72","-20.42","-41.72","-20.42","2350","2890","packeted","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1410086 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01197350",NA,NA,NA,"Lecanoromycetes",NA,NA,NA,NA,NA
"38","2019-12-16 17:48:08-03","NYBG","NYBG","00499726","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Hyptidendron","asperrimum","Hyptidendron asperrimum","(Spreng.) Harley",NA,NA,NA,"G. G. Hatschbach","45155","1982","07","21","South America","Brazil","Espírito Santo","Iúna","Rod. BR-262","-41.5356","-20.3458","-41.5356","-20.3458",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=176509 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00499726","NY00499726",NA,NA,NA,NA,NA,NA,NA,NA
"39","2019-12-16 16:37:09-03","NYBG","NYBG","892219","PreservedSpecimen","Plantae","Bryophyta",NA,"Polytrichaceae","Itatiella","ulei","Itatiella ulei","(Broth.) G.L.Sm.",NA,NA,NA,"D. M. Vital","11764","1984","09","16","South America","Brazil","Espírito Santo","Iúna","Parque Nacional do Caparaó, along trail from Terreirao to the summit of Pico da Bandeira","-41.72","-20.42","-41.72","-20.42","2350","2890","packeted","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966226 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00892219",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2019-12-16 16:37:09-03","NYBG","NYBG","892216","PreservedSpecimen","Plantae","Bryophyta",NA,"Polytrichaceae","Itatiella","ulei","Itatiella ulei","(Broth.) G.L.Sm.","G. L. Smith",NA,NA,"D. M. Vital","11756","1984","09","16","South America","Brazil","Espírito Santo","Iúna","Parque Nacional do Caparaó, along trail from Terreirao to the summit of Pico da Bandeira","-41.72","-20.42","-41.72","-20.42","2350","2890","packeted","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966221 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00892216",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2019-12-16 16:37:09-03","NYBG","NYBG","892215","PreservedSpecimen","Plantae","Bryophyta",NA,"Polytrichaceae","Itatiella","ulei","Itatiella ulei","(Broth.) G.L.Sm.","G. L. Smith",NA,NA,"D. M. Vital","11746","1984","09","16","South America","Brazil","Espírito Santo","Iúna","Parque Nacional do Caparaó, along trail from Terreirao to the summit of Pico da Bandeira","-41.72","-20.42","-41.72","-20.42","2350","2890","packeted","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966218 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00892215",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2019-12-16 18:19:59-03","NYBG","NYBG","478190","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","amplexicaulis","Leandra amplexicaulis","DC.","J. J. Wurdack","1973",NA,"G. G. Hatschbach","31347","1973","01","01","South America","Brazil","Espírito Santo","Iúna","Iúna","-41.529023","-20.344181","-41.529023","-20.344181","800","1000","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=551143 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00478190","NY00478190",NA,NA,NA,NA,NA,NA,NA,NA
"43","2019-12-16 18:19:59-03","NYBG","NYBG","478252","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","bergiana","Leandra bergiana","Cogn.","J. J. Wurdack","1973",NA,"G. G. Hatschbach","31341","1973","01","01","South America","Brazil","Espírito Santo","Iúna","Iúna","-41.529023","-20.344181","-41.529023","-20.344181","800","1000","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=225658 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00478252","NY00478252",NA,NA,NA,NA,NA,NA,NA,NA
