"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","class","order","relatedCatalogItem"
"20","2019-10-02 15:03:17-03","UFMG","BHCB","186148","PreservedSpecimen","Plantae","Dicotyledon","Sapotaceae","Pouteria",NA,"Pouteria",NA,NA,NA,NA,NA,"Gontijo, FD","519","2014","11","13","Southern America","Brasil","Minas Gerais","Carmésia",NA,"-43.244914","-19.889775","-43.244914","-19.889775","Arbóreo; Frutificação; Latex branco, em grande volume. Altura 7m, beira de estrada.; Floresta estacional semidecidual","BHCB186148",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-10-02 14:52:34-03","UFMG","BHCB","186147","PreservedSpecimen","Plantae","Dicotyledon","Cucurbitaceae","Psiguria","warmingiana","Psiguria warmingiana","(Cogn.) C.Jeffrey",NA,NA,NA,NA,"Gontijo, FD","517","2014","11","13","Southern America","Brasil","Minas Gerais","Carmésia",NA,"-43.244914","-19.889775","-43.244914","-19.889775","Escandente; Floração; Flores rosas, em beira de córrego. Altura 0,20m; Floresta estacional semidecidual","BHCB186147",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-10-02 14:48:55-03","UFMG","BHCB","185941","PreservedSpecimen","Plantae","Dicotyledon","Apocynaceae","Tabernaemontana","hystrix","Tabernaemontana hystrix","Steud.",NA,NA,NA,NA,"Gontijo, FD","322","2014","10","02","Southern America","Brasil","Minas Gerais","Carmésia",NA,"-43.195381","-19.982728","-43.195381","-19.982728","Arbóreo; Floração; Beira de Estrada/Pastagem. Flores brancas, altura 5m; Floresta estacional semidecidual","BHCB185941",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-10-02 14:51:09-03","UFMG","BHCB","47560","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Vernonia","scorpioides","Vernonia scorpioides","Pers.(Lam.)",NA,NA,NA,NA,"Stehmann, JR","2535","1999","05","30","Southern America","Brasil","Minas Gerais","Carmésia","Arredores da aldeia pataxós.","-43.119444","-19.038056","-43.119444","-19.038056","Plantas do Brasil. Arbustivo, ca. 1m. Flores violáceas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2019-10-02 15:01:28-03","UFMG","BHCB","69201","PreservedSpecimen","Plantae","Dicotyledon","Piperaceae","Peperomia","elongata","Peperomia elongata","Kunth",NA,"2011","06",NA,"Duarte, AP; et al.","s.n.","1950","09","17","Southern America","Brasil","Minas Gerais","Carmésia","Entre Viamão e Ferros, ca. 300m.","-43.1417007446289","-19.0888996124268",NA,NA,"Planta de formação ripária rupestre em rocha sujeita ao regime de umidade do rio.; Planta de formação riparia rupestre em rocha sujeita ao regime de umidade do rio.","BHCB009006",NA,"15443","auto",NA,NA,NA,NA,NA,NA
"25","2020-03-11 09:00:16-03","URCA","HCDAL","293","PreservedSpecimen","Plantae",NA,"Asteraceae","Eupatorium","odoratum","Eupatorium odoratum","L.","Barroso, G.M.","1982","06","28","Almeida, E.F.","212","1982","05","21",NA,"Brasil","Minas Gerais","Carmésia","Estrada Carmésia/Morro do Pilar, a 18 km a morro do Pilar.","-43.316667","-19.133333","-43.316667","-19.133333","Arbusto de mais ou menos 1m de altura; muito ramificado e florido; capítulos lilás-azulados. Frequente. Solo argiloso.; Floresta Estacional Semidecidual.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2019-10-07 09:23:41-03","UEFS","HUEFS","7199","PreservedSpecimen","Plantae","Angiospermae","Ranunculaceae","Clematis","dioica","Clematis dioica","L.",NA,NA,NA,NA,"Pinto, G.C.P.","6982","1982","05","21",NA,"Brasil","Minas Gerais","Carmésia",NA,"-43.316667","-19.133333","43W19'","19S8'",NA,"HUEFS0007199","HUEFS0007199",NA,NA,NA,NA,NA,"Ranunculanae","Ranunculales",NA
"27","2019-10-07 09:34:13-03","UEFS","HUEFS","15236","PreservedSpecimen","Plantae","Angiospermae","Melastomataceae","Comolia",NA,"Comolia",NA,NA,NA,NA,NA,"Bautista, H.P.","586","1982","05","21",NA,"Brasil","Minas Gerais","Carmésia",NA,"-43.166667","-19.1","43W10'","19S6'",NA,"HUEFS0015236","HUEFS0015236",NA,NA,NA,NA,NA,"Rosanae","Myrtales",NA
"28","2019-10-07 09:34:04-03","UEFS","HUEFS","15128","PreservedSpecimen","Plantae","Angiospermae","Melastomataceae",NA,NA,NA,NA,NA,NA,NA,NA,"Pinto, G.C.P.","7182","1982","05","21",NA,"Brasil","Minas Gerais","Carmésia",NA,"-43.316667","-19.133333","43W19'","19S8'",NA,"HUEFS0015128","HUEFS0015128",NA,NA,NA,NA,NA,"Rosanae","Myrtales",NA
"29","2019-10-07 09:23:09-03","UEFS","HUEFS","7828","PreservedSpecimen","Plantae","Angiospermae","Lauraceae","Ocotea","tabacifolia","Ocotea tabacifolia","(Meisn.) Rohwer","P.Moraes","2008","09",NA,"Almeida, E.de F.","210","1982","05","21",NA,"Brasil","Minas Gerais","Carmésia",NA,"-43.166667","-19.1","43W10'","19S6'",NA,"HUEFS0007828","HUEFS0007828",NA,NA,NA,NA,NA,"Magnolianae","Laurales",NA
"30","2020-03-19 10:55:44-03","UEFS","HUEFS","231072","PreservedSpecimen","Plantae","Angiospermae","Leguminosae Subfam. Papilionoideae","Platypodium","elegans","Platypodium elegans","Vogel",NA,NA,NA,NA,"Gontijo, F.D.","321","2014","10","02",NA,"Brasil","Minas Gerais","Carmésia",NA,"-43.209722",NA,"43W12'35''","19S44'78''","Floresta estacional semidecidual.","HUEFS0231072",NA,NA,NA,"718","718",NA,"Rosanae","Fabales",NA
"31","2019-10-07 09:13:47-03","UEFS","HUEFS","231079","PreservedSpecimen","Plantae","Angiospermae","Apocynaceae","Tabernaemontana","hystrix","Tabernaemontana hystrix","Steud.",NA,NA,NA,NA,"Gontijo, F.D.","322","2014","10","02",NA,"Brasil","Minas Gerais","Carmésia","Beira de estrada/pastagem.","-43.195278","-19.982778","43W11'43''","19S58'58''","Floresta estacional semidecidual.","HUEFS0231079","HUEFS0231079",NA,NA,"587","587",NA,"Asteranae","Gentianales",NA
"32","2018-12-03 11:31:27-02","CEPLAC","CEPEC","42197","S","Plantae",NA,"Ranunculaceae","Clematis","brasiliana","Clematis brasiliana",NA,"M. O. O. Pellegrini",NA,NA,NA,"G. C. P. Pinto","69","1982","05","21",NA,"Brasil","Minas Gerais","carmesia","Na estrada Cramésia/Morro do Pilar a 18Km de Morro do Pilar.","-43.316667","-19.133333","43W19'","19S8'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17/11/2015"
"33","2019-11-07 11:21:13-03","UFMG","BHCB-SL","69220","PreservedSpecimen","Plantae",NA,"Thelypteridaceae","Amauropelta","saxicola","Amauropelta saxicola","(Sw.) Salino & T.E.Almeida","Paixão, LC","2012","06",NA,"Duarte, AP","3222","1950","09","17","América","Brasil","Minas Gerais","Carmésia","Zona da mata, entre Viamão e Ferros.","-43.1417007446289","-19.0888996124268",NA,NA,"Planta remanescente de formação primária em rochas imersas dentro do rio.",NA,NA,"15443","auto","250","250",NA,NA,NA,NA
"34","2016-09-19 16:21:01-03","UnB","UB","171463","S","Plantae","Dicotyledoneae","Solanaceae","Solanum","lycocarpum","Solanum lycocarpum","A.St.-Hil.",NA,NA,NA,NA,"Stehmann, JR","2539","1999","05","30","Southern America","Brasil","Minas Gerais","Carmésia","Arredores da aldeia pataxós.","-43.119444","-19.038056","-43.119444","-19.038056","Arbusto, ca. 2.5m de altura; flores com corola violácea.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2016-09-19 16:04:01-03","UnB","UB","128122","S","Plantae","Dicotyledoneae","Fabaceae","Senna","alata","Senna alata","(L.) Roxb.","Pinto, GCP","1982",NA,NA,"Almeida, EF","209","1982","05","21","Southern America","Brasil","Minas Gerais","Carmésia","8km após Carmésia, na estrada Carmésia/Morro do Pilar","-43.1417007446289","-19.0888996124268",NA,NA,"Flores amarelas; frutos alados.; Arbusto.",NA,NA,"15443","auto",NA,NA,NA,NA,NA,NA
"36","2020-03-02 13:41:29-03","UFSC","FLOR","46635","PreservedSpecimen","Plantae",NA,"Asteraceae","Chromolaena","odorata","Chromolaena odorata","(L.) R.M.King & H.Rob.","Barroso, G.M.","1982","06","28","Almeida, E.F.","212","1982","05","21",NA,"Brasil","Minas Gerais","Carmésia","Na estrada Carmésia/Morro do Pilar, a 18 km a Morro do Pilar, solo argiloso.","-43.316667","-19.133333","43º19'W","19º8'S","arbusto muito ramificado, flor capítulo lilás-azulados, 1m altura","FLOR0046635","FLOR0046635",NA,NA,NA,NA,NA,NA,"Asterales",NA
