"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","yearIdentified","monthIdentified","dayIdentified","infraspecificEpithet","class"
"71","2020-03-04 11:49:22-03","UFRJ","RFA","26119","Preservedecimen","Plantae",NA,NA,"Fabaceae","Inga",NA,"Inga",NA,"F.M.B. Pereira",NA,"2000","12","16",NA,"Brasil","Minas Gerais","São Pedro dos Ferros","Fazenda Sossego","-42.525556","-20.209722",NA,NA,"Árvore 6 m de altura, 11 cm de DAP; folha verde, fruto verde, rara no local","RFA39720",NA,NA,"42º31'32''W","20º12'35''S","480","480",NA,NA,NA,NA,NA,NA
"72","2020-03-04 11:48:51-03","UFRJ","RFA","26133","Preservedecimen","Plantae",NA,NA,"Caricaceae","Jacaratia","spinosa","Jacaratia spinosa","(Aubl.) A.DC.","F.M.B. Pereira",NA,"2000","12","17",NA,"Brasil","Minas Gerais","São Pedro dos Ferros","Fazenda Sossego.","-42.506111","-20.233333",NA,NA,"Árvore, 6m de altura, 16cm de DAP, folha verde, fruto verde, comum no local.","RFA35452",NA,NA,"42º30'22''W","20º14'0''S","490","490","C.M. Vieira","2001","04","10",NA,NA
"73","2020-03-04 11:49:29-03","UFRJ","RFA","26069","Preservedecimen","Plantae",NA,NA,"Lamiaceae",NA,NA,NA,NA,"F. M. de B. Pereira",NA,"2000","12","13",NA,"Brasil","Minas Gerais","São Pedro dos Ferros","Fazenda Sossego.","-42.516389","-22.199167",NA,NA,"Herbáceo, flor rosa, comum no local.","RFA38295",NA,NA,"42º30'59''W","22º11'57''S","444","444",NA,NA,NA,NA,NA,NA
"74","2020-03-04 11:49:35-03","UFRJ","RFA","25898","Preservedecimen","Plantae",NA,NA,"Lecythidaceae","Lecythis","lurida","Lecythis lurida","(Miers) S.A.Mori","Alexandre Quinet","20668","2000","12","07",NA,"Brasil","Minas Gerais","São Pedro dos Ferros",NA,"-42.528056","-20.204722",NA,NA,"Árvore, 8m de altura, 16cm de DAP, flores rosas, folha verde discolor, rara no local.","RFA38894",NA,NA,"42º31'41''W","20º12'17''S","465","465","M. Ribeiro","2016","07","14",NA,NA
"75","2020-03-04 11:49:22-03","UFRJ","RFA","25912","Preservedecimen","Plantae",NA,NA,"Fabaceae","Lonchocarpus","cultratus","Lonchocarpus cultratus","(Vell.) A.M.G.Azevedo & H.C.Lima","Alexandre Quinet",NA,"2000","12","09",NA,"Brasil","Minas Gerais","São Pedro dos Ferros",NA,"-42.519444","-20.201111",NA,NA,"Árvore, 9m de altura, 15cm de DAP, flores verdes, folha verde discolor, comum no local.","RFA40362",NA,NA,"42º31'10''W","20º12'4''S","492","492","H. C. de Lima & L. F. G. da Silva","2001","12","17",NA,NA
"76","2020-03-04 11:49:22-03","UFRJ","RFA","25922","Preservedecimen","Plantae",NA,NA,"Fabaceae","Lonchocarpus","cultratus","Lonchocarpus cultratus","(Vell.) A.M.G.Azevedo & H.C.Lima","Alexandre Quinet",NA,"2000","12","09",NA,"Brasil","Minas Gerais","São Pedro dos Ferros",NA,"-42.5225","-20.203611",NA,NA,"Árvore, 16m de altura, 31cm de DAP, flores roxas, folha verde discolor, comum no local","RFA40364",NA,NA,"42º31'21''W","20º12'13''S","492","492","H. C. de Lima & L. F. G. da Silva","2001","12","17",NA,NA
"77","2020-03-04 11:49:22-03","UFRJ","RFA","25923","Preservedecimen","Plantae",NA,NA,"Fabaceae","Lonchocarpus","cultratus","Lonchocarpus cultratus","(Vell.) A.M.G.Azevedo & H.C.Lima","Alexandre Quinet",NA,"2000","12","09",NA,"Brasil","Minas Gerais","São Pedro dos Ferros",NA,"-42.5225","-20.203611",NA,NA,"Árvore, 9m de altura, 13cm de DAP, flores brancas, folha verde discolor, comum no local","RFA40365",NA,NA,"42º31'21''W","20º12'13''S","484","484","H. C. de Lima & L. F. G. da Silva","2002","02","17",NA,NA
"78","2020-03-04 11:49:48-03","UFRJ","RFA","25911","Preservedecimen","Plantae",NA,NA,"Moraceae","Maclura","tinctoria","Maclura tinctoria","(Griseb.) Vázq.Avila","Alexandre Quinet",NA,"2000","12","09",NA,"Brasil","Minas Gerais","São Pedro dos Ferros",NA,"-42.527778",NA,NA,NA,"Árvore, 10 m de altura, 16cm de DAP, folha verde discolor, comum no local","RFA41830",NA,NA,"42º31'40''W","20º12'78''S","492","492","C. M. Vieira","2001","11","02",NA,NA
"79","2020-03-04 11:49:36-03","UFRJ","RFA","26120","Preservedecimen","Plantae",NA,NA,"Malvaceae",NA,NA,NA,NA,"F.M.B. Pereira",NA,"2000","12","16",NA,"Brasil","Minas Gerais","São Pedro dos Ferros","Fazenda Sossego","-42.525556","-20.209722",NA,NA,"Árvore 10 m de altura, 18 cm de DAP, folha verde, fruto marrom, rara no local","RFA37086",NA,NA,"42º31'32''W","20º12'35''S","480","480",NA,NA,NA,NA,NA,NA
"80","2020-03-04 11:49:48-03","UFRJ","RFA","25894","Preservedecimen","Plantae",NA,NA,"Myrtaceae","Marlierea","tomentosa","Marlierea tomentosa","Cambess.","Alexandre Quinet","20546","2000","12","07",NA,"Brasil","Minas Gerais","São Pedro dos Ferros",NA,"-42.53","-20.2075",NA,NA,"Árvore, 9 m de altura, 19 cm de DAP, flores amarelas, folha verde discolor, comum no local.","RFA42106",NA,NA,"42º31'48''W","20º12'27''S","491","491","G. M. Barroso","2001","12","20",NA,NA
