"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","scientificName","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","specificEpithet","scientificNameAuthorship"
"1","2019-12-06 15:10:57-03","MBM","MBM","418838","S","Plantae","Onagraceae","Ludwigia","Ludwigia","Marinero, F.","2019","03","29","Marinero, F.; Nardin, E.C.; Nardin, E.C.","1098","2018","11","24","Southern America","Brazil","Minas Gerais","Fernandes Tourinho","Rio Doce, ao lado da balsa","-42.151111","-19.096389","-42.151111","-19.096389","182","182","MBM418838",NA,NA
"2","2019-12-06 14:44:21-03","MBM","MBM","418839","S","Plantae","Euphorbiaceae","Cnidoscolus","Cnidoscolus aculeatissimus","Marinero, F.; Barboza, E.","2019","05","15","Marinero, F.; Nardin, E.C.; Nardin, E.C.","1099","2018","11","26","Southern America","Brazil","Minas Gerais","Fernandes Tourinho","Rio Doce","-42.137778","-19.075556","-42.137778","-19.075556","192","192","MBM418839","aculeatissimus","(Mart.) Fdez. Casas"
