"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","individualCount","order","recordNumber","year","month","day","continentOcean","preparationType","barcode","imagecode","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","typeStatus"
"77","2019-10-02 14:51:09-03","UFMG","BHCB","16962","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Vernonia","tweediana","Vernonia tweediana","Baker",NA,NA,NA,NA,"Sousa, HC de; et al.","Brasil","Minas Gerais","Rio Piracicaba","Mineração Morro Agudo.","-43.1741981506348","-19.92919921875","17919","Capoeira nos primeiros estágios de regeneração. Bastante frequente. Arbustivo.","auto",NA,NA,"s.n.","1989","06","22","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","2019-10-02 14:57:03-03","UFMG","BHCB","16973","PreservedSpecimen","Plantae","Dicotyledon","Melastomataceae","Miconia",NA,"Miconia","Ruiz & Pav.",NA,NA,NA,NA,"Souza, HC; et al.","Brasil","Minas Gerais","Rio Piracicaba","Mineração Morro Agudo.","-43.1741981506348","-19.92919921875","17919",NA,"auto",NA,NA,"s.n.","1989","06","22","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","2019-10-02 14:55:23-03","UFMG","BHCB","16966","PreservedSpecimen","Plantae","Dicotyledon","Lauraceae","Ocotea",NA,"Ocotea","Aubl.",NA,NA,NA,NA,"Souza, HC; et al.","Brasil","Minas Gerais","Rio Piracicaba","Mineração Morro Agudo.","-43.1741981506348","-19.92919921875","17919","Árvore de +/- 6,5m de altura, planta com frutos apenas; Mata secundária","auto",NA,NA,"s.n.","1989","06","22","Southern America",NA,"BHCB045784",NA,NA,NA,NA,NA,NA,NA
"80","2019-10-02 15:04:47-03","UFMG","BHCB","16968","PreservedSpecimen","Plantae","Dicotyledon","Turneraceae","Turnera","cipoensis","Turnera cipoensis","Arbo",NA,"2013","07","02","Souza, HC","Brasil","Minas Gerais","Rio Piracicaba","Mineração Morro Agudo.","-43.1741981506348","-19.92919921875","17919","Capoeira, arbustivo; Arbustivo.; Capoeira.","auto",NA,NA,"s.n.","1989","06","23","Southern America",NA,"BHCB004024",NA,NA,NA,NA,NA,NA,NA
"81","2019-10-02 14:50:37-03","UFMG","BHCB","17059","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Piptocarpha",NA,"Piptocarpha","R. Br.",NA,NA,NA,NA,"Souza, HC de","Brasil","Minas Gerais","Rio Piracicaba","Mineração Morro Agudo.","-43.1741981506348","-19.92919921875","17919","Capoeira alta; mata secundária. Arvoreta.","auto",NA,NA,"s.n.",NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","2019-10-02 14:55:23-03","UFMG","BHCB","16966","PreservedSpecimen","Plantae","Dicotyledon","Lauraceae","Ocotea",NA,"Ocotea","Aubl.",NA,NA,NA,NA,"Souza, HC; et al.","Brasil","Minas Gerais","Rio Piracicaba","Mineração Morro Agudo.","-43.1741981506348","-19.92919921875","17919",NA,"auto",NA,NA,"s.n.","1989","06","22","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","2019-10-02 15:04:16-03","UFMG","BHCB","16783","PreservedSpecimen","Plantae","Dicotyledon","Solanaceae","Solanum","granulosoleprosum","Solanum granulosoleprosum","Dunal",NA,NA,NA,NA,"Souza, HC; et al.","Brasil","Minas Gerais","Rio Piracicaba","Mineração Morro Agudo, Salitre.","-43.1741981506348","-19.92919921875","17919","Capoeira; Arbustivo; Sem informações.","auto",NA,NA,"s.n.","1989","06","23","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","2019-10-02 14:56:47-03","UFMG","BHCB","17009","PreservedSpecimen","Plantae","Dicotyledon","Melastomataceae","Comolia","stenodon","Comolia stenodon","(Naudin) Triana",NA,NA,NA,NA,"Souza, HC de","Brasil","Minas Gerais","Rio Piracicaba","Min. Morro Agudo (Sanitri)","-43.1741981506348","-19.92919921875","17919","capoeira GM ca de 900m","auto",NA,NA,"s.n.","1989","06","23","Southern America",NA,NA,NA,NA,NA,"900","900",NA,NA
"85","2019-10-02 14:54:39-03","UFMG","BHCB","17168","PreservedSpecimen","Plantae","Dicotyledon","Fabaceae","Senna","reniformis","Senna reniformis","(G.Don) H.S.Irwin & Barneby",NA,NA,NA,NA,"Souza, HC","Brasil","Minas Gerais","Rio Piracicaba","Morro Agudo.","-43.1741981506348","-19.92919921875","17919",NA,"auto",NA,NA,"s.n.","1989","06","27","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","2019-10-02 14:50:00-03","UFMG","BHCB","16971","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Eremanthus","erythropappus","Eremanthus erythropappus","(DC.) MacLeish",NA,"1995","11",NA,"Sousa, HC de","Brasil","Minas Gerais","Rio Piracicaba","Morro Agudo.","-43.1741981506348","-19.92919921875","17919","Arvoreta de 4m. Flores em botão.; Mata de candeia.","auto",NA,NA,"s.n.","1989","06","22","Southern America",NA,"BHCB051537",NA,NA,NA,NA,NA,NA,NA
"87","2019-10-02 14:54:39-03","UFMG","BHCB","17168","PreservedSpecimen","Plantae","Dicotyledon","Fabaceae","Senna","reniformis","Senna reniformis","(G.Don) H.S.Irwin & Barneby",NA,NA,NA,NA,"Souza, HC","Brasil","Minas Gerais","Rio Piracicaba","Morro Agudo.","-43.1741981506348","-19.92919921875","17919",NA,"auto",NA,NA,"s.n.","1989","06","27","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","2019-10-02 14:55:48-03","UFMG","BHCB","17159","PreservedSpecimen","Plantae","Dicotyledon","Lythraceae","Lafoensia",NA,"Lafoensia",NA,NA,NA,NA,NA,"Souza, HC","Brasil","Minas Gerais","Rio Piracicaba","Morro Agudo.","-43.1741981506348","-19.92919921875","17919",NA,"auto",NA,NA,"s.n.","1989","06","23","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","2019-10-02 14:54:27-03","UFMG","BHCB","17158","PreservedSpecimen","Plantae","Dicotyledon","Fabaceae","Piptadenia","adiantoides","Piptadenia adiantoides","(Spreng.) J.F.Macbr.",NA,NA,NA,NA,"Souza, HC","Brasil","Minas Gerais","Rio Piracicaba","Morro Agudo.","-43.1741981506348","-19.92919921875","17919",NA,"auto",NA,NA,"s.n.","1989","06","23","Southern America",NA,"BHCB007328",NA,NA,NA,NA,NA,NA,NA
"90","2019-10-02 14:50:37-03","UFMG","BHCB","17038","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Piptocarpha",NA,"Piptocarpha","R. Br.",NA,NA,NA,NA,"Sousa, HC de; et al.","Brasil","Minas Gerais","Rio Piracicaba","Morro Agudo.","-43.1741981506348","-19.92919921875","17919","Capoeira alta; mata secundária. Arvoreta, 5m. Flores em botões.","auto",NA,NA,"s.n.","1989","06","22","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","2019-10-02 14:55:48-03","UFMG","BHCB","17159","PreservedSpecimen","Plantae","Dicotyledon","Lythraceae","Lafoensia",NA,"Lafoensia",NA,NA,NA,NA,NA,"Souza, HC","Brasil","Minas Gerais","Rio Piracicaba","Morro Agudo.","-43.1741981506348","-19.92919921875","17919",NA,"auto",NA,NA,"s.n.","1989","06","23","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","2019-10-02 15:02:47-03","UFMG","BHCB","17162","PreservedSpecimen","Plantae","Dicotyledon","Rubiaceae","Remijia","ferruginea","Remijia ferruginea","(A.St.-Hil.) DC.",NA,NA,NA,NA,"Souza, HC","Brasil","Minas Gerais","Rio Piracicaba","Morro Agudo.","-43.1741981506348","-19.92919921875","17919",NA,"auto",NA,NA,"s.n.","1989","06","23","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","2019-10-02 14:54:27-03","UFMG","BHCB","17158","PreservedSpecimen","Plantae","Dicotyledon","Fabaceae","Piptadenia",NA,"Piptadenia",NA,NA,NA,NA,NA,"Souza, HC","Brasil","Minas Gerais","Rio Piracicaba","Morro Agudo.","-43.1741981506348","-19.92919921875","17919",NA,"auto",NA,NA,"s.n.","1989","06","23","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","2019-10-02 15:02:47-03","UFMG","BHCB","17162","PreservedSpecimen","Plantae","Dicotyledon","Rubiaceae","Remijia","ferruginea","Remijia ferruginea","(A.St.-Hil.) DC.",NA,NA,NA,NA,"Souza, HC","Brasil","Minas Gerais","Rio Piracicaba","Morro Agudo.","-43.1741981506348","-19.92919921875","17919",NA,"auto",NA,NA,"s.n.","1989","06","23","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","2020-03-09 10:32:44-03","CVRD","CVRD","8771","PreservedSpecimen","Plantae","Magnoliophyta","Lauraceae","Cryptocarya","sellowiana","Cryptocarya sellowiana","P.L.R. de Moraes","Pedro Luís Rodrigues de Moraes","2009","10","21","Luz, A.A. da","BRASIL","MG","Rio Piracicaba",NA,"-43.1741981506348","-19.92919921875","17919","<ll>dwc_commonname:</ll> Canela pião","auto",NA,"Laurales","196","2004","06","02","América do Sul",NA,"CVRD008771",NA,NA,NA,NA,NA,"Magnoliopsida","PARATYPUS"
"96","2020-01-31 11:24:07-03","CVRD","CVRD","8800","PreservedSpecimen","Plantae","Magnoliophyta","Sapotaceae","Chrysophyllum","gonocarpum","Chrysophyllum gonocarpum","(Mart. & Eichler ex Miq. ) Engl.","Terry D. Pennington","2010","12","01","Luz, A.A. da","BRASIL","MG","Rio Piracicaba",NA,"-43.1741981506348","-19.92919921875","17919","<ll>dwc_commonname:</ll> Banha de onça","auto",NA,"Ericales","207","2004","07","09","América do Sul",NA,"CVRD008800",NA,NA,NA,NA,NA,"Magnoliopsida",NA
"97","2018-10-26 11:47:50-03","Cenargen","CEN","74032","S","Plantae",NA,"Euphorbiaceae","Manihot","pilosa","Manihot pilosa","Pohl","A. C. Allem",NA,NA,NA,"Antônio Costa Allem","Brasil","MG","RIO PIRACICABA","Cerca de 3 km a SE da cidade, ao longo da rodovia MG - 123 que leva a Alvinópolis.","-43.15","-19.95",NA,"Com frutos pequenos, glabros e lisos. Junto á curva. Teriam os ovários pêlos? Frutos imaturos coletados de 1 indivíduo.",NA,"2",NA,"4530","1995","02","10",NA,"Exsicatas","CEN00074032","CEN00074032","-43.15000","-19.95000","610","610",NA,NA
"98","2019-06-27 15:38:21-03","Cenargen","CEN","19050","S","Plantae",NA,"Lythraceae","Lafoensia","pacari","Lafoensia pacari","A.St.-Hil.","T. B. Cavalcanti","1995","03",NA,"Hildeberto Caldas de Souza","Brasil","MG","RIO PIRACICABA","Mineração Morro Agudo.","-43.1741981506348","-19.92919921875","17919","Doação do Departamento de Botânica - ICB - UFMG. Herbário BHCB (17159).","auto","1",NA,"s/n","1989","06","23",NA,"Exsicatas","CEN00019050","CEN00019050",NA,NA,NA,NA,NA,NA
"99","2019-11-13 11:21:56-03","USP","SPF","68321","PreservedSpecimen","Plantae",NA,"Leguminosae","Chamaecrista","mucronata","Chamaecrista mucronata","(Spreng.) H.S.Irwin & Barneby","Rando, JG","2010","02",NA,"Rollo, MAL","Brasil","Minas Gerais","Rio Piracicaba",NA,"-43.1741981506348","-19.92919921875","17919",NA,"auto",NA,NA,"s.n.","1990","05","12",NA,NA,"SPF00068321",NA,NA,NA,NA,NA,NA,NA
"100","2019-11-13 11:32:14-03","USP","SPF","92795","PreservedSpecimen","Plantae",NA,"Solanaceae","Solanum","leptostachys","Solanum leptostachys","Dunal","Feliciano, EA","2007","10",NA,"Souza, HC","Brasil","Minas Gerais","Rio Piracicaba",NA,"-43.1741981506348","-19.92919921875","17919",NA,"auto",NA,NA,"s.n.","1989","06","22",NA,NA,"SPF00092795","SPF00092795",NA,NA,NA,NA,NA,NA
"101","2019-11-13 11:21:32-03","USP","SPF","68322","PreservedSpecimen","Plantae",NA,"Leguminosae","Bauhinia",NA,"Bauhinia",NA,NA,NA,NA,NA,"Rollo, MAL","Brasil","Minas Gerais","Rio Piracicaba",NA,"-43.1741981506348","-19.92919921875","17919",NA,"auto",NA,NA,"s.n.","1990","05","12",NA,NA,"SPF00068322",NA,NA,NA,NA,NA,NA,NA
"102","2019-11-13 11:18:39-03","USP","SPF","68277","PreservedSpecimen","Plantae",NA,"Cyperaceae","Fimbristylis",NA,"Fimbristylis",NA,NA,NA,NA,NA,"Rollo, MAL","Brasil","Minas Gerais","Rio Piracicaba",NA,"-43.1741981506348","-19.92919921875","17919",NA,"auto",NA,NA,"s.n.","1990","05","12",NA,NA,"SPF00068277",NA,NA,NA,NA,NA,NA,NA
"103","2019-11-13 11:22:06-03","USP","SPF","68311","PreservedSpecimen","Plantae",NA,"Leguminosae","Cleobulia","multiflora","Cleobulia multiflora","Mart. ex Benth.","Queiroz, LP","1990","11",NA,"Rollo, MAL","Brasil","Minas Gerais","Rio Piracicaba",NA,"-43.1741981506348","-19.92919921875","17919",NA,"auto",NA,NA,"s.n.","1990","05","12",NA,NA,"SPF00068311",NA,NA,NA,NA,NA,NA,NA
"104","2019-11-13 11:18:28-03","USP","SPF","68278","PreservedSpecimen","Plantae",NA,"Cyperaceae","Bulbostylis","capillaris","Bulbostylis capillaris","(L.) C.B.Clarke","Prata, AP","2005","11",NA,"Rollo, MAL","Brasil","Minas Gerais","Rio Piracicaba","Pilha de Itabiricito Antiga.","-43.1741981506348","-19.92919921875","17919",NA,"auto",NA,NA,"s.n.","1990","05","12",NA,NA,"SPF00068278",NA,NA,NA,NA,NA,NA,NA
"105","2020-02-03 14:46:01-03","USP","SPF","68230","PreservedSpecimen","Plantae",NA,"Euphorbiaceae","Mabea","fistulifera","Mabea fistulifera","Mart.","Pirani, JR","1990","05",NA,"Rollo, MAL","Brasil","Minas Gerais","Rio Piracicaba","Rio PIracicaba: Mina de ferro.","-43.1741981506348","-19.92919921875","17919","Árvore abundante na região e na mina de ferro.","auto",NA,NA,"s.n.","1990","05","12",NA,NA,"SPF00068230",NA,NA,NA,NA,NA,NA,NA
"106","2019-11-07 11:15:57-03","UFMG","BHCB-SL","17078","PreservedSpecimen","Plantae",NA,"Cyatheaceae","Cyathea","phalerata","Cyathea phalerata","Mart.","Almeida, TE; Salino, A","2003","03",NA,"Souza, HC","Brasil","Minas Gerais","Rio Piracicaba",NA,"-43.1741981506348","-19.92919921875","17919",NA,"auto",NA,NA,"s.n.","1989","06","22","América",NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","2019-11-07 11:15:52-03","UFMG","BHCB-SL","17057","PreservedSpecimen","Plantae",NA,"Cyatheaceae","Cyathea","corcovadensis","Cyathea corcovadensis","(Raddi) Domin","Salino, A","1996","02",NA,"Souza, HC","Brasil","Minas Gerais","Rio Piracicaba","Mina Morro Agudo Samitre","-43.1741981506348","-19.92919921875","17919",NA,"auto",NA,NA,"s.n.","1989","06","22","América",NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","2019-11-07 11:15:57-03","UFMG","BHCB-SL","16969","PreservedSpecimen","Plantae",NA,"Cyatheaceae","Cyathea","phalerata","Cyathea phalerata","Mart.","Almeida, TE; Salino, A","2003","03",NA,"Souza, HC; et al.","Brasil","Minas Gerais","Rio Piracicaba","Mineração Morro Agudo.","-43.1741981506348","-19.92919921875","17919",NA,"auto",NA,NA,"s.n.","1989","06","22","América",NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","2019-11-07 11:15:57-03","UFMG","BHCB-SL","17060","PreservedSpecimen","Plantae",NA,"Cyatheaceae","Cyathea","phalerata","Cyathea phalerata","Mart.","Almeida, TE; Salino, A","2003","03",NA,"Souza, HC","Brasil","Minas Gerais","Rio Piracicaba","Mineração Morro Agudo.","-43.1741981506348","-19.92919921875","17919",NA,"auto",NA,NA,"s.n.","1989","06","22","América",NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","2016-09-19 16:21:29-03","UnB","UB","158219","S","Plantae","Dicotyledoneae","Verbenaceae","Lantana","glutinosa","Lantana glutinosa","Poepp.","Moldenke, HN","1948",NA,NA,"Magalhães, M","Brasil","Minas Gerais","Rio Piracicaba",NA,"-43.1741981506348","-19.92919921875","17919","Arbusto 0,80ct. Flor violácea depois amarela.; Sujo em barranco.","auto",NA,NA,"772","1941","11","21","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
