"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","country","stateProvince","county","occurrenceRemarks","yearIdentified","year","month","day","continentOcean","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag"
"1","2019-05-23 11:07:31-03","UFLA","ESAL","785","S","Plantae","Annonaceae","Guatteria","sellowiana","Guatteria sellowiana","Schltdl.","Ary","Heringer, EP","12","Brasil","Minas Gerais","Reduto de Minas","; ; ;",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-05-23 11:07:31-03","UFLA","ESAL","22011","S","Plantae","Annonaceae","Guatteria","sellowiana","Guatteria sellowiana","Schltdl.",NA,"Heringer, EP","s.n.","Brasil","Minas Gerais","Reduto de Minas","; ; ;",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-10-10 10:26:04-03","MOBOT","MOBOT_BR","100512361","S","Plantae","Passifloraceae","Passiflora","porophylla","Passiflora porophylla","Vell.","M. A. Milward de Azevedo","Ezechias P. Heringer","Heringer 15","Brazil","Minas Gerais","Reduto",NA,"2012","1937","12","20","South America","-41.9825","-20.2189","13352","auto"
