"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","recordedBy","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","individualCount","scientificNameAuthorship","identifiedBy","yearIdentified","recordNumber","year","month","day","continentOcean","verbatimLongitude","verbatimLatitude","preparationType","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","monthIdentified","dayIdentified","relatedCatalogItem","typeStatus"
"882","2020-02-07 18:36:32-03","UFMG","BHCB","75872","PreservedSpecimen","Plantae","Monocotyledon",NA,NA,"Cyperaceae","Rhynchospora",NA,"Rhynchospora","Oliveira, AM; Stehmann, JR; Mota, RC da","Brasil","Minas Gerais","Barão de Cocais","Mina do Brucutu - CVRD. Mirante.","-43.376389","-19.85",NA,"Erva em canga couraçada.",NA,NA,"Vahl",NA,NA,"155","2002","12","16","Southern America","-43.376389","-19.85",NA,NA,NA,"1063","1063",NA,NA,NA,NA,NA
"883","2020-01-14 18:08:49-03","UFMG","BHCB","199961","PreservedSpecimen","Plantae","Monocotyledon",NA,NA,"Cyperaceae","Rhynchospora","exaltata","Rhynchospora exaltata","Rezende, SG","Brasil","Minas Gerais","Barão de Cocais","Cocais","-43.38","-19.8475",NA,"Erva; Campo Rupestre sobre Quartzito Arbustivo",NA,NA,"Kunth",NA,NA,"7080","2019","04","24","Southern America","-43.38","-19.8475",NA,"BHCB199961",NA,"870","870",NA,NA,NA,NA,NA
"884","2020-02-07 18:36:32-03","UFMG","BHCB","74787","PreservedSpecimen","Plantae","Monocotyledon",NA,NA,"Cyperaceae","Rhynchospora","exaltata","Rhynchospora exaltata","Oliveira, AM; Resck, R","Brasil","Minas Gerais","Barão de Cocais","Mina do Brucutu - CVRD. Mirante.","-43.368361","-19.853333",NA,"Erva ruderal, em canga couraçada.",NA,NA,"Kunth",NA,NA,"118","2002","08","09","Southern America","-43.368361","-19.853333",NA,NA,NA,"1120","1120",NA,NA,NA,NA,NA
"885","2020-02-07 18:36:32-03","UFMG","BHCB","74810","PreservedSpecimen","Plantae","Monocotyledon",NA,NA,"Cyperaceae","Rhynchospora","exaltata","Rhynchospora exaltata","Oliveira, AM; Resck, R","Brasil","Minas Gerais","Barão de Cocais","Pilha do Cavalo. Mina Brucutu - CVRD.","-43.436136","-19.885556",NA,"Erva ruderal.",NA,NA,"Kunth",NA,NA,"141","2002","08","09","Southern America","-43.436136","-19.885556",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"886","2019-10-02 15:06:34-03","UFMG","BHCB","171880","PreservedSpecimen","Plantae","Monocotyledon",NA,NA,"Cyperaceae","Rhynchospora","nanuzae","Rhynchospora nanuzae","Pivari, MOD; Miranda, E; Tomich, S","Brasil","Minas Gerais","Barão de Cocais","Serra do Cambotas, Campo Rupestre Quartzitico.","-43.535556","-19.858889",NA,"Erva, espiguetas cremes&nf;&nf;; Campo rupestre Arbustivo. Campo rupestre quartzitico",NA,NA,"(Rocha) Luceño",NA,"2018","1796","2014","03","20","Southern America","-43.535556","-19.858889",NA,"BHCB032220",NA,"1145","1145",NA,NA,NA,NA,NA
"887","2020-01-14 18:08:49-03","UFMG","BHCB","199964","PreservedSpecimen","Plantae","Monocotyledon",NA,NA,"Cyperaceae","Rhynchospora","tenuis","Rhynchospora tenuis","Rezende, SG","Brasil","Minas Gerais","Barão de Cocais","Cocais","-43.397222","-19.833889",NA,"Erva; Área brejosa",NA,NA,"Link",NA,NA,"7083","2019","04","05","Southern America","-43.397222","-19.833889",NA,"BHCB199964",NA,"660","660",NA,NA,NA,NA,NA
"888","2019-10-02 15:06:36-03","UFMG","BHCB","75875","PreservedSpecimen","Plantae","Monocotyledon",NA,NA,"Cyperaceae","Rhynchospora","tenuis","Rhynchospora tenuis","Oliveira, AM; Stehmann, JR; Mota, RC da","Brasil","Minas Gerais","Barão de Cocais","Mina do Brucutu - CVRD. Mirante.","-43.376514","-19.851928",NA,"Erva; Em canga couraçada.",NA,NA,"Link",NA,"2018","158","2002","12","16","Southern America","-43.376514","-19.851928",NA,"BHCB032285",NA,"1063","1063",NA,NA,NA,NA,NA
"889","2020-01-14 18:08:49-03","UFMG","BHCB","199963","PreservedSpecimen","Plantae","Monocotyledon",NA,NA,"Cyperaceae","Rhynchospora","tenuis","Rhynchospora tenuis","Rezende, SG","Brasil","Minas Gerais","Barão de Cocais","Cocais","-43.376944","-19.846667",NA,"Erva; Campo Rupestre sobre Quartzito Herbáceo",NA,NA,"Link",NA,NA,"7082","2019","04","09","Southern America","-43.376944","-19.846667",NA,"BHCB199963",NA,"860","860",NA,NA,NA,NA,NA
"890","2020-01-14 18:08:49-03","UFMG","BHCB","199962","PreservedSpecimen","Plantae","Monocotyledon",NA,NA,"Cyperaceae","Rhynchospora","tenuis","Rhynchospora tenuis","Rezende, SG","Brasil","Minas Gerais","Barão de Cocais","Cocais","-43.376944","-19.846667",NA,"Erva; Campo Rupestre sobre Quartzito Herbáceo",NA,NA,"Link",NA,NA,"7081","2019","04","09","Southern America","-43.376944","-19.846667",NA,"BHCB199962",NA,"860","860",NA,NA,NA,NA,NA
"891","2020-01-14 18:07:53-03","UFMG","BHCB","199929","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Asteraceae","Richterago","polymorpha","Richterago polymorpha","Rezende, SG","Brasil","Minas Gerais","Barão de Cocais","Cocais","-43.379722","-19.848056",NA,"Erva; Campo Rupestre sobre Quartzito Herbáceo",NA,NA,"(Less.) Roque",NA,NA,"7051","2019","04","10","Southern America","-43.379722","-19.848056",NA,"BHCB199929",NA,"890","890",NA,NA,NA,NA,NA
"892","2019-12-16 17:40:50-03","UFMG","BHCB","123710","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Acanthaceae","Ruellia",NA,"Ruellia","Rezende, SG; Pena, FSR; Neves, GS; Mendes, MS","Brasil","Minas Gerais","Barão de Cocais","Mina de Gongo Soco, Região da Barragem de Rejeitos.","-43.603056","-19.974722",NA,"Herbáceo.; Área de pastagem formada com Melinis minutiflora.",NA,NA,"L.",NA,NA,"2601","2008","05","07","Southern America","-43.603056","-19.974722",NA,"BHCB053330","BHCB053330","868","868",NA,NA,NA,NA,NA
"893","2020-01-14 18:07:52-03","UFMG","BHCB","199873","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Acanthaceae","Ruellia","macrantha","Ruellia macrantha","Mendes, MS","Brasil","Minas Gerais","Barão de Cocais","Cocais","-43.394444","-19.844444",NA,"Arbusto; Floresta Estacional Semidecidual em Estágio Médio de Regeneração",NA,NA,"Mart.",NA,NA,"s.n.","2018","12","04","Southern America","-43.394444","-19.844444",NA,"BHCB199873","BHCB199873","710","710",NA,NA,NA,NA,NA
"894","2020-01-14 18:08:49-03","UFMG","BHCB","200189","PreservedSpecimen","Plantae","Monocotyledon",NA,NA,"Poaceae","Rugoloa","pilosa","Rugoloa pilosa","Rezende, SG","Brasil","Minas Gerais","Barão de Cocais","Cocais","-43.396111","-19.827222",NA,"Erva; Floresta Estacional Semidecidual em Estágio Inicial de Regeneração",NA,NA,"(Sw.) Zuloaga",NA,NA,"7265","2019","03","26","Southern America","-43.396111","-19.827222",NA,"BHCB200189",NA,"660","660",NA,NA,NA,NA,NA
"895","2020-01-14 18:08:27-03","UFMG","BHCB","200243","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Rubiaceae","Sabicea","cana","Sabicea cana","Rezende, SG","Brasil","Minas Gerais","Barão de Cocais","Cocais","-43.377778","-19.847778",NA,"Arbusto; Campo Rupestre sobre Quartzito Arbustivo",NA,NA,"Hook.f.",NA,NA,"7314","2019","04","10","Southern America","-43.377778","-19.847778",NA,"BHCB200243",NA,"890","890",NA,NA,NA,NA,NA
