"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","identifiedBy","yearIdentified","typeStatus","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","monthIdentified","dayIdentified","class","previousCatalogNumber","infraspecificEpithet","individualCount","relatedCatalogItem"
"11","2019-12-16 18:00:18-03","NYBG","NYBG","1145082","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Clusiaceae","Clusia","nemorosa","Clusia nemorosa","G.Mey.","M. C. de Assis","582","1999","02","14","South America","Brazil","Espírito Santo","Santa Maria de Jetibá","Alto de São Sebastião à beira da estrada que liga Jatibocas à Santa Maria.","-40.7461","-20.0406",NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1305718 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01145082","NY01145082",NA,"J. C. Yesilyurt","2006",NA,"-40.7461","-20.0406",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-12-16 18:56:34-03","NYBG","NYBG","01112780","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Esenbeckia","febrifuga","Esenbeckia febrifuga","(A.St.-Hil.) A.Juss. ex Mart.","L. J.-C. Kollmann","5743","2002","11","19","South America","Brazil","Espírito Santo","Santa Maria de Jetibá","Belém, Paulo Seik (área 1).","-40.7461013793945","-20.040599822998","31867","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1263538 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01112780","NY01112780","auto","J. A. Kallunki",NA,NA,NA,NA,"700","700",NA,NA,NA,NA,NA,NA,NA
"13","2019-12-16 18:56:34-03","NYBG","NYBG","01112774","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Esenbeckia","febrifuga","Esenbeckia febrifuga","(A.St.-Hil.) A.Juss. ex Mart.","L. J.-C. Kollmann","5855","2002","12","17","South America","Brazil","Espírito Santo","Santa Maria de Jetibá","Belém, Paulo Seik (área 1).","-40.7461013793945","-20.040599822998","31867","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1263505 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01112774","NY01112774","auto","J. A. Kallunki",NA,NA,NA,NA,"700","700",NA,NA,NA,NA,NA,NA,NA
"14","2019-12-16 18:20:15-03","NYBG","NYBG","1145626","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","fallax","Leandra fallax","(Cham.) Cogn.","R. Goldenberg","1026","2008","01","05","South America","Brazil","Espírito Santo","Santa Maria de Jetibá","Mata - Projeto Muriqui","-40.7461","-20.0406",NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1320696 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01145626","NY01145626",NA,NA,NA,NA,"-40.7461","-20.0406",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-12-16 18:20:17-03","NYBG","NYBG","1145625","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","melastomoides","Leandra melastomoides","Raddi","R. Goldenberg","1025","2008","01","05","South America","Brazil","Espírito Santo","Santa Maria de Jetibá","Mata - Projeto Muriqui","-40.7461","-20.0406",NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1320695 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01145625","NY01145625",NA,NA,NA,NA,"-40.7461","-20.0406",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-12-16 18:20:32-03","NYBG","NYBG","01874716","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","nianga","Leandra nianga","(DC.) Cogn.","A. P. Fontana","1774","2005","11","15","South America","Brazil","Espírito Santo","Santa Maria de Jetibá","Alto São Sebastião, beira da estrada, afloramento rochoso granítico.","-40.7797","-20.0217",NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2704132 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01874716","NY01874716",NA,"M. Reginato; F. A. Michelangeli","2015",NA,"-40.7797","-20.0217","900","900","08",NA,NA,NA,NA,NA,NA
"17","2019-12-16 17:44:57-03","NYBG","NYBG","1145623","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Mendoncia",NA,"Mendoncia",NA,"R. Goldenberg","1023","2008","01","05","South America","Brazil","Espírito Santo","Santa Maria de Jetibá","Mata - Projeto Muriqui","-40.7461","-20.0406",NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1320690 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01145623","NY01145623",NA,NA,NA,NA,"-40.7461","-20.0406",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-12-16 18:24:22-03","NYBG","NYBG","1145628","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","paniculata","Miconia paniculata","(DC.) Naudin","R. Goldenberg","1028","2008","01","05","South America","Brazil","Espírito Santo","Santa Maria de Jetibá","Mata - Projeto Muriqui","-40.7461","-20.0406",NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1320699 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01145628","NY01145628",NA,"R. Goldenberg","2013",NA,"-40.7461","-20.0406",NA,NA,"06","27",NA,NA,NA,NA,NA
"19","2019-12-16 18:26:19-03","NYBG","NYBG","1145627","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Ossaea",NA,"Ossaea",NA,"R. Goldenberg","1027","2008","01","05","South America","Brazil","Espírito Santo","Santa Maria de Jetibá","Mata - Projeto Muriqui","-40.7461","-20.0406",NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1320698 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01145627","NY01145627",NA,NA,NA,NA,"-40.7461","-20.0406",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-12-16 18:26:19-03","NYBG","NYBG","1145624","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Ossaea","amygdaloides","Ossaea amygdaloides",NA,"R. Goldenberg","1024","2008","01","05","South America","Brazil","Espírito Santo","Santa Maria de Jetibá","Mata - Projeto Muriqui","-40.7461","-20.0406",NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1320693 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01145624","NY01145624",NA,NA,NA,NA,"-40.7461","-20.0406",NA,NA,NA,NA,NA,NA,NA,NA,NA
