"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","identifiedBy","yearIdentified","year","month","locality","imagecode"
"1","2020-03-10 08:30:34-03","UFV","VIC","29808","PreservedSpecimen","Plantae","Rubiaceae","Guettarda","viburnoides","Guettarda viburnoides","Cham. & Schltdl.","Faria, S.L.","s.n.","Brasil","Minas Gerais","Rio Espera","-43.4743995666504","-20.8553009033203","14360","Altura de ca de 8 m e CAP 32 cm","VIC029808","auto",NA,NA,NA,NA,NA,NA
"2","2020-03-10 08:26:57-03","UFV","VIC","10453","PreservedSpecimen","Plantae","Asclepiadaceae","Oxypetalum","pachyglossum","Oxypetalum pachyglossum","Decne.","Oliveira, P.R. de","s.n.","Brasil","Minas Gerais","Rio Espera","-43.4743995666504","-20.8553009033203","14360","Erva encontrada em locais úmidos, enviada para identificação, para verificar sua toxicidade ou não para o gado.","VIC010453","auto","Rapini","2004","1988","09","Piranguita, Fazenda Belamento.","VIC010453"
