"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","individualCount","recordNumber","continentOcean","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","barcode","imagecode","class","previousCatalogNumber","relatedCatalogItem","infraspecificEpithet"
"1","2019-06-10 10:10:51-03","FZB-BH","CVJBFZB","3290","S","Plantae","Magnoliophyta","Solanales","Solanaceae","Aureliana","cuspidata","Aureliana cuspidata","(Witasek) I.M.C.Rodrigues & Stehmann","Izabella Martins da Costa","2014","01","12","Izabella Martins da Costa;","2014","01","12","Brasil","Minas Gerais","Simonésia","Mata do Sossego","-42.0013999938965","-20.1238994598389","37999","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:51-03","FZB-BH","CVJBFZB","2761","S","Plantae","Magnoliophyta","Solanales","Solanaceae","Aureliana","cuspidata","Aureliana cuspidata","(Witasek) I.M.C.Rodrigues & Stehmann","Bruno Falcão","2013","09",NA,"Bruno Falcão;","2013","09",NA,"Brasil","Minas Gerais","Simonésia","RPPN Mata do Sossego","-42.0013999938965","-20.1238994598389","37999","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:51-03","FZB-BH","CVJBFZB","2759","S","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","cf. schizandrum","Solanum cf. schizandrum","Sendtn.","Yuri Fernandes Gouvea","2012","11",NA,NA,"2012","11",NA,"Brasil","Minas Gerais","Simonesia","Mata do Sossego","-42.0013999938965","-20.1238994598389","37999","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:51-03","FZB-BH","CVJBFZB","2595","S","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","luridifuscescens","Solanum luridifuscescens","Bitter.","Yuri Fernandes Gouvea","2013","05","29","Yuri Fernandes Gouvea;","2013","05","28","Brasil","Minas Gerais","Simonésia","RPPN Mata do Sossego","-42.0013999938965","-20.1238994598389","37999","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:51-03","FZB-BH","CVJBFZB","2596","S","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","luridifuscescens","Solanum luridifuscescens","Bitter.","Yuri Fernandes Gouvea","2013","05","29","Yuri Fernandes Gouvea;","2013","05","28","Brasil","Minas Gerais","Simonésia","RPPN Mata do Sossego","-42.0013999938965","-20.1238994598389","37999","254","auto","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-16 16:36:18-03","NYBG","NYBG","02280028","PreservedSpecimen","Plantae","Bryophyta",NA,"Phyllogoniaceae","Phyllogonium","viride","Phyllogonium viride","Brid.",NA,NA,NA,NA,"P. E. A. S. Câmara","2013","11","17","Brazil","Minas Gerais","Simonésia","Sede da Reserva Particuilar de Patrimônio Natural (RPPN) Mata do Sossego","-42.0425","-20.0422",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615141 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"3156","South America","-42.0425","-20.0422","1187","1187","packeted","NY02280028",NA,NA,NA,NA,NA
"7","2019-12-16 16:36:18-03","NYBG","NYBG","02280033","PreservedSpecimen","Plantae","Bryophyta",NA,"Phyllogoniaceae","Phyllogonium","viride","Phyllogonium viride","Brid.",NA,NA,NA,NA,"P. E. A. S. Câmara","2013","11","17","Brazil","Minas Gerais","Simonésia","Sede da Reserva Particuilar de Patrimônio Natural (RPPN) Mata do Sossego","-42.0425","-20.0422",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615146 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"3165","South America","-42.0425","-20.0422","1187","1187","packeted","NY02280033",NA,NA,NA,NA,NA
"8","2019-12-16 19:14:39-03","NYBG","NYBG","2422893","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Polystichum",NA,"Polystichum",NA,NA,NA,NA,NA,"A. Salino","2006","05","24","Brazil","Minas Gerais","Simonésia","RPPN Mata do Sossego.","-42.07031","-20.07186",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2674888 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"11194","South America","-42.07031","-20.07186","1150","1600","sheet","NY02422893","NY02422893",NA,NA,NA,NA
"9","2019-12-16 19:14:39-03","NYBG","NYBG","2422889","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Polystichum","montevidense","Polystichum montevidense","(Spreng.) Rosenst.",NA,NA,NA,NA,"A. Salino","2006","05","20","Brazil","Minas Gerais","Simonésia","RPPN Mata do Sossego.","-42.07789","-20.06722",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2674883 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"11047","South America","-42.07789","-20.06722","1150","1600","sheet","NY02422889","NY02422889",NA,NA,NA,NA
"10","2019-12-16 16:35:29-03","NYBG","NYBG","02280064","PreservedSpecimen","Plantae","Bryophyta",NA,"Neckeraceae","Porotrichum","lancifrons","Porotrichum lancifrons","(Hampe) Mitt.",NA,NA,NA,NA,"P. E. A. S. Câmara","2013","11","17","Brazil","Minas Gerais","Simonésia","Reserva Particuilar de Patrimônio Natural (RPPN) Mata do Sossego","-42.0447","-20.0419",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615177 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"3203","South America","-42.0447","-20.0419","1262","1262","packeted","NY02280064",NA,NA,NA,NA,NA
"11","2019-12-16 16:35:29-03","NYBG","NYBG","02280024","PreservedSpecimen","Plantae","Bryophyta",NA,"Neckeraceae","Porotrichum","longirostre","Porotrichum longirostre","(Hook.) Mitt.",NA,NA,NA,NA,"P. E. A. S. Câmara","2013","11","17","Brazil","Minas Gerais","Simonésia","Sede da Reserva Particuilar de Patrimônio Natural (RPPN) Mata do Sossego","-42.0425","-20.0422",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615137 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"3152","South America","-42.0425","-20.0422","1187","1187","packeted","NY02280024",NA,NA,NA,NA,NA
"12","2019-12-16 16:35:29-03","NYBG","NYBG","02280042","PreservedSpecimen","Plantae","Bryophyta",NA,"Neckeraceae","Porotrichum","longirostre","Porotrichum longirostre","(Hook.) Mitt.",NA,NA,NA,NA,"P. E. A. S. Câmara","2013","11","17","Brazil","Minas Gerais","Simonésia","Sede da Reserva Particuilar de Patrimônio Natural (RPPN) Mata do Sossego","-42.0425","-20.0422",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615155 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"3177","South America","-42.0425","-20.0422","1187","1187","packeted","NY02280042",NA,NA,NA,NA,NA
"13","2019-12-16 16:35:29-03","NYBG","NYBG","02280040","PreservedSpecimen","Plantae","Bryophyta",NA,"Neckeraceae","Porotrichum","mutabile","Porotrichum mutabile","Hampe",NA,NA,NA,NA,"P. E. A. S. Câmara","2013","11","17","Brazil","Minas Gerais","Simonésia","Sede da Reserva Particuilar de Patrimônio Natural (RPPN) Mata do Sossego","-42.0425","-20.0422",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615153 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"3174","South America","-42.0425","-20.0422","1187","1187","packeted","NY02280040",NA,NA,NA,NA,NA
"14","2019-12-16 16:35:29-03","NYBG","NYBG","02280041","PreservedSpecimen","Plantae","Bryophyta",NA,"Neckeraceae","Porotrichum","mutabile","Porotrichum mutabile","Hampe",NA,NA,NA,NA,"P. E. A. S. Câmara","2013","11","17","Brazil","Minas Gerais","Simonésia","Sede da Reserva Particuilar de Patrimônio Natural (RPPN) Mata do Sossego","-42.0425","-20.0422",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615154 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"3176","South America","-42.0425","-20.0422","1187","1187","packeted","NY02280041",NA,NA,NA,NA,NA
"15","2019-12-16 16:35:29-03","NYBG","NYBG","02280059","PreservedSpecimen","Plantae","Bryophyta",NA,"Neckeraceae","Porotrichum","mutabile","Porotrichum mutabile","Hampe",NA,NA,NA,NA,"P. E. A. S. Câmara","2013","11","17","Brazil","Minas Gerais","Simonésia","Reserva Particuilar de Patrimônio Natural (RPPN) Mata do Sossego","-42.0447","-20.0419",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615172 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"3196","South America","-42.0447","-20.0419","1262","1262","packeted","NY02280059",NA,NA,NA,NA,NA
"16","2019-12-16 16:37:58-03","NYBG","NYBG","02280069","PreservedSpecimen","Plantae","Bryophyta",NA,"Prionodontaceae","Prionodon","densus","Prionodon densus","(Sw. ex Hedw.) Müll.Hal.",NA,NA,NA,NA,"P. E. A. S. Câmara","2013","11","17","Brazil","Minas Gerais","Simonésia","Reserva Particuilar de Patrimônio Natural (RPPN) Mata do Sossego","-42.0447","-20.0419",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615181 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"3209","South America","-42.0447","-20.0419","1262","1262","packeted","NY02280069",NA,NA,NA,NA,NA
"17","2019-12-16 16:37:58-03","NYBG","NYBG","02280072","PreservedSpecimen","Plantae","Bryophyta",NA,"Prionodontaceae","Prionodon","densus","Prionodon densus","(Sw. ex Hedw.) Müll.Hal.",NA,NA,NA,NA,"P. E. A. S. Câmara","2013","11","17","Brazil","Minas Gerais","Simonésia","Reserva Particuilar de Patrimônio Natural (RPPN) Mata do Sossego","-42.0467","-20.0414",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615184 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"3214","South America","-42.0467","-20.0414","1327","1327","packeted","NY02280072",NA,NA,NA,NA,NA
"18","2019-12-16 16:38:15-03","NYBG","NYBG","02280016","PreservedSpecimen","Plantae","Bryophyta",NA,"Rhizogoniaceae","Pyrrhobryum","spiniforme","Pyrrhobryum spiniforme","(Hedw.) Mitt.",NA,NA,NA,NA,"P. E. A. S. Câmara","2013","11","17","Brazil","Minas Gerais","Simonésia","Sede da Reserva Particuilar de Patrimônio Natural (RPPN) Mata do Sossego","-42.0425","-20.0422",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615129 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"3142","South America","-42.0425","-20.0422","1187","1187","packeted","NY02280016",NA,NA,NA,NA,NA
"19","2019-12-16 16:38:14-03","NYBG","NYBG","02378695","PreservedSpecimen","Plantae","Bryophyta",NA,"Racopilaceae","Racopilum","tomentosum","Racopilum tomentosum","(Hedw.) Brid.",NA,NA,NA,NA,"P. E. A. S. Câmara","2013","11","17","Brazil","Minas Gerais","Simonésia","Sede da Reserva Particuilar de Patrimônio Natural (RPPN) Mata do Sossego","-42.0722","-20.0764",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615108 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"3110","South America","-42.0722","-20.0764","1173","1173","packeted","NY02378695",NA,NA,NA,NA,NA
"20","2019-12-16 16:31:36-03","NYBG","NYBG","02280003","PreservedSpecimen","Plantae","Bryophyta",NA,"Brachytheciaceae","Rhynchostegium","beskeanum","Rhynchostegium beskeanum","(Müll.Hal.) A.Jaeger",NA,NA,NA,NA,"P. E. A. S. Câmara","2013","11","17","Brazil","Minas Gerais","Simonésia","Sede da Reserva Particuilar de Patrimônio Natural (RPPN) Mata do Sossego","-42.0722","-20.0764",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615116 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"3119","South America","-42.0722","-20.0764","1173","1173","packeted","NY02280003",NA,NA,NA,NA,NA
"21","2019-12-16 16:31:36-03","NYBG","NYBG","02280029","PreservedSpecimen","Plantae","Bryophyta",NA,"Brachytheciaceae","Rhynchostegium","beskeanum","Rhynchostegium beskeanum","(Müll.Hal.) A.Jaeger",NA,NA,NA,NA,"P. E. A. S. Câmara","2013","11","17","Brazil","Minas Gerais","Simonésia","Sede da Reserva Particuilar de Patrimônio Natural (RPPN) Mata do Sossego","-42.0425","-20.0422",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615142 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"3157","South America","-42.0425","-20.0422","1187","1187","packeted","NY02280029",NA,NA,NA,NA,NA
"22","2019-12-16 16:31:36-03","NYBG","NYBG","02378689","PreservedSpecimen","Plantae","Bryophyta",NA,"Brachytheciaceae","Rhynchostegium","serrulatum","Rhynchostegium serrulatum","(Hedw.) A.Jaeger",NA,NA,NA,NA,"P. E. A. S. Câmara","2013","11","17","Brazil","Minas Gerais","Simonésia","Sede da Reserva Particuilar de Patrimônio Natural (RPPN) Mata do Sossego","-42.0722","-20.0764",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615102 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"3102","South America","-42.0722","-20.0764","1173","1173","packeted","NY02378689",NA,NA,NA,NA,NA
"23","2019-12-16 16:36:03-03","NYBG","NYBG","02280023","PreservedSpecimen","Plantae","Bryophyta",NA,"Orthotrichaceae","Schlotheimia","rugifolia","Schlotheimia rugifolia","(Hook.) Schwägr.",NA,NA,NA,NA,"P. E. A. S. Câmara","2013","11","17","Brazil","Minas Gerais","Simonésia","Sede da Reserva Particuilar de Patrimônio Natural (RPPN) Mata do Sossego","-42.0425","-20.0422",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615136 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"3151","South America","-42.0425","-20.0422","1187","1187","packeted","NY02280023",NA,NA,NA,NA,NA
"24","2019-12-16 16:38:34-03","NYBG","NYBG","02378697","PreservedSpecimen","Plantae","Bryophyta",NA,"Sematophyllaceae","Sematophyllum","cuspidiferum","Sematophyllum cuspidiferum","Mitt.",NA,NA,NA,NA,"P. E. A. S. Câmara","2013","11","17","Brazil","Minas Gerais","Simonésia","Sede da Reserva Particuilar de Patrimônio Natural (RPPN) Mata do Sossego","-42.0722","-20.0764",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615110 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"3111","South America","-42.0722","-20.0764","1173","1173","packeted","NY02378697","NY02378697",NA,NA,NA,NA
"25","2019-12-16 16:38:34-03","NYBG","NYBG","02378700","PreservedSpecimen","Plantae","Bryophyta",NA,"Sematophyllaceae","Sematophyllum","cuspidiferum","Sematophyllum cuspidiferum","Mitt.",NA,NA,NA,NA,"P. E. A. S. Câmara","2013","11","17","Brazil","Minas Gerais","Simonésia","Sede da Reserva Particuilar de Patrimônio Natural (RPPN) Mata do Sossego","-42.0722","-20.0764",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615113 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"3115","South America","-42.0722","-20.0764","1173","1173","packeted","NY02378700","NY02378700",NA,NA,NA,NA
"26","2019-12-16 16:38:34-03","NYBG","NYBG","02280009","PreservedSpecimen","Plantae","Bryophyta",NA,"Sematophyllaceae","Sematophyllum","galipense","Sematophyllum galipense","(Müll.Hal.) Mitt.",NA,NA,NA,NA,"P. E. A. S. Câmara","2013","11","17","Brazil","Minas Gerais","Simonésia","Sede da Reserva Particuilar de Patrimônio Natural (RPPN) Mata do Sossego","-42.0722","-20.0764",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615122 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"3127","South America","-42.0722","-20.0764","1173","1173","packeted","NY02280009","NY02280009",NA,NA,NA,NA
"27","2019-12-16 16:38:34-03","NYBG","NYBG","02280013","PreservedSpecimen","Plantae","Bryophyta",NA,"Sematophyllaceae","Sematophyllum","galipense","Sematophyllum galipense",NA,NA,NA,NA,NA,"P. E. A. S. Câmara","2013","11","17","Brazil","Minas Gerais","Simonésia","Sede da Reserva Particuilar de Patrimônio Natural (RPPN) Mata do Sossego","-42.0722","-20.0764",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615126 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"3133","South America","-42.0722","-20.0764","1173","1173","packeted","NY02280013",NA,NA,NA,NA,NA
"28","2019-12-16 16:38:34-03","NYBG","NYBG","02280052","PreservedSpecimen","Plantae","Bryophyta",NA,"Sematophyllaceae","Sematophyllum","leucostomum","Sematophyllum leucostomum","(Hampe) W.R.Buck",NA,NA,NA,NA,"P. E. A. S. Câmara","2013","11","17","Brazil","Minas Gerais","Simonésia","Sede da Reserva Particuilar de Patrimônio Natural (RPPN) Mata do Sossego","-42.0425","-20.0422",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615165 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"3188","South America","-42.0425","-20.0422","1187","1187","packeted","NY02280052","NY02280052",NA,NA,NA,NA
"29","2019-12-16 16:38:34-03","NYBG","NYBG","02280008","PreservedSpecimen","Plantae","Bryophyta",NA,"Sematophyllaceae","Sematophyllum","lithophilum","Sematophyllum lithophilum","(Hornsch.) Ångstr.",NA,NA,NA,NA,"P. E. A. S. Câmara","2013","11","17","Brazil","Minas Gerais","Simonésia","Sede da Reserva Particuilar de Patrimônio Natural (RPPN) Mata do Sossego","-42.0722","-20.0764",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615121 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"3126","South America","-42.0722","-20.0764","1173","1173","packeted","NY02280008","NY02280008",NA,NA,NA,NA
"30","2019-12-16 16:38:34-03","NYBG","NYBG","02280037","PreservedSpecimen","Plantae","Bryophyta",NA,"Sematophyllaceae","Sematophyllum","lithophilum","Sematophyllum lithophilum","(Hornsch.) Ångstr.",NA,NA,NA,NA,"P. E. A. S. Câmara","2013","11","17","Brazil","Minas Gerais","Simonésia","Sede da Reserva Particuilar de Patrimônio Natural (RPPN) Mata do Sossego","-42.0425","-20.0422",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615150 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"3170","South America","-42.0425","-20.0422","1187","1187","packeted","NY02280037","NY02280037",NA,NA,NA,NA
"31","2019-12-16 16:38:34-03","NYBG","NYBG","02378692","PreservedSpecimen","Plantae","Bryophyta",NA,"Sematophyllaceae","Sematophyllum","lithophilum","Sematophyllum lithophilum","(Hornsch.) Ångstr.",NA,NA,NA,NA,"P. E. A. S. Câmara","2013","11","17","Brazil","Minas Gerais","Simonésia","Sede da Reserva Particuilar de Patrimônio Natural (RPPN) Mata do Sossego","-42.0722","-20.0764",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615105 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"3105","South America","-42.0722","-20.0764","1173","1173","packeted","NY02378692","NY02378692",NA,NA,NA,NA
"32","2019-12-16 16:38:49-03","NYBG","NYBG","02280053","PreservedSpecimen","Plantae","Bryophyta",NA,"Sematophyllaceae","Sematophyllum","subpinnatum","Sematophyllum subpinnatum","(Brid.) E.Britton",NA,NA,NA,NA,"P. E. A. S. Câmara","2013","11","17","Brazil","Minas Gerais","Simonésia","Sede da Reserva Particuilar de Patrimônio Natural (RPPN) Mata do Sossego","-42.0425","-20.0422",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615166 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"3189","South America","-42.0425","-20.0422","1187","1187","packeted","NY02280053",NA,NA,NA,NA,NA
"33","2019-12-16 19:06:27-03","NYBG","NYBG","1921608","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","rupicola","Solanum rupicola","Bojer ex Dunal","S. D. Knapp","2016",NA,NA,"L. L. Giacomin","2009","03","21","Brazil","Minas Gerais","Simonésia","RPPN Mata do Sossego, Floresta Estacional.","-42.08075","-20.0686",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2289040 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"6014","South America","-42.08075","-20.0686","1132","1132","sheet","NY01921608","NY01921608",NA,NA,NA,NA
"34","2019-12-16 16:38:32-03","NYBG","NYBG","02280039","PreservedSpecimen","Plantae","Bryophyta",NA,"Sematophyllaceae","Aptychopsis","pungifolia","Aptychopsis pungifolia","(Hampe) Broth.",NA,NA,NA,NA,"P. E. A. S. Câmara","2013","11","17","Brazil","Minas Gerais","Simonésia","Sede da Reserva Particuilar de Patrimônio Natural (RPPN) Mata do Sossego","-42.0425","-20.0422",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615152 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"3173","South America","-42.0425","-20.0422","1187","1187","packeted","NY02280039","NY02280039",NA,NA,NA,NA
"35","2019-12-16 16:38:33-03","NYBG","NYBG","02280061","PreservedSpecimen","Plantae","Bryophyta",NA,"Sematophyllaceae","Aptychopsis","subpungifolia","Aptychopsis subpungifolia","(Broth.) Broth.",NA,NA,NA,NA,"P. E. A. S. Câmara","2013","11","17","Brazil","Minas Gerais","Simonésia","Reserva Particuilar de Patrimônio Natural (RPPN) Mata do Sossego","-42.0447","-20.0419",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615174 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"3198","South America","-42.0447","-20.0419","1262","1262","packeted","NY02280061","NY02280061",NA,NA,NA,NA
"36","2019-12-16 16:38:33-03","NYBG","NYBG","02280043","PreservedSpecimen","Plantae","Bryophyta",NA,"Sematophyllaceae","Aptychopsis","subpungifolia","Aptychopsis subpungifolia","(Broth.) Broth.",NA,NA,NA,NA,"P. E. A. S. Câmara","2013","11","17","Brazil","Minas Gerais","Simonésia","Sede da Reserva Particuilar de Patrimônio Natural (RPPN) Mata do Sossego","-42.0425","-20.0422",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615156 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"3178","South America","-42.0425","-20.0422","1187","1187","packeted","NY02280043","NY02280043",NA,NA,NA,NA
"37","2019-12-16 16:31:22-03","NYBG","NYBG","02378690","PreservedSpecimen","Plantae","Bryophyta",NA,"Brachytheciaceae","Brachythecium","ruderale","Brachythecium ruderale","(Brid.) W.R.Buck",NA,NA,NA,NA,"P. E. A. S. Câmara","2013","11","17","Brazil","Minas Gerais","Simonésia","Sede da Reserva Particuilar de Patrimônio Natural (RPPN) Mata do Sossego","-42.0722","-20.0764",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615103 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"3103","South America","-42.0722","-20.0764","1173","1173","packeted","NY02378690",NA,NA,NA,NA,NA
"38","2019-12-16 16:32:26-03","NYBG","NYBG","02280056","PreservedSpecimen","Plantae","Bryophyta",NA,"Dicranaceae","Campylopus","gastro-alaris","Campylopus gastro-alaris","(Müll.Hal.) Paris",NA,NA,NA,NA,"P. E. A. S. Câmara","2013","11","17","Brazil","Minas Gerais","Simonésia","Reserva Particuilar de Patrimônio Natural (RPPN) Mata do Sossego","-42.0447","-20.0419",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615169 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"3193","South America","-42.0447","-20.0419","1262","1262","packeted","NY02280056",NA,NA,NA,NA,NA
"39","2019-12-16 16:32:27-03","NYBG","NYBG","02280057","PreservedSpecimen","Plantae","Bryophyta",NA,"Dicranaceae","Campylopus","trachyblepharon","Campylopus trachyblepharon","(Müll.Hal.) Mitt.",NA,NA,NA,NA,"P. E. A. S. Câmara","2013","11","17","Brazil","Minas Gerais","Simonésia","Reserva Particuilar de Patrimônio Natural (RPPN) Mata do Sossego","-42.0447","-20.0419",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615170 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"3194","South America","-42.0447","-20.0419","1262","1262","packeted","NY02280057",NA,NA,NA,NA,NA
"40","2019-12-16 16:34:22-03","NYBG","NYBG","02280019","PreservedSpecimen","Plantae","Bryophyta",NA,"Hypnaceae","Chryso-Hypnum","elegantulum","Chryso-Hypnum elegantulum","(Hook.) Hampe",NA,NA,NA,NA,"P. E. A. S. Câmara","2013","11","17","Brazil","Minas Gerais","Simonésia","Sede da Reserva Particuilar de Patrimônio Natural (RPPN) Mata do Sossego","-42.0425","-20.0422",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2615132 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"3147","South America","-42.0425","-20.0422","1187","1187","packeted","NY02280019",NA,NA,NA,NA,NA
"41","2019-12-16 18:48:56-03","NYBG","NYBG","02172062","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Clarisia","ilicifolia","Clarisia ilicifolia","(Spreng.) Lanj. & Rossberg",NA,NA,NA,NA,"J. P. L. Sobrinho","1969","08","16","Brazil","Minas Gerais","Simonésia","Chácara das Casuarinas.","-42.0013999938965","-20.1238994598389","37999","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2319232 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","auto",NA,"1819","South America",NA,NA,NA,NA,"sheet","NY02172062","NY02172062",NA,NA,NA,NA
"42","2019-12-16 19:13:43-03","NYBG","NYBG","720462","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum",NA,"Elaphoglossum","F.B.Matos & R.C.Moran",NA,NA,NA,NA,"A. Salino","2006","05","21","Brazil","Minas Gerais","Simonésia","RPPN Mata do Sossego.","-42.07386","-20.06536",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2505326 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"11149","South America","-42.07386","-20.06536","1150","1600","sheet","NY00720462","NY00720462",NA,NA,NA,NA
