"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLatitude","verbatimLatitude","decimalLongitude","verbatimLongitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","yearIdentified","monthIdentified","dayIdentified","barcode","coordinatePrecision","geoFlag","identifiedBy","infraspecificEpithet"
"55","2020-03-04 20:43:15-03","UFMG","BHCB-SL","93590","PreservedSpecimen","Plantae",NA,"Dryopteridaceae","Megalastrum","grande","Megalastrum grande","(C.Presl) A.R.Sm. & R.C.Moran","Almeida, TE; Souza, DT; Mota, NFO; Viana, PL","76","2005","08","14","América","Brasil","Minas Gerais","Dores de Guanhães","Rio Guanhães.","-19.003694","-19.003694","-42.945556","-42.945556","500","500","Terrestre, à margem de córrego, no interior de mata. Caule decumbente","2005","08",NA,NA,NA,NA,"Almeida, TE; Salino, A",NA
"56","2020-03-04 20:43:49-03","UFMG","BHCB-SL","93573","PreservedSpecimen","Plantae",NA,"Thelypteridaceae","Meniscium","serratum","Meniscium serratum","Cav.","Almeida, TE; Souza, DT; Mota, NFO; Viana, PL","59","2005","08","14","América","Brasil","Minas Gerais","Dores de Guanhães","Rio Guanhães","-19.003694","-19.003694","-42.945556","-42.945556","500","500","Terrestre em brejo, em área aberta","2014","04","15",NA,NA,NA,"Fernandes, RS",NA
"57","2020-02-11 18:26:18-03","UFMG","BHCB-SL","93559","PreservedSpecimen","Plantae",NA,"Polypodiaceae","Pecluma","plumula","Pecluma plumula","(Willd.) M.G.Price","Almeida, TE; Souza, DT; Mota, NFO; Viana, PL","45","2005","08","13","América","Brasil","Minas Gerais","Dores de Guanhães","Rio Guanhães., Floresta Estacional Semidecidual.","-19.037472","-19.037472","-42.924556","-42.924556","505","505","Rupícola, em borda de mata, à beira do rio Guanhães","2005","08",NA,NA,NA,NA,"Almeida, TE; Salino, A",NA
"58","2020-02-11 18:26:21-03","UFMG","BHCB-SL","93589","PreservedSpecimen","Plantae",NA,"Polypodiaceae","Pecluma","recurvata","Pecluma recurvata","(Kaulf.) M.G.Price","Almeida, TE; Souza, DT; Mota, NFO; Viana, PL","75","2005","08","14","América","Brasil","Minas Gerais","Dores de Guanhães","Rio Guanhães., Floresta Estacional Semidecidual.","-19.003694","-19.003694","-42.945556","-42.945556","500","500","Terrestre, no interior de mata, próximo a córrego","2005","08",NA,NA,NA,NA,"Almeida, TE; Salino, A",NA
"59","2020-02-11 18:26:32-03","UFMG","BHCB-SL","93558","PreservedSpecimen","Plantae",NA,"Pteridaceae","Pityrogramma","calomelanos","Pityrogramma calomelanos","(L.) Link","Almeida, TE; Souza, DT; Mota, NFO; Viana, PL","44","2005","08","13","América","Brasil","Minas Gerais","Dores de Guanhães","Rio Guanhães.","-19.037472","-19.037472","-42.924556","-42.924556","50","50","Rupícola à beira do Rio Guanhães; área aberta","2005","08",NA,NA,NA,NA,"Almeida, TE",NA
"60","2019-11-07 11:20:13-03","UFMG","BHCB-SL","93565","PreservedSpecimen","Plantae",NA,"Pteridaceae","Pteris","denticulata","Pteris denticulata","Sw.","Almeida, TE; Souza, DT; Mota, NFO; Viana, PL","51","2005","08","13","América","Brasil","Minas Gerais","Dores de Guanhães","Rio Guanhães.","-19.037472","-19.037472","-42.924556","-42.924556","505","505","Terrestre, em beira de trilha, no interior de mata","2005","08",NA,NA,NA,NA,"Almeida, TE; Salino, A",NA
"61","2019-11-07 11:20:17-03","UFMG","BHCB-SL","93582","PreservedSpecimen","Plantae",NA,"Pteridaceae","Pteris","splendens","Pteris splendens","Kaulf.","Almeida, TE; Souza, DT; Mota, NFO; Viana, PL","68","2005","08","14","América","Brasil","Minas Gerais","Dores de Guanhães","Rio Guanhães.","-19.003694","-19.003694","-42.945556","-42.945556","50","50","Terrestre no interior de mata","2005","08",NA,NA,NA,NA,"Almeida, TE",NA
"62","2019-11-07 11:20:39-03","UFMG","BHCB-SL","93595","PreservedSpecimen","Plantae",NA,"Selaginellaceae","Selaginella","marginata","Selaginella marginata","(Humb. & Bonpl. ex Willd.) Spring","Almeida, TE; Souza, DT; Mota, NFO; Viana, PL","81","2005",NA,NA,"América","Brasil","Minas Gerais","Dores de Guanhães","Serra do Caraça, Paredão rochoso granítico e Floresta Estacional Semidecidual bastante alterada.","-19.070639","-19.070639","-42.873111","-42.873111","700","700","Rupícola no paredão rochoso granítico. Próximo a touceiras de Cyperaceae","2011","02",NA,NA,NA,NA,"Heringer, G",NA
"63","2019-11-07 11:20:50-03","UFMG","BHCB-SL","93584","PreservedSpecimen","Plantae",NA,"Selaginellaceae","Selaginella","sulcata","Selaginella sulcata","(Desv. ex Poir.) Spring","Almeida, TE; Souza, DT; Mota, NFO; Viana, PL","70","2005",NA,NA,"América","Brasil","Minas Gerais","Dores de Guanhães","Rio Guanhães.","-19.003694","-19.003694","-42.945556","-42.945556","500","500","Terrestre, à beira de trilha, no interior de mata","2010","03",NA,NA,NA,NA,"Heringer, G",NA
"64","2019-11-07 11:19:07-03","UFMG","BHCB-SL","93596","PreservedSpecimen","Plantae",NA,"Polypodiaceae","Serpocaulon","catharinae","Serpocaulon catharinae","(Langsd. & Fisch.) A.R.Sm.","Almeida, TE; Souza, DT; Mota, NFO; Viana, PL","82","2005","08","15","América","Brasil","Minas Gerais","Dores de Guanhães","Serra do Caraça, Paredão rochso granítico e Floresta Estacional Semidecidual bastante alterada.","-19.070639","-19.070639","-42.873111","-42.873111","700","700","Rupícola, próximo e embaixo de touceiras de Dickia sp., no alto do paredão rochoso","2010","08",NA,NA,NA,NA,"Salino, A",NA
"65","2020-03-04 20:43:50-03","UFMG","BHCB-SL","93591","PreservedSpecimen","Plantae",NA,"Thelypteridaceae","Steiropteris","leprieurii","Steiropteris leprieurii","Hook.","Almeida, TE; Souza, DT; Mota, NFO; Viana, PL","77","2005","08","14","América","Brasil","Minas Gerais","Dores de Guanhães","Rio Guanhães., Floresta Estacional Semidecidual.","-19.003694","-19.003694","-42.945556","-42.945556","500","500","Terrestre no interior de mata. Caule reptante com aproximadamente 30 cm.","2005","08",NA,NA,NA,NA,"Almeida, TE; Salino, A",NA
"66","2019-11-07 11:21:40-03","UFMG","BHCB-SL","93576","PreservedSpecimen","Plantae",NA,"Thelypteridaceae","Steiropteris","polypodioides","Steiropteris polypodioides","(Raddi) Salino & T.E.Almeida","Almeida, TE; Souza, DT; Mota, NFO; Viana, PL","62","2005","08","14","América","Brasil","Minas Gerais","Dores de Guanhães","Rio Guanhães., Floresta Estacional Semidecidual.","-19.003694","-19.003694","-42.945556","-42.945556","500","500","Terrestre em barranco, à beira de córrego, no interior de mata com muito bambu","2005","08",NA,NA,NA,NA,"Almeida, TE",NA
"67","2019-11-07 11:15:35-03","UFMG","BHCB-SL","93597","PreservedSpecimen","Plantae",NA,"Blechnaceae","Neoblechnum","brasiliense","Neoblechnum brasiliense","(Desv.) Gasper & Dittrich","Almeida, TE; Souza, DT; Mota, NFO; Viana, PL","83","2005","08","16","América","Brasil","Minas Gerais","Dores de Guanhães","Rio Guanhães.","-19.0583000183105",NA,"-42.92919921875",NA,NA,NA,"Terrestre, na beira de córrego, na borda de mata","2005","08",NA,NA,"20800","auto","Almeida, TE",NA
"68","2019-11-07 11:15:46-03","UFMG","BHCB-SL","93599","PreservedSpecimen","Plantae",NA,"Blechnaceae","Salpichlaena","volubilis","Salpichlaena volubilis","(Kaulf.) J.Sm.","Almeida, TE; Souza, DT; Mota, NFO; Viana, PL","85","2005","08","16","América","Brasil","Minas Gerais","Dores de Guanhães","Rio Guanhães.","-19.0583000183105",NA,"-42.92919921875",NA,NA,NA,"Trepadeira, na beira de córrego, na borda de mata","2005","08",NA,NA,"20800","auto","Almeida, TE; Salino, A",NA
"69","2019-11-07 11:18:04-03","UFMG","BHCB-SL","93583","PreservedSpecimen","Plantae",NA,"Lygodiaceae","Lygodium","volubile","Lygodium volubile","Sw.","Almeida, TE; Souza, DT; Mota, NFO; Viana, PL","69","2005","08","14","América","Brasil","Minas Gerais","Dores de Guanhães","Rio Guanhães.","-19.0583000183105",NA,"-42.92919921875",NA,NA,NA,"Trepadeira na borda de mata","2005","08",NA,NA,"20800","auto","Almeida, TE; Salino, A",NA
"70","2019-11-07 11:17:42-03","UFMG","BHCB-SL","93571","PreservedSpecimen","Plantae",NA,"Lindsaeaceae","Lindsaea","quadrangularis","Lindsaea quadrangularis","Raddi","Almeida, TE; Souza, DT; Mota, NFO; Viana, PL","57","2005","08","13","América","Brasil","Minas Gerais","Dores de Guanhães","Rio Guanhães.","-19.0583000183105",NA,"-42.92919921875",NA,NA,NA,"Terrestre, à beira de trilha, no interior de mata",NA,NA,NA,NA,"20800","auto",NA,NA
"71","2019-11-07 11:14:02-03","UFMG","BHCB-SL","93581","PreservedSpecimen","Plantae",NA,"Aspleniaceae","Asplenium","auriculatum","Asplenium auriculatum","Sw.","Almeida, TE; Souza, DT; Mota, NFO; Viana, PL","67","2005","08","14","América","Brasil","Minas Gerais","Dores de Guanhães","Rio Guanhães.","-19.0583000183105",NA,"-42.92919921875",NA,NA,NA,"Rupícola, em córrego no interior de mata","2005","08",NA,NA,"20800","auto","Almeida, TE",NA
"72","2019-11-07 11:15:31-03","UFMG","BHCB-SL","93560","PreservedSpecimen","Plantae",NA,"Blechnaceae","Blechnum","polypodioides","Blechnum polypodioides","Raddi","Almeida, TE; Souza, DT; Mota, NFO; Viana, PL","46","2005","08","13","América","Brasil","Minas Gerais","Dores de Guanhães","Rio Guanhães.","-19.0583000183105",NA,"-42.92919921875",NA,NA,NA,"Terrestre, à beira da trilha, no interior de mata","2005","08",NA,NA,"20800","auto","Almeida, TE",NA
"73","2019-11-07 11:13:58-03","UFMG","BHCB-SL","93586","PreservedSpecimen","Plantae",NA,"Anemiaceae","Anemia","tomentosa","Anemia tomentosa","(Sav.) Sw.","Almeida, TE; Souza, DT; Mota, NFO; Viana, PL","72","2005","08","14","América","Brasil","Minas Gerais","Dores de Guanhães","Rio Guanhães.","-19.0583000183105",NA,"-42.92919921875",NA,NA,NA,"Terrestre em barranco na beira de estrada","2005","08",NA,NA,"20800","auto","Almeida, TE; Salino, A",NA
"74","2019-11-07 11:18:04-03","UFMG","BHCB-SL","93561","PreservedSpecimen","Plantae",NA,"Lygodiaceae","Lygodium","venustum","Lygodium venustum","Sw.","Almeida, TE; Souza, DT; Mota, NFO; Viana, PL","47","2005","08","13","América","Brasil","Minas Gerais","Dores de Guanhães","Rio Guanhães.","-19.0583000183105",NA,"-42.92919921875",NA,NA,NA,"Trepadeira na borda de mata","2005","08",NA,NA,"20800","auto","Almeida, TE",NA
"75","2019-11-07 11:15:31-03","UFMG","BHCB-SL","93568","PreservedSpecimen","Plantae",NA,"Blechnaceae","Blechnum","occidentale","Blechnum occidentale","L.","Almeida, TE; Souza, DT; Mota, NFO; Viana, PL","54","2005","08","13","América","Brasil","Minas Gerais","Dores de Guanhães","Rio Guanhães.","-19.0583000183105",NA,"-42.92919921875",NA,NA,NA,"Terrestre, à beira de trilha, no interior de mata","2005","08",NA,NA,"20800","auto","Almeida, TE",NA
"76","2019-11-07 11:13:59-03","UFMG","BHCB-SL","93579","PreservedSpecimen","Plantae",NA,"Anemiaceae","Anemia","villosa","Anemia villosa","Humb. & Bonpl. ex Willd.","Almeida, TE; Souza, DT; Mota, NFO; Viana, PL","65","2005","08","14","América","Brasil","Minas Gerais","Dores de Guanhães","Rio Guanhães.","-19.0583000183105",NA,"-42.92919921875",NA,NA,NA,"Rupícola em paredão rochoso granítico, em área aberta, próximo ao rio","2005","08",NA,NA,"20800","auto","Almeida, TE; Salino, A",NA
"77","2019-11-07 11:17:42-03","UFMG","BHCB-SL","93592","PreservedSpecimen","Plantae",NA,"Lindsaeaceae","Lindsaea","stricta","Lindsaea stricta","(Sw.) Dryand.","Almeida, TE; Souza, DT; Mota, NFO; Viana, PL","78","2005","08","15","América","Brasil","Minas Gerais","Dores de Guanhães","Serra do Caraça","-19.0583000183105",NA,"-42.92919921875",NA,NA,NA,"Rupícola, à margem de riacho seco, em área que já foi queimada. Próximo ao paredão rochoso","2005","08",NA,NA,"20800","auto","Almeida, TE",NA
"78","2019-11-07 11:13:59-03","UFMG","BHCB-SL","93593","PreservedSpecimen","Plantae",NA,"Anemiaceae","Anemia","villosa","Anemia villosa","Humb. & Bonpl. ex Willd.","Almeida, TE; Souza, DT; Mota, NFO; Viana, PL","79","2005","08","15","América","Brasil","Minas Gerais","Dores de Guanhães","Serra do Caraça","-19.0583000183105",NA,"-42.92919921875",NA,NA,NA,"Terrestre, à margem de riacho seco, em área que já foi queimada. Próximo ao paredão rochoso",NA,NA,NA,NA,"20800","auto",NA,NA
