"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLatitude","verbatimLatitude","decimalLongitude","verbatimLongitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","yearIdentified","monthIdentified","dayIdentified","barcode","coordinatePrecision","geoFlag","identifiedBy","infraspecificEpithet"
"14","2019-10-02 14:54:10-03","UFMG","BHCB","135416","PreservedSpecimen","Plantae","Dicotyledon","Fabaceae","Lonchocarpus","guillemineanus","Lonchocarpus guillemineanus","(Tul.) Malme","Mendes, MS; Pena, FSR","s.n.","2006",NA,NA,"Southern America","Brasil","Minas Gerais","Dores de Guanhães","Reservatório da PCH Funil.","-19.073056","-19.073056","-42.888611","-42.888611","595","595","Floresta Estacional semidecidual",NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-10-02 14:54:15-03","UFMG","BHCB","135417","PreservedSpecimen","Plantae","Dicotyledon","Fabaceae","Machaerium","stipitatum","Machaerium stipitatum","(DC.) Vogel","Mendes, MS; Pena, FSR","s.n.","2006",NA,NA,"Southern America","Brasil","Minas Gerais","Dores de Guanhães","Reservatório da PCH Funil.","-19.073056","-19.073056","-42.888611","-42.888611","595","595","Floresta Estacional semidecidual",NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-10-02 15:03:08-03","UFMG","BHCB","68433","PreservedSpecimen","Plantae","Dicotyledon","Sapindaceae","Matayba","juglandifolia","Matayba juglandifolia","(Cambess.) Radlk.","Aquino, C; Nunes, LG","s.n.","2001","12","01","Southern America","Brasil","Minas Gerais","Dores de Guanhães","Dores de Guanhães. Jacaré.","-19.05","-19.05",NA,NA,NA,NA,"Plantas do Brasil",NA,NA,NA,NA,NA,NA,NA,NA
"17","2019-10-02 14:53:17-03","UFMG","BHCB","135415","PreservedSpecimen","Plantae","Dicotyledon","Euphorbiaceae","Micrandra","elata","Micrandra elata","(Didr.) Müll.Arg.","Mendes, MS; Pena, FSR","s.n.","2006",NA,NA,"Southern America","Brasil","Minas Gerais","Dores de Guanhães","Reservatório da PCH Funil.","-19.073056","-19.073056","-42.888611","-42.888611","595","595","Floresta Estacional semidecidual",NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-10-02 15:03:17-03","UFMG","BHCB","68432","PreservedSpecimen","Plantae","Dicotyledon","Sapotaceae","Micropholis","gardneriana","Micropholis gardneriana","(A.DC.) Pierre","Aquino, C; Nunes, LG","s.n.","2001","12","01","Southern America","Brasil","Minas Gerais","Dores de Guanhães","Dores de Guanhães. Monjolo.","-19.05","-19.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2019-10-02 15:00:21-03","UFMG","BHCB","68440","PreservedSpecimen","Plantae","Dicotyledon","Myrtaceae","Myrcia",NA,"Myrcia","DC.","Aquino, C; Nunes, LG","s.n.","2001","12","01","Southern America","Brasil","Minas Gerais","Dores de Guanhães","Dores de Guanhães. Retiro.","-19.05","-19.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-10-02 15:00:28-03","UFMG","BHCB","68441","PreservedSpecimen","Plantae","Dicotyledon","Myrtaceae","Myrcia","lacunosa","Myrcia lacunosa","(O.Berg) N.Silveira","Aquino, C; Nunes, LG","s.n.","2001","12","01","Southern America","Brasil","Minas Gerais","Dores de Guanhães","Dores de Guanhães. Pirapitinga.","-19.05","-19.05",NA,NA,NA,NA,NA,"2019","04",NA,"BHCB050474",NA,NA,NA,NA
"21","2019-10-02 15:00:36-03","UFMG","BHCB","135420","PreservedSpecimen","Plantae","Dicotyledon","Myrtaceae","Myrcia","splendens","Myrcia splendens","(Sw.) DC.","Mendes, MS; Pena, FSR","s.n.","2006",NA,NA,"Southern America","Brasil","Minas Gerais","Dores de Guanhães","Reservatório da PCH Funil.","-19.073056","-19.073056","-42.888611","-42.888611","595","595","Floresta Estacional semidecidual",NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-10-02 15:03:17-03","UFMG","BHCB","135422","PreservedSpecimen","Plantae","Dicotyledon","Sapotaceae","Pouteria",NA,"Pouteria",NA,"Mendes, MS; Pena, FSR","s.n.","2006",NA,NA,"Southern America","Brasil","Minas Gerais","Dores de Guanhães","Reservatório da PCH Funil.","-19.073056","-19.073056","-42.888611","-42.888611","595","595","Floresta Estacional semidecidual",NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-10-02 15:01:23-03","UFMG","BHCB","68429","PreservedSpecimen","Plantae","Dicotyledon","Phyllanthaceae","Richeria","grandis","Richeria grandis","Vahl","Aquino, C; Nunes, LG","s.n.","2001","12","01","Southern America","Brasil","Minas Gerais","Dores de Guanhães","Dores de Guanhães. Sumidouro.","-19.05","-19.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2019-10-02 14:52:41-03","UFMG","BHCB","135414","PreservedSpecimen","Plantae","Dicotyledon","Elaeocarpaceae","Sloanea","eichleri","Sloanea eichleri","K.Schum.","Mendes, MS; Pena, FSR","s.n.","2006",NA,NA,"Southern America","Brasil","Minas Gerais","Dores de Guanhães","Reservatório da PCH Funil.","-19.073056","-19.073056","-42.888611","-42.888611","595","595","Floresta Estacional semidecidual",NA,NA,NA,NA,NA,NA,NA,NA
"25","2019-10-02 14:52:41-03","UFMG","BHCB","68438","PreservedSpecimen","Plantae","Dicotyledon","Elaeocarpaceae","Sloanea","guianensis","Sloanea guianensis","(Aubl.) Benth.","Aquino, C; Nunes, LG","s.n.","2001","12","01","Southern America","Brasil","Minas Gerais","Dores de Guanhães","Dores de Guanhães. Jacaré.","-19.05","-19.05",NA,NA,NA,NA,NA,"2010","01",NA,NA,NA,NA,NA,NA
"26","2019-12-16 17:41:39-03","UFMG","BHCB","135413","PreservedSpecimen","Plantae","Dicotyledon","Apocynaceae","Tabernaemontana",NA,"Tabernaemontana",NA,"Mendes, MS; Pena, FSR","s.n.","2006",NA,NA,"Southern America","Brasil","Minas Gerais","Dores de Guanhães","Reservatório da PCH Funil.","-19.073056","-19.073056","-42.888611","-42.888611","595","595","Floresta Estacional Semidecidual",NA,NA,NA,"BHCB053170",NA,NA,NA,NA
"27","2019-10-02 14:59:35-03","UFMG","BHCB","68427","PreservedSpecimen","Plantae","Dicotyledon","Meliaceae","Trichilia","ramalhoi","Trichilia ramalhoi","Rizzini","Aquino, C; Nunes, LG","s.n.","2001","12","01","Southern America","Brasil","Minas Gerais","Dores de Guanhães","Dores de Guanhães. Senhora do Porto.","-19.05","-19.05",NA,NA,"2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2019-10-02 15:02:56-03","UFMG","BHCB","135421","PreservedSpecimen","Plantae","Dicotyledon","Rutaceae","Zanthoxylum","monogynum","Zanthoxylum monogynum","A.St.-Hil.","Mendes, MS; Pena, FSR","s.n.","2006",NA,NA,"Southern America","Brasil","Minas Gerais","Dores de Guanhães","Reservatório da PCH Funil.","-19.073056","-19.073056","-42.888611","-42.888611","595","595","Floresta Estacional semidecidual",NA,NA,NA,NA,NA,NA,NA,NA
"29","2019-10-02 15:03:15-03","UFMG","BHCB","95292","PreservedSpecimen","Plantae","Dicotyledon","Sapotaceae","Chrysophyllum","marginatum","Chrysophyllum marginatum","(Hook. & Arn.) Radlk.","Mota, NFO; Viana, PL; Almeida, TE","520","2005","08","15","Southern America","Brasil","Minas Gerais","Dores de Guanhães","Caraça. PCH Jacaré.","-19.0583000183105",NA,"-42.92919921875",NA,"900","1200","Arvoreta em afloramento granítico, flores cremes; Arvoreta em afloramento granítico, flores cremes","2012","07",NA,"BHCB004660","20800","auto",NA,NA
"30","2019-10-02 15:06:04-03","UFMG","BHCB","95291","PreservedSpecimen","Plantae","Monocotyledon","Bromeliaceae","Dyckia",NA,"Dyckia",NA,"Mota, NFO; Viana, PL; Almeida, TE","519","2005","08","15","Southern America","Brasil","Minas Gerais","Dores de Guanhães","Caraça. PCH Jacaré.","-19.0583000183105",NA,"-42.92919921875",NA,"1200","1200","Rupícola em afloramento granítico, flores laranjas",NA,NA,NA,NA,"20800","auto",NA,NA
"31","2019-10-02 15:05:59-03","UFMG","BHCB","95290","PreservedSpecimen","Plantae","Monocotyledon","Bromeliaceae",NA,NA,NA,NA,"Mota, NFO; Viana, PL; Almeida, TE","518","2005","08","15","Southern America","Brasil","Minas Gerais","Dores de Guanhães","PCH Brejaúba.","-19.0583000183105",NA,"-42.92919921875",NA,NA,NA,"Rupícola em afloramento granítico na mata ciliar, inflorescencia amarela",NA,NA,NA,NA,"20800","auto",NA,NA
"32","2019-10-02 15:06:31-03","UFMG","BHCB","95287","PreservedSpecimen","Plantae","Monocotyledon","Cyperaceae","Pleurostachys",NA,"Pleurostachys",NA,"Mota, NFO; Viana, PL; Almeida, TE","515","2005","08","16","Southern America","Brasil","Minas Gerais","Dores de Guanhães","PCH Jacaré.","-19.0583000183105",NA,"-42.92919921875",NA,NA,NA,"Erva terrestre no interior de mata",NA,NA,NA,NA,"20800","auto",NA,NA
"33","2019-10-02 14:52:13-03","UFMG","BHCB","95289","PreservedSpecimen","Plantae","Dicotyledon","Clusiaceae","Clusia",NA,"Clusia",NA,"Mota, NFO; Viana, PL; Almeida, TE","517","2005","08","13","Southern America","Brasil","Minas Gerais","Dores de Guanhães","PCH Jacaré.","-19.0583000183105",NA,"-42.92919921875",NA,NA,NA,"Árvore de 4 m. de altura no interior de mata, frutos imaturos verdes",NA,NA,NA,NA,"20800","auto",NA,NA
"34","2019-10-02 14:54:05-03","UFMG","BHCB","95286","PreservedSpecimen","Plantae","Dicotyledon","Fabaceae","Inga","flagelliformis","Inga flagelliformis","(Vell.) Mart.","Mota, NFO; Viana, PL; Almeida, TE","514","2005","08","15","Southern America","Brasil","Minas Gerais","Dores de Guanhães","PCH Jacaré.","-19.0583000183105",NA,"-42.92919921875",NA,NA,NA,"Árvore de 5 m. de altura, caule floria. Flores com cálice verde e corola creme; Árvore de 5 m de altura, caule floria. Flores com cálice verde e corola creme.",NA,NA,NA,"BHCB008862","20800","auto",NA,NA
"35","2019-10-02 14:48:25-03","UFMG","BHCB","95285","PreservedSpecimen","Plantae","Dicotyledon","Annonaceae","Guatteria",NA,"Guatteria","Ruiz & Pav.","Mota, NFO; Viana, PL; Almeida, TE","513","2005","08","15","Southern America","Brasil","Minas Gerais","Dores de Guanhães","PCH Jacaré.","-19.0583000183105",NA,"-42.92919921875",NA,NA,NA,"Arvoreta de 2-4 m. de altura no interior de mata",NA,NA,NA,NA,"20800","auto",NA,NA
"36","2019-10-02 14:51:01-03","UFMG","BHCB","95284","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Verbesina",NA,"Verbesina","L.","Mota, NFO; Viana, PL; Almeida, TE","512","2005","08","16","Southern America","Brasil","Minas Gerais","Dores de Guanhães","PCH Jacaré.","-19.0583000183105",NA,"-42.92919921875",NA,"800","800","Plantas do Brasil. Interior de mata. Arbustivo. Capítulos amarelos.",NA,NA,NA,NA,"20800","auto",NA,NA
"37","2019-11-07 11:19:21-03","UFMG","BHCB-SL","93572","PreservedSpecimen","Plantae",NA,"Pteridaceae","Adiantum",NA,"Adiantum",NA,"Almeida, TE; Souza, DT; Mota, NFO; Viana, PL","58","2005","08","13","América","Brasil","Minas Gerais","Dores de Guanhães","Rio Guanhães.","-19.037472","-19.037472","-42.924556","-42.924556","505","505","Terrestre, à beira de trilha, no interior de mata",NA,NA,NA,NA,NA,NA,NA,NA
"38","2019-11-07 11:19:21-03","UFMG","BHCB-SL","93563","PreservedSpecimen","Plantae",NA,"Pteridaceae","Adiantum","diogoanum","Adiantum diogoanum","Graziani ex Baker","Almeida, TE; Souza, DT; Mota, NFO; Viana, PL","49","2005","08","13","América","Brasil","Minas Gerais","Dores de Guanhães","Rio Guanhães.","-19.037472","-19.037472","-42.924556","-42.924556","505","505","Terrestre, borda de mata, à margem do rio Guanhães","2005","08",NA,NA,NA,NA,"Almeida, TE; Salino, A",NA
"39","2020-02-11 18:26:28-03","UFMG","BHCB-SL","93567","PreservedSpecimen","Plantae",NA,"Pteridaceae","Adiantum","dolosum","Adiantum dolosum","Kunze","Almeida, TE; Souza, DT; Mota, NFO; Viana, PL","53","2005","08","13","América","Brasil","Minas Gerais","Dores de Guanhães","Rio Guanhães.","-19.037472","-19.037472","-42.924556","-42.924556","505","505","Terrestre, à beira de trilha, no interior de mata","2005","08",NA,NA,NA,NA,"Almeida, TE; Salino, A",NA
"40","2019-11-07 11:19:28-03","UFMG","BHCB-SL","93564","PreservedSpecimen","Plantae",NA,"Pteridaceae","Adiantum","glaucescens","Adiantum glaucescens","Klotzsch","Almeida, TE; Souza, DT; Mota, NFO; Viana, PL","50","2005","08","13","América","Brasil","Minas Gerais","Dores de Guanhães","Rio Guanhães.","-19.037472","-19.037472","-42.924556","-42.924556","505","505","Terrestre, à beira de trilha, no interior de mata","2006","09",NA,NA,NA,NA,"Prado, J",NA
"41","2019-11-07 11:19:31-03","UFMG","BHCB-SL","93569","PreservedSpecimen","Plantae",NA,"Pteridaceae","Adiantum","pulverulentum","Adiantum pulverulentum","L.","Almeida, TE; Souza, DT; Mota, NFO; Viana, PL","55","2005","08","13","América","Brasil","Minas Gerais","Dores de Guanhães","Rio Guanhães., Floresta Estacional Semidecidual","-19.037472","-19.037472","-42.924556","-42.924556","505","505","Terrestre, à beira de trilha, próximo à borda, no interior de mata","2005","08",NA,NA,NA,NA,"Almeida, TE",NA
"42","2019-11-07 11:19:35-03","UFMG","BHCB-SL","93562","PreservedSpecimen","Plantae",NA,"Pteridaceae","Adiantum","subcordatum","Adiantum subcordatum","Sw.","Almeida, TE; Souza, DT; Mota, NFO; Viana, PL","48","2005","08","13","América","Brasil","Minas Gerais","Dores de Guanhães",NA,"-19.037472","-19.037472","-42.924556","-42.924556","50","50","Terrestre, à beira de trilha, no interior de mata","2005","08",NA,NA,NA,NA,"Almeida, TE",NA
"43","2020-03-04 20:43:43-03","UFMG","BHCB-SL","93587","PreservedSpecimen","Plantae",NA,"Thelypteridaceae","Amauropelta","opposita","Amauropelta opposita","(Vahl) Pic.Serm.","Almeida, TE; Souza, DT; Mota, NFO; Viana, PL","73","2005","08","14","América","Brasil","Minas Gerais","Dores de Guanhães","Rio Guanhães., Floresta Estacional Semidecidual","-19.003694","-19.003694","-42.945556","-42.945556","500","500","Terrestre, em brejo, em área aberta","2005","08",NA,NA,NA,NA,"Almeida, TE; Salino, A",NA
"44","2019-11-07 11:13:45-03","UFMG","BHCB-SL","93594","PreservedSpecimen","Plantae",NA,"Anemiaceae","Anemia",NA,"Anemia","Sw.","Almeida, TE; Souza, DT; Mota, NFO; Viana, PL","80","2005","08","15","América","Brasil","Minas Gerais","Dores de Guanhães","Serra do Caraça","-19.070639","-19.070639","-42.873111","-42.873111",NA,NA,"Rupícola no paredão rochoso granítico","2005","08",NA,NA,NA,NA,"Almeida, TE; Salino, A",NA
