"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag"
"1","2020-03-10 08:28:01-03","UFV","VIC","23225","PreservedSpecimen","Plantae","Campanulaceae","Hippobroma","longiflora","Hippobroma longiflora","(L) G.Don","Vieira, A.O.S.","2018","10","10","Cupertino, M.C. do","s.n.","1999","02","13","Brasil","Minas Gerais","Vermelho Novo","Córrego dos Cupertinos - Sítio Bananal, Cresce em local úmido.","-42.2668991088867","-20.0361003875732","8129","Frequente o ano todo, assim como a floração e frutificação. Trabalho prático de BVE 230.","VIC023225","VIC023225","auto"
"2","2019-02-27 14:01:54-03","UFSJ","HUFSJ","204","S","Plantae","Commelinaceae","Commelina","diffusa","Commelina diffusa","Burm.f.","Pellegrini, M","2017","06","12","Costa, VDC","s.n.",NA,NA,NA,"Brasil","Minas Gerais","Vermelho Novo",NA,"-42.2668991088867","-20.0361003875732","8129","Planta rastejante encontrada em locais muito úmidos e ricos em matéria orgânica.","HUFSJ000204",NA,"auto"
