"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","year","month","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","day","continentOcean","verbatimLongitude","verbatimLatitude","preparationType","barcode","imagecode","typeStatus","infraspecificEpithet","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","class","relatedCatalogItem"
"1","2019-06-10 10:10:41-03","FZB-BH","CVJBFZB","687","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Billbergia","horrida","Billbergia horrida","Regel","Elton. C. M. Leme","2011","08","Reginaldo de V. Leitão;","2005","12","Brasil","Minas Gerais","Governador Valadares","Cerca de 50 Km da cidade, às margens do rio Tronqueiras, Distrito de Goiabal","-41.9494018554688","-18.8511009216309","50833","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:41-03","FZB-BH","CVJBFZB","686","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Billbergia","lymanii","Billbergia lymanii","E.Pereira & Leme","Elton. C. M. Leme","2011","08","Reginaldo de V. Leitão;","2005","12","Brasil","Minas Gerais","Governador Valadares","Cerca de 50 Km da cidade, às margens do rio Tronqueiras, Distrito de Goiabal","-41.9494018554688","-18.8511009216309","50833","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","688","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Neoregelia","kerryi","Neoregelia kerryi","Leme","Elton. C. M. Leme","2011","08","Reginaldo de V. Leitão;","2005","12","Brasil","Minas Gerais","Governador Valadares","Cerca de 50 Km da cidade, às margens do rio Tronqueiras, Distrito de Goiabal","-41.9494018554688","-18.8511009216309","50833","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","689","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Neoregelia","sp.","Neoregelia sp.",NA,"Elton. C. M. Leme","2011","08","Reginaldo de V. Leitão;","2005","12","Brasil","Minas Gerais","Governador Valadares","Cerca de 50 Km da cidade, às margens do rio Tronqueiras, Distrito de Goiabal","-41.9494018554688","-18.8511009216309","50833","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-16 16:55:48-03","NYBG","NYBG","1033208","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Pfaffia","glomerata","Pfaffia glomerata","(Spreng.) Pedersen","M. H. Nee","2000",NA,"Z. A. Trinta","1964","04","Brazil","Minas Gerais","Governador Valadares","Governador Valadares.","-41.9492","-18.8511",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1216427 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"730","19","South America","-41.9492","-18.8511","sheet","NY01033208","NY01033208",NA,NA,NA,NA,NA,NA,NA
"6","2019-12-16 18:35:43-03","NYBG","NYBG","01067816","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","aduncum","Piper aduncum","L.","R. de Castro","2004","05","R. de Castro","2004","02","Brazil","Minas Gerais","Governador Valadares",NA,"-41.9492","-18.8511",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1216166 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"944","23","South America","-41.9492","-18.8511","sheet","NY01067816","NY01067816",NA,NA,NA,NA,NA,NA,NA
"7","2019-12-16 18:14:14-03","NYBG","NYBG","01090460","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Prockia","crucis","Prockia crucis","P.Browne ex L.",NA,NA,NA,"R. de Castro","2004","02","Brazil","Minas Gerais","Governador Valadares",NA,"-41.9492","-18.8511",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1222488 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"939","23","South America","-41.9492","-18.8511","sheet","NY01090460","NY01090460",NA,NA,NA,NA,NA,NA,NA
"8","2019-12-16 17:35:43-03","NYBG","NYBG","1842758","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Rauvolfia","pruinosifolia","Rauvolfia pruinosifolia","I.Koch & Kin.-Gouv.",NA,NA,NA,"M. Magalhães","1963",NA,"Brazil","Minas Gerais","Governador Valadares",NA,"-41.9494018554688","-18.8511009216309","50833",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2047271 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","auto","19185",NA,"South America",NA,NA,"sheet","NY01842758","NY01842758","paratype",NA,NA,NA,NA,NA,NA
"9","2019-12-16 16:55:16-03","NYBG","NYBG","00837916","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Achyranthes",NA,"Achyranthes",NA,NA,NA,NA,"Z. A. Trinta","1964","04","Brazil","Minas Gerais","Governador Valadares","Governador Valadares","-41.9492","-18.8511",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=930651 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"714","19","South America","-41.9492","-18.8511","sheet","NY00837916","NY00837916",NA,NA,NA,NA,NA,NA,NA
"10","2019-12-16 17:50:20-03","NYBG","NYBG","1549837","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Verbenaceae","Aloysia","virgata","Aloysia virgata urticoides","(Cham.) Siedo","S. J. Siedo","2010",NA,"G. M. Magalhaes","1943","11","Brazil","Minas Gerais","Governador Valadares","Chonim","-41.9494018554688","-18.8511009216309","50833",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1799733 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","auto","4328","08","South America",NA,NA,"sheet","NY01549837","NY01549837",NA,"urticoides",NA,NA,NA,NA,NA
"11","2019-12-16 16:55:31-03","NYBG","NYBG","00837996","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Alternanthera","tenella","Alternanthera tenella","Colla","J. A. Mears","1980","11","Z. A. Trinta","1964","04","Brazil","Minas Gerais","Governador Valadares","Governador Valadares","-41.9492","-18.8511",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=931173 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"715","19","South America","-41.9492","-18.8511","sheet","NY00837996",NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-12-16 19:08:27-03","NYBG","NYBG","910207","PreservedSpecimen","Plantae","Magnoliophyta","Zingiberales","Cannaceae","Canna","glauca","Canna glauca","L.","W. Segeren","1970",NA,"Z. A. Trinta","1964","04","Brazil","Minas Gerais","Governador Valadares","Governador Valadares.","-41.9492","-18.8511",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=981364 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"729","19","South America","-41.9492","-18.8511","sheet","NY00910207","NY00910207",NA,NA,NA,NA,NA,NA,NA
"13","2019-12-16 17:57:10-03","NYBG","NYBG","02210592","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Achariaceae","Carpotroche","brasiliensis","Carpotroche brasiliensis","(Raddi) Endl.",NA,NA,NA,"G. M. Magalhaes","1941","11","Brazil","Minas Gerais","Governador Valadares","Campo de Sementes.","-41.9492","-18.8511",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2499315 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"900","25","South America","-41.9492","-18.8511","sheet","NY02210592","NY02210592",NA,NA,NA,NA,NA,NA,NA
"14","2019-12-16 16:49:38-03","NYBG","NYBG","00924576","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Chromolaena","squalida","Chromolaena squalida","(DC.) R.M.King & H.Rob.","H. E. Robinson","2007",NA,"Z. A. Trinta","1964","04","Brazil","Minas Gerais","Governador Valadares","Governador Valadares","-41.9492","-18.8511",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1004200 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"719","19","South America","-41.9492","-18.8511","sheet","NY00924576","NY00924576",NA,NA,NA,NA,NA,NA,NA
"15","2019-12-16 16:49:38-03","NYBG","NYBG","872195","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Chromolaena","squalida","Chromolaena squalida","(DC.) R.M.King & H.Rob.",NA,NA,NA,"Z. A. Trinta","1964","04","Brazil","Minas Gerais","Governador Valadares",NA,"-41.9492","-18.8511",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=939213 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"1795","19","South America","-41.9492","-18.8511","sheet","NY00872195","NY00872195",NA,NA,NA,NA,NA,NA,NA
"16","2019-12-16 19:08:10-03","NYBG","NYBG","840977","PreservedSpecimen","Plantae","Magnoliophyta","Vitales","Vitaceae","Cissus","erosa","Cissus erosa","Rich.","J. A. Lombardi","1993","12","Z. A. Trinta","1964","04","Brazil","Minas Gerais","Governador Valadares","Governador Valadares","-41.9492","-18.8511",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=921736 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"725","19","South America","-41.9492","-18.8511","sheet","NY00840977","NY00840977",NA,NA,NA,NA,NA,NA,NA
"17","2019-12-16 16:59:26-03","NYBG","NYBG","1006548","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Cucurbitaceae","Cucumis","anguria","Cucumis anguria","L.","M. H. Nee","1985",NA,"Z. A. Trinta","1964","04","Brazil","Minas Gerais","Governador Valadares","Governador Valadares.","-41.9492","-18.8511",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1114399 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"720","19","South America","-41.9492","-18.8511","sheet","NY01006548","NY01006548",NA,NA,NA,NA,NA,NA,NA
"18","2019-12-16 18:43:50-03","NYBG","NYBG","00862185","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Digitaria","insularis","Digitaria insularis","(L.) Fedde","M. H. Nee","1998",NA,"Z. A. Trinta","1964","04","Brazil","Minas Gerais","Governador Valadares","Governador Valadares","-41.9492","-18.8511",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=939879 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"716","19","South America","-41.9492","-18.8511","sheet","NY00862185","NY00862185",NA,NA,NA,NA,NA,NA,NA
"19","2019-12-16 17:20:42-03","NYBG","NYBG","2634446","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Dioclea","virgata","Dioclea virgata","(Rich.) Amshoff",NA,NA,NA,"Z. A. Trinta","1964","04","Brazil","Minas Gerais","Governador Valadares","Governador Valadares","-41.9492","-18.8511",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2940451 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"711","19","South America","-41.9492","-18.8511","sheet","NY02634446","NY02634446",NA,NA,NA,NA,NA,NA,NA
"20","2019-12-16 17:20:41-03","NYBG","NYBG","00984464","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Dioclea","virgata","Dioclea virgata",NA,"R. C. Barneby","1984",NA,"E. Trinta","1964","04","Brazil","Minas Gerais","Governador Valadares","Governador Valadares","-41.9492","-18.8511",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1122817 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"711","19","South America","-41.9492","-18.8511","sheet","NY00984464","NY00984464",NA,NA,NA,NA,NA,NA,NA
"21","2019-12-16 17:20:41-03","NYBG","NYBG","00984488","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Dioclea","virgata","Dioclea virgata",NA,"R. C. Barneby","1984",NA,"E. Trinta","1964","04","Brazil","Minas Gerais","Governador Valadares","G. Valadares","-41.9492","-18.8511",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1122815 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"843","21","South America","-41.9492","-18.8511","sheet","NY00984488","NY00984488",NA,NA,NA,NA,NA,NA,NA
"22","2019-12-16 17:20:42-03","NYBG","NYBG","2634447","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Dioclea","virgata","Dioclea virgata","(Rich.) Amshoff",NA,NA,NA,"Z. A. Trinta","1964","04","Brazil","Minas Gerais","Governador Valadares","G. Valadares","-41.9492","-18.8511",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2940452 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"843","21","South America","-41.9492","-18.8511","sheet","NY02634447","NY02634447",NA,NA,NA,NA,NA,NA,NA
"23","2019-12-16 17:20:42-03","NYBG","NYBG","00984028","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Dioclea","virgata","Dioclea virgata virgata","(Rich.) Amshoff","R. H. Maxwell","1969","09","Z. A. Trinta","1964","04","Brazil","Minas Gerais","Governador Valadares","G. Valadares","-41.9492","-18.8511",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1118379 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"843","21","South America","-41.9492","-18.8511","sheet","NY00984028","NY00984028",NA,"virgata","09",NA,NA,NA,NA
"24","2019-12-16 17:20:42-03","NYBG","NYBG","600434","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Dioclea","virgata","Dioclea virgata virgata","(Rich.) Amshoff","R. H. Maxwell","1969","09","Z. A. Trinta","1964","04","Brazil","Minas Gerais","Governador Valadares","Governador Valadares","-41.9492","-18.8511",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=91361 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"711","19","South America","-41.9492","-18.8511","sheet","NY00600434","NY00600434",NA,"virgata","09",NA,NA,NA,NA
"25","2019-12-16 16:49:55-03","NYBG","NYBG","00855988","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Eclipta","prostrata","Eclipta prostrata",NA,NA,NA,NA,"Z. A. Trinta","1964","04","Brazil","Minas Gerais","Governador Valadares",NA,"-41.9492","-18.8511",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=937672 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"724","19","South America","-41.9492","-18.8511","sheet","NY00855988","NY00855988",NA,NA,NA,NA,NA,NA,NA
"26","2019-12-16 18:56:35-03","NYBG","NYBG","01090473","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Galipea","jasminiflora","Galipea jasminiflora","(A.St.-Hil.) Engl.","J. R. Pirani","2004","07","R. de Castro","2004","02","Brazil","Minas Gerais","Governador Valadares",NA,"-41.9492","-18.8511",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1222544 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"922","23","South America","-41.9492","-18.8511","sheet","NY01090473","NY01090473",NA,NA,NA,NA,NA,NA,NA
"27","2019-12-16 17:22:04-03","NYBG","NYBG","01055492","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Indigofera","suffruticosa","Indigofera suffruticosa","Mill.","R. R. Duré Rodas","1988","04","Z. A. Trinta","1964","04","Brazil","Minas Gerais","Governador Valadares","Governador Valadares","-41.9492","-18.8511",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1141643 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"723","19","South America","-41.9492","-18.8511","sheet","NY01055492","NY01055492",NA,NA,"11",NA,NA,NA,NA
"28","2019-12-16 18:59:41-03","NYBG","NYBG","1013936","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","grandifolia","Ipomoea grandifolia",NA,"D. F. Austin","1978","03","Z. A. Trinta","1964","04","Brazil","Minas Gerais","Governador Valadares","Governador Valadares.","-41.9492","-18.8511",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1106745 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"713","19","South America","-41.9492","-18.8511","sheet","NY01013936","NY01013936",NA,NA,NA,NA,NA,NA,NA
"29","2019-12-16 18:59:41-03","NYBG","NYBG","1013940","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","grandifolia","Ipomoea grandifolia",NA,"D. F. Austin","1978","03","Z. A. Trinta","1964","04","Brazil","Minas Gerais","Governador Valadares","Governador Valadares.","-41.9492","-18.8511",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1106752 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"726","19","South America","-41.9492","-18.8511","sheet","NY01013940","NY01013940",NA,NA,NA,NA,NA,NA,NA
"30","2019-12-16 18:59:56-03","NYBG","NYBG","1014038","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","quamoclit","Ipomoea quamoclit","L.","J. I. de A. Falcao","1979",NA,"J. P. P. Carauta","1978","04","Brazil","Minas Gerais","Governador Valadares","Cidade dos Meninos (Campo das Sementes), em floresta próxima à estrada para Teófilo Otoni.","-41.9492","-18.8511",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1107549 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"2878","25","South America","-41.9492","-18.8511","sheet","NY01014038","NY01014038",NA,NA,NA,NA,NA,NA,NA
"31","2019-12-16 18:59:58-03","NYBG","NYBG","494212","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Jacquemontia","tamnifolia","Jacquemontia tamnifolia",NA,"D. F. Austin","1978","03","Z. A. Trinta","1964","04","Brazil","Minas Gerais","Governador Valadares","Governador Valadares","-41.9492","-18.8511",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=169843 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"728","19","South America","-41.9492","-18.8511","sheet","NY00494212","NY00494212",NA,NA,"01",NA,NA,NA,NA
"32","2019-12-16 17:44:56-03","NYBG","NYBG","01059883","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Justicia","scheidweileri","Justicia scheidweileri","V.A.W.Graham","R. de Castro","2004","04","R. de Castro","2004","02","Brazil","Minas Gerais","Governador Valadares",NA,"-41.9492","-18.8511",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1200415 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"931","23","South America","-41.9492","-18.8511","sheet","NY01059883","NY01059883",NA,NA,NA,NA,NA,NA,NA
"33","2019-12-16 17:23:09-03","NYBG","NYBG","01057483","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Lonchocarpus","cultratus","Lonchocarpus cultratus","(Vell.) A.M.G.Azevedo & H.C.Lima","A. M. G. de Azevedo-Tozzi","1993",NA,"A. P. Duarte","1964","11","Brazil","Minas Gerais","Governador Valadares","Governador Valadares BR-4","-41.9492","-18.8511",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1142910 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"8603","25","South America","-41.9492","-18.8511","sheet","NY01057483","NY01057483",NA,NA,NA,NA,NA,NA,NA
"34","2019-12-16 17:23:10-03","NYBG","NYBG","01057530","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Lonchocarpus","guillemineanus","Lonchocarpus guillemineanus",NA,"H. Poppendieck","1991","08","A. P. Duarte","1964","11","Brazil","Minas Gerais","Governador Valadares","Governador Valladares- BR4","-41.9492","-18.8511",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1142905 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"8603","25","South America","-41.9492","-18.8511","sheet","NY01057530","NY01057530",NA,NA,"17",NA,NA,NA,NA
"35","2019-12-16 17:23:40-03","NYBG","NYBG","01057498","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Machaerium","hirtum","Machaerium hirtum","(Vell.) Stellfeld","F. L. R. Filardi","2010",NA,"Z. A. Trinta","1964","04","Brazil","Minas Gerais","Governador Valadares","Governador Valadares","-41.9492","-18.8511",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1161988 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"727","19","South America","-41.9492","-18.8511","sheet","NY01057498","NY01057498",NA,NA,NA,NA,NA,NA,NA
"36","2019-12-16 16:45:37-03","NYBG","NYBG","00664237","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Syagrus","macrocarpa","Syagrus macrocarpa","Barb.Rodr.",NA,NA,NA,"L. R. Noblick","1992","03","Brazil","Minas Gerais","Governador Valadares","Cultivated at the edge of town","-41.93","-18.85",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=187462 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"4841","15","South America","-41.93","-18.85","sheet","NY00664237","NY00664237_01 NY00664237_02 NY00664237_03 NY00664237_04",NA,NA,NA,"150","300",NA,NA
"37","2019-12-16 18:48:39-03","NYBG","NYBG","01021636","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Cannabaceae","Trema","micrantha","Trema micrantha","(L.) Blume","M. H. Nee",NA,NA,"G. M. Magalhaes","1941","11","Brazil","Minas Gerais","Governador Valadares","Campo de Sementes.","-41.9492","-18.8511",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1105382 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"812","24","South America","-41.9492","-18.8511","sheet","NY01021636","NY01021636",NA,NA,NA,NA,NA,NA,NA
"38","2019-12-16 18:15:05-03","NYBG","NYBG","00942988","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Wissadula","contracta","Wissadula contracta","(Link) R.E.Fr.","A. Krapovickas","1975",NA,"Z. A. Trinta","1964","04","Brazil","Minas Gerais","Governador Valadares",NA,"-41.9492","-18.8511",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1061713 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"717","19","South America","-41.9492","-18.8511","sheet","NY00942988","NY00942988",NA,NA,NA,NA,NA,NA,NA
"39","2019-12-16 18:15:05-03","NYBG","NYBG","00942989","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Wissadula","contracta","Wissadula contracta","(Link) R.E.Fr.",NA,NA,NA,"Z. A. Trinta","1964","04","Brazil","Minas Gerais","Governador Valadares",NA,"-41.9492","-18.8511",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1061716 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"717","19","South America","-41.9492","-18.8511","sheet","NY00942989","NY00942989",NA,NA,NA,NA,NA,NA,NA
"40","2019-12-16 17:32:02-03","NYBG","NYBG","1523074","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Zornia","latifolia","Zornia latifolia","Sm.","A. P. Fortuna Perez","2008",NA,"Z. A. Trinta","1964","04","Brazil","Minas Gerais","Governador Valadares","Governador Valadares.","-41.9492","-18.8511",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1791208 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"721","19","South America","-41.9492","-18.8511","sheet","NY01523074","NY01523074",NA,NA,NA,NA,NA,NA,NA
"41","2019-12-16 17:32:02-03","NYBG","NYBG","1523076","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Zornia","latifolia","Zornia latifolia","Sm.","A. P. Fortuna Perez","2008",NA,"Z. A. Trinta","1964","04","Brazil","Minas Gerais","Governador Valadares","Governador Valadares.","-41.9492","-18.8511",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1791227 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"721","19","South America","-41.9492","-18.8511","sheet","NY01523076","NY01523076",NA,NA,NA,NA,NA,NA,NA
"42","2019-12-16 17:32:02-03","NYBG","NYBG","1523077","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Zornia","latifolia","Zornia latifolia","Sm.","A. P. Fortuna Perez","2008",NA,"Z. A. Trinta","1964","04","Brazil","Minas Gerais","Governador Valadares","Governador Valadares.","-41.9492","-18.8511",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1791230 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"721","19","South America","-41.9492","-18.8511","sheet","NY01523077","NY01523077",NA,NA,NA,NA,NA,NA,NA
"43","2020-02-04 14:17:14-03","UNESP-IBB","BOTU","16195","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Pappophorum","mucronulatum","Pappophorum mucronulatum","Nees","Lendulsky, T.","1974","11","Gemtchújnicov, I.D.","1974","11","Brasil","Minas Gerais","Governador Valadares","Estrada 116, na proximidade de Gov. Valadares.","-41.9494018554688","-18.8511009216309","50833",NA,NA,"auto",NA,"01",NA,NA,NA,NA,"BOTU016195",NA,NA,NA,"01",NA,NA,NA,NA
"44","2020-02-04 14:17:14-03","UNESP-IBB","BOTU","16222","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Pappophorum","mucronulatum","Pappophorum mucronulatum","Nees",NA,NA,NA,"Gemtchújnicov, I.D.","1974","02","Brasil","Minas Gerais","Governador Valadares","Próximo a Gov. Valadares.","-41.9494018554688","-18.8511009216309","50833",NA,NA,"auto",NA,"01",NA,NA,NA,NA,"BOTU016222",NA,NA,NA,NA,NA,NA,NA,NA
"45","2020-02-04 14:17:14-03","UNESP-IBB","BOTU","17214","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Pappophorum","mucronulatum","Pappophorum mucronulatum","Nees","Lendulsky, T.",NA,NA,"Gemtchújnicov, I.D.",NA,NA,"Brasil","Minas Gerais","Governador Valadares","Estrada 116, na proximidade de Gov. Valadares.","-41.9494018554688","-18.8511009216309","50833",NA,NA,"auto",NA,NA,NA,NA,NA,NA,"BOTU017214",NA,NA,NA,NA,NA,NA,NA,NA
"46","2019-09-24 10:55:20-03","EAO","IAN","14481","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Caesalp.","Peltophorum","dubium","Peltophorum dubium","Taub.","Barreto, M",NA,NA,"Magalhães, MG","1941","11","Brasil","Minas Gerais","Governador Valadares","Mata, base da Serra da Ibituruna, muito frequente.","-41.9494018554688","-18.8511009216309","50833",NA,"Árvore de 8m de altura, flores amarelas.","auto","880","29","Southern America",NA,NA,NA,"IAN014481",NA,NA,NA,NA,NA,NA,NA,NA
