"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","specificEpithet","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","class","previousCatalogNumber","typeStatus","infraspecificEpithet","individualCount","relatedCatalogItem"
"1305","2020-03-10 08:27:44-03","UFV","VIC","013841","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Tillandsia","Tillandsia usneoides","de Paula, C.C.","1005","1994","10","25",NA,"Brasil","Minas Gerais","Araponga","PESB, fazenda do Brigadeiro em Araucária próximo a Sede, cerca de 12.5 m de alt.","-42.5208015441895","-20.6667003631592",NA,NA,NA,NA,NA,"Epífita de até 2 m, forma grandes colônias, pequena ocorrência em parque.","VIC013841","VIC013841","usneoides","L.",NA,NA,NA,"16385","auto",NA,NA,NA,NA,NA,NA,NA
"1306","2020-03-10 08:30:57-03","UFV","VIC","024056","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Vellozia","Vellozia albiflora","Garcia, F.C.P.; et al.","s.n.","1999","12","01",NA,"Brasil","Minas Gerais","Araponga","PESB, Fazenda do Brigadeiro em campo de altitude.","-42.5208015441895","-20.6667003631592",NA,NA,NA,NA,NA,"Hábito rupícoçla, herbácea, flores de cálice e corola azulados de base branca, anteras e estigmas amarelos, campo de altitude.","VIC024056","VIC024056","albiflora","Pohl",NA,NA,NA,"16385","auto",NA,NA,NA,NA,NA,NA,NA
"1307","2020-03-10 08:27:45-03","UFV","VIC","15688","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","Vriesea ruschii","Paula, C.C. de","1071","1995","12","20",NA,"Brasil","Minas Gerais","Araponga","PESB, Fazenda do Brigadeiro, junto ao corrego-do-ouro; a 1700 m da Faz. +- 1300 m de altitude","-42.5208015441895","-20.6667003631592",NA,NA,NA,NA,NA,"Planta isolada, epífita, flores creme e inflorescêcia com 2 ramificações, esciófila","VIC015688","VIC015688","ruschii","L.B.Sm.","Paula, C.C. de","1996","01","16385","auto","09",NA,NA,NA,NA,NA,NA
"1308","2020-03-10 08:29:48-03","UFV","VIC","016097","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Gomesa","Gomesa recurvata","de Paula, C.C.","1148","1996","07","19",NA,"Brasil","Minas Gerais","Araponga","PESB, Fazenda do Brigadeiro, margem de corrego de ouro a cerca de 1350 m de altitude.","-42.5208015441895","-20.6667003631592",NA,NA,NA,NA,NA,"Epífita, esciófila, tépalas amarelas.","VIC016097","VIC016097","recurvata","R. Br.",NA,NA,NA,"16385","auto",NA,NA,NA,NA,NA,NA,NA
"1309","2020-03-10 08:27:42-03","UFV","VIC","015142","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Quesnelia","Quesnelia reideliana","de Paula, C.C.","1047","1995","09","23",NA,"Brasil","Minas Gerais","Araponga","PESB-Fazenda do Brigadeiro, Margem de corrêgo de Ouro cerca de 1220 m de alittude.","-42.5208015441895","-20.6667003631592",NA,NA,NA,NA,NA,"Brácteas rosas e flores azuis, cresce sobre a matéria orgânica sobre as rochas.","VIC015142","VIC015142","reideliana","L.B.Smith & Reitz",NA,NA,NA,"16385","auto",NA,NA,NA,NA,NA,NA,NA
"1310","2020-03-10 08:27:44-03","UFV","VIC","013844","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Tillandsia","Tillandsia tenuifolia","de Paula, C.C.","1001","1994","10","23",NA,"Brasil","Minas Gerais","Araponga","PESB, Fazenda do Brigadeiro, na Araucária próximo a sede, a 1250 m de alt.","-42.5208015441895","-20.6667003631592",NA,NA,NA,NA,NA,"Epífita de colônias abundantes.","VIC013844","VIC013844","tenuifolia","L.",NA,NA,NA,"16385","auto",NA,NA,NA,NA,NA,NA,NA
"1311","2020-03-10 08:29:49-03","UFV","VIC","016119","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Stelis","Stelis megantha","Paula, C.C. de","999","1995","04",NA,NA,"Brasil","Minas Gerais","Araponga","PESB, Fazenda dop Brigadeiro","-42.5208015441895","-20.6667003631592",NA,NA,NA,NA,NA,"Epífita, em colônia, esciófila.","VIC016119","VIC016119","megantha","Rodr.",NA,NA,NA,"16385","auto",NA,NA,NA,NA,NA,NA,NA
"1312","2020-03-10 08:28:36-03","UFV","VIC","011226","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Vanhouttea","Vanhouttea pendula","Drummond","s.n.","1945","06","17",NA,"Brasil","Minas Gerais","Araponga","PESB, Fazenda Dutra.","-42.5208015441895","-20.6667003631592",NA,NA,NA,NA,NA,"Sob capoeirinha, no alto da pedra.1700 m, flor vermelha,cerca de 1 m, pêndula.","VIC011226","VIC011226","pendula","Chautems",NA,NA,NA,"16385","auto",NA,NA,NA,NA,NA,NA,NA
"1313","2020-03-10 08:30:36-03","UFV","VIC","019047","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Psychotria","Psychotria","Silva, A.F.","2260","2002","04","06",NA,"Brasil","Minas Gerais","Araponga","PESB, Fazenda Neblina","-42.5208015441895","-20.6667003631592",NA,NA,NA,NA,NA,"Arvoreta de cerca de 3,5 m, frutos verdes.","VIC019047","VIC019047",NA,NA,NA,NA,NA,"16385","auto",NA,NA,NA,NA,NA,NA,NA
"1314","2020-03-10 08:30:36-03","UFV","VIC","019048","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Psychotria","Psychotria","Silva, A.F.","2256","2002","04","06",NA,"Brasil","Minas Gerais","Araponga","PESB, Fazenda Neblina","-42.5208015441895","-20.6667003631592",NA,NA,NA,NA,NA,"Arvoreta de 3,5 m, frutos verdes","VIC019048","VIC019048",NA,NA,NA,NA,NA,"16385","auto",NA,NA,NA,NA,NA,NA,NA
"1315","2020-03-10 08:27:34-03","UFV","VIC","043091","PreservedSpecimen","Plantae",NA,NA,"Blechnaceae","Blechnum","Blechnum polypodioides","Schwartsburd, P.B.; et al.","2911","2014","01","20",NA,"Brasil","Minas Gerais","Araponga","PESB, Floresta Estacional Semidecidual. Caprinocultura e pedreira.","-42.5208015441895","-20.6667003631592",NA,NA,NA,NA,NA,NA,"VIC043091","VIC043091","polypodioides","Raddi.",NA,NA,NA,"16385","auto",NA,NA,NA,NA,NA,NA,NA
"1316","2020-03-10 08:27:34-03","UFV","VIC","043121","PreservedSpecimen","Plantae",NA,NA,"Blechnaceae","Blechnum","Blechnum glandulosum","Schwartsburd, P.B.; et al.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Araponga","PESB, Floresta Estacional Semidecidual. Caprinocultura e pedreira.","-42.5208015441895","-20.6667003631592",NA,NA,NA,NA,NA,NA,"VIC043121","VIC043121","glandulosum","Kaulf",NA,NA,NA,"16385","auto",NA,NA,NA,NA,NA,NA,NA
"1317","2020-03-10 08:30:17-03","UFV","VIC","044652","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Merostachys","Merostachys","Silva, A.P.; Costa, C.J.","140","2015","03","03",NA,"Brasil","Minas Gerais","Araponga","PESB, Laje de Ouro.","-42.5208015441895","-20.6667003631592",NA,NA,NA,NA,NA,NA,"VIC044652","VIC044652",NA,NA,NA,NA,NA,"16385","auto",NA,NA,NA,NA,NA,NA,NA
"1318","2020-03-10 08:29:02-03","UFV","VIC","31273","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","Miconia","Silva, A. .F. da; Ferreira Jr, W. .G.","2514","2006","02","17",NA,"Brasil","Minas Gerais","Araponga","PESB, Floresta Ombrófila","-42.5208015441895","-20.6667003631592",NA,NA,NA,NA,NA,"Arvoreta de 5m de altura; ramos e cálice verde-pardacentro; pétalas brancas na antese.","VIC031273","VIC031273",NA,NA,NA,NA,NA,"16385","auto",NA,NA,NA,NA,NA,NA,NA
"1319","2020-03-10 08:29:51-03","UFV","VIC","041716","PreservedSpecimen","Plantae",NA,NA,"Papilionoideae","Aeschynomene","Aeschynomene falcata","Siqueira, L.C. de","657","2012","03","05",NA,"Brasil","Minas Gerais","Araponga","PESB, Heliponto na sede do PESB.","-42.5208015441895","-20.6667003631592",NA,NA,NA,NA,NA,"Herbácea com presença de flores amarelas.","VIC041716","VIC041716","falcata","(Poir.) DC.",NA,NA,NA,"16385","auto",NA,NA,NA,NA,NA,NA,NA
