"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","specificEpithet","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","class","previousCatalogNumber","typeStatus","infraspecificEpithet","individualCount","relatedCatalogItem"
"1","2019-12-16 19:14:39-03","NYBG","NYBG","2422897","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Polystichum","Polystichum","A. Salino","4900","1999","07","10","South America","Brazil","Minas Gerais","Araponga","Parque Estadual da Serra do Brigadeiro, nas proximidades da sede.","-42.5206","-20.6669","-42.5206","-20.6669","1400","1400","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2674892 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02422897","NY02422897",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-16 19:14:39-03","NYBG","NYBG","1039318","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Polystichum","Polystichum platylepis","C. M. Mynssen","1171","2009","11","24","South America","Brazil","Minas Gerais","Araponga","Parque Estadual da Serra do Brigadeiro, trilha do Moinha.","-42.5208","-20.6667","-42.5208","-20.6667","1200","1200","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1485449 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01039318","NY01039318","platylepis","Fée","F. B. Matos","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-16 18:40:29-03","NYBG","NYBG","00938428","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","Rhynchospora cryptantha","A. N. Caiafa","147","2001","03","21","South America","Brazil","Minas Gerais","Araponga","PESB; Serra das Cabeças, 3a Cabeça.","-42.5206","-20.6669","-42.5206","-20.6669","1722","1722","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1007897 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00938428","NY00938428","cryptantha","C.B.Clarke","W. W. Thomas","2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-16 18:40:30-03","NYBG","NYBG","00938553","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","Rhynchospora emaciata","A. N. Caiafa","44","2001","01","16","South America","Brazil","Minas Gerais","Araponga","PESB, Serra das Cabeças, 3a cabeça.","-42.5206","-20.6669","-42.5206","-20.6669","1700","1700","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1009550 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00938553","NY00938553","emaciata","(Nees) Boeckeler","M. Alves","2001","05",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-16 18:40:45-03","NYBG","NYBG","2063254","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","Rhynchospora exaltata","E. J. Lucas","694","2006","11","25","South America","Brazil","Minas Gerais","Araponga","Parque Estadual da Serra do Brigadeiro.","-42.46869","-20.7242","-42.46869","-20.7242","1240","1240","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2364898 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02063254","NY02063254","exaltata","Kunth","W. W. Thomas","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-16 18:41:18-03","NYBG","NYBG","00939153","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","Rhynchospora splendens","A. N. Caiafa","146","2001","03","21","South America","Brazil","Minas Gerais","Araponga","PESB, Serra das cabeças, 3a cabeça.","-42.5206","-20.6669","-42.5206","-20.6669","1722","1722","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=954930 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00939153","NY00939153","splendens","Lindm.","M. Alves","2001","05",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-16 18:41:18-03","NYBG","NYBG","668306","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","Rhynchospora splendens","A. N. Caiafa","49","2000","07",NA,"South America","Brazil","Minas Gerais","Araponga","Araponga, PESB, Serra das Cabeças, 3a cabeça.","-42.5206","-20.6669","-42.5206","-20.6669","1720","1720","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=745041 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00668306","NY00668306","splendens","Lindm.","M. Alves","2001","05",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-12-16 18:41:20-03","NYBG","NYBG","1921713","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Scleria","Scleria","E. J. Lucas","723","2006","11","25","South America","Brazil","Minas Gerais","Araponga","Parque Estadual da Serra do Brigadeiro.","-42.46869","-20.7242","-42.46869","-20.7242","1240","1240","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2334714 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01921713","NY01921713",NA,NA,"W. W. Thomas","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-12-16 18:41:20-03","NYBG","NYBG","1921714","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Scleria","Scleria","E. J. Lucas","714","2006","11","25","South America","Brazil","Minas Gerais","Araponga","Parque Estadual da Serra do Brigadeiro.","-42.46869","-20.7242","-42.46869","-20.7242","1240","1240","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2334715 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01921714","NY01921714",NA,NA,"W. W. Thomas","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-12-16 19:15:39-03","NYBG","NYBG","1039322","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Serpocaulon","Serpocaulon fraxinifolium","C. M. Mynssen","1182","2009","11","24","South America","Brazil","Minas Gerais","Araponga","Parque Estadual da Serra do Brigadeiro.","-42.5208","-20.6667","-42.5208","-20.6667","1200","1200","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1485496 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01039322","NY01039322","fraxinifolium","(Jacq.) A.R.Sm.","C. M. Mynssen","2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-12-16 19:04:41-03","NYBG","NYBG","00700516","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","Solanum leptostachys","H. S. Irwin","2113","1958","11","18","South America","Brazil","Minas Gerais","Araponga","1 km. W. of Araponga","-42.5206","-20.6669","-42.5206","-20.6669",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=836225 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00700516","NY00700516","leptostachys","Dunal","L. B. Smith",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-12-16 18:38:33-03","NYBG","NYBG","03091139","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Cryptangium","Cryptangium bambusoides","L. de S. Leoni","6832","2007","03","13","South America","Brazil","Minas Gerais","Araponga","Parque Estadual [Brigadeiro]","-42.5208015441895","-20.6667003631592",NA,NA,"1370","1370","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3417863 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY03091139","NY03091139","bambusoides","Vitta","F. A. Vitta","2008",NA,"16385","auto",NA,NA,NA,NA,NA,NA,NA
"13","2019-12-16 18:39:37-03","NYBG","NYBG","02618601","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Eleocharis","Eleocharis montana","L. de S. Leoni","6113","2005","02","17","South America","Brazil","Minas Gerais","Araponga","Parque Estadual.","-42.5208015441895","-20.6667003631592",NA,NA,"1300","1300","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2922783 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02618601","NY02618601","montana",NA,NA,NA,NA,"16385","auto",NA,NA,NA,NA,NA,NA,NA
"14","2019-12-16 19:14:39-03","NYBG","NYBG","2422885","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Polystichum","Polystichum montevidense","A. Salino","5501","2000","05","26","South America","Brazil","Minas Gerais","Araponga","Parque Estadual da Serra do Brigadeiro. Trilha para o Pico do Boné.","-42.5208015441895","-20.6667003631592",NA,NA,NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2674879 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02422885","NY02422885","montevidense","(Spreng.) Rosenst.",NA,NA,NA,"16385","auto",NA,NA,NA,NA,NA,NA,NA
"15","2019-12-16 17:54:37-03","NYBG","NYBG","02610070","PreservedSpecimen","Plantae","Magnoliophyta","Liliales","Smilacaceae","Smilax","Smilax pilosa","R. H. P. Andreata","1050","2004","11","18","South America","Brazil","Minas Gerais","Araponga","Parque Estadual do Brigadeiro, área da sede do Parque.","-42.5208015441895","-20.6667003631592",NA,NA,NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2916846 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02610070","NY02610070","pilosa",NA,NA,NA,NA,"16385","auto",NA,NA,NA,NA,NA,NA,NA
"16","2019-12-16 18:24:58-03","NYBG","NYBG","02680531","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","Miconia sellowiana","L. C. d. S. Giordano","2817","2007","09","26","South America","Brazil","Minas Gerais","Araponga","Parque Estadual Serra do Brigadeiro, trilha do encontro. Floresta Pluvial Atlantica secundária.","-42.5208015441895","-20.6667003631592",NA,NA,"1300","1300","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2947914 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02680531","NY02680531","sellowiana","Naudin",NA,NA,NA,"16385","auto",NA,NA,NA,NA,NA,NA,NA
"17","2019-12-16 19:17:06-03","NYBG","NYBG","844142","PreservedSpecimen","Plantae","Pteridophyta","Schizaeales","Anemiaceae","Anemia","Anemia mandioccana","A. Salino","4936","1999","07","10","South America","Brazil","Minas Gerais","Araponga","Parque Estadual da Serra do Brigadeiro, nas proximidades da Sede.","-42.5206","-20.6669","-42.5206","-20.6669","1400","1400","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=969388 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00844142","NY00844142","mandioccana","Hook.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-12-16 19:17:23-03","NYBG","NYBG","921629","PreservedSpecimen","Plantae","Pteridophyta","Schizaeales","Anemiaceae","Anemia","Anemia villosa","A. Salino","5528","2000","05","27","South America","Brazil","Minas Gerais","Araponga","Parque Estadual da Serra do Brigadeiro. Área de campo em frente ao Laboratório do CECO.","-42.5206","-20.6669","-42.5206","-20.6669",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1000704 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00921629","NY00921629","villosa","Humb. & Bonpl. ex Willd.","A. Salino","2000","06",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2019-12-16 19:17:23-03","NYBG","NYBG","930108","PreservedSpecimen","Plantae","Pteridophyta","Schizaeales","Anemiaceae","Anemia","Anemia villosa","A. Salino","s.n.","1999","07","10","South America","Brazil","Minas Gerais","Araponga","Parque Estadual da Serra do Brigadeiro, nas proximidades da Sede.","-42.5206","-20.6669","-42.5206","-20.6669","1400","1400","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1001271 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00930108","NY00930108","villosa","Humb. & Bonpl. ex Willd.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-12-16 19:17:23-03","NYBG","NYBG","930109","PreservedSpecimen","Plantae","Pteridophyta","Schizaeales","Anemiaceae","Anemia","Anemia villosa","A. Salino","4917","1999","07","10","South America","Brazil","Minas Gerais","Araponga","Parque Estadual da Serra do Brigadeiro, nas proximidades da Sede.","-42.5206","-20.6669","-42.5206","-20.6669","1400","1400","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1001276 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00930109","NY00930109","villosa","Humb. & Bonpl. ex Willd.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-12-16 19:12:51-03","NYBG","NYBG","1039323","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Aspleniaceae","Asplenium","Asplenium raddianum","C. M. Mynssen","1183","2009","11","24","South America","Brazil","Minas Gerais","Araponga","Parque Estadual da Serra do Brigadeiro.","-42.5208","-20.6667","-42.5208","-20.6667","1200","1200","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1485497 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01039323","NY01039323","raddianum","Gaudich.","L. Sylvestre","2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-12-16 18:38:17-03","NYBG","NYBG","636735","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Bulbostylis","Bulbostylis scabra","A. N. Caiafa","71","2001","02","17","South America","Brazil","Minas Gerais","Araponga","Araponga, PESB, Serra das cabeças, 3a cabeça","-42.5206","-20.6669","-42.5206","-20.6669","1720","1720","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=422180 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00636735",NA,"scabra","(C.Presl) C.B.Clarke","M. Alves","2001","05",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-12-16 17:15:33-03","NYBG","NYBG","02634276","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Camptosema","Camptosema bellum","L. de S. Leoni","6813","2007","03","02","South America","Brazil","Minas Gerais","Araponga","Parque Estadual Brigadeiro, próximo à sede do parque","-42.5208015441895","-20.6667003631592",NA,NA,"1300","1300","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2935047 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02634276","NY02634276","bellum","(Mart. ex Benth.) Benth.",NA,NA,NA,"16385","auto",NA,NA,NA,NA,NA,NA,NA
"24","2019-12-16 19:12:16-03","NYBG","NYBG","883754","PreservedSpecimen","Plantae","Pteridophyta","Marattiales","Marattiaceae","Danaea","Danaea moritziana","A. Salino","5545","2000","05","27","South America","Brazil","Minas Gerais","Araponga","Parque Estadual da Serra do Brigadeiro. Serra da Grama. Próximo ao alojamento do IEF.","-42.5206","-20.6669","-42.5206","-20.6669",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983431 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00883754","NY00883754","moritziana","C.Presl","A. Salino","2000","06",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2019-12-16 19:12:16-03","NYBG","NYBG","1039321","PreservedSpecimen","Plantae","Pteridophyta","Marattiales","Marattiaceae","Danaea","Danaea moritziana","C. M. Mynssen","1181","2009","11","24","South America","Brazil","Minas Gerais","Araponga","Parque Estadual da Serra do Brigadeiro.","-42.5208","-20.6667","-42.5208","-20.6667","1200","1200","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1485459 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01039321","NY01039321","moritziana","C.Presl","C. M. Mynssen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2019-12-16 19:13:25-03","NYBG","NYBG","883814","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dennstaedtiaceae","Dennstaedtia","Dennstaedtia globulifera","A. Salino","4891","1999","07","10","South America","Brazil","Minas Gerais","Araponga","Parque Estadual da Serra do Brigadeiro, nas proximidades da Sede","-42.5206","-20.6669","-42.5206","-20.6669","1400","1400","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983590 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00883814","NY00883814","globulifera","(Poir.) Hieron.","R. C. Moran","2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2019-12-16 19:12:52-03","NYBG","NYBG","02596670","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Athyriaceae","Diplazium","Diplazium celtidifolium","A. Salino","5548","2000","05","27","South America","Brazil","Minas Gerais","Araponga","Parque Estadual da Serra do Brigadeiro. Serra da Grama. Próximo ao alojamento do IEF.","-42.5206","-20.6669","-42.5206","-20.6669",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2863510 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02596670","NY02596670","celtidifolium","Kunze",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2019-12-16 19:13:07-03","NYBG","NYBG","02596678","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Athyriaceae","Diplazium","Diplazium leptocarpon","A. Salino","5546","2000","05","27","South America","Brazil","Minas Gerais","Araponga","Parque Estadual da Serra do Brigadeiro. Serra da Grama. Próximo ao alojamento do IEF.","-42.5206","-20.6669","-42.5206","-20.6669",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2863524 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02596678","NY02596678","leptocarpon","Fée",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2019-12-16 19:13:07-03","NYBG","NYBG","1039326","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Athyriaceae","Diplazium","Diplazium leptocarpon","C. M. Mynssen","1188","2009","11","24","South America","Brazil","Minas Gerais","Araponga","Parque Estadual da Serra do Brigadeiro.","-42.5208","-20.6667","-42.5208","-20.6667","1200","1200","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1485500 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01039326","NY01039326","leptocarpon","Fée",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2019-12-16 19:13:07-03","NYBG","NYBG","1039319","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Athyriaceae","Diplazium","Diplazium lindbergii","C. M. Mynssen","1172","2009","11","24","South America","Brazil","Minas Gerais","Araponga","Parque Estadual da Serra do Brigadeiro,trilha da Captação de Água.","-42.5208","-20.6667","-42.5208","-20.6667","1200","1200","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1485452 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01039319","NY01039319","lindbergii","(Mett.) Christ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2019-12-16 19:13:07-03","NYBG","NYBG","840503","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Athyriaceae","Diplazium","Diplazium lindbergii","A. Salino","5466","2000","05","26","South America","Brazil","Minas Gerais","Araponga","Parque Estadual da Serra do Brigadeiro. Trilha para o Pico do Boné.","-42.5206","-20.6669","-42.5206","-20.6669",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966380 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00840503","NY00840503","lindbergii",NA,"A. Salino","2000","05",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2019-12-16 19:13:07-03","NYBG","NYBG","840500","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Athyriaceae","Diplazium","Diplazium macrophyllum","A. Salino","5531","2000","05","27","South America","Brazil","Minas Gerais","Araponga","Parque Estadual da Serra do Brigadeiro. Serra da Grama. Próximo ao alojamento do IEF.","-42.5206","-20.6669","-42.5206","-20.6669",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966361 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00840500","NY00840500","macrophyllum","Desv.","R. C. Moran","2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2019-12-16 19:13:07-03","NYBG","NYBG","840501","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Athyriaceae","Diplazium","Diplazium macrophyllum","A. Salino","5531","2000","05","27","South America","Brazil","Minas Gerais","Araponga","Parque Estadual da Serra do Brigadeiro. Serra da Grama. Próximo ao alojamento do IEF.","-42.5206","-20.6669","-42.5206","-20.6669",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966368 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00840501","NY00840501","macrophyllum","Desv.","R. C. Moran","2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-01-06 13:03:04-03","NYBG","NYBG","01402851","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","Elaphoglossum beaurepairei","A. Salino","5518","2000","05","26","South America","Brazil","Minas Gerais","Araponga","Parque Estadual da Serra do Brigadeiro. Trilha para o Pico do Boné.","-42.5206","-20.6669","-42.5206","-20.6669",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2949919 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01402851","NY01402851","beaurepairei","(Fée) Brade","F. B. Matos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2020-01-06 13:03:04-03","NYBG","NYBG","01402853","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","Elaphoglossum beaurepairei","A. Salino","4935","1999","07","10","South America","Brazil","Minas Gerais","Araponga","Parque Estadual da Serra do Brigadeiro, nas proximidades da Sede.","-42.5206","-20.6669","-42.5206","-20.6669","1400","1400","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2949926 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01402853","NY01402853","beaurepairei","(Fée) Brade","F. B. Matos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2019-12-16 19:13:44-03","NYBG","NYBG","840491","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","Elaphoglossum burchellii","A. Salino","5527","2000","05","27","South America","Brazil","Minas Gerais","Araponga","Parque Estadual da Serra do Brigadeiro. Área de campo em frente ao laboratório do CECO.","-42.53","-20.67","-42.53","-20.67",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966101 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00840491","NY00840491","burchellii","(Baker) C.Chr.","J. T. Mickel; R. C. Moran","2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2019-12-16 19:13:45-03","NYBG","NYBG","1039327","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","Elaphoglossum fluminense","C. M. Mynssen","1191","2009","11","24","South America","Brazil","Minas Gerais","Araponga","Parque Estadual da Serra do Brigadeiro.","-42.5208","-20.6667","-42.5208","-20.6667","1200","1200","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1485501 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01039327","NY01039327","fluminense","Brade","F. B. Matos","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2019-12-16 19:13:45-03","NYBG","NYBG","875311","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","Elaphoglossum gayanum","A. Salino","4956","1999","07","11","South America","Brazil","Minas Gerais","Araponga","Parque Estadual da Serra do Brigadeiro, nas proximidades da sede.","-42.5206","-20.6669","-42.5206","-20.6669","1400","1400","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=959430 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00875311","NY00875311","gayanum","(Fée) T.Moore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2019-12-16 19:13:46-03","NYBG","NYBG","01402652","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","Elaphoglossum glaziovii","A. Salino","4896","1999","07","10","South America","Brazil","Minas Gerais","Araponga","Parque Estadual da Serra do Brigadeiro, nas proximidades da Sede","-42.5206","-20.6669","-42.5206","-20.6669","1400","1400","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2965515 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01402652","NY01402652","glaziovii","(Fée) Brade","F. B. Matos; J. T. Mickel","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2019-12-16 19:14:03-03","NYBG","NYBG","875262","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","Elaphoglossum langsdorfii","A. Salino","5476","2000","05","26","South America","Brazil","Minas Gerais","Araponga","Parque Esatdual da Serrra do Brigadeiro. Trilha para o Pico do Boné.","-42.5206","-20.6669","-42.5206","-20.6669",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=958124 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00875262","NY00875262","langsdorfii","(Hook. & Grev.) T.Moore","A. Salino","2000","06",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2019-12-16 19:14:03-03","NYBG","NYBG","875316","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","Elaphoglossum macahense","A. Salino","5477","2000","05","26","South America","Brazil","Minas Gerais","Araponga","Parque Estadual da Serra do Brigadeiro. Trilha para o Pico do Boné","-42.5206","-20.6669","-42.5206","-20.6669",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=959502 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00875316","NY00875316","macahense","(Fée) Rosenst.","R. C. Moran","2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2019-12-16 18:19:57-03","NYBG","NYBG","1522619","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","Huberia glazioviana","L. de S. Leoni","6125","2005","02","25","South America","Brazil","Minas Gerais","Araponga","Parque Estadual do Brigadeiro.","-42.4716","-20.7105","-42.4716","-20.7105","1380","1380","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1775571 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01522619","NY01522619","glazioviana","Cogn.","L. de S. Leoni","2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
