"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","specificEpithet","identifiedBy","yearIdentified","monthIdentified","dayIdentified","locality","coordinatePrecision","geoFlag","scientificNameAuthorship","imagecode","class","order","relatedCatalogItem"
"15","2019-11-13 11:15:53-03","USP","SPF","183666","PreservedSpecimen","Plantae",NA,"Aristolochiaceae","Aristolochia","Aristolochia","Conceição, AS","791","2004","01","11",NA,"Brasil","Minas Gerais","Malacacheta","-42.192778","-17.925","-42.192778","-17.925","391","391",NA,"SPF00183666",NA,NA,NA,NA,NA,"Junco de Minas",NA,NA,NA,NA,NA,NA,NA
"16","2019-10-07 09:18:05-03","UEFS","HUEFS","15168","PreservedSpecimen","Plantae","Angiospermae","Solanaceae","Brunfelsia","Brunfelsia brasiliensis","Salgado, O.A.","208","1981","11","09",NA,"Brasil","Minas Gerais","Malacacheta","-42.2","-17.8","42W12'","17S48'","920","920",NA,"HUEFS0015168","brasiliensis",NA,NA,NA,NA,NA,NA,NA,"(Spreng.) L.B.Sm. & Downs",NA,"Asteranae","Solanales",NA
"17","2018-12-03 11:24:01-02","CEPLAC","CEPEC","40339","S","Plantae",NA,"Melastomataceae","Tibouchina","Tibouchina arborea","G. C. P. Pinto","380","1981","11","09",NA,"Brasil","Minas Gerais","malacacheta","-42.2","-17.8","42W12'","17S48'",NA,NA,NA,NA,"arborea","P. Guimarães",NA,NA,NA,"Sem informação.",NA,NA,NA,NA,NA,NA,"10/11/2009"
"18","2018-12-03 11:11:40-02","CEPLAC","CEPEC","40337","S","Plantae",NA,"Clusiaceae","Vismia","Vismia magnoliifolia","G. C. P. Pinto","379","1981","11","09",NA,"Brasil","Minas Gerais","malacacheta","-42.2","-17.8","42W12'","17S48'",NA,NA,"<ll>dwc_commonname:</ll>",NA,"magnoliifolia","L. C. Marinho",NA,NA,NA,"Sem informação.",NA,NA,NA,NA,NA,NA,"16/1/2017"
"19","2020-03-02 13:45:02-03","UFSC","FLOR","16975","PreservedSpecimen","Plantae",NA,"Melastomataceae","Tibouchina","Tibouchina","Pinto, G.C.P.","380/81","1981","11","09",NA,"Brasil","Minas Gerais","Malacacheta","-42.0766983032227","-17.8421993255615",NA,NA,"920","920","árvore, folhas grandes, flor roxa. Planta comum.","FLOR0016975",NA,NA,NA,NA,NA,NA,"20809","auto",NA,NA,NA,"Myrtales",NA
"20","2019-09-30 11:24:29-03","IF","SPSF","40934","PreservedSpecimen","Plantae","Magnoliophyta","Lauraceae","Nectandra","Nectandra oppositifolia","R.Tsuji","2349","2007","11","30","América do Sul","Brasil","MG","Malacacheta","-42.0766983032227","-17.8421993255615",NA,NA,NA,NA,"COLETA: Árvore, botões florais verdes.&nf;Flores brancas.; GEOGRAFIA: Próximo ao Município de Malacacheta.;",NA,"oppositifolia","J.B.Baitello","2008","11","18","estrada Água Boa a Malacacheta","20809","auto","Nees",NA,"Magnoliopsida","Laurales",NA
"21","2019-09-30 11:23:58-03","IF","SPSF","21076","PreservedSpecimen","Plantae","Magnoliophyta","Bignoniaceae","Arrabidaea","Arrabidaea","W.Marcondes-Ferreira","1288","1996","10","10","América do Sul","Brasil","MG","Poté-Malacacheta",NA,NA,NA,NA,NA,NA,"COLETA: XLS: SPSFAntigo;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida","Lamiales",NA
"22","2019-09-30 11:23:21-03","IF","SPSF","21082","PreservedSpecimen","Plantae","Magnoliophyta","Fabaceae","Bauhinia","Bauhinia ovata","W.Marcondes-Ferreira","1289","1996","10","10","América do Sul","Brasil","MG","Poté-Malacacheta",NA,NA,NA,NA,NA,NA,"COLETA: XLS: SPSFAntigo;",NA,"ovata",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida","Fabales",NA
"23","2020-03-06 14:30:33-03","UFRGS","ICN","096293","S","Plantae","Dicotyledon","Myrtaceae","Myrcia","Myrcia bullata","Silva, FCF","114","1981","11","09","América do Sul","Brasil","MG","Malacacheta","-42.2","-17.8","-42.2","-17.8","920","920",NA,NA,"bullata","Sobral, M","1992",NA,NA,NA,NA,NA,"O.Berg.",NA,NA,NA,NA
"24","2019-11-21 10:03:56-03","IBt","SP","476525","S","Plantae",NA,"Euphorbiaceae","Cnidoscolus","Cnidoscolus","Silva, OLM; et al.","276","2016","04","06",NA,"Brasil","Minas Gerais","Malacacheta","-42.150278","-17.900556","-42.150278","-17.900556","519","519",NA,NA,NA,NA,NA,NA,NA,"Estrada Junco de Minas - Malacacheta (MG-217), ca. 13 km antes de chegar em Malacacheta",NA,NA,NA,NA,NA,NA,NA
