"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","imagecode","yearIdentified","monthIdentified","dayIdentified","phylum","continentOcean","infraspecificEpithet","locality","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","order","class"
"14","2019-05-02 10:55:01-03","IBt","SP-BRYOPHYTA","132791","S","Plantae","Pelliaceae","Noteroclada","sp.","Noteroclada sp.",NA,NA,"Vital, D.M.","7499","1977","07","26","BRASIL","Minas Gerais","Ressaquinha","-43.762778","-21.0625",NA,"on walls and borders of an irrigation ditch, along road","SP069417",NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,"-43.762778","-21.0625","1120","1120",NA,NA,NA
"15","2019-05-02 10:52:13-03","IBt","SP-BRYOPHYTA","132792","S","Plantae","Anthocerotaceae","Phaeoceros","sp.","Phaeoceros sp.",NA,NA,"Vital, D.M.","7501","1977","07","26","BRASIL","Minas Gerais","Ressaquinha","-43.762778","-21.0625",NA,"on walls and borders of an irrigation ditch, along road","SP069418",NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,"-43.762778","-21.0625","1120","1120",NA,NA,NA
"16","2019-05-02 10:55:14-03","IBt","SP-BRYOPHYTA","136494","S","Plantae","Polytrichaceae","Pogonatum","pensilvanicum","Pogonatum pensilvanicum","(Hedw.) P. Beauv.","Peralta, D.F.","Vital, D.M.","7500","1977","07","27","BRASIL","Minas Gerais","Ressaquinha","-43.766667","-21.033333",NA,"On walls and borders of an irrigations ditch along road","SP073066",NA,NA,"2009","01",NA,NA,"Southern America",NA,NA,"-43.766667","-21.033333","1120","1120",NA,NA,NA
"17","2019-05-02 10:55:42-03","IBt","SP-BRYOPHYTA","136495","S","Plantae","Sematophyllaceae","Sematophyllum","adnatum","Sematophyllum adnatum","(Michx.) E. Britton","Câmara, P.E.A.S.","Vital, D.M.","7504","1977","07","27","BRASIL","Minas Gerais","Ressaquinha","-43.266667","-21.033333",NA,"On base of a trees in a small area of secondary forest","SP073067",NA,NA,"2011","08",NA,NA,"Southern America",NA,NA,"-43.266667","-21.033333","1120","1120",NA,NA,NA
"18","2019-05-02 10:55:00-03","IBt","SP-BRYOPHYTA","132790","S","Plantae","Pallaviciniaceae","Symphyogyna","brasiliensis","Symphyogyna brasiliensis","N. ab. E.",NA,"Vital, D.M.","7498","1977","07","26","BRASIL","Minas Gerais","Ressaquinha","-43.762778","-21.0625",NA,"on walls and borders of an irrigation ditch, along road","SP069416",NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,"-43.762778","-21.0625","1120","1120",NA,NA,NA
"19","2019-05-02 10:54:29-03","IBt","SP-BRYOPHYTA","132795","S","Plantae","Lepidoziaceae","Telaranea","sp.","Telaranea sp.",NA,NA,"Vital, D.M.","7505","1977","07","26","BRASIL","Minas Gerais","Ressaquinha","-43.762778","-21.0625",NA,"on ground, in a small area of secondary forest","SP069421",NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,"-43.762778","-21.0625","1120","1120",NA,NA,NA
"20","2019-05-02 10:52:51-03","IBt","SP-BRYOPHYTA","136493","S","Plantae","Dicranaceae","Campylopus","lamellinervis","Campylopus lamellinervis","(Müll. Hal.) Mitt.",NA,"Vital, D.M.","7497","1977","07","27","BRASIL","Minas Gerais","Ressaquinha","-43.766667","-21.033333",NA,"On humid ground covered with grasses along road","SP073065",NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,"-43.766667","-21.033333","1120","1120",NA,NA,NA
"21","2019-05-02 10:52:51-03","IBt","SP-BRYOPHYTA","136492","S","Plantae","Dicranaceae","Campylopus","occultus","Campylopus occultus","Mitt.",NA,"Vital, D.M.","7496","1977","07","27","BRASIL","Minas Gerais","Ressaquinha","-43.766667","-21.033333",NA,"On humid grund covered with grasses","SP073064",NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,"-43.766667","-21.033333","1120","1120",NA,NA,NA
"22","2019-05-02 10:54:01-03","IBt","SP-BRYOPHYTA","132794","S","Plantae","Lejeuneaceae","Indeterminado",NA,"Indeterminado",NA,NA,"Vital, D.M.","7503","1977","07","26","BRASIL","Minas Gerais","Ressaquinha","-43.762778","-21.0625",NA,"on base of trees, in a small area of secondary forest","SP069420",NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,"-43.762778","-21.0625","1120","1120",NA,NA,NA
"23","2019-10-11 11:17:11-03","UFPR","UPCB","23979","PreservedSpecimen","Plantae","Melastomataceae","Cambessedesia","espora","Cambessedesia espora ilicifolia","DC.","Martins, A.B.","Pereira, E.","9156","1964","09","12","Brasil","Minas Gerais","Ressaquinha","-43.7627983093262","-21.0625","16778","Flor amarela..","UPCB0011438","auto","UPCB0011438","1995","12","06",NA,NA,"ilicifolia","BR 3",NA,NA,NA,NA,NA,NA,NA
"24","2019-10-11 11:14:28-03","UFPR","UPCB","5010","PreservedSpecimen","Plantae","Asteraceae","Mutisia","coccinea","Mutisia coccinea","A.St.-Hil.","Barroso, G.M.","Pereira, E.","9163","1964","09","12","Brasil","Minas Gerais","Ressaquinha","-43.7627983093262","-21.0625","16778","Trepadeira, flor vermelha.",NA,"auto",NA,"1965","01","01",NA,NA,NA,"Rodovia BR 3",NA,NA,NA,NA,NA,NA,NA
"25","2020-03-10 05:00:04-03","MNHN","RECOLNAT_GLAZIOU","P04077898","S","Plantae","Plantaginaceae","Stemodia","pratensis","Stemodia pratensis","(Aubl.) C.C.Cowan",NA,"Glaziou, A.","13107","1882","6","7","Brasil","Minas Gerais","Ressaquinha","-43.7627983093262","-21.0625","16778","operation de numerisation 2010-2012","P04077898","auto","P04077898_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hb",NA,NA
"26","2020-03-10 05:00:04-03","MNHN","RECOLNAT_GLAZIOU","P03889523","S","Plantae","Plantaginaceae","Stemodia","durantifolia","Stemodia durantifolia","(L.) Sw.",NA,"Glaziou, A.","13106","1882","6","7","Brasil","Minas Gerais","Ressaquinha","-43.7627983093262","-21.0625","16778","operation de numerisation 2010-2012","P03889523","auto","P03889523_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hb",NA,NA
"27","2019-02-20 14:35:42-03","INPA","INPA","149812","S","Plantae","Caryophyllaceae","Silene","gallica","Silene gallica","L.",NA,"Duarte, AP","743","1946","12","02","Brasil","Minas Gerais","Ressaquinha","-43.7625","-21.063056",NA,NA,"INPA0149812",NA,"INPA0149812 INPA0149812_e INPA0149812_e1",NA,NA,NA,"Dicotyledon Superasterids","Southern America",NA,"Ressaquinha, Ressaquinha","-43.7625","-21.063056","1119","1119",NA,"Caryophyllales",NA
"28","2019-07-24 16:07:13-03","SMITHSONIAN","US","2622856","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","fulva","Microlicia fulva","(Spreng.) Cham.",NA,"A. P. Duarte","740","1946","12","02","Brazil","Minas Gerais","Ressaquinha","-43.7627983093262","-21.0625","16778","<a href=http://n2t.net/ark:/65665/3133a7237-9f3b-45a9-8dc5-ab47faef7233 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"auto",NA,NA,NA,NA,NA,"South America - Neotropics",NA,NA,NA,NA,NA,NA,NA,"Myrtales","Dicotyledonae"
"29","2019-07-24 16:05:44-03","SMITHSONIAN","US","2615875","PreservedSpecimen","Plantae","Melastomataceae","Cambessedesia","espora","Cambessedesia espora ilicifolia","(DC.) A.B. Martins",NA,"E. Pereira, G. Pabst & G. Hatschbach","9156","1964","09","12","Brazil","Minas Gerais","Ressaquinha","-43.7627983093262","-21.0625","16778","<a href=http://n2t.net/ark:/65665/3d92f0eff-998e-4b30-a588-78226f927cf5 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"auto",NA,NA,NA,NA,NA,"South America - Neotropics","ilicifolia","BR-3",NA,NA,NA,NA,NA,"Myrtales","Dicotyledonae"
"30","2016-10-10 10:19:18-03","MOBOT","MOBOT_BR","100385224","S","Plantae","Melastomataceae","Cambessedesia","espora","Cambessedesia espora","(A. St.-Hil. ex Bonpl.) DC.","K.F. Rodrigues","E. Pereira da C.|G. Pabst|Gert G. Hatschbach","Pereira da C. 9156","1964","09","12","Brazil","Minas Gerais","Ressaquinha","-43.7628","-21.0625","16778",NA,NA,"auto",NA,"2011",NA,NA,NA,"South America",NA,"BR-3.",NA,NA,NA,NA,NA,NA,NA
"31","2019-02-27 14:01:59-03","UFSJ","HUFSJ","8266","S","Plantae","Cyperaceae","Rhynchospora","patuligluma","Rhynchospora patuligluma","C.B.Clarke ex Lindm.","Alves, MVS","Duarte, A","757","1946","12","02","Brasil","Minas Gerais","Ressaquinha","-43.7627983093262","-21.0625","16778",NA,"HUFSJ008266","auto",NA,"2007","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2016-09-19 16:27:02-03","UnB","UB","193405","S","Plantae","Cyperaceae","Rhynchospora","patuligluma","Rhynchospora patuligluma","Lindm.","Alves, M","Duarte, AP","757","1946","12","02","Brasil","Minas Gerais","Ressaquinha","-43.7627983093262","-21.0625","16778",NA,"UB0010777","auto","UB0010777","2007","09",NA,"Monocotyledonae","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
