"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","infraspecificEpithet","individualCount","class"
"35","2019-11-05 16:46:46-03","UFOP","OUPR","8463","PreservedSpecimen","Plantae",NA,NA,"Cleomaceae","Cleome","spinosa","Cleome spinosa","Jacq.","Badini, J.","Badini, J.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Acaiaca",NA,"-43.1446990966797","-20.3624992370605",NA,NA,NA,NA,NA,"Erva, flores róseas. Campo",NA,NA,"1971",NA,"14401","auto",NA,NA,NA,NA
"36","2019-11-06 09:55:27-03","UFOP","OUPR","19706","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Clitoria","rufescens","Clitoria rufescens","(Benth.) Benth.","Badini, J.","Badini, J.","s.n.","1974","03","26",NA,"Brasil","Minas Gerais","Acaiaca",NA,"-43.1446990966797","-20.3624992370605",NA,NA,NA,NA,NA,"Campo. Trepadeira. Flores brancas",NA,NA,"1976","06","14401","auto","26",NA,NA,NA
"37","2019-11-05 16:46:27-03","UFOP","OUPR","3233","PreservedSpecimen","Plantae",NA,NA,"Boraginaceae","Cordia","superba","Cordia superba","Cham.","Lisboa, M.A.","Badini, J.","s.n.","1974","03","03",NA,"Brasil","Minas Gerais","Acaiaca",NA,"-43.1446990966797","-20.3624992370605",NA,NA,NA,NA,NA,"Mata.",NA,NA,"1974","03","14401","auto","04",NA,NA,NA
"38","2019-11-06 09:57:26-03","UFOP","OUPR",NA,"PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Coutarea","hexandra","Coutarea hexandra","(Jacq.) K.Schum.",NA,"Badini, J.","s.n.","1974","03","03",NA,"Brasil","Minas Gerais","Acaiaca",NA,"-43.1446990966797","-20.3624992370605",NA,NA,NA,NA,NA,"Arbusto, flores vermelho-violáceas. Mata.",NA,NA,NA,NA,"14401","auto",NA,NA,NA,NA
"39","2019-11-06 09:57:26-03","UFOP","OUPR",NA,"PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Coutarea","hexandra","Coutarea hexandra","(Jacq.) K.Schum.","Lisboa, M.A.","Badini, J.","s.n.","1974","03","03",NA,"Brasil","Minas Gerais","Acaiaca",NA,"-43.1446990966797","-20.3624992370605",NA,NA,NA,NA,NA,"Arbusto.",NA,NA,"1974","03","14401","auto","06",NA,NA,NA
"40","2019-11-06 09:55:28-03","UFOP","OUPR","18837","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Crotalaria","incana","Crotalaria incana","L.","Badini, J.; Kassis, A.","Badini, J.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Acaiaca",NA,"-43.1446990966797","-20.3624992370605",NA,NA,NA,NA,NA,"Beira de estrada. Erva. Flores amarelas",NA,NA,"1973","11","14401","auto","15",NA,NA,NA
"41","2019-11-06 09:55:28-03","UFOP","OUPR","18838","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Crotalaria","incana","Crotalaria incana","L.","Lisboa, M.A.","Badini, J.","s.n.","1973","11","15",NA,"Brasil","Minas Gerais","Acaiaca",NA,"-43.1446990966797","-20.3624992370605",NA,NA,NA,NA,NA,NA,NA,NA,"1973","11","14401","auto","26",NA,NA,NA
"42","2019-11-05 16:47:16-03","UFOP","OUPR","10538","PreservedSpecimen","Plantae",NA,NA,"Cyatheaceae","Cyathea","gardneri","Cyathea gardneri","Hook.",NA,"Badini, J.","s.n.","1977","12","29",NA,"Brasil","Minas Gerais","Acaiaca",NA,"-43.1446990966797","-20.3624992370605",NA,NA,NA,NA,NA,"Arbusto. Brejo.",NA,NA,NA,NA,"14401","auto",NA,NA,NA,NA
"43","2019-11-06 09:55:30-03","UFOP","OUPR","19818","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Deguelia","hatschbachii","Deguelia hatschbachii","A.M.G.Azevedo","Lima, H.C.","Rapalo, J.A.","s.n.","1978","03","02",NA,"Brasil","Minas Gerais","Acaiaca",NA,"-43.1446990966797","-20.3624992370605",NA,NA,NA,NA,NA,"Beira de rio. Mata. Árvore. Flores violáceas",NA,NA,"2009","05","14401","auto","28",NA,NA,NA
"44","2019-11-05 16:44:46-03","UFOP","OUPR","14369","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Delilia","biflora","Delilia biflora","(L.) Kuntze","Jorgensen, P.M.; Nee, M.","Badini, J.","s.n.","1976","06","26",NA,"Brasil","Minas Gerais","Acaiaca",NA,"-43.1446990966797","-20.3624992370605",NA,NA,NA,NA,NA,"Beira de estrada. Erva. Flores pálidas",NA,NA,"2011",NA,"14401","auto",NA,NA,NA,NA
"45","2019-11-05 16:44:46-03","UFOP","OUPR","14368","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Delilia","biflora","Delilia biflora","(L.) Kuntze","Jorgensen, P.M.; Nee, M.","Badini, J.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Acaiaca",NA,"-43.1446990966797","-20.3624992370605",NA,NA,NA,NA,NA,"Terrenos cultivados. Erva",NA,NA,"2011",NA,"14401","auto",NA,NA,NA,NA
"46","2019-11-06 09:55:30-03","UFOP","OUPR","18904","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Desmodium","incanum","Desmodium incanum","DC.","Dutra, V.F.","Badini, J.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Acaiaca",NA,"-43.1446990966797","-20.3624992370605",NA,NA,NA,NA,NA,"Beira de estrada. Erva. Flores róseas",NA,NA,"2002","10","14401","auto","16",NA,NA,NA
"47","2019-11-06 09:57:33-03","UFOP","OUPR",NA,"PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Dictyoloma","vandellianum","Dictyoloma vandellianum","A.Juss.","Roschel, M.B.","Badini, J.; Lisboa, M.A.","s.n.","1971","05","13",NA,"Brasil","Minas Gerais","Acaiaca",NA,"-43.1446990966797","-20.3624992370605",NA,NA,NA,NA,NA,"Árvore, flores pálidas. Mata.",NA,NA,"2000","07","14401","auto",NA,NA,NA,NA
"48","2019-11-05 16:44:46-03","UFOP","OUPR","4423","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Emilia","sonchifolia","Emilia sonchifolia javanica","(Burm.f.) Mattf.","s.col.","s.col.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Acaiaca",NA,"-43.1446990966797","-20.3624992370605",NA,NA,NA,NA,NA,NA,NA,NA,"2011",NA,"14401","auto",NA,"javanica",NA,NA
"49","2019-11-05 16:44:46-03","UFOP","OUPR","14378","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Erechtites","hieracifolius","Erechtites hieracifolius","(L.) Raf. ex DC.","Badini, J.","Badini, J.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Acaiaca",NA,"-43.1446990966797","-20.3624992370605",NA,NA,NA,NA,NA,"Campo. Erva. Flores brancas",NA,NA,"1973","11","14401","auto","15",NA,NA,NA
"50","2019-11-06 09:56:50-03","UFOP","OUPR","9695","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Eulophia","alta","Eulophia alta","(L.) Fawc. & Rendle","Forster, W.","Badini, J.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Acaiaca",NA,"-43.1446990966797","-20.3624992370605",NA,NA,NA,NA,NA,"Beira de estrada. Erva. Flores amarelas e violaceas",NA,NA,"2000","04","14401","auto","13",NA,NA,NA
"51","2019-11-05 16:44:49-03","UFOP","OUPR","18465","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Eupatorium","oxylepis","Eupatorium oxylepis","Sch.Bip. ex Baker","Badini, J.","Badini, J.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Acaiaca",NA,"-43.1446990966797","-20.3624992370605",NA,NA,NA,NA,NA,"Brejo. Arbusto. Flores violáceas",NA,NA,"1972","04","14401","auto","12",NA,NA,NA
"52","2019-11-05 16:46:16-03","UFOP","OUPR","2213","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Fridericia","platyphylla","Fridericia platyphylla","(Cham.) L.G.Lohmann",NA,"Peron, M.V.; Silva, J.L.","s.n.","1987","02","13",NA,"Brasil","Minas Gerais","Acaiaca","Trevo de Acaiaca","-43.1446990966797","-20.3624992370605",NA,NA,NA,NA,NA,"Trepadeira, flores violáceas, heliófila. Beira de estrada.",NA,NA,NA,NA,"14401","auto",NA,NA,NA,NA
"53","2019-11-05 16:46:16-03","UFOP","OUPR","1027","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Fridericia","pubescens","Fridericia pubescens","(L.) L.G.Lohmann",NA,"Badini, J.","s.n.","1976","02","08",NA,"Brasil","Minas Gerais","Acaiaca",NA,"-43.1446990966797","-20.3624992370605",NA,NA,NA,NA,NA,"Trepadeira, flor purpúrea-violácea. Beira de córrego na mata.",NA,NA,NA,NA,"14401","auto",NA,NA,NA,NA
"54","2019-11-05 16:44:50-03","UFOP","OUPR","1573","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Gnaphalium","cheiranthifolium","Gnaphalium cheiranthifolium","Lam.","Almeida, G.S.S.","Badini, J.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Acaiaca",NA,"-43.1446990966797","-20.3624992370605",NA,NA,NA,NA,NA,"Beira de estrada. Erva. Flores amarelas",NA,NA,"1982","07","14401","auto","19",NA,NA,NA
