"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","year","month","day","continentOcean","locality","verbatimLongitude","verbatimLatitude","preparationType","barcode","imagecode","infraspecificEpithet","minimumElevationInMeters","maximumElevationInMeters","monthIdentified","dayIdentified","typeStatus","relatedCatalogItem"
"1","2019-06-10 10:10:53-03","FZB-BH","CVJBFZB","2563","S","Plantae","Magnoliophyta","Equisetopsida","Alismatales","Araceae","Anthurium","aff. sellowianum","Anthurium aff. sellowianum","Kunth","Eduardo G. Gonçalves","2011","Rubens Mota;","Brasil","Minas Gerais","Itabira","-43.2268981933594","-19.6191997528076","33779","2","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:56-03","FZB-BH","CVJBFZB","2561","S","Plantae","Magnoliophyta","Equisetopsida","Alismatales","Araceae","Rhodospatha","arborescens","Rhodospatha arborescens","Temponi & Croat","Eduardo G. Gonçalves","2011","Rubens Mota;","Brasil","Minas Gerais","Itabira","-43.2268981933594","-19.6191997528076","33779","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-16 18:36:17-03","NYBG","NYBG","00957418","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Piperales","Piperaceae","Piper","fuligineum","Piper fuligineum","Kunth","T. G. Yuncker",NA,"C. A. W. Schwacke","Brazil","Minas Gerais","Itabira","-43.2267","-19.6194",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096160 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"5926","1887","10","12","South America","Rio das Velhas.","-43.2267","-19.6194","sheet","NY00957418","NY00957418",NA,NA,NA,NA,NA,NA,NA
"4","2019-12-16 17:29:10-03","NYBG","NYBG","00979784","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabales","Fabaceae","Senna","multijuga","Senna multijuga lindleyana","(Gardner) H.S.Irwin & Barneby",NA,NA,"H. P. Bautista","Brazil","Minas Gerais","Santa Maria de Itabira","-43.07","-19.35",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1085333 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"584","1982","05","20","South America","Folha SE.23-Z-D. Ponto 293","-43.07","-19.35","sheet","NY00979784","NY00979784","lindleyana",NA,NA,NA,NA,NA,NA
"5","2019-12-16 18:55:41-03","NYBG","NYBG","1552036","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Sapindales","Meliaceae","Guarea","kunthiana","Guarea kunthiana","A.Juss.",NA,NA,"A. A. da Luz","Brazil","Minas Gerais","Santa Maria de Itabira","-43.1124992370605","-19.4493999481201","22502",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1434171 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","auto","125","2003","12","06","South America",NA,NA,NA,"sheet","NY01552036","NY01552036",NA,NA,NA,NA,NA,NA,NA
"6","2019-12-16 17:51:21-03","NYBG","NYBG","00956345","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lamiales","Verbenaceae","Lippia","velutina","Lippia velutina","Schauer","H. N. Moldenke",NA,"G. M. Magalhaes","Brazil","Minas Gerais","Itabira","-43.2267","-19.6194",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1055365 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"4329","1943","01","30","South America","Pico do Caué.","-43.2267","-19.6194","sheet","NY00956345","NY00956345",NA,NA,NA,NA,NA,NA,NA
"7","2019-05-14 12:15:03-03","MCN-PUC-MINAS","HPUC-MG","BRI205","S","Plantae","Bryophyta",NA,NA,"Lophocoleaceae","Lophocolea","matiana","Lophocolea matiana",NA,"Dr. Denilson Fernandes Peralta",NA,"Souza, I. E.","Brasil","Minas Gerais","Itabira","-43.22","-19.618889",NA,NA,NA,NA,NA,"2003","02","07",NA,"Mata do Intelecto","43°13'12'' W","19°37'08'' S",NA,NA,NA,NA,"807","807",NA,NA,NA,NA
"8","2020-01-28 13:11:36-03","MCN-PUC-MINAS","HPUC-MG","ANG5135","S","Plantae",NA,NA,NA,"Verbenaceae","Stachytarpheta","cf. cayennensis","Stachytarpheta cf. cayennensis",NA,NA,NA,"Ludivanelem A.S","Brasil","Minas Gerais","Santa Maria de Itabira","-43.1124992370605","-19.4493999481201","22502",NA,"Folhas opostas,simples. Uso medicinal: para torção do pé","auto","39",NA,NA,NA,NA,"Barro preto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-01-28 13:11:14-03","MCN-PUC-MINAS","HPUC-MG","ANG5107","S","Plantae",NA,NA,NA,"Fabaceae","Melanoxylon","brauna","Melanoxylon brauna",NA,NA,NA,"JLPR","Brasil","Minas Gerais","Santa Maria de Itabira","-43.1124992370605","-19.4493999481201","22502",NA,"Madeira usada para construção. Planta não espinhosa, não latescente, não urticante","auto","(143) 036",NA,NA,NA,NA,"Barro Preto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-03-20 11:47:15-03","MCN-PUC-MINAS","HPUC-MG","ANG955","S","Plantae",NA,NA,NA,"Lauraceae","Nectandra","rigida","Nectandra rigida",NA,NA,NA,"Inês R. de Andrade","Brasil","Minas Gerais","Itabira","-43.2268981933594","-19.6191997528076","33779",NA,NA,"auto",NA,"1988","04","01",NA,"Candidopolis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-03-20 11:47:22-03","MCN-PUC-MINAS","HPUC-MG","ANG1722","S","Plantae",NA,NA,NA,"Rhamnaceae","Reisseckia",NA,"Reisseckia",NA,NA,NA,NA,"Brasil","Minas Gerais","Itabira","-43.2268981933594","-19.6191997528076","33779",NA,NA,"auto",NA,"1989","04","01",NA,"Candidópolis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-01-28 13:11:19-03","MCN-PUC-MINAS","HPUC-MG","ANG846","S","Plantae",NA,NA,NA,"Gesneriaceae","Rechsteinera",NA,"Rechsteinera",NA,"I.R Andrade",NA,"Inês Ribeiro Andrade","Brasil","Minas Gerais","Itabira","-43.2268981933594","-19.6191997528076","33779",NA,"Corola cor de pêssego.","auto",NA,"1989","04","01",NA,"Candidópolis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-01-28 13:11:30-03","MCN-PUC-MINAS","HPUC-MG","ANG271","S","Plantae",NA,NA,NA,"Poaceae","Trichanthecium",NA,"Trichanthecium",NA,"A. Gugliere",NA,"Inês R. Andrade","Brasil","Minas Gerais","Itabira","-43.2268981933594","-19.6191997528076","33779",NA,NA,"auto",NA,"1905","06","11",NA,"Candidópolis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-03-20 11:47:22-03","MCN-PUC-MINAS","HPUC-MG","ANG1723","S","Plantae",NA,NA,NA,"Rhamnaceae","Reissekia","smilacina","Reissekia smilacina",NA,NA,NA,"Inês Ribeiro de Andrade","Brasil","Minas Gerais","Itabira","-43.2268981933594","-19.6191997528076","33779",NA,NA,"auto",NA,"1989","04","01",NA,"Candidópolis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-01-28 13:11:31-03","MCN-PUC-MINAS","HPUC-MG","ANG1712","S","Plantae",NA,NA,NA,"Rubiaceae","Manettia","luteorubra","Manettia luteorubra",NA,NA,NA,"Andrade, I.R.","Brasil","Minas Gerais","Itabira","-43.2268981933594","-19.6191997528076","33779",NA,"Lacínio amarelo.","auto",NA,"1989","04",NA,NA,"Candidópolis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-09-10 12:23:18-03","MCN-PUC-MINAS","HPUC-MG","ANG024","S","Plantae",NA,NA,NA,"Annonaceae","Xylopia","sericea","Xylopia sericea",NA,"Inês Ribeiro Andrade",NA,"Inês Ribeiro Andrade","Brasil","Minas Gerais","Itabira","-43.2268981933594","-19.6191997528076","33779",NA,"Material com frutos","auto",NA,"1989","04","02",NA,"Candidópolis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-01-28 13:11:12-03","MCN-PUC-MINAS","HPUC-MG","ANG699","S","Plantae",NA,NA,NA,"Euphorbiaceae","Mabea","fistulifera","Mabea fistulifera",NA,NA,NA,"Inês R. de Andrade","Brasil","Minas Gerais","Itabira","-43.2268981933594","-19.6191997528076","33779",NA,"Material com frutos e inflorescência. Capoeira.","auto",NA,"1989","04","01",NA,"Candidópolis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-03-20 11:47:18-03","MCN-PUC-MINAS","HPUC-MG","ANG1073","S","Plantae",NA,NA,NA,"Melastomataceae","Trembleya","phlogiformis","Trembleya phlogiformis",NA,NA,NA,"Andrade, InêS, Lima, Flávia S.","Brasil","Minas Gerais","Itabira","-43.2268981933594","-19.6191997528076","33779",NA,"Comparação CETEC/MG.","auto",NA,"1989","09","01",NA,"Candidópolis.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-01-28 13:11:28-03","MCN-PUC-MINAS","HPUC-MG","ANG3123","S","Plantae",NA,NA,NA,"Passifloraceae","Passiflora",NA,"Passiflora",NA,"Comparação CETEC- MG",NA,"L.Barreto Nascimento","Brasil","Minas Gerais","Itabira","-43.2268981933594","-19.6191997528076","33779",NA,"Capoeira.","auto",NA,"1989","04",NA,NA,"Candinópolis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-01-28 13:11:03-03","MCN-PUC-MINAS","HPUC-MG","ANG373","S","Plantae",NA,NA,NA,"Asteraceae","Vernonia",NA,"Vernonia",NA,NA,NA,"Inês Ribeiro Andrade","Brasil","Minas Gerais","Itabira","-43.2268981933594","-19.6191997528076","33779",NA,NA,"auto",NA,"1989",NA,NA,NA,"Candinópolis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-03-20 11:47:22-03","MCN-PUC-MINAS","HPUC-MG","ANG3159","S","Plantae",NA,NA,NA,"Polygalaceae","Polygala","paniculata","Polygala paniculata",NA,NA,NA,"Inês Ribeiro de Andrade","Brasil","Minas Gerais","Itabira","-43.2268981933594","-19.6191997528076","33779",NA,"Corola branca.","auto",NA,"1989","09","20",NA,"Candinópolis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-01-28 13:11:04-03","MCN-PUC-MINAS","HPUC-MG","ANG2101","S","Plantae",NA,NA,NA,"Asteraceae","Vernonia",NA,"Vernonia",NA,NA,NA,"Inês Ribeiro de Andrade","Brasil","Minas Gerais","Itabira","-43.2268981933594","-19.6191997528076","33779",NA,NA,"auto",NA,NA,NA,NA,NA,"Candinópolis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-03-20 11:47:25-03","MCN-PUC-MINAS","HPUC-MG","ANG2907","S","Plantae",NA,NA,NA,"Sapindaceae","Serjania",NA,"Serjania",NA,NA,NA,"Inês Ribeiro de Andrade","Brasil","Minas Gerais","Itabira","-43.2268981933594","-19.6191997528076","33779",NA,NA,"auto",NA,"1989","04","01",NA,"Candinópolis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-01-28 13:11:36-03","MCN-PUC-MINAS","HPUC-MG","ANG5136","S","Plantae",NA,NA,NA,"Verbenaceae","Lantana","camara","Lantana camara",NA,NA,NA,"JLPR","Brasil","Minas Gerais","Santa Maria de Itabira","-43.1124992370605","-19.4493999481201","22502",NA,"Folhas opostas, simples. Fruto tipo: umbela. Uso medicinal: contra gripe","auto","113",NA,NA,NA,NA,"Comunidade Indaiá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-01-28 13:11:15-03","MCN-PUC-MINAS","HPUC-MG","ANG5090","S","Plantae",NA,NA,NA,"Fabaceae","Piptadenia","gonoacantha","Piptadenia gonoacantha",NA,NA,NA,"JLPR","Brasil","Minas Gerais","Santa Maria de Itabira","-43.1124992370605","-19.4493999481201","22502",NA,"Usada para lenha. Fruto tipo vagem","auto","(132) 023",NA,NA,NA,NA,"Comunidade Indaiá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-01-28 13:11:15-03","MCN-PUC-MINAS","HPUC-MG","ANG5121","S","Plantae",NA,NA,NA,"Fabaceae","Plathymeria","cf. reticulata","Plathymeria cf. reticulata",NA,NA,NA,"JLPR","Brasil","Minas Gerais","Santa Maria de Itabira","-43.1124992370605","-19.4493999481201","22502",NA,"Folhas alternas, compostas. Usada para fazer caixa de batuque","auto","116",NA,NA,NA,NA,"Comunidade Indaiá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-01-28 13:11:15-03","MCN-PUC-MINAS","HPUC-MG","ANG5114","S","Plantae",NA,NA,NA,"Fabaceae","Platypodium","cf. elegans","Platypodium cf. elegans",NA,NA,NA,"JLPR","Brasil","Minas Gerais","Santa Maria de Itabira","-43.1124992370605","-19.4493999481201","22502",NA,"Folhas alternas, compostas. Frutos em vagem. Planta usada como ferramenta e esteio de casa","auto","111",NA,NA,NA,NA,"Comunidade Indaiá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-01-28 13:11:33-03","MCN-PUC-MINAS","HPUC-MG","ANG5128","S","Plantae",NA,NA,NA,"Sapotaceae","Pouteria",NA,"Pouteria",NA,NA,NA,"JLPR","Brasil","Minas Gerais","Santa Maria de Itabira","-43.1124992370605","-19.4493999481201","22502",NA,"Frutos comestíveis","auto","(130) 21",NA,NA,NA,NA,"Comunidade Indaiá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-01-28 13:11:33-03","MCN-PUC-MINAS","HPUC-MG","ANG5105","S","Plantae",NA,NA,NA,"Siparunaceae","Siparuna","guianensis","Siparuna guianensis",NA,NA,NA,"JLPR","Brasil","Minas Gerais","Santa Maria de Itabira","-43.1124992370605","-19.4493999481201","22502",NA,"Folhas usadas para banho de descarrego","auto","(142) 035",NA,NA,NA,NA,"Comunidade Indaiá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-01-28 13:11:33-03","MCN-PUC-MINAS","HPUC-MG","ANG5118","S","Plantae",NA,NA,NA,"Rutaceae","Zanthoxylum","fagara","Zanthoxylum fagara",NA,NA,NA,"JLPR","Brasil","Minas Gerais","Santa Maria de Itabira","-43.1124992370605","-19.4493999481201","22502",NA,"Frutos verdes. Tronco com acúleos. Uso em construção e como lenha","auto","(120) 011",NA,NA,NA,NA,"Comunidade Indaiá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-01-28 13:11:22-03","MCN-PUC-MINAS","HPUC-MG","ANG5102","S","Plantae",NA,NA,NA,"Malvaceae","Luehea","divaricata","Luehea divaricata",NA,NA,NA,"JLPR","Brasil","Minas Gerais","Santa Maria de Itabira","-43.1124992370605","-19.4493999481201","22502",NA,"Folhas alternas, simples, pilosas. Planta usada para crescimento do cabelo.","auto","13",NA,NA,NA,NA,"Comunidade Indaiá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-01-28 13:11:27-03","MCN-PUC-MINAS","HPUC-MG","ANG5138","S","Plantae",NA,NA,NA,"Myrtaceae","Myrcia","splendens","Myrcia splendens",NA,NA,NA,"JLPR","Brasil","Minas Gerais","Santa Maria de Itabira","-43.1124992370605","-19.4493999481201","22502",NA,"Folha abaxial pilosa, ferruginosa, textura coriacea. Fruto do tipo: baga","auto","(124) 15",NA,NA,NA,NA,"Comunidade Indaiá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2019-03-20 11:47:34-03","MCN-PUC-MINAS","HPUC-MG","PTF180","S","Plantae","Pteridophyta",NA,NA,"Selaginellaceae","Selaginella",NA,"Selaginella",NA,"Pinheiro, G.G.",NA,"Souza I.T.","Brasil","Minas Gerais","Itabira","-43.2268981933594","-19.6191997528076","33779",NA,"Doação Funesi, nº coleta: B0211","auto",NA,"2002","10","30",NA,"Mata do Bispo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-01-28 13:11:01-03","MCN-PUC-MINAS","HPUC-MG","ANG4636","S","Plantae",NA,NA,NA,"Asteraceae",NA,NA,NA,NA,NA,NA,"N.D.Barros","Brasil","Minas Gerais","Santa Maria de Itabira","-43.097056","-19.445667",NA,NA,"Folhas opostas, composta, sem estípulas, borda serrilhada. Planta não espinhosa, não latescente, não urticante. Flor amarela",NA,"009A,B",NA,NA,NA,NA,"Barro Preto - Taquaral","43°05'49.4''W","19°26'44.4''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2020-01-28 13:11:01-03","MCN-PUC-MINAS","HPUC-MG","ANG4643","S","Plantae",NA,NA,NA,"Asteraceae",NA,NA,NA,NA,NA,NA,"Ludivernem AS","Brasil","Minas Gerais","Santa Maria de Itabira","-43.083333","-19.433333",NA,NA,"Uso medicinal: dor de barriga.",NA,"65",NA,NA,NA,NA,"Barro Preto - Taquaral","43º05' W","19º26' S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-01-28 13:11:09-03","MCN-PUC-MINAS","HPUC-MG","ANG4642","S","Plantae",NA,NA,NA,"Cupressaceae",NA,NA,NA,NA,NA,NA,"Ludivernem AS","Brasil","Minas Gerais","Santa Maria de Itabira","-43.083333","-19.433333",NA,NA,NA,NA,"066 A B",NA,NA,NA,NA,"Barro Preto - Taquaral","43º05' W","19º26' S",NA,NA,NA,NA,"559","559",NA,NA,NA,NA
"37","2020-01-28 13:11:12-03","MCN-PUC-MINAS","HPUC-MG","ANG5126","S","Plantae",NA,NA,NA,"Fabaceae",NA,NA,NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Maria de Itabira","-43.055528","-19.454889",NA,NA,"Usada para fazer cerca",NA,NA,NA,NA,NA,NA,NA,"43°03'19.9 W","19°27'17.6 S",NA,NA,NA,NA,"979","979",NA,NA,NA,NA
"38","2020-01-28 13:11:12-03","MCN-PUC-MINAS","HPUC-MG","CARP137","S","Plantae",NA,NA,NA,"Fabaceae",NA,NA,NA,NA,NA,NA,"Meyer & Oliveira","Brasil","Minas Gerais","Itabira","-43.231667","-19.624167",NA,NA,"Subfamília: Mimosoidea",NA,NA,NA,NA,NA,NA,"Fazenda São Domingos","43º13'54''W","19º37'27''S",NA,NA,NA,NA,"804","804",NA,NA,NA,NA
"39","2020-01-28 13:11:28-03","MCN-PUC-MINAS","HPUC-MG","ANG4639","S","Plantae",NA,NA,NA,"Piperaceae",NA,NA,NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Maria de Itabira","-43.070833","-19.340278",NA,NA,"Folhas alternas, simples, sem estípulas, bordas lisas, membranosa. Planta não espinhosa, não latescente, não urticante.",NA,NA,NA,NA,NA,NA,"Fazenda São Marcos","43°04'15'' W","19°20'25'' S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-01-28 13:11:28-03","MCN-PUC-MINAS","HPUC-MG","ANG4641","S","Plantae",NA,NA,NA,"Piperaceae",NA,NA,NA,NA,NA,NA,"N. D. Barros","Brasil","Minas Gerais","Santa Maria de Itabira","-43.083333","-19.433333",NA,NA,"Folha em forma de coração. Uso medicinal.",NA,"011 A,B",NA,NA,NA,NA,"Barro Preto - Taquaral","43°05' W","19°26' S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2020-01-28 13:10:55-03","MCN-PUC-MINAS","HPUC-MG","ANG4647","S","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N.D.Barros","Brasil","Minas Gerais","Santa Maria de Itabira","-43.083333","-19.433333",NA,NA,"Ramo com pêlos. Brotos nas gemas foliar com pêlos. Usado para madeira",NA,"0-10 AB",NA,NA,NA,NA,"Barro Preto - Taquaral","43°05' W","19°26' S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2020-01-28 13:10:55-03","MCN-PUC-MINAS","HPUC-MG","ANG4840","S","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ludivanelem. A.S","Brasil","Minas Gerais","Santa Maria de Itabira","-43.071667","-19.454444",NA,NA,"Folhas opostas, simples. Pêlos no caule e folhas.",NA,"54",NA,NA,NA,NA,"Barro Preto","43°04'18 W","19°27'16 S",NA,NA,NA,NA,"695","695",NA,NA,NA,NA
"43","2020-01-28 13:10:55-03","MCN-PUC-MINAS","HPUC-MG","ANG5092","S","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ludivanelem A.S","Brasil","Minas Gerais","Santa Maria de Itabira","-43.071778","-19.45475",NA,NA,NA,NA,"55",NA,NA,NA,NA,"Barro Preto","43°04'18.4 W","19°27'17.1 S",NA,NA,NA,NA,"695","695",NA,NA,NA,NA
"44","2020-01-28 13:10:55-03","MCN-PUC-MINAS","HPUC-MG","ANG5096","S","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ludivanelem A.S","Brasil","Minas Gerais","Santa Maria de Itabira","-43.085556","-19.459917",NA,NA,"Usado para amarrar lenha e para construção de casa de Pau apique",NA,"41",NA,NA,NA,NA,"Barro Preto","43°05'08 W","19°27'35.7 S",NA,NA,NA,NA,"831","831",NA,NA,NA,NA
"45","2020-01-28 13:11:30-03","MCN-PUC-MINAS","HPUC-MG","ANG5127","S","Plantae",NA,NA,NA,"Poaceae",NA,NA,NA,NA,NA,NA,"N.D.Barros","Brasil","Minas Gerais","Santa Maria de Itabira","-43.070833","-19.423611",NA,NA,"Usada para fazer artesanato",NA,"3",NA,NA,NA,NA,"Fazenda São Marcos","43°04'15.0 W","19°25'25.0 S",NA,NA,NA,NA,"621","621",NA,NA,NA,NA
"46","2020-01-28 13:11:07-03","MCN-PUC-MINAS","HPUC-MG","ANG5129","S","Plantae",NA,NA,NA,"Bonnetiaceae",NA,NA,NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Maria de Itabira","-43.1124992370605","-19.4493999481201","22502",NA,"Folha pilosa ferruginosa na parte abaxial","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2020-01-28 13:11:36-03","MCN-PUC-MINAS","HPUC-MG","ANG4969","S","Plantae",NA,NA,NA,"Zingiberaceae",NA,NA,NA,NA,NA,NA,"Ludivanelem","Brasil","Minas Gerais","Santa Maria de Itabira","-43.1124992370605","-19.4493999481201","22502",NA,"Folhas simples, alternas. Flor branca.","auto",NA,NA,NA,NA,NA,"Barro Preto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2020-01-28 13:10:55-03","MCN-PUC-MINAS","HPUC-MG","ANG5097","S","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R.F.Amilton","Brasil","Minas Gerais","Santa Maria de Itabira","-43.1124992370605","-19.4493999481201","22502",NA,NA,"auto",NA,NA,NA,NA,NA,"Comunidade Indaiá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","2019-03-20 11:47:27-03","MCN-PUC-MINAS","HPUC-MG","ANG2785","S","Plantae",NA,NA,NA,"Verbenaceae",NA,NA,NA,NA,NA,NA,"Andrade, Inês, R. de","Brasil","Minas Gerais","Itabira","-43.2268981933594","-19.6191997528076","33779",NA,NA,"auto",NA,"1989","04","01",NA,"Candinópolis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","2020-01-28 13:10:59-03","MCN-PUC-MINAS","HPUC-MG","ANG058","S","Plantae",NA,NA,NA,"Apocynaceae",NA,NA,NA,NA,"Ines Ribeiro de Andrade",NA,"Ines Ribeiro de Andrade","Brasil","Minas Gerais","Itabira","-43.2268981933594","-19.6191997528076","33779",NA,"Doação","auto",NA,"1989","04","04",NA,"Candidópolis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","2020-01-28 13:11:15-03","MCN-PUC-MINAS","HPUC-MG","ANG814","S","Plantae",NA,NA,NA,"Fabaceae",NA,NA,NA,NA,NA,NA,"Andrade, Inês Ribeiro","Brasil","Minas Gerais","Itabira","-43.2268981933594","-19.6191997528076","33779",NA,"Material com frutos, tento.","auto",NA,"1989","04","01",NA,"Candidópolis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","2020-01-28 13:11:27-03","MCN-PUC-MINAS","HPUC-MG","ANG1729","S","Plantae",NA,NA,NA,"Myrtaceae",NA,NA,NA,NA,NA,NA,"Inês Ribeiro de Andrade","Brasil","Minas Gerais","Itabira","-43.2268981933594","-19.6191997528076","33779",NA,NA,"auto",NA,"1989","04",NA,NA,"Candidópolis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","2020-01-28 13:11:27-03","MCN-PUC-MINAS","HPUC-MG","ANG1566","S","Plantae",NA,NA,NA,"Myrtaceae",NA,NA,NA,NA,NA,NA,"Inês Ribeiro de Andrade","Brasil","Minas Gerais","Itabira","-43.2268981933594","-19.6191997528076","33779",NA,NA,"auto",NA,"1989","04",NA,NA,"Candinópolis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","2020-01-28 13:11:22-03","MCN-PUC-MINAS","HPUC-MG","ANG1050","S","Plantae",NA,NA,NA,"Malvaceae",NA,NA,NA,NA,NA,NA,"Inêz Ribeiro de Andrade","Brasil","Minas Gerais","Itabira","-43.2268981933594","-19.6191997528076","33779",NA,"Invasora.","auto",NA,"1989","04","01",NA,"Candiópolis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","2020-01-28 13:10:55-03","MCN-PUC-MINAS","HPUC-MG","ANG5094","S","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JLPR","Brasil","Minas Gerais","Santa Maria de Itabira","-43.1124992370605","-19.4493999481201","22502",NA,"Folhas pilosas, eiderme abaxial branca. Usada para lenha.","auto","136",NA,NA,NA,NA,"Comunidade Indaiá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","2020-01-28 13:10:55-03","MCN-PUC-MINAS","HPUC-MG","ANG5153","S","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JLPR","Brasil","Minas Gerais","Santa Maria de Itabira","-43.1124992370605","-19.4493999481201","22502",NA,"Folhas alternas, simples. Planta alimentícia","auto","(129) 20",NA,NA,NA,NA,"Comunidade Indaiá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","2020-01-28 13:10:55-03","MCN-PUC-MINAS","HPUC-MG","ANG5130","S","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JLPR","Brasil","Minas Gerais","Santa Maria de Itabira","-43.1124992370605","-19.4493999481201","22502",NA,"Folhas simples, textura membranosa, ervura peninérvea. Planta latescente","auto","(121) 12",NA,NA,NA,NA,"Comunidade Indaiá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
