"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","year","month","day","continentOcean","locality","verbatimLongitude","verbatimLatitude","preparationType","barcode","imagecode","infraspecificEpithet","minimumElevationInMeters","maximumElevationInMeters","monthIdentified","dayIdentified","typeStatus","relatedCatalogItem"
"1528","2019-11-07 11:18:08-03","UFMG","BHCB-SL","101182","PreservedSpecimen","Plantae",NA,NA,NA,"Osmundaceae","Osmunda","spectabilis","Osmunda spectabilis","Willd.","Sylvestre, LS","2017","Almeida, TE; Souza, DT","Brasil","Minas Gerais","Itabira","-43.494472","-19.578111",NA,NA,"Terrestre em brejo ao lado de rio. Área aberta.",NA,"272","2006","08","02","América",NA,"-43.494472","-19.578111",NA,NA,NA,NA,"105","105","07","28",NA,NA
"1529","2019-11-07 11:17:51-03","UFMG","BHCB-SL","101189","PreservedSpecimen","Plantae",NA,NA,NA,"Lycopodiaceae","Palhinhaea","cernua","Palhinhaea cernua","(L.) Franco & Vasc.","Almeida, TE","2006","Almeida, TE; Souza, DT","Brasil","Minas Gerais","Itabira","-43.491583","-19.579083",NA,NA,"Terrestre em barranco à beira de trilha. Interior de mata",NA,"279","2006",NA,NA,"América",NA,"-43.491583","-19.579083",NA,NA,NA,NA,"85","85","08",NA,NA,NA
"1530","2019-12-19 16:19:18-03","UFMG","BHCB-SL","161035","PreservedSpecimen","Plantae",NA,NA,NA,"Lycopodiaceae","Palhinhaea","cernua","Palhinhaea cernua","(L.) Franco & Vasc.","Salino, A",NA,"Souza, FS; Miranda, E","Brasil","Minas Gerais","Itabira","-43.477778","-19.491667",NA,NA,"Diagnóstico Ambiental. Terrestre.",NA,"1651","2012","08","31","América","Serra dos Alves, Cânion Boca da Serra. Campo Rupestre Quartzítico.","-43.477778","-19.491667",NA,NA,NA,NA,"1100","1100",NA,NA,NA,NA
"1531","2019-12-19 16:20:48-03","UFMG","BHCB-SL","195112","PreservedSpecimen","Plantae",NA,NA,NA,"Lycopodiaceae","Palhinhaea","cernua","Palhinhaea cernua","(L.) Franco & Vasc.","Salino, A",NA,"Moura, IO; Paucar, JOA; Siriani-Oliveira, S; Silva, APRO","Brasil","Minas Gerais","Itabira","-43.489722","-19.556111",NA,NA,"Terrícola. Cerrado Rupestre. Prensado em álcool. Disciplina Taxonomia de campo_2019.",NA,"288","2019","03","28","América","Igreja Morro Redondo, Borda da trilha para acesso à Igreja Morro Redondo.","-43.489722","-19.556111",NA,"BHCB195112",NA,NA,"1165","1165",NA,NA,NA,NA
"1532","2019-11-07 11:15:35-03","UFMG","BHCB-SL","101185","PreservedSpecimen","Plantae",NA,NA,NA,"Blechnaceae","Parablechnum","cordatum","Parablechnum cordatum","(Desv.) Gasper & Salino","Almeida, TE","2006","Almeida, TE; Souza, DT","Brasil","Minas Gerais","Itabira","-43.491583","-19.579083",NA,NA,"Terrestre à beira de trilha. Interior de mata",NA,"275","2006","08","02","América",NA,"-43.491583","-19.579083",NA,NA,NA,NA,"85","85","08",NA,NA,NA
"1533","2019-11-07 11:15:36-03","UFMG","BHCB-SL","101214","PreservedSpecimen","Plantae",NA,NA,NA,"Blechnaceae","Parablechnum","glaziovii","Parablechnum glaziovii","(Christ) Gasper & Salino","Almeida, TE","2006","Almeida, TE; Souza, DT","Brasil","Minas Gerais","Itabira","-43.492889","-19.578778",NA,NA,"Terrestre, em borda de mata, próximo ao poço da Cachoeira Alta",NA,"304","2006","08","02","América",NA,"-43.492889","-19.578778",NA,NA,NA,NA,"91","91","08",NA,NA,NA
"1534","2020-02-11 18:26:15-03","UFMG","BHCB-SL","101209","PreservedSpecimen","Plantae",NA,NA,NA,"Polypodiaceae","Pecluma",NA,"Pecluma","M.G.Price",NA,NA,"Almeida, TE; Souza, DT","Brasil","Minas Gerais","Itabira","-43.492889","-19.578778",NA,NA,"Rupícola em mata ciliar",NA,"299","2006","08","02","América","Serra da Cachoeira Alta, Distrito de Ipoema. Floresta Estacional Semidecidual Montana e Matas de Galeria.","-43.492889","-19.578778",NA,NA,NA,NA,"916","916",NA,NA,NA,NA
"1535","2020-03-04 20:43:33-03","UFMG","BHCB-SL","197557","PreservedSpecimen","Plantae",NA,NA,NA,"Polypodiaceae","Pecluma",NA,"Pecluma","M.G.Price","Salino, A",NA,"Moreira, VA; Araujo, FF; Marques, GM; Ferreira, VL","Brasil","Minas Gerais","Itabira","-43.461944","-19.497778",NA,NA,"Borda da trilha. Ambiente de brejo; Floresta estacional semidecidual.",NA,"18","2019","03","27","América","Serra dos Alves, Ipoema. Trilha dos Cristais.","-43.461944","-19.497778",NA,"BHCB197557",NA,NA,"754","754",NA,NA,NA,NA
"1536","2020-03-04 20:43:33-03","UFMG","BHCB-SL","197558","PreservedSpecimen","Plantae",NA,NA,NA,"Polypodiaceae","Pecluma","pectinatiformis","Pecluma pectinatiformis","(Lindm.) M.G.Price","Salino, A",NA,"Moreira, VA; Araujo, FF; Marques, GM; Ferreira, VL","Brasil","Minas Gerais","Itabira","-43.4675","-19.492222",NA,NA,"Borda da trilha; Floresta estacional semidecidual.",NA,"73","2019","03","27","América","Serra dos Alves, Ipoema. Trilha dos Cristais.","-43.4675","-19.492222",NA,"BHCB197558",NA,NA,"927","927",NA,NA,NA,NA
"1537","2020-02-11 18:26:18-03","UFMG","BHCB-SL","196764","PreservedSpecimen","Plantae",NA,NA,NA,"Polypodiaceae","Pecluma","pilosa","Pecluma pilosa","(A.M. Evans) M.Kessler & A.R.Sm.","Salino, A",NA,"Vilas Boas, T; Magalhães, RA","Brasil","Minas Gerais","Itabira","-43.460222","-19.587806",NA,NA,"Mata Secundária",NA,"45","2019","03","25","América","Parque Estadual da Mata do Limoeiro, Distrito de Ipoema","-43.460222","-19.587806",NA,"BHCB196764",NA,NA,"650","650",NA,NA,NA,NA
"1538","2020-02-11 18:26:21-03","UFMG","BHCB-SL","101198","PreservedSpecimen","Plantae",NA,NA,NA,"Polypodiaceae","Pecluma","robusta","Pecluma robusta","(Fée) M.Kessler & A.R.Sm.","Almeida, TE","2006","Almeida, TE; Souza, DT","Brasil","Minas Gerais","Itabira","-43.492889","-19.578778",NA,NA,"Terrestre, próximo a riacho, em Mata ciliar",NA,"288","2006","08","02","América","Serra da Cachoeira Alta, Distrito de Ipoema. Floresta Estacional Semidecidual Montana e Matas de Galeria.","-43.492889","-19.578778",NA,NA,NA,NA,"916","916","10",NA,NA,NA
"1539","2020-02-11 18:26:21-03","UFMG","BHCB-SL","160999","PreservedSpecimen","Plantae",NA,NA,NA,"Polypodiaceae","Pecluma","truncorum","Pecluma truncorum","(Lindm.) M.G.Price","Souza, FS; Assis, FC","2012","Souza, FS; Miranda, E","Brasil","Minas Gerais","Itabira","-43.458333","-19.491389",NA,NA,"Diagnóstico Ambiental, Epífita em Cyathea.",NA,"1615","2012","09","02","América","Serra dos Alves, Córrego do Cocho. Floresta Estacional Semidecidual.","-43.458333","-19.491389",NA,NA,NA,NA,"812","812","08",NA,NA,NA
"1540","2020-03-04 20:43:34-03","UFMG","BHCB-SL","197559","PreservedSpecimen","Plantae",NA,NA,NA,"Polypodiaceae","Phlebodium","pseudoaureum","Phlebodium pseudoaureum","(Cav.) Lellinger","Salino, A",NA,"Moreira, VA; Araujo, FF; Marques, GM; Ferreira, VL","Brasil","Minas Gerais","Itabira","-43.470556","-19.491111",NA,NA,"Rupícula na margem da cachoeira; Floresta estacional semidecidual.",NA,"69","2019","03","27","América","Serra dos Alves, Ipoema. Cachoeira dos Cristais.","-43.470556","-19.491111",NA,"BHCB197559",NA,NA,"980","980",NA,NA,NA,NA
"1541","2020-03-04 20:43:39-03","UFMG","BHCB-SL","195121","PreservedSpecimen","Plantae",NA,NA,NA,"Pteridaceae","Pityrogramma","calomelanos","Pityrogramma calomelanos","(L.) Link","Salino, A; Salino, A","2019","Moura, IO; Paucar, JOA; Siriani-Oliveira, S; Silva, APRO","Brasil","Minas Gerais","Itabira","-43.491667","-19.559444",NA,NA,"Prensado em álcool. Disciplina Taxonomia de campo_2019; Terrícola; Candeial",NA,"298","2019","03","28","América","Igreja Morro Redondo, Barda da estrada de acesso a Igreja Morro Redondo","-43.491667","-19.559444",NA,"BHCB195121",NA,NA,"1053","1053","03","28",NA,NA
