"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","scientificName","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","specificEpithet","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","locality","verbatimLongitude","verbatimLatitude","occurrenceRemarks","previousCatalogNumber","order","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","individualCount"
"14","2019-10-02 14:50:06-03","UFMG","BHCB","2925","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Gnaphalium","Gnaphalium cheiranthifolium","Cândida, CR","s.n.","1981","05","23","Brasil","Minas Gerais","Cristiano Otoni","-43.8055992126465","-20.8321990966797","10830",NA,NA,"auto","cheiranthifolium","Lam.",NA,NA,NA,NA,NA,NA,NA,"Barrancos úmidos. Herbáceo. Flores amarelas. Planta perfumada.",NA,NA,"Southern America",NA,NA,NA,NA
"15","2019-12-16 17:40:46-03","UFMG","BHCB","2926","PreservedSpecimen","Plantae","Dicotyledon","Acanthaceae","Justicia","Justicia dasyclados","Cândida, CR","s.n.","1981","05","23","Brasil","Minas Gerais","Cristiano Otoni","-43.8055992126465","-20.8321990966797","10830","BHCB053006","BHCB053006","auto","dasyclados",NA,NA,NA,NA,NA,NA,NA,NA,"Herbáceo, flores avermelhadas.; Barranco úmido.",NA,NA,"Southern America",NA,NA,NA,NA
"16","2019-10-02 14:57:20-03","UFMG","BHCB","3011","PreservedSpecimen","Plantae","Dicotyledon","Melastomataceae","Microlicia","Microlicia confertiflora","Cândida, CR","s.n.","1981","05","23","Brasil","Minas Gerais","Cristiano Otoni","-43.8055992126465","-20.8321990966797","10830",NA,NA,"auto","confertiflora","Naudin",NA,NA,NA,NA,NA,NA,NA,"Variedade:laxifolia;barranco e paredões;herbáceo;flores roxas;",NA,NA,"Southern America",NA,NA,NA,NA
"17","2019-10-02 14:51:26-03","UFMG","BHCB","16479","PreservedSpecimen","Plantae","Dicotyledon","Bignoniaceae","Handroanthus","Handroanthus chrysotrichus","Braga, MMN; Teixeira, EM","2601","1989","09","29","Brasil","Minas Gerais","Cristiano Otoni","-43.8055992126465","-20.8321990966797","10830","BHCB008140",NA,"auto","chrysotrichus","(Mart. ex DC.) N.F.Mattos",NA,"2011","05","12",NA,NA,NA,"flores amarelas, cálice muito piloso pardo ferrugíneo com folhas.",NA,NA,"Southern America",NA,NA,NA,NA
"18","2018-10-26 12:05:55-03","Cenargen","CEN","62035","S","Plantae",NA,"Polygalaceae","Caamembeca","Caamembeca laureola","Carolyn Elinore Barnes Proença","3085","2006","01","03","Brasil","MG","CRISTIANO OTONI","-43.769166","-20.843611",NA,"CEN00062035","CEN00062035",NA,"laureola","(A.St.-Hil. & Moq.) J.F.B.Pastore","J. F. B. Pastore",NA,NA,NA,NA,"-43,769166","-20,843611","Flor branca com labelo amarelo; Cheiro de gelol na Raia; Foto. Doação do Sistema Herbário UB (19085). Minas Gerais.",NA,NA,NA,"1175","1175","Exsicatas","1"
"19","2018-10-26 11:55:22-03","Cenargen","CEN","62037","S","Plantae",NA,"Lythraceae","Cuphea","Cuphea ingrata","Carolyn Elinore Barnes Proença","3098","2006","01","03","Brasil","MG","CRISTIANO OTONI","-43.769166","-20.843611",NA,"CEN00062037","CEN00062037",NA,"ingrata","Cham. & Schltdl.","T. B. Cavalcanti",NA,NA,NA,NA,"-43,769166","-20,843611","Flor rosa-pálido. Pétalas 6, rosa-pálidas; hipanto com estrias vinho por fora, duas manchas amarelas por dentro. Doação do Sistema Herbário UB (19098). Minas Gerais.",NA,NA,NA,"1175","1175","Exsicatas","1"
"20","2018-10-26 11:58:11-03","Cenargen","CEN","62263","S","Plantae",NA,"Melastomataceae","Leandra","Leandra","Carolyn Elinore Barnes Proença","3091","2006","01","03","Brasil","MG","CRISTIANO OTONI","-43.769166","-20.843611",NA,"CEN00062263","CEN00062263",NA,NA,NA,"C. E. B. Proença",NA,NA,NA,NA,"-43,769166","-20,843611","Doação do Sistema Herbário UB (19091). Minas Gerais.",NA,NA,NA,"1175","1175","Exsicatas","1"
"21","2018-10-26 12:06:12-03","Cenargen","CEN","62036","S","Plantae",NA,"Polygalaceae","Polygala","Polygala paniculata","Carolyn Elinore Barnes Proença","3095","2006","01","03","Brasil","MG","CRISTIANO OTONI","-43.769166","-20.843611",NA,"CEN00062036","CEN00062036",NA,"paniculata","L.","J. F. B. Pastore",NA,NA,NA,NA,"-43,769166","-20,843611","Doação do Sistema Herbário UB (19095). Minas Gerais.",NA,NA,NA,"1175","1175","Exsicatas","1"
"22","2019-11-07 11:17:46-03","UFMG","BHCB-SL","2924","PreservedSpecimen","Plantae",NA,"Lycopodiaceae","Lycopodium","Lycopodium clavatum","Cândida, CR","s.n.","1981",NA,NA,"Brasil","Minas Gerais","Cristiano Otoni","-43.8055992126465","-20.8321990966797","10830",NA,NA,"auto","clavatum","L.",NA,NA,NA,NA,NA,NA,NA,"barranco úmido;herbáceo-rastejante;medicinal;",NA,NA,"América",NA,NA,NA,NA
"23","2019-11-07 11:18:08-03","UFMG","BHCB-SL","41829","PreservedSpecimen","Plantae",NA,"Osmundaceae","Osmunda","Osmunda spectabilis","Duarte, AP","s.n.","1968","08","06","Brasil","Minas Gerais","Cristiano Otoni","-43.8055992126465","-20.8321990966797","10830",NA,NA,"auto","spectabilis","Willd.","Sylvestre, LS","2017","07","28","Estrada de Caranaiba",NA,NA,"Planta de brejo em grande formação.",NA,NA,"América",NA,NA,NA,NA
"24","2016-09-19 16:16:21-03","UnB","UB","18589","S","Plantae","Dicotyledoneae","Polygalaceae","Polygala","Polygala paniculata","Proença, CEB; Harris, SA","3095","2006","01","03","Brasil","Minas Gerais","Cristiano Otoni","-43.769167","-20.843611",NA,NA,NA,NA,"paniculata","L.","Pastore, JFB",NA,NA,NA,NA,"-43.769167","-20.843611","Erva ereta. Flor branca; Remanescente de mata atlântica antropizada.",NA,NA,"Southern America","1175","1175",NA,NA
"25","2016-09-19 16:16:22-03","UnB","UB","18579","S","Plantae","Dicotyledoneae","Polygalaceae","Polygala","Polygala spectabilis","Proença, CEB; Harris, SA","3085","2006","01","03","Brasil","Minas Gerais","Cristiano Otoni","-43.769167","-20.843611",NA,NA,NA,NA,"spectabilis","DC.","Pastore, JFB",NA,NA,NA,NA,"-43.769167","-20.843611","Cheiro de gelol na Raia. FOTO.; Arbusto 0,7m. Flor branca com labelo amarelo; Vegetação antropizada e pasto com remanescentes de mata atlântica.",NA,NA,"Southern America","1175","1175",NA,NA
"26","2016-09-19 16:16:52-03","UnB","UB","18578","S","Plantae","Dicotyledoneae","Rosaceae","Rubus","Rubus rosaefolius","Proença, CEB; Harris, SA","3084","2006","01","03","Brasil","Minas Gerais","Cristiano Otoni","-43.769167","-20.843611",NA,NA,NA,NA,"rosaefolius","Sm.","Harris, SA","2006","01","17","Sombra, próximo à Cascatinha","-43.769167","-20.843611","Arbusto 0,7m. Flor branca. Fruto vermelho.; Vegetação antropizada e pasto com remanescentes de mata atlântica.",NA,NA,"Southern America","1175","1175",NA,NA
"27","2016-09-19 16:17:53-03","UnB","UB","18591","S","Plantae","Dicotyledoneae","Rubiaceae","Galium","Galium hypocarpium","Proença, CEB; Harris, SA","3097","2006","01","03","Brasil","Minas Gerais","Cristiano Otoni","-43.769167","-20.843611",NA,NA,NA,NA,"hypocarpium","(L.) Endl. ex Grisebach","Harris, SA","2006","01","17",NA,"-43.769167","-20.843611","Erva prostrada. Fruto alaranjado vistoso.; Vegetação antropizada e pasto com remanescentes de mata atlântica.",NA,NA,"Southern America","1175","1175",NA,NA
"28","2017-10-03 16:57:56-03","UnB","UB","18586","S","Plantae","Dicotyledoneae","Asteraceae","Vernonanthura","Vernonanthura westiniana","Proença, CEB; Harris, SA","3092","2006","01","03","Brasil","Minas Gerais","Cristiano Otoni","-43.769167","-20.843611",NA,NA,NA,NA,"westiniana","(Less.) H.Rob.",NA,NA,NA,NA,NA,"-43.769167","-20.843611","Flores velhas se tornam brancas. Folhas verde muito escuras na ventral; Arbusto ereto 1,5m. Flor rosa lilás forte; Remanescente de mata atlântica antropizada",NA,NA,"Southern America","1175","1175",NA,NA
"29","2017-03-27 17:47:45-03","UnB","UB","18584","S","Plantae","Dicotyledoneae","Fabaceae","Vigna","Vigna","Proença, CEB; Harris, SA","3090","2006","01","03","Brasil","Minas Gerais","Cristiano Otoni","-43.769167","-20.843611",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-43.769167","-20.843611","Carena esbranquiçada. Cálice verde com listras transversais cor de vinho. FOTO.; Trepadeira volúvel sinistrorsa. Flor lilás pálido; Remanescente de mata atlântica antropizada.",NA,NA,"Southern America","1175","1175",NA,NA
"30","2017-10-03 16:58:19-03","UnB","UB","18580","S","Plantae","Dicotyledoneae","Euphorbiaceae","Acalypha","Acalypha brasiliensis","Proença, CEB; Harris, SA","3086","2006","01","03","Brasil","Minas Gerais","Cristiano Otoni","-43.769167","-20.843611",NA,NA,NA,NA,"brasiliensis","Müll.Arg.","Proença, CEB",NA,NA,NA,NA,"-43.769167","-20.843611","Estigmas vermelhos. FOTO.; Arbusto 1,2m. Flor creme; Remanescente de mata atlântica antropizada.",NA,NA,"Southern America","1175","1175",NA,NA
"31","2017-01-18 16:18:57-02","UnB","UB","18593","S","Plantae","Dicotyledoneae","Asteraceae","Baccharis","Baccharis dracunculifolia","Proença, CEB; Harris, SA","3099","2006","01","03","Brasil","Minas Gerais","Cristiano Otoni","-43.769167","-20.843611",NA,NA,NA,NA,"dracunculifolia","DC.","Hattori, EKO","2008","09",NA,NA,"-43.769167","-20.843611","Planta do sexo masculino. Anteras amarelo-claras.; Subarbusto 1m. Flor creme; Vegetação antropizada e pasto com remanescentes de mata atlântica.",NA,NA,"Southern America","1175","1175",NA,NA
"32","2016-09-19 16:20:38-03","UnB","UB","18587","S","Plantae","Dicotyledoneae","Scrophulariaceae","Buddleja","Buddleja brasiliensis","Proença, CEB; Harris, SA","3093","2006","01","03","Brasil","Minas Gerais","Cristiano Otoni","-43.769167","-20.843611",NA,NA,NA,NA,"brasiliensis","Jacq. ex Spreng","Harris, SA",NA,NA,NA,NA,"-43.769167","-20.843611","Arbusto ereto 1m. Flor amarelo claro; Remanescente de mata atlântica antropizada.",NA,NA,"Southern America","1175","1175",NA,NA
"33","2016-09-19 16:20:47-03","UnB","UB","18582","S","Plantae","Dicotyledoneae","Solanaceae","Cestrum","Cestrum bracteatum","Proença, CEB; Harris, SA","3088","2006","01","03","Brasil","Minas Gerais","Cristiano Otoni","-43.769167","-20.843611",NA,NA,NA,NA,"bracteatum","Link. & Otto","Vignoli-Silva, M","2012","10","16",NA,"-43.769167","-20.843611","Arbusto 1m. Flor creme esverdeada; Remanescente de mata atlântica antropizada.",NA,NA,"Southern America","1175","1175",NA,NA
"34","2016-09-19 16:06:43-03","UnB","UB","18590","S","Plantae","Dicotyledoneae","Lythraceae","Cuphea","Cuphea carthagenensis","Proença, CEB; Harris, SA","3096","2006","01","03","Brasil","Minas Gerais","Cristiano Otoni","-43.769167","-20.843611",NA,NA,NA,NA,"carthagenensis","(Jacq.) J.F. Macbr.","Facco, MG","2015",NA,NA,NA,"-43.769167","-20.843611","Frutos maduros abertos, 6 sementes verdes.; Erva 0,5m. Flor rosa-escuro; Remanescente de mata atlântica antropizada.",NA,NA,"Southern America","1175","1175",NA,NA
"35","2016-09-19 16:06:43-03","UnB","UB","215268","S","Plantae","Dicotyledoneae","Lythraceae","Cuphea","Cuphea carthagenensis","Proença, CEB; Harris, SA","3096","2006","01","03","Brasil","Minas Gerais","Cristiano Otoni","-43.769167","-20.843611",NA,NA,NA,NA,"carthagenensis","(Jacq.) J.F. Macbr.","Facco, MG","2015",NA,NA,NA,"-43.769167","-20.843611","Frutos maduros abertos, 6 sementes verdes.; Erva 0,5m. Flor rosa-escuro; Remanescente de mata atlântica antropizada.",NA,NA,"Southern America","1175","1175",NA,NA
"36","2016-09-19 16:06:46-03","UnB","UB","18592","S","Plantae","Dicotyledoneae","Lythraceae","Cuphea","Cuphea ingrata","Proença, CEB; Harris, SA","3098","2006","01","03","Brasil","Minas Gerais","Cristiano Otoni","-43.769167","-20.843611",NA,NA,NA,NA,"ingrata","Cham. & Schltdl.","Cavalcanti, TB",NA,NA,NA,NA,"-43.769167","-20.843611","Pétalas 6, rosa-pálidas; hypanto com estrias vinho por fora, duas manchas amarelas por dentro. FOTO.; SubArbusto. Flor rosa-pálido; Vegetação antropizada e pasto com remanescentes de mata atlântica.",NA,NA,"Southern America","1175","1175",NA,NA
"37","2017-10-03 16:56:55-03","UnB","UB","18588","S","Plantae","Dicotyledoneae","Asteraceae","Cyrtocymura","Cyrtocymura scorpioides","Proença, CEB; Harris, SA","3094","2006","01","03","Brasil","Minas Gerais","Cristiano Otoni","-43.769167","-20.843611",NA,NA,NA,NA,"scorpioides","(Lam.) H.Rob.",NA,NA,NA,NA,NA,"-43.769167","-20.843611","Flores velhas já iniciando frutificação, papus brancos.; SubArbusto 1m. Flor lilás; Remanescente de mata atlântica antropizada.",NA,NA,"Southern America","1175","1175",NA,NA
"38","2017-03-27 17:49:44-03","UnB","UB","18581","S","Plantae","Dicotyledoneae","Myrtaceae","Eugenia","Eugenia","Proença, CEB; Harris, SA","3087","2006","01","03","Brasil","Minas Gerais","Cristiano Otoni","-43.769167","-20.843611",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-43.769167","-20.843611","Estéril. Folhas verde-escuras brilhantes na ventral. Casca lisa, bronze. FOTO.; Árvore 3m; Remanescente de mata atlântica antropizada.",NA,NA,"Southern America","1175","1175",NA,NA
"39","2017-03-27 17:42:27-03","UnB","UB","18583","S","Plantae","Dicotyledoneae","Acanthaceae","Justicia","Justicia","Proença, CEB; Harris, SA","3089","2006","01","03","Brasil","Minas Gerais","Cristiano Otoni","-43.769167","-20.843611",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-43.769167","-20.843611","Brácteas da inflorescência avermelhados. Botões amarelos. Filetes e corola alaranjados, anteras beges a alturas diferentes. FOTO.; Erva 1,2m. Flor vermelho alaranjada; Remanescente de mata atlântica antropizada.",NA,NA,"Southern America","1175","1175",NA,NA
"40","2017-03-27 17:49:15-03","UnB","UB","18585","S","Plantae","Dicotyledoneae","Melastomataceae","Leandra","Leandra","Proença, CEB; Harris, SA","3091","2006","01","03","Brasil","Minas Gerais","Cristiano Otoni","-43.769167","-20.843611",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-43.769167","-20.843611","Pétalas amarelo claro; anteras amarelo canário e filetes gema-de-ovo. FOTO.; Arbusto 1m. Flor amarela; Remanescente de mata atlântica antropizada.",NA,NA,"Southern America","1175","1175",NA,NA
"41","2016-09-19 16:03:24-03","UnB","UB","18577","S","Plantae","Dicotyledoneae","Fabaceae","Mimosa","Mimosa velloziana","Proença, CEB; Harris, SA","3083","2006","01","03","Brasil","Minas Gerais","Cristiano Otoni","-43.769167","-20.843611",NA,NA,NA,NA,"velloziana","Mart.","Simon, MF",NA,NA,NA,NA,"-43.769167","-20.843611","Anteras amarelo-claras. Folhas tigmotrópicas rápidas. Flores com perfume suave. FOTO.; Arbusto. Flor rosa escuro; Vegetação antropizada e pasto com remanescentes de mata atlântica.",NA,NA,"Southern America","1175","1175",NA,NA
"42","2019-05-06 11:59:23-03","UFU","HUFU","45076","S","Plantae",NA,"Melastomataceae","Leandra","Leandra","Proença, C.; Harris, S.A.","3091","2006","01","03","Brasil","Minas Gerais","Cristiano Otoni","-43.769167","-20.843611",NA,"HUFU00061571","HUFU00061571",NA,NA,NA,NA,NA,NA,NA,NA,"-43.769167","-20.843611","Arbusto, 1 m. Flor amarela, pétalas amarelo claro, anteras amarelo canário e filetes gema-de-ovo.; Remanescente de mata atlântica antropizada.",NA,NA,NA,"1175","1175",NA,NA
