"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","class","recordNumber","continentOcean","preparationType","barcode","imagecode","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","typeStatus","infraspecificEpithet","relatedCatalogItem"
"193","2018-10-26 11:50:18-03","Cenargen","CEN","71012","S","Plantae",NA,NA,"Fabaceae Faboideae","Centrolobium","sclerophyllum","Centrolobium sclerophyllum","H.C.Lima","J. B. Pereira",NA,NA,"Edson Junqueira Leite","1999","11","06","Brasil","MG","TIMOTEO","Povoado Antunes, prop. Mário Valentino.","-42.644401550293","-19.5825004577637",NA,NA,"16391","4","Frutos maduros.","auto",NA,"28",NA,"Exsicatas","CEN00071012","CEN00071012",NA,NA,NA,NA,NA,NA
"194","2019-07-24 16:20:35-03","SMITHSONIAN","US","3028862","PreservedSpecimen","Plantae",NA,"Sapindales","Rutaceae","Raputia","alba","Raputia alba","Engl.",NA,NA,NA,"E. P. Heringer","1982","10","22","Brazil","Minas Gerais","Timóteo","Parque Estadual do Rio Doce","-42.644401550293","-19.5825004577637",NA,NA,"16391",NA,"<a href=http://n2t.net/ark:/65665/3bae9435f-bbad-4af4-bab5-7ec175cd7ff7 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","auto","Dicotyledonae","18562","South America - Neotropics",NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","2019-07-24 16:24:01-03","SMITHSONIAN","US","3180040","PreservedSpecimen","Plantae",NA,"Theales","Ochnaceae","Ouratea","angulata","Ouratea angulata","Tiegh.",NA,NA,NA,"E. P. Heringer",NA,NA,NA,"Brazil","Minas Gerais","Timóteo","Parque Estadual do Rio Doce","-42.644401550293","-19.5825004577637",NA,NA,"16391",NA,"<a href=http://n2t.net/ark:/65665/3e83ed9c2-3022-4366-9d45-b56281c2756a target=other class=eLink> <mi>dwc_moreinfo</mi></a>","auto","Dicotyledonae","18550","South America - Neotropics",NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","2019-07-24 16:19:59-03","SMITHSONIAN","US","3081126","PreservedSpecimen","Plantae",NA,"Sapindales","Burseraceae","Crepidospermum","goudotianum","Crepidospermum goudotianum","(Tul.) Triana & Planch.",NA,NA,NA,"E. P. Heringer","1982","10","22","Brazil","Minas Gerais","Timóteo","Parque Estadual do Rio Doce","-42.644401550293","-19.5825004577637",NA,NA,"16391",NA,"<a href=http://n2t.net/ark:/65665/39203d1ef-f978-48d0-85af-f0cdc2c461c3 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","auto","Dicotyledonae","18553","South America - Neotropics",NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","2019-07-24 16:25:26-03","SMITHSONIAN","US","3028875","PreservedSpecimen","Plantae",NA,"Violales","Flacourtiaceae","Indet.","sp.","Indet. sp.",NA,NA,NA,NA,"E. P. Heringer","1982","10","22","Brazil","Minas Gerais","Timóteo","Parque Estadual do Rio Doce.","-42.644401550293","-19.5825004577637",NA,NA,"16391",NA,"<a href=http://n2t.net/ark:/65665/397bddd31-a31c-4a4e-860e-8caa1ad998dc target=other class=eLink> <mi>dwc_moreinfo</mi></a>","auto","Dicotyledonae","18558","South America - Neotropics",NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","2019-07-24 16:23:05-03","SMITHSONIAN","US","3028866","PreservedSpecimen","Plantae",NA,"Solanales","Solanaceae","Lycianthes","violaefolium","Lycianthes violaefolium",NA,NA,NA,NA,"E. P. Heringer","1982","10","22","Brazil","Minas Gerais","Timóteo","Parque Estadual do Rio Doce","-42.644401550293","-19.5825004577637",NA,NA,"16391",NA,"<a href=http://n2t.net/ark:/65665/322c3e757-4021-4863-9a48-f63094a2e734 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","auto","Dicotyledonae","18560","South America - Neotropics",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","2019-11-13 11:19:46-03","USP","SPF","161450","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Aparisthmium","cordatum","Aparisthmium cordatum","(A.Juss.) Baill.","Cordeiro, I","2011","11","França, GS","2003","10","09","Brasil","Minas Gerais","Timóteo",NA,"-42.549722","-19.588056","-42.549722","-19.588056",NA,NA,"Lagoa Juquita. Floresta estacional semidecidual.; Arbóreo - 7 m.",NA,NA,"437",NA,NA,"SPF00161450","SPF00161450",NA,"290","290",NA,NA,NA
"200","2019-11-13 11:32:39-03","USP","SPF","164474","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Citharexylum","myrianthum","Citharexylum myrianthum","Cham.","França, GS",NA,NA,"França, GS","2004","03","03","Brasil","Minas Gerais","Timóteo","Parque Estadual do Rio Doce","-42.568611","-19.591111","-42.568611","-19.591111",NA,NA,NA,NA,NA,"490",NA,NA,"SPF00164474","SPF00164474",NA,"248","248",NA,NA,NA
"201","2019-11-13 11:16:53-03","USP","SPF","213346","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Mansoa",NA,"Mansoa",NA,NA,NA,NA,"Fonseca, LHM","2013","09","13","Brasil","Minas Gerais","Timóteo","Beira da MG-425.","-42.620167","-19.639361","-42.620167","-19.639361",NA,NA,"Liana. Inflorescência e cálice verdes. Corola lilás.",NA,NA,"221",NA,NA,"SPF00213346",NA,NA,"315","315",NA,NA,NA
"202","2019-11-13 11:30:23-03","USP","SPF","163909","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Psychotria","deflexa","Psychotria deflexa","DC.","França, GS",NA,NA,"França, GS","2004","03","03","Brasil","Minas Gerais","Timóteo","Parque Estadual do Rio Doce","-42.568611","-19.591111","-42.568611","-19.591111",NA,NA,NA,NA,NA,"492",NA,NA,"SPF00163909",NA,NA,"248","248",NA,NA,NA
"203","2019-11-13 11:30:35-03","USP","SPF","163906","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Schizocalyx","cuspidatus","Schizocalyx cuspidatus","(A.St.-Hil.) Kainul. & B.Bremer","Zappi, DC","2013",NA,"França, GS","2004","03","03","Brasil","Minas Gerais","Timóteo","Parque Estadual do Rio Doce","-42.568611","-19.591111","-42.568611","-19.591111",NA,NA,NA,NA,NA,"496",NA,NA,"SPF00163906",NA,NA,"248","248",NA,NA,NA
"204","2019-11-13 11:26:14-03","USP","SPF","164427","PreservedSpecimen","Plantae",NA,NA,"Meliaceae","Trichilia","pallida","Trichilia pallida","Sw.","França, GS",NA,NA,"França, GS","2004","03","03","Brasil","Minas Gerais","Timóteo","Parque Estadual do Rio Doce","-42.568611","-19.591111","-42.568611","-19.591111",NA,NA,NA,NA,NA,"487",NA,NA,"SPF00164427","SPF00164427",NA,"248","248",NA,NA,NA
"205","2020-03-04 18:50:31-03","USP","SPF","163868","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Senefeldera","verticillata","Senefeldera verticillata","(Vell.) Croizat","Lombardi, JA","2004","03","Sposito, TC","1999","09","27","Brasil","Minas Gerais","Timóteo","Parque Estadual do Rio Doce, Trilha da Lagoa do Meio.","-42.644401550293","-19.5825004577637",NA,NA,"16391",NA,"Látex branco, inflorescências verdes, flores amareladas com cheiro adocidado.","auto",NA,"s.n.",NA,NA,"SPF00163868",NA,NA,NA,NA,NA,NA,NA
"206","2019-10-07 09:15:43-03","UEFS","HUEFS","140998","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Bignoniaceae","Mansoa",NA,"Mansoa",NA,NA,NA,NA,"Silva-Castro, M.M.","2008","09","04","Brasil","Minas Gerais","Timóteo","Estrada para o Parque Estadual do Rio Doce (PERD).","-42.624444","-19.643889","42W37'28''","19S38'38''",NA,NA,NA,NA,"Asteranae","1474",NA,NA,"HUEFS0140998","HUEFS0140998",NA,"276","276",NA,NA,NA
"207","2019-10-07 09:29:52-03","UEFS","HUEFS","141020","PreservedSpecimen","Plantae","Angiospermae","Malpighiales","Achariaceae","Carpotroche",NA,"Carpotroche",NA,NA,NA,NA,"Silva-Castro, M.M.","2008","09","05","Brasil","Minas Gerais","Timóteo","Parque Estadual do Rio Doce (PERD), estrada para o restaurante.","-42.466667","-19.737778","42W28'0''","19S44'16''",NA,NA,NA,NA,"Rosanae","1497",NA,NA,"HUEFS0141020","HUEFS0141020",NA,"312","312",NA,NA,NA
"208","2019-10-07 09:16:57-03","UEFS","HUEFS","84581","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Verbenaceae","Citharexylum","myrianthum","Citharexylum myrianthum","Cham.","V.A.Thode","2013","04","França, G.S.","2004","03","03","Brasil","Minas Gerais","Timóteo","Macuco, Parque Estadual do Rio Doce.","-42.568611","-19.591111","42W34'7''","19S35'28''",NA,NA,NA,NA,"Asteranae","490",NA,NA,"HUEFS0084581","HUEFS0084581",NA,"248","248",NA,NA,NA
"209","2019-10-07 09:36:51-03","UEFS","HUEFS","140997","PreservedSpecimen","Plantae","Angiospermae","Sapindales","Meliaceae","Guarea","guidonia","Guarea guidonia","(L.) Sleumer","L.S.B.Calazans","2011","02","Silva-Castro, M.M.","2008","09","04","Brasil","Minas Gerais","Timóteo","Estrada para o Parque Estadual do Rio Doce (PERD).","-42.624444","-19.643889","42W37'28''","19S38'38''",NA,NA,NA,NA,"Rosanae","1473",NA,NA,"HUEFS0140997","HUEFS0140997",NA,"276","276",NA,NA,NA
"210","2019-10-07 09:23:16-03","UEFS","HUEFS","79393","PreservedSpecimen","Plantae","Angiospermae","Magnoliales","Annonaceae","Guatteria","ferruginea","Guatteria ferruginea","A.St.-Hil.","A.Lobão","2005","08","França, G.S.","2003","10","09","Brasil","Minas Gerais","Timóteo","Lagoa Juquita","-42.549722","-19.588056","42W32'59''","19S35'17''",NA,NA,NA,NA,"Magnolianae","438",NA,NA,"HUEFS0079393","HUEFS0079393",NA,"290","290",NA,NA,NA
"211","2019-10-07 09:15:39-03","UEFS","HUEFS","142396","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Bignoniaceae","Handroanthus","serratifolius","Handroanthus serratifolius","(Vahl) S.Grose","F.S.Espírito-Santo","2011","07","Ferreira, F.M.","2008","09","06","Brasil","Minas Gerais","Timóteo","Centro da cidade","-42.6875","-19.5625","42W41'15''","19S33'45''",NA,NA,NA,NA,"Asteranae","1972",NA,NA,"HUEFS0142396","HUEFS0142396",NA,NA,NA,NA,NA,NA
"212","2019-10-07 09:32:36-03","UEFS","HUEFS","79290","PreservedSpecimen","Plantae","Angiospermae","Malpighiales","Phyllanthaceae","Hyeronima","alchorneoides","Hyeronima alchorneoides","Allemão",NA,NA,NA,"França, G.S.","2003","10","09","Brasil","Minas Gerais","Timóteo","Lagoa Juquita.","-42.549722","-19.588056","42W32'59''","19S35'17''",NA,NA,NA,NA,"Rosanae","437",NA,NA,"HUEFS0079290","HUEFS0079290",NA,"290","290",NA,NA,NA
"213","2019-10-07 09:15:43-03","UEFS","HUEFS","140995","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Bignoniaceae","Mansoa","glaziovii","Mansoa glaziovii","Bureau & K.Schum.",NA,NA,NA,"Silva-Castro, M.M.","2008","09","04","Brasil","Minas Gerais","Timóteo","Estrada para o Parque Estadual do Rio Doce (PERD).","-42.624444","-19.643889","42W37'28''","19S38'38''",NA,NA,NA,NA,"Asteranae","1471",NA,NA,"HUEFS0140995","HUEFS0140995",NA,"276","276",NA,NA,NA
"214","2019-10-07 09:13:40-03","UEFS","HUEFS","113439","PreservedSpecimen","Plantae","Angiospermae","Gentianales","Apocynaceae","Oxypetalum","harleyi","Oxypetalum harleyi","(Fontella & Goyder) Farinaccio","A.Rapini","2009","08","França, G.S.","2004","08","06","Brasil","Minas Gerais","Timóteo","Parque Estadual do Rio Doce.","-42.568611","-19.591389","42W34'7''","19S35'29''",NA,NA,NA,NA,"Asteranae","570",NA,NA,"HUEFS0113439","HUEFS0113439",NA,"248","248",NA,NA,NA
"215","2019-10-07 09:23:27-03","UEFS","HUEFS","79392","PreservedSpecimen","Plantae","Angiospermae","Piperales","Piperaceae","Piper","arboreum","Piper arboreum","Aubl.",NA,NA,NA,"França, G.S.","2003","10","09","Brasil","Minas Gerais","Timóteo","Lagoa Lagoinha","-42.556944","-19.593056","42W33'25''","19S35'35''",NA,NA,NA,NA,"Magnolianae","428",NA,NA,"HUEFS0079392","HUEFS0079392",NA,"294","294",NA,NA,NA
"216","2019-10-07 09:23:30-03","UEFS","HUEFS","79391","PreservedSpecimen","Plantae","Angiospermae","Piperales","Piperaceae","Piper","limai","Piper limai","Yunck.","D.Monteiro","2012","10","França, G.S.","2003","10","09","Brasil","Minas Gerais","Timóteo","Lagoa Lagoinha","-42.556944","-19.593056","42W33'25''","19S35'35''",NA,NA,NA,NA,"Magnolianae","429",NA,NA,"HUEFS0079391","HUEFS0079391",NA,"294","294",NA,NA,NA
"217","2019-10-07 09:36:38-03","UEFS","HUEFS","79394","PreservedSpecimen","Plantae","Angiospermae","Rosales","Urticaceae","Pourouma","guianensis","Pourouma guianensis","Aubl.",NA,NA,NA,"França, G.S.","2003","10","09","Brasil","Minas Gerais","Timóteo","Lagoa Juquita","-42.549722","-19.588056","42W32'59''","19S35'17''",NA,NA,NA,NA,"Rosanae","436",NA,NA,"HUEFS0079394","HUEFS0079394",NA,"290","290",NA,NA,NA
"218","2019-10-07 09:14:55-03","UEFS","HUEFS","84622","PreservedSpecimen","Plantae","Angiospermae","Gentianales","Rubiaceae","Schizocalyx","cuspidatus","Schizocalyx cuspidatus","(A.St.-Hil.) Kainul. & B. Bremer","C.M.Taylor","2012","07","França, G.S.","2004","03","03","Brasil","Minas Gerais","Timóteo","Macuco, Parque Estadual do Rio Doce.","-42.568611","-19.591111","42W34'7''","19S35'28''",NA,NA,"Floresta estacional semidecidual submontana.",NA,"Asteranae","496",NA,NA,"HUEFS0084622","HUEFS0084622",NA,"248","248",NA,NA,NA
"219","2019-10-07 09:13:47-03","UEFS","HUEFS","140996","PreservedSpecimen","Plantae","Angiospermae","Gentianales","Apocynaceae","Tabernaemontana",NA,"Tabernaemontana",NA,NA,NA,NA,"Silva-Castro, M.M.","2008","09","04","Brasil","Minas Gerais","Timóteo","Estrada para o Parque Estadual do Rio Doce (PERD).","-42.624444","-19.643889","42W37'28''","19S38'38''",NA,NA,NA,NA,"Asteranae","1472",NA,NA,"HUEFS0140996","HUEFS0140996",NA,"276","276",NA,NA,NA
"220","2019-10-07 09:36:52-03","UEFS","HUEFS","79388","PreservedSpecimen","Plantae","Angiospermae","Sapindales","Meliaceae","Trichilia","casaretti","Trichilia casaretti","C.DC.",NA,NA,NA,"França, G.S.","2003","10","09","Brasil","Minas Gerais","Timóteo","Lagoa Lagoinha","-42.556944","-19.593056","42W33'25''","19S35'35''",NA,NA,NA,NA,"Rosanae","433",NA,NA,"HUEFS0079388","HUEFS0079388",NA,"294","294",NA,NA,NA
"221","2019-10-07 09:36:54-03","UEFS","HUEFS","84618","PreservedSpecimen","Plantae","Angiospermae","Sapindales","Meliaceae","Trichilia","pallida","Trichilia pallida","Sw.",NA,NA,NA,"França, G.S.","2004","03","03","Brasil","Minas Gerais","Timóteo","Macuco, Pq. Estadual do Rio Doce","-42.568611","-19.591111","42W34'7''","19S35'28''",NA,NA,"Floresta estacional semidecidual submontana.",NA,"Rosanae","487",NA,NA,"HUEFS0084618","HUEFS0084618",NA,"248","248",NA,NA,NA
"222","2019-10-07 09:28:50-03","UEFS","HUEFS","79377","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Papilionoideae","Zollernia","ilicifolia","Zollernia ilicifolia","(Brongn.) Vogel",NA,NA,NA,"França, G.S.","2003","10","09","Brasil","Minas Gerais","Timóteo","Macuco.","-42.575556","-19.583611","42W34'32''","19S35'1''",NA,NA,NA,NA,"Rosanae","435",NA,NA,"HUEFS0079377",NA,NA,"257","257",NA,NA,NA
"223","2016-10-10 10:14:56-03","MOBOT","MOBOT_BR","100250507","S","Plantae",NA,NA,"Lauraceae","Ocotea","brachybotrya","Ocotea brachybotrya","(Meisn.) Mez","H. van der Werff (Mo)","2009",NA,"G. S. França|F. Raggi","2004","03","03","Brazil","Minas Gerais","Timóteo","Macuco, Parque Estadual do Rio Doce.","-42.5686111","-19.5911111","-42.5686111","-19.5911111",NA,NA,NA,NA,NA,"França 491","South America",NA,NA,NA,NA,"248","248",NA,NA,NA
"224","2018-12-03 11:17:24-02","CEPLAC","CEPEC","60310","S","Plantae",NA,NA,"Fabaceae","Platycyamus","regnellii","Platycyamus regnellii",NA,"G. M. Barroso",NA,NA,"E. F. de Almeida","1982","05","20","Brasil","Minas Gerais","timoteo",NA,"-42.5","-19.616667","42W30'","19S37'",NA,NA,"<ll>dwc_commonname:</ll> Folha-de-bolo, Pereiro",NA,NA,"207",NA,NA,NA,NA,NA,NA,NA,NA,NA,"29/06/1982"
"225","2019-02-27 14:02:34-03","UFSJ","HUFSJ","1451","S","Plantae",NA,NA,"Myrtaceae","Calyptranthes",NA,"Calyptranthes",NA,NA,NA,NA,"França, GS; Raggi, F","2004","03","03","Brasil","Minas Gerais","Timóteo","Macuco. Parque Estadual do Rio Doce.","-42","-19","-42","-19",NA,NA,"Arbusto 1,5m, flores brancas, floresta estacional semidecidual submontana.",NA,NA,"489",NA,NA,"HUFSJ001451",NA,NA,"248","248",NA,NA,NA
"226","2016-12-19 13:51:18-02","PERD","PERD","889","S","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pivari, MO; Oliveira, VB; Costa, FM; Santos, MA; Tavares, G","2009","05","18","Brasil","Minas Gerais","Timóteo","Parque Estadual do Rio Doce","-42.521389","-19.554167","-42.521389","-19.554167",NA,NA,"Erva epífita.",NA,NA,"1269",NA,NA,NA,NA,NA,"220","220",NA,NA,NA
"227","2016-12-19 13:51:18-02","PERD","PERD","906","S","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pivari, MO; Oliveira, VB; Costa, FM; Santos, MA; Tavares, G","2009","05","18","Brasil","Minas Gerais","Timóteo","Parque Estadual do Rio Doce","-42.529167","-19.551389","-42.529167","-19.551389",NA,NA,"Arbusto, ca. 2,5m alt., no interior da mata. Flores cremes, frutos verdes.",NA,NA,"1286",NA,NA,NA,NA,NA,"220","220",NA,NA,NA
"228","2016-12-19 13:51:18-02","PERD","PERD","909","S","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pivari, MO; Oliveira, VB; Costa, FM; Santos, MA; Tavares, G","2009","05","18","Brasil","Minas Gerais","Timóteo","Parque Estadual do Rio Doce","-42.529167","-19.551389","-42.529167","-19.551389",NA,NA,"Erva saprófita em serra pilheira no interior da mata. Haste e flores cremes.",NA,NA,"1289",NA,NA,NA,NA,NA,"220","220",NA,NA,NA
"229","2016-12-19 13:51:18-02","PERD","PERD","916","S","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pivari, MO; Oliveira, VB; Costa, FM; Santos, MA; Tavares, G","2009","05","18","Brasil","Minas Gerais","Timóteo","Parque Estadual do Rio Doce","-42.529167","-19.551389","-42.529167","-19.551389",NA,NA,"Arbusto, ca. 1,5m alt., no interior da mata. Frutos verdes.",NA,NA,"1296",NA,NA,NA,NA,NA,"220","220",NA,NA,NA
"230","2016-12-19 13:51:18-02","PERD","PERD","926","S","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pivari, MO; Oliveira, VB; Costa, FM; Santos, MA; Tavares, G","2009","05","20","Brasil","Minas Gerais","Timóteo","Parque Estadual do Rio Doce","-42.529167","-19.551389","-42.529167","-19.551389",NA,NA,"Arvoreta, ca. 3,5m alt., na margem do Ribeirão do Belém, solo argiloso. Frutos castanhos.",NA,NA,"1331",NA,NA,NA,NA,NA,"220","220",NA,NA,NA
"231","2016-12-19 13:51:18-02","PERD","PERD","938","S","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pivari, MO; Oliveira, VB; Costa, FM; Santos, MA; Tavares, G","2009","05","20","Brasil","Minas Gerais","Timóteo","Parque Estadual do Rio Doce","-42.529167","-19.551389","-42.529167","-19.551389",NA,NA,"Arvoreta, ca. 3,5m alt., no interior da mata. Frutos amarelos.",NA,NA,"1343",NA,NA,NA,NA,NA,"220","220",NA,NA,NA
"232","2016-12-19 13:51:18-02","PERD","PERD","945","S","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pivari, MO; Oliveira, VB; Costa, FM; Santos, MA; Tavares, G","2009","05","20","Brasil","Minas Gerais","Timóteo","Parque Estadual do Rio Doce","-42.529167","-19.551389","-42.529167","-19.551389",NA,NA,"Erva saccícola, na margem do Rio Doce, solo argiloso. Pinas férteis laranjas.",NA,NA,"1351",NA,NA,NA,NA,NA,"220","220",NA,NA,NA
"233","2016-12-19 13:51:18-02","PERD","PERD","948","S","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pivari, MO; Oliveira, VB; Costa, FM; Santos, MA; Tavares, G","2009","05","20","Brasil","Minas Gerais","Timóteo","Parque Estadual do Rio Doce","-42.529167","-19.551389","-42.529167","-19.551389",NA,NA,"Erva na mata ciliar do Ribeirão do Belém. Soros laranjas.",NA,NA,"1354",NA,NA,NA,NA,NA,"220","220",NA,NA,NA
"234","2016-12-19 13:51:32-02","PERD","PERD","912","S","Plantae",NA,NA,"Poaceae",NA,NA,NA,NA,NA,NA,NA,"Pivari, MO; Oliveira, VB; Costa, FM; Santos, MA; Tavares, G","2009","05","18","Brasil","Minas Gerais","Timóteo","Parque Estadual do Rio Doce","-42.529167","-19.551389","-42.529167","-19.551389",NA,NA,"Erva no interior da mata. Espiguetas marrons.",NA,NA,"1292",NA,NA,NA,NA,NA,"220","220",NA,NA,NA
"235","2016-12-19 13:51:32-02","PERD","PERD","940","S","Plantae",NA,NA,"Poaceae",NA,NA,NA,NA,NA,NA,NA,"Pivari, MO; Oliveira, VB; Costa, FM; Santos, MA; Tavares, G","2009","05","20","Brasil","Minas Gerais","Timóteo","Parque Estadual do Rio Doce","-42.529167","-19.551389","-42.529167","-19.551389",NA,NA,"Erva entoucerada, no interior da mata. Espiguetas cinzas.",NA,NA,"1346",NA,NA,NA,NA,NA,"220","220",NA,NA,NA
"236","2016-12-19 13:51:34-02","PERD","PERD","913","S","Plantae",NA,NA,"Rubiaceae",NA,NA,NA,NA,NA,NA,NA,"Pivari, MO; Oliveira, VB; Costa, FM; Santos, MA; Tavares, G","2009","05","18","Brasil","Minas Gerais","Timóteo","Parque Estadual do Rio Doce","-42.529167","-19.551389","-42.529167","-19.551389",NA,NA,"Erva no interior da mata. Cálice verde, frutos azuis.",NA,NA,"1293",NA,NA,NA,NA,NA,"220","220",NA,NA,NA
"237","2016-12-19 13:51:18-02","PERD","PERD","939","S","Plantae",NA,NA,"Acanthaceae",NA,NA,NA,NA,NA,NA,NA,"Pivari, MO; Oliveira, VB; Costa, FM; Santos, MA; Tavares, G","2009","05","20","Brasil","Minas Gerais","Timóteo","Parque Estadual do Rio Doce","-42.529167","-19.551389","-42.529167","-19.551389",NA,NA,"Erva no interior da mata. Brácteas vermelhas, flores roxas.",NA,NA,"1345",NA,NA,NA,NA,NA,"220","220",NA,NA,NA
"238","2016-12-19 13:51:20-02","PERD","PERD","928","S","Plantae",NA,NA,"Commelinaceae",NA,NA,NA,NA,NA,NA,NA,"Pivari, MO; Oliveira, VB; Costa, FM; Santos, MA; Tavares, G","2009","05","20","Brasil","Minas Gerais","Timóteo","Parque Estadual do Rio Doce","-42.529167","-19.551389","-42.529167","-19.551389",NA,NA,"Erva prostrada, na margem do Ribeirão do Belém, solo argiloso com serrapilheira. Cálice roxo, corola rosa.",NA,NA,"1333",NA,NA,NA,NA,NA,"220","220",NA,NA,NA
"239","2016-12-19 13:51:20-02","PERD","PERD","899","S","Plantae",NA,NA,"Cyperaceae",NA,NA,NA,NA,NA,NA,NA,"Pivari, MO; Oliveira, VB; Costa, FM; Santos, MA; Tavares, G","2009","05","18","Brasil","Minas Gerais","Timóteo","Parque Estadual do Rio Doce","-42.524167","-19.550833","-42.524167","-19.550833",NA,NA,"Erva em córrego temporário. Inflorescência laranja.",NA,NA,"1279",NA,NA,NA,NA,NA,"220","220",NA,NA,NA
"240","2016-12-19 13:51:20-02","PERD","PERD","920","S","Plantae",NA,NA,"Cyperaceae",NA,NA,NA,NA,NA,NA,NA,"Pivari, MO; Oliveira, VB; Costa, FM; Santos, MA; Tavares, G","2009","05","20","Brasil","Minas Gerais","Timóteo","Parque Estadual do Rio Doce","-42.529167","-19.551389","-42.529167","-19.551389",NA,NA,"Erva na margem do Ribeirão do Belém, solo argiloso. Espiguetas castanhas.",NA,NA,"1324",NA,NA,NA,NA,NA,"220","220",NA,NA,NA
"241","2016-12-19 13:51:24-02","PERD","PERD","904","S","Plantae",NA,NA,"Lamiaceae",NA,NA,NA,NA,NA,NA,NA,"Pivari, MO; Oliveira, VB; Costa, FM; Santos, MA; Tavares, G","2009","05","18","Brasil","Minas Gerais","Timóteo","Parque Estadual do Rio Doce","-42.524167","-19.550833","-42.524167","-19.550833",NA,NA,"Erva em córrego temporário. Flores rosas.",NA,NA,"1284",NA,NA,NA,NA,NA,"220","220",NA,NA,NA
"242","2016-12-19 13:51:18-02","PERD","PERD","908","S","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pivari, MO; Oliveira, VB; Costa, FM; Santos, MA; Tavares, G","2009","05","18","Brasil","Minas Gerais","Timóteo","Parque Estadual do Rio Doce","-42.529167","-19.551389","-42.529167","-19.551389",NA,NA,"Erva no interior da mata. Soros amarelos.",NA,NA,"1288",NA,NA,NA,NA,NA,"220","220",NA,NA,NA
"243","2016-12-19 13:51:18-02","PERD","PERD","910","S","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pivari, MO; Oliveira, VB; Costa, FM; Santos, MA; Tavares, G","2009","05","18","Brasil","Minas Gerais","Timóteo","Parque Estadual do Rio Doce","-42.529167","-19.551389","-42.529167","-19.551389",NA,NA,"Erva epífita em tronco caído no interior da mata. Soros castanhos.",NA,NA,"1290",NA,NA,NA,NA,NA,"220","220",NA,NA,NA
"244","2016-12-19 13:51:18-02","PERD","PERD","924","S","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pivari, MO; Oliveira, VB; Costa, FM; Santos, MA; Tavares, G","2009","05","20","Brasil","Minas Gerais","Timóteo","Parque Estadual do Rio Doce","-42.529167","-19.551389","-42.529167","-19.551389",NA,NA,"Erva, ca. 0,5m alt., na margem do Ribeirão do Belém, solo argiloso. Cálice verde, corola rosa.",NA,NA,"1329",NA,NA,NA,NA,NA,"220","220",NA,NA,NA
"245","2016-12-19 13:51:18-02","PERD","PERD","937","S","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pivari, MO; Oliveira, VB; Costa, FM; Santos, MA; Tavares, G","2009","05","20","Brasil","Minas Gerais","Timóteo","Parque Estadual do Rio Doce","-42.529167","-19.551389","-42.529167","-19.551389",NA,NA,"Arbusto, ca. 1,5m alt., no interior da mata. Cálice verde, pétalas rosas.",NA,NA,"1342",NA,NA,NA,NA,NA,"220","220",NA,NA,NA
