"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","identifiedBy","recordNumber","year","month","day","barcode","yearIdentified","imagecode","locality","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","infraspecificEpithet","continentOcean"
"1","2019-06-10 10:11:01-03","FZB-BH","CVJBFZB","2123","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Octomeria","crassifolia","Octomeria crassifolia","Lindl.","Rubens Custódio;","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:11:01-03","FZB-BH","CVJBFZB","2151","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Xylobium","variegatum","Xylobium variegatum","(Ruiz & Pav.) Garay & Dunst.","Rubens Custódio;","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-07-11 08:56:49-03","ESALQ","ESA","15468","S","Plantae","Magnoliophyta",NA,NA,"Plantaginaceae","Scoparia","dulcis","Scoparia dulcis","L.","Carvalho, A.M.","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,NA,"auto","Souza, V.C.","135","1992","09","04","ESA015468",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-02-22 15:17:15-03","ESALQ","ESA","48462","S","Plantae","Magnoliophyta",NA,NA,"Fabaceae","Apuleia","leiocarpa","Apuleia leiocarpa",NA,"Salino, A.","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,NA,"auto","Lewis, G.P.","3922","1998","02","03","ESA048462","2009","ESA048462",NA,NA,NA,NA,NA,NA,NA
"5","2020-03-10 08:30:17-03","UFV","VIC","48779","PreservedSpecimen","Plantae",NA,NA,NA,"Poaceae","Merostachys",NA,"Merostachys",NA,"Cupertino-Eisenlohr, M.A.; Cupertino, M.R.; Cupertino, A.C.","Brasil","Minas Gerais","Raul Soares","-42","-19",NA,NA,"Indivíduos com, aproximadamente, 7.5 m de altura, inicialmente eretos e arqueando-se sobre a vegetação. Entrenós com 5-60 cm de comprimento, verde azulado, escabro; parede com 2-3 mm de espessura.",NA,"Cupertino-Eisenlohr, M.A.","79","2016","01","24","VIC048779",NA,"VIC048779","Santana do Tabuleiro, Córrego Grande, Propriedade da Senhora Maria do Carmo Cupertino divisa com a Propriedade de Ângelo Cupertino","-42","-19",NA,NA,NA,NA
"6","2020-03-10 08:30:17-03","UFV","VIC","48781","PreservedSpecimen","Plantae",NA,NA,NA,"Poaceae","Merostachys","tatianae","Merostachys tatianae","Santos-Gonç., Carv.-Okano & Filg.","Cupertino-Eisenlohr, M.A.; Cupertino, M.R.; Cupertino, A.C.","Brasil","Minas Gerais","Raul Soares","-42","-19",NA,NA,"Indivíduos com, aproximadamente, 11 m de altura. Colmo ereto com tricomas esbranquiçado. Entrenós com 16-95 cm de comprimento; parede com 1 mm de espessura.",NA,"Vinícius-Silva, R.","81","2016","01","24","VIC048781","2016","VIC048781","Santana do Tabuleiro, Córrego Grande, Propriedade do Modesto Badú, divisa com a Propriedade de Ângelo Cupertino","-42","-19","02","24",NA,NA
"7","2020-03-10 08:30:17-03","UFV","VIC","48780","PreservedSpecimen","Plantae",NA,NA,NA,"Poaceae","Merostachys","tatianae","Merostachys tatianae","Santos-Gonç., Carv.-Okano & Filg.","Cupertino-Eisenlohr, M.A.; Cupertino, M.R.; Cupertino, A.C.","Brasil","Minas Gerais","Raul Soares","-42","-19",NA,NA,"Indivíduos com, aproximadamente, 9 m de altura. Colmo ereto com tricomas esbranquiçado. Entrenós com 14-65 cm de comprimento; parede com 1 mm de espessura.",NA,"Vinícius-Silva, R.","80","2016","01","24","VIC048780","2016","VIC048780","Santana do Tabuleiro, Córrego Grande, Propriedade do Modesto Badú, divisa com a Propriedade de Ângelo Cupertino","-42","-19","02","24",NA,NA
"8","2020-03-10 08:30:43-03","UFV","VIC","011613","PreservedSpecimen","Plantae",NA,NA,NA,"Sapindaceae","Serjania",NA,"Serjania",NA,"Carvalho, A.F.","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"Cipó de flores creme.","auto",NA,"33","1992","08","03","VIC011613",NA,"VIC011613",NA,NA,NA,NA,NA,NA,NA
"9","2020-03-10 08:27:31-03","UFV","VIC","11612","PreservedSpecimen","Plantae",NA,NA,NA,"Bignoniaceae","Pyrostegia","venusta","Pyrostegia venusta","(Ker Gawl.) Miers","Carvalho, A.F.","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"Cipó de flores alaranjadas.","auto",NA,"32","1992","08","03","VIC011612",NA,"VIC011612",NA,NA,NA,NA,NA,NA,NA
"10","2020-03-10 08:30:59-03","UFV","VIC","11746","PreservedSpecimen","Plantae",NA,NA,NA,"Verbenaceae","Lantana","fucata","Lantana fucata","Lindl","Carvalho, A.F.","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"Erva de +/- 1m, flores brancas","auto","Silva, T.R.S.","154","1992","09","09","VIC011746","1999","VIC011746",NA,NA,NA,"10",NA,NA,NA
"11","2020-03-10 08:30:08-03","UFV","VIC","11618","PreservedSpecimen","Plantae",NA,NA,NA,"Piperaceae","Piper","aduncum","Piper aduncum","L.","Carvalho, A. .F.","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"Arbusto de ca de 2,5 m.","auto",NA,"38","1992","08","03","VIC011618",NA,"VIC011618",NA,NA,NA,NA,NA,NA,NA
"12","2020-03-10 08:28:28-03","UFV","VIC","11619","PreservedSpecimen","Plantae",NA,NA,NA,"Euphorbiaceae","Chamaesyce","hirta","Chamaesyce hirta","(L.) Millsp.","Carvalho, A.F.","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"Erva, c.a. de 40 cm de altura, com látex.","auto","Carneiro-Torres, D.S.","39","1992","08","03","VIC011619","2004","VIC011619",NA,NA,NA,"07","21",NA,NA
"13","2020-03-10 08:30:59-03","UFV","VIC","11771","PreservedSpecimen","Plantae",NA,NA,NA,"Verbenaceae","Stachytarpheta",NA,"Stachytarpheta","Vahl","Carvalho, A.F.","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"Erva de aprox. 60cm, flores roxas.","auto",NA,"179","1992","09","10","VIC011771",NA,"VIC011771",NA,NA,NA,NA,NA,NA,NA
"14","2020-03-10 08:26:43-03","UFV","VIC","011766","PreservedSpecimen","Plantae",NA,NA,NA,"Amaryllidaceae","Hippeastrum","puniceum","Hippeastrum puniceum","(Lam.) Kuntze","Carvalho, A.F.","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"Erva de cerca de 50 cm, de flores vermelhas.","auto",NA,"174","1992","10","04","VIC011766",NA,"VIC011766",NA,NA,NA,NA,NA,NA,NA
"15","2020-03-10 08:27:15-03","UFV","VIC","11770","PreservedSpecimen","Plantae",NA,NA,NA,"Asteraceae","Mikania",NA,"Mikania",NA,"Carvalho, A.F.","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"Trepadeira de flores brancas.","auto",NA,"178","1992","09","10","VIC011770",NA,"VIC011770",NA,NA,NA,NA,NA,NA,NA
"16","2020-03-10 08:30:34-03","UFV","VIC","22467","PreservedSpecimen","Plantae",NA,NA,NA,"Rubiaceae","Manettia",NA,"Manettia",NA,"Bovini, M.G.","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"Escandente heliófila, em margem de rio, folhas discolores, menbranáceas de cálice esverdeado, corola alva e estames pretos.","auto",NA,"s.n.",NA,NA,NA,"VIC022467",NA,"VIC022467","Bom Jesus do Madeira",NA,NA,NA,NA,NA,NA
"17","2020-03-10 08:28:48-03","UFV","VIC","22466","PreservedSpecimen","Plantae",NA,NA,NA,"Loranthaceae","Phoradendron","crassifolium","Phoradendron crassifolium","(Pohl.) Eichl","Bovini, M.; .G.; .; et al.","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"Hemi parasita, heliófila em margem de io, folhas coriáceas, concolores, frutos imaturos verdes claros, pouco frequente.","auto",NA,"1461","1998","08","19","VIC022466",NA,NA,"Bom Jesus do Madeira",NA,NA,NA,NA,NA,NA
"18","2020-03-10 08:27:20-03","UFV","VIC","11726","PreservedSpecimen","Plantae",NA,NA,NA,"Asteraceae","Trichogonia",NA,"Trichogonia",NA,"Carvalho, A.F.","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"Erva, c.a. de 40 cm de altura; flores róseas.","auto",NA,"134","1992","09","04","VIC011726",NA,"VIC011726","Córrego de Ubá",NA,NA,NA,NA,NA,NA
"19","2020-03-10 08:28:58-03","UFV","VIC","11725","PreservedSpecimen","Plantae",NA,NA,NA,"Malvaceae","Urens","lobata","Urens lobata","Linn",NA,"Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"Erva de ca 60 cm, flores rósea.","auto",NA,"s.n.",NA,NA,NA,"VIC011725",NA,"VIC011725","Corrego de Ubá",NA,NA,NA,NA,NA,NA
"20","2020-03-10 08:29:08-03","UFV","VIC","23291","PreservedSpecimen","Plantae",NA,NA,NA,"Meliaceae","Guarea","macrophylla","Guarea macrophylla tuberculata","Veel.","Carvalho A.F.;","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"Àrvore","auto",NA,"586","1999","03","10","VIC023291",NA,"VIC023291","Corrego de Ubá",NA,NA,NA,NA,"tuberculata",NA
"21","2020-03-10 08:29:35-03","UFV","VIC","11717","PreservedSpecimen","Plantae",NA,NA,NA,"Moraceae","Sorocea","bonplandii","Sorocea bonplandii","(Baill) Burger","Carvalho, A. .F.","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"Árvore de folhas coriáceas, flores amarelo creme","auto",NA,"125",NA,NA,NA,"VIC011717",NA,NA,"Córrego de Ubá",NA,NA,NA,NA,NA,NA
"22","2020-03-10 08:29:46-03","UFV","VIC","11742","PreservedSpecimen","Plantae",NA,NA,NA,"Onagraceae","Ludwigia",NA,"Ludwigia",NA,"Carvalho, A.F.","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"EErva de ca 40 cm, flores amarelas, lugar úmido.","auto",NA,"150","1992","09","08","VIC011742",NA,"VIC011742","Córrego de Ubá",NA,NA,NA,NA,NA,NA
"23","2020-03-10 08:27:10-03","UFV","VIC","11743","PreservedSpecimen","Plantae",NA,NA,NA,"Asteraceae","Eupatorium",NA,"Eupatorium",NA,"Carvalho, A.F.","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"Erva ereta, c.a. de 60 cm de altura; flores lilases róseas.","auto",NA,"151","1992","09","08","VIC011743",NA,"VIC011743","Córrego de Ubá",NA,NA,NA,NA,NA,NA
"24","2020-03-10 08:26:36-03","UFV","VIC","11739","PreservedSpecimen","Plantae",NA,NA,NA,"Acanthaceae","Thunbergia","alata","Thunbergia alata","Bojer ex Sims","Carvalho, A.F.","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"Cipó de flores amarelas.","auto",NA,"147","1992","09","08","VIC011739",NA,"VIC011739","Córrego de Ubá",NA,NA,NA,NA,NA,NA
"25","2020-03-10 08:29:57-03","UFV","VIC","11741","PreservedSpecimen","Plantae",NA,NA,NA,"Papilionoideae","Desmodium","incanum","Desmodium incanum","DC.","Carvalho, A.F.","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"Erva, c.a. de 40 cm de altura; flores violetas.","auto","Brandão, M.","149","1992","09","08","VIC011741","1994","VIC011741","Córrego de Ubá",NA,NA,"06","28",NA,NA
"26","2020-03-10 08:28:49-03","UFV","VIC","11744","PreservedSpecimen","Plantae",NA,NA,NA,"Lythraceae","Cuphea",NA,"Cuphea",NA,"Carvalho A.F.;","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"Erva de + ou - 40cm, flores violetas.","auto",NA,"152","1992","09","08","VIC011744",NA,NA,"Córrego de Ubá",NA,NA,NA,NA,NA,NA
"27","2020-03-10 08:26:36-03","UFV","VIC","11740","PreservedSpecimen","Plantae",NA,NA,NA,"Amaranthaceae","Achyranthes","aspera","Achyranthes aspera","L.","Carvalho, A.F.","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"Erva de aproximadamente 60 cm de altiura, flores róseas.","auto",NA,"148","1992","09","08","VIC011740",NA,"VIC011740","Córrego de Ubá",NA,NA,NA,NA,NA,NA
"28","2020-03-10 08:27:21-03","UFV","VIC","11722","PreservedSpecimen","Plantae",NA,NA,NA,"Asteraceae","Vernonia",NA,"Vernonia",NA,"Carvalho, A.F.","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"Árvore de flores brancas.","auto",NA,"130","1992","09","03","VIC011722",NA,"VIC011722","Córrego de Ubá",NA,NA,NA,NA,NA,NA
"29","2020-03-10 08:27:01-03","UFV","VIC","11745","PreservedSpecimen","Plantae",NA,NA,NA,"Asteraceae","Baccharis",NA,"Baccharis",NA,"Carvalho, A.F.","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"Erva, c.a. de 80 cm de altura; flores amarelas.","auto",NA,"153","1992","09","09","VIC011745",NA,"VIC011745","Córrego de Ubá",NA,NA,NA,NA,NA,NA
"30","2020-03-10 08:27:01-03","UFV","VIC","11623","PreservedSpecimen","Plantae",NA,NA,NA,"Asteraceae","Baccharis",NA,"Baccharis",NA,"Carvalho, A.F.","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"Planta com c.a. de 70 cm de altura; flores brancas.","auto",NA,"43","1992","08","03","VIC011623",NA,"VIC011623","Córrego de Ubá",NA,NA,NA,NA,NA,NA
"31","2020-03-10 08:30:09-03","UFV","VIC","11718","PreservedSpecimen","Plantae",NA,NA,NA,"Piperaceae","Piper","anisum","Piper anisum","(Spreng.) Angely","Carvalho, A.F.","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"Planta de ca 60 cm, inflorescência branca, talo e raiz anestesicos.","auto",NA,"126","1992","09","03","VIC011718",NA,"VIC011718","Córrego de Ubá",NA,NA,NA,NA,NA,NA
"32","2020-03-10 08:28:29-03","UFV","VIC","11724","PreservedSpecimen","Plantae",NA,NA,NA,"Euphorbiaceae","Croton","lundianus","Croton lundianus","(Didr.) Müll. Arg.","Carvalho, A.F.","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"Erva, c.a. de 40 cm, inflorescência branca.","auto","Sá Haiad, B. de","132","1992","09","04","VIC011724","2004","VIC011724","Córrego de Ubá",NA,NA,"07","20",NA,NA
"33","2020-03-10 08:29:17-03","UFV","VIC","21220","PreservedSpecimen","Plantae",NA,NA,NA,"Mimosoideae","Inga","edulis","Inga edulis","(Vell.) Mart.","Carvalho, A.F.","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"Árvore grande, próxima ao curso d'água. Flores brancas, vagens de até 80 cm, comidos por maritacas.","auto","Garcia, F.C.P.","565","1998","08","16","VIC021220","1998","VIC021220","Córrego de Ubá",NA,NA,"09","01",NA,NA
"34","2020-03-10 08:30:58-03","UFV","VIC","011721","PreservedSpecimen","Plantae",NA,NA,NA,"Verbenaceae","Aloysia","virgata","Aloysia virgata","(Ruiz. & Pav.) Juss.","Carvalho, A.F.","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"Arbusto de cerca de 3 m, pouquissimas folhas e flores brancas.","auto",NA,"129","1992","09","05","VIC011721",NA,"VIC011721","Córrego de Ubá",NA,NA,NA,NA,NA,NA
"35","2020-03-10 08:30:45-03","UFV","VIC","011727","PreservedSpecimen","Plantae",NA,NA,NA,"Scrophulariaceae","Scoparia","dulcis","Scoparia dulcis","L.","Carvalho, A.F.","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"Erva de cerca de 40 cm, flores brancas.","auto",NA,"135","1992","09","04","VIC011727",NA,"VIC011727","Córrego Ubá",NA,NA,NA,NA,NA,NA
"36","2020-03-10 08:30:58-03","UFV","VIC","011407","PreservedSpecimen","Plantae",NA,NA,NA,"Verbenaceae","Aloysia","lycioides","Aloysia lycioides","Cham","Carvalho, A.F.","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"Arbusto de 1 a 2 m de altura, Flores brancas perfumadas, usada como calmante e para abaixar pressão na medicina popular.","auto",NA,"9","1992","06","02","VIC011407",NA,"VIC011407","Fazanda Belchior",NA,NA,NA,NA,NA,NA
"37","2020-03-10 08:30:47-03","UFV","VIC","022470","PreservedSpecimen","Plantae",NA,NA,NA,"Solanaceae","Athenaea","picta","Athenaea picta",NA,"Bovini, M.G.; et al","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"Arvoreta heliófila ca de 3 m, folhas menbranáceas levemente discolores,pilosas e pegajosas, flores alvas de mácula azul marinho, estames alvos, cálice pilosos e verde.","auto",NA,"1467","1998","08","19","VIC022470",NA,NA,"Fazenda da neblina.",NA,NA,NA,NA,NA,NA
"38","2020-03-10 08:30:56-03","UFV","VIC","011406","PreservedSpecimen","Plantae",NA,NA,NA,"Umbeliferae",NA,NA,NA,NA,"Carvalho, A.F.","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"Erva de cerca de 40 cm, uso medicinal dor de cabeça.resguardo e condimentar.","auto",NA,"8","1992","06","02","VIC011406",NA,"VIC011406","Fazenda de Jaime peixoto",NA,NA,NA,NA,NA,NA
"39","2020-03-10 08:26:42-03","UFV","VIC","23720","PreservedSpecimen","Plantae",NA,NA,NA,"Amaranthaceae","Hebanthe","eriantha","Hebanthe eriantha","(Poir) Pedersen","Carvalho, A.F.","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"Cipo de flores brancas a creme. Medicinal.","auto","Marchioretto, M.S.","635","1999","08","15","VIC023720","2008","VIC023720","Local de sub-bosque.",NA,NA,"09",NA,NA,NA
"40","2020-03-10 08:30:19-03","UFV","VIC","11738","PreservedSpecimen","Plantae",NA,NA,NA,"Poaceae","Parodiolyra","micrantha","Parodiolyra micrantha","(Kunth) Davidse & Zuloaga","Carvalho, A.F.","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"Bambé de 3,0 metros de altura.","auto","Oliveira, R.P.","146","1992","09","08","VIC011738","2001","VIC011738","Morro do Taguaral",NA,NA,"02",NA,NA,NA
"41","2020-03-10 08:30:48-03","UFV","VIC","011736","PreservedSpecimen","Plantae",NA,NA,NA,"Solanaceae","Solanum",NA,"Solanum",NA,"Carvalho, A.F.","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"Erva de 60 cm flores violetas","auto",NA,"144","1992","09","08","VIC011736",NA,"VIC011736","Morro do Taguaral",NA,NA,NA,NA,NA,NA
"42","2020-03-10 08:30:08-03","UFV","VIC","22469","PreservedSpecimen","Plantae",NA,NA,NA,"Piperaceae","Peperomia","tetraphylla","Peperomia tetraphylla","(G.Forst.) Hook & Arn","Bovini, M.G.; et al.","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"Erva umbrófila em tronco de árvore, folhas variegadas,espiga verde freguente na margem de rio","auto",NA,"1464","1998","08","19","VIC022469",NA,"VIC022469","PESB",NA,NA,NA,NA,NA,NA
"43","2020-03-10 08:28:28-03","UFV","VIC","11304","PreservedSpecimen","Plantae",NA,NA,NA,"Euphorbiaceae","Croton",NA,"Croton","L.","Castro, R.C. de","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"Planta arbustiva com cerca de 1,0 metro de altura, flores brancas, alta incidência.","auto",NA,"s.n.","1992","03","04","VIC011304",NA,"VIC011304","Ponte Queimada, Relevo montanhoso, solo de baixa fertilidade.",NA,NA,NA,NA,NA,NA
"44","2020-03-10 08:29:50-03","UFV","VIC","11735","PreservedSpecimen","Plantae",NA,NA,NA,"Oxalidaceae","Oxalis",NA,"Oxalis",NA,"Carvalho, A.F.","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"Erva de + ou - 30 cm, flores lilases.","auto",NA,"143","1992","09","07","VIC011735",NA,"VIC011735","Rua José de Oliveira",NA,NA,NA,NA,NA,NA
"45","2020-03-10 08:30:56-03","UFV","VIC","011706","PreservedSpecimen","Plantae",NA,NA,NA,"Urticaceae","Fleurya",NA,"Fleurya",NA,"Carvalho, A.F.","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"Erva de 40 a 80 cm, flores brancas, emite grande quantidade de pólen.","auto",NA,"114","1992","08","28","VIC011706",NA,"VIC011706","Rua José de Oliveira 32",NA,NA,NA,NA,NA,NA
"46","2020-03-10 08:29:41-03","UFV","VIC","11734","PreservedSpecimen","Plantae",NA,NA,NA,"Myrtaceae","Eugenia","uniflora","Eugenia uniflora","L.","Carvalho, A. .F.","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"Arbusto de mais ou menos 2m de altura, flores brancas.","auto",NA,"142","1992","09","07","VIC011734",NA,"VIC011734","Rua José de Oliveira 32",NA,NA,NA,NA,NA,NA
"47","2020-03-10 08:30:06-03","UFV","VIC","12153","PreservedSpecimen","Plantae",NA,NA,NA,"Passifloraceae","Passiflora","edulis","Passiflora edulis","Sims","Carvalho, A. .F.","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"Trepadeira, Flores roxas,Folhas usado como calmante.","auto","Sena, T.S.N.","252","1992","11","24","VIC012153","1994","VIC012153","Rua José de Oliveira n°252",NA,NA,"07","01",NA,NA
"48","2020-03-10 08:28:29-03","UFV","VIC","11707","PreservedSpecimen","Plantae",NA,NA,NA,"Euphorbiaceae","Euphorbia",NA,"Euphorbia",NA,"Carvalho, A.F.","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"Erva com c.a. de 30 cm de altura, folhas manchadas de branco, flores brancas.","auto",NA,"115","1992","08","28","VIC011707",NA,"VIC011707","Rua José de Oliveira nº 32",NA,NA,NA,NA,NA,NA
"49","2020-03-10 08:29:55-03","UFV","VIC","11614","PreservedSpecimen","Plantae",NA,NA,NA,"Papilionoideae","Crotalaria",NA,"Crotalaria",NA,"Carvalho, A.F.","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"Planta, c.a. de 2,0 metros de altura, sementes vindas da Austrália. Flores amarelas. Comestível.","auto",NA,"34","1992","08","03","VIC011614",NA,"VIC011614","Rua José de Oliveira nº 32",NA,NA,NA,NA,NA,NA
"50","2020-03-10 08:30:01-03","UFV","VIC","11733","PreservedSpecimen","Plantae",NA,NA,NA,"Papilionoideae","Macroptilium","atropurpureum","Macroptilium atropurpureum","(Moc. & Sessé ex DC.) Urb.","Carvalho, A.F.","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"Cipó de flors cor de vinho tinto, alimentação de gado.","auto",NA,"141","1992","09","07","VIC011733",NA,"VIC011733","Rua José de Oliveira nº 32",NA,NA,NA,NA,NA,NA
"51","2020-03-10 08:29:55-03","UFV","VIC","11732","PreservedSpecimen","Plantae",NA,NA,NA,"Papilionoideae","Cratylia","argentea","Cratylia argentea","(Desv.) Kuntze","Carvalho, A.F.","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"Cipó de flores lilases.","auto","Queiroz, L.P. de; Lewis, G.P.","140","1992","09","07","VIC011732","2004","VIC011732","Rua José de Oliveira nº 32",NA,NA,"07","20",NA,NA
"52","2020-03-10 08:27:17-03","UFV","VIC","22465","PreservedSpecimen","Plantae",NA,NA,NA,"Asteraceae","Piptocarpha",NA,"Piptocarpha",NA,"Bovini, M.G.; et al.","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"Árvore, c.a. de 6,0 metros de altura, heliófila, em margem de rio. Folhas dicolores, face dorsal prateada. Cálice verde, papus alvos.","auto",NA,"1460","1998","08","19","VIC022465",NA,"VIC022465","Serra do Brigadeiro - Bom Jesus da Madeira",NA,NA,NA,NA,NA,NA
"53","2020-03-10 08:30:08-03","UFV","VIC","22468","PreservedSpecimen","Plantae",NA,NA,NA,"Piperaceae","Peperomia","alata","Peperomia alata","Reinz & Pav","Bovini, M.G.; et al.","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"Erva semi heliófla, rupícola, folhas crassas discolores, espiga esverdeada.","auto",NA,"1463","1998","08","19","VIC022468",NA,"VIC022468","Serra do Brigadeiro Bom Jesus da Madeira",NA,NA,NA,NA,NA,NA
"54","2020-03-10 08:26:52-03","UFV","VIC","22472","PreservedSpecimen","Plantae",NA,NA,NA,"Aquifoliaceae","Ilex",NA,"Ilex",NA,"Bovini, M.G.; et al.","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"Arvoreta em margem de rio, heliófila. Folhas cartáceas discolores. Botões esverdeados.","auto",NA,"1471","1998","08","19","VIC022472",NA,"VIC022472","Serra do Brigadeiro - Fazenda da Neblina, Altitude de 1200 metros.",NA,NA,NA,NA,NA,NA
"55","2020-03-10 08:26:36-03","UFV","VIC","11622","PreservedSpecimen","Plantae",NA,NA,NA,"Amaranthaceae",NA,NA,NA,NA,"Carvalho, A.F.","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"Planta rasteira, flores creme, talos às vezes vermelhos.","auto",NA,"42","1992","08","03","VIC011622",NA,"VIC011622","Sítio Córrego de Ubá, Alto de pasto.",NA,NA,NA,NA,NA,NA
"56","2020-03-10 08:30:09-03","UFV","VIC","11617","PreservedSpecimen","Plantae",NA,NA,NA,"Piperaceae","Piper","arboreum","Piper arboreum","Aubl.","Carvalho, A.F.","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"Arbusto de ca 2 m.","auto",NA,"37","1992","08","03","VIC011617",NA,"VIC011617","Sítio Córrego Ubá",NA,NA,NA,NA,NA,NA
"57","2020-03-10 08:30:09-03","UFV","VIC","11616","PreservedSpecimen","Plantae",NA,NA,NA,"Piperaceae","Piper","arboreum","Piper arboreum","Aubl.","Carvalho, A.F.","Brasil","Minas Gerais","Raul Soares","-42.4524993896484","-20.101900100708","33728",NA,"Arbusto de ca 2 m.","auto",NA,"36","1992","08","03","VIC011616",NA,"VIC011616","Sítio Córrego Ubá",NA,NA,NA,NA,NA,NA
