"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","scientificNameAuthorship","occurrenceRemarks","barcode","imagecode","verbatimLongitude","verbatimLatitude","previousCatalogNumber","minimumElevationInMeters","maximumElevationInMeters","phylum","class","order","continentOcean","typeStatus"
"113","2020-03-19 10:53:48-03","UEFS","HUEFS","204227","PreservedSpecimen","Plantae","Leguminosae Subfam. Cercidoideae","Bauhinia",NA,"Bauhinia",NA,NA,NA,NA,"Assis, A.M.","1690","2008","05","23","Brasil","Espírito Santo","São Domingos do Norte","Próx. Sede (Torre 57/1 - LT 230 Kv Mascaenhas X Verona).","-40.622222","-21.319722",NA,NA,NA,NA,"HUEFS0204227",NA,"40W37'20''","21S19'11''",NA,NA,NA,"Angiospermae","Rosanae","Fabales",NA,NA
"114","2020-03-19 10:53:54-03","UEFS","HUEFS","204579","PreservedSpecimen","Plantae","Leguminosae Subfam. Cercidoideae","Bauhinia","longifolia","Bauhinia longifolia",NA,NA,NA,NA,"Assis, A.M.","1638","2008","05","03","Brasil","Espírito Santo","São Domingos do Norte","São Gonçalo (Torre 48/2 - Lt 230 Kv Mascarenhas x Verona).","-40.636667",NA,NA,NA,"(Bong.) Steud.",NA,"HUEFS0204579","HUEFS0204579","40W38'12''",NA,NA,"244","244","Angiospermae","Rosanae","Fabales",NA,NA
"115","2020-03-19 10:54:12-03","UEFS","HUEFS","203015","PreservedSpecimen","Plantae","Leguminosae Subfam. Dialioideae","Dialium","guianense","Dialium guianense",NA,NA,NA,NA,"Assis, A.M.","1639","2008","05","03","Brasil","Espírito Santo","São Domingos do Norte","São Gonçalo (Torre 48/20- LT 230 Kv Mascarenhas x Verona).","-40.636667",NA,NA,NA,"(Aubl.) Sandwith",NA,"HUEFS0203015",NA,"40W38'12''",NA,NA,"244","244","Angiospermae","Rosanae","Fabales",NA,NA
"116","2020-03-19 10:54:12-03","UEFS","HUEFS","204229","PreservedSpecimen","Plantae","Leguminosae Subfam. Dialioideae","Dialium","guianense","Dialium guianense",NA,NA,NA,NA,"Assis, A.M.","1602","2008","05","02","Brasil","Espírito Santo","São Domingos do Norte","Trevo para Águia Branca (Torre 58/2 - LT 230 Kv Mascarenhas X Verona).","-40.611389","-32.325",NA,NA,"(Aubl.) Sandwith",NA,"HUEFS0204229",NA,"40W36'41''","32S19'30''",NA,"150","150","Angiospermae","Rosanae","Fabales",NA,NA
"117","2019-10-07 09:21:31-03","UEFS","HUEFS","216127","PreservedSpecimen","Plantae","Poaceae",NA,NA,NA,NA,NA,NA,NA,"Assis, A.M.","1627","2008","05","03","Brasil","Espírito Santo","São Domingos do Norte","Trevo p/ Águia Branca (Torre 58/2 - LT 230 Kv Mascarenhas x Verona).","-40.611389","-32.325278",NA,NA,NA,"Floresta Ombrófila Densa-estágio avançado de regeneração-ciliar.","HUEFS0216127","HUEFS0216127","40W36'41''","32S19'31''",NA,"150","150","Angiospermae","Lilianae","Poales",NA,NA
"118","2016-10-10 10:23:23-03","MOBOT","MOBOT_BR","100272629","S","Plantae","Myrtaceae","Myrcia","abbotiana","Myrcia abbotiana",NA,NA,NA,NA,"Eve J. Lucas","Lucas 1108","2009","05","24","Brazil","Espírito Santo","São Domingos do Norte","Mun. Santo Domingo Norte, Distr. Nacional vacacional Matua, on the curve of the Matua next to the 'balneario'.","-40.0333333","-18.6166667",NA,NA,"(Urb.) Alain",NA,NA,NA,"-40.0333333","-18.6166667",NA,"100","100",NA,NA,NA,"South America",NA
"119","2020-02-20 14:37:37-03","IAC","IAC","56343","S","Plantae","Rubiaceae-311.Cinchonoideae-Condamineeae","Alseis",NA,"Alseis","G.F. Árbocz","1996","01","27","G.F. Árbocz","2315","1996","01","27","Brasil","Espírito Santo","São Domingos do Norte",NA,"-40.6236","-19.1436",NA,NA,NA,NA,NA,NA,"-40.6236","-19.1436",NA,NA,NA,NA,NA,NA,NA,NA
"120","2019-05-28 16:28:53-03","CEPLAC","CEPEC","151564","S","Plantae","Euphorbiaceae",NA,NA,NA,NA,NA,NA,NA,"A.M. Assis","1634",NA,NA,NA,"Brasil","Espírito Santo","São Domingos do Norte",NA,"-40.6236000061035","-19.1436004638672","26002","auto",NA,"<ll>dwc_commonname:</ll>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","2019-12-20 18:46:42-03","UFSJ","HUFSJ","8912","S","Plantae","Myrtaceae","Eugenia","pruniformis","Eugenia pruniformis","Sobral, M","2016",NA,NA,"Assis, AM; Faria, KFO","1631","2008","05","03","Brasil","Espírito Santo","São Domingos do Norte","Trevo para Águia Branca (Torre 58/2 - LT 230 Kv Mascarenhas x Verona).","-40.611417","-19.325278",NA,NA,"Cambess.","Arvoreta, 6m. Frutos verdes e vinosos. Floresta Ombrófila Densa, estágio avançado de regeneração.","HUFSJ008912",NA,"-40.611417","-19.325278",NA,"150","150",NA,NA,NA,NA,NA
"122","2018-04-25 16:46:21-03","UnB","UB",NA,"S","Plantae","Connaraceae","Rourea","glabra","Rourea glabra","Toledo, CAP","2017","10",NA,"Assis, AM; Faria, KFO","1644","2008","05","03","Brasil","Espírito Santo","São Domingos do Norte","São Gonçalo (Torre 48/2 - LT 230 Kv Mascarenhas x Verona)","-40.63675","-19.204944",NA,NA,"Kunth","Escandete. Pericarpo laranja. Sépalas pretas; Borda da mata. Floresta Ombrofila Densa - estágio médio de regeneração",NA,NA,"-40.63675","-19.204944",NA,"244","244","Dicotyledoneae",NA,NA,"Southern America",NA
"123","2019-11-21 10:07:57-03","IBt","SP","445373A","S","Plantae","Malpighiaceae","Banisteriopsis","membranifolia","Banisteriopsis membranifolia","Almeida, RF","2012","05",NA,"Assis, AM; Faria, KFO","1646","2008","05","03","Brasil","Espírito Santo","São Domingos do Norte","São Gonçalo (Torre 48/2 - LT 230 Kv Mascarenhas x Verona)","-40.636667","-19.285556",NA,NA,"(A.Juss.) B.Gates",NA,NA,NA,"-40.636667","-19.285556",NA,"244","244",NA,NA,NA,NA,NA
"124","2019-11-21 10:03:54-03","IBt","SP","363954","S","Plantae","Euphorbiaceae","Brasiliocroton","mamoninha","Brasiliocroton mamoninha","Cordeiro, I","2005",NA,NA,"Arbo, MM; Carvalho, AM; Ferrucci, MS; Jardim, JG; Sant'Ana, SC","7819","1997","01","29","Brasil","Espírito Santo","São Domingos do Norte","Rodovia ES-080, trevo donde nace el camino a Governador Lindemberg y Bananal. Borda de mata, al costado del camino","-40.633333","-19.216667",NA,NA,"P.E.Berry & Cordeiro","Árbol 3-4 m, hojas discoloras, haz verde más oscura, flroes blancas, frutos pardos","SP000644","SP000644","-40.633333","-19.216667",NA,"200","300",NA,NA,NA,NA,"Paratype"
"125","2019-11-21 10:08:18-03","IBt","SP","445335","S","Plantae","Malpighiaceae","Byrsonima","crispa","Byrsonima crispa","Almeida, RF","2012","09",NA,"Assis, AM; Faria, KFO","1642","2008","05","03","Brasil","Espírito Santo","São Domingos do Norte","São Gonçalo (Torre 48/2 - LT 230 Kv Mascarenhas x Verona)","-40.636667","-19.283333",NA,NA,"A.Juss.",NA,NA,NA,"-40.636667","-19.283333",NA,"244","244",NA,NA,NA,NA,NA
"126","2019-11-21 10:15:02-03","IBt","SP","364401","S","Plantae","Poaceae","Chloris",NA,"Chloris",NA,NA,NA,NA,"Arbo, MM; et al.","7813","1997","01","29","Brasil","Espírito Santo","São Domingos do Norte","Reodvia ES-080, trevo donde nasce el camino a Governador Lindemberg y Bananal","-40.633333","-19.216667",NA,NA,NA,NA,NA,NA,"-40.633333","-19.216667",NA,"200","300",NA,NA,NA,NA,NA
