"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","continentOcean","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","yearIdentified","monthIdentified","dayIdentified"
"1","2020-03-10 08:28:42-03","UFV","VIC","011349","PreservedSpecimen","Plantae","Lamiaceae","Verbena","bonariensis","Verbena bonariensis","L.","Sobreira, S.","s.n.","1992","03","05","Brasil","Minas Gerais","Alpercata","Fazenda Rio Doce","-41.9702987670898","-18.9741992950439","16655","Planta de pequeno porte, de flores roxas.","VIC011349","VIC011349","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-06 15:14:54-03","MBM","MBM","420730","S","Plantae","Poaceae","Panicum",NA,"Panicum",NA,"Felitto, G.; Cafofo, E.; Cafofo, E.","s.n.","2018","09","01","Brazil","Minas Gerais","Alpercata","Era Nova","-42.030833","-18.931667",NA,NA,"MBM420730",NA,NA,"Southern America","-42.030833","-18.931667","162","162",NA,NA,NA,NA
"3","2019-12-06 14:51:42-03","MBM","MBM","420733","S","Plantae","Fabaceae","Vigna",NA,"Vigna",NA,"Felitto, G.; Cafofo, E.; Cafofo, E.","s.n.","2018","09","01","Brazil","Minas Gerais","Alpercata","Era Nova","-42.030833","-18.931667",NA,NA,"MBM420733",NA,NA,"Southern America","-42.030833","-18.931667","162","162","Felitto, G.",NA,NA,NA
"4","2019-12-06 15:14:33-03","MBM","MBM","420858","S","Plantae","Poaceae","Eragrostis","hypnoides","Eragrostis hypnoides","(Lam.) Britton, Stern. & Poggenb.","Cafofo, E.; Felitto, G.; Felitto, G.","s.n.","2018","09","20","Brazil","Minas Gerais","Alpercata","Era Nova","-42.030833","-18.931667",NA,NA,"MBM420858",NA,NA,"Southern America","-42.030833","-18.931667","164","164","Ariati, V.","2019","05","14"
