"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","day","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","class","individualCount","typeStatus"
"48","2019-11-21 14:42:40-03","UFJF","CESJ","51674","PreservedSpecimen","Plantae","Angiosperma",NA,"Poaceae","Megathyrsus","maximus",NA,"Megathyrsus maximus","(Jacq.) B.K.Simon & S.W.L.Jacobs","C. Silva","R.M. Castro; P.O. Garcia; J.F.S. Pessôa","1457","2007","10","América do Sul","Brasil","Minas Gerais","Rio Doce","LT 135kV - estudos ambientais, inventário florestal.","-42.8958015441895","-20.2446994781494",NA,NA,NA,NA,NA,"Erva terrestre; flores esverdeadas.","CESJ051674",NA,"2012",NA,"14517","auto","07","26",NA,NA,NA
"49","2019-11-21 14:38:24-03","UFJF","CESJ","51680","PreservedSpecimen","Plantae","Angiosperma",NA,"Loranthaceae",NA,NA,NA,NA,NA,NA,"R.M. Castro; P.O. Garcia; J.F.S. Pessôa","1463","2007","10","América do Sul","Brasil","Minas Gerais","Rio Doce","LT 135kV - estudos ambientais, inventário florestal.","-42.8958015441895","-20.2446994781494",NA,NA,NA,NA,NA,"Hemiparasita, flores alvas.","CESJ051680",NA,NA,NA,"14517","auto",NA,NA,NA,NA,NA
"50","2019-11-21 14:33:02-03","UFJF","CESJ","51672","PreservedSpecimen","Plantae","Angiosperma",NA,"Cactaceae","Hylocereus",NA,NA,"Hylocereus",NA,NA,"R.M. Castro; P.O. Garcia; J.F.S. Pessôa","1455","2007","10","América do Sul","Brasil","Minas Gerais","Rio Doce","LT 135kV - estudos ambientais, inventário florestal.","-42.8958015441895","-20.2446994781494",NA,NA,NA,NA,NA,"Epífita, flores alvas.","CESJ051672",NA,NA,NA,"14517","auto",NA,NA,NA,NA,NA
"51","2019-11-21 14:46:12-03","UFJF","CESJ","51675","PreservedSpecimen","Plantae","Angiosperma",NA,"Solanaceae","Solanum","granulosoleprosum",NA,"Solanum granulosoleprosum","Dunal","L.L. Giacomin","R.M. Castro; P.O. Garcia; J.F.S. Pessôa","1458","2007","10","América do Sul","Brasil","Minas Gerais","Rio Doce","LT 135kV - estudos ambientais, inventário florestal.","-42.8958015441895","-20.2446994781494",NA,NA,NA,NA,NA,"Arbusto, frutos esverdeados.","CESJ051675",NA,"2009",NA,"14517","auto","05",NA,NA,NA,NA
"52","2019-11-21 14:47:04-03","UFJF","CESJ","32725","PreservedSpecimen","Plantae","Angiosperma",NA,"Verbenaceae","Aloysia","virgata",NA,"Aloysia virgata","(Ruiz & Pavon) Adr. Juss.","F.R.G. Salimena","G.E. Valente; I.C.Lovo","180","1996","05","América do Sul","Brasil","Minas Gerais","Rio Doce","Parque Estadual do Rio Doce, Estrada Porto Capim","-42.8958015441895","-20.2446994781494",NA,NA,NA,NA,NA,"Planta crescendo á margem da estrada.Inflorescência com flores brancas fortemente aromática com aroma agradável.Ca. 4 m. alt..","CESJ032725","CESJ032725","2001","02","14517","auto","09",NA,NA,NA,NA
"53","2019-09-09 10:53:25-03","UNICAMP","UEC","11302","S","Plantae","Magnoliopsida",NA,"Meliaceae","Guarea",NA,NA,"Guarea","Allam. ex L.",NA,"Becker, M","7328","1978","01",NA,"Brazil","Minas Gerais","Rio Doce","Parque Florestal do Rio Doce.","-42.8958015441895","-20.2446994781494",NA,NA,NA,NA,NA,NA,"UEC031272","UEC031272",NA,"16","14517","auto",NA,NA,NA,NA,NA
"54","2019-08-20 10:20:24-03","UNICAMP","UEC","136811","S","Plantae","Magnoliopsida",NA,"Meliaceae","Guarea","kunthiana",NA,"Guarea kunthiana","A.Juss.","Tamashiro, JY","Catharino, ELM","2170","1997","10",NA,"Brazil","Minas Gerais","Rio Doce","Fazenda Paraísa.","-42.8958015441895","-20.2446994781494",NA,NA,NA,NA,NA,"Árvore, até ca. 08-10m altura; calice verde amarelado; petalas roseas; tubo estaminal alvo.; Mata Mesofila semi-decidua.","UEC002284","UEC002284",NA,"13","14517","auto",NA,NA,NA,NA,NA
"55","2019-08-20 10:11:21-03","UNICAMP","UEC","111742","S","Plantae","Magnoliopsida",NA,"Euphorbiaceae","Croton","piptocalyx",NA,"Croton piptocalyx","Müll.Arg.","Cordeiro, I","Catharino, ELM","2167","1997","10",NA,"Brazil","Minas Gerais","Rio Doce","Fazenda Paraíso, Mata mesófila semidecídua.","-42.8958015441895","-20.2446994781494",NA,NA,NA,NA,NA,"Árvore grande, ca. 20m de altura. Glâdula vermelha. Estilete alvo.","UEC144021","UEC144021",NA,"13","14517","auto",NA,NA,NA,NA,NA
"56","2019-08-20 10:02:31-03","UNICAMP","UEC","100382","S","Plantae","Magnoliopsida",NA,"Anacardiaceae","Tapirira","guianensis",NA,"Tapirira guianensis","Aubl.",NA,"Cordeiro, I","1676","1997","10",NA,"Brazil","Minas Gerais","Rio Doce","mata sobre aluvião, Na margem esquerda do Rio Doce, próximo à Ilha do Marimbondo.","-42.8958015441895","-20.2446994781494",NA,NA,NA,NA,NA,"Árvore ca. 5m, frutos imaturos verdes.","UEC077399","UEC077399",NA,"14","14517","auto",NA,NA,NA,NA,NA
"57","2019-08-20 10:26:17-03","UNICAMP","UEC","30811","S","Plantae","Magnoliopsida",NA,"Scrophulariaceae","Buddleja","stachyoides",NA,"Buddleja stachyoides","Cham. & Schltdl.","Coelho, GP","Sucre, D; et al.","10130","1973","08",NA,"Brazil","Minas Gerais","Rio Doce","Reserva Florestal de Rio doce.","-42.8958015441895","-20.2446994781494",NA,NA,NA,NA,NA,"Corola amarela, mais ou menos 1m de altura.; Matas da Lagoa central.","UEC033036","UEC033036","2016","30","14517","auto","08","17",NA,NA,NA
"58","2019-08-20 10:26:17-03","UNICAMP","UEC","186610","S","Plantae","Magnoliopsida",NA,"Simaroubaceae","Simaba","cedron",NA,"Simaba cedron","Planch.","Franceschinelli, EV","Kuhlmann, JG","06637","1943","12",NA,"Brazil","Minas Gerais","Rio Doce","Rio Doce, Fazenda de Santa Adelaide-MG.","-42.8958015441895","-20.2446994781494",NA,NA,NA,NA,NA,"Árvore de até 20 metros de alt., mata.; Mata.","UEC117406","UEC117406","1990","07","14517","auto","08","28",NA,NA,NA
"59","2019-11-06 09:57:48-03","UFOP","OUPR","10906","PreservedSpecimen","Plantae",NA,NA,"Tectariaceae","Tectaria","pilosa",NA,"Tectaria pilosa","(Fée) R.C.Moran","Salino, A.","Badini, J.","s.n.","1933","07",NA,"Brasil","Minas Gerais","Rio Doce",NA,"-42.8958015441895","-20.2446994781494",NA,NA,NA,NA,NA,"Erva. Terreno úmido.",NA,NA,"2009","14","14517","auto","05",NA,NA,NA,NA
"60","2019-11-05 16:43:30-03","UFOP","OUPR","10122","PreservedSpecimen","Plantae",NA,NA,"Aspleniaceae","Asplenium","stuebelianum",NA,"Asplenium stuebelianum","Hieron.","Sylvestre, L.S.","Badini, J.","s.n.","1993","07",NA,"Brasil","Minas Gerais","Rio Doce",NA,"-42.8958015441895","-20.2446994781494",NA,NA,NA,NA,NA,NA,NA,NA,"1999","14","14517","auto",NA,NA,NA,NA,NA
"61","2019-11-05 16:43:25-03","UFOP","OUPR","10028","PreservedSpecimen","Plantae",NA,NA,"Aspleniaceae","Asplenium","abscissum",NA,"Asplenium abscissum","Willd.","Sylvestre, L.S.","Badini, J.","s.n.","1993","07",NA,"Brasil","Minas Gerais","Rio Doce",NA,"-42.8958015441895","-20.2446994781494",NA,NA,NA,NA,NA,"Terreno Ferruginoso",NA,NA,"1999","14","14517","auto","12",NA,NA,NA,NA
"62","2019-11-06 09:57:19-03","UFOP","OUPR","2345","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Adiantum","latifolium",NA,"Adiantum latifolium","Lam.","Mynssen, C.M.","Silva, J.L.","s.n.","1986","12",NA,"Brasil","Minas Gerais","Rio Doce",NA,"-42.8958015441895","-20.2446994781494",NA,NA,NA,NA,NA,"Erva. Mata",NA,NA,"1999","18","14517","auto","12","18",NA,NA,NA
"63","2019-11-05 16:46:15-03","UFOP","OUPR","10706","PreservedSpecimen","Plantae",NA,NA,"Athyriaceae","Diplazium","cristatum",NA,"Diplazium cristatum","(Desr.) Alston","Mynssen, C.M.","Badini, J.","s.n.","1933","07",NA,"Brasil","Minas Gerais","Rio Doce",NA,"-42.8958015441895","-20.2446994781494",NA,NA,NA,NA,NA,"Erva. Terreno umido",NA,NA,"2004","14","14517","auto","03","24",NA,NA,NA
"64","2019-11-05 16:42:52-03","UFOP","OUPR","2347","PreservedSpecimen","Plantae",NA,NA,"Anemiaceae","Anemia","phyllitidis",NA,"Anemia phyllitidis","(L.) Sw.","Jascone, C.E.","Silva, J.L.","s.n.","1986","12",NA,"Brasil","Minas Gerais","Rio Doce",NA,"-42.8958015441895","-20.2446994781494",NA,NA,NA,NA,NA,"Beira de estrada",NA,NA,"2005","21","14517","auto","06","07",NA,NA,NA
"65","2019-11-05 16:43:25-03","UFOP","OUPR","10025","PreservedSpecimen","Plantae",NA,NA,"Aspleniaceae","Asplenium","balansae",NA,"Asplenium balansae","(Baker) Sylvestre","Sylvestre, L.S.","s.col.","s.n.",NA,NA,NA,"Brasil","Minas Gerais","Rio Doce",NA,"-42.8958015441895","-20.2446994781494",NA,NA,NA,NA,NA,NA,NA,NA,"2011",NA,"14517","auto","03",NA,NA,NA,NA
"66","2019-11-06 09:57:19-03","UFOP","OUPR","7179","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Adiantum","macrophyllum",NA,"Adiantum macrophyllum","Sw.",NA,"Badini, J.","s.n.",NA,NA,NA,"Brasil","Minas Gerais","Rio Doce",NA,"-42.8958015441895","-20.2446994781494",NA,NA,NA,NA,NA,"Erva. Terreno úmido",NA,NA,NA,NA,"14517","auto",NA,NA,NA,NA,NA
"67","2019-11-06 09:57:19-03","UFOP","OUPR","11934","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Pteris","denticulata","denticulata","Pteris denticulata denticulata","Sw.","Góes-Neto, L.A.A.","Badini, J.","s.n.","1933","07",NA,"Brasil","Minas Gerais","Rio Doce",NA,"-42.8958015441895","-20.2446994781494",NA,NA,NA,NA,NA,"Erva. Terreno úmido",NA,NA,"2015","14","14517","auto","04","08",NA,NA,NA
"68","2019-11-05 16:46:15-03","UFOP","OUPR","10712","PreservedSpecimen","Plantae",NA,NA,"Athyriaceae","Diplazium","roemerianum",NA,"Diplazium roemerianum","(Kunze) C.Presl","Mynssen, C.M.","Badini, J.","s.n.","1933","07",NA,"Brasil","Minas Gerais","Rio Doce",NA,"-42.8958015441895","-20.2446994781494",NA,NA,NA,NA,NA,"Erva. terreno umido",NA,NA,"2007","14","14517","auto",NA,NA,NA,NA,NA
"69","2019-11-06 09:57:51-03","UFOP","OUPR","2344","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Bouchea","fluminensis",NA,"Bouchea fluminensis","(Vell.) Moldenke","Mulgura, M.; Thode, V.; Salimena-Pires, F.R.G.","Silva, J.L.","s.n.","1986","12",NA,"Brasil","Minas Gerais","Rio Doce",NA,"-42.8958015441895","-20.2446994781494",NA,NA,NA,NA,NA,NA,NA,NA,"2012","18","14517","auto",NA,NA,NA,NA,NA
"70","2019-11-06 09:55:15-03","UFOP","OUPR","2346","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Chamaesyce",NA,NA,"Chamaesyce",NA,"Roschel, M.B.","Silva, J.L.","s.n.","1986","12",NA,"Brasil","Minas Gerais","Rio Doce",NA,"-42.8958015441895","-20.2446994781494",NA,NA,NA,NA,NA,"Erva. Beira de estrada.",NA,NA,"1996","21","14517","auto","02","05",NA,NA,NA
"71","2019-11-06 09:57:49-03","UFOP","OUPR","14194","PreservedSpecimen","Plantae",NA,NA,"Typhaceae","Typha","domingensis",NA,"Typha domingensis","Pers.","Vieira, D.P.","s.col.","s.n.",NA,NA,NA,"Brasil","Minas Gerais","Rio Doce",NA,"-42.8958015441895","-20.2446994781494",NA,NA,NA,NA,NA,"Terreno paludoso. Erva. Flores havanas",NA,NA,"1936",NA,"14517","auto",NA,NA,NA,NA,NA
"72","2019-11-05 16:42:34-03","UFOP","OUPR","2366","PreservedSpecimen","Plantae",NA,NA,"Anemiaceae","Anemia","lanuginosa",NA,"Anemia lanuginosa","Bong. ex J.W.Sturm","Salino, A.","Silva, J.L.","s.n.","1986","12",NA,"Brasil","Minas Gerais","Rio Doce",NA,"-42.8958015441895","-20.2446994781494",NA,NA,NA,NA,NA,"Beira de estrada",NA,NA,"2015","21","14517","auto","04",NA,NA,NA,NA
"73","2019-11-06 09:57:19-03","UFOP","OUPR","11935","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Pteris","denticulata",NA,"Pteris denticulata","Sw.","Góes-Neto, L.A.A.","Badini, J.","s.n.","1933","07",NA,"Brasil","Minas Gerais","Rio Doce",NA,"-42.8958015441895","-20.2446994781494",NA,NA,NA,NA,NA,"Erva. Lugar seco e sombreado",NA,NA,"2015","17","14517","auto","04","08",NA,NA,NA
"74","2019-11-06 09:54:57-03","UFOP","OUPR","10688","PreservedSpecimen","Plantae",NA,NA,"Didymochlaenaceae","Didymochlaena","truncatula",NA,"Didymochlaena truncatula","(Sw.) J.Sm.","Salino, A.","Badini, J.","s.n.","1933",NA,NA,"Brasil","Minas Gerais","Rio Doce","Margem do Rio Doce","-42.8958015441895","-20.2446994781494",NA,NA,NA,NA,NA,"Erva. Terreno umido",NA,NA,"2013",NA,"14517","auto","04","17",NA,NA,NA
"75","2019-11-06 09:54:57-03","UFOP","OUPR","10689","PreservedSpecimen","Plantae",NA,NA,"Didymochlaenaceae","Didymochlaena","truncatula",NA,"Didymochlaena truncatula","(Sw.) J.Sm.","Salino, A.","Badini, J.","s.n.","1935",NA,NA,"Brasil","Minas Gerais","Rio Doce","Margem do Rio Doce","-42.8958015441895","-20.2446994781494",NA,NA,NA,NA,NA,"Erva. Terreno umido",NA,NA,"2013",NA,"14517","auto","04","17",NA,NA,NA
"76","2019-11-05 16:46:15-03","UFOP","OUPR","10691","PreservedSpecimen","Plantae",NA,NA,"Athyriaceae","Diplazium","ambiguum",NA,"Diplazium ambiguum","Raddi","Mynssen, C.M.","Badini, J.","s.n.","1933","07",NA,"Brasil","Minas Gerais","Rio Doce","Margens do Rio Doce","-42.8958015441895","-20.2446994781494",NA,NA,NA,NA,NA,"Terreno umido. Erva",NA,NA,"2008","14","14517","auto","02",NA,NA,NA,NA
"77","2020-03-12 10:29:28-03","UFOP","OUPR","13804","PreservedSpecimen","Plantae",NA,NA,"Pontederiaceae","Eichhornia","azurea",NA,"Eichhornia azurea","(Sw.) Kunth","Vieira, D.P.","s.col.","s.n.",NA,NA,NA,"Brasil","Minas Gerais","Rio Doce","Rio Doce","-42.8958015441895","-20.2446994781494",NA,NA,NA,NA,NA,"Agua doce. Erva. Flores azuis",NA,NA,"1936",NA,"14517","auto",NA,NA,NA,NA,NA
"78","2019-11-06 09:56:37-03","UFOP","OUPR",NA,"PreservedSpecimen","Plantae",NA,NA,"Moraceae","Dorstenia","arifolia",NA,"Dorstenia arifolia","Lam.","Castro, R.M.","Badini, J.","s.n.",NA,NA,NA,"Brasil","Minas Gerais","Rio Doce","Terreno úmido","-42.8958015441895","-20.2446994781494",NA,NA,NA,NA,NA,"Erva, flor pálida",NA,NA,NA,NA,"14517","auto",NA,NA,NA,NA,NA
"79","2019-11-19 14:06:39-03","UFRPE","PEUFR","51439","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Actinostemon","klotzschii",NA,"Actinostemon klotzschii","(Didr.) Pax",NA,"I. Cordeiro","1692","1997","10",NA,"Brasil","Minas Gerais","Rio Doce","Fazenda Paraiso","-42.8958015441895","-20.2446994781494",NA,NA,NA,NA,NA,"Arbusto do interior da mata, ca. 1,5 m alt., flores verdes","PEUFR051439",NA,NA,"09","14517","auto",NA,NA,NA,NA,NA
"80","2019-12-04 12:52:31-03","UTFPR","HCF","29983","S","Plantae",NA,NA,"Convolvulaceae","Distimake","tuberosus",NA,"Distimake tuberosus","(L.) A.R. Simões & Staples","A. Pujals","A. Pujals",NA,"2018","12",NA,"Brasil","MG","Rio Doce",NA,"-42.923056","-20.266667","42°55'23 W","20°16'00 S","400","400",NA,"liana. Mata nativa.",NA,NA,"2019","18",NA,NA,"03","28",NA,NA,NA
"81","2013-04-01 09:14:51-03","IPT","BCTW","3414","S","Plantae","Magnoliophyta",NA,NA,"Anadenanthera","colubrina",NA,"Anadenanthera colubrina","(Vell.) Brenan cebil (Griseb.) Altschul",NA,NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Rio Doce",NA,"-42.8958","-20.2447",NA,NA,NA,NA,NA,"Classificação Original: Piptadenia macrocarpa",NA,NA,NA,NA,"14517","auto",NA,NA,"Magnoliopsida",NA,NA
"82","2019-11-25 12:12:39-03","UFSM","SMDB","1396","S","Plantae",NA,NA,"Rubiaceae","Diodia",NA,NA,"Diodia",NA,"Silva, F","Sucre, D","10755","1973","08",NA,"Brasil","Minas Gerais","Rio Doce","Reserva Florestal","-42.8958015441895","-20.2446994781494",NA,NA,NA,NA,NA,NA,"SMDB001396",NA,NA,"30","14517","auto",NA,NA,NA,NA,NA
"83","2019-12-06 14:48:34-03","MBM","MBM","276918","S","Plantae",NA,NA,"Fabaceae","Inga","vera",NA,"Inga vera","Willd.",NA,"Trameirão Neto, E.","3391","2001","11","Southern America","Brazil","Minas Gerais","Rio Doce","Candonga","-42.8958015441895","-20.2446994781494",NA,NA,NA,NA,NA,NA,"MBM276918","MBM276918",NA,"25","14517","auto",NA,NA,NA,NA,NA
"84","2019-12-06 14:27:55-03","MBM","MBM","421027","S","Plantae",NA,NA,"Araceae","Monstera","adansonii",NA,"Monstera adansonii","Schott","Molina, J.M.P.","Molina, J.M.P.; Pujals, A.; Pujals, A.","311","2019","01","Southern America","Brazil","Minas Gerais","Rio Doce",NA,"-42.844722","-20.156111","-42.844722","-20.156111","301","301",NA,NA,"MBM421027",NA,"2019","11",NA,NA,"01","13",NA,NA,NA
"85","2019-12-06 15:15:31-03","MBM","MBM","420621","S","Plantae",NA,NA,"Poaceae","Steinchisma","laxum",NA,"Steinchisma laxum","(Sw.) Zuloaga","Marinero, F.","Cafofo, E.; Felitto, G.; Felitto, G.","114","2018","09","Southern America","Brazil","Minas Gerais","Rio Doce",NA,"-42.881667","-20.223611","-42.881667","-20.223611","321","321",NA,NA,"MBM420621",NA,"2019","01",NA,NA,"03","26",NA,NA,NA
"86","2019-12-06 15:05:01-03","MBM","MBM","405192","S","Plantae",NA,NA,"Melastomataceae","Miconia","albicans",NA,"Miconia albicans","(Sw.) Triana",NA,"Wendt, T.; Oliveira, C.L.; Oliveira, C.L.","11","1985","08","Southern America","Brazil","Minas Gerais","Alto Rio Doce","a 12 km do Desterro do Melo","-43.4113998413086","-21.0258007049561",NA,NA,NA,NA,NA,NA,"MBM405192","MBM405192",NA,"24","18968","auto",NA,NA,NA,NA,NA
"87","2019-12-06 15:08:06-03","MBM","MBM","227548","S","Plantae",NA,NA,"Myrtaceae","Eugenia","florida",NA,"Eugenia florida","DC.","Kawasaki, M.L.","Cordeiro, I.","1681","1997","10","Southern America","Brazil","Minas Gerais","Rio Doce","Rio Doce","-42.8958015441895","-20.2446994781494",NA,NA,NA,NA,NA,NA,"MBM227548","MBM227548",NA,"14","14517","auto",NA,NA,NA,NA,NA
"88","2019-12-06 14:37:01-03","MBM","MBM","276866","S","Plantae",NA,NA,"Bromeliaceae","Acanthostachys","strobilacea",NA,"Acanthostachys strobilacea","(Schult.) Kl.",NA,"Neto, E.T.","3389","2001","11","Southern America","Brazil","Minas Gerais","Rio Doce","Candonga","-42.8958015441895","-20.2446994781494",NA,NA,NA,NA,NA,NA,"MBM276866","MBM276866",NA,"25","14517","auto",NA,NA,NA,NA,NA
"89","2019-12-06 14:45:56-03","MBM","MBM","86664","S","Plantae",NA,NA,"Fabaceae","Acosmium","lentiscifolium",NA,"Acosmium lentiscifolium","Schott ex Spreng.","Lima, H.C. de","Kuhlmann, J.G.","310","1930","09","Southern America","Brazil","Minas Gerais","Rio Doce","Serra Ibiturama","-42.8958015441895","-20.2446994781494",NA,NA,NA,NA,NA,NA,"MBM086664","MBM086664",NA,"04","14517","auto",NA,NA,NA,NA,NA
"90","2019-12-06 14:35:23-03","MBM","MBM","420825","S","Plantae",NA,NA,"Bignoniaceae","Adenocalymma","cymbalum",NA,"Adenocalymma cymbalum","(Cham.) Bur. & K. Schum.","Nardin, E.C.","Pujals, A.; Molina, J.M.P.; Molina, J.M.P.","s.n.","2018","12","Southern America","Brazil","Minas Gerais","Rio Doce",NA,"-42.844722","-20.156111","-42.844722","-20.156111","348","348",NA,NA,"MBM420825",NA,"2019","11",NA,NA,"05","23",NA,NA,NA
"91","2019-12-06 14:24:21-03","MBM","MBM","420759","S","Plantae",NA,NA,"Amaranthaceae","Alternanthera","tenella",NA,"Alternanthera tenella","Colla","Nardin, E.C.","Cafofo, E.; Felitto, G.; Felitto, G.","85","2018","09","Southern America","Brazil","Minas Gerais","Rio Doce",NA,"-42.882778","-20.222222","-42.882778","-20.222222","321","321",NA,NA,"MBM420759",NA,"2019","01",NA,NA,"04","02",NA,NA,NA
"92","2019-12-06 14:24:17-03","MBM","MBM","420837","S","Plantae",NA,NA,"Alstroemeriaceae","Bomarea","edulis",NA,"Bomarea edulis","(Tussac) Herb.","Pujals, A.","Pujals, A.; Molina, J.M.P.; Molina, J.M.P.","s.n.","2018","12","Southern America","Brazil","Minas Gerais","Rio Doce",NA,"-42.844722","-20.156111","-42.844722","-20.156111","348","348",NA,NA,"MBM420837",NA,"2019","11",NA,NA,"03","30",NA,NA,NA
"93","2019-12-06 14:41:25-03","MBM","MBM","420631","S","Plantae",NA,NA,"Cyperaceae","Cyperus","luzulae",NA,"Cyperus luzulae","(L.) Retz.","Marinero, F.","Cafofo, E.; Felitto, G.; Felitto, G.","92","2018","09","Southern America","Brazil","Minas Gerais","Rio Doce",NA,"-42.881667","-20.223611","-42.881667","-20.223611","321","321",NA,NA,"MBM420631",NA,"2019","01",NA,NA,"03","28",NA,NA,NA
"94","2019-12-06 14:40:09-03","MBM","MBM","420829","S","Plantae",NA,NA,"Convolvulaceae","Distimake","tuberosus",NA,"Distimake tuberosus","(L.) A.R. Simões & Staples","Pujals, A.","Pujals, A.; Molina, J.M.P.; Molina, J.M.P.","s.n.","2018","12","Southern America","Brazil","Minas Gerais","Rio Doce",NA,"-42.923056","-20.266667","-42.923056","-20.266667","400","400",NA,NA,"MBM420829",NA,"2019","18",NA,NA,"03","28",NA,NA,NA
"95","2019-12-06 15:14:31-03","MBM","MBM","418582","S","Plantae",NA,NA,"Poaceae","Eragrostis","ciliares",NA,"Eragrostis ciliares","(L.) R. Br.","Marinero, F.","Cafofo, E.; Felitto, G.; Felitto, G.","s.n.","2018","09","Southern America","Brazil","Minas Gerais","Rio Doce",NA,"-42.881667","-20.223611","-42.881667","-20.223611","316","316",NA,NA,"MBM418582",NA,"2019","29",NA,NA,"03","27",NA,NA,NA
"96","2019-12-06 14:26:17-03","MBM","MBM","63787","S","Plantae",NA,NA,"Apocynaceae","Forsteronia","thyrsoidea",NA,"Forsteronia thyrsoidea","(Vell.) Muell. Arg.","Ferreira, V.F.","Kuhlmann, J.G.","6452","1943","11","Southern America","Brazil","Minas Gerais","Rio Doce","Goitacazes","-42.8958015441895","-20.2446994781494",NA,NA,NA,NA,NA,NA,"MBM063787","MBM063787",NA,"16","14517","auto",NA,NA,NA,NA,NA
"97","2019-12-06 15:06:21-03","MBM","MBM","299260","S","Plantae",NA,NA,"Meliaceae","Guarea","kunthiana",NA,"Guarea kunthiana","A. Juss.","Cordeiro, I.","Catharino, E.M.L.","2170","1997","10","Southern America","Brazil","Minas Gerais","Rio Doce","Fazenda Paraíso","-42.8958015441895","-20.2446994781494",NA,NA,NA,NA,NA,NA,"MBM299260","MBM299260",NA,"13","14517","auto",NA,NA,NA,NA,NA
"98","2020-01-21 18:09:06-03","UFMG","BHCB","147274","PreservedSpecimen","Plantae","Dicotyledon",NA,"Amaranthaceae","Alternanthera",NA,NA,"Alternanthera",NA,NA,"Tameirão Neto, E","s.n.","2008","11","Southern America","Brasil","Minas Gerais","Rio Doce","UHE Candonga, Rio Doce.","-43.426944","-20.346389","-43.426944","-20.346389",NA,NA,NA,"Herbáceo.","BHCB054099",NA,NA,"21",NA,NA,NA,NA,NA,NA,NA
"99","2019-10-02 15:08:21-03","UFMG","BHCB","81912","PreservedSpecimen","Plantae","Monocotyledon",NA,"Poaceae","Hildaea","pallens",NA,"Hildaea pallens","(Sw.) C.Silva & R.P.Oliveira",NA,"Magalhães, GM","s.n.","1957","06","Southern America","Brasil","Minas Gerais","Rio Doce","Entre Rio Doce e São Pedro. Estrada de rodagem perto da lagoa novíssima","-42.8958015441895","-20.2446994781494",NA,NA,NA,NA,NA,"&nf;; Margem de mata em lugar derrubada a 2 anos","BHCB045315",NA,"2019","05","14517","auto","01",NA,NA,NA,NA
"100","2019-10-02 15:00:18-03","UFMG","BHCB","81699","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Marlierea","teuscheriana",NA,"Marlierea teuscheriana","(O.Berg) D.Legrand",NA,"Tameirão Neto, E","3490","2003","06","Southern America","Brasil","Minas Gerais","Rio Doce","UHE Baú I, ME do Rio Doce, Faz Guara","-42.8958015441895","-20.2446994781494",NA,NA,NA,NA,NA,"Arbórea; Floresta ciliar","BHCB050645",NA,"2019","20","14517","auto","05",NA,NA,NA,NA
"101","2019-10-02 15:05:57-03","UFMG","BHCB","81698","PreservedSpecimen","Plantae","Monocotyledon",NA,"Arecaceae","Desmoncus","polyacanthos",NA,"Desmoncus polyacanthos","Mart.",NA,"Tameirão Neto, E","3489","2003","06","Southern America","Brasil","Minas Gerais","Rio Doce","UHE Baú I, ME do Rio Doce, Faz Guara.","-42.8958015441895","-20.2446994781494",NA,NA,NA,NA,NA,"Hábito herbáceo, escandente; Floresta ciliar","BHCB050236","BHCB050236",NA,"20","14517","auto",NA,NA,NA,NA,NA
"102","2019-10-02 15:08:01-03","UFMG","BHCB","81692","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Schomburgkia","gloriosa",NA,"Schomburgkia gloriosa","Rchb",NA,"Tameirão Neto, E","3483","2002","08","Southern America","Brasil","Minas Gerais","Rio Doce","UHE Candonga, Ilha do Soberbo.","-42.8958015441895","-20.2446994781494",NA,NA,NA,NA,NA,"floresta ciliar, herbáceo, epífita.",NA,NA,NA,"09","14517","auto",NA,NA,NA,NA,NA
"103","2019-10-02 15:07:53-03","UFMG","BHCB","81693","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Nemaconia","striata",NA,"Nemaconia striata","(Lindl.) Van den Berg, et al.",NA,"Tameirão Neto, E","3484","2002","08","Southern America","Brasil","Minas Gerais","Rio Doce","UHE Candonga, Ilha do Soberbo.","-42.8958015441895","-20.2446994781494",NA,NA,NA,NA,NA,"floresta ciliar, herbáceo, epífita.",NA,NA,NA,"09","14517","auto",NA,NA,NA,NA,NA
