"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","day","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","class","individualCount","typeStatus"
"11","2019-07-11 08:51:24-03","ESALQ","ESA","114065","S","Plantae","Magnoliophyta",NA,"Elaeocarpaceae","Sloanea","guianensis",NA,"Sloanea guianensis",NA,"Sampaio, D.","Martinelli, G.","43","1973","08",NA,"Brasil","Minas Gerais","Rio Doce",NA,"-42.8958015441895","-20.2446994781494",NA,NA,NA,NA,NA,NA,"ESA114065","ESA114065",NA,"31","14517","auto",NA,NA,NA,NA,NA
"12","2019-07-11 08:50:22-03","ESALQ","ESA","102974","S","Plantae","Magnoliophyta",NA,"Begoniaceae","Begonia","convolvulacea",NA,"Begonia convolvulacea",NA,NA,"Cordeiro, I.","1657","1997","10",NA,"Brasil","Minas Gerais","Rio Doce",NA,"-42.8958015441895","-20.2446994781494",NA,NA,NA,NA,NA,NA,"ESA102974","ESA102974",NA,"16","14517","auto",NA,NA,NA,NA,NA
"13","2019-07-11 10:13:51-03","ESALQ","ESA","123535","S","Plantae","Magnoliophyta",NA,"Salicaceae","Casearia","sylvestris",NA,"Casearia sylvestris",NA,"Marquete, R.","Wendt, T. ; Oliveira, C.L.","4","1985","08",NA,"Brasil","Minas Gerais","Alto Rio Doce","A 8 Km do destero do Melo.","-43.4113998413086","-21.0258007049561",NA,NA,"650","650",NA,NA,"ESA123535",NA,"2000","24","18968","auto","08","15",NA,NA,NA
"14","2019-02-22 15:14:28-03","ESALQ","ESA","52600","S","Plantae","Magnoliophyta",NA,"Celastraceae","Tontelea","ovalifolia",NA,"Tontelea ovalifolia","(Miers.) A.C. Sm.","Lombardi, J.A.","Catharino, E.L.M.","2165","1997","10",NA,"Brasil","Minas Gerais","Rio Doce",NA,"-42.8958015441895","-20.2446994781494",NA,NA,NA,NA,NA,NA,"ESA052600",NA,"1999","13","14517","auto","06",NA,NA,NA,NA
"15","2020-02-13 14:09:46-03","MN","R","171118","S","Plantae",NA,NA,"Fabaceae","Copaifera","langsdorffii",NA,"Copaifera langsdorffii","Desf.","G.C.P. Pinto","Silva, F.C.F.","33","1981","04",NA,"Brasil","Minas Gerais","Parque do Rio Doce","Lagoa D. Helvício",NA,NA,NA,NA,NA,NA,NA,"HRB-5000.",NA,NA,"1981","03",NA,NA,NA,NA,NA,NA,NA
"16","2020-02-13 14:10:51-03","MN","R","171529","S","Plantae",NA,NA,"Fabaceae","Senna","multijuga",NA,"Senna multijuga","(Rich.) H.S. Irwin & Barneby","R. L. C. Bortoluzzi","Silva, F.C.F.","39","1981","04",NA,"Brasil","Minas Gerais","Parque do Rio Doce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2003","04",NA,NA,"10",NA,NA,NA,NA
"17","2020-02-13 14:10:56-03","MN","R","170709","S","Plantae",NA,NA,"Fabaceae","Stryphnodendron",NA,NA,"Stryphnodendron",NA,NA,"Mello Filho, L.E.; et al.","3801","1975","02",NA,"Brasil","Minas Gerais","Parque Florestal do Rio Doce","Próx. a lagoa carioca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18",NA,NA,NA,NA,NA,NA,NA
"18","2020-02-13 14:07:34-03","MN","R","42504","S","Plantae",NA,NA,"Asteraceae","Eupatorium","vitalbae",NA,"Eupatorium vitalbae","DC.",NA,"Vidal, J.","3595","1944","07",NA,"Brasil","Minas Gerais","Alto Rio Doce",NA,"-43.4113998413086","-21.0258007049561",NA,NA,"855","855",NA,NA,NA,NA,NA,NA,"18968","auto",NA,NA,NA,NA,NA
"19","2020-02-13 14:08:19-03","MN","R","42498","S","Plantae",NA,NA,"Caprifoliaceae","Valeriana","scandens","var.scandens","Valeriana scandens var.scandens","L.","F. G. Meyer","Vidal, J.",NA,"1944","07",NA,"Brasil","Minas Gerais","Alto Rio Doce",NA,"-43.4113998413086","-21.0258007049561",NA,NA,NA,NA,NA,NA,NA,NA,"1971",NA,"18968","auto","06",NA,NA,NA,NA
"20","2020-02-13 14:07:34-03","MN","R","42496","S","Plantae",NA,NA,"Asteraceae","Eupatorium","vitalbae",NA,"Eupatorium vitalbae","DC.",NA,"Vidal, J.","I 162","1944","07",NA,"Brasil","Minas Gerais","Alto Rio Doce",NA,"-43.4113998413086","-21.0258007049561",NA,NA,"855","855",NA,NA,NA,NA,NA,NA,"18968","auto",NA,NA,NA,NA,NA
