"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks"
"1","2019-11-07 11:19:31-03","UFMG","BHCB-SL","125254","PreservedSpecimen","Plantae","Pteridaceae","Adiantum","pulverulentum","Adiantum pulverulentum","L.","Almeida, TE","2008","10","Kamino, LHY; Maielo, LS","1108","2008","09","02","América","Brasil","Minas Gerais","Divino das Laranjeiras","Mata Pedro Pitol.","-41.47575","-18.807906","-41.47575","-18.807906","200","200","Terrestre"
"2","2019-11-07 11:21:33-03","UFMG","BHCB-SL","125253","PreservedSpecimen","Plantae","Thelypteridaceae","Macrothelypteris","torresiana","Macrothelypteris torresiana","(Gaudich.) Ching","Almeida, TE","2008","10","Kamino, LYH; Maielo, LS","1107","2008","09","02","América","Brasil","Minas Gerais","Divino das Laranjeiras","Mata Pedro Pitol","-41.47575","-18.807906","-41.47575","-18.807906","200","200",NA
