"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","identifiedBy","yearIdentified","monthIdentified","recordNumber","year","month","day","continentOcean","verbatimLongitude","verbatimLatitude","preparationType","barcode","imagecode","dayIdentified","infraspecificEpithet","minimumElevationInMeters","maximumElevationInMeters","typeStatus","relatedCatalogItem"
"95","2019-10-11 11:18:08-03","UFPR","UPCB","29774","PreservedSpecimen","Plantae",NA,NA,NA,"Moraceae","Ficus","eximia","Ficus eximia","Schott.","Neto, E.T.","Brasil","Minas Gerais","Joanésia",NA,"-42.6786003112793","-19.1721992492676","21197",NA,"Árvore. Mata ciliar..","auto","Mano, G.B.","2019","05",NA,"1993","10",NA,NA,NA,NA,NA,"UPCB0040727","UPCB0040727","09",NA,NA,NA,NA,NA
"96","2019-10-11 11:14:50-03","UFPR","UPCB","31663","PreservedSpecimen","Plantae",NA,NA,NA,"Bromeliaceae","Aechmea","nudicaulis","Aechmea nudicaulis","Griseb.","Tameirão Neto, E.","Brasil","Minas Gerais","Joanésia","UHE Porto Estrela, rio Santo Antônio","-42.6786003112793","-19.1721992492676","21197",NA,"Epífita. Floresta ciliar..","auto","Tardivo, R.C.","1997","09","1785","1993","10","09",NA,NA,NA,NA,NA,NA,"09",NA,NA,NA,NA,NA
"97","2019-06-10 10:11:39-03","FZB-BH","BHZB","8310","S","Plantae",NA,NA,NA,"Sapindaceae","Allophylus","edulis","Allophylus edulis",NA,"Rezende, S.G et al.","Brasil","MG","Joanesia",NA,"-42.788889","-19.160833",NA,NA,"Doação Sete Soluções. BHCB 138196. Em estágio médio de regeneração. Coord: 19° 9' 39 S; 42° 47' 20W. Alt: 380 a 450 m.",NA,NA,NA,NA,"3477","2009","09","20",NA,"42W 47' 20","19S 9' 39",NA,NA,NA,NA,NA,"380","380",NA,NA
"98","2019-06-10 10:10:47-03","FZB-BH","BHZB","8293","S","Plantae",NA,NA,NA,"Fabaceae - Papilionoideae","Andira","ormosioides","Andira ormosioides",NA,"Rezende, S.G et al.","Brasil","MG","Joanesia",NA,"-42.788889","-19.160833",NA,NA,"Doação Sete Soluções. BHCB 138179. em estágio médio de regeneração. Coord: 19° 9' 39 S; 42° 47' 20W. Alt: 380 a 450 m. <ll>dwc_commonname:</ll> Angelin",NA,NA,NA,NA,"3460","2009","09","20",NA,"42W 47' 20","19S 9' 39",NA,NA,NA,NA,NA,"380","380",NA,NA
"99","2019-06-10 10:10:41-03","FZB-BH","BHZB","8309","S","Plantae",NA,NA,NA,"Fabaceae - Caesalpinioideae","Apuleia","leiocarpa","Apuleia leiocarpa",NA,"Rezende, S.G et al.","Brasil","MG","Joanesia",NA,"-42.788889","-19.160833",NA,NA,"Doação Sete Soluções. BHCB 138180. Em estágio médio de regeneração. Coord: 19° 9' 39 S; 42° 47' 20W. Alt: 380 a 450 m. <ll>dwc_commonname:</ll> Garapa",NA,NA,NA,NA,"3461","2009","09","20",NA,"42W 47' 20","19S 9' 39",NA,NA,NA,NA,NA,"380","380",NA,NA
"100","2019-06-10 10:11:42-03","FZB-BH","BHZB","8308","S","Plantae",NA,NA,NA,"Solanaceae","Cestrum","strigilatum","Cestrum strigilatum",NA,"Rezende, S.G et al.","Brasil","MG","Joanesia",NA,"-42.788889","-19.160833",NA,NA,"Doação Sete Soluções. BHCB 138202. Em estágio médio de regeneração. Coord: 19° 9' 39 S; 42° 47' 20W. Alt: 380 a 450 m.",NA,NA,NA,NA,"3483","2009","09","20",NA,"42W 47' 20","19S 9' 39",NA,NA,NA,NA,NA,"380","380",NA,NA
"101","2019-06-10 10:10:49-03","FZB-BH","BHZB","8334","S","Plantae",NA,NA,NA,"Fabaceae - Papilionoideae","Dalbergia","frutescens","Dalbergia frutescens",NA,"Rezende, S.G et al.","Brasil","MG","Joanesia",NA,"-42.788889","-19.160833",NA,NA,"Doação Sete Soluções. BHCB 138181. Em estágio médio de regeneração. Coord: 19° 9' 39 S; 42° 47' 20W. Alt: 380 a 450 m. <ll>dwc_commonname:</ll> Jacarandá",NA,NA,NA,NA,"3462","2009","09","20",NA,"42W 47' 20","19S 9' 39",NA,NA,NA,NA,NA,"380","380",NA,NA
"102","2019-06-10 10:11:37-03","FZB-BH","BHZB","8304","S","Plantae",NA,NA,NA,"Rutaceae","Galipea","jasminiflora","Galipea jasminiflora",NA,"Rezende, S.G et al.","Brasil","MG","Joanesia",NA,"-42.788889","-19.160833",NA,NA,"Doação Sete Soluções. BHCB 138194. Em estágio médio de regeneração. Coord: 19° 9' 39 S; 42° 47' 20W. Alt: 380 a 450 m.",NA,NA,NA,NA,"3475","2009","09","20",NA,"42W 47' 20","19S 9' 39",NA,NA,NA,NA,NA,"380","380",NA,NA
"103","2019-06-10 10:10:04-03","FZB-BH","BHZB","8294","S","Plantae",NA,NA,NA,"Annonaceae","Guatteria","sp.","Guatteria sp.",NA,"Rezende, S.G et al.","Brasil","MG","Joanesia",NA,"-42.788889","-19.160833",NA,NA,"Doação Sete Soluções. BHCB 138159. em estágio médio de regeneração. Coord: 19° 9' 39 S; 42° 47' 20W. Alt: 380 a 450 m. Com duplicata.",NA,NA,NA,NA,"3440","2009","09","20",NA,"42W 47' 20","19S 9' 39",NA,NA,NA,NA,NA,"380","380",NA,NA
"104","2019-06-10 10:10:30-03","FZB-BH","BHZB","8306","S","Plantae",NA,NA,NA,"Chrysobalanaceae","Hirtella","glandulosa","Hirtella glandulosa",NA,"Rezende, S.G et al.","Brasil","MG","Joanesia",NA,"-42.788889","-19.160833",NA,NA,"Doação Sete Soluções. BHCB 138170. Em estágio médio de regeneração. Coord: 19° 9' 39 S; 42° 47' 20W. Alt: 380 a 450 m. Dupllicata doada para Herbário SPF.",NA,"Juliana El Ottra","2013","11","3451","2009","09","20",NA,"42W 47' 20","19S 9' 39",NA,NA,NA,NA,NA,"380","380",NA,NA
"105","2019-06-10 10:10:30-03","FZB-BH","BHZB","8307","S","Plantae",NA,NA,NA,"Celastraceae","Maytenus","floribunda","Maytenus floribunda",NA,"Rezende, S.G et al.","Brasil","MG","Joanesia",NA,"-42.788889","-19.160833",NA,NA,"Doação Sete Soluções. BHCB 138169. Em estágio médio de regeneração. Coord: 19° 9' 39 S; 42° 47' 20W. Alt: 380 a 450 m.",NA,NA,NA,NA,"3450","2009","09","20",NA,"42W 47' 20","19S 9' 39",NA,NA,NA,NA,NA,"380","380",NA,NA
"106","2019-06-10 10:11:12-03","FZB-BH","BHZB","8292","S","Plantae",NA,NA,NA,"Monimiaceae","Mollinedia","argyrogina","Mollinedia argyrogina",NA,"Rezende, S.G et al.","Brasil","MG","Joanesia",NA,"-42.788889","-19.160833",NA,NA,"Doação Sete Soluções. BHCB 138189. em estágio médio de regeneração. Coord: 19° 9' 39 S; 42° 47' 20W. Alt: 380 a 450 m.",NA,NA,NA,NA,"3470","2009","09","20",NA,"42W 47' 20","19S 9' 39",NA,NA,NA,NA,NA,"380","380",NA,NA
"107","2019-06-10 10:11:40-03","FZB-BH","BHZB","8305","S","Plantae",NA,NA,NA,"Sapotaceae","Pouteria","gardneriana","Pouteria gardneriana",NA,"Rezende, S.G et al.","Brasil","MG","Joanesia",NA,"-42.788889","-19.160833",NA,NA,"Doação Sete Soluções. BHCB 138200. Em estágio médio de regeneração. Coord: 19° 9' 39 S; 42° 47' 20W. Alt: 380 a 450 m.",NA,NA,NA,NA,"3481","2009","09","20",NA,"42W 47' 20","19S 9' 39",NA,NA,NA,NA,NA,"380","380",NA,NA
"108","2019-06-10 10:11:40-03","FZB-BH","BHZB","8335","S","Plantae",NA,NA,NA,"Sapotaceae","Pouteria","torta","Pouteria torta",NA,"Rezende, S.G et al.","Brasil","MG","Joanesia",NA,"-42.788889","-19.160833",NA,NA,"Doação Sete Soluções. BHCB 138201. Em estágio médio de regeneração. Coord: 19° 9' 39 S; 42° 47' 20W. Alt: 380 a 450 m.",NA,NA,NA,NA,"3482","2009","09","20",NA,"42W 47' 20","19S 9' 39",NA,NA,NA,NA,NA,"380","380",NA,NA
"109","2019-11-13 11:23:02-03","USP","SPF","226198","PreservedSpecimen","Plantae",NA,NA,NA,"Leguminosae","Platypodium","elegans","Platypodium elegans","Vogel","Neves, DM","Brasil","Minas Gerais","Joanésia","5 km west of Janesia.","-42.748333","-19.147778",NA,NA,NA,NA,"Neves, DM","2013","07","1429","2013","07","06",NA,"-42.748333","-19.147778",NA,"SPF00226198",NA,"06",NA,"365","365",NA,NA
"110","2019-11-13 11:17:49-03","USP","SPF","217254","PreservedSpecimen","Plantae",NA,NA,NA,"Chrysobalanaceae","Hirtella","glandulosa","Hirtella glandulosa","Spreng.","Rezende, SG","Brasil","Minas Gerais","Joanésia",NA,"-42.6786003112793","-19.1721992492676","21197",NA,NA,"auto","Anônimo",NA,NA,"3451","2009","09","20",NA,NA,NA,NA,"SPF00217254",NA,NA,NA,NA,NA,NA,NA
"111","2019-11-13 11:23:02-03","USP","SPF","136222","PreservedSpecimen","Plantae",NA,NA,NA,"Leguminosae","Platymiscium","floribundum","Platymiscium floribundum","Vogel","Tameirão Neto, E","Brasil","Minas Gerais","Joanésia",NA,"-42.6786003112793","-19.1721992492676","21197",NA,NA,"auto","Anônimo",NA,NA,"985","1993","11","03",NA,NA,NA,NA,"SPF00136222",NA,NA,NA,NA,NA,NA,NA
"112","2020-03-19 10:55:44-03","UEFS","HUEFS","213422","PreservedSpecimen","Plantae","Angiospermae","Rosanae","Fabales","Leguminosae Subfam. Papilionoideae","Platypodium","elegans","Platypodium elegans","Vogel","Neves, D.M.","Brasil","Minas Gerais","Joanésia","5 Km west of Joanésia.","-42.748333","-19.147778",NA,NA,"Roadside in impacted semideciduous forest.",NA,NA,NA,NA,"1429","2013","07","06",NA,"42W44'54''","19S8'52''",NA,"HUEFS0213422",NA,NA,NA,"365","365",NA,NA
"113","2018-12-03 11:24:36-02","CEPLAC","CEPEC","119184","S","Plantae",NA,NA,NA,"Mimosaceae","Calliandra",NA,"Calliandra",NA,"E. T. Neto","Brasil","Minas Gerais","JOANÉSIA","Porto Estrela, Rio Santo Antonio. Margem do Rio.","-42.6786003112793","-19.1721992492676","21197",NA,NA,"auto","Sem Informação",NA,NA,"3282","2000","08","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","2018-12-03 11:17:15-02","CEPLAC","CEPEC","95635","S","Plantae",NA,NA,NA,"Fabaceae","Machaerium","paraguariense","Machaerium paraguariense",NA,"E. T. Neto","Brasil","Minas Gerais","JOANÉSIA","UHE - Porto Estrela, Rio Estrela, Rio Santo Antonio.","-42.6786003112793","-19.1721992492676","21197",NA,NA,"auto","F. L. R. Filardi",NA,NA,"3284","2000","08","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30/12/2011"
"115","2018-12-04 20:29:52-02","UNIR","RON","3618","S","Plantae","Angiosperma",NA,"Malpighiales","Euphorbiaceae","Acalypha","communis","Acalypha communis","Müll. Arg.","Rezende, SG","Brasil","Minas Gerais","Joanesia",NA,"-42.788889","-19.160833",NA,NA,"Árvore. Floresta Estacional Semidecidual em Estágio Médio de Regeneração",NA,NA,NA,NA,"3455","2009","09","20","Southern America","-42.788889","-19.160833",NA,"RON00003618","RON00003618",NA,NA,NA,NA,NA,NA
"116","2018-12-04 20:29:52-02","UNIR","RON","3614","S","Plantae","Angiosperma",NA,"Malpighiales","Euphorbiaceae","Actinostemon","klotzschii","Actinostemon klotzschii","Pax","Rezende, SG","Brasil","Minas Gerais","Joanesia",NA,"-42.788889","-19.160833",NA,NA,"Árvore. Floresta Estacional Semidecidual em Estágio Médio de Regeneração",NA,NA,NA,NA,"3456","2009","09","20","Southern America","-42.788889","-19.160833",NA,"RON00003614","RON00003614",NA,NA,NA,NA,NA,NA
"117","2018-12-04 20:30:02-02","UNIR","RON","3615","S","Plantae","Angiosperma",NA,"Malpighiales","Euphorbiaceae","Pera","glabrata","Pera glabrata","(Schott) Baill.","Rezende, SG","Brasil","Minas Gerais","Joanesia",NA,"-42.788889","-19.160833",NA,NA,"Árvore. Floresta Estacional Semidecidual em Estágio Médio de Regeneração",NA,NA,NA,NA,"3458","2009","09","20","Southern America","-42.788889","-19.160833",NA,"RON00003615","RON00003615",NA,NA,NA,NA,NA,NA
"118","2018-12-04 20:31:05-02","UNIR","RON","3617","S","Plantae","Angiosperma",NA,"Proteales","Proteaceae","Roupala","brasiliensis","Roupala brasiliensis","Klotzsch","Rezende, SG","Brasil","Minas Gerais","Joanesia",NA,"-42.788889","-19.160833",NA,NA,"Árvore. Floresta Estacional Semidecidual em Estágio Médio de Regeneração",NA,NA,NA,NA,"3474","2009","09","20","Southern America","-42.788889","-19.160833",NA,"RON00003617","RON00003617",NA,NA,NA,NA,NA,NA
"119","2018-12-04 20:30:02-02","UNIR","RON","4687","S","Plantae","Angiosperma",NA,"Malpighiales","Euphorbiaceae","Sebastiania","klotzschiana","Sebastiania klotzschiana","Müll. Arg.","Rezende, SG","Brasil","Minas Gerais","Joanesia",NA,"-42.788889","-19.160833",NA,NA,"Floresta Estacional Semidecidual em Estágio Médio de Regeneração, arbóreo.",NA,NA,NA,NA,"3459","2009","09","20","Southern America","-42.788889","-19.160833",NA,"RON00004687","RON00004687",NA,NA,"380","450",NA,NA
"120","2018-12-04 20:30:02-02","UNIR","RON","3616","S","Plantae","Angiosperma",NA,"Malpighiales","Euphorbiaceae","Sebastiania","klotzschiana","Sebastiania klotzschiana","Müll. Arg.","Rezende, SG","Brasil","Minas Gerais","Joanesia",NA,"-42.788889","-19.160833",NA,NA,"Árvore. Floresta Estacional Semidecidual em Estágio Médio de Regeneração",NA,NA,NA,NA,"3469","2009","09","20","Southern America","-42.788889","-19.160833",NA,"RON00003616",NA,NA,NA,NA,NA,NA,NA
"121","2019-11-21 10:12:55-03","IBt","SP","474056","S","Plantae",NA,NA,NA,"Orchidaceae","Bulbophyllum","dacruzii","Bulbophyllum dacruzii","Campacci","Cruz, JF","Brasil","Minas Gerais","Joanésia",NA,"-42.6786003112793","-19.1721992492676","21197",NA,NA,"auto","Campacci, MA",NA,NA,"42","2008","08",NA,NA,NA,NA,NA,"SP003344","SP003344",NA,NA,"200","200","Holotype",NA
"122","2019-11-21 10:08:50-03","IBt","SP","315209","S","Plantae",NA,NA,NA,"Malpighiaceae","Heteropterys","eglandulosa","Heteropterys eglandulosa","A.Juss.","Tameirão Neto, E; França, GS","Brasil","Minas Gerais","Joanésia","UHE Porto Estrela, rio Santo Antonio","-42.6786003112793","-19.1721992492676","21197",NA,NA,"auto","Mamede, MCH","2000","10","908","1993","10","09",NA,NA,NA,NA,"SP018396",NA,NA,NA,NA,NA,NA,NA
