"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","specificEpithet","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","typeStatus","dayIdentified","previousCatalogNumber","individualCount","class","infraspecificEpithet","relatedCatalogItem"
"85","2020-02-14 09:20:51-03","UNICAMP","UEC","206237","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Miconia","Miconia polyandra","Bacci, LF; Bochorny, T; Goldenberg, R","161","2015","05","11",NA,"Brazil","Espirito Santo","São Roque do Canaã","Brasil, ES, Mun. São Roque do Canaã, Luxemburgo, subida para o Alto Misterioso.","-19.802778","-40.771944","-19.802778","-40.771944","280","280",NA,"Árvore ca.7 m alt. Frutos imaturos verdes.","UEC178621","UEC178621","polyandra","Gardner","Goldenberg, R","2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","2019-08-20 10:20:51-03","UNICAMP","UEC","195253","S","Plantae","Magnoliopsida",NA,"Myrtaceae",NA,NA,"Santos, K; Monge, M; Shimizu, GH; Jönnson, K","4700","2016","10","04",NA,"Brazil","Espírito Santo","São Roque do Canaã","Bairro Santa Júlia, Corrego Misterioso, Sítio do Sr. Devair de mello, funcionário Seu Assanahado ou Edvaldo. Alto Misterioso","-41.249461","-20.265742","-41.249461","-20.265742","138","138",NA,"Árvore, 5 m. Flores brancas.; Floresta ombrófila densa Montana adjascente à inselberg.","UEC149266","UEC149266",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","2020-02-10 17:57:14-03","UNICAMP","UEC","195254","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Randia","Randia armata","Santos, K; Monge, M; Shimizu, GH; Jönnson, K","4701","2016","10","04",NA,"Brazil","Espírito Santo","São Roque do Canaã","Bairro Santa Júlia, Corrego Misterioso, Sítio do Sr. Devair de mello, funcionário Seu Assanahado ou Edvaldo. Alto Misterioso","-41.249461","-20.265742","-41.249461","-20.265742","138","138",NA,"Arvoreta, 3 m. Flores brancas.; Floresta ombrófila densa Montana adjascente à inselberg.","UEC149269","UEC149269","armata","(Sw.) A.DC.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","2019-08-20 10:14:49-03","UNICAMP","UEC","195206","S","Plantae","Magnoliopsida",NA,"Fabaceae","Rhynchosia","Rhynchosia","Santos, K; Monge, M; Shimizu, GH; Jönnson, K","4703","2016","10","04",NA,"Brazil","Espírito Santo","São Roque do Canaã","Bairro Santa Júlia, Corrego Misterioso, Sítio do Sr. Devair de mello, funcionário Seu Assanahado ou Edvaldo. Alto Misterioso","-41.249461","-20.265742","-41.249461","-20.265742","138","138",NA,"Arbusto rastejante, inflorescência ereta, corola amarelo-amarronzada, frutos imaturos verdes e maduros marrons.; em pasto","UEC149259","UEC149259",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","2019-08-20 10:26:05-03","UNICAMP","UEC","194722","S","Plantae","Magnoliopsida",NA,"Sapotaceae",NA,NA,"Santos, K; Monge, M; Shimizu, GH; Jönnson, K","4699","2016","10","04",NA,"Brazil","Espírito Santo","São Roque do Canaã","Bairro Santa Júlia, Corrego Misterioso, Sítio do Sr. Devair de mello, funcionário Seu Assanahado ou Edvaldo. Alto Misterioso","-41.249461","-20.265742","-41.249461","-20.265742","138","138",NA,"Árvore, 25 m. Frutos verdes, sementes com arilo branco, aparentemente apreciados por macacos.; Floresta ombrófila densa Montana adjascente à inselberg.","UEC154293","UEC154293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","2019-08-20 10:11:38-03","UNICAMP","UEC","194812","S","Plantae","Magnoliopsida",NA,"Euphorbiaceae","Sebastiania","Sebastiania","Santos, K; Monge, M; Shimizu, GH; Jönnson, K","4688","2016","10","03",NA,"Brazil","Espírito Santo","São Roque do Canaã","Estrada para a Cachoeira do Strutz","-41.207083","-20.405167","-41.207083","-20.405167","181","181",NA,"Arvoreta, 1,5 m. Flores amareladas.; Beira de riacho.","UEC149284","UEC149284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","2020-02-14 09:20:51-03","UNICAMP","UEC","203909","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Tibouchina","Tibouchina fothergillae","Bochorny, T; Bacci, LF; Goldenberg, R","139","2015","05","11",NA,"Brazil","Espirito Santo","São Roque do Canaã","Luxemburgo, Municipio de São Roque do Canãa, Subida para o Alto Misterioso.","-19.802778","-40.771944","-19.802778","-40.771944",NA,NA,NA,"Arbusto, ca. 1,7m alt. Flores com Pétalas roxas.","UEC169602","UEC169602","fothergillae","(A.DC.) Cogn.","Goldenberg, R","2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","2019-08-20 10:15:44-03","UNICAMP","UEC","155968","S","Plantae","Magnoliopsida",NA,"Gesneriaceae","Vanhouttea","Vanhouttea calcarata","Fraga, CN; Fontana, AP; Kollmann, L","1148","2004","03","19",NA,"Brazil","Espírito Santo","São Roque do Canaã","Alto Misterioso","-46.216667","-19.803056","-46.216667","-19.803056","1143","1143",NA,"Rupícola heliófila. Herbácea em paredão rochoso. Flores com cálice alaranjado.; Floresta Ombrófila Densa Altomontana com inselbergue.","UEC076156","UEC076156","calcarata","Lem.","Rossini, J","2010","11",NA,NA,NA,"30",NA,NA,NA,NA,NA
"93","2020-03-02 11:04:43-03","UNICAMP","UEC","206879","S","Plantae","Magnoliopsida",NA,"Clusiaceae","Clusia","Clusia mexiae","Fontana, AP; Esgario, C","1550","2005","07","16",NA,"Brazil","Espirito Santo","São Roque do Canaã","Brasil, ES, Município de São Roque do Canaã, Alto Misterioso.","-40.6568984985352","-19.738899230957",NA,NA,"1100","1100",NA,"Árvore 5 m, frutos verdes, látex branco.; Pedra 5a, Inselberg.","UEC179510",NA,"mexiae","P.F.Stevens","Alencar, AC","2020","02","14641","auto",NA,NA,NA,NA,NA,NA,NA
"94","2020-03-02 11:04:43-03","UNICAMP","UEC","206581","S","Plantae","Magnoliopsida",NA,"Clusiaceae","Clusia","Clusia melchiorii","Kollmann, L; Kollmann, RL; Esgario, C; Fontana, AP","8712","2006","03","04",NA,"Brazil","Espirito Santo","São Roque do Canaã","Brasil, ES, Município de São Roque do Canaã, Alto Misterioso.","-40.6568984985352","-19.738899230957",NA,NA,NA,NA,NA,"Arbusto de 2 m.Frutos e botões verdes.; Rupestre no sol.","UEC179530",NA,"melchiorii","Gleason","Alencar, AC","2020","02","14641","auto",NA,NA,NA,NA,NA,NA,NA
"95","2020-03-02 11:04:43-03","UNICAMP","UEC","206878","S","Plantae","Magnoliopsida",NA,"Clusiaceae","Clusia","Clusia mexiae","Silva, AG; Fontana, AP; Esgario, CP","s.n.","2007","08","18",NA,"Brazil","Espirito Santo","São Roque do Canaã","Brasil, ES, São Roque do Canaã, Alto Misterioso.","-40.6568984985352","-19.738899230957",NA,NA,"850","1143",NA,"Árvore 7 m, frutos com sépalas persistentes.; Afloramento rochoso.","UEC179511",NA,"mexiae","P.F.Stevens","Alencar, AC","2020","02","14641","auto",NA,NA,NA,NA,NA,NA,NA
"96","2020-02-10 17:54:34-03","UNICAMP","UEC","206245","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Miconia","Miconia cubatanensis","Goldenberg, R; Fontana, AP; Filgueiras, TS","2151","2015","04","30",NA,"Brazil","Espirito Santo","São Roque do Canaã","Brasil, ES, São Roque do Canaã, Mata na entrada da trilha para o Alto Misterioso.","-40.6568984985352","-19.738899230957",NA,NA,NA,NA,NA,"Árvore 6 m;flores velhas com hipanto ocráceo.; Mata.","UEC164964","UEC164964","cubatanensis","Hoehne","Goldenberg, R","2015",NA,"14641","auto",NA,NA,NA,NA,NA,NA,NA
"97","2020-02-10 17:54:59-03","UNICAMP","UEC","206246","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Miconia","Miconia valtherii","Goldenberg, R; Fontana, AP; Filgueiras, TS","2153","2015","04","30",NA,"Brazil","Espirito Santo","São Roque do Canaã","Mata na entrada da trilha para o Alto Misterioso.","-40.6568984985352","-19.738899230957",NA,NA,NA,NA,NA,"Árvore 7m; Frutos verdes, maduros enegrecidos.","UEC164991",NA,"valtherii","Naudin","Goldenberg, R","2015",NA,"14641","auto",NA,NA,NA,NA,NA,NA,NA
"98","2020-02-14 09:20:51-03","UNICAMP","UEC","206242","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Miconia","Miconia cubatanensis","Goldenberg, R; Bacci, LF; Bochorny, T","2163","2015","05","11",NA,"Brazil","Espírito Santo","São Roque do Canaã","Alto Misterioso","-40.6568984985352","-19.738899230957",NA,NA,NA,NA,NA,"Árvore 3m, à sombra; flores com pétalas e estames brancos.","UEC164998",NA,"cubatanensis","Hoehne","Goldenberg, R","2015",NA,"14641","auto",NA,NA,NA,NA,NA,NA,NA
"99","2020-02-10 17:54:17-03","UNICAMP","UEC","206248","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Merianthera","Merianthera bullata","Goldenberg, R; Fontana, AP; Filgueiras, TS","2147","2015","04","30",NA,"Brazil","Espírito Santo","São Roque do Canaã","Alto Misterioso","-40.6568984985352","-19.738899230957",NA,NA,NA,NA,NA,"Arbusto 1,5cm, em pedra; Botões com pétalas vermelhas, frutos maduros castanho-claros.","UEC164993",NA,"bullata","R.Goldenb., Fraga & A.P.Fontana","Goldenberg, R","2015",NA,"14641","auto",NA,NA,NA,NA,NA,NA,NA
"100","2019-08-20 10:00:28-03","UNICAMP","UEC","169070","S","Plantae","Liliopsida",NA,"Iridaceae","Trimezia","Trimezia","Fontana, AP; Esgario, C; Brito, RC; Fadini, F; Lima, LN","1073","2004","11","15",NA,"Brazil","Espírito Santo","São Roque do Canaã","Alto Misterioso. Inselberg, Pedra 2.","-40.6568984985352","-19.738899230957",NA,NA,"1045","1100",NA,"Rupestre, heliófila, flores amarelas com pintas vináceo.","UEC007786","UEC007786",NA,NA,"Gil, ASB","2008","09","14641","auto",NA,NA,NA,NA,NA,NA,NA
"101","2019-08-20 10:21:59-03","UNICAMP","UEC","151773","S","Plantae","Magnoliopsida",NA,"Ochnaceae","Luxemburgia","Luxemburgia mysteriosa","Fontana, AP; Esgario, C; Brito, RC; Fadini, F; Lima, LN","1065","2004","11","14",NA,"Brazil","Espírito Santo","São Roque do Canaã","Alto Misterioso. Inselberg, Pedra 5d","-40.6568984985352","-19.738899230957",NA,NA,NA,NA,NA,"Rupestre, heliófila, arbusto 3m, flores amarelas","UEC115770","UEC115770","mysteriosa","Fraga","Fontana, AO","2005","11","14641","auto",NA,"15",NA,NA,NA,NA,NA
"102","2019-08-20 10:18:50-03","UNICAMP","UEC","44282","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Merianthera","Merianthera verrucosa","Goldenberg, R; Britto, R","2172","2015","05","20",NA,"Brazil","Espírito Santo","São Roque do Canaã","Brasil, ES, Mun. São Roque do Canaã, Pedra do Pionte, pedra logo acima do açude.","-40.6568984985352","-19.738899230957",NA,NA,NA,NA,NA,"Árvore 4m, com DAP 40cm, fuste baixo e copa muito larga, com raízes superficiais sobre a pedra; frutos velhos castanhos.","UEC111852","UEC111852","verrucosa","R.Goldenb., Fraga & A.P.Fontana","Goldenberg, R","2015",NA,"14641","auto",NA,NA,NA,NA,NA,NA,NA
"103","2019-08-20 10:02:14-03","UNICAMP","UEC","194723","S","Plantae","Magnoliopsida",NA,"Amaranthaceae",NA,NA,"Santos, K; Monge, M; Shimizu, GH; Jönnson, K","4691","2016","10","03",NA,"Brazil","Espírito Santo","São Roque do Canaã","Cachoeira do Strutz","-40.6568984985352","-19.738899230957",NA,NA,NA,NA,NA,"Trepadeira, flores brancas.; Beira de riacho.","UEC154292","UEC154292",NA,NA,NA,NA,NA,"14641","auto",NA,NA,NA,NA,NA,NA,NA
"104","2019-08-20 10:05:10-03","UNICAMP","UEC","111808","S","Plantae","Magnoliopsida",NA,"Asteraceae","Chromolaena","Chromolaena chaseae","Nakajima, JN; Romero, R; Guilherme, FAG","305","1994","04","19",NA,"Brazil","Espírito Santo","São Roque do Canaã","Estrada para Sacramento, 23 Km da sede administrativa, PARNA Serra da Canastra.","-40.6568984985352","-19.738899230957",NA,NA,NA,NA,NA,"Subarbusto, ca. 0,4m. Brácteas creme. Corola e Estigmas brancos.; Campo sujo.","UEC123308","UEC123308","chaseae","(H.Rob.) King & H.Rob.","Esteves, RL","2002","07","14641","auto",NA,"11",NA,NA,NA,NA,NA
"105","2019-08-20 10:16:17-03","UNICAMP","UEC","186741","S","Plantae","Magnoliopsida",NA,"Lauraceae",NA,NA,"Fontana, AP; Brito, RC; Fadini, F; Lima, LN; Esgario, C","1023","2004","11","13",NA,"Brazil","Espírito Santo","São Roque do Canaã","Localidade Alto Misterioso, inselberg, fundo de vale, dossel 8m.","-40.6568984985352","-19.738899230957",NA,NA,NA,NA,NA,"Arvoreto, 4m de alt, umbrófila, flores amarelas.","UEC116492","UEC116492",NA,NA,NA,NA,NA,"14641","auto",NA,NA,NA,NA,NA,NA,NA
"106","2019-08-20 10:25:43-03","UNICAMP","UEC","171484","S","Plantae","Magnoliopsida",NA,"Sapindaceae","Cupania","Cupania","Fontana, AP; Kollmann, L; Brito, RC","945","2004","10","16",NA,"Brazil","Espírito Santo","São Roque do Canaã","Localidade São Bento, Pedra do Pionte. Propriedade Danilo Pinte. Inselberg.","-40.6568984985352","-19.738899230957",NA,NA,NA,NA,NA,"Arbusto, frutos pretos.","UEC041340","UEC041340",NA,"L.","Acevedo, P","2018","11","14641","auto",NA,"14",NA,NA,NA,NA,NA
"107","2019-08-20 09:59:27-03","UNICAMP","UEC","145969","S","Plantae","Liliopsida",NA,"Commelinaceae","Dichorisandra","Dichorisandra penduliflora","Fontana, AP; Fadini, M; Fadini, GP; Brito, RC; Vago, W; Vago, V; Gonçalo, FM","785","2004","02","28",NA,"Brazil","Espírito Santo","São Roque do Canaã","Pedra do Pionte, São Bento, propriedade do Pionte.","-40.6568984985352","-19.738899230957",NA,NA,"750","750",NA,"Herbácea 1,20m. Flores caeruleas. Frutos verdes.","UEC057575","UEC057575","penduliflora","Kunth","Aona, LYS","2007","07","14641","auto",NA,NA,NA,NA,NA,NA,NA
"108","2019-11-19 14:06:53-03","UFRPE","PEUFR","52800","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Dalechampia","Dalechampia brasiliensis","A. P. Fontana; M. Fadini; G. P. Fadini; R. C. Britto; W. Vago (magrão); F. M. Gonçalo; A. Pedroni","769","2004","02","28",NA,"Brasil","Espírito Santo","São Roque do Canaã","Pedra do Pionte (São Bento); Propriedade do Pionte","-40.6568984985352","-19.738899230957",NA,NA,"750","750",NA,"Trepadeira; brácteas verdes claras, com nervuras verdes escuras; frutos verdes.","PEUFR052800",NA,"brasiliensis","Lam.","R. A. Pereira-Silva","2016","12","14641","auto",NA,"01",NA,NA,NA,NA,NA
"109","2019-11-19 14:06:38-03","UFRPE","PEUFR","50982","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Actinostemon","Actinostemon concolor","L. Kollmann; A. Fontana, C.N. Fraga, R.C. de Brito","7052","2004","10","16",NA,"Brasil","Espírito Santo","São Roque do Canaã.","Militon, terreno do Galon","-40.6568984985352","-19.738899230957",NA,NA,NA,NA,NA,"Arvoreto 3m. Flores e frutos verdes.","PEUFR050982",NA,"concolor","(Spreng.) Müll. Arg.","P. P. Eymael","2011","04","14641","auto",NA,"27",NA,NA,NA,NA,NA
"110","2020-03-09 19:15:23-03","UFPB","JPB","56191","PreservedSpecimen","Plantae","Angiosperma","Dicotyledon","Solanaceae",NA,NA,"Saavedra, MM; Fontana, AP; Fraga, CN; Monteiro, RF; Souza, MC","635","2008","01","14","Southern America","Brasil","Espírito Santo","São Roque do Canaã","Alto Santa Júlia, localidade Misterioso.","-40.765","-19.782222","-40.765","-19.782222",NA,NA,NA,"Arbusto, ca.2,5 metros de altura, ramos com indumento ferrugíneos, folhas discolores, flores com cálice e corola verde-claros, anteras amarelas, frutos verdes.","JPB0056191",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","2020-03-09 19:15:24-03","UFPB","JPB","55309","PreservedSpecimen","Plantae","Angiosperma","Dicotyledon","Solanaceae","Brunfelsia","Brunfelsia","Vervloet, RR; Fontana, AP; Brito, RC de","2576","2003","12","24","Southern America","Brasil","Espírito Santo","São Roque do Canaã","Alto Misterioso, Pedra dos Três Carneiros. Borda de capoeira.","-40.6568984985352","-19.738899230957",NA,NA,"650","650",NA,"Planta 80 cm alt.; cálice de cor verde; corola lilás.","JPB0055309",NA,NA,NA,"Figueira, M","2017","07","14641","auto",NA,"21",NA,NA,NA,NA,NA
"112","2019-11-27 14:48:57-03","UCS","HUCS","48505","PreservedSpecimen","Plantae","Pteridophyta","Hymenophyllales","Hymenophyllaceae","Abrodictyum","Abrodictyum rigidum","Fontana, A.P.; Esgario, C.; Brito, R.C.; Fadine, F.","1077","2004","11","15",NA,"Brasil","Espírito Santo","São Roque do Canaã","Alto Misterioso","-40.6568984985352","-19.738899230957",NA,NA,NA,NA,NA,"Doação Herbário MBML 024029&nf;; Mata , dossel, beira do corrego","HUCS001688","HUCS001688","rigidum","(Sw.) Ebihara & Dubuisson","Gonzatti, F.","2018","08","14641","auto",NA,NA,NA,NA,NA,NA,NA
"113","2019-12-06 19:29:31-03","UFES","VIES","15798","S","Plantae",NA,NA,"Euphorbiaceae","Cnidoscolus","Cnidoscolus","Saiter, F.Z.","30","2004","03","07",NA,"Brasil","Espírito Santo","São Roque do Canaã","Santa Júlia.","-40.751111","-19.760556","40º45'4''W","19º45'38''S",NA,NA,NA,NA,"VIES015798","VIES015798_1",NA,NA,"Silva, O.L.M.","2014","06",NA,NA,NA,"02",NA,NA,NA,NA,NA
"114","2019-12-06 19:29:58-03","UFES","VIES","42655","S","Plantae",NA,NA,"Myrtaceae","Eugenia","Eugenia","M.C. Souza; A.P.Fontana, C.N.Fraga, R.F.Monteiro, M.M.Saavedra","590","2008","01","15",NA,"Brasil","Espírito Santo","São Roque do Canaã","Distrito Alto Santa Julia. Misterioso, Pedra dos Três Carneiros, afloramento rochoso.","-40.7575","-19.770833","40º45'27''W","19º46'15''S","632","632",NA,NA,"VIES042655",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","2019-12-06 19:29:58-03","UFES","VIES","42658","S","Plantae",NA,NA,"Myrtaceae","Eugenia","Eugenia","M.C. Souza; A.P.Fontana, C.N.Fraga, R.F.Monteiro, M.M.Saavedra","597","2008","01","15",NA,"Brasil","Espírito Santo","São Roque do Canaã","Distrito Alto Santa Julia. Misterioso, Pedra dos Três Carneiros, trecho de mata sobre o afloramento rochoso.","-40.756111","-19.766944","40º45'22''W","19º46'1''S","812","812",NA,NA,"VIES042658","VIES042658",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","2019-12-06 19:29:53-03","UFES","VIES","25994","S","Plantae",NA,NA,"Melastomataceae","Leandra","Leandra","Simonelli, M.; Brito, R.; Magnago, L.F.","1367","2007","11","25",NA,"Brasil","Espírito Santo","São Roque do Canaã","Alto Misterioso. Mata, base da rocha.","-40.769722","-19.320278","40º46'11''W","19º19'13''S","983","983",NA,NA,"VIES025994","VIES025994",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","2019-12-06 19:29:53-03","UFES","VIES","25990","S","Plantae",NA,NA,"Melastomataceae","Leandra","Leandra","Fontana, A.P.; Fontana, R.P.; Esgario, C.; Pereira, D.","1737","2005","10","02",NA,"Brasil","Espírito Santo","São Roque do Canaã","Alto Misterioso. Pedra 4a.","-40.770278","-19.803056","40º46'13''W","19º48'11''S","1050","1050",NA,NA,"VIES025990","VIES025990",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","2019-12-06 19:29:52-03","UFES","VIES","25992","S","Plantae",NA,NA,"Melastomataceae",NA,NA,"Fontana, A.P.; Kollmann, L.; Britto, R.C.","1719","2005","09","16",NA,"Brasil","Espírito Santo","São Roque do Canaã","Alto Misterioso. Trilha subida.","-40.770278","-19.803056","40º46'13''W","19º48'11''S","1050","1050",NA,NA,"VIES025992","VIES025992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","2019-12-06 19:29:55-03","UFES","VIES","25991","S","Plantae",NA,NA,"Melastomataceae","Microlicia","Microlicia","Fontana, A.P.; Fontana, R.P.; Esgario, C.; Pereira, D.","1749","2005","10","02",NA,"Brasil","Espírito Santo","São Roque do Canaã","Alto Misterioso. Trilha nascente.","-40.770278","-19.803056","40º46'13''W","19º48'11''S","1050","1050",NA,NA,"VIES025991","VIES025991",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","2019-12-06 19:30:15-03","UFES","VIES","42659","S","Plantae",NA,NA,"Rutaceae",NA,NA,"M.C. Souza; A.P.Fontana, C.N.Fraga, R.F.Monteiro, M.M.Saavedra","585","2008","01","15",NA,"Brasil","Espírito Santo","São Roque do Canaã","Distrito Alto Santa Julia. Misterioso. Beira da estrada para o Morro dos Três Carneiros.","-40.765","-19.782222","40º45'54''W","19º46'56''S","752","752",NA,NA,"VIES042659","VIES042659",NA,NA,NA,"2018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","2019-06-27 10:25:38-03","UFES","VIES","38499","S","Plantae",NA,NA,"Melastomataceae","Leandra","Leandra hirta","Goldenberg, R.; Bacci, L.F. & Bochorny, T.","2162","2015","05","11",NA,"Brasil","Espírito Santo","São Roque do Canaã",NA,"-40.6568984985352","-19.738899230957",NA,NA,NA,NA,NA,NA,"VIES038499","VIES038499","hirta","Raddi","Goldenberg, R.","2015",NA,"14641","auto",NA,NA,NA,NA,NA,NA,NA
"122","2019-06-27 10:25:39-03","UFES","VIES","38500","S","Plantae",NA,NA,"Melastomataceae","Miconia","Miconia cubatanensis","Goldenberg, R.; Bacci, L.F. & Bochorny, T.","2163","2015","05","11",NA,"Brasil","Espírito Santo","São Roque do Canaã",NA,"-40.6568984985352","-19.738899230957",NA,NA,NA,NA,NA,NA,"VIES038500","VIES038500","cubatanensis","Hoehne","Goldenberg, R.","2015",NA,"14641","auto",NA,NA,NA,NA,NA,NA,NA
"123","2019-06-27 10:25:38-03","UFES","VIES","38498","S","Plantae",NA,NA,"Melastomataceae","Leandra","Leandra","Goldenberg, R.; Fontana, A.P. & Filgueiras, T.","2148","2015","04","30",NA,"Brasil","Espírito Santo","São Roque do Canaã",NA,"-40.6568984985352","-19.738899230957",NA,NA,NA,NA,NA,NA,"VIES038498","VIES038498",NA,NA,NA,NA,NA,"14641","auto",NA,NA,NA,NA,NA,NA,NA
"124","2019-06-27 10:25:39-03","UFES","VIES","38497","S","Plantae",NA,NA,"Melastomataceae","Miconia","Miconia","Goldenberg, R.; Fontana, A.P. & Filgueiras, T.","2152","2015","04","30",NA,"Brasil","Espírito Santo","São Roque do Canaã",NA,"-40.6568984985352","-19.738899230957",NA,NA,NA,NA,NA,NA,"VIES038497","VIES038497",NA,NA,NA,NA,NA,"14641","auto",NA,NA,NA,NA,NA,NA,NA
"125","2019-06-27 10:25:37-03","UFES","VIES","23013","S","Plantae",NA,NA,"Melastomataceae","Leandra","Leandra","Kollmann, L.; Fontana, A.P.","10112","2007","11","05",NA,"Brasil","Espírito Santo","São Roque do Canaã","Alto Misterioso","-40.6568984985352","-19.738899230957",NA,NA,"950","950",NA,"Em meia sombra.","VIES023013","VIES023013",NA,NA,NA,NA,NA,"14641","auto",NA,NA,NA,NA,NA,NA,NA
"126","2019-06-27 10:25:36-03","UFES","VIES","23006","S","Plantae",NA,NA,"Melastomataceae",NA,NA,"Kollmann, L.; Fontana, A.P.","10103","2007","11","05",NA,"Brasil","Espírito Santo","São Roque do Canaã","Alto Misterioso","-40.6568984985352","-19.738899230957",NA,NA,"900","900",NA,NA,"VIES023006","VIES023006",NA,NA,NA,NA,NA,"14641","auto",NA,NA,NA,NA,NA,NA,NA
"127","2019-06-27 10:25:37-03","UFES","VIES","26000","S","Plantae",NA,NA,"Melastomataceae",NA,NA,"Kollmann, L.; Kollmann, R.L.; Esgario, C.; Fontana, A.P.","8717","2006","03","04",NA,"Brasil","Espírito Santo","São Roque do Canaã","Alto Misterioso.","-40.6568984985352","-19.738899230957",NA,NA,NA,NA,NA,NA,"VIES026000","VIES026000",NA,NA,NA,NA,NA,"14641","auto",NA,NA,NA,NA,NA,NA,NA
"128","2019-06-27 10:25:58-03","UFES","VIES","27422","S","Plantae",NA,NA,"Myrtaceae","Psidium","Psidium ovale","Fontana, A.P.; Bitto, R.C.; Lima, L.N. & Esgario, C.","1050","2004","11","14",NA,"Brasil","Espírito Santo","São Roque do Canaã","Alto Misterioso.","-40.6568984985352","-19.738899230957",NA,NA,"1070","1070",NA,NA,"VIES027422","VIES027422","ovale","(Spreng.) Burret","A.C. Tuler","2013",NA,"14641","auto",NA,NA,NA,NA,NA,NA,NA
"129","2019-09-27 18:04:48-03","UFES","VIES","5392","S","Plantae",NA,NA,"Fabaceae","Inga","Inga leptantha","Kollmann, L.J.C.; Goldenberg, R.; Caddah, M.K.; Reginato, M. & Michelangeli, F.","12170","2011","02","06",NA,"Brasil","Espírito Santo","São Roque do Canaã","Alto Misterioso.","-40.6568984985352","-19.738899230957",NA,NA,"800","800",NA,NA,"VIES005392","VIES005392","leptantha","Benth.","Chagas, A.P.","2013","06","14641","auto",NA,NA,NA,NA,NA,NA,NA
"130","2019-06-27 10:25:37-03","UFES","VIES","28001","S","Plantae",NA,NA,"Melastomataceae",NA,NA,"Kollmann, L.; Fontana, A.P.; Fraga, C.N.","6540","2004","03","27",NA,"Brasil","Espírito Santo","São Roque do Canaã","Alto Misterioso.","-40.6568984985352","-19.738899230957",NA,NA,"800","800",NA,NA,"VIES028001","VIES028001",NA,NA,NA,NA,NA,"14641","auto",NA,NA,NA,NA,NA,NA,NA
"131","2019-06-27 10:26:30-03","UFES","VIES","26972","S","Plantae",NA,NA,"Primulaceae","Myrsine","Myrsine venosa","Esgario, C.; Rocha, E.X.; Ruschi, P. & Lima, L.","172","2007","05","11",NA,"Brasil","Espírito Santo","São Roque do Canaã","Alto Misterioso.","-40.6568984985352","-19.738899230957",NA,NA,NA,NA,NA,NA,"VIES026972","VIES026972","venosa","A.DC.","Esgario, C.","2008",NA,"14641","auto",NA,NA,NA,NA,NA,NA,NA
"132","2019-11-08 18:34:44-03","UFES","VIES","32112","S","Plantae",NA,NA,"Fabaceae","Inga","Inga hispida","Kollmann, L.J.C.; Goldenberg, R.; Caddah, M.K.; Reginato, M. & Michelangi, F.","12168","2011","02","06",NA,"Brasil","Espírito Santo","São Roque do Canaã","Alto Misterioso.","-40.6568984985352","-19.738899230957",NA,NA,"800","800",NA,NA,"VIES032112","VIES032112","hispida","Schott ex Benth.","A.P. Chagas","2014","02","14641","auto",NA,NA,NA,NA,NA,NA,NA
