"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","continentOcean","verbatimLongitude","verbatimLatitude","preparationType","barcode","imagecode","dayIdentified","typeStatus","minimumElevationInMeters","maximumElevationInMeters","class"
"56","2019-09-24 10:52:24-03","EAO","IAN","99615","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Lauraceae",NA,NA,NA,NA,NA,NA,NA,"Fróes, RL","1957","08","28","Brasil","Minas Gerais","Coronel Fabriciano","Região do Rio Piracicaba. Mata virgem da Reserva Florestal do Estado.","-42.6288986206055","-19.5186004638672","21443",NA,NA,"auto","33386","Southern America",NA,NA,NA,"IAN099615",NA,NA,NA,NA,NA,NA
"57","2019-09-24 10:52:24-03","EAO","IAN","99624","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Lauraceae",NA,NA,NA,NA,NA,NA,NA,"Fróes, RL","1957","08","28","Brasil","Minas Gerais","Coronel Fabriciano","Região do Rio Piracicaba. Mata virgem de Reserva Florestal do Estado.","-42.6288986206055","-19.5186004638672","21443",NA,NA,"auto","33398","Southern America",NA,NA,NA,"IAN099624",NA,NA,NA,NA,NA,NA
"58","2019-09-24 11:01:53-03","EAO","IAN","99595","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Nyctaginaceae","Andradaea","floribunda","Andradaea floribunda","Allemao","Sá, CF de","1988","02","Fróes, RL","1957","08","28","Brasil","Minas Gerais","Coronel Fabriciano","Mata virgem da reserva florestal do estado.","-42.6288986206055","-19.5186004638672","21443",NA,"Árvore de 7m de altura.","auto","33364","Southern America",NA,NA,NA,"IAN099595",NA,NA,NA,NA,NA,NA
"59","2019-09-24 10:35:42-03","EAO","IAN","99634","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Annonaceae","Annona",NA,"Annona",NA,"Lopes, JC","2014","07","Fróes, RL","1957","08","28","Brasil","Minas Gerais","Coronel Fabriciano","Região do Rio Piracicaba.","-42.6288986206055","-19.5186004638672","21443",NA,"Árvore de 8m. de altura.","auto","33411","Southern America",NA,NA,NA,"IAN099634",NA,NA,NA,NA,NA,NA
"60","2019-09-24 10:36:55-03","EAO","IAN","99596","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Apocynaceae","Aspidosperma",NA,"Aspidosperma",NA,NA,NA,NA,"Fróes, RL","1957","08","28","Brasil","Minas Gerais","Coronel Fabriciano",NA,"-42.6288986206055","-19.5186004638672","21443",NA,NA,"auto","33365","Southern America",NA,NA,NA,"IAN099596",NA,NA,NA,NA,NA,NA
"61","2019-09-24 10:36:55-03","EAO","IAN","99621","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Apocynaceae","Aspidosperma",NA,"Aspidosperma",NA,NA,NA,NA,"Fróes, RL","1957","08","28","Brasil","Minas Gerais","Coronel Fabriciano","Regiao de Piracicaba.","-42.6288986206055","-19.5186004638672","21443",NA,NA,"auto","33394","Southern America",NA,NA,NA,"IAN099621",NA,NA,NA,NA,NA,NA
"62","2019-09-24 11:07:04-03","EAO","IAN","99591","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Solanaceae","Aureliana","fasciculata","Aureliana fasciculata","(Vell.) Sendtn.","Giacomin, LL","2011","07","Fróes, RL","1957","08","28","Brasil","Minas Gerais","Coronel Fabriciano","Rio Piracicaba.","-42.6288986206055","-19.5186004638672","21443",NA,"Planta herbácea, capoeira ao longo do rio.","auto","33359","Southern America",NA,NA,NA,"IAN099591",NA,NA,NA,NA,NA,NA
"63","2019-09-24 10:58:34-03","EAO","IAN","106783","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Malvaceae","Byttneria","catalpifolia","Byttneria catalpifolia","Jacq.",NA,NA,NA,"Magalhães, MG","1960","02","02","Brasil","Minas Gerais","Coronel Fabriciano","Mata, Rio Doce.","-42.6288986206055","-19.5186004638672","21443",NA,NA,"auto","17729","Southern America",NA,NA,NA,"IAN106783",NA,NA,NA,NA,NA,NA
"64","2019-09-24 10:58:34-03","EAO","IAN","107876","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Malvaceae","Byttneria","catalpifolia","Byttneria catalpifolia","Jacq.",NA,NA,NA,"Magalhães, MG","1960","02","02","Brasil","Minas Gerais","Coronel Fabriciano","Mata, Rio Doce.","-42.6288986206055","-19.5186004638672","21443",NA,NA,"auto","17729","Southern America",NA,NA,NA,"IAN107876",NA,NA,NA,NA,NA,NA
"65","2019-09-24 10:53:02-03","EAO","IAN","99603","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Lecythidaceae","Cariniana","estrellensis","Cariniana estrellensis","(Raddi) Kuntze",NA,NA,NA,"Fróes, RL","1957","08","28","Brasil","Minas Gerais","Coronel Fabriciano","Região do Rio Piracicaba.","-42.6288986206055","-19.5186004638672","21443",NA,"Árvore, 20m; mata virgem da Reserva Florestal do Estado.","auto","33373","Southern America",NA,NA,NA,"IAN099603",NA,NA,NA,NA,NA,NA
"66","2019-09-24 10:53:02-03","EAO","IAN","XILO","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Lecythidaceae","Cariniana","estrellensis","Cariniana estrellensis","(Raddi) Kuntze",NA,NA,NA,"Fróes, RL","1957","08","28","Brasil","Minas Gerais","Coronel Fabriciano","Região do Rio Piracicaba.","-42.6288986206055","-19.5186004638672","21443",NA,"Árvore, 20m; mata virgem da Reserva Florestal do Estado.","auto","33373","Southern America",NA,NA,NA,"IAN00XILO",NA,NA,NA,NA,NA,NA
"67","2019-09-24 10:53:02-03","EAO","IAN","99625","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Lecythidaceae","Cariniana","legalis","Cariniana legalis","(Mart.) Kuntze",NA,NA,NA,"Fróes, RL","1957","08","28","Brasil","Minas Gerais","Coronel Fabriciano","Região do Rio Piracicaba.","-42.6288986206055","-19.5186004638672","21443",NA,"Árvore de 7m, mata virgem da Reserva Florestal do Estado.","auto","33399","Southern America",NA,NA,NA,"IAN099625",NA,NA,NA,NA,NA,NA
"68","2019-09-24 10:53:02-03","EAO","IAN","XILO","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Lecythidaceae","Cariniana","legalis","Cariniana legalis","(Mart.) Kuntze",NA,NA,NA,"Fróes, RL","1957","08","28","Brasil","Minas Gerais","Coronel Fabriciano","Região do Rio Piracicaba.","-42.6288986206055","-19.5186004638672","21443",NA,"Árvore de 7m, mata virgem da Reserva Florestal do Estado.","auto","33399","Southern America",NA,NA,NA,"IAN00XILO",NA,NA,NA,NA,NA,NA
"69","2019-09-24 10:52:12-03","EAO","IAN","99640","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Icacinaceae","Casimirella",NA,"Casimirella",NA,"Nascimento, EAP","2017","01","Fróes, RL","1957","08","28","Brasil","Minas Gerais","Coronel Fabriciano","Região do Rio Piracicaba. Capoeira; Reserva Florestal do Estado.","-42.6288986206055","-19.5186004638672","21443",NA,"Cipó; raíz tuberosa.","auto","33417","Southern America",NA,NA,NA,"IAN099640",NA,"17",NA,NA,NA,NA
"70","2019-09-24 11:00:11-03","EAO","IAN","XILO","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Meliaceae","Cedrela",NA,"Cedrela",NA,NA,NA,NA,"Fróes, RL","1957","08","28","Brasil","Minas Gerais","Coronel Fabriciano","Região do Rio Piracicaba.","-42.6288986206055","-19.5186004638672","21443",NA,"Árvore, 10m; mata virgem da Reserva Florestal do Estado.","auto","33410","Southern America",NA,NA,NA,"IAN00XILO",NA,NA,NA,NA,NA,NA
"71","2019-09-24 11:00:11-03","EAO","IAN","99633","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Meliaceae","Cedrela",NA,"Cedrela",NA,NA,NA,NA,"Fróes, RL","1957","08","28","Brasil","Minas Gerais","Coronel Fabriciano","Região do Rio Piracicaba.","-42.6288986206055","-19.5186004638672","21443",NA,"Árvore, 10m; mata virgem da Reserva Florestal do Estado.","auto","33410","Southern America",NA,NA,NA,"IAN099633",NA,NA,NA,NA,NA,NA
"72","2019-09-24 10:56:32-03","EAO","IAN","99607","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Centrolobium","microchaete","Centrolobium microchaete","(Mart. ex Benth.) H.C.Lima","Lima, HC de","1985",NA,"Fróes, RL","1957","08","28","Brasil","Minas Gerais","Coronel Fabriciano","Região do Rio Piracicaba. Reserva Florestal do Estado.","-42.6288986206055","-19.5186004638672","21443",NA,"Árvore de 7 metros; mata secundária.","auto","33378","Southern America",NA,NA,NA,"IAN099607",NA,NA,"paratipo",NA,NA,NA
"73","2019-09-24 10:52:31-03","EAO","IAN","99592","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Lauraceae","Cryptocarya","mandioccana","Cryptocarya mandioccana","Meisn.","Moraes, PLR de","2004","01","Fróes, RL","1957","08","28","Brasil","Minas Gerais","Coronel Fabriciano","Rio Piracicaba.&nf;Mata virgem da Reserva Florestal do Estado.","-42.6288986206055","-19.5186004638672","21443",NA,"Árvore de 10 metros.","auto","33361","Southern America",NA,NA,NA,"IAN099592",NA,"09",NA,NA,NA,NA
"74","2019-09-24 10:52:31-03","EAO","IAN","99592","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Lauraceae","Cryptocarya","mandioccana","Cryptocarya mandioccana","Meisn.","Moraes, PLR de","2004","01","Fróes, RL","1957","08","28","Brasil","Minas Gerais","Coronel Fabriciano","Rio Piracicaba.&nf;Mata virgem da Reserva Florestal do Estado.","-42.6288986206055","-19.5186004638672","21443",NA,"Árvore de 10 metros.","auto","33361","Southern America",NA,NA,NA,"IAN099592",NA,"09",NA,NA,NA,NA
"75","2019-11-06 09:56:59-03","UFOP","OUPR","4250","PreservedSpecimen","Plantae",NA,NA,"Phyllanthaceae","Phyllanthus","tenellus","Phyllanthus tenellus","Roxb.","Martins, E.R.","2011","12","Lage, E.A.","1992","01","04","Brasil","Minas Gerais","Coronel Fabriciano",NA,"-42.6288986206055","-19.5186004638672","21443",NA,"Erva, flores amarelo-esverdeadas, usada para dissolver cálculos renais, diurética. Ruderal","auto","s.n.",NA,NA,NA,NA,NA,NA,"07",NA,NA,NA,NA
"76","2019-11-06 09:56:39-03","UFOP","OUPR",NA,"PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","uniflora","Eugenia uniflora","L.","Silva, J.L.","1995","03","Lage, E.A.","1992","01","03","Brasil","Minas Gerais","Coronel Fabriciano","Cultivada","-42.6288986206055","-19.5186004638672","21443",NA,"Árvore, flor branca","auto","s.n.",NA,NA,NA,NA,NA,NA,"30",NA,NA,NA,NA
"77","2019-11-05 16:45:09-03","UFOP","OUPR","4245","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Matricaria",NA,"Matricaria",NA,"Silva, J.L.","1995","03","Lage, E.A.","1992","01","03","Brasil","Minas Gerais","Coronel Fabriciano",NA,"-42.6288986206055","-19.5186004638672","21443",NA,"Cultivado. Erva. Antiespamático. Febrifugo. Flores amarelas","auto","s.n.",NA,NA,NA,NA,NA,NA,"30",NA,NA,NA,NA
"78","2019-10-02 15:06:32-03","UFMG","BHCB","52455","PreservedSpecimen","Plantae","Monocotyledon",NA,"Cyperaceae","Rhynchospora",NA,"Rhynchospora","Vahl",NA,NA,NA,"Costa, LV",NA,NA,NA,"Brasil","Minas Gerais","Coronel Fabriciano",NA,"-42.6288986206055","-19.5186004638672","21443",NA,NA,"auto","s.n.","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","2019-10-02 14:48:27-03","UFMG","BHCB","52452","PreservedSpecimen","Plantae","Dicotyledon",NA,"Annonaceae","Guatteria","pogonopus","Guatteria pogonopus","Mart.",NA,NA,NA,"Costa, LV",NA,NA,NA,"Brasil","Minas Gerais","Coronel Fabriciano",NA,"-42.6288986206055","-19.5186004638672","21443",NA,NA,"auto","s.n.","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","2019-10-02 15:06:02-03","UFMG","BHCB","58096","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Billbergia","horrida","Billbergia horrida",NA,NA,NA,NA,"Mendes Magalhães",NA,NA,NA,"Brasil","Minas Gerais","Coronel Fabriciano",NA,"-42.6288986206055","-19.5186004638672","21443",NA,NA,"auto","5839","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","2019-10-02 15:08:55-03","UFMG","BHCB","52456","PreservedSpecimen","Plantae","Monocotyledon",NA,"Velloziaceae","Vellozia","plicata","Vellozia plicata","(Mart.) L.B.Sm. & Ayensu",NA,NA,NA,"Costa, LV",NA,NA,NA,"Brasil","Minas Gerais","Coronel Fabriciano",NA,"-42.6288986206055","-19.5186004638672","21443",NA,NA,"auto","s.n.","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","2019-10-02 15:08:21-03","UFMG","BHCB","17454","PreservedSpecimen","Plantae","Monocotyledon",NA,"Poaceae","Gynerium","sagittatum","Gynerium sagittatum","(Aubl.) P.Beauv.",NA,NA,NA,"Heringer, EP","1974","10","10","Brasil","Minas Gerais","Coronel Fabriciano","Parque Estadual do Rio Doce.","-42.6288986206055","-19.5186004638672","21443",NA,NA,"auto","14037","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
