"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","continentOcean","verbatimLongitude","verbatimLatitude","preparationType","barcode","imagecode","dayIdentified","typeStatus","minimumElevationInMeters","maximumElevationInMeters","class"
"1","2019-06-10 10:10:40-03","FZB-BH","CVJBFZB","550","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","pineliana","Aechmea pineliana","(Brong. ex Planch.) Baker","Elton. C. M. Leme","2011","08","Elton M. C. Leme; Bruno Rezende Silva","2000","05","25","Brasil","Minas Gerais","Coronel Fabriciano","Mata remanescente ciliar","-42.6288986206055","-19.5186004638672","21443","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-16 17:48:40-03","NYBG","NYBG","00896718","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Leonurus",NA,"Leonurus",NA,"J. F. Pruski",NA,NA,"R. de Lemos Fróes","1957","08","28","Brazil","Minas Gerais","Coronel Fabriciano","Coronel Fabricianao, Rio Piracicaba.","-42.6289","-19.5186",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=967712 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"33357","South America","-42.6289","-19.5186","sheet","NY00896718","NY00896718",NA,NA,NA,NA,NA
"3","2019-11-04 10:44:33-03","UFRJ","RFA","6704","Preservedecimen","Plantae",NA,NA,"Bignoniaceae","Arrabidaea","agnus-castus","Arrabidaea agnus-castus","DC.","R.Laroche","1972","09","Mendes Magalhães","1960","02","02","Brasil","Minas Gerais","Coronel Fabriciano",NA,"-42.6288986206055","-19.5186004638672","21443",NA,"Trepadeira, flor violácea frequente.","auto","17601",NA,NA,NA,NA,"RFA26532",NA,"19",NA,NA,NA,NA
"4","2019-11-04 10:44:33-03","UFRJ","RFA","6679","Preservedecimen","Plantae",NA,NA,"Bignoniaceae","Arrabidaea","agnus-castus","Arrabidaea agnus-castus","DC.","R.Laroche","1972","09","Mendes Magalhães","1960","02","02","Brasil","Minas Gerais","Coronel Fabriciano",NA,"-42.6288986206055","-19.5186004638672","21443",NA,"Trepadeira de flor violácea frequente.","auto","17601",NA,NA,NA,NA,"RFA26518",NA,"19",NA,NA,NA,NA
"5","2019-09-24 10:49:25-03","EAO","IAN","106789","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Cucurbitaceae","Gurania","ovata","Gurania ovata","Cogn.","Klein, VLG","2016","08","Magalhães, MG","1960","02","02","Brasil","Minas Gerais","Coronel Fabriciano","Mata secular.","-42.6288986206055","-19.5186004638672","21443",NA,"Cipó. Flor alaranjada. Frequente.","auto","17734","Southern America",NA,NA,NA,"IAN106789",NA,"17",NA,NA,NA,NA
"6","2019-09-24 10:49:25-03","EAO","IAN","106788","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Cucurbitaceae","Gurania","ovata","Gurania ovata","Cogn.","Klein, VLG","2016","08","Magalhães, MG","1960","02","02","Brasil","Minas Gerais","Coronel Fabriciano","Mata secular.","-42.6288986206055","-19.5186004638672","21443",NA,"Cipó. Flor alaranjada. Frequente.","auto","17734","Southern America",NA,NA,NA,"IAN106788",NA,"17",NA,NA,NA,NA
"7","2019-09-24 10:34:07-03","EAO","IAN","99599","PreservedSpecimen","Plantae",NA,NA,"Indet.","Indet",NA,"Indet",NA,NA,NA,NA,"Fróes, RL","1957","09","28","Brasil","Minas Gerais","Coronel Fabriciano","Região do Rio Piracicaba.","-42.6288986206055","-19.5186004638672","21443",NA,"Árvore de 8m, mata virgem da reserva florestal do estado. Amostra de madeira.","auto","33369","Southern America",NA,NA,NA,"IAN099599",NA,NA,NA,NA,NA,NA
"8","2019-09-24 11:00:53-03","EAO","IAN","XILO3276","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Moraceae","Maclura","tinctoria","Maclura tinctoria","(L.) D.Don ex Steud.","Viana Filho, M","2007","11","Fróes, RL","1957","08","28","Brasil","Minas Gerais","Coronel Fabriciano","Mata virgem da Florestal Reserval do estado. Região do Rio Piracicaba.","-42.6288986206055","-19.5186004638672","21443",NA,"Árvore de 8m. de altura.","auto","33419","Southern America",NA,NA,NA,"IANXILO3276",NA,"26",NA,NA,NA,NA
"9","2019-09-24 11:05:12-03","EAO","IAN","99636","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Pilocarpus","integrifolia","Pilocarpus integrifolia",NA,NA,NA,NA,"Fróes, RL","1957","08","28","Brasil","Minas Gerais","Coronel Fabriciano","Região de Piracicaba. Mata virgem da reserva florestal do Estado.","-42.6288986206055","-19.5186004638672","21443",NA,"Árvore pequena.","auto","33413","Southern America",NA,NA,NA,"IAN099636",NA,NA,NA,NA,NA,NA
"10","2019-09-24 10:57:13-03","EAO","IAN","99632","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Platypodium","elegans","Platypodium elegans","Vogel",NA,NA,NA,"Fróes, RL","1957","08","28","Brasil","Minas Gerais","Coronel Fabriciano","Região do Rio Piracicaba. Mata virgem da Reserva Florestal do Estado.","-42.6288986206055","-19.5186004638672","21443",NA,"Árvore de 8m.","auto","33409","Southern America",NA,NA,NA,"IAN099632",NA,NA,NA,NA,NA,NA
"11","2019-09-24 10:58:55-03","EAO","IAN","99612","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Malvaceae","Quararibea","turbinata","Quararibea turbinata","(Sw.) Poir.","Kuhlmann, M","1959",NA,"Fróes, RL","1957","08","28","Brasil","Minas Gerais","Coronel Fabriciano","Região do Rio Piracicaba. Reserva Florestal do Estado.","-42.6288986206055","-19.5186004638672","21443",NA,"Árvore de 6 metros.","auto","33383","Southern America",NA,NA,NA,"IAN099612",NA,NA,NA,NA,NA,NA
"12","2019-09-24 11:07:21-03","EAO","IAN","107877","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Solanaceae","Solanum","warmingii","Solanum warmingii","Hiern","Giacomin, LL","2019","05","Magalhães, MG","1960","02","02","Brasil","Minas Gerais","Coronel Fabriciano","Rio Doce.","-42.6288986206055","-19.5186004638672","21443",NA,NA,"auto","17730","Southern America",NA,NA,NA,"IAN107877",NA,"07",NA,NA,NA,NA
"13","2019-09-24 11:00:20-03","EAO","IAN","XILO3069","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Meliaceae","Trichilia",NA,"Trichilia",NA,NA,NA,NA,"Fróes, RL","1957","08","28","Brasil","Minas Gerais","Coronel Fabriciano","Região do Rio Piracicaba.","-42.6288986206055","-19.5186004638672","21443",NA,"Árvore de 7m; mata virgem da Reserva Florestal do Estado.","auto","33405","Southern America",NA,NA,NA,"IANXILO3069",NA,NA,NA,NA,NA,NA
"14","2019-09-24 10:44:20-03","EAO","IAN","99598","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Vernonia","diffusa","Vernonia diffusa","Less.",NA,NA,NA,"Fróes, RL","1957","08","28","Brasil","Minas Gerais","Coronel Fabriciano","Mata da reserva Florestal do Estado. Beira de caminho.","-42.6288986206055","-19.5186004638672","21443",NA,"Árvore pequena.","auto","33367","Southern America",NA,NA,NA,"IAN099598",NA,NA,NA,NA,NA,NA
"15","2019-09-24 10:44:24-03","EAO","IAN","99645","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Vernonia","palustris","Vernonia palustris","Gardner","Barroso, GM",NA,NA,"Fróes, RL","1957","08","28","Brasil","Minas Gerais","Coronel Fabriciano","Região do Rio Piracicaba. Mata virgem da Reserva Florestal do Estado.","-42.6288986206055","-19.5186004638672","21443",NA,"Árvore de 8m de altura.","auto","33423","Southern America",NA,NA,NA,"IAN099645",NA,NA,NA,NA,NA,NA
"16","2019-09-24 11:11:13-03","EAO","IAN","99627","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Orchidaceae","Mesadenella","cuspidata","Mesadenella cuspidata","(Lindl.) Garay","Meneguzzo, TEC","2013","12","Fróes, RL","1957","08","28","Brasil","Minas Gerais","Coronel Fabriciano",NA,"-42.6288986206055","-19.5186004638672","21443",NA,"Planta herbácea, terrestre à sombra da mata da reserva Florestal do Estado.","auto","33401","Southern America",NA,NA,NA,"IAN099627",NA,NA,NA,NA,NA,NA
"17","2019-09-24 10:55:29-03","EAO","IAN","106787","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Caesalp.","Senegalia","martii","Senegalia martii","(Benth.) Seigler & Ebinger","Terra, V","2014","03","Magalhães, MG","1960","02","02","Brasil","Minas Gerais","Coronel Fabriciano","Acesita.","-42.6288986206055","-19.5186004638672","21443",NA,"Arvire 6-7,00m altura.","auto","17733","Southern America",NA,NA,NA,"IAN106787",NA,NA,NA,NA,NA,NA
"18","2019-09-24 10:49:25-03","EAO","IAN","107879","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Cucurbitaceae","Gurania","ovata","Gurania ovata","Cogn.","Klein, VLG","2016","08","Magalhães, MG","1960","02","02","Brasil","Minas Gerais","Coronel Fabriciano","Bacia Hidrográfica Rio Doce. Mata secular.","-42.6288986206055","-19.5186004638672","21443",NA,"Cipó frequente. Flor alaranjada.","auto","17734","Southern America",NA,NA,NA,"IAN107879",NA,"17",NA,NA,NA,NA
"19","2019-09-24 11:02:53-03","EAO","IAN","106785","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Piperaceae","Piper","glabrescens","Piper glabrescens","(Miq.) C.DC.","Callejas, R","1982","12","Magalhães, MG","1960","02","02","Brasil","Minas Gerais","Coronel Fabriciano","Clareira e margens da mata secular, Parque Florestal.","-42.6288986206055","-19.5186004638672","21443",NA,"Arbusto de 1-2,3m de altura.","auto","17731","Southern America",NA,NA,NA,"IAN106785",NA,NA,NA,NA,NA,NA
"20","2019-09-24 11:02:57-03","EAO","IAN","107875","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Piperaceae","Piper","vicosanum","Piper vicosanum","Yunck.","Guimarães, EF","2007","11","Magalhães, MG","1960","02","02","Brasil","Minas Gerais","Coronel Fabriciano","Mata margem do rio Doce.","-42.6288986206055","-19.5186004638672","21443",NA,"Arbusto de 2-2,50m de altura.","auto","17728","Southern America",NA,NA,NA,"IAN107875",NA,"26",NA,NA,NA,NA
"21","2019-09-24 11:02:57-03","EAO","IAN","106782","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Piperaceae","Piper","vicosanum","Piper vicosanum","Yunck.","Guimarães, EF","2007","11","Magalhães, MG","1960","02","02","Brasil","Minas Gerais","Coronel Fabriciano","Mata margem do rio Doce.","-42.6288986206055","-19.5186004638672","21443",NA,"Arbusto de 2-2,50m de altura.","auto","17728","Southern America",NA,NA,NA,"IAN106782",NA,"26",NA,NA,NA,NA
"22","2019-09-24 11:00:53-03","EAO","IAN","99641","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Moraceae","Maclura","tinctoria","Maclura tinctoria","(L.) D.Don ex Steud.","Viana Filho, M","2007","11","Fróes, RL","1957","08","28","Brasil","Minas Gerais","Coronel Fabriciano","Mata virgem da Florestal Reserval do estado. Região do Rio Piracicaba.","-42.6288986206055","-19.5186004638672","21443",NA,"Árvore de 8m. de altura.","auto","33419","Southern America",NA,NA,NA,"IAN099641",NA,"26",NA,NA,NA,NA
"23","2019-09-24 11:00:44-03","EAO","IAN","99647","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Moraceae","Clarisia","ilicifolia","Clarisia ilicifolia","(Spreng.) Lanj. & Rossberg","Oliveira, E","1971","09","Fróes, RL","1957","08","28","Brasil","Minas Gerais","Coronel Fabriciano","Mata virgem da Reserva Florestal do Estado. Região do Rio Piracicaba.","-42.6288986206055","-19.5186004638672","21443",NA,"Árvore de 5m. de altura.","auto","33426","Southern America",NA,NA,NA,"IAN099647",NA,NA,NA,NA,NA,NA
"24","2019-09-24 10:36:01-03","EAO","IAN","99594","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Annonaceae","Ephedranthus",NA,"Ephedranthus",NA,NA,NA,NA,"Fróes, RL","1957","08","28","Brasil","Minas Gerais","Coronel Fabriciano","Mata virgem da Reserva Florestal do Estado.","-42.6288986206055","-19.5186004638672","21443",NA,"Árvore de 7m. de altura.","auto","33363","Southern America",NA,NA,NA,"IAN099594",NA,NA,NA,NA,NA,NA
"25","2019-09-24 10:56:08-03","EAO","IAN","99610","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Detarioideae","Hymenaea","courbaril","Hymenaea courbaril","L.","Pinto, RB","2014","09","Fróes, RL","1957","08","28","Brasil","Minas Gerais","Coronel Fabriciano","Região de Piracicaba. Mata virgem da reserva florestal do Estado.","-42.6288986206055","-19.5186004638672","21443",NA,NA,"auto","33381","Southern America",NA,NA,NA,"IAN099610",NA,"23",NA,NA,NA,NA
"26","2019-09-24 10:58:46-03","EAO","IAN","99605","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Malvaceae","Luehea",NA,"Luehea",NA,NA,NA,NA,"Fróes, RL","1957","08","28","Brasil","Minas Gerais","Coronel Fabriciano","Região de Piracicaba. Mata virgem da Reserva Florestal do Estado.","-42.6288986206055","-19.5186004638672","21443",NA,"Árvore de 15m. de altura.","auto","33376","Southern America",NA,NA,NA,"IAN099605",NA,NA,NA,NA,NA,NA
"27","2019-09-24 10:55:22-03","EAO","IAN","99637","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Caesalp.","Piptadenia","gonoacantha","Piptadenia gonoacantha","(Mart.) J.F.Macbr.","Ribeiro, PG","2013","05","Fróes, RL","1957","08","28","Brasil","Minas Gerais","Coronel Fabriciano","Regiao do rio Piracicaba.","-42.6288986206055","-19.5186004638672","21443",NA,"Arvore, 30 metros; Reserva florestal do Estado.","auto","33414","Southern America",NA,NA,NA,"IAN099637",NA,"24",NA,NA,NA,NA
"28","2019-09-24 10:34:07-03","EAO","IAN","XILO3482","PreservedSpecimen","Plantae",NA,NA,"Indet.","Indet",NA,"Indet",NA,NA,NA,NA,"Fróes, RL","1957","09","28","Brasil","Minas Gerais","Coronel Fabriciano","Região do Rio Piracicaba.","-42.6288986206055","-19.5186004638672","21443",NA,"Árvore de 8m, mata virgem da reserva florestal do estado. Amostra de madeira.","auto","33369","Southern America",NA,NA,NA,"IANXILO3482",NA,NA,NA,NA,NA,NA
"29","2019-09-24 10:55:45-03","EAO","IAN","99622","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Caesalp.","Zygia","racemosa","Zygia racemosa","(Ducke) Barneby & J.W.Grimes","Lewis, GP","1998","08","Fróes, RL","1957","08","28","Brasil","Minas Gerais","Coronel Fabriciano","Regiao do rio Piracicaba.","-42.6288986206055","-19.5186004638672","21443",NA,"Arvore, 10 metros; mata vergem da Reserva Florestal do Estado.","auto","33396","Southern America",NA,NA,NA,"IAN099622",NA,"06",NA,NA,NA,NA
"30","2019-09-24 11:01:54-03","EAO","IAN","99643","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Nyctaginaceae","Bougainvillea",NA,"Bougainvillea",NA,NA,NA,NA,"Fróes, RL","1957","08","28","Brasil","Minas Gerais","Coronel Fabriciano","Região do rio Piracicaba.","-42.6288986206055","-19.5186004638672","21443",NA,"Planta grupante; capoeira da reserva florestal.","auto","33421","Southern America",NA,NA,NA,"IAN099643",NA,NA,NA,NA,NA,NA
"31","2019-09-24 11:00:20-03","EAO","IAN","XILO","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Meliaceae","Trichilia",NA,"Trichilia",NA,NA,NA,NA,"Fróes, RL","1957","08","28","Brasil","Minas Gerais","Coronel Fabriciano","Região do Rio Piracicaba.","-42.6288986206055","-19.5186004638672","21443",NA,"Árvore de 7m; mata virgem da Reserva Florestal do Estado.","auto","33405","Southern America",NA,NA,NA,"IAN00XILO",NA,NA,NA,NA,NA,NA
"32","2019-09-24 11:05:08-03","EAO","IAN","99618","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Esenbeckia",NA,"Esenbeckia",NA,NA,NA,NA,"Fróes, RL","1957","08","28","Brasil","Minas Gerais","Coronel Fabriciano","Região do Rio Piracicaba.","-42.6288986206055","-19.5186004638672","21443",NA,"Árvore de 7m de altura.","auto","33389","Southern America",NA,NA,NA,"IAN099618",NA,NA,NA,NA,NA,NA
"33","2019-09-24 11:01:39-03","EAO","IAN","99619","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Myrtaceae","Myrcia",NA,"Myrcia",NA,"Rosário, AS","2012","04","Fróes, RL","1957","08","28","Brasil","Minas Gerais","Coronel Fabriciano","Região do Rio Piracicaba.","-42.6288986206055","-19.5186004638672","21443",NA,"Árvore de 8m. de altura.","auto","33390","Southern America",NA,NA,NA,"IAN099619",NA,"02",NA,NA,NA,NA
"34","2019-09-24 11:00:20-03","EAO","IAN","99630","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Meliaceae","Trichilia",NA,"Trichilia",NA,NA,NA,NA,"Fróes, RL","1957","08","28","Brasil","Minas Gerais","Coronel Fabriciano","Região do Rio Piracicaba.","-42.6288986206055","-19.5186004638672","21443",NA,"Árvore de 7m; mata virgem da Reserva Florestal do Estado.","auto","33405","Southern America",NA,NA,NA,"IAN099630",NA,NA,NA,NA,NA,NA
"35","2019-09-24 10:54:31-03","EAO","IAN","99628","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Caesalp.","Caesalpinia","leiostachya","Caesalpinia leiostachya","(Benth.) Ducke",NA,NA,NA,"Fróes, RL","1957","08","28","Brasil","Minas Gerais","Coronel Fabriciano","Região do Rio Piracicaba.","-42.6288986206055","-19.5186004638672","21443",NA,"Árvore de 7m, mata secundária da Reserva Florestal do Estado.","auto","33402","Southern America",NA,NA,NA,"IAN099628",NA,NA,NA,NA,NA,NA
"36","2019-09-24 10:59:03-03","EAO","IAN","99597","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Malvaceae","Sterculia",NA,"Sterculia",NA,NA,NA,NA,"Fróes, RL","1957","08","28","Brasil","Minas Gerais","Coronel Fabriciano","Região do Rio Piracicaba. Mata da reserva florestal do Estado.","-42.6288986206055","-19.5186004638672","21443",NA,NA,"auto","33366","Southern America",NA,NA,NA,"IAN099597",NA,NA,NA,NA,NA,NA
"37","2019-09-24 10:56:19-03","EAO","IAN","99631","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Dialioideae","Apuleia","praecox","Apuleia praecox","Mart.",NA,NA,NA,"Fróes, RL","1957","08","28","Brasil","Minas Gerais","Coronel Fabriciano","Região do Rio Piracicaba. Mata secundária da Reserva Florestal do Estado.","-42.6288986206055","-19.5186004638672","21443",NA,NA,"auto","33406","Southern America",NA,NA,NA,"IAN099631",NA,NA,NA,NA,NA,NA
"38","2019-09-24 11:00:44-03","EAO","IAN","99646","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Moraceae","Dorstenia","arifolia","Dorstenia arifolia","Lam.","Carauta, JPP","1978","10","Fróes, RL","1957","08","28","Brasil","Minas Gerais","Coronel Fabriciano","Região do Rio Piracicaba. Mata secundária da Reserva Florestal do Estado.","-42.6288986206055","-19.5186004638672","21443",NA,"Árvore.","auto","33425","Southern America",NA,NA,NA,"IAN099646",NA,NA,NA,NA,NA,NA
"39","2019-09-24 11:02:43-03","EAO","IAN","99635","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Phytolaccaceae","Gallesia","integrifolia","Gallesia integrifolia","(Spreng.) Harms",NA,NA,NA,"Fróes, RL","1957","08","28","Brasil","Minas Gerais","Coronel Fabriciano","Região do rio Piracicaba. Mata virgem da reserva florestal do estado.","-42.6288986206055","-19.5186004638672","21443",NA,"Árvore de 10m de altura.","auto","33412","Southern America",NA,NA,NA,"IAN099635",NA,NA,NA,NA,NA,NA
"40","2019-09-24 10:42:45-03","EAO","IAN","99623","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Araliaceae","Schefflera",NA,"Schefflera",NA,"Fiaschi","2008","08","Fróes, RL","1957","08","28","Brasil","Minas Gerais","Coronel Fabriciano","Região do Rio Piracicaba. Mata virgem da Reserva Florestal do Estado.","-42.6288986206055","-19.5186004638672","21443",NA,"Árvore de 6m de altura.","auto","33397","Southern America",NA,NA,NA,"IAN099623",NA,"12",NA,NA,NA,NA
"41","2019-09-24 11:00:58-03","EAO","IAN","99639","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Moraceae","Pourouma","guianensis","Pourouma guianensis","Aubl.","Romaniuc Neto, S","1996","04","Fróes, RL","1957","08","28","Brasil","Minas Gerais","Coronel Fabriciano","Região do Rio Piracicaba. Mata virgem da Reserva Florestal do Estado.","-42.6288986206055","-19.5186004638672","21443",NA,"Árvore de 10m. de altura.","auto","33416","Southern America",NA,NA,NA,"IAN099639",NA,NA,NA,NA,NA,NA
"42","2019-09-24 10:57:15-03","EAO","IAN","99616","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Pterocarpus",NA,"Pterocarpus",NA,NA,NA,NA,"Fróes, RL","1957","08","28","Brasil","Minas Gerais","Coronel Fabriciano","Região do Rio Piracicaba. Mata virgem da reserva Florestal do estado.","-42.6288986206055","-19.5186004638672","21443",NA,"Árvore de 3 m.","auto","33387","Southern America",NA,NA,NA,"IAN099616",NA,NA,NA,NA,NA,NA
"43","2019-09-24 10:56:32-03","EAO","IAN","99629","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Centrolobium",NA,"Centrolobium",NA,NA,NA,NA,"Fróes, RL","1957","08","28","Brasil","Minas Gerais","Coronel Fabriciano","Região do Rio Piracicaba. Mata virgem da Reserva Florestal do Estado.","-42.6288986206055","-19.5186004638672","21443",NA,"Árvore de 8 metros.","auto","33404","Southern America",NA,NA,NA,"IAN099629",NA,NA,NA,NA,NA,NA
"44","2019-09-24 10:42:38-03","EAO","IAN","99626","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Apocynaceae","Tabernaemontana",NA,"Tabernaemontana",NA,NA,NA,NA,"Fróes, RL","1957","08","28","Brasil","Minas Gerais","Coronel Fabriciano","Região do Rio Piracicaba, Município de Coronel Fabriciano (área da Empresa belgo-Mineira).","-42.6288986206055","-19.5186004638672","21443",NA,NA,"auto","33400","Southern America",NA,NA,NA,"IAN099626",NA,NA,NA,NA,NA,NA
