"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode"
"1","2019-12-06 15:15:31-03","MBM","MBM","420689","S","Plantae","Poaceae","Steinchisma","laxum","Steinchisma laxum","(Sw.) Zuloaga","Mazziero, F.F.F.","2019","02","01","Mazziero, F.F.F.; Bonin Junior, P.; Bonin Junior, P.","4171","2019","01","24","Southern America","Brazil","Minas Gerais","Bugre","-42.355278","-19.307778","-42.355278","-19.307778","205","205","MBM420689"
"2","2019-12-06 15:17:08-03","MBM","MBM","420993","S","Plantae","Pteridaceae","Adiantum","latifolium","Adiantum latifolium","Lam.","Mazziero, F.F.F.","2019","02","01","Mazziero, F.F.F.; Bonin Junior, P.; Bonin Junior, P.","4170","2019","01","24","Southern America","Brazil","Minas Gerais","Bugre","-42.355278","-19.307778","-42.355278","-19.307778","205","205","MBM420993"
"3","2019-12-06 15:11:18-03","MBM","MBM","421142","S","Plantae","Orchidaceae","Cycnoches","pentadactylum","Cycnoches pentadactylum","Lindl.","Mazziero, F.F.F.","2019","02","01","Mazziero, F.F.F.; Bonin Junior, P.; Bonin Junior, P.","4173","2019","01","24","Southern America","Brazil","Minas Gerais","Bugre","-42.355278","-19.307778","-42.355278","-19.307778","69","69","MBM421142"
