"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","class","infraspecificEpithet","relatedCatalogItem"
"54","2019-11-13 11:27:50-03","USP","SPF","68440","PreservedSpecimen","Plantae",NA,NA,"Oxalidaceae","Oxalis","cytisoides","Oxalis cytisoides","Mart. ex Zucc.","Pirani, JR","1990","Leoni, LS","s.n.","1989","04","02",NA,"Brasil","Minas Gerais","Divino",NA,"-42.1486015319824","-20.6144008636475",NA,NA,NA,NA,NA,NA,"SPF00068440",NA,"21327","auto",NA,NA,NA,NA,NA
"55","2020-03-19 10:51:31-03","UEFS","HUEFS","241164","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Caesalpinioideae","Chamaecrista","desvauxii","Chamaecrista desvauxii var. latistipula","(Benth.) G.P.Lewis",NA,NA,"Snak, C.","1108","2014","02","15",NA,"Brasil","Minas Gerais","Divino","MG-265 de Carangola para Caratinga.",NA,"-20.616667","42W11'126''","20S37'","714","714",NA,NA,"HUEFS0241164","HUEFS0241164",NA,NA,NA,NA,"Rosanae","var. latistipula",NA
"56","2020-03-19 10:55:09-03","UEFS","HUEFS","205987","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Papilionoideae","Dioclea","violacea","Dioclea violacea","Mart. ex Benth.",NA,NA,"Snak, C.","1106","2014","02","15",NA,"Brasil","Minas Gerais","Divino","MG-265 de Carangola para Caratinga.","-42.11","-20.661389","42W6'36''","20S39'41''",NA,NA,NA,NA,"HUEFS0205987",NA,NA,NA,NA,NA,"Rosanae",NA,NA
"57","2020-03-19 10:52:49-03","UEFS","HUEFS","205988","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Caesalpinioideae (Mimosoide)","Inga",NA,"Inga",NA,NA,NA,"Snak, C.","1107","2014","02","15",NA,"Brasil","Minas Gerais","Divino","MG-265 de Carangola para Caratinga.","-42.11","-20.661389","42W6'36''","20S39'41''",NA,NA,NA,NA,"HUEFS0205988","HUEFS0205988",NA,NA,NA,NA,"Rosanae",NA,NA
"58","2019-11-06 16:08:55-03","IAC","IAC","29346","S","Plantae",NA,NA,"Solanaceae","Solanum","mauritianum","Solanum mauritianum","Scop.","J.R. Stehmann & L.L. Giacomin","2011","L.S. Leoni","1834","1992","05","01",NA,"Brasil","Minas Gerais","Divino","Fazenda Fortaleza","-42.1486","-20.6144","-42.1486","-20.6144",NA,NA,NA,NA,NA,NA,NA,NA,"09","01",NA,NA,NA
"59","2019-01-25 15:47:16-02","IAC","IAC","29362","S","Plantae",NA,NA,"Solanaceae","Solanum","paniculatum","Solanum paniculatum","L.","L.S. Leoni","1992","L.S. Leoni","1835","1992","05","01",NA,"Brasil","Minas Gerais","Divino","Fazenda Fortaleza","-42.1500001","-20.5666667","-42.1500001","-20.5666667",NA,NA,NA,"Coordenadas do material: 20°34#?#S 42°09#?#W",NA,NA,NA,NA,"05","01",NA,NA,NA
"60","2018-12-03 11:05:18-02","CEPLAC","CEPEC","60831","S","Plantae",NA,NA,"Asclepiadaceae","Ditassa","mucronata","Ditassa mucronata",NA,"J. Fontella",NA,"L. S. Leoni","1798","1992","03","11",NA,"Brasil","Minas Gerais","divino","Fazenda Rochedo.","-42.1486015319824","-20.6144008636475",NA,NA,NA,NA,NA,NA,NA,NA,"21327","auto",NA,NA,NA,NA,"30/10/1993"
"61","2019-11-07 11:19:31-03","UFMG","BHCB-SL","125254","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Adiantum","pulverulentum","Adiantum pulverulentum","L.","Almeida, TE","2008","Kamino, LHY; Maielo, LS","1108","2008","09","02","América","Brasil","Minas Gerais","Divino das Laranjeiras","Mata Pedro Pitol.","-41.47575","-18.807906","-41.47575","-18.807906","200","200",NA,"Terrestre",NA,NA,NA,NA,"10",NA,NA,NA,NA
"62","2019-11-07 11:21:33-03","UFMG","BHCB-SL","125253","PreservedSpecimen","Plantae",NA,NA,"Thelypteridaceae","Macrothelypteris","torresiana","Macrothelypteris torresiana","(Gaudich.) Ching","Almeida, TE","2008","Kamino, LYH; Maielo, LS","1107","2008","09","02","América","Brasil","Minas Gerais","Divino das Laranjeiras","Mata Pedro Pitol","-41.47575","-18.807906","-41.47575","-18.807906","200","200",NA,NA,NA,NA,NA,NA,"10",NA,NA,NA,NA
"63","2017-01-18 16:21:58-02","UnB","UB","128142","S","Plantae","Dicotyledoneae",NA,"Fabaceae","Senna","macranthera","Senna macranthera","(DC. ex Collad.) H.S.Irwin & Barneby","Harley, RM","1970","Eiten, G","10897","1970","03","10","Southern America","Brasil","Minas Gerais","Divino","Along Rio-Salvador highway","-42.1486015319824","-20.6144008636475",NA,NA,NA,NA,NA,"Petals golden-yellow.; Shrub 2m.",NA,NA,"21327","auto",NA,NA,NA,NA,NA
"64","2016-09-19 16:15:25-03","UnB","UB","156564","S","Plantae","Dicotyledoneae",NA,"Piperaceae","Peperomia","rubricaulis","Peperomia rubricaulis","(Nees) A. Dietr.","Leoni, LS; Guimarães, E","1990","Leoni, LS; Lourenço, F","284","1988","06","21","Southern America","Brasil","Minas Gerais","Divino","Fazenda Fortaleza","-42.1486015319824","-20.6144008636475",NA,NA,NA,NA,NA,"Epífita, herbácea, prostrada, quase pendente; desenvolve sobre árvores de grande porte; Mata de encosta",NA,NA,"21327","auto","12","11",NA,NA,NA
"65","2017-01-18 16:21:58-02","UnB","UB","128162","S","Plantae","Dicotyledoneae",NA,"Fabaceae","Senna","macranthera","Senna macranthera","(DC. ex Collad.) H.S.Irwin & Barneby","Harley, RM","1976","Incógnito","10897","1970","03","10","Southern America","Brasil","Minas Gerais","Divino","On rio-Salvador highway 16,4km N of boundary between municípios of Divino & Caracópolis","-42.1486015319824","-20.6144008636475",NA,NA,NA,NA,NA,"Petals golden-yellow.; Shrub 2m.",NA,NA,"21327","auto",NA,NA,NA,NA,NA
"66","2019-09-30 11:26:45-03","IF","SPSF","16898","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Colubrina","glandulosa","Colubrina glandulosa var. reitzii",NA,NA,NA,"L.S.Leoni","1829","1992","05","01","América do Sul","Brasil","MG","Divino","fazenda Fortaleza","-42.1486015319824","-20.6144008636475",NA,NA,NA,NA,NA,"COLETA: XLS: SPSFAntigo; GEOGRAFIA: area perturbada&nf;;",NA,NA,"21327","auto",NA,NA,"Magnoliopsida","var. reitzii",NA
"67","2019-09-30 11:27:16-03","IF","SPSF","39267","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Guarea","guidonia","Guarea guidonia","(L.) Sleumer","J.A.Pastore","2008","E.J.Lucas & F.F.Mazine","677","2006","11","24","América do Sul","Brasil","MG","Divino","fazenda Fortaleza","-42.132778","-20.529722",NA,NA,"730","730",NA,"COLETA: Floresta Ombrófila Densa&nf;Arvore 8m, frutos maduros pálido-alaranjados;",NA,NA,NA,NA,"03","04","Magnoliopsida",NA,NA
"68","2019-11-21 10:14:08-03","IBt","SP","245792","S","Plantae",NA,NA,"Phyllanthaceae","Phyllanthus","niruri","Phyllanthus niruri","L.","Webster, GL","1992","Leoni, LS","733","1989","04","02",NA,"Brasil","Minas Gerais","Divino","Córrego São Pedro. Terreno plano, pouco arenoso, ao lado do córrego.","-42.1486015319824","-20.6144008636475",NA,NA,"700","700",NA,"Herbácea",NA,NA,"21327","auto","08","20",NA,NA,NA
"69","2019-11-21 10:04:26-03","IBt","SP","258792","S","Plantae",NA,NA,"Euphorbiaceae","Manihot","tripartita","Manihot tripartita","(Spreng.) Müll.Arg.","Cordeiro, I",NA,"Leoni, LS; Chautems, A","2072","1993","02","06",NA,"Brasil","Minas Gerais","Divino","Fazenda do Rochedo.&nf;Escarpa rochosa.","-42.1486015319824","-20.6144008636475",NA,NA,"1000","1000",NA,"Subarbusto",NA,NA,"21327","auto",NA,NA,NA,NA,NA
"70","2019-11-21 10:08:58-03","IBt","SP","366649","S","Plantae",NA,NA,"Malpighiaceae","Heteropterys","umbellata","Heteropterys umbellata","A.Juss.","Mamede, MCH","2004","Leoni, LS; Chautems, A","2074","1993","02","06",NA,"Brasil","Minas Gerais","Divino","Fazenda dos Rochedos","-42.1486015319824","-20.6144008636475",NA,NA,NA,NA,NA,NA,"SP019238",NA,"21327","auto","03",NA,NA,NA,NA
"71","2019-11-21 10:06:33-03","IBt","SP","129482","S","Plantae",NA,NA,"Fabaceae","Senna","macranthera","Senna macranthera macranthera","(DC. ex Collad.) H.S.Irwin & Barneby","Irwin, HS; Barneby, RC","1982","Eiten, G; Eiten, LT","10897","1970","03","10",NA,"Brasil","Minas Gerais","Divino","On Rio-Salvador highway 16,4 km N of boundary between Munic. of Divina & Caracópolis, 1,2 km S of turnoff to Orizânia","-42.1486015319824","-20.6144008636475",NA,NA,NA,NA,NA,NA,NA,NA,"21327","auto",NA,NA,NA,"macranthera",NA
