"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","class","infraspecificEpithet","relatedCatalogItem"
"13","2020-03-10 08:26:39-03","UFV","VIC","21590","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Alternanthera","dentata","Alternanthera dentata","(Moench) Stuchlik ex RE Fr..","Pellucci, C.B.M.","2006","Pellucci, C.B.M.; et al.","119","2008","03","04",NA,"Brasil","Minas Gerais","Divino","SAF do Alexandre","-42.1486015319824","-20.6144008636475",NA,NA,NA,NA,NA,"Planta herbácea, com aproximadamente 30 cm de altura, flores pequenas brancas.","VIC021590","VIC021590","21327","auto","03","16",NA,NA,NA
"14","2020-03-10 08:26:39-03","UFV","VIC","21589","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Alternanthera","dentata","Alternanthera dentata","(Moench) Stuchlik ex RE Fr..","Pellucci, C.B.M.","2006","Pellucci, C.B.M.; et al.","32","2008","03","04",NA,"Brasil","Minas Gerais","Divino","SAF do Romualdo","-42.1486015319824","-20.6144008636475",NA,NA,NA,NA,NA,"Planta herbácea com aproximadamente 30 cm de altura, flores pequenas brancas.","VIC021589","VIC021589","21327","auto","03","13",NA,NA,NA
"15","2020-03-10 08:29:17-03","UFV","VIC","36537","PreservedSpecimen","Plantae",NA,NA,"Mimosoideae","Inga","edulis","Inga edulis","(Vell.) Mart.","Fernandes, J.M.","2006","Fernandes, J.M.; Siqueira, L.C. de","215","2006","03","16",NA,"Brasil","Minas Gerais","Divino","Sistema Agroflorestal do Alexandre","-42.1486015319824","-20.6144008636475",NA,NA,NA,NA,NA,"Árvore 3m alt., estames brancos.","VIC036537",NA,"21327","auto","03","16",NA,NA,NA
"16","2020-03-10 08:28:42-03","UFV","VIC","37228","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Vitex","megapotamica","Vitex megapotamica","(Spreng.) Moldenke","Siqueira, L.C. de","2007","Siqueira, L.C. de; et al.","113","2006","03","16",NA,"Brasil","Minas Gerais","Divino","Sistema Agroflorestal do Sr. Alexandre.","-42.1486015319824","-20.6144008636475",NA,NA,NA,NA,NA,NA,"VIC037228","VIC037228","21327","auto","05","18",NA,NA,NA
"17","2020-03-10 08:29:08-03","UFV","VIC","37233","PreservedSpecimen","Plantae",NA,NA,"Meliaceae","Cabralea","canjerana","Cabralea canjerana","(Vell.) Mart.","Siqueira, L.C. de","2007","Siqueira, L.C. de; et al.","129","2005","12","16",NA,"Brasil","Minas Gerais","Divino","Sistema Agroflorestal do Sr. Alexandre.","-42.1486015319824","-20.6144008636475",NA,NA,NA,NA,NA,"Árvore, c.a. de 10 metros de altura. Presença de frutos vermelhos, quando maduros.","VIC037233","VIC037233","21327","auto","05","18",NA,NA,NA
"18","2019-11-21 14:38:54-03","UFJF","CESJ","54289","PreservedSpecimen","Plantae","Angiosperma",NA,"Malvaceae","Luehea","grandiflora","Luehea grandiflora","Mart. & Zucc.","M.S. Ferrucci","1995","G. Hatschbach","47823","1984","04","12","América do Sul","Brasil","Minas Gerais","Divino","BR-116","-42.1486015319824","-20.6144008636475",NA,NA,NA,NA,NA,"Pequena árvore de flores alvas. Na mata remanescente da encosta de morro.","CESJ054289",NA,"21327","auto",NA,NA,NA,NA,NA
"19","2019-11-21 14:38:54-03","UFJF","CESJ","54289","PreservedSpecimen","Plantae","Angiosperma",NA,"Malvaceae","Luehea","grandiflora","Luehea grandiflora","Mart. & Zucc.","M.R.M. Silva","2012","G. Hatschbach","47823","1984","04","12","América do Sul","Brasil","Minas Gerais","Divino","BR-116","-42.1486015319824","-20.6144008636475",NA,NA,NA,NA,NA,"Pequena árvore de flores alvas. Na mata remanescente da encosta de morro.","CESJ054289",NA,"21327","auto","03",NA,NA,NA,NA
"20","2019-11-21 14:47:47-03","UFJF","CESJ","25665","PreservedSpecimen","Plantae","Angiosperma",NA,"Verbenaceae","Lippia","brasiliensis","Lippia brasiliensis","(Link.) T.R.S. Silva",NA,"2006","L.S. Leoni","737","1989","04","02","América do Sul","Brasil","Minas Gerais","Divino","Fazenda Barra de São Pedro, Córrego São Pedro.","-42.1486015319824","-20.6144008636475",NA,NA,"700","700",NA,"Subarbusto, ereto, ca.1,4m alt. Corola de cor branca; Desenvolve-se no interior da mata tipo encosta.","CESJ025665",NA,"21327","auto","07",NA,NA,NA,NA
"21","2019-10-14 11:12:01-03","UCS","HUCS","16801","PreservedSpecimen","Plantae","Angiospermae","Malvales","Malvaceae","Luehea","grandiflora","Luehea grandiflora","Mart.","Ferrucci, M.S.","1995","Hatschbach, G.","47283","1984","04","12",NA,"Brasil","Minas Gerais","Divino","Rod. BR 116","-42.1486015319824","-20.6144008636475",NA,NA,NA,NA,NA,"Herbário MBM; mata remanescente da enconsta do morro",NA,NA,"21327","auto",NA,NA,NA,NA,NA
"22","2019-07-17 14:39:02-03","UFRRJ","RBR","8485","S","Plantae",NA,NA,"Myrtaceae","Myrcia","cymosa","Myrcia cymosa","Nied.","Barroso, GM","1993","Leoni, LS","2083","1993","02","06",NA,"Brasil","Minas Gerais","Divino","Fazenda Fortaleza, Área perturbada, floresta pluvial tropical - 700m/m.s. , cresce ao lado da trilha.","-42.1486015319824","-20.6144008636475",NA,NA,NA,NA,NA,NA,"RBR00008485","RBR00008485 RBR00008485_1","21327","auto","05",NA,NA,NA,NA
"23","2019-12-06 14:48:23-03","MBM","MBM","413270","S","Plantae",NA,NA,"Fabaceae","Inga",NA,"Inga",NA,NA,NA,"Snak, C.; Silva, C.; Leoni, L.; Silva, C.; Leoni, L.","1107","2014","02","15","Southern America","Brazil","Minas Gerais","Divino","MG - 265 de Carangola para Caratinga.","-42.11","-20.661389","-42.11","-20.661389",NA,NA,NA,NA,"MBM413270","MBM413270",NA,NA,NA,NA,NA,NA,NA
"24","2019-12-06 15:03:15-03","MBM","MBM","89618","S","Plantae",NA,NA,"Malvaceae","Luehea","grandiflora","Luehea grandiflora","Mart. & Zucc.","Ferrucci, M.S.",NA,"Hatschbach, G.","47823",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Divino","Rod. BR-116","-42.1486015319824","-20.6144008636475",NA,NA,NA,NA,NA,NA,"MBM089618","MBM089618","21327","auto",NA,NA,NA,NA,NA
"25","2019-12-06 15:03:53-03","MBM","MBM","89618","S","Plantae",NA,NA,"Malvaceae","Waltheria","ferruginea","Waltheria ferruginea","A. St.-Hil.","Ferrucci, M.S.",NA,"Hatschbach, G.","47823",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Divino","Rod. BR-116","-42.1486015319824","-20.6144008636475",NA,NA,NA,NA,NA,NA,"MBM089618","MBM089618","21327","auto",NA,NA,NA,NA,NA
"26","2019-12-06 14:47:56-03","MBM","MBM","413271","S","Plantae",NA,NA,"Fabaceae","Dioclea","violacea","Dioclea violacea","Mart. ex Benth.","Queiroz, L.P.",NA,"Snak, C.; Silva, C.; Leoni, L.; Silva, C.; Leoni, L.","1106","2014","02","15","Southern America","Brazil","Minas Gerais","Divino","MG - 265 de Carangola para Caratinga.","-42.11","-20.661389","-42.11","-20.661389",NA,NA,NA,NA,"MBM413271","MBM413271",NA,NA,NA,NA,NA,NA,NA
"27","2019-10-02 15:04:00-03","UFMG","BHCB","19589","PreservedSpecimen","Plantae","Dicotyledon",NA,"Solanaceae","Solanum",NA,"Solanum","L.",NA,NA,"Leoni, LS","s.n.","1992","05","01","Southern America","Brasil","Minas Gerais","Divino","Fazenda Fortaleza","-42.15","-20.566667","-42.15","-20.566667","700","700",NA,"Subarbusto, ereto. ~ 1,5m. Flores lilás.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2019-10-02 15:04:22-03","UFMG","BHCB","19589","PreservedSpecimen","Plantae","Dicotyledon",NA,"Solanaceae","Solanum","mauritianum","Solanum mauritianum","Scop.",NA,NA,"Leoni, LS","s.n.","1992","05","01","Southern America","Brasil","Minas Gerais","Divino","Fazenda Fortaleza","-42.15","-20.566667","-42.15","-20.566667","700","700",NA,"Subarbusto, ereto, com aproximadamente 1,5 m de altura; corola com pétalos de cor lilás. Cresce ao lado do caminho no interior da fazenda, em meio a pastagem.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2019-10-02 15:04:24-03","UFMG","BHCB","19588","PreservedSpecimen","Plantae","Dicotyledon",NA,"Solanaceae","Solanum","paniculatum","Solanum paniculatum","L.",NA,NA,"Leoni, LS","s.n.","1992","05","01","Southern America","Brasil","Minas Gerais","Divino","Fazenda Fortaleza","-42.15","-20.566667","-42.15","-20.566667","700","700",NA,"Subarbusto ereto ~ 2,5m. Cresce ao lado do caminho próx ao curral; flores Lilás.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2019-10-02 14:56:24-03","UFMG","BHCB","61734","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malvaceae","Luehea","grandiflora","Luehea grandiflora","Mart. & Zucc.",NA,NA,NA,"s.n.",NA,NA,NA,"Southern America","Brasil","Minas Gerais","Divino",NA,"-42.1486015319824","-20.6144008636475",NA,NA,NA,NA,NA,NA,NA,NA,"21327","auto",NA,NA,NA,NA,NA
"31","2019-05-02 10:53:06-03","IBt","SP-BRYOPHYTA","172470","S","Plantae",NA,NA,"Erpodiaceae","Erpodium","glazioui","Erpodium glazioui","Hampe",NA,NA,"Yano, O.; Santos, D.P.; Pirani, J.R.","4975","1982","11","24","Southern America","BRASIL","Minas Gerais","Divino",NA,"-42.648611","-20.614444","-42.648611","-20.614444","660","660",NA,"sobre tronco vivo de Ficus elastica","SP080077",NA,NA,NA,NA,NA,NA,NA,NA
"32","2019-05-02 10:55:41-03","IBt","SP-BRYOPHYTA","172468","S","Plantae",NA,NA,"Sematophyllaceae","Pterogonidium","sp.","Pterogonidium sp.",NA,NA,NA,"Yano, O.; Santos, D.P.; Pirani, J.R.","4973","1982","11","24","Southern America","BRASIL","Minas Gerais","Divino",NA,"-42.648611","-20.614444","-42.648611","-20.614444","660","660",NA,"sobre tronco vivo de Ficus elastica","SP080075",NA,NA,NA,NA,NA,NA,NA,NA
"33","2019-05-02 10:53:38-03","IBt","SP-BRYOPHYTA","172467","S","Plantae",NA,NA,"Helicophyllaceae","Helicophyllum","torquatum","Helicophyllum torquatum","(Hook.) Brid.",NA,NA,"Yano, O.; Santos, D.P.; Pirani, J.R.","4970","1982","11","24","Southern America","BRASIL","Minas Gerais","Divino",NA,"-42.648611","-20.614444","-42.648611","-20.614444","660","660",NA,"sobre tronco vivo de Ficus elastica","SP080074",NA,NA,NA,NA,NA,NA,NA,NA
"34","2019-05-02 10:53:06-03","IBt","SP-BRYOPHYTA","172469","S","Plantae",NA,NA,"Erpodiaceae","Erpodium","glazioui","Erpodium glazioui","Hampe",NA,NA,"Yano, O.; Santos, D.P.; Pirani, J.R.","4974","1982","11","24","Southern America","BRASIL","Minas Gerais","Divino",NA,"-42.648611","-20.614444","-42.648611","-20.614444","660","660",NA,"sobre tronco vivo de Ficus elastica","SP080076",NA,NA,NA,NA,NA,NA,NA,NA
"35","2019-05-02 10:53:38-03","IBt","SP-BRYOPHYTA","172466","S","Plantae",NA,NA,"Helicophyllaceae","Helicophyllum","torquatum","Helicophyllum torquatum","(Hook.) Brid.","Yano, O.",NA,"Yano, O.; Santos, D.P.; Pirani, J.R.","4968","1982","11","24","Southern America","BRASIL","Minas Gerais","Divino","estrda para a cidade","-42.648611","-20.614444","-42.648611","-20.614444","660","660",NA,"sobre tronco de árvore viva","SP080073",NA,NA,NA,NA,NA,NA,NA,NA
"36","2019-05-02 10:54:03-03","IBt","SP-BRYOPHYTA","180992","S","Plantae",NA,NA,"Lejeuneaceae","Indeterminado",NA,"Indeterminado",NA,NA,NA,"Yano, O.; Santos, D.P.; Pirani, J.R.","4971","1982","11","24","Southern America","BRASIL","Minas Gerais","Divino","Praça Principal","-42.648611","-20.614444","-42.648611","-20.614444","660","660",NA,"Sobre tronco vivo de Ficus elastica","SP082374",NA,NA,NA,NA,NA,NA,NA,NA
"37","2019-05-02 10:54:03-03","IBt","SP-BRYOPHYTA","180991","S","Plantae",NA,NA,"Lejeuneaceae","Indeterminado",NA,"Indeterminado",NA,NA,NA,"Yano, O.; Santos, D.P.; Pirani, J.R.","4969","1982","11","24","Southern America","BRASIL","Minas Gerais","Divino","Praça Principal","-42.648611","-20.614444","-42.648611","-20.614444","660","660",NA,"Sobre tronco vivo de Ficus elastica","SP082373",NA,NA,NA,NA,NA,NA,NA,NA
"38","2019-05-02 10:54:03-03","IBt","SP-BRYOPHYTA","180994","S","Plantae",NA,NA,"Lejeuneaceae","Indeterminado",NA,"Indeterminado",NA,NA,NA,"Yano, O.; Santos, D.P.; Pirani, J.R.","4976","1982","11","24","Southern America","BRASIL","Minas Gerais","Divino","Praça Principal","-42.648611","-20.614444","-42.648611","-20.614444","660","660",NA,"Sobre tronco vivo de Ficus elastica","SP082376",NA,NA,NA,NA,NA,NA,NA,NA
"39","2019-05-02 10:54:03-03","IBt","SP-BRYOPHYTA","180993","S","Plantae",NA,NA,"Lejeuneaceae","Indeterminado",NA,"Indeterminado",NA,NA,NA,"Yano, O.; Santos, D.P.; Pirani, J.R.","4972","1982","11","24","Southern America","BRASIL","Minas Gerais","Divino","Praça Principal","-42.648611","-20.614444","-42.648611","-20.614444","660","660",NA,"Sobre tronco vivo de Ficus elastica","SP082375",NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-02-18 15:44:04-03","UFRB","HURB","12163","PreservedSpecimen","Plantae",NA,NA,"Commelinaceae","Tradescantia","fluminensis","Tradescantia fluminensis","Vell.","L.Y.S.Aona","2005","Leoni, L.S.; Chautins, A.","2091","1993","02","07",NA,"Brasil","Minas Gerais","Divino","Barra de São Pedro;","-42.1486015319824","-20.6144008636475",NA,NA,"700","700",NA,NA,"HURB000012163",NA,"21327","auto","02",NA,NA,NA,NA
"41","2020-02-18 15:44:04-03","UFRB","HURB","12180","PreservedSpecimen","Plantae",NA,NA,"Commelinaceae","Tradescantia","fluminensis","Tradescantia fluminensis","Vell.","L.Y.S.Aona","2016","Leoni, L.S.; Chautins, A.","2091","1993","02","07",NA,"Brasil","Minas Gerais","Divino","Córrego do Rio São Pedro;","-42.1486015319824","-20.6144008636475",NA,NA,"700","700",NA,NA,"HURB000012180",NA,"21327","auto","04",NA,NA,NA,NA
"42","2019-06-10 10:10:55-03","FZB-BH","BHZB","1511","S","Plantae",NA,NA,"Lamiaceae","Leonurus","japonicus","Leonurus japonicus",NA,"R, Harley","2015","Soares, M.E. & Costa, E.P.",NA,"1992","08","19",NA,"Brasil","MG","Divino de São Lourenço","Patrimônio de Penha Divino",NA,NA,NA,NA,NA,NA,NA,"Indicado para pressão alta (decocto), derrame(sumo - quatro colheres mais azeite). Entrevistado: Sr. Mateus. Doação: Fundação Biodiversitas nº 607.Anteriormente L. sibirucus L.Grandi, T.S.M. <ll>dwc_commonname:</ll> Macaé",NA,NA,NA,NA,"02","10",NA,NA,NA
"43","2019-12-09 17:29:50-03","UFPR","EFC","15311","PreservedSpecimen","Plantae",NA,NA,"Erythroxylaceae","Erythroxylum",NA,"Erythroxylum",NA,NA,NA,"Bizarro, O.M.R.; Blasi, D.V.","153","2015","12","29",NA,"Brasil","Minas Gerais","São José do Divino","Pedra Riscada","-41.328006","-18.367073","-41.328006","-18.367073","850","850",NA,"Árvore 4m alt., frutos carnosos vermelhos, isolada na beira do abismo, via Bodífera Ilha.","EFC015311",NA,NA,NA,NA,NA,NA,NA,NA
"44","2019-12-09 17:29:21-03","UFPR","EFC","15307","PreservedSpecimen","Plantae",NA,NA,"Asteraceae",NA,NA,NA,NA,NA,NA,"Bizarro, O.M.R.; Blasi, D.V.","149","2015","12","29",NA,"Brasil","Minas Gerais","São José do Divino","Pedra Riscada","-41.326751","-18.368692","-41.326751","-18.368692","750","750",NA,"Árvore 3m alt., flores brancas, isolada sobre a rocha na 4º cordada da via Bodífera Ilha.","EFC015307",NA,NA,NA,NA,NA,NA,NA,NA
"45","2019-12-09 17:30:13-03","UFPR","EFC","15315","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae",NA,NA,NA,NA,NA,NA,"Bizarro, O.M.R.; Blasi, D.V.","157","2015","12","29",NA,"Brasil","Minas Gerais","São José do Divino","Pedra Riscada","-41.334171","-18.3623","-41.334171","-18.362300","1300","1300",NA,"Árvore 6m alt., frutos cor verde, floresta do cume no fim da via Bodífera Ilha.","EFC015315",NA,NA,NA,NA,NA,NA,NA,NA
"46","2019-12-09 17:30:58-03","UFPR","EFC","15313","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Brunfelsia",NA,"Brunfelsia",NA,NA,NA,"Bizarro, O.M.R.; Blasi, D.V.","155","2015","12","29",NA,"Brasil","Minas Gerais","São José do Divino","Pedra Riscada","-41.329666","-18.361933","-41.329666","-18.361933","1000","1000",NA,"Herbácea 1m alt., flores alva/roxa, floresta próximo ao bivaque na via Bodífera Ilha.","EFC015313",NA,NA,NA,NA,NA,NA,NA,NA
"47","2019-12-09 17:30:26-03","UFPR","EFC","15317","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","venulosa","Myrcia venulosa","DC.","Lima, D.F.","2018","Bizarro, O.M.R.; Blasi, D.V.","159","2015","12","29",NA,"Brasil","Minas Gerais","São José do Divino","Pedra Riscada","-41.334171","-18.3623","-41.334171","-18.362300","1300","1300",NA,"Árvore 4m alt., botões ferrugíneos, floresta do cume no fim da via Bodífera Ilha.","EFC015317",NA,NA,NA,"07","12",NA,NA,NA
"48","2019-12-09 17:30:51-03","UFPR","EFC","15316","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Palicourea",NA,"Palicourea",NA,NA,NA,"Bizarro, O.M.R.; Blasi, D.V.","158","2015","12","29",NA,"Brasil","Minas Gerais","São José do Divino","Pedra Riscada","-41.334171","-18.3623","-41.334171","-18.362300","1300","1300",NA,"Herbácea 1m alt., flores vermelhas/amarelas, floresta do cume no fim da via Bodífera Ilha.","EFC015316",NA,NA,NA,NA,NA,NA,NA,NA
"49","2019-12-09 17:30:45-03","UFPR","EFC","15314","PreservedSpecimen","Plantae",NA,NA,"Proteaceae","Roupala","montana","Roupala montana","Aubl.","Bizarro, O.M.R.","2016","Bizarro, O.M.R.; Blasi, D.V.","156","2015","12","29",NA,"Brasil","Minas Gerais","São José do Divino","Pedra Riscada","-41.334171","-18.3623","-41.334171","-18.362300","1300","1300",NA,"Árvore 4m alt., frutos cor marrom, floresta do cume no fim da via Bodífera Ilha.","EFC015314",NA,NA,NA,"12","22",NA,NA,NA
"50","2019-12-09 17:29:36-03","UFPR","EFC","15309","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Tillandsia","stricta","Tillandsia stricta","Sol.","Cruz, K.B.","2019","Bizarro, O.M.R.; Blasi, D.V.","151","2015","12","29",NA,"Brasil","Minas Gerais","São José do Divino","Pedra Riscada","-41.327213","-18.368084","-41.327213","-18.368084","800","800",NA,"Rupícola, flores de cor rosa/roxo, floresta ao longo da via Bodífera Ilha.","EFC015309",NA,NA,NA,"05","21",NA,NA,NA
"51","2019-12-09 17:31:04-03","UFPR","EFC","15308","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Vellozia",NA,"Vellozia",NA,NA,NA,"Bizarro, O.M.R.; Blasi, D.V.","150","2015","12","29",NA,"Brasil","Minas Gerais","São José do Divino","Pedra Riscada","-41.326751","-18.368692","-41.326751","-18.368692","750","750",NA,"Árbusto 0,5m alt., frutos creme, isolada sobre a rocha na 4º cordada da via Bodífera Ilha.","EFC015308",NA,NA,NA,NA,NA,NA,NA,NA
"52","2019-12-09 17:30:05-03","UFPR","EFC","15310","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Vitex","tour.","Vitex tour.","ex L.",NA,NA,"Bizarro, O.M.R.; Blasi, D.V.","152","2015","12","29",NA,"Brasil","Minas Gerais","São José do Divino","Pedra Riscada","-41.327213","-18.368084","-41.327213","-18.368084","800","800",NA,"Árvore 4m alt., flores verdes, floresta ao longo da via Bodífera Ilha.","EFC015310",NA,NA,NA,NA,NA,NA,NA,NA
"53","2019-12-09 17:30:53-03","UFPR","EFC","15312","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Zanthoxylum","rhoifolium","Zanthoxylum rhoifolium","Lam.","Bizarro, O.M.R.","2016","Bizarro, O.M.R.; Blasi, D.V.","154","2015","12","29",NA,"Brasil","Minas Gerais","São José do Divino","Pedra Riscada","-41.329666","-18.361933","-41.329666","-18.361933","1000","1000",NA,"Árvore 8m alt., flores de cor branca/creme, floresta próximo ao bivaque na via Bodífera Ilha.","EFC015312",NA,NA,NA,"12","22",NA,NA,NA
