"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","scientificNameAuthorship","year","month","day","continentOcean","locality","verbatimLongitude","verbatimLatitude","preparationType","barcode","imagecode","dayIdentified","class","typeStatus","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","relatedCatalogItem"
"20","2019-08-27 13:29:07-03","IAP","PACA-AGP","69173","PreservedSpecimen","Plantae","Magnoliophyta","Euphorbiales","Euphorbiaceae","Mabea","fistulifera","Mabea fistulifera","G. Hatschbach","1987",NA,"Hatschbach, G.","51308","Brasil","MG","Manhuaçú","-42.0335998535156","-20.2581005096436","32626",NA,"pequena arvore, latex alvo Habitat: capoeira Fenofase: fi","auto","Mart.","1987","08","19",NA,"Rod. BR 262",NA,NA,NA,"PACA069173",NA,NA,"Magnoliatae",NA,NA,NA,NA,NA
"21","2019-11-21 14:40:03-03","UFJF","CESJ","18203","PreservedSpecimen","Plantae","Angiosperma",NA,"Myrtaceae","Eucalyptus",NA,"Eucalyptus",NA,NA,NA,"M.G.Pinto","18203","Brasil","Minas Gerais","Manhuaçu","-42.0335998535156","-20.2581005096436","32626",NA,"árvore robusta, flor amarela clara quando seca, soltando lâminas","auto",NA,"1981","05","12","América do Sul",NA,NA,NA,NA,"CESJ018203",NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-11-21 14:40:03-03","UFJF","CESJ","18202","PreservedSpecimen","Plantae","Angiosperma",NA,"Myrtaceae","Eucalyptus",NA,"Eucalyptus",NA,NA,NA,"M.G.Pinto","18202","Brasil","Minas Gerais","Manhuaçu","-42.0335998535156","-20.2581005096436","32626",NA,"árvore jovem iniciando floração","auto",NA,"1981","05","12","América do Sul",NA,NA,NA,NA,"CESJ018202",NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-11-21 14:38:42-03","UFJF","CESJ","67645","PreservedSpecimen","Plantae","Angiosperma",NA,"Malpighiaceae","Lophopterys","floribunda","Lophopterys floribunda",NA,NA,NA,"G. Hatschbach; O. Guimarães","46868","Brasil","Minas Gerais","Manhuaçu","-42.0335998535156","-20.2581005096436","32626",NA,"Volúvel, flor amarela; orma de mata.","auto","W.R.Anderson & C. Davis","1983","10","15","América do Sul","arredores.",NA,NA,NA,"CESJ067645","CESJ067645",NA,NA,"Isotypus",NA,NA,NA,NA
"24","2019-08-20 10:25:05-03","UNICAMP","UEC","42035","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Psychotria","spathicalyx","Psychotria spathicalyx","Kirkbride Jr, JH","1982",NA,"Heringer, EP","18155","Brazil","Minas Gerais","Manhuaçu","-42.0335998535156","-20.2581005096436","32626",NA,"Arbusto.; Mata de encosta de montanha.","auto","Müll.Arg.","1981","05","01",NA,NA,NA,NA,NA,"UEC120924","UEC120924",NA,NA,NA,NA,NA,NA,NA
"25","2019-08-20 10:14:41-03","UNICAMP","UEC","42104","S","Plantae","Magnoliopsida",NA,"Fabaceae","Piptadenia","micracantha","Piptadenia micracantha","Ribeiro, PG","2016","09","Heringer, EP","18173","Brazil","Minas Gerais","Manhuaçu","-42.0335998535156","-20.2581005096436","32626",NA,"Trepadeira volúvel, aculeada; flor rósea.","auto","Benth.","1981","04","27",NA,NA,NA,NA,NA,"UEC127621",NA,"19",NA,NA,NA,NA,NA,NA
"26","2019-08-20 10:25:52-03","UNICAMP","UEC","42059","S","Plantae","Magnoliopsida",NA,"Sapindaceae","Paullinia","carpopoda","Paullinia carpopoda","Somner, GV",NA,NA,"Heringer, EP","18167","Brazil","Minas Gerais","Manhuaçu","-42.0335998535156","-20.2581005096436","32626",NA,"Trepadeira, sobre árvore. Flores alvas.","auto","Cambess.","1981","04","27",NA,NA,NA,NA,NA,"UEC049972",NA,NA,NA,NA,NA,NA,NA,NA
"27","2019-08-20 10:17:40-03","UNICAMP","UEC","42040","S","Plantae","Magnoliopsida",NA,"Malpighiaceae","Stigmaphyllon",NA,"Stigmaphyllon",NA,NA,NA,"Heringer, EP","18174","Brazil","Minas Gerais","Manhuaçu","-42.0335998535156","-20.2581005096436","32626",NA,"Flor, Cipó com flores amarelas, ramos rufos. Sobre arbusto de 4m.","auto","A.Juss.","1981","04","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2019-08-20 10:12:58-03","UNICAMP","UEC","7814","S","Plantae","Magnoliopsida",NA,"Fabaceae","Crotalaria","incana","Crotalaria incana","Filliettaz, AM","1997","02","Shepherd, GJ; Semir, J; Andrade, JB; Leite, V","5820","Brazil","Minas Gerais","Manhuaçu","-42.0335998535156","-20.2581005096436","32626",NA,"fruto, Subarbusto de 40 cm, flores amarelas.","auto","L.","1977","09","07",NA,"Estrada entre Manhuaçú e Vitória, km 213",NA,NA,NA,"UEC151873","UEC151873",NA,NA,NA,NA,NA,NA,NA
"29","2020-02-10 17:54:16-03","UNICAMP","UEC","10626","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Marcetia","taxifolia","Marcetia taxifolia","Martins, AB","1990","02","Shepherd, GJ; Semir, J; Andrade, JB; Leite, V","5818","Brazil","Minas Gerais","Manhuaçu","-42.0335998535156","-20.2581005096436","32626",NA,"Subarbusto de 50cm; flores brancas com filetes avermelhados; Beira de estrada","auto","(A.St.-Hil.) A.DC.","1977","09","07",NA,"Estrada entre Manhuaçú e Vitória, Km 213",NA,NA,NA,"UEC080566","UEC080566",NA,NA,NA,"600","600",NA,NA
