"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","identifiedBy","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","continentOcean","phylum","preparationType","individualCount"
"11","2019-11-26 13:10:39-03","UTFPR","HCF","29836","S","Plantae","Malvaceae","Urena","lobata","Urena lobata","L.","F. Marinero","966","2018","10","17","Brasil","MG","Santa Cruz do Escalvado",NA,"-42.826111","-20.177222",NA,"arbusto 70 cm. Flores lilases. Frutos esverdeados. Várzea.",NA,NA,"F. Marinero",NA,"2019","01","30","42°49'34 W","20°10'38 S","280","280",NA,NA,NA,NA
"12","2019-12-05 18:44:19-03","UTFPR","HCF","30026","S","Plantae","Poaceae","Urochloa","arrecta","Urochloa arrecta","(Hack. ex T.Durand & Schinz) Morrone & Zuloaga","F. Marinero","955","2018","10","15","Brasil","MG","Santa Cruz do Escalvado","Rio Doce","-42.8725","-20.236944",NA,"herbácea 90 cm. espiguetas esverdeadas. Várzea.",NA,NA,"F. Marinero",NA,"2018","10","29","42°52'21 W","20°14'13 S","344","344",NA,NA,NA,NA
"13","2019-12-01 11:41:39-03","UTFPR","HCF","29961","S","Plantae","Fabaceae","Vachellia","farnesiana","Vachellia farnesiana","(L.) Wight & Arn.","F. Marinero","965","2018","10","17","Brasil","MG","Santa Cruz do Escalvado",NA,"-42.826111","-20.177222",NA,"arbusto 1,3 m. Flores amarelas. Frutos verdes. Várzea.",NA,NA,"F. Marinero",NA,"2019","04","05","42°49'34 W","20°10'38 S","280","280",NA,NA,NA,NA
"14","2019-12-06 14:56:19-03","MBM","MBM","418716","S","Plantae","Lamiaceae","Hyptis","lappulacea","Hyptis lappulacea","Mart. ex Benth.","Marinero, F.; Nardin, E.C.; Nardin, E.C.","974","2018","10","17","Brazil","Minas Gerais","Santa Cruz do Escalvado",NA,"-42.826111","-20.177222",NA,NA,"MBM418716",NA,"Marinero, F.",NA,"2019","02","24","-42.826111","-20.177222","280","280","Southern America",NA,NA,NA
"15","2019-12-06 14:48:31-03","MBM","MBM","421423","S","Plantae","Fabaceae","Inga","sessilis","Inga sessilis","(Vell.) Mart.","Felitto, G.; Cafofo, E.; Cafofo, E.","s.n.","2018","09","01","Brazil","Minas Gerais","Santa Cruz do Escalvado","Rio Piranga","-42.9125","-20.275556",NA,NA,"MBM421423",NA,"Felitto, G.",NA,NA,NA,NA,"-42.9125","-20.275556","348","348","Southern America",NA,NA,NA
"16","2019-12-06 14:40:15-03","MBM","MBM","418695","S","Plantae","Convolvulaceae","Ipomoea","cairica","Ipomoea cairica","(L.) Sweet","Marinero, F.; Nardin, E.C.; Nardin, E.C.","953","2018","10","15","Brazil","Minas Gerais","Santa Cruz do Escalvado","Rio Doce","-42.8725","-20.236944",NA,NA,"MBM418695",NA,"Marinero, F.",NA,"2019","03","22","-42.8725","-20.236944","344","344","Southern America",NA,NA,NA
"17","2019-12-06 14:40:19-03","MBM","MBM","418677","S","Plantae","Convolvulaceae","Ipomoea","quamoclit","Ipomoea quamoclit","L.","Marinero, F.; Nardin, E.C.; Nardin, E.C.","935","2018","10","14","Brazil","Minas Gerais","Santa Cruz do Escalvado","Rio Doce","-42.918333","-20.269444",NA,NA,"MBM418677",NA,"Marinero, F.",NA,"2019","03","22","-42.918333","-20.269444","370","370","Southern America",NA,NA,NA
"18","2019-12-06 14:35:45-03","MBM","MBM","418687","S","Plantae","Bignoniaceae","Jacaranda","mimosifolia","Jacaranda mimosifolia","D. Don","Marinero, F.; Nardin, E.C.; Nardin, E.C.","945","2018","10","15","Brazil","Minas Gerais","Santa Cruz do Escalvado","Rodovia BR-120, Rio Doce","-42.883611","-20.251667",NA,NA,"MBM418687",NA,"Marinero, F.; Nardin, E.C.",NA,"2018","10","15","-42.883611","-20.251667","350","350","Southern America",NA,NA,NA
"19","2019-12-06 14:56:34-03","MBM","MBM","418704","S","Plantae","Lamiaceae","Leonurus","sibiricus","Leonurus sibiricus","L.","Marinero, F.; Nardin, E.C.; Nardin, E.C.","962","2018","10","17","Brazil","Minas Gerais","Santa Cruz do Escalvado",NA,"-42.826111","-20.177222",NA,NA,"MBM418704",NA,"Marinero, F.",NA,"2019","02","04","-42.826111","-20.177222","280","280","Southern America",NA,NA,NA
"20","2019-12-06 15:10:59-03","MBM","MBM","418693","S","Plantae","Onagraceae","Ludwigia","leptocarpa","Ludwigia leptocarpa","(Nutt.) H. Hara","Marinero, F.; Nardin, E.C.; Nardin, E.C.","951","2018","10","15","Brazil","Minas Gerais","Santa Cruz do Escalvado","Rio Doce","-42.8725","-20.236944",NA,NA,"MBM418693",NA,"Marinero, F.",NA,"2019","03","29","-42.8725","-20.236944","344","344","Southern America",NA,NA,NA
"21","2019-12-06 15:11:03-03","MBM","MBM","423107","S","Plantae","Onagraceae","Ludwigia","peploides","Ludwigia peploides","(Kunth) Raven","Felitto, G.; Cafofo, E.; Cafofo, E.","s.n.","2018","10","06","Brazil","Minas Gerais","Santa Cruz do Escalvado",NA,"-42.916389","-20.284167",NA,NA,"MBM423107",NA,"Felitto, G.",NA,"2019",NA,NA,"-42.916389","-20.284167","356","356","Southern America",NA,NA,NA
"22","2019-12-06 14:56:34-03","MBM","MBM","421422","S","Plantae","Lamiaceae","Marsypianthes","chamaedrys","Marsypianthes chamaedrys","(Vahl) Kuntze","Marinero, F.; Nardin, E.C.; Nardin, E.C.","801","2018","10","16","Brazil","Minas Gerais","Santa Cruz do Escalvado",NA,"-42.798889","-20.137778",NA,NA,"MBM421422",NA,"Marinero, F.",NA,"2019","02","04","-42.798889","-20.137778","278","278","Southern America",NA,NA,NA
"23","2019-12-06 15:13:43-03","MBM","MBM","421433","S","Plantae","Plantaginaceae","Mecardonia","procumbens","Mecardonia procumbens","(Mill.) Small","Felitto, G.; Cafofo, E.; Cafofo, E.","s.n.","2018","09","01","Brazil","Minas Gerais","Santa Cruz do Escalvado",NA,"-42.894167","-20.260278",NA,NA,"MBM421433",NA,"Felitto, G.",NA,NA,NA,NA,"-42.894167","-20.260278","335","335","Southern America",NA,NA,NA
"24","2019-12-06 14:56:37-03","MBM","MBM","418675","S","Plantae","Lamiaceae","Mesosphaerum","suaveolens","Mesosphaerum suaveolens","(L.) Kuntze","Marinero, F.; Nardin, E.C.; Nardin, E.C.","933","2018","10","14","Brazil","Minas Gerais","Santa Cruz do Escalvado","Beira de Estrada","-42.918333","-20.269444",NA,NA,"MBM418675",NA,"Marinero, F.",NA,"2019","02","04","-42.918333","-20.269444","370","370","Southern America",NA,NA,NA
"25","2019-12-06 14:56:37-03","MBM","MBM","418678","S","Plantae","Lamiaceae","Mesosphaerum","suaveolens","Mesosphaerum suaveolens","(L.) Kuntze","Marinero, F.; Nardin, E.C.; Nardin, E.C.","936","2018","10","14","Brazil","Minas Gerais","Santa Cruz do Escalvado","Beira de Estrada","-42.918333","-20.269444",NA,NA,"MBM418678",NA,"Marinero, F.",NA,"2019","02","04","-42.918333","-20.269444","370","370","Southern America",NA,NA,NA
"26","2019-12-06 14:49:34-03","MBM","MBM","418690","S","Plantae","Fabaceae","Mimosa","polydactyla","Mimosa polydactyla","Humb. & Bonpl. ex Willd.","Marinero, F.; Nardin, E.C.; Nardin, E.C.","948","2018","10","15","Brazil","Minas Gerais","Santa Cruz do Escalvado","Rio Doce","-42.8725","-20.236944",NA,NA,"MBM418690",NA,"Marinero, F.",NA,"2019","04","04","-42.8725","-20.236944","344","344","Southern America",NA,NA,NA
"27","2019-12-06 14:49:51-03","MBM","MBM","421424","S","Plantae","Fabaceae","Neonotonia","wightii","Neonotonia wightii","(Arnott) Lackey","Felitto, G.; Cafofo, E.; Cafofo, E.","s.n.","2018","09","01","Brazil","Minas Gerais","Santa Cruz do Escalvado","Rio Piranga","-42.9125","-20.275556",NA,NA,"MBM421424",NA,"Felitto, G.",NA,NA,NA,NA,"-42.9125","-20.275556","348","348","Southern America",NA,NA,NA
"28","2019-12-06 14:33:37-03","MBM","MBM","421375","S","Plantae","Asteraceae","Pluchea","sagittalis","Pluchea sagittalis","(Lam.) Cabrera","Cafofo, E.; Felitto, G.; Felitto, G.","72","2018","09","01","Brazil","Minas Gerais","Santa Cruz do Escalvado",NA,"-42.886111","-20.244444",NA,NA,"MBM421375",NA,NA,NA,NA,NA,NA,"-42.886111","-20.244444","333","333","Southern America",NA,NA,NA
"29","2019-12-06 15:16:03-03","MBM","MBM","421384","S","Plantae","Polygonaceae","Polygonum","ferrugineum","Polygonum ferrugineum","Wedd.","Cafofo, E.; Felitto, G.; Felitto, G.","475","2018","09","01","Brazil","Minas Gerais","Santa Cruz do Escalvado","Rio Piranga","-42.9125","-20.275556",NA,NA,"MBM421384",NA,"Cafofo, E.",NA,NA,NA,NA,"-42.9125","-20.275556","348","348","Southern America",NA,NA,NA
"30","2019-12-06 15:16:03-03","MBM","MBM","421430","S","Plantae","Polygonaceae","Polygonum","hydropiperoides","Polygonum hydropiperoides","Michx.","Felitto, G.; Cafofo, E.; Cafofo, E.","s.n.","2018","09","01","Brazil","Minas Gerais","Santa Cruz do Escalvado",NA,"-42.894167","-20.260278",NA,NA,"MBM421430",NA,"Felitto, G.",NA,NA,NA,NA,"-42.894167","-20.260278","336","336","Southern America",NA,NA,NA
"31","2019-12-06 15:16:06-03","MBM","MBM","418712","S","Plantae","Polygonaceae","Polygonum","punctatum","Polygonum punctatum","Elliott","Marinero, F.; Nardin, E.C.; Nardin, E.C.","970","2018","10","17","Brazil","Minas Gerais","Santa Cruz do Escalvado",NA,"-42.826111","-20.177222",NA,NA,"MBM418712",NA,"Marinero, F.",NA,"2019","04","05","-42.826111","-20.177222","280","280","Southern America",NA,NA,NA
"32","2019-12-06 14:33:40-03","MBM","MBM","418683","S","Plantae","Asteraceae","Porophyllum","ruderale","Porophyllum ruderale","Cass.","Marinero, F.; Nardin, E.C.; Nardin, E.C.","941","2018","10","14","Brazil","Minas Gerais","Santa Cruz do Escalvado","Beira de Estrada","-42.901667","-20.26",NA,NA,"MBM418683",NA,"Marinero, F.",NA,"2018","11","06","-42.901667","-20.26","360","360","Southern America",NA,NA,NA
"33","2019-12-06 14:33:40-03","MBM","MBM","418543","S","Plantae","Asteraceae","Praxelis","diffusa","Praxelis diffusa","(Rich.) Pruski","Felitto, G.; Bonin Junior, P.; Bonin Junior, P.","s.n.","2018","09","30","Brazil","Minas Gerais","Santa Cruz do Escalvado",NA,"-42.894167","-20.26",NA,NA,"MBM418543",NA,"Ariati, V.",NA,"2019",NA,NA,"-42.894167","-20.26","341","341","Southern America",NA,NA,NA
"34","2019-12-06 15:10:20-03","MBM","MBM","418682","S","Plantae","Myrtaceae","Psidium","guajava","Psidium guajava","L.","Marinero, F.; Nardin, E.C.; Nardin, E.C.","940","2018","10","14","Brazil","Minas Gerais","Santa Cruz do Escalvado","Beira de Estrada","-42.901667","-20.26",NA,NA,"MBM418682",NA,"Marinero, F.",NA,"2018","12","30","-42.901667","-20.26","360","360","Southern America",NA,NA,NA
"35","2019-12-06 15:19:24-03","MBM","MBM","418688","S","Plantae","Rubiaceae","Richardia","brasiliensis","Richardia brasiliensis","Gomes","Marinero, F.; Nardin, E.C.; Nardin, E.C.","946","2018","10","15","Brazil","Minas Gerais","Santa Cruz do Escalvado","Rodovia BR-120, Rio Doce","-42.883611","-20.251667",NA,NA,"MBM418688",NA,"Marinero, F.",NA,"2019","01","24","-42.883611","-20.251667","350","350","Southern America",NA,NA,NA
"36","2019-12-06 15:15:31-03","MBM","MBM","418679","S","Plantae","Poaceae","Sporobolus","indicus","Sporobolus indicus","(L.) R. Br.","Marinero, F.; Nardin, E.C.; Nardin, E.C.","937","2018","10","14","Brazil","Minas Gerais","Santa Cruz do Escalvado","Rio Doce","-42.918333","-20.269444",NA,NA,"MBM418679",NA,"Marinero, F.",NA,"2018","10","30","-42.918333","-20.269444","370","370","Southern America",NA,NA,NA
"37","2019-12-06 15:13:46-03","MBM","MBM","418769","S","Plantae","Plantaginaceae","Stemodia","durantifolia","Stemodia durantifolia","(L.) Swartz","Felitto, G.; Cafofo, E.; Cafofo, E.","s.n.","2018","10","11","Brazil","Minas Gerais","Santa Cruz do Escalvado","Rio Doce","-42.9125","-20.275722",NA,NA,"MBM418769",NA,"Marinero, F.",NA,"2019","04","12","-42.9125","-20.275722","275","275","Southern America",NA,NA,NA
"38","2019-12-06 14:39:22-03","MBM","MBM","418710","S","Plantae","Cleomaceae","Tarenaya","parviflora","Tarenaya parviflora","(Kunth) Iltis","Marinero, F.; Nardin, E.C.; Nardin, E.C.","968","2018","10","17","Brazil","Minas Gerais","Santa Cruz do Escalvado",NA,"-42.826111","-20.177222",NA,NA,"MBM418710",NA,"Marinero, F.",NA,"2019","04","02","-42.826111","-20.177222","280","280","Southern America",NA,NA,NA
"39","2019-12-06 14:38:07-03","MBM","MBM","418709","S","Plantae","Cannabaceae","Trema","micrantha","Trema micrantha","(L.) Blume","Marinero, F.; Nardin, E.C.; Nardin, E.C.","967","2018","10","17","Brazil","Minas Gerais","Santa Cruz do Escalvado",NA,"-42.826111","-20.177222",NA,NA,"MBM418709",NA,"Marinero, F.",NA,"2019","04","05","-42.826111","-20.177222","280","280","Southern America",NA,NA,NA
"40","2019-12-06 15:16:06-03","MBM","MBM","421385","S","Plantae","Polygonaceae","Rumex","crispus","Rumex crispus","L.","Cafofo, E.; Felitto, G.; Felitto, G.","491","2018","09","01","Brazil","Minas Gerais","Santa Cruz do Escalvado",NA,"-42.894167","-20.260278",NA,NA,"MBM421385",NA,"Cafofo, E.",NA,NA,NA,NA,"-42.894167","-20.260278","340","340","Southern America",NA,NA,NA
"41","2019-12-06 15:23:49-03","MBM","MBM","421386","S","Plantae","Turneraceae","Turnera","cuneiformis","Turnera cuneiformis","Poir.","Cafofo, E.; Felitto, G.; Felitto, G.","497","2018","09","01","Brazil","Minas Gerais","Santa Cruz do Escalvado",NA,"-42.894167","-20.260278",NA,NA,"MBM421386",NA,NA,NA,NA,NA,NA,"-42.894167","-20.260278","340","340","Southern America",NA,NA,NA
"42","2019-12-06 15:23:55-03","MBM","MBM","421400","S","Plantae","Turneraceae","Turnera","orientalis","Turnera orientalis","(Urban) Arbo","Felitto, G.; Cafofo, E.; Bitarães-Neto, M.; Cafofo, E.; Bitarães-Neto, M.","1156","2018","10","12","Brazil","Minas Gerais","Santa Cruz do Escalvado","Renascente rio Doce","-42.881667","-20.223611",NA,NA,"MBM421400",NA,"Marinero, F.",NA,"2019","04","15","-42.881667","-20.223611","350","350","Southern America",NA,NA,NA
"43","2019-12-06 15:03:49-03","MBM","MBM","418708","S","Plantae","Malvaceae","Urena","lobata","Urena lobata","L.","Marinero, F.; Nardin, E.C.; Nardin, E.C.","966","2018","10","17","Brazil","Minas Gerais","Santa Cruz do Escalvado",NA,"-42.826111","-20.177222",NA,NA,"MBM418708",NA,"Marinero, F.",NA,"2019","01","30","-42.826111","-20.177222","280","280","Southern America",NA,NA,NA
"44","2019-12-06 15:03:49-03","MBM","MBM","421401","S","Plantae","Malvaceae","Urena","lobata","Urena lobata","L.","Felitto, G.; Cafofo, E.; Bitarães-Neto, M.; Cafofo, E.; Bitarães-Neto, M.","1157","2018","10","12","Brazil","Minas Gerais","Santa Cruz do Escalvado","Renascente rio Doce","-42.881667","-20.223611",NA,NA,"MBM421401",NA,"Felitto, G.; Barboza, E.",NA,"2018","11","01","-42.881667","-20.223611","350","350","Southern America",NA,NA,NA
"45","2019-12-06 15:15:34-03","MBM","MBM","418697","S","Plantae","Poaceae","Urochloa","arrecta","Urochloa arrecta","(Hack. ex T. Durand & Schinz) Morrone & Zuloaga","Marinero, F.; Nardin, E.C.; Nardin, E.C.","955","2018","10","15","Brazil","Minas Gerais","Santa Cruz do Escalvado","Rio Doce","-42.8725","-20.236944",NA,NA,"MBM418697",NA,"Marinero, F.",NA,"2018","10","29","-42.8725","-20.236944","344","344","Southern America",NA,NA,NA
"46","2019-12-06 15:15:34-03","MBM","MBM","418711","S","Plantae","Poaceae","Urochloa","arrecta","Urochloa arrecta","(Hack. ex T. Durand & Schinz) Morrone & Zuloaga","Marinero, F.; Nardin, E.C.; Nardin, E.C.","969","2018","10","17","Brazil","Minas Gerais","Santa Cruz do Escalvado",NA,"-42.826111","-20.177222",NA,NA,"MBM418711",NA,"Marinero, F.",NA,"2018","10","29","-42.826111","-20.177222","280","280","Southern America",NA,NA,NA
"47","2019-12-06 14:51:37-03","MBM","MBM","418707","S","Plantae","Fabaceae","Vachellia","farnesiana","Vachellia farnesiana","(L.) Weight & Arn.","Marinero, F.; Nardin, E.C.; Nardin, E.C.","965","2018","10","17","Brazil","Minas Gerais","Santa Cruz do Escalvado",NA,"-42.826111","-20.177222",NA,NA,"MBM418707",NA,"Marinero, F.",NA,"2019","04","05","-42.826111","-20.177222","280","280","Southern America",NA,NA,NA
"48","2019-12-06 14:35:00-03","MBM","MBM","421434","S","Plantae","Asteraceae","Xanthium","strumarium","Xanthium strumarium","L.","Felitto, G.; Cafofo, E.; Cafofo, E.","s.n.","2018","09","01","Brazil","Minas Gerais","Santa Cruz do Escalvado",NA,"-42.894167","-20.260278",NA,NA,"MBM421434",NA,"Felitto, G.",NA,NA,NA,NA,"-42.894167","-20.260278","335","335","Southern America",NA,NA,NA
"49","2019-12-06 14:51:52-03","MBM","MBM","422208","S","Plantae","Fabaceae","Zornia","latifolia","Zornia latifolia","Sw.","Marinero, F.; Nardin, E.C.; Nardin, E.C.","840","2018","10","14","Brazil","Minas Gerais","Santa Cruz do Escalvado",NA,"-42.918333","-20.269167",NA,NA,"MBM422208",NA,"Marinero, F.",NA,"2019","03","13","-42.918333","-20.269167","374","374","Southern America",NA,NA,NA
