"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","identifiedBy","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","continentOcean","phylum","preparationType","individualCount"
"63","2019-12-06 15:14:22-03","MBM","MBM","418694","S","Plantae","Poaceae","Coix","lacryma-jobi","Coix lacryma-jobi","L.","Marinero, F.; Nardin, E.C.; Nardin, E.C.","952","2018","10","15","Brazil","Minas Gerais","Santa Cruz do Escalvado","Rio Doce","-42.8725","-20.236944",NA,NA,"MBM418694",NA,"Marinero, F.",NA,"2018","10","30","-42.8725","-20.236944","344","344","Southern America",NA,NA,NA
"64","2019-12-06 14:47:26-03","MBM","MBM","418673","S","Plantae","Fabaceae","Crotalaria","incana","Crotalaria incana","L.","Marinero, F.; Nardin, E.C.; Nardin, E.C.","931","2018","10","14","Brazil","Minas Gerais","Santa Cruz do Escalvado","Rio Doce","-42.918333","-20.269444",NA,NA,"MBM418673",NA,"Marinero, F.",NA,"2019","03","13","-42.918333","-20.269444","370","370","Southern America",NA,NA,NA
"65","2019-12-06 14:47:29-03","MBM","MBM","418689","S","Plantae","Fabaceae","Crotalaria","pallida","Crotalaria pallida","Ait.","Marinero, F.; Nardin, E.C.; Nardin, E.C.","947","2018","10","15","Brazil","Minas Gerais","Santa Cruz do Escalvado","Rio Doce","-42.8725","-20.236944",NA,NA,"MBM418689",NA,"Marinero, F.",NA,"2019","03","13","-42.8725","-20.236944","344","344","Southern America",NA,NA,NA
"66","2019-12-06 14:44:36-03","MBM","MBM","421425","S","Plantae","Euphorbiaceae","Croton","glandulosus","Croton glandulosus","L.","Felitto, G.; Cafofo, E.; Cafofo, E.","s.n.","2018","09","01","Brazil","Minas Gerais","Santa Cruz do Escalvado",NA,"-42.894167","-20.260278",NA,NA,"MBM421425",NA,"Felitto, G.",NA,NA,NA,NA,"-42.894167","-20.260278","340","340","Southern America",NA,NA,NA
"67","2019-12-06 15:00:55-03","MBM","MBM","418806","S","Plantae","Lythraceae","Cuphea","carthagenensis","Cuphea carthagenensis","(Jacq.) Macbride","Felitto, G.; Cafofo, E.; Cafofo, E.","s.n.","2018","09","30","Brazil","Minas Gerais","Santa Cruz do Escalvado","Rio Doce","-42.894167","-20.260278",NA,NA,"MBM418806",NA,"Felitto, G.",NA,"2019","01",NA,"-42.894167","-20.260278","342","342","Southern America",NA,NA,NA
"68","2019-12-06 15:14:25-03","MBM","MBM","418713","S","Plantae","Poaceae","Cynodon","dactylon","Cynodon dactylon","(L.) Pers.","Marinero, F.; Nardin, E.C.; Nardin, E.C.","971","2018","10","17","Brazil","Minas Gerais","Santa Cruz do Escalvado",NA,"-42.826111","-20.177222",NA,NA,"MBM418713",NA,"Marinero, F.",NA,"2018","10","30","-42.826111","-20.177222","280","280","Southern America",NA,NA,NA
"69","2019-12-06 15:14:25-03","MBM","MBM","421428","S","Plantae","Poaceae","Cynodon","dactylon","Cynodon dactylon","(L.) Pers.","Felitto, G.; Cafofo, E.; Cafofo, E.","s.n.","2018","09","01","Brazil","Minas Gerais","Santa Cruz do Escalvado",NA,"-42.894167","-20.260278",NA,NA,"MBM421428",NA,"Felitto, G.",NA,NA,NA,NA,"-42.894167","-20.260278","340","340","Southern America",NA,NA,NA
"70","2019-12-06 14:41:21-03","MBM","MBM","421426","S","Plantae","Cyperaceae","Cyperus","haspan","Cyperus haspan","L.","Felitto, G.; Cafofo, E.; Cafofo, E.","s.n.","2018","09","01","Brazil","Minas Gerais","Santa Cruz do Escalvado",NA,"-42.894167","-20.260278",NA,NA,"MBM421426",NA,"Felitto, G.",NA,NA,NA,NA,"-42.894167","-20.260278","340","340","Southern America",NA,NA,NA
"71","2019-12-06 14:41:28-03","MBM","MBM","418534","S","Plantae","Cyperaceae","Cyperus","sesquiflorus","Cyperus sesquiflorus","(Torr.) Mattf. & Kük.","Marinero, F.; Nardin, E.C.; Nardin, E.C.","792","2018","09","01","Brazil","Minas Gerais","Santa Cruz do Escalvado",NA,"-42.798333","-20.137778",NA,NA,"MBM418534",NA,"Marinero, F.",NA,"2019","05","05","-42.798333","-20.137778","320","320","Southern America",NA,NA,NA
"72","2019-12-06 14:47:50-03","MBM","MBM","418680","S","Plantae","Fabaceae","Desmodium","triflorum","Desmodium triflorum","(L.) DC.","Marinero, F.; Nardin, E.C.; Nardin, E.C.","938","2018","10","14","Brazil","Minas Gerais","Santa Cruz do Escalvado","Rio Doce","-42.918333","-20.269444",NA,NA,"MBM418680",NA,"Marinero, F.",NA,"2018","10","30","-42.918333","-20.269444","370","370","Southern America",NA,NA,NA
