"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","country","stateProvince","county","individualCount","occurrenceRemarks","year","month","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","day","continentOcean","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","barcode","imagecode","dayIdentified","class","typeStatus","relatedCatalogItem","sex"
"1","2019-06-10 10:10:41-03","FZB-BH","CVJBFZB","18","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","warasii","var. warasii","Aechmea warasii var. warasii","E.Pereira","Elton. C. M. Leme","2011","08","Roberto A. Kautsky ;","Kautsky604","Brasil","Espírito Santo","Distrito de Pontões, em Afonso Cláudio","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:42-03","FZB-BH","CVJBFZB","51","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Canistropsis","billbergioides","forma billbergioides","Canistropsis billbergioides forma billbergioides","(Schult. & Schult.f.) Leme","Elton. C. M. Leme","2009","05","Elton M. C. Leme; Roberto Menescal; R. Bello",NA,"Brasil","Espírito Santo","Afonso Cláudio","2","254","1985","07","BR 262, na entrada para Afonso Cláudio","-41.1239013671875","-20.0741996765137","25110","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","152","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Neoregelia","leucophoea",NA,"Neoregelia leucophoea","(Baker) L.B.Sm.","Elton. C. M. Leme","2011","08","Alvim Seidel;","Seidel1114","Brasil","Espírito Santo","Afonso Cláudio","1","254",NA,NA,NA,"-41.1239013671875","-20.0741996765137","25110","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","50","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Nidularium","procerum",NA,"Nidularium procerum","Lindm.","Elton. C. M. Leme","2011","08","Elton M. C. Leme; Roberto Menescal; R. Bello; R. A. Kautsky",NA,"Brasil","Espírito Santo","Afonso Cláudio","1","254","1985","07","BR 262, na entrada para Afonso Cláudio","-41.1239013671875","-20.0741996765137","25110","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-16 19:15:18-03","NYBG","NYBG","886564","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Pecluma","pectinatiformis",NA,"Pecluma pectinatiformis","(Lindm.) M.G.Price","F. B. Matos; P. H. Labiak E.","2007",NA,"P. H. Labiak E.","4146","Brazil","Espírito Santo","Afonso Cláudio",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1030870 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","2007","07","Serra Pelada. Pedra dos Três Pontões.","-41.0392","-20.0767",NA,NA,"16","South America","-41.0392","-20.0767","1050","1050","sheet","NY00886564","NY00886564",NA,NA,NA,NA,NA
"6","2019-12-16 19:15:34-03","NYBG","NYBG","886562","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Polypodium","alborufulum",NA,"Polypodium alborufulum","Brade","P. H. Labiak E.","2007",NA,"P. H. Labiak E.","4144","Brazil","Espírito Santo","Afonso Cláudio",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1030865 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","2007","07","Serra Pelada. Pedra dos Três Pontões.","-41.0392","-20.0767",NA,NA,"16","South America","-41.0392","-20.0767","1050","1050","sheet","NY00886562","NY00886562",NA,NA,NA,NA,NA
"7","2019-12-16 16:39:58-03","NYBG","NYBG","02478948","PreservedSpecimen","Plantae","Lycopodiophyta","Selaginellales","Selaginellaceae","Selaginella","convoluta",NA,"Selaginella convoluta","(Arn.) Spring",NA,NA,NA,"P. H. Labiak E.","4148","Brazil","Espírito Santo","Afonso Cláudio",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2690348 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","2007","07","Serra Pelada. Pedra dos Três Pontões.","-41.0392","-20.0767",NA,NA,"16","South America","-41.0392","-20.0767","1050","1050","sheet","NY02478948","NY02478948",NA,NA,NA,NA,NA
"8","2019-12-16 16:39:59-03","NYBG","NYBG","02478937","PreservedSpecimen","Plantae","Lycopodiophyta","Selaginellales","Selaginellaceae","Selaginella","sellowii",NA,"Selaginella sellowii","Hieron.",NA,NA,NA,"P. H. Labiak E.","4135","Brazil","Espírito Santo","Afonso Cláudio",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2690332 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","2007","07","Serra Pelada. Pedra dos Três Pontões.","-41.0392","-20.0767",NA,NA,"16","South America","-41.0392","-20.0767","1050","1050","sheet","NY02478937","NY02478937",NA,NA,NA,NA,NA
"9","2019-12-16 17:28:04-03","NYBG","NYBG","391320","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senegalia","giganticarpa",NA,"Senegalia giganticarpa","(G.P.Lewis) Seigler & Ebinger","D. S. Seigler","2009",NA,"G. G. Hatschbach","65279","Brazil","Espírito Santo","Afonso Cláudio",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=658438 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","1996","07","Laranja da Terra, km 10-15 da rodovia para Afonso Claudio","-41.1239","-20.0744",NA,NA,"08","South America","-41.1239","-20.0744",NA,NA,"sheet","NY00391320","NY00391320",NA,NA,NA,NA,NA
"10","2019-12-16 17:51:53-03","NYBG","NYBG","413648","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Hernandiaceae","Sparattanthelium","tupiniquinorum",NA,"Sparattanthelium tupiniquinorum","Mart.","J. A. Kallunki","1997",NA,"E. P. Heringer","14587","Brazil","Espírito Santo","Afonso Cláudio",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=353550 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","1975","04","Das matas da Fazenda da Laranja da Terra. Lajinha, ES.","-41.1239","-20.0744",NA,NA,"30","South America","-41.1239","-20.0744",NA,NA,"sheet","NY00413648","NY00413648",NA,NA,NA,NA,NA
"11","2019-12-16 17:19:04-03","NYBG","NYBG","2481414","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Cratylia","isopetala",NA,"Cratylia isopetala","(Lam.) L.P.Queiroz",NA,NA,NA,"G. G. Hatschbach","55584","Brazil","Espírito Santo","Afonso Cláudio",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2739651 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","1991","06","Barra do Infância","-41.1239013671875","-20.0741996765137","25110","auto","17","South America",NA,NA,"500","500","sheet","NY02481414","NY02481414",NA,NA,NA,NA,NA
"12","2019-12-16 18:20:15-03","NYBG","NYBG","01874729","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","diffusa",NA,"Leandra diffusa","Cogn.","M. Reginato; F. A. Michelangeli","2015","08","L. J.-C. Kollmann","9800","Brazil","Espírito Santo","Afonso Cláudio",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2704187 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","2007","05","Estrada Garrafão, 3 Pontóes, Serra Pelada, Mata Fria.","-41.1239013671875","-20.0741996765137","25110","auto","23","South America",NA,NA,NA,NA,"sheet","NY01874729","NY01874729",NA,NA,NA,NA,NA
"13","2019-12-16 19:11:08-03","NYBG","NYBG","1015620","PreservedSpecimen","Plantae","Pteridophyta",NA,NA,NA,NA,NA,NA,NA,"P. H. Labiak E.; F. B. Matos",NA,NA,"P. H. Labiak E.","4142","Brazil","Espírito Santo","Afonso Cláudio",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1108953 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","2007","07","Serra Pelada. Pedra dos Três Pontões.","-41.0392","-20.0767",NA,NA,"16","South America","-41.0392","-20.0767","1050","1050","sheet","NY01015620",NA,NA,NA,NA,NA,NA
"14","2019-12-16 19:17:06-03","NYBG","NYBG","1015621","PreservedSpecimen","Plantae","Pteridophyta","Schizaeales","Anemiaceae","Anemia","imbricata",NA,"Anemia imbricata","Sturm","P. H. Labiak E.; F. B. Matos","2007",NA,"P. H. Labiak E.","4150","Brazil","Espírito Santo","Afonso Cláudio",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1108955 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","2007","07","Serra Pelada. Pedra dos Três Pontões.","-41.0392","-20.0767",NA,NA,"16","South America","-41.0392","-20.0767","1050","1050","sheet","NY01015621","NY01015621",NA,NA,NA,NA,NA
"15","2019-12-16 19:17:22-03","NYBG","NYBG","1015618","PreservedSpecimen","Plantae","Pteridophyta","Schizaeales","Anemiaceae","Anemia","retroflexa",NA,"Anemia retroflexa","Brade","P. H. Labiak E.; F. B. Matos","2007",NA,"P. H. Labiak E.","4139","Brazil","Espírito Santo","Afonso Cláudio",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1108946 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","2007","07","Serra Pelada. Pedra dos Três Pontões.","-41.0392","-20.0767",NA,NA,"16","South America","-41.0392","-20.0767","1050","1050","sheet","NY01015618","NY01015618",NA,NA,NA,NA,NA
"16","2019-12-16 19:17:23-03","NYBG","NYBG","1015619","PreservedSpecimen","Plantae","Pteridophyta","Schizaeales","Anemiaceae","Anemia","villosa",NA,"Anemia villosa","Humb. & Bonpl. ex Willd.","P. H. Labiak E.; F. B. Matos","2007",NA,"P. H. Labiak E.","4140","Brazil","Espírito Santo","Afonso Cláudio",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1108949 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","2007","07","Serra Pelada. Pedra dos Três Pontões.","-41.0392","-20.0767",NA,NA,"16","South America","-41.0392","-20.0767","1050","1050","sheet","NY01015619","NY01015619",NA,NA,NA,NA,NA
"17","2019-12-16 19:12:17-03","NYBG","NYBG","886565","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Aspleniaceae","Asplenium","auritum",NA,"Asplenium auritum","Sw.","F. B. Matos; P. H. Labiak E.","2007",NA,"P. H. Labiak E.","4147","Brazil","Espírito Santo","Afonso Cláudio",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1030871 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","2007","07","Serra Pelada. Pedra dos Três Pontões.","-41.0392","-20.0767",NA,NA,"16","South America","-41.0392","-20.0767","1050","1050","sheet","NY00886565","NY00886565",NA,NA,NA,NA,NA
"18","2019-12-16 19:16:13-03","NYBG","NYBG","886563","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Cheilanthes","eriophora",NA,"Cheilanthes eriophora","(Fée) Mett.","F. B. Matos; P. H. Labiak E.","2007",NA,"P. H. Labiak E.","4145","Brazil","Espírito Santo","Afonso Cláudio",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1030869 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","2007","07","Serra Pelada. Pedra dos Três Pontões.","-41.0392","-20.0767",NA,NA,"16","South America","-41.0392","-20.0767","1050","1050","sheet","NY00886563","NY00886563",NA,NA,NA,NA,NA
"19","2019-12-16 16:59:59-03","NYBG","NYBG","03082052","PreservedSpecimen","Plantae","Magnoliophyta","Dilleniales","Dilleniaceae","Davilla","latifolia",NA,"Davilla latifolia","Casar.",NA,NA,NA,"M. M. Saavedra","515","Brazil","Espírito Santo","Afonso Cláudio",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3309218 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","2007","09","Três Pontões. Floresta estacional semidecidual.","-41.0297223","-20.0733334",NA,NA,"09","South America","-41.0297223","-20.0733334","1018","1018","sheet","NY03082052","NY03082052",NA,NA,NA,NA,NA
"20","2019-12-16 17:55:28-03","NYBG","NYBG","1018774","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Guatteria","australis",NA,"Guatteria australis","A.St.-Hil.","A. Lobão","2008",NA,"M. M. Saavedra","518","Brazil","Espírito Santo","Afonso Cláudio",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1262413 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","2007","09","Três Pontões.","-41.0297","-20.0733",NA,NA,"09","South America","-41.0297","-20.0733","1018","1018","sheet","NY01018774","NY01018774",NA,NA,NA,NA,NA
"21","2019-12-16 18:13:09-03","NYBG","NYBG","627210","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Helicteres","ovata",NA,"Helicteres ovata","Lam.","C. L. Cristóbal","1992",NA,"G. G. Hatschbach","55578","Brazil","Espírito Santo","Afonso Cláudio",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=607382 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","1991","06","Empossado","-41.1239","-20.0744",NA,NA,"17","South America","-41.1239","-20.0744","500","500","sheet","NY00627210","NY00627210",NA,NA,NA,NA,NA
"22","2019-12-16 18:19:59-03","NYBG","NYBG","01874733","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","aurea",NA,"Leandra aurea","(Cham.) Cogn.","M. Reginato; F. A. Michelangeli","2015","08","L. J.-C. Kollmann","9810","Brazil","Espírito Santo","Afonso Cláudio",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2704241 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","2007","05","Pedra 3 Pontões.","-41.0297","-20.0733",NA,NA,"23","South America","-41.0297","-20.0733",NA,NA,"sheet","NY01874733","NY01874733",NA,NA,NA,NA,NA
"23","2019-12-16 19:15:16-03","NYBG","NYBG","886658","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Microgramma","squamulosa",NA,"Microgramma squamulosa","(Kaulf.) de la Sota","F. B. Matos; P. H. Labiak E.","2007",NA,"P. H. Labiak E.","4138","Brazil","Espírito Santo","Afonso Cláudio",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1032021 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","2007","07","Serra Pelada. Pedra dos Três Pontões.","-41.0392","-20.0767",NA,NA,"16","South America","-41.0392","-20.0767","1050","1050","sheet","NY00886658","NY00886658",NA,NA,NA,NA,NA
"24","2019-12-16 19:15:17-03","NYBG","NYBG","886657","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Microgramma","vacciniifolia",NA,"Microgramma vacciniifolia",NA,"F. B. Matos; P. H. Labiak E.","2007",NA,"P. H. Labiak E.","4136","Brazil","Espírito Santo","Afonso Cláudio",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1032015 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","2007","07","Serra Pelada. Pedra dos Três Pontões.","-41.0392","-20.0767",NA,NA,"16","South America","-41.0392","-20.0767","1050","1050","sheet","NY00886657","NY00886657",NA,NA,NA,NA,NA
"25","2019-12-16 16:51:29-03","NYBG","NYBG","1018643","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","hirsutissima",NA,"Mikania hirsutissima","DC.","C. T. Oliveira","2014",NA,"M. M. Saavedra","514","Brazil","Espírito Santo","Afonso Cláudio",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1261455 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","2007","09","Três Pontões.","-41.0297","-20.0733",NA,NA,"09","South America","-41.0297","-20.0733","1018","1018","sheet","NY01018643","NY01018643",NA,NA,NA,NA,NA
"26","2019-12-16 18:30:53-03","NYBG","NYBG","1016794","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","laruotteana",NA,"Myrcia laruotteana","Cambess.","M. L. Kawasaki","2001",NA,"G. G. Hatschbach","71517","Brazil","Espírito Santo","Afonso Cláudio",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1193165 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","2000","10","Rio do Peixe.","-41.1239","-20.0744",NA,NA,"22","South America","-41.1239","-20.0744","900","900","sheet","NY01016794","NY01016794",NA,NA,NA,NA,NA
"27","2019-12-16 18:48:38-03","NYBG","NYBG","01112521","PreservedSpecimen","Plantae","Magnoliophyta","Ranunculales","Menispermaceae","Ungulipetalum","filipendulum",NA,"Ungulipetalum filipendulum","(Mart.) Moldenke","J. M. A. Braga","2006","02","G. G. Hatschbach","55595","Brazil","Espírito Santo","Afonso Cláudio",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1210888 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","1991","06","Empossado","-41.1239","-20.0744",NA,NA,"17","South America","-41.1239","-20.0744","500","500","sheet","NY01112521","NY01112521","14",NA,NA,NA,NA
"28","2019-12-16 18:34:18-03","NYBG","NYBG","778501","PreservedSpecimen","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Vellozia","candida",NA,"Vellozia candida","J.G.Mikan","R. de Mello-Silva","2002",NA,"N. L. de Menezes","723","Brazil","Espírito Santo","Afonso Cláudio",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=795284 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","1977","12",NA,"-41.1239","-20.0744",NA,NA,"12","South America","-41.1239","-20.0744",NA,NA,"sheet","NY00778501","NY00778501",NA,NA,NA,NA,NA
"29","2019-09-03 16:10:16-03","UNESP-IBILCE","SJRP-PTERIDOPHYTA","05445","S","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Lycopodium","thyoides",NA,"Lycopodium thyoides","Willd","Máximo F. Morel","1991","04","Máximo F. Morel","147","Brasil","ES","Afonso Claudio",NA,"GEOGRAFIA: barranco, dique de drenagem;","1990","02","BR 262, km 134.5","-41.1239013671875","-20.0741996765137","25110","auto","22","América do Sul",NA,NA,NA,NA,NA,NA,NA,"22","Lycopodiopsida",NA,NA,NA
"30","2018-12-21 14:46:33-02","UNESP-IBILCE","SJRP-PTERIDOPHYTA","05368","S","Plantae","Pteridophyta",NA,"Hymenophyllaceae","Trichomanes","polypodioides",NA,"Trichomanes polypodioides","Raddi","V.A. de O. Dittrich","2003","03","Máximo F. Morel","149","Brasil","ES","Afonso Claudio",NA,"GEOGRAFIA: barranco, dique de drenagem;","1990","02","BR 262 Km 134,5","-41.1239013671875","-20.0741996765137","25110","auto","22","América do Sul",NA,NA,NA,NA,NA,NA,NA,"01","Filicopsida",NA,NA,NA
"31","2019-09-03 16:10:16-03","UNESP-IBILCE","SJRP-PTERIDOPHYTA","05367","S","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Palhinhaea","cernua",NA,"Palhinhaea cernua","(L.) Franco & Vasc.",NA,NA,NA,"Máximo F. Morel","148","Brasil","Espírito Santo","Afonso Claudio",NA,"Barranco. Dique de drenagem.","1990","02","BR 262, km 134.5. 980 m.","-41.1239013671875","-20.0741996765137","25110","auto","22","América do Sul",NA,NA,NA,NA,NA,NA,NA,NA,"Lycopodiopsida",NA,NA,NA
"32","2018-12-21 14:47:50-02","UNESP-IBILCE","SJRP-PTERIDOPHYTA","05446","S","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Pteris",NA,NA,"Pteris",NA,"Máximo F. Morel","1991","04","Máxio F. Morel","146","Brasil","ES","Afonso Cláudio",NA,"GEOGRAFIA: barranco, dique de drenagem;","1990","02","Br 262, km 134,5","-41.1239013671875","-20.0741996765137","25110","auto","22","América do Sul",NA,NA,NA,NA,NA,NA,NA,"22","Filicopsida",NA,NA,NA
"33","2019-07-11 08:49:17-03","ESALQ","ESA","104932","S","Plantae","Magnoliophyta",NA,"Annonaceae","Guatteria","australis",NA,"Guatteria australis",NA,"Lobão, A.","2008","10","Saavedra, M.M.","518","Brasil","Espírito Santo","Afonso Claúdio",NA,NA,"2007","09",NA,"-41.1239013671875","-20.0741996765137","25110","auto","09",NA,NA,NA,NA,NA,NA,"ESA104932","ESA104932",NA,NA,NA,NA,NA
"34","2020-02-13 14:13:04-03","MN","R","211216","S","Plantae",NA,NA,"Podostemaceae","Mourera","aspera",NA,"Mourera aspera","(Bong.) Tul.","Costa, F.G.C.","2012","01","Bove, C.P.; Costa, W. & Costa, B.B.","1085","Brasil","Espírito Santo","Afonso Cláudio",NA,NA,"2002","12",NA,"-41.122167","-20.092306",NA,NA,"31",NA,"41°7'19,8W","20°5'32,3S","392","392","Álcool 70%",NA,NA,"12",NA,NA,NA,NA
"35","2020-02-13 14:13:04-03","MN","R","212434","S","Plantae",NA,NA,"Podostemaceae","Mourera","aspera",NA,"Mourera aspera","(Bong.) Tul.","Costa, F.G.C.","2012","01","Assis, A.M.","2701","Brasil","Espírito Santo","Afonso Cláudio",NA,NA,"2011","06",NA,"-41.135028","-20.200917",NA,NA,"05",NA,"41°8'6,1W","20°12'3,3S","540","540",NA,NA,NA,"03",NA,NA,NA,NA
"36","2020-02-13 14:13:09-03","MN","R","215267","S","Plantae",NA,NA,"Podostemaceae","Podostemum","weddellianum",NA,"Podostemum weddellianum","(Tul.) C.T. Philbrick & Novelo",NA,NA,NA,"Bove, C.P.; Costa, W. & Costa, B.B.","1084","Brasil","Espírito Santo","Afonso Cláudio",NA,"Coleção líquida Podostemaceae","2002","12",NA,"-41.1239013671875","-20.0741996765137","25110","auto","31",NA,NA,NA,NA,NA,"Álcool 70%",NA,NA,NA,NA,NA,NA,NA
"37","2020-02-13 14:13:03-03","MN","R","213749","S","Plantae",NA,NA,"Podostemaceae","Apinagia",NA,NA,"Apinagia",NA,NA,NA,NA,"Bove, C.P.; Costa, W. & Costa, B.B.","1083","Brasil","Espírito Santo","Afonso Cláudio",NA,"Coleção líquida Podostemaceae","2002","12",NA,"-41.1239013671875","-20.0741996765137","25110","auto","31",NA,NA,NA,NA,NA,"Álcool 70%",NA,NA,NA,NA,NA,NA,NA
"38","2015-07-02 14:41:56-03","JBP","HPL","9246","S","Plantae",NA,NA,"Apocynaceae","Tabernaemontana","salzmanni",NA,"Tabernaemontana salzmanni","A. DC.","E.R. Salviani","2000","10","E. R. Salviani","1630","Brasil","ES","Afonso Cláudio",NA,NA,"2000","10","Coletado nas proximidades do município de Afonso Cláudio.","-41.1239","-20.0742","25110","auto","10",NA,NA,NA,NA,NA,NA,NA,NA,"10",NA,NA,NA,NA
"39","2015-07-02 14:02:27-03","JBP","HPL","3865","S","Plantae",NA,NA,"Lauraceae","Aniba","intermedia",NA,"Aniba intermedia",NA,"R. Tsuji","2007","04","E.R. Salviani & H. Lorenzi","1629","Brasil","ES","Afonso Cláudio",NA,NA,"2000","10","Coletado no sentido para Itarana; Fazenda Guandi.","-41.1239","-20.0742","25110","auto","11",NA,NA,NA,NA,NA,NA,NA,NA,"17",NA,NA,NA,NA
"40","2015-07-02 14:01:24-03","JBP","HPL","8946","S","Plantae",NA,NA,"Chrysobalanaceae","Couepia",NA,NA,"Couepia",NA,NA,NA,NA,"E.R. Salviani","1868","Brasil","ES","Afonso Cláudio",NA,NA,"2000","12","Coletado nas proximidades do município de Afonso Cláudio; no acesso a Itarana por terra, na descida da Serra (do lado esquerdo).","-41.1239","-20.0742","25110","auto","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2015-07-02 14:00:18-03","JBP","HPL","10117","S","Plantae",NA,NA,"Annonaceae","Xylopia",NA,NA,"Xylopia",NA,NA,NA,NA,"J.A. Lombardi, H. Lorenzi, R. Tsuji & L. Lorenzoni","7096","Brasil","ES","Afonso Cláudio",NA,NA,"2008","01","Coletado na Serra Pelada, na margem da ES-164; árvore remanescente no pasto. S 20° 04'; W 41° 07' (370m.s.m.)","-41.1239","-20.0742","25110","auto","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2019-08-27 13:35:01-03","IAP","PACA-AGP","85054","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Cyatheaceae","Cyathea","hirsuta",NA,"Cyathea hirsuta","C. Presl","I. Fernandes",NA,NA,"I. Fernandes","1201","Brasil","ES","Afonso Cláudio",NA,"caule 1,56m alt. e 7,8cm diam. Habitat: beira de mata, na beira de lavoura de arroz; nesta região ocorre geralmente em grotões","1994","04","Três Pontões - próx. estrada Afonso Cláudio-Jetibá","-41.1239013671875","-20.0741996765137","25110","auto","16",NA,NA,NA,"490","490",NA,"PACA085054",NA,NA,"Filicopsida",NA,NA,NA
"43","2020-03-10 08:29:29-03","UFV","VIC","46606","PreservedSpecimen","Plantae",NA,NA,"Mimosoideae","Senegalia","giganticarpa",NA,"Senegalia giganticarpa","(G.P. Lewis) Seigler & Ebinger","Robson D. Ribeiro","2010","04","Souza, V. de","377","Brasil","Espírito Santo","Afonso Cláudio",NA,"Capoeira. Terrestre, porte arbóreo; altura total 15m; copa com diâmetro de 8m. Fruto amarelo claro; casca escamosa.; Fruto amarelo claro; casca escamosa.; Capoeira. Terrestre, porte arbóreo; altura total 15m; copa com diâmetro de 8m.","1992","09","São Francisco, Lado esquerdo da estrada indo de Laranja da Terra para Afonço Claudio.","-41.1239013671875","-20.0741996765137","25110","auto","19",NA,NA,NA,NA,NA,NA,"VIC046606","VIC046606","08",NA,NA,NA,NA
"44","2020-03-05 19:42:09-03","UFJF","CESJ","69825","PreservedSpecimen","Plantae","Angiosperma",NA,"Verbenaceae","Aloysia","virgata",NA,"Aloysia virgata","(Ruiz & Pavon) Adr. Juss.","P.H. Cardoso","2020","02","L. Kollmann","12093","Brasil","Espirito Santo","Afonso Cláudio",NA,"Arbusto 2m ao sol, flores brancas.","2010","11",NA,"-41.027222","-20.186944",NA,NA,"10","América do Sul","-41.027222","-20.186944","750","750",NA,"CESJ069825",NA,NA,NA,NA,NA,NA
"45","2020-02-19 18:59:06-03","UFJF","CESJ","69855","PreservedSpecimen","Plantae","Angiosperma",NA,"Verbenaceae","Lantana","nivea",NA,"Lantana nivea","Vent.","P.H. Cardoso","2020","02","L. Kollmann; A.P. Fontana; K.A. Brahim","9804","Brasil","Espirito Santo","Afonso Cláudio",NA,"Arbusto 2m, escandente. Flores lilases.","2007","05","Estrada Garrafão, 3 Pontões, Serra Pelada, Mata Fria","-41.1239013671875","-20.0741996765137","25110","auto","23","América do Sul",NA,NA,NA,NA,NA,"CESJ069855",NA,NA,NA,NA,NA,NA
"46","2019-11-21 14:40:19-03","UFJF","CESJ","33069","PreservedSpecimen","Plantae","Angiosperma",NA,"Myrtaceae","Myrcia","laruotteana",NA,"Myrcia laruotteana","Cambess.","M.L.Kawasaki","2001",NA,"G. Hatschbach; M. Hatschbach; J.M. Silva","71517","Brasil","Espirito Santo","Afonso Cláudio",NA,"Arvoreta, 3 m, flor alva, odorífera. Dos vargedos.Alt: 900 m.","2000","10","Rio do Peixe","-41.1239013671875","-20.0741996765137","25110","auto","22","América do Sul",NA,NA,NA,NA,NA,"CESJ033069",NA,NA,NA,NA,NA,NA
