"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","class","order","identifiedBy","locality","imagecode"
"23","2019-12-19 09:39:09-03","UFVJM","HDJF","5873","PreservedSpecimen","Plantae","Dicotyledoneae","Malpighiaceae","Heteropterys","byrsonimifolia","Heteropterys byrsonimifolia","A. Juss.","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","1041","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005873",NA,NA,"Machado, ELM","Zona Rural",NA
"24","2019-09-13 11:59:28-03","UFVJM","HDJF","5932","PreservedSpecimen","Plantae","Dicotyledoneae","Chrysobalanaceae","Hirtella",NA,"Hirtella","L.",NA,NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","1442","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005932",NA,NA,NA,"Zona Rural","HDJF005932_01"
"25","2019-09-13 11:59:06-03","UFVJM","HDJF","5936","PreservedSpecimen","Plantae","Dicotyledoneae","Aquifoliaceae","Ilex",NA,"Ilex","L.","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","965","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005936",NA,NA,"Machado, ELM","Zona Rural",NA
"26","2019-09-13 11:59:28-03","UFVJM","HDJF","5908","PreservedSpecimen","Plantae","Dicotyledoneae","Chrysobalanaceae","Licania","spicata","Licania spicata","Hook.f.","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","720","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005908",NA,NA,"Machado, ELM","Zona Rural","HDJF005908_01"
"27","2019-09-13 11:59:42-03","UFVJM","HDJF","5958","PreservedSpecimen","Plantae","Dicotyledoneae","Fabaceae","Lonchocarpus","muehlbergianus","Lonchocarpus muehlbergianus","Hassl.","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","s.n.","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005958",NA,NA,"Machado, ELM","Zona Rural",NA
"28","2019-12-19 09:39:09-03","UFVJM","HDJF","6100","PreservedSpecimen","Plantae","Dicotyledoneae","Malvaceae","Luehea","grandiflora","Luehea grandiflora","Mart.","2013",NA,NA,"Santos, LAG; Machado, ELM; Otoni, TJO","110","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF006100",NA,NA,"Machado, ELM","Zona Rural","HDJF006100_01"
"29","2019-09-13 11:59:42-03","UFVJM","HDJF","5940","PreservedSpecimen","Plantae","Dicotyledoneae","Fabaceae","Machaerium","acutifolium","Machaerium acutifolium","Vogel","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","1793","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005940",NA,NA,"Machado, ELM","Zona Rural",NA
"30","2019-09-13 11:59:45-03","UFVJM","HDJF","5926","PreservedSpecimen","Plantae","Dicotyledoneae","Fabaceae","Platypodium","elegans","Platypodium elegans","Vogel","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","1831","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005926",NA,NA,"Machado, ELM","Zona Rural","HDJF005926_01"
"31","2019-09-13 12:00:04-03","UFVJM","HDJF","5960","PreservedSpecimen","Plantae","Dicotyledoneae","Melastomataceae","Pleroma","arboreum","Pleroma arboreum","Gardner","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","s.n.","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005960",NA,NA,"Machado, ELM","Zona Rural",NA
"32","2019-09-13 12:00:30-03","UFVJM","HDJF","5918","PreservedSpecimen","Plantae","Dicotyledoneae","Proteaceae","Roupala","montana","Roupala montana","Aubl.","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","1270","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005918",NA,NA,"Machado, ELM","Zona Rural","HDJF005918_01"
"33","2019-09-13 12:00:37-03","UFVJM","HDJF","5915","PreservedSpecimen","Plantae","Dicotyledoneae","Siparunaceae","Siparuna","guianensis","Siparuna guianensis","Aubl.","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","276","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005915",NA,NA,"Machado, ELM","Zona Rural","HDJF005915_01"
"34","2019-09-13 11:59:32-03","UFVJM","HDJF","5910","PreservedSpecimen","Plantae","Dicotyledoneae","Elaeocarpaceae","Sloanea","hirsuta","Sloanea hirsuta","(Schott) Planch. ex Benth.","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","736","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005910",NA,NA,"Machado, ELM","Zona Rural","HDJF005910_01"
"35","2019-09-13 12:00:34-03","UFVJM","HDJF","5927","PreservedSpecimen","Plantae","Dicotyledoneae","Rutaceae","Zanthoxylum","rhoifolium","Zanthoxylum rhoifolium","Lam.","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","1626","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005927",NA,NA,"Machado, ELM","Zona Rural","HDJF005927_01"
"36","2019-12-19 09:39:10-03","UFVJM","HDJF","5879","PreservedSpecimen","Plantae","Dicotyledoneae","Myrtaceae",NA,NA,NA,NA,"2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","898","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005879",NA,NA,"Machado, ELM","Zona Rural","HDJF005879_01"
"37","2019-12-19 09:39:09-03","UFVJM","HDJF","5892","PreservedSpecimen","Plantae","Dicotyledoneae","Malpighiaceae","Byrsonima","sericea","Byrsonima sericea","DC.","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","203","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005892",NA,NA,"Machado, ELM","Zona Rural","HDJF005892_01"
"38","2019-12-19 09:38:57-03","UFVJM","HDJF","5859","PreservedSpecimen","Plantae","Dicotyledoneae","Burseraceae","Protium","heptaphyllum","Protium heptaphyllum","(Aubl.) Marchand","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","77","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005859",NA,NA,"Machado, ELM","Zona Rural","HDJF005859_01"
"39","2019-09-13 11:59:44-03","UFVJM","HDJF","5939","PreservedSpecimen","Plantae","Dicotyledoneae","Fabaceae","Ormosia","arborea","Ormosia arborea","(Vell.) Harms","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","1304","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005939",NA,NA,"Machado, ELM","Zona Rural","HDJF005939_01"
"40","2019-09-13 12:00:24-03","UFVJM","HDJF","5930","PreservedSpecimen","Plantae","Dicotyledoneae","Nyctaginaceae","Guapira","hirsuta","Guapira hirsuta","(Choisy) Lundell","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","31","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005930",NA,NA,"Machado, ELM","Zona Rural","HDJF005930_01"
"41","2019-09-13 11:59:51-03","UFVJM","HDJF","5942","PreservedSpecimen","Plantae","Dicotyledoneae","Lauraceae","Ocotea","odorifera","Ocotea odorifera","Rohwer J.G","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","66","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005942",NA,NA,"Machado, ELM","Zona Rural",NA
"42","2019-12-19 09:39:06-03","UFVJM","HDJF","5860","PreservedSpecimen","Plantae","Dicotyledoneae","Lauraceae","Ocotea","nitida","Ocotea nitida","(Meisn.) Rohwer","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","1431","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005860",NA,NA,"Machado, ELM","Zona Rural","HDJF005860_01"
"43","2019-09-13 11:59:51-03","UFVJM","HDJF","5956","PreservedSpecimen","Plantae","Dicotyledoneae","Lauraceae","Ocotea","glaziovii","Ocotea glaziovii","Mez","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","s.n.","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005956",NA,NA,"Machado, ELM","Zona Rural",NA
"44","2019-09-13 11:59:51-03","UFVJM","HDJF","5944","PreservedSpecimen","Plantae","Dicotyledoneae","Lauraceae","Ocotea","glaziovii","Ocotea glaziovii","Mez","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","1436","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005944",NA,NA,"Machado, ELM","Zona Rural",NA
"45","2019-09-13 11:59:51-03","UFVJM","HDJF","5938","PreservedSpecimen","Plantae","Dicotyledoneae","Lauraceae","Ocotea","divaricata","Ocotea divaricata","(Nees) Mez","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","750","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005938",NA,NA,"Machado, ELM","Zona Rural","HDJF005938_01"
"46","2019-09-13 11:59:51-03","UFVJM","HDJF","5911","PreservedSpecimen","Plantae","Dicotyledoneae","Lauraceae","Ocotea","corymbosa","Ocotea corymbosa","(Meisn.) Mez",NA,NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","983","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005911",NA,NA,NA,"Zona Rural","HDJF005911_01"
"47","2019-09-13 12:00:24-03","UFVJM","HDJF","5941","PreservedSpecimen","Plantae","Dicotyledoneae","Nyctaginaceae","Guapira","opposita","Guapira opposita","(Vell.) Reitz","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","44","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005941",NA,NA,"Machado, ELM","Zona Rural",NA
"48","2019-12-19 09:39:22-03","UFVJM","HDJF","5887","PreservedSpecimen","Plantae","Dicotyledoneae","Sapindaceae","Allophylus","edulis","Allophylus edulis","(A.St.-Hil., Cambess. & A. Juss.) Hieron. ex Niederl.",NA,NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","907","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005887",NA,NA,NA,"Zona Rural","HDJF005887_01"
"49","2019-12-19 09:39:22-03","UFVJM","HDJF","5935","PreservedSpecimen","Plantae","Dicotyledoneae","Sapindaceae","Allophylus","edulis","Allophylus edulis","(A.St.-Hil., Cambess. & A. Juss.) Hieron. ex Niederl.","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","2081","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005935",NA,NA,"Machado, ELM","Zona Rural",NA
"50","2019-09-13 12:00:38-03","UFVJM","HDJF","5914","PreservedSpecimen","Plantae","Dicotyledoneae","Verbenaceae","Aloysia","virgata","Aloysia virgata","(Ruiz & Pav.) A. Juss.","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","592","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005914",NA,NA,"Machado, ELM","Zona Rural","HDJF005914_01"
"51","2019-12-19 09:39:18-03","UFVJM","HDJF","5864","PreservedSpecimen","Plantae","Dicotyledoneae","Rubiaceae","Amaioua","guianensis","Amaioua guianensis","Aubl.","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","723","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005864",NA,NA,"Machado, ELM","Zona Rural","HDJF005864_01"
"52","2019-09-13 12:00:14-03","UFVJM","HDJF","5903","PreservedSpecimen","Plantae","Dicotyledoneae","Myrtaceae","Eugenia","sonderiana","Eugenia sonderiana","O. Berg","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","1609","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005903",NA,NA,"Machado, ELM","Zona Rural","HDJF005903_01"
"53","2019-09-13 11:59:03-03","UFVJM","HDJF","5906","PreservedSpecimen","Plantae","Dicotyledoneae","Annonaceae","Guatteria","ferruginea","Guatteria ferruginea","A.St.-Hil.","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","528","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005906",NA,NA,"Machado, ELM","Zona Rural","HDJF005906_01"
"54","2019-12-19 09:39:06-03","UFVJM","HDJF","5883","PreservedSpecimen","Plantae","Dicotyledoneae","Lauraceae","Nectandra","opposiifolia","Nectandra opposiifolia","Nees & Mart.","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","2173","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005883",NA,NA,"Machado, ELM","Zona Rural","HDJF005883_01"
"55","2019-09-13 11:59:38-03","UFVJM","HDJF","5945","PreservedSpecimen","Plantae","Dicotyledoneae","Fabaceae","Anadenanthera","colubrina","Anadenanthera colubrina","(Vell.) Brenan","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","s.n.","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005945",NA,NA,"Machado, ELM","Zona Rural","HDJF005945_01"
"56","2019-09-13 11:59:38-03","UFVJM","HDJF","5957","PreservedSpecimen","Plantae","Dicotyledoneae","Fabaceae","Anadenanthera","colubrina","Anadenanthera colubrina","(Vell.) Brenan","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","s.n.","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005957",NA,NA,"Machado, ELM","Zona Rural",NA
"57","2019-12-19 09:38:48-03","UFVJM","HDJF","5889","PreservedSpecimen","Plantae","Dicotyledoneae","Annonaceae","Guatteria","villosissima","Guatteria villosissima","A.St.-Hil.","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","178","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005889",NA,NA,"Machado, ELM","Zona Rural","HDJF005889_01"
"58","2019-12-19 09:39:13-03","UFVJM","HDJF","6101","PreservedSpecimen","Plantae","Dicotyledoneae","Myrtaceae","Eugenia","ligustrina","Eugenia ligustrina","(Sw.) Willd.","2013",NA,NA,"Santos, LAG; Machado, ELM; Otoni, TJO","1456","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF006101",NA,NA,"Machado, ELM","Zona Rural","HDJF006101_01"
"59","2019-12-19 09:39:18-03","UFVJM","HDJF","5855","PreservedSpecimen","Plantae","Dicotyledoneae","Rubiaceae","Guettarda","viburnoides","Guettarda viburnoides","Cham. & Schltdl.","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","83","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005855",NA,NA,"Machado, ELM","Zona Rural","HDJF005855_01"
"60","2019-12-19 09:38:57-03","UFVJM","HDJF","5884","PreservedSpecimen","Plantae","Dicotyledoneae","Bignoniaceae","Handroanthus","chrysotrichus","Handroanthus chrysotrichus","(Mart. ex A.DC.) Mattos","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","1388","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005884",NA,NA,"Machado, ELM","Zona Rural","HDJF005884_01"
"61","2019-09-13 11:59:24-03","UFVJM","HDJF","5919","PreservedSpecimen","Plantae","Dicotyledoneae","Bignoniaceae","Handroanthus","ochraceus","Handroanthus ochraceus","(Cham.) Mattos","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","1034","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005919",NA,NA,"Machado, ELM","Zona Rural","HDJF005919_01"
"62","2019-09-13 11:59:24-03","UFVJM","HDJF","5953","PreservedSpecimen","Plantae","Dicotyledoneae","Bignoniaceae","Handroanthus","riodocensis","Handroanthus riodocensis","(A.H.Gentry) S.O.Grose","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","862","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005953",NA,NA,"Machado, ELM","Zona Rural",NA
"63","2019-12-19 09:38:57-03","UFVJM","HDJF","5853","PreservedSpecimen","Plantae","Dicotyledoneae","Bignoniaceae","Handroanthus","umbellatus","Handroanthus umbellatus","(Sond.) Mattos","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","916","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005853",NA,NA,"Machado, ELM","Zona Rural","HDJF005853_01"
"64","2019-12-19 09:39:10-03","UFVJM","HDJF","6103","PreservedSpecimen","Plantae","Dicotyledoneae","Myrtaceae",NA,NA,NA,NA,NA,NA,NA,"Santos, LAG; Machado, ELM; Otoni, TJO","1976","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF006103",NA,NA,NA,"Zona Rural","HDJF006103_01"
"65","2019-09-13 12:00:10-03","UFVJM","HDJF","5923","PreservedSpecimen","Plantae","Dicotyledoneae","Myrtaceae",NA,NA,NA,NA,NA,NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","923","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005923",NA,NA,NA,"Zona Rural","HDJF005923_01"
"66","2019-09-13 12:00:10-03","UFVJM","HDJF","5920","PreservedSpecimen","Plantae","Dicotyledoneae","Myrtaceae",NA,NA,NA,NA,NA,NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","1517","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005920",NA,NA,NA,"Zona Rural","HDJF005920_01"
"67","2019-09-13 12:00:10-03","UFVJM","HDJF","5904","PreservedSpecimen","Plantae","Dicotyledoneae","Myrtaceae",NA,NA,NA,NA,NA,NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","1461","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005904",NA,NA,NA,"Zona Rural","HDJF005904_01"
"68","2019-09-13 12:00:10-03","UFVJM","HDJF","5899","PreservedSpecimen","Plantae","Dicotyledoneae","Myrtaceae",NA,NA,NA,NA,NA,NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","1656","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005899",NA,NA,NA,"Zona Rural","HDJF005899_01"
"69","2019-12-19 09:39:10-03","UFVJM","HDJF","5881","PreservedSpecimen","Plantae","Dicotyledoneae","Myrtaceae",NA,NA,NA,NA,"2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","823","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005881",NA,NA,"Machado, ELM","Zona Rural","HDJF005881_01"
"70","2019-12-19 09:39:10-03","UFVJM","HDJF","5880","PreservedSpecimen","Plantae","Dicotyledoneae","Myrtaceae",NA,NA,NA,NA,"2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","972","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005880",NA,NA,"Machado, ELM","Zona Rural","HDJF005880_01"
"71","2019-12-19 09:39:10-03","UFVJM","HDJF","5876","PreservedSpecimen","Plantae","Dicotyledoneae","Myrtaceae",NA,NA,NA,NA,"2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","2030","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005876",NA,NA,"Machado, ELM","Zona Rural","HDJF005876_01"
"72","2019-12-19 09:39:10-03","UFVJM","HDJF","5875","PreservedSpecimen","Plantae","Dicotyledoneae","Myrtaceae",NA,NA,NA,NA,"2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","615","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005875",NA,NA,"Machado, ELM","Zona Rural","HDJF005875_01"
"73","2019-12-19 09:38:48-03","UFVJM","HDJF","5897","PreservedSpecimen","Plantae","Dicotyledoneae","Annonaceae","Annona","dolabripetala","Annona dolabripetala","Raddi","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","487","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005897",NA,NA,"Machado, ELM","Zona Rural","HDJF005897_01"
"74","2019-09-13 11:59:03-03","UFVJM","HDJF","5913","PreservedSpecimen","Plantae","Dicotyledoneae","Annonaceae","Annona","dolabripetala","Annona dolabripetala","Raddi","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","866","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005913",NA,NA,"Machado, ELM","Zona Rural","HDJF005913_01"
"75","2019-12-19 09:39:01-03","UFVJM","HDJF","6107","PreservedSpecimen","Plantae","Dicotyledoneae","Euphorbiaceae","Aparisthmium","cordatum","Aparisthmium cordatum","Baill.","2013",NA,NA,"Santos, LAG; Machado, ELM; Otoni, TJO","1540","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF006107",NA,NA,"Machado, ELM","Zona Rural","HDJF006107_01"
"76","2019-09-13 11:59:06-03","UFVJM","HDJF","5898","PreservedSpecimen","Plantae","Dicotyledoneae","Apocynaceae","Himatanthus","tarapotensis","Himatanthus tarapotensis","(K. Schum. ex Markgr.) Plumel","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","2114","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005898",NA,NA,"Machado, ELM","Zona Rural","HDJF005898_01"
"77","2019-12-19 09:38:49-03","UFVJM","HDJF","6106","PreservedSpecimen","Plantae","Dicotyledoneae","Apocynaceae","Himatanthus","tarapotensis","Himatanthus tarapotensis","(K. Schum. ex Markgr.) Plumel","2013",NA,NA,"Santos, LAG; Machado, ELM; Otoni, TJO","1540","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF006106",NA,NA,"Machado, ELM","Zona Rural","HDJF006106_01"
"78","2019-12-19 09:38:57-03","UFVJM","HDJF","5858","PreservedSpecimen","Plantae","Dicotyledoneae","Chrysobalanaceae","Hirtella","glandulosa","Hirtella glandulosa","Spreng","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","24","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005858",NA,NA,"Machado, ELM","Zona Rural","HDJF005858_01"
"79","2019-09-13 11:59:28-03","UFVJM","HDJF","5947","PreservedSpecimen","Plantae","Dicotyledoneae","Chrysobalanaceae","Hirtella","martiana","Hirtella martiana","Hook. f.","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","1205","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005947",NA,NA,"Machado, ELM","Zona Rural",NA
"80","2019-09-13 11:59:28-03","UFVJM","HDJF","5959","PreservedSpecimen","Plantae","Dicotyledoneae","Chrysobalanaceae","Hirtella","martiana","Hirtella martiana","Hook. f.","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","s.n.","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005959",NA,NA,"Machado, ELM","Zona Rural",NA
