"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","class","order","identifiedBy","locality","imagecode"
"124","2019-09-13 12:00:10-03","UFVJM","HDJF","5934","PreservedSpecimen","Plantae","Dicotyledoneae","Myrtaceae","Calyptranthes","clusiifolia","Calyptranthes clusiifolia","O. Berg","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","731","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005934",NA,NA,"Machado, ELM","Zona Rural",NA
"125","2019-12-19 09:39:13-03","UFVJM","HDJF","6102","PreservedSpecimen","Plantae","Dicotyledoneae","Myrtaceae","Calyptranthes","clusiifolia","Calyptranthes clusiifolia","(Miq.) O. Berg","2013",NA,NA,"Santos, LAG; Machado, ELM; Otoni, TJO","837","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF006102",NA,NA,"Machado, ELM","Zona Rural","HDJF006102_01"
"126","2019-09-13 11:59:44-03","UFVJM","HDJF","5922","PreservedSpecimen","Plantae","Dicotyledoneae","Fabaceae","Piptadenia","gonoacantha","Piptadenia gonoacantha","(Mart.) J.F. Macbr.","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","131","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005922",NA,NA,"Machado, ELM","Zona Rural","HDJF005922_01"
"127","2019-09-13 12:00:34-03","UFVJM","HDJF","5902","PreservedSpecimen","Plantae","Dicotyledoneae","Salicaceae","Macrothumia","kuhlmannii","Macrothumia kuhlmannii","(Sleumer) M.H.Alford","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","627","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005902",NA,NA,"Machado, ELM","Zona Rural","HDJF005902_01"
"128","2019-12-19 09:39:18-03","UFVJM","HDJF","5872","PreservedSpecimen","Plantae","Dicotyledoneae","Rubiaceae","Chomelia","sericea","Chomelia sericea","Müll. Arg.","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","61","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005872",NA,NA,"Machado, ELM","Zona Rural","HDJF005872_01"
"129","2019-12-19 09:39:05-03","UFVJM","HDJF","6104","PreservedSpecimen","Plantae","Dicotyledoneae","Fabaceae","Tachigali","rugosa","Tachigali rugosa","(Mart. ex Benth.) Zarucchi & Pipoly","2013",NA,NA,"Santos, LAG; Machado, ELM; Otoni, TJO","112","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF006104",NA,NA,"Machado, ELM","Zona Rural","HDJF006104_01"
"130","2019-09-13 11:59:25-03","UFVJM","HDJF","5965","PreservedSpecimen","Plantae","Dicotyledoneae","Bignoniaceae","Tabebuia","riodocensis","Tabebuia riodocensis","A.H.Gentry","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","s.n.","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005965",NA,NA,"Machado, ELM","Zona Rural",NA
"131","2019-12-19 09:39:01-03","UFVJM","HDJF","6105","PreservedSpecimen","Plantae","Dicotyledoneae","Euphorbiaceae","Maprounea","guianensis","Maprounea guianensis","Aubl.","2013",NA,NA,"Santos, LAG; Machado, ELM; Otoni, TJO","536","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF006105",NA,NA,"Machado, ELM","Zona Rural","HDJF006105_01"
"132","2019-12-19 09:39:14-03","UFVJM","HDJF","5896","PreservedSpecimen","Plantae","Dicotyledoneae","Myrtaceae","Marlierea","excoriata","Marlierea excoriata","Mart.","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","1106","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005896",NA,NA,"Machado, ELM","Zona Rural","HDJF005896_01"
"133","2019-09-13 12:00:34-03","UFVJM","HDJF","5929","PreservedSpecimen","Plantae","Dicotyledoneae","Salicaceae","Casearia","sylvestris","Casearia sylvestris","Sw.","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","1455","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005929",NA,NA,"Machado, ELM","Zona Rural","HDJF005929_01"
"134","2019-09-13 12:00:34-03","UFVJM","HDJF","5916","PreservedSpecimen","Plantae","Dicotyledoneae","Sapindaceae","Matayba","mollis","Matayba mollis","Radlk.",NA,NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","751","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005916",NA,NA,NA,"Zona Rural","HDJF005916_01"
"135","2019-12-19 09:38:57-03","UFVJM","HDJF","5874","PreservedSpecimen","Plantae","Dicotyledoneae","Celastraceae","Maytenus","aquifolia","Maytenus aquifolia","Mart.","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","612","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005874",NA,NA,"Machado, ELM","Zona Rural","HDJF005874_01"
"136","2019-09-13 11:59:28-03","UFVJM","HDJF","5886","PreservedSpecimen","Plantae","Dicotyledoneae","Celastraceae","Maytenus","aquifolia","Maytenus aquifolia","Mart.","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","627","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005886",NA,NA,"Machado, ELM","Zona Rural","HDJF005886_01"
"137","2019-12-19 09:39:05-03","UFVJM","HDJF","5895","PreservedSpecimen","Plantae","Dicotyledoneae","Fabaceae","Swartzia","flaemingii","Swartzia flaemingii","Raddi","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","1563","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005895",NA,NA,"Machado, ELM","Zona Rural","HDJF005895_01"
"138","2019-12-19 09:39:02-03","UFVJM","HDJF","5870","PreservedSpecimen","Plantae","Dicotyledoneae","Fabaceae","Melanoxylon","brauna","Melanoxylon brauna","Schott","2013",NA,NA,"Santos, LAG; Otoni, TJO; Machado, ELM","2080","2012","09",NA,"Southern America","Brasil","Minas Gerais","Dom Joaquim","-43.194167","-19.0025","-43.194167","-19.0025","738","738",NA,"HDJF005870",NA,NA,"Machado, ELM","Zona Rural","HDJF005870_01"
"139","2019-12-19 16:20:33-03","UFMG","BHCB-SL","185804","PreservedSpecimen","Plantae",NA,"Blechnaceae","Blechnum","cordatum","Blechnum cordatum","(Desv.) Hieron.",NA,NA,NA,"Gontijo, FD; Tameirão Neto, E; Souza, DT","1176","2014","08","21","América","Brasil","Minas Gerais","Dom Joaquim","-43.290833","-19.708056","-43.290833","-19.708056","693","693","Herbáceo; Fétil; Margem de curso d'água. Floresta Estacional Semidecidual.","BHCB185804",NA,NA,"Salino, A",NA,NA
"140","2019-12-19 16:20:33-03","UFMG","BHCB-SL","185789","PreservedSpecimen","Plantae",NA,"Blechnaceae","Blechnum","brasiliense","Blechnum brasiliense","Desv.",NA,NA,NA,"Gontijo, FD; Tameirão Neto, E; Souza, DT","1162","2014","08","21","América","Brasil","Minas Gerais","Dom Joaquim","-43.256667","-19.267778","-43.256667","-19.267778","626","626","Herbáceo; Fétil; Margem de curso d'água. Floresta Estacional Semidecidual.","BHCB185789",NA,NA,"Salino, A",NA,NA
